source_headword	LT	example_LT
membership	narystė	Sporto salės narystė kainuoja mažiau internete.
memorable	įsimintinas	Kelionė buvo įsimintina.
metaphor	metafora	Eilėraštyje naudojama stipri metafora.
miner	šachtininkas	Šachtininkas dirbo po žeme.
miserable	apgailėtinas	Dėl lietaus piknikas tapo apgailėtinas.
mode	režimas	Perjunkite kamerą į naktinį režimą.
modest	kuklus	Jie gyvena kukliame name.
monster	pabaisa	Pasakojime yra baisi pabaisa.
monthly	kas mėnesį	Nuomą mokame kas mėnesį.
monument	paminklas	Paminklas stovi netoli upės.
moreover	be to	Be to, planas taupo pinigus.
mortgage	hipoteka	Jie pateikė paraišką hipotekai.
mosque	mečetė	Mečetė yra netoli turgaus.
motion	judesys	Jutiklis aptinka judesį.
motivate	motyvuoti	Pagyrimai gali motyvuoti mokinius.
motivation	motyvacija	Jos motyvacija išliko stipri.
moving	jaudinantis	Kalba buvo jaudinanti.
myth	mitas	Mitas paaiškina kalno pavadinimą.
naked	nuogas	Kūdikis buvo nuogas po vonios.
nasty	bjaurus	Pjūvis atrodė bjauriai.
navigation	navigacija	Programėlė pagerina navigaciją.
nearby	netoliese	Netoliese esanti kavinė atsidaro anksti.
necessity	būtinybė	Švarus vanduo yra būtinybė.
negotiate	derėtis	Jie rytoj derėsis dėl sutarties.
negotiation	derybos	Derybos truko visą rytą.
neutral	neutralus	Teisėjas išliko neutralus.
newly	naujai	Naujai nudažytos durys atrodė ryškiai.
norm	norma	Nuotolinis darbas tapo norma.
notebook	užrašų knygelė	Užsirašykite pastabas savo užrašų knygelėje.
novelist	romanistas	Romanistė pasirašė savo knygą.
nowadays	šiais laikais	Šiais laikais daug žmonių dirba internetu.
nursing	slauga	Ji studijuoja slaugą.
nutrition	mityba	Gera mityba palaiko sveikatą.
obesity	nutukimas	Nutukimas didina pavojų sveikatai.
observer	stebėtojas	Stebėtojas užrašė rezultatus.
obstacle	kliūtis	Nuverstas medis buvo kliūtis.
occupation	profesija	Prašome čia įrašyti savo profesiją.
occupy	užimti	Šeima užims butą.
offender	pažeidėjas	Pažeidėjas atsiprašė teisme.
ongoing	vykstantis	Tyrimas vis dar vyksta.
openly	atvirai	Ji atvirai kalbėjo apie savo baimes.
opera	opera	Milane žiūrėjome operą.
operator	operatorius	Operatorius sujungė skambutį.
optimistic	optimistiškas	Ji jaučiasi optimistiškai dėl ateities.
orchestra	orkestras	Orkestras grojo tyliai.
organic	ekologiškas	Jie pirko ekologiškas daržoves.
outfit	apranga	Jos apranga tiko progai.
output	produkcija	Mašinos produkcija padidėjo.
outstanding	išskirtinis	Jo pasirodymas buvo išskirtinis.
overcome	įveikti	Jie kartu įveikia problemas.
overnight	per naktį	Siuntinys atvyko per naktį.
overseas	užsienyje	Jis rado darbą užsienyje.
ownership	nuosavybė	Žemės nuosavybė pasikeitė.
oxygen	deguonis	Augalai gamina deguonį.
packet	paketas	Atsargiai atidarykite paketą.
palm	delnas	Laikykite monetą delne.
panic	panika	Panika pasklido minioje.
parade	paradas	Paradas prasidėjo vidurdienį.
parallel	lygiagrečiai	Keliai eina lygiagrečiai.
participation	dalyvavimas	Dalyvavimas pamokoje pagerėjo.
partnership	partnerystė	Partnerystė padėjo abiem įmonėms.
part-time	nepilnas etatas	Ji susirado darbą nepilnu etatu.
passionate	aistringas	Jis yra aistringas muzikai.
password	slaptažodis	Pasirinkite stiprų slaptažodį.
patience	kantrybė	Mažų vaikų mokymas reikalauja kantrybės.
pause	pristabdyti	Pristabdykite vaizdo įrašą dabar.
peer	bendraamžis	Bendraamžių spaudimas paveikė jo pasirinkimą.
penalty	bauda	Žaidėjas gavo baudą.
perceive	suvokti	Žmonės suvokia riziką skirtingai.
perception	suvokimas	Jo pavojaus suvokimas pasikeitė.
permanently	visam laikui	Parduotuvė užsidarė visam laikui.
pill	piliulė	Išgerkite vieną piliulę po pusryčių.
pity	gaila	Gaila.
placement	išdėstymas	Sofos išdėstymas yra svarbus.
portion	porcija	Patiekite nedidelę ryžių porciją.
potentially	potencialiai	Šis pokytis potencialiai naudingas.
precede	eiti prieš	Tamsūs debesys dažnai eina prieš lietų.
precious	brangus	Žiedas yra brangus.
precise	tikslus	Instrukcijos buvo tikslios.
precisely	tiksliai	Tiksliai išmatuokite atstumą.
predictable	nuspėjamas	Pabaiga buvo nuspėjama.
preference	pirmenybė	Ji teikė pirmenybę arbatai.
pride	pasididžiavimas	Baigęs jis jautė pasididžiavimą.
primarily	pirmiausia	Kursas pirmiausia vyksta internetu.
principal	direktorius	Direktorius pasveikino naujus mokinius.
prior	išankstinis	Mums reikia išankstinio patvirtinimo.
probability	tikimybė	Lietaus tikimybė yra didelė.
probable	tikėtinas	Lietus tikėtinas šįvakar.
proceed	tęsti	Prašome tęsti į kitą kambarį.
programming	programavimas	Programavimas reikalauja praktikos.
progressive	pažangus	Politika buvo pažangi savo laikui.
prohibit	uždrausti	Taisyklės draudžia rūkyti.
promising	daug žadantis	Rezultatai atrodo daug žadantys.
promotion	paaukštinimas	Ji gavo paaukštinimą darbe.
prompt	greitas	Greitas atsakymas sutaupė laiko.
proportion	dalis	Didelė dalis balsavo „taip“.
protein	baltymas	Pupelėse yra baltymų.
protester	protestuotojas	Protestuotojas laikė plakatą.
psychological	psichologinis	Avarija sukėlė psichologinį stresą.
publicity	viešumas	Renginys sulaukė viešumo.
publishing	leidyba	Ji dirba leidyboje.
punk	pankų	Pankų muzika ten tapo populiari.
purely	grynai	Pasirinkimas buvo grynai praktiškas.
pursuit	siekis	Jis tęsė teisingumo siekį.
puzzle	galvosūkis	Galvosūkis truko valandą.
questionnaire	klausimynas	Prašome užpildyti klausimyną.
racial	rasinis	Ataskaitoje buvo aptarta rasinė nelygybė.
racism	rasizmas	Rasizmas kenkia bendruomenėms.
racist	rasistinis	Komentaras buvo rasistinis.
radiation	radiacija	Radiacija gali pažeisti ląsteles.
rail	turėklas	Laikykitės už turėklo ant laiptų.
random	atsitiktinis	Kompiuteris pasirinko atsitiktinį skaičių.
rat	žiurkė	Žiurkė prabėgo už šiukšliadėžių.
rating	įvertinimas	Viešbutis turi aukštą įvertinimą.
reasonably	protingai	Kambarys buvo protingai švarus.
rebuild	atstatyti	Jie atstatys tiltą.
receiver	gavėjas	Gavėjas pagavo kamuolį.
recession	recesija	Recesija sumažino išlaidas.
reckon	manyti	Manau, traukinys vėluoja.
recognition	pripažinimas	Ji gavo pripažinimą už savo darbą.
recovery	atsigavimas	Atsigavimas truko kelias savaites.
recruit	samdyti	Įmonė samdys inžinierius.
recruitment	įdarbinimas	Įdarbinimas prasideda kitą pirmadienį.
referee	teisėjas	Teisėjas sustabdė rungtynes.
refugee	pabėgėlis	Pabėgėlis rado saugius namus.
registration	registracija	Registracija baigiasi penktadienį.
regulate	reguliuoti	Įstatymas reguliuos išmetamųjų dujų kiekį.
reinforce	sustiprinti	Papildomos sijos sustiprina stogą.
relieve	palengvinti	Vaistai gali palengvinti skausmą.
relieved	palengvėjęs	Ji pasijuto palengvėjusi po skambučio.
remarkable	nepaprastas	Atsigavimas buvo nepaprastas.
remarkably	nepaprastai	Jis pasveiko nepaprastai greitai.
reporting	ataskaitų teikimas	Tikslus ataskaitų teikimas yra svarbus.
resign	atsistatydinti	Vadovas atsistatydins rytoj.
resolution	raiška	Ekranas turi aukštą raišką.
restore	atkurti	Darbuotojai atkurs seną paveikslą.
restrict	apriboti	Taisyklės apriboja parkavimą.
restriction	apribojimas	Apribojimas baigiasi rytoj.
retail	mažmeninė prekyba	Mažmeninės prekybos pardavimai išaugo.
retirement	išėjimas į pensiją	Ji atidžiai planavo išėjimą į pensiją.
revenue	pajamos	Pajamos už bilietus apmokėjo remontą.
revision	pasikartojimas	Pasikartojimas padėjo prieš egzaminą.
ridiculous	juokingas	Kaina buvo juokinga.
risky	rizikingas	Planas atrodė rizikingas.
rival	varžovas	Mūsų varžovas atidarė naują parduotuvę.
rob	apiplėšti	Vyrai bandė apiplėšti banką.
robbery	apiplėšimas	Apiplėšimas įvyko naktį.
rocket	raketa	Raketa buvo sėkmingai paleista.
romance	romantika	Romanas apima romantiką.
rose	rožė	Raudona rožė augo prie tvoros.
roughly	maždaug	Dalyvavo maždaug dvidešimt žmonių.
ruin	sugadinti	Lietus gali sugadinti pikniką.
satisfaction	pasitenkinimas	Klientų pasitenkinimas pagerėjo.
scandal	skandalas	Skandalas pakenkė jo karjerai.
scare	išgąstis	Garsus triukšmas mane išgąsdino.
scenario	scenarijus	Blogiausias scenarijus yra mažai tikėtinas.
scholar	mokslininkas	Mokslininkas tyrinėjo senovinius tekstus.
scholarship	stipendija	Ji laimėjo stipendiją.
scratch	įbrėžimas	Katė paliko įbrėžimą.
screening	tikrinimas	Ligoninė siūlo vėžio tikrinimą.
seeker	ieškotojas	Darbo ieškotojas išsiuntė paraiškas.
seminar	seminaras	Seminaras prasideda devintą valandą.
settler	naujakurys	Naujakurys pastatė nedidelę fermą.
severely	smarkiai	Audra smarkiai apgadino kelius.
sexy	seksualus	Suknelė buvo laikoma seksualia.
shocking	šokiruojantis	Naujiena buvo šokiruojanti.
shore	krantas	Vaikščiojome pakrante.
shortage	trūkumas	Miestas susidūrė su vandens trūkumu.
shortly	netrukus	Autobusas atvyko netrukus po vidurdienio.
short-term	trumpalaikis	Planas turi trumpalaikę naudą.
sibling	brolis arba sesuo	Kiekvienas brolis arba sesuo gavo dovaną.
signature	parašas	Prašome pridėti savo parašą.
significance	reikšmė	Atradimas turi didelę reikšmę.
skilled	kvalifikuotas	Kvalifikuoti darbuotojai suremontavo stogą.
slogan	šūkis	Kampanija naudojo paprastą šūkį.
so-called	vadinamasis	Vadinamasis ekspertas darė klaidų.
somehow	kažkaip	Kažkaip raktai dingo.
sometime	kada nors	Kada nors kitą savaitę aplankykite mus.
sophisticated	sudėtingas	Programinė įranga yra sudėtinga.
spare	atsarginis	Mes laikome atsarginį raktą.
specialize	specializuotis	Gydytojai specializuojasi skirtingose srityse.
specify	nurodyti	Prašome nurodyti atvykimo laiką.
spectacular	įspūdingas	Fejerverkai buvo įspūdingi.
spectator	žiūrovas	Kiekvienas žiūrovas gavo programą.
speculate	spėlioti	Ekspertai spėlioja apie priežastį.
speculation	spėlionė	Straipsnis paskatino spėliones.
spice	prieskonis	Pridėkite po vieną prieskonį.
spill	išpilti	Neišpilkite sulčių.
spite	pyktis	Jis pasiekė sėkmę nepaisydamas problemų.
spoil	sugadinti	Per daug druskos gali sugadinti sriubą.
spokesman	atstovas spaudai	Atstovas spaudai atsakė į klausimus.
spokesperson	atstovas spaudai	Atstovas spaudai perskaitė pareiškimą.
spokeswoman	atstovė spaudai	Atstovė spaudai kreipėsi į žurnalistus.
sponsorship	rėmimas	Komandai reikia rėmimo.
sporting	sporto	Miestas rengia sporto renginius.
stall	kioskas	Turgus kioskas parduoda vaisius.
stance	pozicija	Ministras pakeitė savo poziciją.
starve	badauti	Be maisto gyvūnai gali mirti iš bado.
steadily	nuolat	Įmonė nuolat augo.
steam	garas	Garai kilo iš sriubos.
stimulate	skatinti	Ryškios spalvos gali skatinti susidomėjimimą.
