simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
水	вода	Пијем воду.	voda	Pijem vodo.	vanduo	Geriu vandenį.	ūdens	Es dzeru ūdeni.
水果	воће	Купујем воће.	sadje	Kupujem sadje.	vaisiai	Perku vaisius.	augļi	Es pērku augļus.
睡觉	спавати; ићи на спавање	Идем да спавам.	spati; iti spat	Grem spat.	miegoti; eiti miegoti	Einu miegoti.	gulēt; iet gulēt	Es eju gulēt.
说话	говорити	Учитељ говори.	govoriti	Učitelj govori.	kalbėti	Mokytojas kalba.	runāt	Skolotājs runā.
四	четири	Имам четири пријатеља.	štiri	Imam štiri prijatelje.	keturi	Turiu keturis draugus.	četri	Man ir četri draugi.
岁	година (старост)	Имам десет година.	let (starost)	Star sem deset let.	metų (amžius)	Man dešimt metų.	gadi (vecums)	Man ir desmit gadi.
他	он; њега	Он је учитељ.	on; njega	On je učitelj.	jis; jį	Jis mokytojas.	viņš; viņu	Viņš ir skolotājs.
她	она; њу	Она је ученица.	ona; njo	Ona je učenka.	ji; ją	Ji mokinė.	viņa; viņu	Viņa ir skolniece.
太	превише; веома	Ова шоља је превелика.	preveč; zelo	Ta skodelica je prevelika.	per daug; pernelyg	Šis puodelis per didelis.	pārāk; ļoti	Šī krūze ir pārāk liela.
天气	време; временске прилике	Време је данас лепо.	vreme	Danes je lepo vreme.	oras	Šiandien geras oras.	laiks; laikapstākļi	Šodien ir labs laiks.
听	слушати; чути	Слушам учитеља како говори.	poslušati; slišati	Poslušam, kako učitelj govori.	klausytis; girdėti	Klausausi, kaip kalba mokytojas.	klausīties; dzirdēt	Es klausos, kā skolotājs runā.
同学	школски друг; друг из разреда	Он је мој школски друг.	sošolec	On je moj sošolec.	klasės draugas	Jis mano klasės draugas.	klasesbiedrs	Viņš ir mans klasesbiedrs.
喂	хало телефоном	Хало?	halo po telefonu	Halo?	alio telefonu	Alio?	hallo pa telefonu	Hallo?
我	ја; мене	Ја сам лекар.	jaz; mene	Sem zdravnik.	aš; mane	Esu gydytojas.	es; mani	Es esmu ārsts.
我们	ми; нас	Идемо у школу.	mi; nas	Gremo v šolo.	mes; mus	Einame į mokyklą.	mēs; mūs	Mēs ejam uz skolu.
五	пет	Имам пет јабука.	pet	Imam pet jabolk.	penki	Turiu penkis obuolius.	pieci	Man ir pieci āboli.
喜欢	волети; свиђати се	Волим да пијем чај.	imeti rad; biti všeč	Rad pijem čaj.	mėgti; patikti	Mėgstu gerti arbatą.	patikt	Man patīk dzert tēju.
下	доле; испод; следећи	Књига је испод стола.	spodaj; pod; naslednji	Knjiga je pod mizo.	apačioje; po; kitas	Knyga yra po stalu.	lejā; zem; nākamais	Grāmata ir zem galda.
下午	поподне	Поподне идем у продавницу.	popoldne	Popoldne grem v trgovino.	popietė	Po pietų einu į parduotuvę.	pēcpusdiena	Pēcpusdienā es eju uz veikalu.
下雨	падати киша	Данас пада киша.	deževati	Danes dežuje.	lyti	Šiandien lyja.	līt	Šodien līst.
先生	господин; муж	Добар дан, господине.	gospod; mož	Dober dan, gospod.	ponas; vyras	Laba diena, pone.	kungs; vīrs	Labdien, kungs.
现在	сада	Сада сам у школи.	zdaj	Zdaj sem v šoli.	dabar	Dabar esu mokykloje.	tagad	Tagad esmu skolā.
想	желети; мислити; недостајати	Желим да пијем воду.	želeti; misliti; pogrešati	Želim piti vodo.	norėti; galvoti; ilgėtis	Noriu gerti vandens.	gribēt; domāt; ilgoties	Es gribu dzert ūdeni.
小	мали	Ова шоља је мала.	majhen	Ta skodelica je majhna.	mažas	Šis puodelis mažas.	mazs	Šī krūze ir maza.
小姐	госпођица; млада жена	Добар дан, госпођице.	gospodična; mlada ženska	Dober dan, gospodična.	panelė; jauna moteris	Laba diena, panele.	jaunkundze; jauna sieviete	Labdien, jaunkundze.
些	неколико; мало	Имам неколико књига.	nekaj; malo	Imam nekaj knjig.	keli; šiek tiek	Turiu kelias knygas.	daži; mazliet	Man ir dažas grāmatas.
写	писати	Пишем знакове.	pisati	Pišem znake.	rašyti	Rašau ženklus.	rakstīt	Es rakstu rakstzīmes.
谢谢	хвала; захвалити се	Хвала.	hvala; zahvaliti se	Hvala.	ačiū; dėkoti	Ačiū.	paldies; pateikties	Paldies.
星期	недеља; дан у недељи	Данас је понедељак.	teden; dan v tednu	Danes je ponedeljek.	savaitė; savaitės diena	Šiandien pirmadienis.	nedēļa; nedēļas diena	Šodien ir pirmdiena.
学生	ученик; студент	Ја сам ученик.	učenec; študent	Sem učenec.	mokinys; studentas	Esu mokinys.	skolēns; students	Es esmu skolēns.
学习	учити; учити се	Учим кинески.	učiti se; študirati	Učim se kitajščine.	mokytis; studijuoti	Mokausi kinų kalbos.	mācīties	Es mācos ķīniešu valodu.
学校	школа	Школа је велика.	šola	Šola je velika.	mokykla	Mokykla didelė.	skola	Skola ir liela.
一	један; једна; једно	Имам једну шољу.	en; ena; eno	Imam eno skodelico.	vienas; viena	Turiu vieną puodelį.	viens; viena	Man ir viena krūze.
衣服	одећа	Купујем одећу.	oblačila	Kupujem oblačila.	drabužiai	Perku drabužius.	drēbes	Es pērku drēbes.
医生	лекар; лекарка	Она је лекарка.	zdravnik; zdravnica	Ona je zdravnica.	gydytojas; gydytoja	Ji gydytoja.	ārsts; ārste	Viņa ir ārste.
医院	болница	Болница је испред школе.	bolnišnica	Bolnišnica je pred šolo.	ligoninė	Ligoninė yra priešais mokyklą.	slimnīca	Slimnīca ir skolas priekšā.
椅子	столица	Столица је иза стола.	stol	Stol je za mizo.	kėdė	Kėdė yra už stalo.	krēsls	Krēsls ir aiz galda.
有	имати; има	Имам пријатеље.	imeti; obstajati	Imam prijatelje.	turėti; yra	Turiu draugų.	būt; ir	Man ir draugi.
月	месец; Месец	Данас је четврти мај.	mesec; luna	Danes je četrti maj.	mėnuo; mėnulis	Šiandien gegužės ketvirtoji.	mēnesis; mēness	Šodien ir ceturtais maijs.
再见	довиђења	Довиђења, учитељу.	nasvidenje	Nasvidenje, učitelj.	viso gero	Viso gero, mokytojau.	uz redzēšanos	Uz redzēšanos, skolotāj.
在	бити у; налазити се	Код куће сам.	biti v; nahajati se	Doma sem.	būti; būti vietoje	Esu namuose.	atrasties; būt	Es esmu mājās.
怎么	како	Како се чита овај знак?	kako	Kako se bere ta znak?	kaip	Kaip skaitomas šis ženklas?	kā	Kā lasa šo rakstzīmi?
怎么样	како; како је	Како си данас?	kako; kaj pa	Kako si danes?	kaip; kaip sekasi	Kaip šiandien sekasi?	kā; kā klājas	Kā tev šodien klājas?
这	овај; ова; ово; ови; ове	Ово је моја књига.	ta; to; ti; te	To je moja knjiga.	šis; ši; tai; šie; šios	Tai mano knyga.	šis; šī; šie; šīs	Šī ir mana grāmata.
中国	Кина	Идем у Кину.	Kitajska	Grem na Kitajsko.	Kinija	Vykstu į Kiniją.	Ķīna	Es braucu uz Ķīnu.
中午	подне	У подне једем пиринач.	opoldne	Opoldne jem riž.	vidurdienis	Vidurdienį valgau ryžius.	pusdienlaiks	Pusdienlaikā es ēdu rīsus.
住	живети; боравити	Живим у Пекингу.	živeti; prebivati	Živim v Pekingu.	gyventi; apsistoti	Gyvenu Pekine.	dzīvot; apmesties	Es dzīvoju Pekinā.
桌子	сто; радни сто	Књига је на столу.	miza; pisalna miza	Knjiga je na mizi.	stalas; rašomasis stalas	Knyga yra ant stalo.	galds; rakstāmgalds	Grāmata ir uz galda.
字	знак; реч	Овај знак је мали.	znak; beseda	Ta znak je majhen.	ženklas; žodis	Šis ženklas mažas.	rakstzīme; vārds	Šī rakstzīme ir maza.
昨天	јуче	Јуче сам гледао филм.	včeraj	Včeraj sem gledal film.	vakar	Vakar žiūrėjau filmą.	vakar	Vakar es skatījos filmu.
坐	седети; ићи превозом	Идем у Пекинг авионом.	sedeti; peljati se	V Peking grem z letalom.	sėdėti; važiuoti transportu	Į Pekiną skrendu lėktuvu.	sēdēt; braukt ar transportu	Es lidoju uz Pekinu ar lidmašīnu.
做	радити; направити	Кувам.	delati; narediti	Kuham.	daryti; gaminti	Gaminu maistą.	darīt; gatavot	Es gatavoju.
