source_headword	SW	example_SW
insect	mdudu	Kulikuwa na mdudu mdogo kwenye jani.
inside	ndani	Watoto wanacheza ndani ya nyumba.
instead	badala yake	Alikunywa maji badala ya chai.
instruction	maagizo	Tafadhali soma maagizo kwa makini.
instructor	mwalimu	Mwalimu alieleza kanuni.
instrument	ala	Alinunua ala mpya ya muziki.
intelligent	mwenye akili	Mtoto huyu ana akili sana.
international	kimataifa	Huu ni mkutano wa kimataifa.
introduction	utangulizi	Mwalimu alitoa utangulizi mfupi.
invent	kubuni	Mwanasayansi alibuni kifaa kipya.
invention	uvumbuzi	Uvumbuzi huu ulirahisisha maisha.
invitation	mwaliko	Tulipokea mwaliko wa harusi.
invite	kualika	Alimwalika rafiki yake nyumbani.
involve	kuhusisha	Mradi unahusisha watu wengi.
item	kitu	Angalia kila kitu kwenye orodha.
itself	yenyewe	Mashine ilisimama yenyewe.
jam	jamu	Alipaka jamu kwenye mkate.
jazz	jazi	Anapenda muziki wa jazi.
jewellery	vito	Vito viko ndani ya sanduku.
joke	utani	Utani wake uliwachekesha wote.
journalist	mwandishi wa habari	Mwandishi wa habari alimwuliza waziri swali.
jump	kuruka	Mtoto aliruka ndani ya maji.
kid	mtoto	Mtoto anacheza bustanini.
kill	kuua	Sumu inaweza kuua mmea.
king	mfalme	Mfalme aliishi katika kasri.
knee	goti	Goti lake linauma.
knife	kisu	Kisu kiko mezani.
knock	kubisha	Mtu alibisha mlango.
knowledge	maarifa	Ana maarifa kuhusu mada hii.
lab	maabara	Wanafunzi walifanya kazi maabarani.
lady	mwanamke	Mwanamke huyo alipanda basi.
lake	ziwa	Ziwa liko karibu na kijiji.
lamp	taa	Taa ya mezani imewashwa.
laptop	kompyuta mpakato	Anafanya kazi kwa kompyuta mpakato.
last1 (taking time)	kudumu	Mkutano ulidumu saa mbili.
laughter	kicheko	Chumba kilijaa kicheko.
law	sheria	Sheria hii inamhusu kila mtu.
lawyer	wakili	Wakili alizungumza mahakamani.
lazy	mvivu	Leo ni mvivu sana.
lead1	kuongoza	Aliongoza timu vizuri.
leader	kiongozi	Kiongozi alieleza mpango.
learning	kujifunza	Kujifunza kunahitajika kila siku.
least	angalau	Hii ndiyo bei ya chini kabisa.
lecture	mhadhara	Mhadhara ulianza asubuhi.
lemon	limau	Aliongeza limau kwenye maji.
lend	kukopesha	Tafadhali nikopeshe kalamu.
less	chache	Kuna watu wachache leo.
level	kiwango	Kiwango chake cha Kiingereza kimeimarika.
lifestyle	mtindo wa maisha	Mtindo mzuri wa maisha ni muhimu.
lift	lifti	Lifti ilisimama ghorofa ya tatu.
light	kuwasha	Aliwasha mshumaa.
light (not heavy)	nyepesi	Mkoba huu ni mwepesi.
likely	inawezekana	Mvua inawezekana leo.
link	kiungo	Kuna kiungo kati ya mawazo haya mawili.
listener	msikilizaji	Msikilizaji alisikiliza kwa makini.
lock	kufunga	Funga mlango unapotoka.
lorry	lori	Lori lilileta bidhaa.
lost	iliyopotea	Simu iliyopotea ilipatikana baadaye.
loud	sauti kubwa	Muziki ulikuwa wa sauti kubwa.
loudly	kwa sauti kubwa	Alizungumza kwa sauti kubwa.
lovely	nzuri sana	Hii ni siku nzuri sana.
low	chini	Joto ni la chini leo.
luck	bahati	Alikuwa na bahati nzuri.
lucky	mwenye bahati	Yeye ana bahati sana.
mail	barua	Barua zilifika kuchelewa leo.
major	kuu	Hili ni tatizo kuu.
male	dume	Ndege dume ana rangi nyingi.
manage	kusimamia	Alisimamia muda wake vizuri.
manager	meneja	Meneja aliitisha mkutano.
manner	namna	Namna yake ya kuzungumza ni tulivu.
mark	alama	Kuna alama nyekundu kitabuni.
marry	kuoa; kuolewa	Watafunga ndoa mwezi ujao.
material	nyenzo	Nyenzo hii ni laini.
mathematics	hisabati	Anajifunza hisabati.
maths	hisabati	Anapenda hisabati.
matter	jambo	Hili si jambo dogo.
may modal	huenda	Huenda akachelewa kuja.
media	vyombo vya habari	Vyombo vya habari vilisambaza habari.
medical	kiafya	Anahitaji msaada wa kiafya.
medicine	dawa	Tafadhali tumia dawa kwa wakati.
memory	kumbukumbu	Siku hii ni kumbukumbu nzuri.
mention	kutaja	Alitaja pia jina langu.
metal	chuma	Mlango umetengenezwa kwa chuma.
method	njia	Njia hii ni rahisi.
middle	katikati	Meza iko katikati ya chumba.
might modal	huenda	Huenda mvua ikanyesha leo.
mind	akili	Kulikuwa na swali akilini mwake.
mine (belongs to me)	yangu	Kitabu hiki ni changu.
mirror	kioo	Kioo kimetundikwa ukutani.
missing	iliyopotea	Ufunguo uliopotea ulipatikana.
mobile	simu ya mkononi	Simu ya mkononi iko mezani.
monkey	tumbili	Tumbili alipanda mti.
moon	mwezi	Mwezi ulikuwa mkali usiku.
mostly	zaidi	Chumba kilikuwa tupu zaidi.
motorcycle	pikipiki	Pikipiki ilienda haraka.
movement	harakati	Harakati ya mkono wake ilikuwa ya haraka.
musical	kia muziki	Huu ni mpango wa muziki.
musician	mwanamuziki	Mwanamuziki aliimba jukwaani.
myself	mimi mwenyewe	Niliandaa chakula mimi mwenyewe.
narrow	nyembamba	Barabara ni nyembamba sana.
national	kitaifa	Hii ni sikukuu ya kitaifa.
nature	asili	Asili ni tulivu.
nearly	karibu	Yuko karibu tayari.
necessary	lazima	Hati hii ni muhimu.
neck	shingo	Shingo lake linauma.
neither	hakuna	Hakuna kati yao aliyependa rangi hii.
nervous	mwenye wasiwasi	Alikuwa na wasiwasi kabla ya mtihani.
network	mtandao	Mtandao wa simu ni dhaifu hapa.
noise	kelele	Kulikuwa na kelele kubwa nje.
noisy	yenye kelele	Mtaa huu una kelele sana.
none	hakuna kitu	Hakuna kitu ndani ya sanduku.
normal	kawaida	Hii ni hali ya kawaida.
normally	kwa kawaida	Kwa kawaida huja mapema.
notice	kutambua	Tafadhali tambua mabadiliko.
novel	riwaya	Anasoma riwaya mpya.
nowhere	mahali popote	Ufunguo hauko mahali popote.
nut	karanga	Alikula karanga moja.
ocean	bahari	Bahari ni pana sana.
offer	pendekezo	Walitoa pendekezo la msaada.
officer	afisa	Afisa alikagua hati.
oil	mafuta	Aliweka mafuta kwenye sufuria.
onto	juu ya	Paka aliruka juu ya kiti.
opportunity	fursa	Hii ni fursa nzuri.
option	chaguo	Tuna chaguo jingine.
ordinary	kawaida	Hii ni siku ya kawaida.
organization	shirika	Shirika linawasaidia watoto.
organize	kupanga	Walipanga tukio hilo.
original	asili	Hii ni picha ya asili.
ourselves	sisi wenyewe	Tulisafisha chumba sisi wenyewe.
oven	tanuri	Mkate unaoka kwenye tanuri.
owner	mmiliki	Mmiliki wa duka alikuwa pale.
pack	kufunga	Alifunga begi lake.
pain	maumivu	Kuna maumivu mguuni mwake.
painter	mchoraji	Mchoraji alipaka ukuta rangi.
palace	kasri	Kasri la zamani liko wazi.
pants	suruali	Alinunua suruali mpya.
parking	maegesho	Maegesho hapa ni bure.
particular	maalum	Alikuwa na sababu maalum.
pass	kupita	Gari lilipita juu ya daraja.
passenger	abiria	Abiria alionyesha tiketi.
patient	mvumulivu	Mwalimu alikuwa mvumilivu sana.
pattern	mchoro	Kuna mchoro mzuri kwenye kitambaa.
peace	amani	Kila mtu anataka amani.
penny	sarafu	Aliokota sarafu.
per	kwa kila	Walitoa tiketi moja kwa kila mtu.
per cent	asilimia	Bei ilishuka kwa asilimia tano.
perform	kutumbuiza	Watoto walitumbuiza jukwaani.
perhaps	labda	Labda yuko nyumbani.
permission	ruhusa	Walimpa ruhusa ya kwenda.
personality	utu	Utu wake ni mwema.
pet	mnyama kipenzi	Mnyama wake kipenzi ni mbwa.
petrol	petroli	Gari lina petroli kidogo.
physical	kimwili	Mazoezi ya kimwili ni mazuri kwa afya.
physics	fizikia	Anajifunza fizikia.
pick	kuokota	Aliokota kalamu sakafuni.
pilot	rubani	Rubani aliwasalimia abiria.
planet	sayari	Dunia ni sayari.
plastic	plastiki	Chupa imetengenezwa kwa plastiki.
plate	sahani	Waliweka sahani mezani.
platform	jukwaa	Treni ilifika kwenye jukwaa la tatu.
pleased	ameridhika	Ameridhika na matokeo.
pocket	mfuko	Aliweka ufunguo mfukoni.
polite	mwenye adabu	Mtoto huyu ana adabu sana.
pollution	uchafuzi	Uchafuzi unaongezeka mjini.
pop	muziki wa pop	Anasikiliza muziki wa pop.
population	idadi ya watu	Idadi ya watu wa mji ni kubwa.
position	nafasi	Nafasi yake kwenye orodha ni juu.
possession	mali	Kitabu sasa ni mali yake.
possibility	uwezekano	Bado kuna uwezekano wa kushinda.
poster	bango	Walibandika bango ukutani.
power	nguvu	Gari linahitaji nguvu zaidi.
predict	kutabiri	Walitabiri hali ya hewa ya kesho.
president	rais	Rais alitoa hotuba.
prevent	kuzuia	Alizuia tatizo.
print	kuchapisha	Tafadhali chapisha ukurasa huu.
printer	printa	Printa haifanyi kazi leo.
prison	gereza	Mwizi alienda gerezani.
prize	tuzo	Alipata tuzo kwenye mashindano.
process	mchakato	Mchakato huu unahitaji muda.
produce	kuzalisha	Kiwanda kinazalisha vinyago.
professional	mtaalamu	Ni mchezaji mtaalamu.
professor	profesa	Profesa alieleza swali.
profile	wasifu	Alisasisha wasifu wake.
program	programu	Programu inaanza jioni.
progress	maendeleo	Kuna maendeleo katika masomo yake.
promise	kuahidi	Aliahidi kuja kwa wakati.
pronounce	kutamka	Tamka neno hili kwa uwazi.
protect	kulinda	Miti inalinda asili.
provide	kutoa	Shule hutoa chakula cha bure.
pub	baa	Walikutana baa jioni.
public	ya umma	Hii ni bustani ya umma.
publish	kuchapisha	Watachapisha kitabu mwaka ujao.
pull	kuvuta	Vuta mpini ili kufungua mlango.
purpose	lengo	Lengo la mkutano huu liko wazi.
push	kusukuma	Sukuma mlango ili ufunguke.
quality	ubora	Ubora wa shati hili ni mzuri.
quantity	kiasi	Pima kiasi kwa makini.
queen	malkia	Malkia aliishi katika kasri.
quietly	kimya	Aliingia chumbani kimya.
race (competition)	mbio	Mbio zilianza asubuhi.
railway	reli	Kituo cha reli kiko karibu.
raise	kuinua	Aliinua mkono wake.
rate	bei	Bei ya chumba ni kubwa.
rather	kiasi	Hii ni ngumu kiasi.
reach	kufika	Tulifika nyumbani jioni.
react	kuitikia	Aliitikia habari kwa utulivu.
realize	kutambua	Alitambua kosa lake.
receive	kupokea	Alipokea barua.
recent	karibuni	Habari za karibuni ni muhimu.
recently	hivi karibuni	Alikuja hapa hivi karibuni.
reception	mapokezi	Uliza ufunguo mapokezini.
recipe	mapishi	Mapishi haya ni rahisi.
recognize	kutambua	Alimtambua rafiki wa zamani.
recommend	kupendekeza	Ninapendekeza kitabu hiki.
record	kurekodi	Alirekodi taarifa.
recording	rekodi	Rekodi inaanza sasa.
recycle	kuchakata tena	Tunachakata karatasi tena.
reduce	kupunguza	Tafadhali punguza sauti.
refer	kurejelea	Mwalimu alirejelea somo la zamani.
refuse1	kukataa	Alikataa msaada.
region	eneo	Eneo hili lina joto sana.
regular	kawaida; endelevu	Anafanya mazoezi mara kwa mara.
relationship	uhusiano	Uhusiano wao ni imara.
remove	kuondoa	Ondoa kitabu mezani.
repair	kutengeneza	Alitengeneza baiskeli.
replace	kubadilisha	Badilisha taa ya zamani.
reply	jibu	Jibu lake lilikuwa fupi.
reporter	mwandishi	Mwandishi aliuliza swali.
request	ombi	Aliomba msaada.
research	utafiti	Alifanya utafiti mpya.
researcher	mtafiti	Mtafiti alieleza matokeo.
respond	kujibu	Alijibu swali.
response	jibu	Jibu lilikuwa la haraka sana.
rest (remaining part)	sehemu iliyobaki	Tutamaliza sehemu iliyobaki kesho.
rest (sleep/relax)	kupumzika	Alipumzika kidogo.
review	mapitio	Mwalimu alifanya mapitio ya somo.
ring1	pete	Alivaa pete ya fedha.
ring2	kupiga simu	Simu ililia ghafla.
rise	kupanda	Jua hupanda asubuhi.
rock (stone)	jiwe	Mtoto aliokota jiwe dogo.
