simplified	SI	example_SI	TA	example_TA	TE	example_TE	KN	example_KN	ML	example_ML	KK	example_KK	KA	example_KA	HY	example_HY
电话	දුරකථනය; දුරකථන ඇමතුම	ඔයාගේ දුරකථන අංකය මොකක්ද?	தொலைபேசி; தொலைபேசி அழைப்பு	உன் தொலைபேசி எண் என்ன?	ఫోన్; ఫోన్ కాల్	నీ ఫోన్ నంబర్ ఏమిటి?	ದೂರವಾಣಿ; ಕರೆ	ನಿನ್ನ ದೂರವಾಣಿ ಸಂಖ್ಯೆ ಏನು?	ഫോൺ; ഫോൺ വിളി	നിന്റെ ഫോൺ നമ്പർ എന്താണ്?	телефон; телефон қоңырауы	Телефон нөмірің қандай?	ტელეფონი; სატელეფონო ზარი	შენი ტელეფონის ნომერი რა არის?	հեռախոս; հեռախոսազանգ	Քո հեռախոսահամարը ո՞րն է։
电影院	සිනමාහල	සිනමාහල පාසල අසල තියෙනවා.	திரையரங்கம்	திரையரங்கம் பள்ளியின் அருகில் இருக்கிறது.	సినిమా థియేటర్	సినిమా థియేటర్ పాఠశాల పక్కన ఉంది.	ಚಿತ್ರಮಂದಿರ	ಚಿತ್ರಮಂದಿರ ಶಾಲೆಯ ಪಕ್ಕದಲ್ಲಿದೆ.	സിനിമാ തീയേറ്റർ	സിനിമാ തീയേറ്റർ സ്കൂളിന്റെ അരികിലാണ്.	кинотеатр	Кинотеатр мектептің жанында.	კინოთეატრი	კინოთეატრი სკოლის გვერდით არის.	կինոթատրոն	Կինոթատրոնը դպրոցի կողքին է։
读书	පොත් කියවීම; ඉගෙනීම	ළමයා කාමරයේ පොතක් කියවනවා.	படித்தல்; வாசித்தல்	குழந்தை அறையில் புத்தகம் படிக்கிறது.	చదవడం; అభ్యసించడం	పిల్లవాడు గదిలో పుస్తకం చదువుతున్నాడు.	ಓದುವುದು; ಅಧ್ಯಯನ	ಮಗು ಕೊಠಡಿಯಲ್ಲಿ ಪುಸ್ತಕ ಓದುತ್ತಿದೆ.	വായിക്കുക; പഠിക്കുക	കുഞ്ഞ് മുറിയിൽ പുസ്തകം വായിക്കുന്നു.	оқу; кітап оқу	Бала бөлмеде кітап оқып отыр.	კითხვა; სწავლა	ბავშვი ოთახში წიგნს კითხულობს.	կարդալ; սովորել	Երեխան սենյակում գիրք է կարդում։
饭	ආහාර; පිසූ බත්	මම දැන් කෑම කනවා.	உணவு; சமைத்த சாதம்	நான் இப்போது சாப்பிடுகிறேன்.	భోజనం; వండిన అన్నం	నేను ఇప్పుడు తింటున్నాను.	ಊಟ; ಬೇಯಿಸಿದ ಅನ್ನ	ನಾನು ಈಗ ಊಟ ಮಾಡುತ್ತಿದ್ದೇನೆ.	ഭക്ഷണം; വേവിച്ച ചോറ്	ഞാൻ ഇപ്പോൾ ഭക്ഷണം കഴിക്കുന്നു.	тамақ; піскен күріш	Қазір тамақ ішіп отырмын.	საჭმელი; მოხარშული ბრინჯი	ახლა ვჭამ.	ուտելիք; եփած բրինձ	Ես հիմա ուտում եմ։
饭店	අවන්හල; හෝටලය	මේ අවන්හල ඉතා ප්‍රසිද්ධයි.	உணவகம்; ஹோட்டல்	இந்த உணவகம் மிகவும் புகழ்பெற்றது.	రెస్టారెంట్; హోటల్	ఈ రెస్టారెంట్ చాలా ప్రసిద్ధి చెందింది.	ಉಪಹಾರಗೃಹ; ಹೋಟೆಲ್	ಈ ಉಪಹಾರಗೃಹ ಬಹಳ ಪ್ರಸಿದ್ಧ.	റെസ്റ്റോറന്റ്; ഹോട്ടൽ	ഈ റെസ്റ്റോറന്റ് വളരെ പ്രശസ്തമാണ്.	мейрамхана; қонақүй	Бұл мейрамхана өте танымал.	რესტორანი; სასტუმრო	ეს რესტორანი ძალიან ცნობილია.	ռեստորան; հյուրանոց	Այս ռեստորանը շատ հայտնի է։
歌	ගීතය	මේ ගීතය ලස්සනට ඇහෙනවා.	பாடல்	இந்த பாடல் இனிமையாக கேட்கிறது.	పాట	ఈ పాట బాగా వినిపిస్తుంది.	ಹಾಡು	ಈ ಹಾಡು ಚೆನ್ನಾಗಿ ಕೇಳಿಸುತ್ತದೆ.	പാട്ട്	ഈ പാട്ട് നന്നായി കേൾക്കുന്നു.	ән	Бұл ән әдемі естіледі.	სიმღერა	ეს სიმღერა ლამაზად ჟღერს.	երգ	Այս երգը գեղեցիկ է հնչում։
国	රට; රාජ්‍යය	චීනය විශාල රටක්.	நாடு; அரசு	சீனா ஒரு பெரிய நாடு.	దేశం; రాష్ట్రం	చైనా పెద్ద దేశం.	ದೇಶ; ರಾಜ್ಯ	ಚೀನಾ ದೊಡ್ಡ ದೇಶ.	രാജ്യം; സംസ്ഥാനം	ചൈന വലിയ രാജ്യമാണ്.	ел; мемлекет	Қытай үлкен ел.	ქვეყანა; სახელმწიფო	ჩინეთი დიდი ქვეყანაა.	երկիր; պետություն	Չինաստանը մեծ երկիր է։
还	තවමත්; ද	මට තවමත් තේ බොන්න ඕන.	இன்னும்; மேலும்	எனக்கு இன்னும் தேநீர் குடிக்க வேண்டும்.	ఇంకా; కూడా	నాకు ఇంకా టీ తాగాలని ఉంది.	ಇನ್ನೂ; ಕೂಡ	ನನಗೆ ಇನ್ನೂ ಚಹಾ ಕುಡಿಯಬೇಕು.	ഇനിയും; കൂടെ	എനിക്ക് ഇനിയും ചായ കുടിക്കണം.	әлі; де	Мен әлі шай ішкім келеді.	ჯერ კიდევ; ასევე	ჯერ კიდევ ჩაი მინდა.	դեռ; նաև	Ես դեռ ուզում եմ թեյ խմել։
汉字	චීන අක්ෂරය	මේ චීන අක්ෂරය අමාරු නැහැ.	சீன எழுத்து	இந்த சீன எழுத்து கடினமில்லை.	చైనీస్ అక్షరం	ఈ చైనీస్ అక్షరం కష్టం కాదు.	ಚೀನೀ ಅಕ್ಷರ	ಈ ಚೀನೀ ಅಕ್ಷರ ಕಷ್ಟವಲ್ಲ.	ചൈനീസ് അക്ഷരം	ഈ ചൈനീസ് അക്ഷരം ബുദ്ധിമുട്ടല്ല.	қытай иероглифі	Бұл қытай иероглифі қиын емес.	ჩინური იეროგლიფი	ეს ჩინური იეროგლიფი რთული არ არის.	չինական գրանշան	Այս չինական գրանշանը դժվար չէ։
好看	ලස්සන; බලන්න හොඳ	මේ ඡායාරූපය ලස්සනට පේනවා.	அழகு; பார்க்க நன்றாக	இந்த புகைப்படம் அழகாக இருக்கிறது.	అందంగా; చూడటానికి బాగుంది	ఈ ఫోటో అందంగా కనిపిస్తుంది.	ಸುಂದರ; ನೋಡಲು ಚೆನ್ನಾಗಿದೆ	ಈ ಫೋಟೋ ಸುಂದರವಾಗಿ ಕಾಣುತ್ತದೆ.	സുന്ദരം; കാണാൻ നന്നായ	ഈ ഫോട്ടോ സുന്ദരമായി കാണുന്നു.	әдемі; қарауға жақсы	Бұл сурет әдемі көрінеді.	ლამაზი; სანახავად კარგი	ეს ფოტო ლამაზად გამოიყურება.	գեղեցիկ; տեսքով հաճելի	Այս լուսանկարը գեղեցիկ է երևում։
好听	ඇසීමට හොඳ	මේ ගීතය ඇසීමට හොඳයි.	கேட்க இனிமை	இந்த பாடல் கேட்க இனிமையாக உள்ளது.	వినడానికి బాగుంది	ఈ పాట వినడానికి బాగుంది.	ಕೇಳಲು ಚೆನ್ನಾಗಿದೆ	ಈ ಹಾಡು ಕೇಳಲು ಚೆನ್ನಾಗಿದೆ.	കേൾക്കാൻ മധുരം	ഈ പാട്ട് കേൾക്കാൻ മധുരമാണ്.	тыңдауға жағымды	Бұл ән тыңдауға жағымды.	სასიამოვნო მოსასმენი	ეს სიმღერა სასიამოვნოდ ჟღერს.	լսելու համար հաճելի	Այս երգը հաճելի է լսել։
好玩儿	විනෝදජනක	මේ ක්‍රීඩාව විනෝදජනකයි.	வேடிக்கையான	இந்த விளையாட்டு வேடிக்கையாக இருக்கிறது.	ఆహ్లాదకరమైన	ఈ ఆట సరదాగా ఉంది.	ಮೋಜಿನ	ಈ ಆಟ ಮೋಜಾಗಿದೆ.	രസകരം	ഈ കളി രസകരമാണ്.	қызық; көңілді	Бұл ойын қызық.	სახალისო	ეს თამაში სახალისოა.	զվարճալի	Այս խաղը զվարճալի է։
后	පසුපස; පසු	පාසල පසුපස උද්‍යානයක් තියෙනවා.	பின்; பிறகு	பள்ளியின் பின்னால் பூங்கா உள்ளது.	వెనుక; తరువాత	పాఠశాల వెనుక పార్క్ ఉంది.	ಹಿಂದೆ; ನಂತರ	ಶಾಲೆಯ ಹಿಂದೆ ಉದ್ಯಾನವಿದೆ.	പിന്നിൽ; ശേഷം	സ്കൂളിന്റെ പിന്നിൽ പാർക്ക് ഉണ്ട്.	артында; кейін	Мектептің артында саябақ бар.	უკან; შემდეგ	სკოლის უკან პარკია.	հետևում; հետո	Դպրոցի հետևում այգի կա։
火车	දුම්රිය	මම දුම්රියෙන් බෙයිජිං යනවා.	ரயில்	நான் ரயிலில் பெய்ஜிங்குக்கு செல்கிறேன்.	రైలు	నేను రైలులో బీజింగ్‌కు వెళ్తాను.	ರೈಲು	ನಾನು ರೈಲಿನಲ್ಲಿ ಬೀಜಿಂಗ್‌ಗೆ ಹೋಗುತ್ತೇನೆ.	ട്രെയിൻ	ഞാൻ ട്രെയിനിൽ ബെയ്ജിംഗിലേക്ക് പോകുന്നു.	пойыз	Пойызбен Бейжіңге барамын.	მატარებელი	პეკინში მატარებლით მივდივარ.	գնացք	Գնացքով գնում եմ Պեկին։
家人	පවුල; පවුලේ සාමාජිකයා	මගේ පවුලම බෙයිජිංවල ඉන්නවා.	குடும்பம்; குடும்ப உறுப்பினர்	என் குடும்பம் முழுவதும் பெய்ஜிங்கில் உள்ளது.	కుటుంబం; కుటుంబ సభ్యుడు	నా కుటుంబం మొత్తం బీజింగ్‌లో ఉంది.	ಕುಟುಂಬ; ಕುಟುಂಬ ಸದಸ್ಯ	ನನ್ನ ಕುಟುಂಬವೆಲ್ಲ ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ಇದೆ.	കുടുംബം; കുടുംബാംഗം	എന്റെ മുഴുവൻ കുടുംബവും ബെയ്ജിംഗിലാണ്.	отбасы; отбасы мүшесі	Бүкіл отбасым Бейжіңде.	ოჯახი; ოჯახის წევრი	ჩემი მთელი ოჯახი პეკინშია.	ընտանիք; ընտանիքի անդամ	Իմ ամբողջ ընտանիքը Պեկինում է։
见	දැකීම; හමුවීම	හෙට මම ගුරුවරයා හමුවෙනවා.	பார்க்க; சந்திக்க	நாளை நான் ஆசிரியரை சந்திப்பேன்.	చూడటం; కలవడం	రేపు నేను ఉపాధ్యాయుడిని కలుస్తాను.	ನೋಡುವುದು; ಭೇಟಿ	ನಾಳೆ ನಾನು ಶಿಕ್ಷಕರನ್ನು ಭೇಟಿಯಾಗುತ್ತೇನೆ.	കാണുക; കാണാൻ പോകുക	നാളെ ഞാൻ അധ്യാപകനെ കാണും.	көру; кездесу	Ертең мұғаліммен кездесемін.	ნახვა; შეხვედრა	ხვალ მასწავლებელს შევხვდები.	տեսնել; հանդիպել	Վաղը ուսուցչին կհանդիպեմ։
今年	මේ වසර	මේ වසරේ මම චීන භාෂාව ඉගෙන ගන්නවා.	இந்த ஆண்டு	இந்த ஆண்டு நான் சீனம் கற்கிறேன்.	ఈ సంవత్సరం	ఈ సంవత్సరం నేను చైనీస్ నేర్చుకుంటున్నాను.	ಈ ವರ್ಷ	ಈ ವರ್ಷ ನಾನು ಚೀನೀ ಕಲಿಯುತ್ತಿದ್ದೇನೆ.	ഈ വർഷം	ഈ വർഷം ഞാൻ ചൈനീസ് പഠിക്കുന്നു.	биыл	Биыл қытай тілін үйреніп жүрмін.	წელს	წელს ჩინურს ვსწავლობ.	այս տարի	Այս տարի չինարեն եմ սովորում։
开车	කාර් ධාවනය කිරීම	තාත්තා දිනපතා කාර් එකෙන් වැඩට යනවා.	கார் ஓட்டுதல்	அப்பா தினமும் காரில் வேலைக்குச் செல்கிறார்.	కారు నడపడం	నాన్న ప్రతిరోజూ కారులో పనికి వెళ్తారు.	ಕಾರು ಓಡಿಸುವುದು	ಅಪ್ಪ ಪ್ರತಿದಿನ ಕಾರಿನಲ್ಲಿ ಕೆಲಸಕ್ಕೆ ಹೋಗುತ್ತಾರೆ.	കാർ ഓടിക്കുക	അച്ഛൻ ദിവസവും കാറിൽ ജോലിക്കുപോകുന്നു.	көлік жүргізу	Әкем күнде жұмысқа көлікпен барады.	მანქანის ტარება	მამა ყოველდღე მანქანით მიდის სამსახურში.	մեքենա վարել	Հայրս ամեն օր մեքենայով աշխատանքի է գնում։
看病	වෛද්‍යවරයෙකු හමුවීම	හෙට මම රෝහලට වෛද්‍යවරයා හමුවීමට යනවා.	மருத்துவரை பார்க்கச் செல்லுதல்	நாளை நான் மருத்துவமனைக்கு மருத்துவரைப் பார்க்கப் போகிறேன்.	డాక్టర్‌ను చూడడానికి వెళ్లడం	రేపు నేను ఆసుపత్రికి డాక్టర్‌ను చూడడానికి వెళ్తాను.	ವೈದ್ಯರನ್ನು ಕಾಣಲು ಹೋಗುವುದು	ನಾಳೆ ನಾನು ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ವೈದ್ಯರನ್ನು ನೋಡಲು ಹೋಗುತ್ತೇನೆ.	ഡോക്ടറെ കാണാൻ പോകുക	നാളെ ഞാൻ ആശുപത്രിയിൽ ഡോക്ടറെ കാണാൻ പോകും.	дәрігерге қаралу	Ертең ауруханаға дәрігерге барамын.	ექიმთან მისვლა	ხვალ საავადმყოფოში ექიმთან მივალ.	բժշկի գնալ	Վաղը հիվանդանոց բժշկի մոտ եմ գնալու։
没事	ප්‍රශ්නයක් නැහැ; හොඳින් සිටීම	මම හොඳින්, කලබල වෙන්න එපා.	பரவாயில்லை; நலமாக இரு	நான் நலமாக இருக்கிறேன், கவலைப்படாதே.	పర్లేదు; బాగుండటం	నేను బాగున్నాను, ఆందోళన పడకు.	ಪರವಾಗಿಲ್ಲ; ಚೆನ್ನಾಗಿರುವುದು	ನಾನು ಚೆನ್ನಾಗಿದ್ದೇನೆ, ಚಿಂತಿಸಬೇಡ.	സാരമില്ല; സുഖമായിരിക്കുക	എനിക്ക് സുഖമാണ്, ആശങ്കപ്പെടേണ്ട.	ештеңе емес; жақсы болу	Мен жақсымын, алаңдама.	არაუშავს; კარგად ყოფნა	კარგად ვარ, არ ინერვიულო.	ոչինչ; լավ լինել	Ես լավ եմ, մի անհանգստացիր։
没有	නැත; නොමැති වීම	මට දුරකථනයක් නැහැ.	இல்லை; இல்லாதிரு	என்னிடம் தொலைபேசி இல்லை.	లేదు; లేకపోవడం	నా దగ్గర ఫోన్ లేదు.	ಇಲ್ಲ; ಹೊಂದಿಲ್ಲ	ನನ್ನ ಬಳಿ ಫೋನ್ ಇಲ್ಲ.	ഇല്ല; കൈവശമില്ല	എനിക്ക് ഫോൺ ഇല്ല.	жоқ; болмау	Менде телефон жоқ.	არ არის; არ ქონა	ტელეფონი არ მაქვს.	չկա; չունենալ	Ես հեռախոս չունեմ։
们	මිනිසුන් සඳහා බහු වචන ප්‍රත්‍යය	ගුරුවරුන් කාර්යාලයේ ඉන්නවා.	மக்களுக்கு பன்மை பின்னொட்டு	ஆசிரியர்கள் அலுவலகத்தில் உள்ளனர்.	మనుషుల కోసం బహువచన ప్రత్యయం	ఉపాధ్యాయులు కార్యాలయంలో ఉన్నారు.	ಜನರಿಗೆ ಬಹುವಚನ ಪ್ರತ್ಯಯ	ಶಿಕ್ಷಕರು ಕಚೇರಿಯಲ್ಲಿ ಇದ್ದಾರೆ.	മനുഷ്യർക്കുള്ള ബഹുവചന പ്രത്യയം	അധ്യാപകർ ഓഫീസിലാണ്.	адамдарға арналған көптік жалғауы	Мұғалімдер кеңседе.	ადამიანებისთვის მრავლობითის სუფიქსი	მასწავლებლები ოფისში არიან.	մարդկանց հոգնակի վերջածանց	Ուսուցիչները գրասենյակում են։
面条儿	නූඩ්ල්ස්	දවල්ට මම නූඩ්ල්ස් කනවා.	நூடுல்ஸ்	மதியத்தில் நான் நூடுல்ஸ் சாப்பிடுகிறேன்.	నూడుల్స్	మధ్యాహ్నం నేను నూడుల్స్ తింటాను.	ನೂಡಲ್ಸ್	ಮಧ್ಯಾಹ್ನ ನಾನು ನೂಡಲ್ಸ್ ತಿನ್ನುತ್ತೇನೆ.	നൂഡിൽസ്	ഉച്ചയ്ക്ക് ഞാൻ നൂഡിൽസ് കഴിക്കുന്നു.	кеспе	Түсте кеспе жеймін.	ლაფშა	შუადღეს ლაფშას ვჭამ.	լապշա	Կեսօրին լապշա եմ ուտում։
明年	ඊළඟ වසර	ඊළඟ වසරේ මම චීනයට යනවා.	அடுத்த ஆண்டு	அடுத்த ஆண்டு நான் சீனாவுக்கு செல்வேன்.	వచ్చే సంవత్సరం	వచ్చే సంవత్సరం నేను చైనాకు వెళ్తాను.	ಮುಂದಿನ ವರ್ಷ	ಮುಂದಿನ ವರ್ಷ ನಾನು ಚೀನಾಕ್ಕೆ ಹೋಗುತ್ತೇನೆ.	അടുത്ത വർഷം	അടുത്ത വർഷം ഞാൻ ചൈനയിലേക്ക് പോകും.	келесі жыл	Келесі жылы Қытайға барамын.	მომავალი წელი	მომავალ წელს ჩინეთში წავალ.	հաջորդ տարի	Հաջորդ տարի Չինաստան կգնամ։
哪个	කුමන එක; කොයි එක	ඔයාට කැමති කුමන කෝප්පයද?	எது; எந்த ஒன்று	உனக்கு எந்த கோப்பை பிடிக்கும்?	ఏది; ఏది ఒకటి	నీకు ఏ కప్పు నచ్చుతుంది?	ಯಾವುದು; ಯಾವ ಒಂದು	ನಿನಗೆ ಯಾವ ಕಪ್ ಇಷ್ಟ?	ഏത്; ഏത് ഒന്ന്	നിനക്ക് ഏത് കപ്പ് ഇഷ്ടമാണ്?	қайсы; қайсысы	Саған қай кесе ұнайды?	რომელი; რომელი ერთი	რომელი ჭიქა მოგწონს?	որը; որ մեկը	Ո՞ր բաժակն ես հավանում։
哪里	කොහේද	ඔයා කොහේ ජීවත් වෙනවාද?	எங்கே	நீ எங்கே வசிக்கிறாய்?	ఎక్కడ	నువ్వు ఎక్కడ ఉంటావు?	ಎಲ್ಲಿ	ನೀನು ಎಲ್ಲಿ ವಾಸಿಸುತ್ತೀಯ?	എവിടെ	നീ എവിടെയാണ് താമസിക്കുന്നത്?	қайда	Қайда тұрасың?	სად	სად ცხოვრობ?	որտեղ	Որտե՞ղ ես ապրում։
哪儿	කොහේද; කොහෙටද	ඔයා කොහෙටද යන්නේ?	எங்கே; எங்கேக்கு	நீ எங்கே போகிறாய்?	ఎక్కడ; ఎక్కడికి	నువ్వు ఎక్కడికి వెళ్తున్నావు?	ಎಲ್ಲಿ; ಎಲ್ಲಿಗೆ	ನೀನು ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತಿದ್ದೀಯ?	എവിടെ; എവിടേക്ക്	നീ എവിടേക്ക് പോകുന്നു?	қайда; қай жерге	Қайда барасың?	სად; სადკენ	სად მიდიხარ?	որտեղ; ուր	Ո՞ւր ես գնում։
哪些	කොයිවාද	කොයි පොත් ඔයාගේද?	எவை; எவைகள்	எந்த புத்தகங்கள் உன்னுடையவை?	ఏవి	ఏ పుస్తకాలు నీవి?	ಯಾವವು	ಯಾವ ಪುಸ್ತಕಗಳು ನಿನ್ನವು?	ഏവ	ഏതു പുസ്തകങ്ങളാണ് നിന്റെത്?	қайсылары	Қай кітаптар сенікі?	რომლები	რომელი წიგნებია შენი?	որոնք	Ո՞ր գրքերն են քոնը։
那边	එහා පැත්ත; එතන	කඩය එහා පැත්තේ තියෙනවා.	அங்கே; அந்த பக்கம்	கடை அங்கே இருக்கிறது.	అక్కడ; ఆ వైపు	దుకాణం అక్కడ ఉంది.	ಅಲ್ಲಿ; ಆ ಬದಿ	ಅಂಗಡಿ ಅಲ್ಲಿ ಇದೆ.	അവിടെ; ആ വശം	കട അവിടെയാണ്.	ана жақ; сонда	Дүкен ана жақта.	იქით; ის მხარე	მაღაზია იქით არის.	այն կողմ; այնտեղ	Խանութը այնտեղ է։
那个	ඒක; අර	ඒ ශිෂ්‍යයා මගේ යාළුවා.	அது; அந்த	அந்த மாணவன் என் நண்பன்.	అది; ఆ	ఆ విద్యార్థి నా స్నేహితుడు.	ಅದು; ಆ	ಆ ವಿದ್ಯಾರ್ಥಿ ನನ್ನ ಸ್ನೇಹಿತ.	അത്; ആ	ആ വിദ്യാർത്ഥി എന്റെ സുഹൃത്താണ്.	анау; сол	Ана студент менің досым.	ის; ის ერთი	ის სტუდენტი ჩემი მეგობარია.	այն; այդ	Այդ ուսանողը իմ ընկերն է։
