source_headword	ML	example_ML
penalty	പിഴ	ആ കളിക്കാരന് ഒരു പിഴ ലഭിച്ചു.
perceive	ഗ്രഹിക്കുക	ആളുകൾ അപകടസാധ്യത വ്യത്യസ്തമായി മനസ്സിലാക്കുന്നു.
perception	കാഴ്ചപ്പാട്	അപകടത്തെക്കുറിച്ചുള്ള അവന്റെ കാഴ്ചപ്പാട് മാറി.
permanently	സ്ഥിരമായി	ആ കട സ്ഥിരമായി അടച്ചു.
pill	ഗുളിക	പ്രഭാതഭക്ഷണത്തിന് ശേഷം ഒരു ഗുളിക കഴിക്കുക.
pity	സഹതാപം	അത് വളരെ കഷ്ടമാണ്.
placement	പ്ലെയ്‌സ്‌മെന്റ്	സോഫ വെക്കുന്ന സ്ഥലം പ്രധാനമാണ്.
portion	ഒരു ഭാഗം	കുറച്ച് ചോറ് വിളമ്പുക.
potentially	സാധ്യതയുള്ള	ഈ മാറ്റം ഉപകാരപ്രദമായേക്കാം.
precede	മുൻപേ വരിക	മഴയ്ക്ക് മുൻപേ പലപ്പോഴും കറുത്ത മേഘങ്ങൾ വരും.
precious	വിലപ്പെട്ട	ആ മോതിരം വിലപ്പെട്ടതാണ്.
precise	കൃത്യമായ	നിർദ്ദേശങ്ങൾ കൃത്യമായിരുന്നു.
precisely	കൃത്യമായി	ദൂരം കൃത്യമായി അളക്കുക.
predictable	മുൻകൂട്ടി കാണാൻ കഴിയുന്ന	അവസാനമെന്താണെന്ന് മുൻകൂട്ടി കാണാമായിരുന്നു.
preference	മുൻഗണന	അവൾക്ക് ചായയോടാണ് താല്പര്യം.
pride	അഭിമാനം	പൂർത്തിയാക്കിയ ശേഷം അവന് അഭിമാനം തോന്നി.
primarily	പ്രധാനമായും	കോഴ്‌സ് പ്രധാനമായും ഓൺലൈനിലാണ്.
principal	പ്രധാനാധ്യാപകൻ	പ്രധാനാധ്യാപകൻ പുതിയ വിദ്യാർത്ഥികളെ സ്വാഗതം ചെയ്തു.
prior	മുൻകൂർ	ഞങ്ങൾക്ക് മുൻകൂർ അനുമതി ആവശ്യമാണ്.
probability	സാധ്യത	മഴ പെയ്യാൻ സാധ്യത കൂടുതലാണ്.
probable	സാധ്യതയുള്ള	ഇന്ന് രാത്രി മഴ പെയ്യാൻ സാധ്യതയുണ്ട്.
proceed	മുന്നോട്ട് പോകുക	ദയവായി അടുത്ത മുറിയിലേക്ക് പോകുക.
programming	പ്രോഗ്രാമിംഗ്	പ്രോഗ്രാമിംഗിന് പരിശീലനം ആവശ്യമാണ്.
progressive	പുരോഗമനപരമായ	ആ നയം അതിന്റെ സമയത്ത് പുരോഗമനപരമായിരുന്നു.
prohibit	നിരോധിക്കുക	നിയമങ്ങൾ പുകവലി നിരോധിക്കുന്നു.
promising	പ്രതീക്ഷ നൽകുന്ന	ഫലങ്ങൾ പ്രതീക്ഷ നൽകുന്നതായി തോന്നുന്നു.
promotion	സ്ഥാനക്കയറ്റം	അവൾക്ക് ജോലിയിൽ സ്ഥാനക്കയറ്റം ലഭിച്ചു.
prompt	പ്രേരിപ്പിക്കുക	പെട്ടെന്നുള്ള മറുപടി സമയം ലാഭിച്ചു.
proportion	അനുപാതം	ഒരു വലിയ അനുപാതം ആളുകൾ അതെ എന്ന് വോട്ട് ചെയ്തു.
protein	പ്രോട്ടീൻ	പയറുവർഗ്ഗങ്ങളിൽ പ്രോട്ടീൻ അടങ്ങിയിട്ടുണ്ട്.
protester	പ്രതിഷേധക്കാരൻ	പ്രതിഷേധക്കാരൻ ഒരു ബോർഡ് പിടിച്ചിരുന്നു.
psychological	മാനസികമായ	അപകടം മാനസിക സമ്മർദ്ദത്തിന് കാരണമായി.
publicity	പ്രചാരം	ആ പരിപാടിക്ക് നല്ല പ്രചാരം ലഭിച്ചു.
publishing	പ്രസിദ്ധീകരണം	അവൾ പ്രസിദ്ധീകരണ മേഖലയിൽ ജോലി ചെയ്യുന്നു.
punk	പങ്ക്	പങ്ക് സംഗീതം അവിടെ ജനപ്രിയമായി.
purely	പൂർണ്ണമായും	ആ തീരുമാനം പൂർണ്ണമായും പ്രായോഗികമായിരുന്നു.
pursuit	അന്വേഷണം	അദ്ദേഹം നീതിക്കായുള്ള അന്വേഷണം തുടർന്നു.
puzzle	പസിൽ	പസിൽ പൂർത്തിയാക്കാൻ ഒരു മണിക്കൂർ എടുത്തു.
questionnaire	ചോദ്യാവലി	ദയവായി ചോദ്യാവലി പൂരിപ്പിക്കുക.
racial	വംശീയമായ	ആ റിപ്പോർട്ട് വംശീയ അസമത്വത്തെക്കുറിച്ച് ചർച്ച ചെയ്തു.
racism	വംശീയത	വംശീയത സമൂഹങ്ങളെ ദോഷകരമായി ബാധിക്കുന്നു.
racist	വംശീയമായ	ആ അഭിപ്രായം വംശീയമായിരുന്നു.
radiation	വികിരണം	വികിരണം കോശങ്ങളെ നശിപ്പിക്കും.
rail	കൈവരി	ഗോവണിയിലെ കൈവരിയിൽ പിടിക്കുക.
random	ക്രമരഹിതമായ	കമ്പ്യൂട്ടർ ഒരു ക്രമരഹിതമായ സംഖ്യ തിരഞ്ഞെടുത്തു.
rat	എലി	ചവറ്റുകുട്ടകൾക്ക് പിന്നിലൂടെ ഒരു എലി ഓടി.
rating	റേറ്റിംഗ്	ഹോട്ടലിന് ഉയർന്ന റേറ്റിംഗ് ഉണ്ട്.
reasonably	സാമാന്യം	മുറി സാമാന്യം വൃത്തിയുള്ളതായിരുന്നു.
rebuild	പുനർനിർമ്മിക്കുക	അവർ പാലം പുനർനിർമ്മിക്കും.
receiver	സ്വീകർത്താവ്	സ്വീകർത്താവ് പന്ത് പിടിച്ചു.
recession	സാമ്പത്തിക മാന്ദ്യം	സാമ്പത്തിക മാന്ദ്യം ചെലവ് കുറച്ചു.
reckon	കരുതുക	ട്രെയിൻ വൈകിയാണെന്ന് ഞാൻ കരുതുന്നു.
recognition	അംഗീകാരം	അവളുടെ ജോലിക്ക് അംഗീകാരം ലഭിച്ചു.
recovery	സുഖം പ്രാപിക്കൽ	സുഖം പ്രാപിക്കാൻ ആഴ്ചകളോളം എടുത്തു.
recruit	റിക്രൂട്ട് ചെയ്യുക	കമ്പനി എഞ്ചിനീയർമാരെ റിക്രൂട്ട് ചെയ്യും.
recruitment	റിക്രൂട്ട്മെൻ്റ്	റിക്രൂട്ട്മെൻ്റ് അടുത്ത തിങ്കളാഴ്ച ആരംഭിക്കും.
referee	റഫറി	റഫറി മത്സരം നിർത്തി.
refugee	അഭയാർത്ഥി	അഭയാർത്ഥിക്ക് സുരക്ഷിതമായ ഒരു വീട് ലഭിച്ചു.
registration	രജിസ്ട്രേഷൻ	രജിസ്ട്രേഷൻ വെള്ളിയാഴ്ച അവസാനിക്കും.
regulate	നിയന്ത്രിക്കുക	നിയമം ഉദ്‌വമനം നിയന്ത്രിക്കും.
reinforce	ബലപ്പെടുത്തുക	കൂടുതൽ ബീമുകൾ മേൽക്കൂരയെ ബലപ്പെടുത്തുന്നു.
relieve	കുറയ്ക്കുക	മരുന്നുകൾക്ക് വേദന കുറയ്ക്കാൻ കഴിയും.
relieved	ആശ്വാസമുള്ള	കോളിന് ശേഷം അവൾക്ക് ആശ്വാസം തോന്നി.
remarkable	ശ്രദ്ധേയമായ	രോഗമുക്തി ശ്രദ്ധേയമായിരുന്നു.
remarkably	അത്ഭുതകരമാംവിധം	അവൻ അത്ഭുതകരമാംവിധം വേഗത്തിൽ സുഖം പ്രാപിച്ചു.
reporting	റിപ്പോർട്ടിംഗ്	കൃത്യമായ റിപ്പോർട്ടിംഗ് പ്രധാനമാണ്.
resign	രാജി വെക്കുക	മാനേജർ നാളെ രാജി വെക്കും.
resolution	റെസലൂഷൻ	സ്ക്രീനിന് ഉയർന്ന റെസലൂഷൻ ഉണ്ട്.
restore	പുനഃസ്ഥാപിക്കുക	തൊഴിലാളികൾ പഴയ പെയിന്റിംഗ് പുനഃസ്ഥാപിക്കുന്നു.
restrict	പരിമിതപ്പെടുത്തുക	നിയമങ്ങൾ പാർക്കിംഗ് പരിമിതപ്പെടുത്തുന്നു.
restriction	നിയന്ത്രണം	നിയന്ത്രണം നാളെ അവസാനിക്കും.
retail	ചില്ലറവിൽപ്പന	ചില്ലറ വിൽപ്പന വർദ്ധിച്ചു.
retirement	വിരമിക്കൽ	അവൾ തന്റെ വിരമിക്കൽ ശ്രദ്ധാപൂർവ്വം ആസൂത്രണം ചെയ്തു.
revenue	വരുമാനം	ടിക്കറ്റ് വരുമാനം അറ്റകുറ്റപ്പണികൾക്കായി ഉപയോഗിച്ചു.
