source_headword	MY	example_MY
trophy	ဆုဖလား	အသင်းခေါင်းဆောင်သည် ဆုဖလားကို ဂုဏ်ယူစွာ ကိုင်မြှောက်ခဲ့သည်။
troubled	ပြဿနာရှိသော	ပြဿနာရှိသော ကုမ္ပဏီသည် ခေါင်းဆောင်မှုအသစ် လိုအပ်ခဲ့သည်။
trustee	ယုံကြည်အပ်နှံခံရသူ	ယုံကြည်အပ်နှံခံရသူသည် ပညာသင်ဆုရန်ပုံငွေကို စီမံခန့်ခွဲသည်။
tuition	ကျောင်းလခ	ဒီနှစ်တွင် သူမ၏ ကျောင်းလခ တိုးလာသည်။
turnout	တက်ရောက်သူအရေအတွက်	မဲပေးရန် တက်ရောက်သူအရေအတွက်သည် မျှော်မှန်းထားသည်ထက် ပိုများသည်။
turnover	အပြောင်းအလဲ	ပြောင်းလဲမှုများအပြီးတွင် ဝန်ထမ်းအပြောင်းအလဲ လျော့ကျသွားသည်။
twist	လိမ်လှည့်သည်	သူမက အဖုံးကို လိမ်လှည့်ဖွင့်လိုက်သည်။
undergraduate	ဘွဲ့ကြိုကျောင်းသား	ဘွဲ့ကြိုကျောင်းသားသည် သုတေသနပရောဂျက်တစ်ခုတွင် ပါဝင်ခဲ့သည်။
underlying	အခြေခံကျသော	အစီရင်ခံစာက အခြေခံကျသော အကြောင်းရင်းများကို ရှင်းပြခဲ့သည်။
undermine	ထိခိုက်စေသည်	အရှုပ်တော်ပုံက ပြည်သူလူထု၏ ယုံကြည်မှုကို ထိခိုက်စေခဲ့သည်။
undoubtedly	သံသယဖြစ်ဖွယ်မရှိဘဲ	သူမသည် သံသယဖြစ်ဖွယ်မရှိဘဲ အကောင်းဆုံး ကိုယ်စားလှယ်လောင်း ဖြစ်သည်။
unify	ပေါင်းစည်းသည်	အစီအစဉ်သည် အသင်းများကို ပေါင်းစည်းပေးသည်။
unprecedented	အရင်ကမဖြစ်ဖူးသော	မုန်တိုင်းက အရင်ကမဖြစ်ဖူးသော ပျက်စီးဆုံးရှုံးမှုကို ဖြစ်စေခဲ့သည်။
unveil	ထုတ်ဖော်ပြသသည်	ကုမ္ပဏီသည် ဒီဇိုင်းကို မနက်ဖြန်တွင် ထုတ်ဖော်ပြသမည်။
upcoming	လာမည့်	လာမည့် ရွေးကောက်ပွဲသည် ပြည်သူလူထု၏ အာရုံစိုက်မှုကို ဆွဲဆောင်ခဲ့သည်။
upgrade	အဆင့်မြှင့်သည်	ကျွန်ုပ်တို့သည် မနေ့ညက ဆော့ဖ်ဝဲလ်ကို အဆင့်မြှင့်ခဲ့သည်။
uphold	ထိန်းသိမ်းသည်	ကျွန်ုပ်တို့သည် မူလဆုံးဖြတ်ချက်ကို ထိန်းသိမ်းသည်။
utility	ရေမီးအသုံးစရိတ်	တိုက်ခန်းတွင် ရေမီးအသုံးစရိတ် အားလုံး ပါဝင်သည်။
utilize	အသုံးပြုသည်	အသင်းသည် ရရှိနိုင်သော အချက်အလက်များကို အသုံးပြုခဲ့သည်။
utterly	လုံးဝ	ရှင်းပြချက်သည် လုံးဝ ရှုပ်ထွေးနေသည်။
vacuum	လစ်ဟာမှု	ခေါင်းဆောင်မှု လစ်ဟာမှုက တင်းမာမှုကို ဖြစ်စေခဲ့သည်။
vague	မသဲကွဲသော	သူ့အဖြေသည် မသဲကွဲဘဲ အားနည်းနေသည်။
validity	တရားဝင်မှု	လေ့လာမှုက စစ်ဆေးချက်၏ တရားဝင်မှုကို မေးခွန်းထုတ်ခဲ့သည်။
vanish	ပျောက်ကွယ်သွားသည်	ဖိုင်သည် ဖိုင်တွဲထဲမှ ပျောက်ကွယ်သွားသည်။
variable	ပြောင်းလဲနိုင်သောအရာ	စျေးနှုန်းသည် အရေးကြီးသော ပြောင်းလဲနိုင်သောအရာ တစ်ခုဖြစ်သည်။
varied	အမျိုးမျိုးသော	သင်တန်းသည် အမျိုးမျိုးသော အိမ်စာများကို ပေးသည်။
vein	သွေးပြန်ကြော	သူနာပြုက သွေးပြန်ကြောကို မြန်မြန် ရှာတွေ့ခဲ့သည်။
venture	စီးပွားရေးလုပ်ငန်း	စီးပွားရေးလုပ်ငန်းသစ်သည် ရင်းနှီးမြှုပ်နှံသူများကို ဆွဲဆောင်နိုင်ခဲ့သည်။
verbal	နှုတ်ဖြင့်ပြောသော	သူတို့သည် နှုတ်ဖြင့်ပြောသော သဘောတူညီချက်တစ်ခု ရရှိခဲ့သည်။
verdict	စီရင်ချက်	ဂျူရီလူကြီးများက ၎င်း၏ စီရင်ချက်ကို ချမှတ်ခဲ့သည်။
verify	အတည်ပြုသည်	သင့်အီးမေးလ်လိပ်စာကို ကျေးဇူးပြု၍ အတည်ပြုပါ။
verse	ကဗျာပိုဒ်	သူမက ကဗျာထဲမှ ကဗျာပိုဒ်တစ်ခုကို ကိုးကားခဲ့သည်။
versus	နှင့်	စကားစစ်ထိုးပွဲသည် ကိုယ်ရေးကိုယ်တာလုံခြုံမှုနှင့် လုံခြုံရေးအကြောင်း ဖြစ်သည်။
vessel	သင်္ဘော	သင်္ဘောသည် ပင်လယ်ဖြတ်၍ ကောက်ပဲသီးနှံများကို သယ်ဆောင်ခဲ့သည်။
veteran	ဝါရင့်သူ	ဝါရင့်သူသည် ဝန်ထမ်းသစ်များကို လေ့ကျင့်ပေးခဲ့သည်။
viable	ဖြစ်နိုင်ခြေရှိသော	အဆိုပြုချက်သည် ဘဏ္ဍာရေးအရ ဖြစ်နိုင်ခြေရှိသည်။
vibrant	တက်ကြွလှုပ်ရှားသော	မြို့တော်တွင် တက်ကြွလှုပ်ရှားသော အနုပညာနယ်ပယ်တစ်ခု ရှိသည်။
vice	ဒုစရိုက်	လောဘသည် သူ၏ အကြီးမားဆုံးသော ဒုစရိုက်ဖြစ်သည်။
vicious	ရက်စက်သော	ရက်စက်သော တိုက်ခိုက်မှုက မြို့ကို တုန်လှုပ်စေခဲ့သည်။
villager	ရွာသား	ရွာသားတစ်ဦးက ကျွန်ုပ်တို့ကို မြစ်ဆီသို့ လမ်းပြပေးခဲ့သည်။
violate	ချိုးဖောက်သည်	ကုမ္ပဏီသည် ဘေးကင်းရေးစည်းမျဉ်းများကို ချိုးဖောက်နိုင်သည်။
violation	ချိုးဖောက်မှု	စစ်ဆေးရေးမှူးက ပြင်းထန်သော ချိုးဖောက်မှုကို အစီရင်ခံခဲ့သည်။
virtue	ကိုယ်ကျင့်တရား	သည်းခံခြင်းသည် အရေးကြီးသော ကိုယ်ကျင့်တရား တစ်ခုဖြစ်သည်။
vocal	ပွင့်ပွင့်လင်းလင်းပြောဆိုသော	သူမသည် ဆုံးဖြတ်ချက်နှင့်ပတ်သက်၍ ပွင့်ပွင့်လင်းလင်း ပြောဆိုခဲ့သည်။
vow	ကတိပြုသည်	သူသည် အလုပ်ပြီးအောင်လုပ်မည်ဟု ကတိပြုခဲ့သည်။
vulnerability	ထိခိုက်လွယ်မှု	စာရင်းစစ်ဆေးမှုက လုံခြုံရေး ထိခိုက်လွယ်မှုတစ်ခုကို ဖော်ပြခဲ့သည်။
vulnerable	ထိခိုက်လွယ်သော	အလွန်ပူပြင်းသော အချိန်များတွင် ကလေးများသည် ထိခိုက်လွယ်သည်။
ward	လူနာဆောင်	လူနာသည် အခြားလူနာဆောင်သို့ ပြောင်းရွှေ့သွားသည်။
warehouse	ဂိုဒေါင်	ဂိုဒေါင်တွင် အပိုပစ္စည်းများကို သိုလှောင်ထားသည်။
warfare	စစ်ပွဲ	ခေတ်သစ် စစ်ပွဲသည် နည်းပညာအပေါ် မှီခိုနေသည်။
warrant	ဝရမ်း	ရဲက ရှာဖွေဝရမ်းကို ပြသခဲ့သည်။
warrior	စစ်သည်တော်	စစ်သည်တော်သည် ရွာကို ကာကွယ်ခဲ့သည်။
weaken	အားနည်းစေသည်	ဒဏ်ရာက သူ့ဆုပ်ကိုင်မှုကို အားနည်းစေခဲ့သည်။
weave	ရက်လုပ်သည်	သူမက ခြင်းတောင်းများကို ရက်လုပ်တတ်လာသည်။
weed	ပေါင်းပင်	ကျောက်တုံးများကြားတွင် ပေါင်းပင်တစ်ခု ပေါက်နေသည်။
well	ရေတွင်း	ရွာရေတွင်း ခန်းခြောက်သွားသည်။
well-being	သုခချမ်းသာ	အိပ်စက်ခြင်းသည် သုခချမ်းသာအတွက် အလွန်အရေးကြီးသည်။
whatsoever	လုံးဝ	သူသည် စိတ်ဝင်စားမှု လုံးဝမပြခဲ့ပါ။
whereby	၎င်းအားဖြင့်	ဥပဒေက မိသားစုများ အယူခံဝင်နိုင်သည့် စနစ်တစ်ခုကို ဖန်တီးပေးခဲ့သည်။
whilst	စဉ်တွင်	သူအနားယူနေစဉ်တွင် သူမက အလုပ်လုပ်ခဲ့သည်။
whip	ရိုက်ခတ်သည်	လေသည် အလံများကို ရိုက်ခတ်နိုင်သည်။
wholly	လုံးလုံးလျားလျား	ဆုံးဖြတ်ချက်သည် လုံးလုံးလျားလျား မျှော်လင့်မထားသောအရာ ဖြစ်သည်။
widen	ချဲ့ထွင်သည်	မြို့တော်သည် လမ်းကို ချဲ့ထွင်မည်။
widow	မုဆိုးမ	မုဆိုးမသည် ကျောင်းအနီးတွင် နေထိုင်သည်။
width	အကျယ်	တံခါး၏ အကျယ်ကို တိုင်းတာပါ။
willingness	ဆန္ဒရှိမှု	ကူညီလိုသော သူမ၏ ဆန္ဒရှိမှုက လူတိုင်းကို သဘောကျစေခဲ့သည်။
wipe	သုတ်သည်	ဖန်သားပြင်ကို အဝတ်တစ်ခုဖြင့် သုတ်ပါ။
wit	ဉာဏ်ပညာ	သူ၏ ဉာဏ်ပညာက မိန့်ခွန်းကို အသက်ဝင်စေခဲ့သည်။
withdrawal	ရုတ်သိမ်းခြင်း	ရန်ပုံငွေ ရုတ်သိမ်းခြင်းက ပရောဂျက်ကို ကြန့်ကြာစေခဲ့သည်။
workout	ကိုယ်လက်လှုပ်ရှားမှု	ကိုယ်လက်လှုပ်ရှားမှုသည် မိနစ်လေးဆယ် ကြာမြင့်ခဲ့သည်။
worship	ဝတ်ပြုကိုးကွယ်ခြင်း	လူများသည် အရုဏ်တက်ချိန်တွင် ဝတ်ပြုကိုးကွယ်ကြသည်။
worthwhile	တန်ဖိုးရှိသော	ခရီးစဉ်သည် တန်ဖိုးရှိသည်။
worthy	ထိုက်တန်သော	ပရဟိတအဖွဲ့သည် ထောက်ပံ့မှုနှင့် ထိုက်တန်သည်။
yell	အော်ဟစ်သည်	ဝန်ထမ်းများကို မအော်ဟစ်ပါနှင့်။
yield	အထွက်နှုန်း	ဒီရာသီတွင် လယ်ယာ၏ အထွက်နှုန်း တိုးတက်လာသည်။
youngster	လူငယ်	လူငယ်လေးသည် မေးခွန်းများစွာ မေးခဲ့သည်။
