source_headword	DA	example_DA
lawyer	en advokat	Advokaten ringede til mig.
lazy	doven	Vær ikke doven.
lead1	lede	En god leder leder med et godt eksempel.
leader	en leder	Hun er holdets leder.
learning	læring	At lære tager tid.
least	mindst	Vælg den mindst dyre.
lecture	en forelæsning	Forelæsningen starter klokken ti.
lemon	en citron	Kom citron i teen.
lend	låne ud	Kan du låne mig fem dollar?
less	mindre	Spis mindre sukker.
level	et niveau	Dette niveau er let.
lifestyle	en livsstil	Han har en sund livsstil.
lift	løfte; en elevator	Løft kassen forsigtigt.
light	tænde	Tænd lyset forsigtigt.
light (not heavy)	let	Denne taske er let.
likely	sandsynlig	Det regner sandsynligvis i morgen.
link	et link	Send mig linket.
listener	en lytter	Vær en god lytter.
lock	låse; en lås	Lås døren.
lorry	en lastbil	Lastbilen transporterede kasser.
lost	tabt; faret vild	Vi farede vild.
loud	høj; højlydt	Musikken er høj.
loudly	højt	Tal ikke så højt, tak.
lovely	dejlig; smuk	Sikke en dejlig have!
low	lav	Stolen er lav.
luck	held	Held og lykke med prøven.
lucky	heldig	Du er heldig i dag.
mail	post; et brev	Jeg fik post i morges.
major	stor; vigtig	Dette er et stort problem.
male	mandlig; en han	Hanfuglen er farverig.
manage	håndtere; klare	Kan du klare denne opgave?
manager	en leder; en chef	Chefen har travlt.
manner	en måde; opførsel	Tal på en høflig måde.
mark	mærke; en karakter	Mærk dit svar tydeligt.
marry	gifte sig	De skal gifte sig i juni.
material	et materiale	Dette materiale føles blødt.
mathematics	matematik	Matematik er mit yndlingsfag.
maths	matematik	Matematik er svært for mig.
matter	en sag; betyde noget	Det betyder ikke noget.
may modal	må; kan	Du må gå nu.
media	medier	Medierne dækkede historien.
medical	medicinsk	Hun har brug for medicinsk hjælp.
medicine	medicin	Tag denne medicin efter frokost.
memory	et minde; hukommelse	Min hukommelse er god.
mention	nævne	Nævn ikke mit navn.
metal	metal	Porten er lavet af metal.
method	en metode	Denne metode fungerer godt.
middle	midten	Stå i midten.
might modal	måske; kan	Det kan regne senere.
mind	et sind; en mening	Jeg skiftede mening.
mine (belongs to me)	min; mit	Denne bog er min.
mirror	et spejl	Se i spejlet.
missing	savnet; væk	Mine nøgler er væk.
mobile	en mobiltelefon	Min mobiltelefon ligger på bordet.
monkey	en abe	Aben klatrede op i træet.
moon	månen	Månen er lys.
mostly	for det meste	Klassen var for det meste stille.
motorcycle	en motorcykel	Han kører motorcykel.
movement	en bevægelse	Jeg så en bevægelse i træerne.
musical	en musical; musikalsk	Dette er en musikalsk film.
musician	en musiker	Musikeren spillede guitar.
myself	mig selv	Jeg lavede dette selv.
narrow	smal	Vejen er smal.
national	national	Dette er en national helligdag.
nature	natur	Jeg elsker naturen.
nearly	næsten	Vi er næsten fremme.
necessary	nødvendig	Er dette nødvendigt?
neck	en nakke; en hals	Min nakke gør ondt.
neither	ingen af dem	Ingen af svarene er rigtige.
nervous	nervøs	Hun føler sig nervøs.
network	et netværk	Netværket er nede.
noise	støj; en lyd	Jeg hørte en høj lyd.
noisy	støjende	Gaden er støjende.
none	ingen	Ingen af dem kom.
normal	normal	Dette er normalt.
normally	normalt	Jeg står normalt tidligt op.
notice	lægge mærke til; en besked	Lagde du mærke til skiltet?
novel	en roman	Hun skrev en roman.
nowhere	ingen steder	Der var ingen steder at sidde.
nut	en nød	Nødden er hård.
ocean	et hav	Havet er dybt.
offer	tilbyde; et tilbud	Jeg tog imod tilbuddet.
officer	en politibetjent; en officer	Politibetjenten tjekkede min billet.
oil	olie	Kom olie på panden.
onto	på; op på	Læg det på hylden.
opportunity	en mulighed	Dette er en god mulighed.
option	en mulighed; et alternativ	Vælg det bedste alternativ.
ordinary	almindelig	Det var en almindelig dag.
organization	en organisation	Organisationen hjælper studerende.
organize	organisere; ordne	Ordne filerne, tak.
original	oprindelig; original	Behold den originale kvittering.
ourselves	os selv	Vi lavede middagen selv.
oven	en ovn	Ovnen er varm.
owner	en ejer	Ejeren åbnede butikken.
pack	pakke; en pakke	Pak din taske nu.
pain	smerte	Jeg føler smerte i ryggen.
painter	en maler	Maleren gjorde væggen færdig.
palace	et palads	Paladset er gammelt.
pants	bukser	Disse bukser er for lange.
parking	parkering	Parkering er svært her.
particular	bestemt; særlig	Jeg har brug for en bestemt bog.
pass	give; passere	Giv mig saltet.
passenger	en passager	Hver passager har brug for en billet.
patient	en patient; tålmodig	Vær tålmodig med børnene.
pattern	et mønster	Dette mønster er enkelt.
peace	fred; ro	Vi ønsker alle fred.
penny	en lille mønt	Jeg fandt en lille mønt.
per	per; for	Billetten koster ti dollar per person.
per cent	procent	Fem procent er lidt.
perform	optræde; udføre	Bandet optræder i aften.
perhaps	måske	Måske er hun hjemme.
permission	tilladelse	Bed om tilladelse først.
personality	en personlighed	Hun har en venlig personlighed.
pet	et kæledyr	Mit kæledyr er en kat.
petrol	benzin	Bilen har brug for benzin.
physical	fysisk	Fysisk træning hjælper helbredet.
physics	fysik	Fysik er svært.
pick	vælge; plukke	Vælg et kort.
pilot	en pilot	Piloten talte tydeligt.
planet	en planet	Jorden er en planet.
plastic	plast; plastik-	Flasken er lavet af plast.
plate	en tallerken	Læg maden på tallerkenen.
platform	en platform; en perron	Vent på perron to.
pleased	glad; tilfreds	Jeg er glad for at møde dig.
pocket	en lomme	Billetten ligger i min lomme.
polite	høflig	Vær høflig mod alle.
pollution	forurening	Forurening skader havet.
pop	pop; popmusik	Jeg kan lide popmusik.
population	en befolkning	Befolkningen vokser.
position	en position	Skift din position.
possession	en ejendel	Denne ring er min ejendel.
possibility	en mulighed	Der er en mulighed for regn.
poster	en plakat	Hæng plakaten på væggen.
power	strøm; kraft	Computeren har brug for strøm.
predict	forudsige	Vi kan ikke forudsige vejret.
president	en præsident	Præsidenten holdt en tale.
prevent	forhindre	Vask hænder for at forhindre sygdom.
print	udskrive	Udskriv dokumentet.
printer	en printer	Printeren er i stykker.
prison	et fængsel	Han kom i fængsel.
prize	en pris	Hun vandt en pris.
process	en proces	Processen tager tid.
produce	producere	Gårde producerer mad.
professional	professionel; en fagperson	Hun er en professionel danser.
professor	en professor	Professoren svarede på spørgsmålet.
profile	en profil	Opdater din profil.
program	et program	Programmet starter nu.
progress	fremskridt	Vi gjorde fremskridt i dag.
promise	love; et løfte	Hold dit løfte.
pronounce	udtale	Udtal dette ord, tak.
protect	beskytte	Beskyt dine øjne.
provide	give; sørge for	De giver gratis vand.
pub	en pub; en bar	Vi mødtes på pubben.
public	offentlig	Parken er offentlig.
publish	udgive	De udgiver et magasin.
pull	trække	Træk i døren.
purpose	et formål	Hvad er formålet?
push	skubbe; trykke	Tryk på knappen.
quality	kvalitet	Kvaliteten er høj.
quantity	en mængde	Tjek mængden.
queen	en dronning	Dronningen vinkede.
quietly	stille; lavt	Tal stille.
race (competition)	et løb; en konkurrence	Løbet starter snart.
railway	en jernbane	Jernbanen er lukket.
raise	løfte; hæve	Løft hånden.
rate	en pris; en sats	Hotelprisen er høj.
rather	ret; hellere	Jeg er ret træt.
reach	nå; række	Kan du nå hylden?
react	reagere	Hvordan reagerede hun?
realize	indse	Jeg indså min fejl.
receive	modtage	Fik du min besked?
recent	nylig; ny	Dette er et nyt billede.
recently	for nylig	Jeg flyttede hertil for nylig.
reception	en reception; en modtagelse	Modtagelsen er på mandag.
recipe	en opskrift	Denne opskrift er enkel.
recognize	genkende	Jeg genkender den sang.
recommend	anbefale	Jeg anbefaler denne bog.
record	en optegnelse; optage	Gem en optegnelse over betalingen.
recording	en optagelse	Optagelsen lyder tydelig.
recycle	genbruge; genanvende	Genbrug papir og plast.
reduce	reducere	Sænk varmen.
refer	henvise	Henvis til side to.
refuse1	nægte	Jeg nægter at lyve.
region	en region	Denne region er kold.
regular	regelmæssig; fast	Hun er en fast kunde.
relationship	et forhold	Deres forhold er stærkt.
remove	fjerne; tage af	Tag skoene af.
repair	reparere	Reparer cyklen i dag.
replace	erstatte; udskifte	Udskift det gamle batteri.
reply	svare	Svar hurtigt, tak.
reporter	en reporter	Reporteren tog noter.
request	en anmodning	Jeg kom med en anmodning.
research	forskning; undersøge	Vi undersøger lokal historie.
researcher	en forsker	Forskeren tjekkede dataene.
respond	svare; reagere	Svar i dag, tak.
response	et svar; en reaktion	Svaret var hurtigt.
rest (remaining part)	resten	Spis resten senere.
rest (sleep/relax)	hvile	Du har brug for hvile.
review	gennemgå; en anmeldelse	Gennemgå dine noter i aften.
ring1	en ring	Hun har en guldring på.
ring2	ringe	Ring til mig efter frokost.
rise	stige; en stigning	Priserne stiger hvert år.
rock (stone)	en sten	Stenen er tung.
