hsk_key	source_word	simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
325:从小	从小	从小	desde pequeño; desde la infancia	Me gusta dibujar desde pequeño.	depuis l'enfance	J'aime dessiner depuis l'enfance.	von klein auf	Ich zeichne gern, seit ich klein bin.	fin da piccolo	Mi piace disegnare fin da piccolo.	desde pequeno; desde a infância	Gosto de desenhar desde pequeno.	с детства	Я с детства люблю рисовать.
327:打1	打1	打	llamar; hacer una llamada	Llamo a mi papá.	appeler; passer un appel	J'appelle mon père.	anrufen	Ich rufe meinen Vater an.	chiamare; fare una telefonata	Chiamo mio padre.	telefonar; fazer uma chamada	Ligo ao meu pai.	звонить; набрать	Я звоню папе.
328:打车	打车	打车	tomar un taxi	Vamos al aeropuerto en taxi.	prendre un taxi	Nous prenons un taxi pour aller à l'aéroport.	ein Taxi nehmen	Wir nehmen ein Taxi zum Flughafen.	prendere un taxi	Prendiamo un taxi per andare all'aeroporto.	apanhar um táxi	Vamos de táxi para o aeroporto.	ехать на такси; взять такси	Мы едем в аэропорт на такси.
329:打开	打开	打开	abrir	Por favor, abre el libro.	ouvrir	Ouvre le livre, s'il te plaît.	öffnen	Öffne bitte das Buch.	aprire	Per favore, apri il libro.	abrir	Por favor, abre o livro.	открывать; открыть	Пожалуйста, открой книгу.
330:但	但	但	pero	Estoy ocupado, pero estoy contento.	mais	Je suis occupé, mais je suis content.	aber	Ich bin sehr beschäftigt, aber ich bin froh.	ma	Sono occupato, ma sono contento.	mas	Estou ocupado, mas estou contente.	но	Я очень занят, но я рад.
338:动	动	动	moverse	No te muevas.	bouger	Ne bouge pas.	sich bewegen	Beweg dich nicht.	muoversi	Non muoverti.	mexer-se	Não te mexas.	двигаться; шевелиться	Не двигайся.
340:飞	飞	飞	volar	El pájaro vuela en el cielo.	voler	L'oiseau vole dans le ciel.	fliegen	Der Vogel fliegt am Himmel.	volare	L'uccello vola nel cielo.	voar	O pássaro voa no céu.	летать; лететь	Птица летит в небе.
342:高中	高中	高中	la escuela secundaria superior	Mi hermano mayor estudia en la escuela secundaria superior.	le lycée	Mon grand frère étudie au lycée.	die Oberstufe; das Gymnasium	Mein älterer Bruder geht in die Oberstufe.	la scuola superiore	Mio fratello maggiore studia alla scuola superiore.	o ensino secundário	O meu irmão mais velho estuda no ensino secundário.	старшая школа	Мой старший брат учится в старшей школе.
346:公交车	公交车	公交车	el autobús	Voy a la escuela en autobús.	le bus; l'autobus	Je vais à l'école en bus.	der Bus	Ich fahre mit dem Bus zur Schule.	l'autobus	Vado a scuola in autobus.	o autocarro	Vou para a escola de autocarro.	автобус	Я езжу в школу на автобусе.
348:过来	过来	过来	venir aquí; acercarse	Por favor, ven aquí un momento.	venir ici; s'approcher	Viens ici un instant, s'il te plaît.	herüberkommen	Komm bitte kurz herüber.	venire qui; avvicinarsi	Per favore, vieni qui un momento.	vir cá; aproximar-se	Por favor, vem cá um momento.	подойти; прийти сюда	Пожалуйста, подойди на минуту.
349:过年	过年	过年	celebrar el Año Nuevo	Volvemos a casa para celebrar el Año Nuevo.	fêter le Nouvel An	Nous rentrons à la maison pour fêter le Nouvel An.	das Neujahr feiern	Wir fahren nach Hause, um Neujahr zu feiern.	festeggiare il Capodanno	Torniamo a casa per festeggiare il Capodanno.	celebrar o Ano Novo	Vamos para casa celebrar o Ano Novo.	праздновать Новый год	Мы едем домой праздновать Новый год.
353:黑色	黑色	黑色	el color negro	La mochila negra está sobre la cama.	la couleur noire	Le cartable noir est sur le lit.	die Farbe Schwarz	Der schwarze Rucksack liegt auf dem Bett.	il colore nero	Lo zaino nero è sul letto.	a cor preta	A mochila preta está em cima da cama.	черный цвет	Черный рюкзак лежит на кровати.
354:红茶	红茶	红茶	el té negro	A mamá le gusta beber té negro.	le thé noir	Maman aime boire du thé noir.	der schwarze Tee	Mama trinkt gern schwarzen Tee.	il tè nero	Alla mamma piace bere tè nero.	o chá preto	A mãe gosta de beber chá preto.	черный чай	Мама любит пить черный чай.
355:红色	红色	红色	el color rojo	Tengo una prenda roja.	la couleur rouge	J'ai un vêtement rouge.	die Farbe Rot	Ich habe ein rotes Kleidungsstück.	il colore rosso	Ho un capo di abbigliamento rosso.	a cor vermelha	Tenho uma peça de roupa vermelha.	красный цвет	У меня есть красная одежда.
361:回来	回来	回来	volver; regresar	Él vuelve por la noche.	revenir; rentrer	Il revient le soir.	zurückkommen	Er kommt am Abend zurück.	tornare; ritornare	Lui torna la sera.	voltar; regressar	Ele volta à noite.	вернуться; прийти обратно	Он вернется вечером.
362:回去	回去	回去	volver; regresar allí	Vuelvo después de clase.	rentrer; retourner	Je rentre après le cours.	zurückgehen	Ich gehe nach dem Unterricht zurück.	tornare indietro; rientrare	Torno dopo la lezione.	voltar; regressar	Vou voltar depois da aula.	вернуться; пойти обратно	После урока я пойду обратно.
364:机票	机票	机票	el billete de avión	Compré un billete de avión.	le billet d'avion	J'ai acheté un billet d'avion.	das Flugticket	Ich habe ein Flugticket gekauft.	il biglietto aereo	Ho comprato un biglietto aereo.	o bilhete de avião	Comprei um bilhete de avião.	авиабилет	Я купил авиабилет.
366:间	间	间	clasificador para habitaciones	Esta es un aula.	classificateur pour les pièces	C'est une salle de classe.	Zählwort für Räume	Das ist ein Klassenzimmer.	classificatore per stanze	Questa è un'aula.	classificador para divisões	Esta é uma sala de aula.	счетное слово для помещений	Это одна аудитория.
372:进来	进来	进来	entrar; venir adentro	Por favor, entra.	entrer; venir dedans	Entrez, s'il vous plaît.	hereinkommen	Kommen Sie bitte herein.	entrare; venire dentro	Prego, entra.	entrar; vir para dentro	Por favor, entra.	войти; зайти внутрь	Пожалуйста, входите.
373:进去	进去	进去	entrar; ir adentro	Entremos.	entrer; aller dedans	Entrons.	hineingehen	Gehen wir hinein.	entrare; andare dentro	Entriamo.	entrar; ir para dentro	Vamos entrar.	войти; зайти внутрь	Давайте войдем.
375:酒店	酒店	酒店	el hotel	El hotel está muy cerca del aeropuerto.	l'hôtel	L'hôtel est très proche de l'aéroport.	das Hotel	Das Hotel liegt sehr nah am Flughafen.	l'hotel	L'hotel è molto vicino all'aeroporto.	o hotel	O hotel fica muito perto do aeroporto.	отель; гостиница	Отель находится очень близко к аэропорту.
379:开学	开学	开学	empezar las clases; comenzar el curso	Mañana empiezan las clases.	la rentrée; commencer les cours	Les cours commencent demain.	Schulbeginn; die Schule beginnt	Morgen beginnt die Schule.	iniziare la scuola	Domani inizia la scuola.	começar as aulas	As aulas começam amanhã.	начало учебы; начинается учебный год	Завтра начинаются занятия.
380:考	考	考	presentarse a un examen; examinar	Mañana tengo un examen de chino.	passer un examen; tester	Demain, je passe un examen de chinois.	eine Prüfung ablegen; prüfen	Ich habe morgen eine Chinesischprüfung.	sostenere un esame; esaminare	Domani ho un esame di cinese.	fazer um exame; avaliar	Amanhã tenho um exame de chinês.	сдавать экзамен; проверять	Завтра у меня экзамен по китайскому.
386:快要	快要	快要	casi; pronto	El tren está a punto de llegar.	presque; bientôt	Le train va bientôt arriver.	bald; fast	Der Zug kommt gleich an.	quasi; presto	Il treno sta per arrivare.	quase; em breve	O comboio está quase a chegar.	скоро; почти	Поезд скоро прибудет.
387:篮球	篮球	篮球	el baloncesto	Me gusta jugar al baloncesto.	le basket-ball	J'aime jouer au basket-ball.	der Basketball	Ich spiele gern Basketball.	la pallacanestro; il basket	Mi piace giocare a basket.	o basquetebol	Gosto de jogar basquetebol.	баскетбол	Я люблю играть в баскетбол.
390:里面	里面	里面	dentro; en el interior	El libro está dentro de la mochila.	dedans; à l'intérieur	Le livre est dans le cartable.	drinnen; im Inneren	Das Buch ist im Rucksack.	dentro; all'interno	Il libro è dentro lo zaino.	dentro; no interior	O livro está dentro da mochila.	внутри	Книга лежит внутри рюкзака.
393:路上	路上	路上	en el camino; de camino	Estoy de camino.	sur la route; en chemin	Je suis en chemin.	unterwegs; auf dem Weg	Ich bin unterwegs.	per strada; lungo il cammino	Sono per strada.	no caminho; a caminho	Estou a caminho.	в пути; по дороге	Я в пути.
395:绿茶	绿茶	绿茶	el té verde	A papá le gusta beber té verde.	le thé vert	Papa aime boire du thé vert.	der grüne Tee	Papa trinkt gern grünen Tee.	il tè verde	A papà piace bere tè verde.	o chá verde	O pai gosta de beber chá verde.	зеленый чай	Папа любит пить зеленый чай.
396:绿色	绿色	绿色	el color verde	Esta taza es verde.	la couleur verte	Cette tasse est verte.	die Farbe Grün	Dieser Becher ist grün.	il colore verde	Questa tazza è verde.	a cor verde	Esta chávena é verde.	зеленый цвет	Эта чашка зеленая.
398:没意思	没意思	没意思	aburrido; sin interés	Esta película es aburrida.	ennuyeux; sans intérêt	Ce film est ennuyeux.	langweilig; uninteressant	Dieser Film ist langweilig.	noioso; poco interessante	Questo film è noioso.	aborrecido; sem interesse	Este filme é aborrecido.	скучный; неинтересный	Этот фильм скучный.
401:门口	门口	门口	la entrada; la puerta	Te espero en la entrada de la escuela.	l'entrée; le seuil	Je t'attends à l'entrée de l'école.	der Eingang; die Tür	Ich warte am Schuleingang auf dich.	l'ingresso; la porta	Ti aspetto all'ingresso della scuola.	a entrada; a porta	Estou à tua espera à entrada da escola.	вход; у двери	Я жду тебя у входа в школу.
402:门票	门票	门票	la entrada; el boleto de admisión	La entrada no es cara.	le billet d'entrée	Le billet d'entrée n'est pas cher.	die Eintrittskarte	Die Eintrittskarte ist nicht teuer.	il biglietto d'ingresso	Il biglietto d'ingresso non è caro.	o bilhete de entrada	O bilhete de entrada não é caro.	входной билет	Входной билет недорогой.
403:面1	面1	面	el lado; la superficie; sufijo locativo	Fuera está lloviendo.	le côté; la surface; suffixe locatif	Il pleut dehors.	die Seite; die Oberfläche; Ortsendung	Draußen regnet es.	il lato; la superficie; suffisso locativo	Fuori piove.	o lado; a superfície; sufixo locativo	Está a chover lá fora.	сторона; поверхность; суффикс места	На улице идет дождь.
404:名	名	名	clasificador para personas	Esta es una profesora.	classificateur pour les personnes	C'est une enseignante.	Zählwort für Personen	Das ist eine Lehrerin.	classificatore per persone	Questa è un'insegnante.	classificador para pessoas	Esta é uma professora.	счетное слово для людей	Это одна учительница.
406:那么	那么	那么	tan; de esa manera	Él no está tan ocupado.	tellement; de cette façon	Il n'est pas si occupé.	so; auf diese Weise	Er ist nicht so beschäftigt.	così; in quel modo	Non è così occupato.	tão; dessa maneira	Ele não está assim tão ocupado.	так; настолько	Он не так занят.
407:那样	那样	那样	así; de esa manera	No lo digas así.	ainsi; de cette manière	Ne parle pas de cette manière.	so; auf diese Art	Sag das nicht so.	così; in quel modo	Non dirlo così.	assim; dessa maneira	Não digas isso assim.	так; таким образом	Не говори так.
408:奶茶	奶茶	奶茶	el té con leche	Quiero beber té con leche.	le thé au lait	Je veux boire du thé au lait.	der Milchtee	Ich möchte Milchtee trinken.	il tè al latte	Voglio bere tè al latte.	o chá com leite	Quero beber chá com leite.	чай с молоком; молочный чай	Я хочу выпить чай с молоком.
410:男孩儿	男孩儿	男孩儿	el niño; el chico	Ese niño está corriendo.	le garçon	Ce garçon court.	der Junge	Dieser Junge läuft.	il ragazzo; il bambino	Quel ragazzo sta correndo.	o rapaz; o menino	Aquele rapaz está a correr.	мальчик	Тот мальчик бежит.
412:女孩儿	女孩儿	女孩儿	la niña; la chica	A esa niña le gusta bailar.	la fille	Cette fille aime danser.	das Mädchen	Dieses Mädchen tanzt gern.	la ragazza; la bambina	A quella ragazza piace ballare.	a rapariga; a menina	Aquela rapariga gosta de dançar.	девочка	Та девочка любит танцевать.
414:跑	跑	跑	correr	Él corre muy rápido.	courir	Il court très vite.	laufen	Er läuft sehr schnell.	correre	Lui corre molto veloce.	correr	Ele corre muito depressa.	бегать; бежать	Он очень быстро бегает.
421:球	球	球	la pelota; el balón	Esta pelota es roja.	le ballon; la balle	Ce ballon est rouge.	der Ball	Dieser Ball ist rot.	la palla; il pallone	Questa palla è rossa.	a bola	Esta bola é vermelha.	мяч	Этот мяч красный.
423:肉	肉	肉	la carne	No como carne.	la viande	Je ne mange pas de viande.	das Fleisch	Ich esse kein Fleisch.	la carne	Non mangio carne.	a carne	Não como carne.	мясо	Я не ем мясо.
424:商场	商场	商场	el centro comercial	Hay mucha gente en el centro comercial.	le centre commercial	Il y a beaucoup de monde dans le centre commercial.	das Einkaufszentrum	Im Einkaufszentrum sind viele Leute.	il centro commerciale	C'è molta gente nel centro commerciale.	o centro comercial	Há muitas pessoas no centro comercial.	торговый центр	В торговом центре много людей.
425:上来	上来	上来	subir hacia aquí	Por favor, sube.	monter ici	Monte ici, s'il te plaît.	heraufkommen	Komm bitte herauf.	salire qui	Per favore, sali qui.	subir cá	Por favor, sobe.	подняться сюда	Пожалуйста, поднимись сюда.
426:上面	上面	上面	arriba; encima	El libro está encima de la mesa.	dessus; en haut	Le livre est sur la table.	oben; darauf	Das Buch liegt auf dem Tisch.	sopra; in alto	Il libro è sul tavolo.	em cima; acima	O livro está em cima da mesa.	сверху; на поверхности	Книга лежит на столе.
427:上去	上去	上去	subir; ir arriba	Subamos a mirar.	monter; aller en haut	Montons voir.	hinaufgehen	Gehen wir hinauf und schauen nach.	salire; andare su	Saliamo a vedere.	subir; ir para cima	Vamos subir para ver.	подняться; пойти наверх	Давайте поднимемся и посмотрим.
431:时	时	时	tiempo; entonces	En ese momento yo estaba en la escuela.	temps; à ce moment-là	À ce moment-là, j'étais à l'école.	Zeit; als	Damals war ich in der Schule.	tempo; quando	A quel tempo ero a scuola.	tempo; quando	Nessa altura, eu estava na escola.	время; тогда	В то время я был в школе.
433:手	手	手	la mano	Tengo las manos frías.	la main	Mes mains sont froides.	die Hand	Meine Hände sind kalt.	la mano	Ho le mani fredde.	a mão	As minhas mãos estão frias.	рука; кисть	У меня холодные руки.
435:书包	书包	书包	la mochila escolar	Mi mochila escolar es grande.	le cartable	Mon cartable est grand.	der Schulrucksack	Mein Schulrucksack ist groß.	lo zaino scolastico	Il mio zaino scolastico è grande.	a mochila escolar	A minha mochila escolar é grande.	школьный рюкзак	Мой школьный рюкзак большой.
438:虽然	虽然	虽然	aunque	Aunque llueve, todavía tengo que salir.	bien que; même si	Bien qu'il pleuve, je dois quand même sortir.	obwohl	Obwohl es regnet, muss ich noch hinausgehen.	anche se	Anche se piove, devo comunque uscire.	embora	Embora esteja a chover, ainda preciso de sair.	хотя	Хотя идет дождь, мне все равно нужно выйти.
441:踢	踢	踢	patear; jugar con el pie	A él le gusta jugar al fútbol.	donner un coup de pied; jouer au pied	Il aime jouer au football.	treten; kicken	Er spielt gern Fußball.	calciare	Gli piace giocare a calcio.	chutar; pontapear	Ele gosta de jogar futebol.	пинать; играть ногой	Он любит играть в футбол.
445:头	头	头	la cabeza	Me duele la cabeza.	la tête	J'ai mal à la tête.	der Kopf	Mein Kopf tut weh.	la testa	Mi fa male la testa.	a cabeça	Dói-me a cabeça.	голова	У меня болит голова.
446:外国	外国	外国	el país extranjero	Él trabaja en un país extranjero.	le pays étranger	Il travaille dans un pays étranger.	das Ausland; ein fremdes Land	Er arbeitet im Ausland.	il paese straniero	Lui lavora in un paese straniero.	o país estrangeiro	Ele trabalha num país estrangeiro.	иностранная страна; зарубежье	Он работает за границей.
447:外面	外面	外面	afuera; fuera	Fuera hace frío.	dehors; à l'extérieur	Il fait froid dehors.	draußen	Draußen ist es kalt.	fuori	Fuori fa freddo.	lá fora; fora	Está frio lá fora.	снаружи; на улице	На улице холодно.
450:往	往	往	hacia	Por favor, camina hacia delante.	vers	Avancez, s'il vous plaît.	in Richtung; nach	Gehen Sie bitte nach vorn.	verso	Per favore, vai avanti.	em direção a; para	Por favor, segue em frente.	по направлению к; в сторону	Пожалуйста, идите вперед.
451:网上	网上	网上	en línea; en internet	Compro libros en línea.	en ligne; sur Internet	J'achète des livres en ligne.	online; im Internet	Ich kaufe Bücher online.	online; su internet	Compro libri online.	online; na internet	Compro livros online.	в интернете; онлайн	Я покупаю книги в интернете.
452:忘	忘	忘	olvidar	Olvidé su nombre.	oublier	J'ai oublié son nom.	vergessen	Ich habe seinen Namen vergessen.	dimenticare	Ho dimenticato il suo nome.	esquecer	Esqueci-me do nome dele.	забывать; забыть	Я забыл его имя.
458:下来	下来	下来	bajar hacia aquí	Por favor, baja.	descendre ici	Descends, s'il te plaît.	herunterkommen	Komm bitte herunter.	scendere qui	Per favore, scendi.	descer cá	Por favor, desce.	спуститься сюда	Пожалуйста, спустись сюда.
459:下面	下面	下面	debajo; abajo	El gato está debajo de la mesa.	dessous; en bas	Le chat est sous la table.	unten; darunter	Die Katze ist unter dem Tisch.	sotto; in basso	Il gatto è sotto il tavolo.	debaixo; em baixo	O gato está debaixo da mesa.	внизу; под	Кошка под столом.
460:下去	下去	下去	bajar; ir abajo	Bajemos.	descendre; aller en bas	Descendons.	hinuntergehen	Gehen wir hinunter.	scendere; andare giù	Scendiamo.	descer; ir para baixo	Vamos descer.	спуститься; пойти вниз	Давайте спустимся.
461:小孩儿	小孩儿	小孩儿	el niño; la niña	El niño está jugando con una pelota.	l'enfant	L'enfant joue avec un ballon.	das Kind	Das Kind spielt mit einem Ball.	il bambino; la bambina	Il bambino gioca con una palla.	a criança	A criança está a brincar com uma bola.	ребенок	Ребенок играет с мячом.
462:小时候	小时候	小时候	en la infancia; cuando era pequeño	Cuando era pequeño, vivía en Pekín.	quand on était petit; dans l'enfance	Quand j'étais petit, j'habitais à Pékin.	als Kind; in der Kindheit	Als Kind habe ich in Peking gewohnt.	da bambino; nell'infanzia	Da bambino vivevo a Pechino.	quando era pequeno; na infância	Quando era pequeno, vivia em Pequim.	в детстве; когда был маленьким	В детстве я жил в Пекине.
465:姓名	姓名	姓名	el nombre completo	Por favor, escribe tu nombre completo.	le nom complet	Écris ton nom complet, s'il te plaît.	der vollständige Name	Schreib bitte deinen vollständigen Namen.	il nome completo	Per favore, scrivi il tuo nome completo.	o nome completo	Por favor, escreve o teu nome completo.	полное имя; фамилия и имя	Пожалуйста, напишите ваше имя и фамилию.
469:药店	药店	药店	la farmacia	La farmacia está al lado del hospital.	la pharmacie	La pharmacie est à côté de l'hôpital.	die Apotheke	Die Apotheke ist neben dem Krankenhaus.	la farmacia	La farmacia è accanto all'ospedale.	a farmácia	A farmácia fica ao lado do hospital.	аптека	Аптека находится рядом с больницей.
477:游	游	游	nadar	El pez nada en el agua.	nager	Le poisson nage dans l'eau.	schwimmen	Der Fisch schwimmt im Wasser.	nuotare	Il pesce nuota nell'acqua.	nadar	O peixe nada na água.	плавать	Рыба плавает в воде.
479:有意思	有意思	有意思	interesante	Este libro es muy interesante.	intéressant	Ce livre est très intéressant.	interessant	Dieses Buch ist sehr interessant.	interessante	Questo libro è molto interessante.	interessante	Este livro é muito interessante.	интересный	Эта книга очень интересная.
480:有时	有时	有时	a veces	A veces voy a la escuela en autobús.	parfois; de temps en temps	Je prends parfois le bus pour aller à l'école.	manchmal	Manchmal fahre ich mit dem Bus zur Schule.	a volte	A volte vado a scuola in autobus.	às vezes	Às vezes vou para a escola de autocarro.	иногда	Иногда я езжу в школу на автобусе.
481:右	右	右	la derecha; el lado derecho	Por favor, mira a la derecha.	la droite; le côté droit	Regarde à droite, s'il te plaît.	rechts; die rechte Seite	Schau bitte nach rechts.	la destra; il lato destro	Per favore, guarda a destra.	a direita; o lado direito	Por favor, olha para a direita.	право; правая сторона	Пожалуйста, посмотрите направо.
488:这么	这么	这么	tan; tanto	Este libro es tan caro.	si; autant	Ce livre est si cher.	so; so viel	Dieses Buch ist so teuer.	così; tanto	Questo libro è così caro.	tão; tanto	Este livro é tão caro.	так; настолько	Эта книга такая дорогая.
489:这样	这样	这样	así; de esta manera	Hacerlo de esta manera está bastante bien.	ainsi; de cette façon	Faire ainsi est plutôt bien.	so; auf diese Weise	Es so zu machen ist ziemlich gut.	così; in questo modo	Farlo così non è male.	assim; desta maneira	Fazer assim é bastante bom.	так; таким образом	Так делать вполне неплохо.
492:周	周	周	la semana	La semana que viene voy a Pekín.	la semaine	La semaine prochaine, je vais à Pékin.	die Woche	Nächste Woche fahre ich nach Peking.	la settimana	La prossima settimana vado a Pechino.	a semana	Na próxima semana vou a Pequim.	неделя	На следующей неделе я поеду в Пекин.
496:走路	走路	走路	caminar	Voy a la escuela caminando todos los días.	marcher	Je vais à l'école à pied tous les jours.	zu Fuß gehen	Ich gehe jeden Tag zu Fuß zur Schule.	camminare	Ogni giorno vado a scuola a piedi.	andar a pé	Todos os dias vou a pé para a escola.	ходить пешком	Каждый день я хожу в школу пешком.
497:足球	足球	足球	el fútbol; el balón de fútbol	Él está jugando al fútbol.	le football; le ballon de football	Il joue au football.	der Fußball	Er spielt Fußball.	il calcio; il pallone da calcio	Lui sta giocando a calcio.	o futebol; a bola de futebol	Ele está a jogar futebol.	футбол; футбольный мяч	Он играет в футбол.
499:左	左	左	la izquierda; el lado izquierdo	Por favor, gira a la izquierda.	la gauche; le côté gauche	Tournez à gauche, s'il vous plaît.	links; die linke Seite	Gehen Sie bitte nach links.	la sinistra; il lato sinistro	Per favore, vai a sinistra.	a esquerda; o lado esquerdo	Por favor, vira à esquerda.	лево; левая сторона	Пожалуйста, поверните налево.
