source_headword	LV	example_LV
input	ieguldījums	Vadītājs lūdza ieguldījumu.
insert	ievietot	Ievietojiet karti automātā.
inspector	inspektors	Inspektors pārbaudīja ēku.
installation	uzstādīšana	Uzstādīšana ilga divas stundas.
instant	tūlītējs	Lietotne nosūtīja tūlītēju atbildi.
instantly	uzreiz	Ekrāns uzreiz ieslēdzās.
integrate	integrēt	Programmatūra var integrēt jaunus rīkus.
intellectual	intelektuāls	Debates bija intelektuālas, bet draudzīgas.
interact	mijiedarboties	Skolēni mijiedarbojas grupu darba laikā.
interaction	mijiedarbība	Mijiedarbība bija pieklājīga.
interpretation	interpretācija	Viņas dzejoļa interpretācija bija oriģināla.
interval	intervāls	Starp cēlieniem bija īss intervāls.
invade	iebrukt	Armija mēģināja iebrukt salā.
invasion	iebrukums	Iebrukums sabojāja daudzas pilsētas.
investor	investors	Investors finansēja jaunu jaunuzņēmumu.
isolate	izolēt	Ārsti izolē pacientus ar smagām infekcijām.
isolated	izolēts	Ciematu bija izolējis sniegs.
jail	cietums	Zaglis devās uz cietumu.
jet	lidmašīna	Lidmašīna nolaidās pusdienlaikā.
joint	kopīgs	Viņi paziņoja par kopīgu projektu.
journalism	žurnālistika	Žurnālistika prasa precīzus faktus.
jury	zvērinātie	Zvērinātie pieņēma lēmumu.
kit	komplekts	Remonta komplektā ietilpst skrūves.
ladder	kāpnes	Kāpnes atbalstījās pret sienu.
landing	nolaišanās	Lidmašīnai bija vienmērīga nolaišanās.
lane	josla	Palieciet labajā joslā.
lately	pēdējā laikā	Pēdējā laikā es guļu slikti.
leaflet	buklets	Buklets izskaidro pakalpojumu.
legend	leģenda	Leģenda vēsta par slēptu pilsētu.
lens	objektīvs	Uzmanīgi notīriet kameras objektīvu.
lifetime	mūžs	Viņš krāja naudu visu mūžu.
lighting	apgaismojums	Labs apgaismojums uzlabo telpu.
likewise	tāpat	Viņa pasmaidīja; viņš rīkojās tāpat.
limitation	ierobežojums	Plānam ir viens ierobežojums.
literally	burtiski	Viņa burtiski skrēja uz autobusu.
literary	literārs	Festivāls godina literāru darbu.
litre	litrs	Nopērciet litru piena.
litter	atkritumi	Nemetiet atkritumus.
logo	logotips	Logotips parādās katrā lapā.
lottery	loterija	Viņš vinnēja nelielu loterijas balvu.
loyal	lojāls	Suns bija lojāls savam saimniekam.
lyric	dziesmas teksts	Dziesmas teksts atkārtoja galveno ideju.
magnificent	brīnišķīgs	Pils izskatījās brīnišķīgi.
make-up	kosmētika	Viņa lietoja vienkāršu kosmētiku.
making	veidošana	Filmas veidošana bija sarežģīta.
manufacture	ražot	Rūpnīca ražos tālruņus.
manufacturing	ražošana	Ražošanas darbavietas vietējā mērogā palielinājās.
marathon	maratons	Viņa finišēja maratonā.
margin	mala	Rakstiet piezīmes malā.
marker	marķieris	Etiķetei izmantojiet marķieri.
martial	cīņas	Viņš apgūst cīņas mākslu.
mate	biedrs	Vakar zvanīja mans vecais skolas biedrs.
mayor	mērs	Mērs atvēra bibliotēku.
mechanic	mehāniķis	Mehāniķis salaboja autobusu.
mechanical	mehānisks	Pulkstenim ir mehānisks defekts.
mechanism	mehānisms	Slēdzenes mehānisms ir vienkāršs.
medal	medaļa	Viņa ieguva zelta medaļu.
medication	zāles	Lietojiet zāles ar ūdeni.
membership	dalība	Sporta zāles dalība tiešsaistē maksā mazāk.
memorable	neaizmirstams	Ceļojums bija neaizmirstams.
metaphor	metafora	Dzejolī izmantota spēcīga metafora.
miner	kalnracis	Kalnracis strādāja pazemē.
miserable	nožēlojams	Lietus padarīja pikniku nožēlojamu.
mode	režīms	Pārslēdziet kameru uz nakts režīmu.
modest	pieticīgs	Viņi dzīvo pieticīgā mājā.
monster	briesmonis	Stāstā ir baisms briesmonis.
monthly	ikmēneša	Mēs maksājam īri katru mēnesi.
monument	piemineklis	Piemineklis stāv pie upes.
moreover	turklāt	Turklāt plāns ietaupa naudu.
mortgage	hipotēka	Viņi pieteicās hipotēkai.
mosque	mošeja	Mošeja atrodas netālu no tirgus.
motion	kustība	Sensors uztver kustību.
motivate	motivēt	Uzslavas var motivēt studentus.
motivation	motivācija	Viņas motivācija palika spēcīga.
moving	aizkustinošs	Runa bija aizkustinoša.
myth	mīts	Mīts izskaidro kalna nosaukumu.
naked	kails	Mazulis pēc vannas bija kails.
nasty	nepatīkams	Griezums izskatījās nepatīkams.
navigation	navigācija	Lietotne uzlabo navigāciju.
nearby	tuvumā	Tuvumā esošā kafejnīca atveras agri.
necessity	nepieciešamība	Tīrs ūdens ir nepieciešamība.
negotiate	saskaņot	Rīt viņi vienosies par līgumu.
negotiation	sarunas	Sarunas ilga visu rītu.
neutral	neitrāls	Tiesnesis palika neitrāls.
newly	nesen	Nesen krāsotās durvis izskatījās gaišas.
norm	norma	Attālināts darbs kļuva par normu.
notebook	piezīmju grāmatiņa	Rakstiet piezīmes savā piezīmju grāmatiņā.
novelist	romānists	Romāniste parakstīja savu grāmatu.
nowadays	mūsdienās	Mūsdienās daudzi cilvēki strādā tiešsaistē.
nursing	māszinības	Viņa studē māszinības.
nutrition	uzturs	Labs uzturs atbalsta veselību.
obesity	aptaukošanās	Aptaukošanās palielina veselības riskus.
observer	novērotājs	Novērotājs reģistrēja rezultātus.
obstacle	šķērslis	Nokritušais koks bija šķērslis.
occupation	nodarbošanās	Lūdzu, ierakstiet šeit savu nodarbošanos.
occupy	aizņemt	Ģimene ievāksies dzīvoklī.
offender	likumpārkāpējs	Likumpārkāpējs tiesā atvainojās.
ongoing	notiekošs	Izmeklēšana turpinās.
openly	atklāti	Viņa atklāti runāja par savām bailēm.
opera	opera	Mēs redzējām operu Milānā.
operator	operators	Operators savienoja zvanu.
optimistic	optimistisks	Viņa jūtas optimistiski par nākotni.
orchestra	orķestris	Orķestris spēlēja klusi.
organic	organisks	Viņi nopirka organiskos dārzeņus.
outfit	apģērbs	Viņas apģērbs atbilda notikumam.
output	izlaide	Mašīnas izlaide palielinājās.
outstanding	izcils	Viņa sniegums bija izcils.
overcome	pārvarēt	Viņi pārvar problēmas kopā.
overnight	pa nakti	Sūtījums ieradās pa nakti.
overseas	ārzemēs	Viņš atrada darbu ārzemēs.
ownership	īpašumtiesības	Zemes īpašumtiesības mainījās.
oxygen	skābeklis	Augi ražo skābekli.
packet	paka	Uzmanīgi atveriet paku.
palm	plauksta	Turiet monētu plaukstā.
panic	panika	Pūlī izplatījās panika.
parade	parāde	Parāde sākās pusdienlaikā.
parallel	paralēls	Ceļi iet paralēli.
participation	līdzdalība	Līdzdalība stundā uzlabojās.
partnership	partnerība	Partnerība palīdzēja abiem uzņēmumiem.
part-time	nepilna laika	Viņa atrada nepilna laika darbu.
passionate	kairīgs	Viņš ir aizrautīgs ar mūziku.
password	parole	Izvēlieties spēcīgu paroli.
patience	pacietība	Mazu bērnu mācīšanai nepieciešama pacietība.
pause	pauze	Pauzējiet videoklipu tūlīt.
peer	vienaudzis	Vienaudžu spiediens ietekmēja viņa izvēli.
penalty	sods	Spēlētājs saņēma sodu.
perceive	uztvert	Cilvēki risku uztver atšķirīgi.
perception	uztvere	Viņa uztvere par briesmām mainījās.
permanently	pastāvīgi	Veikals tika slēgts pastāvīgi.
pill	tablete	Iedzeriet vienu tableti pēc brokastīm.
pity	žēl	Tas ir žēl.
placement	izvietojums	Dīvāna izvietojumam ir nozīme.
portion	porcija	Pasniedziet nelielu rīsu porciju.
potentially	potenciāli	Šīs izmaiņas potenciāli ir noderīgas.
precede	precedēt	Tumši mākoņi bieži vien parādās pirms lietus.
precious	dārgs	Gredzens ir dārgs.
precise	precīzs	Instrukcijas bija precīzas.
precisely	precīzi	Precīzi izmēriet attālumu.
predictable	paredzams	Beigas bija paredzamas.
preference	priekšroka	Viņa deva priekšroku tējai.
pride	lepnums	Pēc finiša viņš juta lepnumu.
primarily	galvenokārt	Kurss galvenokārt norisinās tiešsaistē.
principal	direktors	Direktors sveica jaunos skolēnus.
prior	iepriekšējs	Mums nepieciešams iepriekšējs apstiprinājums.
probability	varbūtība	Lietus varbūtība ir augsta.
probable	iespējams	Šovakar iespējams lietus.
proceed	turpināt	Lūdzu, turpiniet uz nākamo istabu.
programming	programmēšana	Programmēšana prasa praksi.
progressive	progresīvs	Politika savam laikam bija progresīva.
prohibit	aizliegt	Noteikumi aizliedz smēķēt.
promising	daudzsološs	Rezultāti izskatās daudzsološi.
promotion	paaugstinājums	Viņa saņēma paaugstinājumu darbā.
prompt	tūlītējs	Tūlītēja atbilde ietaupīja laiku.
proportion	proporcija	Liela proporcija balsoja par.
protein	olbaltumvielas	Pupiņas satur olbaltumvielas.
protester	protestētājs	Protestētājs turēja zīmi.
psychological	psiholoģisks	Negadījums izraisīja psiholoģisku stresu.
publicity	reklāma	Pasākums ieguva publicitāti.
publishing	izdevniecība	Viņa strādā izdevniecībā.
punk	panks	Panku mūzika tur kļuva populāra.
purely	tīri	Izvēle bija tīri praktiska.
pursuit	tiekšanās	Viņš turpināja tiekties pēc taisnīguma.
puzzle	puzle	Puzle prasīja stundu.
questionnaire	anketa	Lūdzu, aizpildiet anketu.
racial	rasu	Ziņojumā tika apspriesta rasu nevienlīdzība.
racism	rasisms	Rasisms kaitē kopienām.
racist	rasists	Komentārs bija rasistisks.
radiation	radiācija	Radiācija var bojāt šūnas.
rail	margas	Turieties pie margām uz kāpnēm.
random	nejaušs	Dators izvēlējās nejaušu skaitli.
rat	žurka	Aiz atkritumu tvertnēm skrēja žurka.
rating	reitings	Viesnīcai ir augsts reitings.
reasonably	saprātīgi	Istaba bija saprātīgi tīra.
rebuild	pārbūvēt	Viņi pārbūvēs tiltu.
receiver	uztvērējs	Uztvērējs noķēra bumbu.
recession	lejupslīde	Lejupslīde samazināja izdevumus.
reckon	uzskatīt	Es domāju, ka vilciens kavējas.
recognition	atzinība	Viņa saņēma atzinību par savu darbu.
recovery	atveseļošanās	Atveseļošanās ilga vairākas nedēļas.
recruit	pieņemt darbā	Uzņēmums pieņems darbā inženierus.
recruitment	darbinieku piesaiste	Darbinieku piesaiste sākas nākamajā pirmdienā.
referee	tiesnesis	Tiesnesis apturēja spēli.
refugee	bēglis	Bēglis atrada drošas mājas.
registration	reģistrācija	Reģistrācija beidzas piektdien.
regulate	regulēt	Likums regulēs emisijas.
reinforce	nostiprināt	Papildu sijas nostiprina jumtu.
relieve	atvieglot	Zāles var atvieglot sāpes.
relieved	atvieglots	Pēc zvana viņa jutās atvieglota.
remarkable	ievērojams	Atveseļošanās bija ievērojama.
remarkably	ievērojami	Viņš atveseļojās ievērojami ātri.
reporting	ziņošana	Precīzai ziņošanai ir nozīme.
resign	atkāpties	Vadītājs rīt atkāpsies.
resolution	izšķirtspēja	Ekrānam ir augsta izšķirtspēja.
restore	atjaunot	Strādnieki atjauno veco gleznu.
restrict	ierobežot	Noteikumi ierobežo stāvēšanu.
restriction	ierobežojums	Ierobežojums beidzas rīt.
retail	mazumtirdzniecība	Mazumtirdzniecības apjomi pieauga.
retirement	pensija	Viņa rūpīgi plānoja savu došanos pensijā.
revenue	ieņēmumi	Biļešu ieņēmumi apmaksāja remontu.
revision	pārskatīšana	Atkārtošana palīdzēja pirms eksāmena.
ridiculous	smieklīgs	Cena bija smieklīga.
risky	riskants	Plāns šķita riskants.
rival	sāncensis	Mūsu sāncensis atvēra jaunu veikalu.
rob	aplaupīt	Vīrieši mēģināja aplaupīt banku.
robbery	laupīšana	Laupīšana notika naktī.
rocket	raķete	Raķete tika veiksmīgi palaista.
romance	romantika	Romānā ir iekļauta romantika.
rose	roze	Pie sētas auga sarkana roze.
roughly	aptuveni	Apmeklēja aptuveni divdesmit cilvēku.
ruin	sabojāt	Lietus var sabojāt pikniku.
satisfaction	gandarījums	Klientu apmierinātība uzlabojās.
scandal	skandāls	Skandāls sabojāja viņa karjeru.
scare	izbiedēt	Skaļais troksnis mani izbiedēja.
scenario	scenārijs	Sliktākais scenārijs ir mazticams.
scholar	zinātnieks	Zinātnieks pētīja senos tekstus.
scholarship	stipendija	Viņa ieguva stipendiju.
scratch	skrāpējums	Kaķis atstāja skrāpējumu.
screening	skrīnings	Slimnīca piedāvā vēža skrīningu.
seeker	meklētājs	Darba meklētājs nosūtīja pieteikumus.
seminar	seminārs	Seminārs sākas deviņos.
settler	nometnieks	Nometnieks uzcēla nelielu fermu.
severely	smagi	Vētra smagi sabojāja ceļus.
sexy	seksīgs	Kleita tika uzskatīta par seksīgu.
shocking	šokējošs	Ziņas bija šokējošas.
shore	krasts	Mēs gājām gar krastu.
shortage	trūkums	Pilsēta saskārās ar ūdens trūkumu.
shortly	drīz	Autobuss ieradās neilgi pēc pusdienlaika.
short-term	īstermiņa	Plānam ir īstermiņa ieguvumi.
sibling	brālis vai māsa	Katrs brālis vai māsa saņēma dāvanu.
signature	paraksts	Lūdzu, pievienojiet savu parakstu.
significance	nozīme	Atklājumam ir liela nozīme.
skilled	prasmīgs	Kvalificēti strādnieki salaboja jumtu.
slogan	sauklis	Kampaņā tika izmantots vienkāršs sauklis.
so-called	tā sauktais	Tā sauktais eksperts pieļāva kļūdas.
somehow	kaut kā	Kaut kā atslēgas pazuda.
sometime	kaut kad	Apmeklējiet mūs kaut kad nākamnedēļ.
sophisticated	izsmalcināts	Programmatūra ir izsmalcināta.
spare	rezerves	Mēs glabājam rezerves atslēgu.
specialize	specializēties	Ārsti specializējas dažādās jomās.
specify	norādīt	Lūdzu, norādiet savu ierašanās laiku.
spectacular	iespaidīgs	Uguņošana bija iespaidīga.
spectator	skatītājs	Katrs skatītājs saņēma programmu.
speculate	spekulēt	Eksperti spekulē par cēloni.
speculation	spekulācija	Raksts veicināja spekulācijas.
spice	garšviela	Pievienojiet pa vienai garšvielai.
spill	izliet	Neizlejiet sulu.
spite	spīts	Viņš guva panākumus, par spīti problēmām.
spoil	sabojāt	Pārāk daudz sāls var sabojāt zupu.
spokesman	pārstāvis	Pārstāvis atbildēja uz jautājumiem.
spokesperson	pārstāvis	Pārstāvis nolasīja paziņojumu.
spokeswoman	pārstāve	Pārstāve uzrunāja presi.
sponsorship	sponsorēšana	Komandai nepieciešama sponsorēšana.
sporting	sporta	Pilsētā notiek sporta pasākumi.
stall	stends	Tirgus stendā pārdod augļus.
stance	nostāja	Ministrs mainīja savu nostāju.
starve	badoties	Bez ēdiena dzīvnieki var nomirt badā.
steadily	stabili	Uzņēmums stabili auga.
steam	tvaiks	No zupas cēlās tvaiks.
stimulate	stimulēt	Spilgtas krāsas var stimulēt interesi.
