source_headword	HI	example_HI
misery	दुख	शरणार्थियों ने वर्षों का दुख सहा।
misleading	भ्रामक	भ्रामक चार्ट ने पाठकों को भ्रमित किया।
missile	मिसाइल	मिसाइल परीक्षण ने तनाव बढ़ा दिया।
mob	भीड़	गुस्साई भीड़ ने यातायात रोक दिया।
mobility	गतिशीलता	बेहतर बसें शहरी गतिशीलता में सुधार करती हैं।
mobilize	लगाना	नेता स्वयंसेवकों को जल्दी लगाते हैं।
moderate	उदारवादी	उम्मीदवार के विचार उदारवादी हैं।
modification	संशोधन	डिज़ाइन में एक संशोधन की आवश्यकता है।
momentum	गति	अभियान ने तेजी से गति पकड़ी।
monk	भिक्षु	भिक्षु मौन में रहता था।
monopoly	एकाधिकार	फर्म का एकाधिकार था।
morality	नैतिकता	पाठ्यक्रम सार्वजनिक नैतिकता की जांच करता है।
motive	मकसद	पुलिस ने उनके मकसद पर सवाल उठाया।
motorist	मोटर चालक	मोटर चालक लाल बत्ती पर रुक गया।
municipal	नगरपालिका	इस वर्ष नगरपालिका सेवाओं में सुधार हुआ।
mutual	आपसी	वे आपसी सहमति पर पहुंचे।
namely	अर्थात	एक समस्या बनी हुई है, अर्थात धन।
nationwide	देशव्यापी	हड़ताल के कारण देशव्यापी देरी हुई।
naval	नौसेना	पिछले साल नौसेना का बेस बंद हो गया था।
neglect	उपेक्षा करना	बुनियादी सुरक्षा की उपेक्षा न करें।
neighbouring	पड़ोसी	पड़ोसी शहरों ने अस्पताल साझा किया।
nest	घोंसला	पक्षी ने घोंसला बनाया।
net	शुद्ध	शुद्ध लाभ में तेजी से वृद्धि हुई।
newsletter	न्यूज़लेटर	न्यूज़लेटर हर शुक्रवार को आता है।
niche	आला	कंपनी को एक लाभदायक आला मिला।
noble	महान	उनके महान इशारे ने सभी को प्रभावित किया।
nod	सिर हिलाना	अगर आप समझते हैं तो कृपया सिर हिलाएं।
nominate	नामित करना	वे एक नए अध्यक्ष को नामित करेंगे।
nomination	नामांकन	उनके नामांकन ने समिति को चौंका दिया।
nominee	उम्मीदवार	उम्मीदवार ने कठिन सवालों के जवाब दिए।
nonetheless	फिर भी	फिर भी, योजना आगे बढ़ी।
non-profit	गैर-लाभकारी	वह एक गैर-लाभकारी क्लिनिक के लिए काम करती है।
nonsense	बकवास	वह अफवाह पूरी तरह बकवास है।
noon	दोपहर	बैठक दोपहर में शुरू होती है।
notable	उल्लेखनीय	रिपोर्ट ने उल्लेखनीय प्रगति की।
notably	विशेष रूप से	विशेष रूप से, मई में लागत में गिरावट आई।
notify	सूचित करना	कृपया जाने से पहले कर्मचारियों को सूचित करें।
notorious	कुख्यात	यह सड़क दुर्घटनाओं के लिए कुख्यात है।
novel	नवीन	उन्होंने एक नवीन समाधान का प्रस्ताव रखा।
nursery	नर्सरी	नर्सरी शिशुओं की देखभाल करती है।
objection	आपत्ति	वकील ने आपत्ति जताई।
oblige	बाध्य करना	नियम ड्राइवरों को रुकने के लिए बाध्य करते हैं।
obsess	धुन सवार होना	छोटी-छोटी गलतियों को लेकर परेशान न हों।
obsession	जुनून	उसके जुनून ने उसके काम को नुकसान पहुँचाया।
occasional	प्रासंगिक	कभी-कभार देरी की उम्मीद है।
occurrence	घटना	ऐसी घटना दुर्लभ है।
odds	संभावना	सफलता की संभावनाओं में सुधार हुआ।
offering	पेशकश	विश्वविद्यालय ने अपनी पेशकश का विस्तार किया।
offspring	संतान	लोमड़ी ने अपनी संतान की रक्षा की।
operational	चालू	नई प्रणाली चालू है।
opt	चुनना	कई छात्र ऑनलाइन कक्षाएं चुनते हैं।
optical	प्रकाशीय	प्रकाशीय लेंस को सफाई की आवश्यकता है।
optimism	आशावाद	घोषणा के बाद आशावाद लौट आया।
oral	मौखिक	मौखिक परीक्षा कल से शुरू हो रही है।
organizational	संगठनात्मक	संगठनात्मक परिवर्तन तुरंत शुरू हुए।
orientation	उन्मुखीकरण	कार्यशाला में कर्मचारी उन्मुखीकरण को शामिल किया गया।
originate	उत्पन्न होना	कई परंपराएं ग्रामीण गांवों में उत्पन्न होती हैं।
outbreak	प्रकोप	प्रकोप पूरे शहर में फैल गया।
outing	सैर	कक्षा ने संग्रहालय की सैर का आनंद लिया।
outlet	आउटलेट	आउटलेट रियायती कपड़े बेचता है।
outlook	दृष्टिकोण	आर्थिक दृष्टिकोण अनिश्चित बना हुआ है।
outrage	आक्रोश	इस फैसले से जनता में आक्रोश फैल गया।
outsider	बाहरी व्यक्ति	एक बाहरी व्यक्ति के रूप में, उसने समस्याओं को देखा।
overlook	अनदेखा करना	छोटे विवरणों की अनदेखी न करें।
overly	अत्यधिक	निर्देश अत्यधिक जटिल थे।
oversee	देखरेख करना	वह परियोजना की देखरेख करेगी।
overturn	पलटना	अदालत फैसला पलट सकती है।
overwhelm	अभिभूत करना	बहुत अधिक जानकारी शिक्षार्थियों को अभिभूत कर सकती है।
overwhelming	अत्यधिक	सबूत ज़बरदस्त थे।
pad	गद्दा	घुटनों की सुरक्षा के लिए पैड का उपयोग करें।
parameter	पैरामीटर	एक समय में एक पैरामीटर को समायोजित करें।
parental	माता-पिता का	माता-पिता के समर्थन से उपस्थिति में सुधार हुआ।
parish	पैरिश	पैरिश ने चैरिटी डिनर का आयोजन किया।
parliamentary	संसदीय	संसदीय बहस घंटों तक चली।
partial	आंशिक	रिपोर्ट ने आंशिक उत्तर दिया।
partially	आंशिक रूप से	खिड़की आंशिक रूप से खुली थी।
passing	निधन	उनका निधन अचानक हुआ था।
passive	निष्क्रिय	निष्क्रिय निवेशकों ने स्थिर रिटर्न स्वीकार किया।
pastor	पादरी	पादरी ने परिवार का दौरा किया।
patch	पैबंद	जैकेट को एक छोटे पैबंद की आवश्यकता है।
patent	पेटेंट	कंपनी ने पेटेंट दायर किया।
pathway	मार्ग	यह मार्ग प्रमाणन की ओर ले जाता है।
patrol	गश्त लगाना	पुलिस रात में इलाके में गश्त लगाती है।
patron	संरक्षक	संग्रहालय ने अपने संरक्षक को धन्यवाद दिया।
peak	शिखर	मांग सर्दियों के चरम पर पहुंच गई।
peasant	किसान	किसान के पास बहुत कम जमीन थी।
peculiar	अजीब	कमरे में एक अजीब गंध थी।
persist	बने रहना	लक्षण कई दिनों तक बने रह सकते हैं।
persistent	लगातार	लगातार खांसी पर ध्यान देने की आवश्यकता है।
personnel	कर्मचारी	कार्मिक रिकॉर्ड गोपनीय होते हैं।
petition	याचिका	याचिका में हजारों हस्ताक्षर एकत्र किए गए।
philosopher	दार्शनिक	दार्शनिक ने सामान्य मान्यताओं पर सवाल उठाया।
philosophical	दार्शनिक	चर्चा दार्शनिक हो गई।
physician	चिकित्सक	चिकित्सक ने रक्त परीक्षण का आदेश दिया।
pioneer	अग्रणी	वह चिकित्सा में अग्रणी बन गई।
pipeline	पाइपलाइन	पाइपलाइन गैस को भूमिगत ले जाती है।
pirate	समुद्री डाकू	समुद्री डाकू जहाज किनारे पर दिखाई दिया।
pit	गड्ढा	मजदूरों ने एक गहरा गड्ढा खोदा।
plea	गुहार	मदद के लिए उनकी गुहार को नजरअंदाज कर दिया गया।
plead	दलील देना	संदिग्ध अपना गुनाह कबूल करेगा।
pledge	संकल्प लेना	वे सुधारों के समर्थन की प्रतिज्ञा करते हैं।
plug	प्लग करना	केबल को सॉकेट में प्लग करें।
plunge	गिरना	घोटाले के बाद कीमतें गिर सकती हैं।
pole	खंभा	झंडा एक खंभे से लटक रहा था।
poll	मतदान	सर्वेक्षण ने बदलते विचारों को दिखाया।
pond	तालाब	बत्तखों ने जमे हुए तालाब को पार किया।
pop	फटना	नुकीली वस्तुओं के पास गुब्बारे फट जाते हैं।
portfolio	पोर्टफोलियो	उनके पोर्टफोलियो में कई स्टार्टअप शामिल हैं।
portray	चित्रित करना	फिल्म ग्रामीण जीवन को चित्रित करेगी।
postpone	स्थगित करना	उन्होंने सुनवाई स्थगित करने का फैसला किया।
post-war	युद्ध के बाद का	युद्ध के बाद आवास की तत्काल आवश्यकता थी।
practitioner	व्यवसायी	चिकित्सक ने उपचार के बारे में बताया।
preach	उपदेश देना	पादरी रविवार को उपदेश देंगे।
precedent	मिसाल	इस फैसले ने एक महत्वपूर्ण मिसाल कायम की।
precision	सटीकता	मशीन सटीकता के साथ काटती है।
predator	शिकारी	शिकारी नदी के पास इंतजार कर रहा था।
predecessor	पूर्ववर्ती	उनके पूर्ववर्ती ने विस्तृत नोट्स छोड़े।
predominantly	मुख्य रूप से	क्षेत्र मुख्य रूप से आवासीय है।
pregnancy	गर्भावस्था	गर्भावस्था में नियमित चिकित्सा देखभाल की आवश्यकता होती है।
prejudice	पूर्वाग्रह	अभियान ने नस्लीय पूर्वाग्रह को चुनौती दी।
preliminary	प्रारंभिक	प्रारंभिक परिणाम आशाजनक लग रहे हैं।
premier	प्रधानमंत्री	प्रीमियर ने आज संसद को संबोधित किया।
premise	आधार	तर्क एक झूठे आधार पर टिका है।
premium	प्रीमियम	ग्राहकों ने गति के लिए प्रीमियम का भुगतान किया।
prescribe	लिखना	डॉक्टर सावधानी से एंटीबायोटिक्स लिखते हैं।
prescription	नुस्खा	नुस्खा अगले महीने समाप्त हो जाएगा।
presently	वर्तमान में	वह वर्तमान में अनुपलब्ध है।
preservation	संरक्षण	संरक्षण ऐतिहासिक इमारतों की रक्षा करता है।
preside	अध्यक्षता करना	न्यायाधीश मुकदमे की अध्यक्षता करेंगे।
presidency	राष्ट्रपति पद	उनका राष्ट्रपति काल आठ वर्षों तक चला।
presidential	राष्ट्रपति	राष्ट्रपति चुनाव ने ध्यान आकर्षित किया।
prestigious	प्रतिष्ठित	उसने एक प्रतिष्ठित छात्रवृत्ति जीती।
presumably	संभवतः	कार्यालय संभवतः आज बंद है।
presume	मान लेना	हम मानते हैं कि दस्तावेज़ असली हैं।
prevail	प्रबल होना	सामान्य ज्ञान की जीत होनी चाहिए।
prevalence	व्यापकता	अस्थमा की व्यापकता में वृद्धि हुई।
prevention	रोकथाम	मरम्मत की तुलना में रोकथाम सस्ती है।
