source_headword	KK	example_KK
eight	сегіз	Менде сегіз карта бар.
eighteen	он сегіз	Ол он сегіз жаста.
eighty	сексен	Атам сексен жаста.
elephant	піл	Піл үлкен.
eleven	он бір	Сабақ он бірде басталады.
else	тағы бір нәрсе	Саған тағы бір нәрсе керек пе?
email	электрондық хат	Маған электрондық хат жібер.
end	соңы; аяқтау	Бұл соңы.
enjoy	рақаттану	Мен бұл әннен рақаттанамын.
enough	жеткілікті	Бізде жеткілікті уақыт бар.
euro	еуро	Бұл бір еуро тұрады.
even	да; де	Інім де біледі.
evening	кеш	Біз осы кеште кездесеміз.
event	іс-шара; оқиға	Іс-шара бүгін басталады.
ever	бір кездері	Сен бір кездері тамақ пісіресің бе?
every	әр	Мен әр күні оқимын.
everybody	бәрі	Бәрі осында.
everyone	әркім	Әркім музыканы жақсы көреді.
everything	бәрі	Бәрі дайын.
exam	емтихан	Емтихан жақында басталады.
example	мысал	Бұл жақсы мысал.
excited	толқыған	Мен бүгін толқып тұрмын.
exciting	қызықты	Ойын қызықты.
exercise	жаттығу	Мен таңғы астан бұрын жаттығу жасаймын.
expensive	қымбат	Бұл пальто қымбат.
explain	түсіндіру	Өтінемін, бұл сөзді түсіндір.
extra	қосымша	Маған қосымша уақыт керек.
eye	көз	Көзім қызарып тұр.
face	бет	Бетіңді жу.
fact	дерек; шындық	Бұл дерек маңызды.
fall	құлау	Күзде жапырақтар түседі.
false	қате	Бұл жауап қате.
family	отбасы	Менің отбасым шағын.
famous	атақты	Ол атақты әнші.
fantastic	тамаша	Концерт тамаша болды.
far	алыс	Мектеп алыс.
farm	ферма; егістік	Олар фермада тұрады.
farmer	фермер	Фермер азық өсіреді.
fast	жылдам	Бұл пойыз жылдам.
fat	семіз	Мысық семіз.
father	әке	Менің әкем ұзын бойлы.
favourite	сүйікті	Бұл менің сүйікті әнім.
February	ақпан	Мұнда ақпанда суық болады.
feel	сезу	Мен өзімді бақытты сезінемін.
feeling	сезім	Мен бұл сезімді білемін.
festival	фестиваль; мереке	Фестиваль ертең басталады.
few	бірнеше; аз	Мұнда бірнеше оқушы бар.
fifteen	он бес	Мен он бес жастамын.
fifth	бесінші	Бұл бесінші сабақ.
fifty	елу	Анам елу жаста.
fill	толтыру	Кесеге су толтыр.
film	фильм	Біз фильм көреміз.
final	соңғы	Бұл соңғы сұрақ.
find	табу	Мен кілттерімді табамын.
fine	жақсы	Мен қазір жақсымын.
finish	аяқтау	Үй тапсырмаңды аяқта.
fire	от	От ыстық.
first	бірінші	Ол кезекте бірінші.
fish	балық	Мен кешкі асқа балық жеймін.
five	бес	Менде бес кітап бар.
flat	пәтер	Менің пәтерім шағын.
flight	ұшу	Ұшу кешікті.
floor	еден; қабат	Сөмке еденде жатыр.
flower	гүл	Бұл гүл сары.
fly	ұшу	Құстар аспанда ұшады.
follow	еру	Өтінемін, менің соңымнан ер.
food	тамақ	Тамақ дайын.
foot	аяқ	Аяғым ауырады.
football	футбол	Біз бүгін футбол ойнаймыз.
for	үшін	Бұл сыйлық сен үшін.
forget	ұмыту	Кілттеріңді ұмытпа.
form	форма; түр	Форманы толтыр.
forty	қырық	Әкем қырық жаста.
four	төрт	Мен төрт құсты көріп тұрмын.
fourteen	он төрт	Ол он төрт жаста.
fourth	төртінші	Бұл төртінші қабат.
free	тегін; еркін	Билет тегін.
Friday	жұма	Біз жұма күні кездесеміз.
friend	дос	Менің досым осында.
friendly	достық	Мұғалім достық мінезді.
from	дан; ден	Мен осы жерденмін.
front	алдыңғы жақ	Алдыңғы жақта тұр.
fruit	жеміс	Мен әр күні жеміс жеймін.
full	толы	Бөтелке толы.
fun	қызық	Бұл ойын қызық.
funny	күлкілі	Фильм күлкілі.
future	болашақ	Болашағың туралы ойла.
game	ойын	Ойын қазір басталады.
garden	бақ	Бақ әдемі.
geography	география	Мен мектепте география оқимын.
get	алу; жету	Мен сағат алтыда үйге жетемін.
girl	қыз	Қыз күлімдейді.
girlfriend	қыз дос	Оның қыз досы мейірімді.
give	беру	Маған кітап бер.
glass	стақан	Мен стақаннан ішемін.
go	бару	Біз қазір үйге барамыз.
good	жақсы	Бұл кофе жақсы.
goodbye	сау бол	Сау бол, ертең кездесеміз.
grandfather	ата	Менің атам қарт.
grandmother	әже	Менің әжем сорпа пісіреді.
grandparent	ата немесе әже	Ата немесе әже бізбен тұрады.
great	керемет; ұлы	Бұл керемет ой.
green	жасыл	Есік жасыл.
grey	сұр	Аспан сұр.
group	топ	Кіші топта жұмыс істе.
grow	өсу; өсіру	Өсімдіктер бақта өседі.
guess	болжау	Жауапты болжа.
guitar	гитара	Ол гитара тартады.
gym	спорт залы	Мен спорт залына барамын.
hair	шаш	Оның шашы ұзын.
half	жарты	Тортты жартыға кес.
hand	қол	Қолыңды көтер.
happen	болу	Кейін не болады?
happy	бақытты	Мен бүгін бақыттымын.
hard	қатты; қиын	Бұл орындық қатты.
hat	қалпақ	Менің қалпағым қара.
hate	жек көру	Мен суық шайды ұнатпаймын.
have	бар болу; иелену	Менде көлік бар.
have to modal	керек; міндетті	Мен оқуым керек.
he	ол	Ол менің ағам.
head	бас	Басым ауырады.
health	денсаулық	Жақсы тамақ денсаулыққа көмектеседі.
healthy	денсаулыққа пайдалы	Бұл ас денсаулыққа пайдалы.
hear	есту	Мен музыка естимін.
hello	сәлем	Сәлем, сені көргеніме қуаныштымын.
help	көмек; көмектесу	Өтінемін, маған көмектес.
her	оны; оның	Бұл оның сөмкесі.
here	мұнда	Қазір мұнда кел.
hey	әй	Әй, мені күт.
hi	сәлем	Сәлем, қалайсың?
high	биік; жоғары	Қабырға биік.
him	оны	Мен оны танимын.
his	оның	Оның пальтосы көк.
history	тарих	Мен тарих оқимын.
hobby	хобби	Оқу менің хоббиім.
holiday	демалыс	Біз шілдеде демалыс аламыз.
home	үй	Мен үйдемін.
homework	үй тапсырмасы	Бүгін кешке үй тапсырмаңды істе.
hope	үміттену	Сен келесің деп үміттенемін.
horse	ат	Ат жылдам жүгіреді.
hospital	аурухана	Аурухана мұнда жақын.
hot	ыстық	Сорпа ыстық.
hotel	қонақ үй	Қонақ үй таза.
hour	сағат	Бір сағат күт.
house	үй	Бұл үй ескі.
how	қалай	Қалайсың?
however	алайда	Алайда, мен мұнда қала аламын.
hundred	жүз	Жүз адам келді.
hungry	аш	Мен ашпын.
husband	күйеу	Оның күйеуі дәрігер.
I	мен	Маған шай ұнайды.
ice	мұз	Мұз суық.
ice cream	балмұздақ	Маған балмұздақ керек.
idea	ой	Бұл жақсы ой.
if	егер	Егер көмек керек болса, маған қоңырау шал.
imagine	елестету	Кішкентай үйді елестет.
important	маңызды	Бұл сабақ маңызды.
improve	жақсарту	Мен жақсарғым келеді.
in	ішінде; да	Кілттер сөмкемде.
include	қосу	Өтінемін, атыңды қос.
information	ақпарат	Маған көбірек ақпарат керек.
interest	қызығушылық	Оның өнерге қызығушылығы бар.
interested	қызығатын	Мен музыкаға қызығамын.
interesting	қызықты	Бұл кітап қызықты.
internet	интернет	Интернет баяу.
interview	сұхбат	Менде бүгін сұхбат бар.
into	ішіне	Кітаптарды сөмкеге сал.
introduce	таныстыру	Өтінемін, досыңды таныстыр.
island	арал	Бұл арал кішкентай.
it	ол	Ол суық.
its	оның	Ит өз төсегін жақсы көреді.
jacket	күртеше	Менің күртешем жаңа.
January	қаңтар	Қаңтар бірінші ай.
jeans	джинсы	Менің джинсым көк.
job	жұмыс	Маған жаңа жұмыс керек.
join	қосылу	Бүгін біздің сыныпқа қосыл.
journey	сапар	Сапар ұзақ.
juice	шырын	Мен апельсин шырынын ішемін.
July	шілде	Біз шілдеде саяхаттаймыз.
June	маусым	Мектеп маусымда аяқталады.
just	тек; жаңа ғана	Маған тек су керек.
keep	сақтау	Бұл кілтті сақта.
key	кілт	Менің кілтім жоғалды.
kilometre	километр	Бір километр жүр.
kind (type)	түр	Саған қандай музыка түрі ұнайды?
kitchen	асүй	Асүй таза.
know	білу	Мен жауапты білемін.
land	жер	Ұшақ жерде.
language	тіл	Ағылшын тілі бір тіл.
large	үлкен	Бұл бөлме үлкен.
last1 (final)	соңғы	Бұл соңғы бет.
late	кеш	Автобус кешікті.
later	кейін	Кейін кездесеміз.
laugh	күлу	Біз бірге күлеміз.
learn	үйрену	Мен ағылшын тілін үйренемін.
leave	тастап кету; кету	Есікті ашық қалдыр.
left	сол	Мұнда солға бұрыл.
leg	аяқ	Аяғым ауырады.
lesson	сабақ	Сабақ қазір басталады.
let	рұқсат беру	Саған көмектесуіме рұқсат бер.
letter	хат; әріп	Мен хат жазамын.
library	кітапхана	Кітапхана тоғызда ашылады.
lie1	жату	Өтінемін, төсекке жат.
life	өмір	Қала өмірі қарбалас.
like (similar)	сияқты	Бұл ойын сияқты.
like (find sb/sth pleasant)	ұнату	Маған бұл ән ұнайды.
line	кезек; сызық	Кезекте тұр.
lion	арыстан	Арыстан ұйықтайды.
list	тізім	Сатып алу тізімін жаса.
listen	тыңдау	Мұғалімді тыңда.
little	кішкентай; аз	Менде аз ақша бар.
live1	тұру	Мен мектептің жанында тұрамын.
local	жергілікті	Бұл жергілікті дүкен.
long1	ұзын	Жол ұзын.
look	қарау	Суретке қара.
lose	жоғалту	Билетіңді жоғалтпа.
lot	көп	Менде көп үй тапсырмасы бар.
love	махаббат; сүю	Мен отбасымды сүйемін.
lunch	түскі ас	Түскі ас дайын.
