simplified	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
对不起	bocsánat; elnézést	Bocsánat, nem ismerlek.	scuze; îmi pare rău	Scuze, nu te cunosc.	извинявай; съжалявам	Извинявай, не те познавам.	oprosti; žao mi je	Oprosti, ne poznajem te.
多	sok; több	Sok barátom van.	mult; mulți	Am mulți prieteni.	много; повече	Имам много приятели.	mnogo; više	Imam mnogo prijatelja.
多少	mennyi; hány	Mennyibe kerül ez a csésze?	cât; câți	Cât costă cana aceasta?	колко	Колко струва тази чаша?	koliko	Koliko košta ova šalica?
儿子	fiúgyermek; fiú	A fiam diák.	un fiu	Fiul meu este elev.	син	Синът ми е ученик.	sin	Moj sin je učenik.
二	kettő	Február hideg.	doi	Februarie este rece.	две; два	Февруари е студен.	dva	Veljača je hladna.
饭馆	étterem	Az étterem az iskola előtt van.	un restaurant	Restaurantul este în fața școlii.	ресторант	Ресторантът е пред училището.	restoran	Restoran je ispred škole.
飞机	repülőgép	Repülővel megyek Pekingbe.	un avion	Merg la Beijing cu avionul.	самолет	Отивам до Пекин със самолет.	avion	Idem u Peking avionom.
分钟	perc	Öt percig tanulok.	un minut	Studiez cinci minute.	минута	Уча пет минути.	minuta	Učim pet minuta.
高兴	boldog; örül	Ma nagyon boldog vagyok.	bucuros; fericit	Astăzi sunt foarte bucuros.	щастлив; радостен	Днес съм много щастлив.	sretan; zadovoljan	Danas sam jako sretan.
个	általános mértékszó	Van egy barátom.	un clasificator general	Am un prieten.	обща мерна дума	Имам един приятел.	opća mjerna riječ	Imam jednog prijatelja.
工作	dolgozni; munka	Pekingben dolgozom.	a lucra; muncă	Lucrez la Beijing.	работя; работа	Работя в Пекин.	raditi; posao	Radim u Pekingu.
狗	kutya	Szeretem a kutyákat.	un câine	Îmi plac câinii.	куче	Харесвам кучета.	pas	Volim pse.
汉语	kínai nyelv	Kínaiul tanulok.	limba chineză	Studiez limba chineză.	китайски език	Уча китайски.	kineski jezik	Učim kineski.
好	jó; jól	Ma jó az idő.	bun; bine	Vremea este frumoasă astăzi.	добър; добре	Времето днес е хубаво.	dobar; dobro	Vrijeme je danas dobro.
喝	inni	Vizet iszom.	a bea	Beau apă.	пия	Пия вода.	piti	Pijem vodu.
和	és; -val/-vel	Egy barátommal megyek iskolába.	și; cu	Merg la școală cu un prieten.	и; с	Отивам на училище с приятел.	i; s	Idem u školu s prijateljem.
很	nagyon	Nagyon szép.	foarte	Ea este foarte frumoasă.	много	Тя е много красива.	vrlo	Ona je vrlo lijepa.
后面	mögött; hátsó rész	Az iskola az étterem mögött van.	în spate; partea din spate	Școala este în spatele restaurantului.	отзад; зад	Училището е зад ресторанта.	iza; stražnja strana	Škola je iza restorana.
回	visszatérni; hazamenni	Hazamegyek.	a se întoarce	Mă întorc acasă.	връщам се	Връщам се вкъщи.	vratiti se	Vraćam se kući.
会	tudni; képesnek lenni	Tudok kínaiul beszélni.	a ști; a putea	Știu să vorbesc chinezește.	мога; знам как	Мога да говоря китайски.	moći; znati kako	Znam govoriti kineski.
火车站	vasútállomás	A vasútállomás nagy.	o gară	Gara este mare.	гара	Гарата е голяма.	željeznička stanica	Željeznička stanica je velika.
几	hány; néhány	Hány barátod van?	câți; câteva	Câți prieteni ai?	колко; няколко	Колко приятели имаш?	koliko; nekoliko	Koliko prijatelja imaš?
家	otthon; család	Az otthonom Pekingben van.	o casă; o familie	Casa mea este la Beijing.	дом; семейство	Домът ми е в Пекин.	dom; obitelj	Moj dom je u Pekingu.
叫	hívják; hívni	Hogy hívnak?	a se numi; a chema	Cum te cheamă?	казвам се; викам	Как се казваш?	zvati se; zvati	Kako se zoveš?
今天	ma	Ma meleg van.	astăzi	Astăzi este cald.	днес	Днес е горещо.	danas	Danas je vruće.
九	kilenc	Most kilenc óra van.	nouă	Acum este ora nouă.	девет	Сега е девет часът.	devet	Sada je devet sati.
开	kinyitni; bekapcsolni	Bekapcsolom a számítógépet.	a deschide; a porni	Pornesc computerul.	отварям; включвам	Включвам компютъра.	otvoriti; uključiti	Uključujem računalo.
看	nézni; olvasni	Könyvet olvasok.	a privi; a citi	Citesc o carte.	гледам; чета	Чета книга.	gledati; čitati	Čitam knjigu.
看见	látni	Látom a tanárt.	a vedea	Îl văd pe profesor.	виждам	Виждам учителя.	vidjeti	Vidim učitelja.
块	darab; jüan	Ez a könyv tíz jüanba kerül.	o bucată; un yuan	Cartea aceasta costă zece yuani.	парче; юан	Тази книга струва десет юана.	komad; juan	Ova knjiga košta deset juana.
来	jönni	Ő iskolába jön.	a veni	El vine la școală.	идвам	Той идва на училище.	doći	On dolazi u školu.
老师	tanár	A tanár az iskolában van.	un profesor; o profesoară	Profesorul este la școală.	учител	Учителят е в училище.	učitelj	Učitelj je u školi.
了	befejezett cselekvés partikulája	Rizst ettem.	o particulă pentru acțiune încheiată	Am mâncat orez.	частица за завършено действие	Ядох ориз.	čestica za dovršenu radnju	Pojeo sam rižu.
冷	hideg	Ma hideg van.	rece	Astăzi este frig.	студен	Днес е студено.	hladan	Danas je hladno.
里	bent; -ban/-ben	Víz van a csészében.	înăuntru; în	În cană este apă.	вътре; в	В чашата има вода.	unutra; u	U šalici je voda.
零	nulla	A nulla nem egy.	zero	Zero nu este unu.	нула	Нула не е едно.	nula	Nula nije jedan.
六	hat	Most hat óra van.	șase	Acum este ora șase.	шест	Сега е шест часът.	šest	Sada je šest sati.
妈妈	anya; anyu	Anya teát iszik.	o mamă; mama	Mama bea ceai.	мама; майка	Мама пие чай.	mama; majka	Mama pije čaj.
吗	eldöntendő kérdő partikula	Diák vagy?	o particulă de întrebare da-nu	Ești elev?	въпросителна частица за да-не	Ти ученик ли си?	upitna čestica da-ne	Jesi li učenik?
买	venni; vásárolni	Almát veszek.	a cumpăra	Cumpăr mere.	купувам	Купувам ябълки.	kupiti	Kupujem jabuke.
猫	macska	A macska a széken van.	o pisică	Pisica este pe scaun.	котка	Котката е на стола.	mačka	Mačka je na stolici.
没	nincs; nem	Nincs pénzem.	a nu avea; nu	Nu am bani.	нямам; не	Нямам пари.	nemati; ne	Nemam novca.
没关系	nem baj; semmi gond	Semmi baj.	nu-i nimic; nicio problemă	Nu-i nicio problemă.	няма значение; няма проблем	Няма проблем.	nema veze; nema problema	Nema problema.
米饭	főtt rizs	Rizst eszem.	orez gătit	Mănânc orez.	сварен ориз	Ям ориз.	kuhana riža	Jedem rižu.
名字	név	Mi a neved?	un nume	Cum te cheamă?	име	Как се казваш?	ime	Kako se zoveš?
明天	holnap	Holnap Pekingbe megyek.	mâine	Mâine merg la Beijing.	утре	Утре отивам в Пекин.	sutra	Sutra idem u Peking.
哪	melyik; hol; hová	Hová mész?	care; unde	Unde mergi?	кой; коя; кое; кои; къде; накъде	Къде отиваш?	koji; koja; koje; gdje; kamo	Kamo ideš?
那	az; azok	Az az én tanárom.	acela; aceea; aceia; acelea	Acela este profesorul meu.	онзи; онази; онова; онези	Онзи е моят учител.	taj; ta; to; ti; te	To je moj učitelj.
呢	kérdő partikula; és	És te?	o particulă interogativă; dar	Dar tu?	въпросителна частица; а	А ти?	upitna čestica; a	A ti?
能	tudni; képesnek lenni	Mehetek?	a putea; a fi în stare	Pot să merg?	мога; способен съм	Мога ли да отида?	moći; biti sposoban	Mogu li ići?
你	te; téged	Hogy vagy?	tu; pe tine	Ce mai faci?	ти; теб	Как си?	ti; tebe	Kako si?
年	év	Egy évben tizenkét hónap van.	un an	Un an are douăsprezece luni.	година	Една година има дванадесет месеца.	godina	Godina ima dvanaest mjeseci.
女儿	lánygyermek; lány	A lánya nagyon szép.	o fiică	Fiica ei este foarte frumoasă.	дъщеря	Нейната дъщеря е много красива.	kći	Njezina kći je vrlo lijepa.
朋友	barát	Ő a barátom.	un prieten; o prietenă	El este prietenul meu.	приятел	Той е мой приятел.	prijatelj	On je moj prijatelj.
漂亮	szép; csinos	Nagyon szép.	frumos; drăguț	Ea este foarte frumoasă.	красив	Тя е много красива.	lijep	Ona je vrlo lijepa.
苹果	alma	Szeretem az almát.	un măr	Îmi plac merele.	ябълка	Харесвам ябълки.	jabuka	Volim jabuke.
七	hét	Most hét óra van.	șapte	Acum este ora șapte.	седем	Сега е седем часът.	sedam	Sada je sedam sati.
前面	előtt; elöl	Az étterem a bolt előtt van.	în față; partea din față	Restaurantul este în fața magazinului.	отпред; пред	Ресторантът е пред магазина.	ispred; prednja strana	Restoran je ispred trgovine.
钱	pénz	Nincs pénzem.	bani	Nu am bani.	пари	Нямам пари.	novac	Nemam novca.
请	kérem; meghívni; kérni	Kérlek, igyál teát.	te rog; a invita; a cere	Te rog, bea ceai.	моля; каня; искам	Моля, пий чай.	molim; pozvati; tražiti	Molim te, pij čaj.
去	menni	Iskolába megyek.	a merge	Merg la școală.	отивам	Отивам на училище.	ići	Idem u školu.
热	meleg; forró	Ma meleg van.	cald; fierbinte	Astăzi este cald.	горещ; топъл	Днес е горещо.	vruć; topao	Danas je vruće.
人	ember; emberek	Sok ember van az iskolában.	o persoană; oameni	La școală sunt mulți oameni.	човек; хора	В училището има много хора.	osoba; ljudi	U školi ima mnogo ljudi.
认识	ismerni; felismerni	Ismerem őt.	a cunoaște; a recunoaște	Îl cunosc.	познавам; разпознавам	Познавам го.	poznavati; prepoznati	Poznajem ga.
日	nap; dátum	Ma március elseje van.	o zi; o dată	Astăzi este întâi martie.	ден; дата	Днес е първи март.	dan; datum	Danas je prvi ožujka.
三	három	Három csészém van.	trei	Am trei căni.	три	Имам три чаши.	tri	Imam tri šalice.
商店	bolt; üzlet	A bolt az iskola előtt van.	un magazin	Magazinul este în fața școlii.	магазин	Магазинът е пред училището.	trgovina	Trgovina je ispred škole.
上	fent; rajta	A könyv az asztalon van.	sus; pe	Cartea este pe masă.	горе; върху	Книгата е на масата.	gore; na	Knjiga je na stolu.
上午	délelőtt; reggel	Délelőtt kínaiul tanulok.	dimineață; înainte de prânz	Dimineața studiez limba chineză.	сутрин; преди обед	Сутрин уча китайски.	jutro; prijepodne	Prijepodne učim kineski.
少	kevés	Kevés diák van.	puțin; puțini	Sunt puțini elevi.	малко; малцина	Има малко ученици.	malo; malobrojan	Malo je učenika.
什么	mi; milyen	Mi ez?	ce	Ce este aceasta?	какво	Какво е това?	što	Što je ovo?
十	tíz	Tíz könyvem van.	zece	Am zece cărți.	десет	Имам десет книги.	deset	Imam deset knjiga.
时候	idő; alkalom	Mikor jössz?	timp; moment	Când vii?	време; момент	Кога идваш?	vrijeme; trenutak	Kada dolaziš?
是	lenni; igen	Diák vagyok.	a fi; da	Sunt elev.	съм; да	Аз съм ученик.	biti; da	Ja sam učenik.
书	könyv	Könyvet olvasok.	o carte	Citesc o carte.	книга	Чета книга.	knjiga	Čitam knjigu.
谁	ki	Ki ő?	cine	Cine este el?	кой	Кой е той?	tko	Tko je on?
水	víz	Vizet iszom.	apă	Beau apă.	вода	Пия вода.	voda	Pijem vodu.
水果	gyümölcs	Gyümölcsöt veszek.	fructe	Cumpăr fructe.	плодове	Купувам плодове.	voće	Kupujem voće.
睡觉	aludni; lefeküdni	Lefekszem aludni.	a dormi; a se culca	Mă culc.	спя; лягам да спя	Отивам да спя.	spavati; ići spavati	Idem spavati.
说话	beszélni	A tanár beszél.	a vorbi	Profesorul vorbește.	говоря	Учителят говори.	govoriti	Učitelj govori.
四	négy	Négy barátom van.	patru	Am patru prieteni.	четири	Имам четирима приятели.	četiri	Imam četiri prijatelja.
岁	éves	Tízéves vagyok.	ani (vârstă)	Am zece ani.	години (възраст)	Аз съм на десет години.	godina (dob)	Imam deset godina.
他	ő; őt	Ő tanár.	el; pe el	El este profesor.	той; него	Той е учител.	on; njega	On je učitelj.
她	ő; őt	Ő diák.	ea; pe ea	Ea este elevă.	тя; нея	Тя е ученичка.	ona; nju	Ona je učenica.
太	túl; nagyon	Ez a csésze túl nagy.	prea; foarte	Cana aceasta este prea mare.	прекалено; много	Тази чаша е прекалено голяма.	previše; vrlo	Ova šalica je prevelika.
天气	időjárás	Ma jó az idő.	vreme	Vremea este frumoasă astăzi.	време	Днес времето е хубаво.	vrijeme; vremenske prilike	Vrijeme je danas lijepo.
听	hallgatni; hallani	Hallgatom, ahogy a tanár beszél.	a asculta; a auzi	Ascult cum vorbește profesorul.	слушам; чувам	Слушам как учителят говори.	slušati; čuti	Slušam učitelja kako govori.
同学	osztálytárs	Ő az osztálytársam.	un coleg; o colegă de clasă	El este colegul meu de clasă.	съученик	Той е мой съученик.	razredni kolega; školski kolega	On je moj razredni kolega.
喂	halló telefonban	Halló?	alo	Alo?	ало по телефона	Ало?	halo na telefonu	Halo?
我	én; engem	Orvos vagyok.	eu; pe mine	Sunt medic.	аз; мен	Аз съм лекар.	ja; mene	Ja sam liječnik.
我们	mi; minket	Iskolába megyünk.	noi; pe noi	Mergem la școală.	ние; нас	Отиваме на училище.	mi; nas	Idemo u školu.
五	öt	Öt almám van.	cinci	Am cinci mere.	пет	Имам пет ябълки.	pet	Imam pet jabuka.
喜欢	szeretni; kedvelni	Szeretek teát inni.	a plăcea	Îmi place să beau ceai.	харесвам; обичам	Обичам да пия чай.	voljeti; sviđati se	Volim piti čaj.
下	lent; alatt; következő	A könyv az asztal alatt van.	jos; sub; următor	Cartea este sub masă.	долу; под; следващ	Книгата е под масата.	dolje; ispod; sljedeći	Knjiga je ispod stola.
下午	délután	Délután boltba megyek.	după-amiază	După-amiază merg la magazin.	следобед	Следобед отивам в магазина.	poslijepodne	Poslijepodne idem u trgovinu.
下雨	esni (eső)	Ma esik az eső.	a ploua	Astăzi plouă.	вали дъжд	Днес вали дъжд.	padati kiša	Danas pada kiša.
先生	úr; férj	Jó napot, uram.	un domn; un soț	Bună ziua, domnule.	господин; съпруг	Здравейте, господине.	gospodin; muž	Dobar dan, gospodine.
现在	most	Most az iskolában vagyok.	acum	Acum sunt la școală.	сега	Сега съм в училище.	sada	Sada sam u školi.
想	akarni; gondolni; hiányolni	Vizet szeretnék inni.	a vrea; a gândi; a-i fi dor	Vreau să beau apă.	искам; мисля; липсва ми	Искам да пия вода.	željeti; misliti; nedostajati	Želim piti vodu.
小	kicsi	Ez a csésze kicsi.	mic	Cana aceasta este mică.	малък	Тази чаша е малка.	malen; mali	Ova šalica je mala.
小姐	kisasszony; fiatal hölgy	Jó napot, kisasszony.	o domnișoară; o tânără doamnă	Bună ziua, domnișoară.	госпожица; млада жена	Здравейте, госпожице.	gospođica; mlada žena	Dobar dan, gospođice.
些	néhány; egy kevés	Van néhány könyvem.	câțiva; puțin	Am câteva cărți.	няколко; малко	Имам няколко книги.	nekoliko; malo	Imam nekoliko knjiga.
写	írni	Írásjegyeket írok.	a scrie	Scriu caractere.	пиша	Пиша йероглифи.	pisati	Pišem znakove.
谢谢	köszönöm; megköszönni	Köszönöm.	mulțumesc; a mulțumi	Mulțumesc.	благодаря	Благодаря.	hvala; zahvaliti	Hvala.
星期	hét; a hét napja	Ma hétfő van.	o săptămână; o zi a săptămânii	Astăzi este luni.	седмица; ден от седмицата	Днес е понеделник.	tjedan; dan u tjednu	Danas je ponedjeljak.
学生	diák; tanuló	Diák vagyok.	un elev; o elevă; un student; o studentă	Sunt elev.	ученик; студент	Аз съм ученик.	učenik; student	Ja sam učenik.
学习	tanulni	Kínaiul tanulok.	a studia; a învăța	Studiez limba chineză.	уча	Уча китайски.	učiti	Učim kineski.
学校	iskola	Az iskola nagy.	o școală	Școala este mare.	училище	Училището е голямо.	škola	Škola je velika.
一	egy	Van egy csészém.	unu	Am o cană.	един; една; едно	Имам една чаша.	jedan	Imam jednu šalicu.
衣服	ruha; ruhák	Ruhát veszek.	haine	Cumpăr haine.	дрехи	Купувам дрехи.	odjeća	Kupujem odjeću.
医生	orvos	Ő orvos.	un medic; o medică	Ea este medică.	лекар	Тя е лекар.	liječnik; liječnica	Ona je liječnica.
医院	kórház	A kórház az iskola előtt van.	un spital	Spitalul este în fața școlii.	болница	Болницата е пред училището.	bolnica	Bolnica je ispred škole.
椅子	szék	A szék az asztal mögött van.	un scaun	Scaunul este în spatele mesei.	стол	Столът е зад масата.	stolica	Stolica je iza stola.
有	van; birtokolni	Vannak barátaim.	a avea; există	Am prieteni.	имам; има	Имам приятели.	imati; postoji	Imam prijatelje.
月	hónap; hold	Ma május negyedike van.	o lună; Luna	Astăzi este patru mai.	месец; луна	Днес е четвърти май.	mjesec; Mjesec	Danas je četvrti svibnja.
再见	viszontlátásra	Viszontlátásra, tanár úr.	la revedere	La revedere, domnule profesor.	довиждане	Довиждане, учителю.	doviđenja	Doviđenja, učitelju.
在	-ban/-ben; lenni valahol	Otthon vagyok.	a fi în; a se afla	Sunt acasă.	в; намирам се	Вкъщи съм.	biti u; nalaziti se	Kod kuće sam.
怎么	hogyan	Hogyan kell olvasni ezt az írásjegyet?	cum	Cum se citește caracterul acesta?	как	Как се чете този йероглиф?	kako	Kako se čita ovaj znak?
怎么样	hogy; milyen	Hogy vagy ma?	cum; ce mai	Ce mai faci astăzi?	как; как е	Как си днес?	kako; što kažeš	Kako si danas?
这	ez; ezek	Ez az én könyvem.	acesta; aceasta; aceștia; acestea	Aceasta este cartea mea.	този; тази; това; тези	Това е моята книга.	ovaj; ova; ovo; ovi; ove	Ovo je moja knjiga.
中国	Kína	Kínába megyek.	China	Merg în China.	Китай	Отивам в Китай.	Kina	Idem u Kinu.
中午	dél; délidő	Délben rizst eszem.	prânz; amiază	La prânz mănânc orez.	обед; пладне	На обяд ям ориз.	podne	U podne jedem rižu.
住	lakni; megszállni	Pekingben lakom.	a locui; a sta	Locuiesc la Beijing.	живея; отсядам	Живея в Пекин.	živjeti; stanovati	Živim u Pekingu.
桌子	asztal; íróasztal	A könyv az asztalon van.	o masă; un birou	Cartea este pe masă.	маса; бюро	Книгата е на масата.	stol; pisaći stol	Knjiga je na stolu.
字	írásjegy; szó	Ez az írásjegy kicsi.	un caracter; un cuvânt	Caracterul acesta este mic.	йероглиф; дума	Този йероглиф е малък.	znak; riječ	Ovaj znak je malen.
昨天	tegnap	Tegnap filmet néztem.	ieri	Ieri m-am uitat la un film.	вчера	Вчера гледах филм.	jučer	Jučer sam gledao film.
坐	ülni; közlekedési eszközzel menni	Repülővel megyek Pekingbe.	a sta jos; a lua transportul	Merg la Beijing cu avionul.	седя; пътувам с транспорт	Отивам до Пекин със самолет.	sjediti; ići prijevozom	Idem u Peking avionom.
做	csinálni; készíteni	Főzök.	a face; a pregăti	Gătesc.	правя; приготвям	Готвя.	raditi; napraviti	Kuham.
