simplified	IT	example_IT
跟	con; seguire	Vado al parco con un amico.
更	più; ancora più	Oggi fa ancora più freddo di ieri.
公斤	il chilogrammo	Queste mele pesano un chilogrammo.
公园	il parco	I bambini giocano nel parco.
故事	la storia; il racconto	Il nonno mi racconta una storia.
刮风	esserci vento	Oggi c'è vento; non andare in bicicletta.
关	chiudere; spegnere	Per favore, chiudi la porta.
关系	il rapporto; la relazione	Ho un buon rapporto con il mio collega.
关心	avere cura di; interessarsi	La mamma si preoccupa molto della mia salute.
关于	su; riguardo a	Questo libro parla della cultura cinese.
国家	il paese; lo Stato	La Cina è un paese molto grande.
过	la particella di esperienza; aver fatto	Io sono stato a Pechino.
过去	il passato; prima	Prima qui non c'era la metropolitana.
还是	o; ancora	Bevi tè o caffè?
害怕	avere paura	Non ho paura dell'esame.
黑板	la lavagna	L'insegnante scrive i caratteri sulla lavagna.
后来	dopo; più tardi	Poi siamo andati al parco.
护照	il passaporto	Per favore, porta il passaporto.
96:花	spendere; costare	Comprare il telefono è costato duemila yuan.
97:花	il fiore	C'è un fiore sul tavolo.
画	disegnare; il disegno; il quadro	A mia sorella minore piace disegnare panda.
坏	cattivo; rotto	Il mio computer è rotto.
欢迎	dare il benvenuto; benvenuto	Benvenuto a casa mia.
环境	l'ambiente; il contesto	L'ambiente di questa scuola è molto buono.
还	restituire; tornare	Per favore, restituiscimi il libro domani.
换	cambiare; scambiare	Voglio cambiare una camicia.
黄河	il Fiume Giallo	Il Fiume Giallo è molto lungo.
回答	rispondere; la risposta	Per favore, risponda alla mia domanda.
会议	la riunione; la conferenza	La riunione inizia alle nove.
或者	oppure; forse	Puoi prendere la metropolitana oppure l'autobus.
几乎	quasi	Lui fa esercizio quasi ogni giorno.
机会	l'occasione; l'opportunità	Questa è una buona opportunità.
极	estremamente; molto	Lei è estremamente felice.
季节	la stagione	L'autunno è la mia stagione preferita.
记得	ricordare	Ti sei ricordato di portare la carta di credito?
检查	controllare; esaminare	Il medico mi visita.
简单	semplice; facile	Questa frase è molto semplice.
健康	la salute; sano	Fare esercizio fa bene alla salute.
见面	incontrarsi; vedersi	Domani ci vediamo a scuola.
讲	spiegare; parlare	L'insegnante spiega molto chiaramente.
教	insegnare	Lui mi insegna a scrivere i caratteri cinesi.
脚	il piede; la gamba	Mi fa un po' male il piede.
角	l'angolo	Il negozio è all'angolo della strada.
接	andare a prendere; ricevere; rispondere	Vado all'aeroporto a prendere un amico.
街道	la strada	Questa strada è molto pulita.
结婚	sposarsi	Loro si sposeranno l'anno prossimo.
结束	finire; concludere	La partita è già finita.
节目	il programma; lo spettacolo	Questo programma televisivo è molto buono.
节日	la festa; il festival	La Festa di primavera è una festa cinese importante.
解决	risolvere	Questo problema è già stato risolto.
借	prendere in prestito; prestare	Voglio prendere in prestito il tuo dizionario.
经常	spesso; frequentemente	Vado spesso in biblioteca.
经过	passare da; attraversare	Passo da questo parco ogni giorno.
经理	il direttore; il responsabile	Il direttore è in riunione.
久	a lungo; molto tempo	Vivo qui da molto tempo.
旧	vecchio; usato	Questo capo di abbigliamento è molto vecchio.
句子	la frase	Per favore, scrivi una frase.
决定	decidere; la decisione	Ho deciso di studiare cinese.
可爱	carino; adorabile	Questo gatto è molto carino.
渴	avere sete	Ho sete e voglio bere acqua.
刻	il quarto d'ora; il momento	Sono le otto e un quarto.
客人	l'ospite; il cliente	Oggi è venuto un ospite a casa nostra.
空调	l'aria condizionata	Per favore, accendi l'aria condizionata.
口	la bocca; il classificatore per persone o animali	Lui ha bevuto un sorso d'acqua.
哭	piangere	Perché il bambino piange?
裤子	i pantaloni	Questi pantaloni sono nuovi.
筷子	le bacchette	So mangiare con le bacchette.
蓝	blu; azzurro	Il cielo è blu.
老	vecchio; anziano	Il mio insegnante non è vecchio.
离开	andarsene; lasciare	Domani lui lascia Pechino.
礼物	il regalo	Questo è un regalo per te.
历史	la storia	Mi piace la storia cinese.
脸	il viso; la faccia	Il suo viso è molto rosso.
练习	esercitarsi; l'esercizio	Per favore, esercitati di più a parlare cinese.
辆	il classificatore per veicoli	C'è un taxi alla porta.
聊天	chiacchierare	Chiacchiero con un amico.
了解	capire; conoscere	Voglio capire la cultura cinese.
邻居	il vicino	Il mio vicino è molto cordiale.
留学	studiare all'estero	Lei studia in Cina come studentessa straniera.
楼	l'edificio; il piano	L'ufficio è al terzo piano.
绿	verde	In primavera gli alberi diventano verdi.
马	il cavallo	Quel cavallo corre molto veloce.
马上	subito; immediatamente	Torno subito.
满意	soddisfatto	Sono molto soddisfatto di questa stanza.
帽子	il cappello; il berretto	Questo cappello è molto bello.
米	il metro; il riso	Questo tavolo è lungo due metri.
面包	il pane	A colazione mangio pane.
明白	capire; chiaro	Capisco che cosa vuoi dire.
拿	prendere; tenere	Per favore, prendimi un libro.
奶奶	la nonna paterna; la nonna	Alla nonna piace ascoltare musica.
南	il sud	La scuola è a sud della città.
难	difficile	Questa domanda non è difficile.
难过	triste; dispiaciuto	Oggi lei è un po' triste.
年级	la classe; l'anno scolastico	Mia sorella minore è in terza.
年轻	giovane	Questo direttore è molto giovane.
鸟	l'uccello	C'è un uccello sull'albero.
努力	impegnarsi; lo sforzo	Lui studia con molto impegno.
爬山	scalare una montagna; fare escursioni	Questo fine settimana andiamo in montagna.
盘子	il piatto; il vassoio	Ci sono tre piatti sul tavolo.
胖	grasso; paffuto	Questo cane è un po' grasso.
啤酒	la birra	Papà non beve birra.
皮鞋	le scarpe di pelle	Questo paio di scarpe di pelle è costoso.
瓶子	la bottiglia	C'è acqua nella bottiglia.
其实	in realtà; a dire il vero	In realtà non mi piace la birra.
其他	altro; gli altri	Gli altri compagni sono già arrivati.
奇怪	strano	Questo suono è molto strano.
骑	andare in; cavalcare	Lui va al lavoro in bicicletta ogni giorno.
起飞	decollare	L'aereo decollerà presto.
起来	alzarsi; verso l'alto	Per favore, alzati.
清楚	chiaro; chiaramente	Hai parlato molto chiaramente.
请假	chiedere un permesso	Lui ha il raffreddore e deve chiedere un permesso.
秋	l'autunno	In autunno il tempo è piacevole.
裙子	la gonna	Questa gonna è molto bella.
然后	poi; dopo	Prima mangio, poi faccio i compiti.
热情	cordiale; entusiasta	Gli amici cinesi sono molto cordiali.
认为	pensare; ritenere	Penso che questo metodo sia buono.
认真	serio; attento	Per favore, ascolta attentamente l'insegnante.
容易	facile	Questo carattere cinese è facile da scrivere.
如果	se	Se piove, prendiamo la metropolitana.
伞	l'ombrello	Piove; per favore, porta un ombrello.
上网	andare su internet; collegarsi	La sera vado su internet per controllare la mappa.
声音	la voce; il suono	La tua voce è bella.
生气	arrabbiato; arrabbiarsi	Non arrabbiarti, non l'ho fatto apposta.
世界	il mondo	Il mondo è molto grande.
试	provare; misurare	Voglio provare questo paio di scarpe di pelle.
瘦	magro; snello	Lui è più magro di prima.
叔叔	lo zio paterno; lo zio	Lo zio mi porta a scuola in macchina.
舒服	comodo; confortevole	Questa sedia è comoda.
数学	la matematica	La lezione di matematica è interessante.
树	l'albero	C'è un albero davanti alla casa.
刷牙	lavarsi i denti	Mi lavo i denti ogni mattina.
双	il paio; doppio	Ho comprato un paio di scarpe di pelle.
水平	il livello	Il suo livello di cinese è alto.
司机	l'autista	L'autista ci aspetta alla porta.
太阳	il sole	Oggi il sole è forte.
特别	speciale; particolarmente	Questo programma è particolarmente interessante.
疼	fare male; doloroso	Mi fa male la gamba.
提高	migliorare; aumentare	Più pratica può migliorare il livello di cinese.
体育	lo sport; l'educazione fisica	Mi piace la lezione di educazione fisica.
甜	dolce	Questa bevanda è troppo dolce.
条	il classificatore per oggetti lunghi	Ho comprato una gonna.
同事	il collega	Il mio collega è molto occupato.
同意	essere d'accordo; approvare	Sono d'accordo con la tua decisione.
头发	i capelli	I suoi capelli sono lunghi.
突然	all'improvviso; improvviso	Lui se n'è andato all'improvviso.
图书馆	la biblioteca	La biblioteca oggi è chiusa.
腿	la gamba	Dopo l'escursione in montagna mi fanno male le gambe.
完成	completare; finire	Ho già finito i compiti.
碗	la ciotola	Ci sono due ciotole sul tavolo.
万	dieci mila	Questa città ha diecimila abitanti.
忘记	dimenticare	Non dimenticare di portare il passaporto.
为	per; a causa di	Sono felice per te.
为了	per; allo scopo di	Per l'esame, lui ripassa ogni giorno.
位	il classificatore cortese per persone	Questo insegnante è molto famoso.
文化	la cultura	Voglio capire la cultura cinese.
西	l'ovest	La banca è a ovest della scuola.
习惯	l'abitudine; essere abituato	Sono abituato a fare esercizio la mattina.
洗手间	il bagno; la toilette	Il bagno è a destra.
洗澡	fare la doccia; lavarsi	La sera faccio la doccia.
夏	l'estate	L'estate è molto calda.
先	prima; per primo	Mangia prima tu.
相信	credere	Credo che lui verrà.
香蕉	la banana	Ho comprato tre banane.
像	sembrare; essere come	Questa nuvola sembra un uccello.
向	verso; in direzione di	Per favore, cammina verso sinistra.
小心	fare attenzione	Piove; fai attenzione per strada.
校长	il preside	Il preside è in ufficio.
新闻	le notizie	Papà guarda le notizie ogni giorno.
新鲜	fresco	Questa frutta è molto fresca.
信用卡	la carta di credito	Posso pagare con carta di credito?
行李箱	la valigia	La mia valigia è pesante.
熊猫	il panda	Ai bambini piace guardare i panda.
需要	avere bisogno; necessitare	Ho bisogno del tuo aiuto.
选择	scegliere; la scelta	Quale camicia scegli?
要求	chiedere; richiedere	L'insegnante ci chiede di fare i compiti con attenzione.
爷爷	il nonno paterno; il nonno	Il nonno va al parco ogni giorno.
一直	sempre; continuamente	Lui ti sta aspettando da tutto questo tempo.
一定	sicuramente; di certo	Verrò sicuramente.
一共	in totale	Quanto costano in totale questi libri?
一会儿	un po'; un momento	Per favore, aspettami un momento.
一样	uguale; lo stesso	Queste due tazze hanno la stessa dimensione.
以前	prima; in passato	Prima abitavo a Pechino.
一般	normale; medio	Il cibo di questo ristorante è nella media.
一边	un lato; mentre	Lui ascolta musica mentre fa i compiti.
音乐	la musica	Mi piace la musica cinese.
银行	la banca	La banca è accanto al supermercato.
饮料	la bevanda	Questa bevanda ha un buon sapore.
应该	dovere; dovrebbe	Dovresti riposare di più.
影响	l'influenza; influenzare	Il tempo influenzerà la partita.
用	usare; utilizzare	Uso il computer per fare i compiti.
游戏	il gioco	I bambini giocano.
有名	famoso	Questo ristorante è molto famoso.
又	di nuovo; ancora	Oggi lui è arrivato di nuovo in ritardo.
遇到	incontrare; imbattersi in	Ho incontrato l'insegnante per strada.
元	lo yuan; l'unità monetaria	Questo dizionario costa cinquanta yuan.
愿意	essere disposto; volere	Sei disposto a partecipare?
月亮	la luna	La luna è luminosa stasera.
越	più... più...	Più studio cinese, più diventa interessante.
站	la stazione; stare in piedi	Lui sta in piedi alla porta.
张	il classificatore per oggetti piatti	Per favore, dammi una mappa.
长	crescere	I bambini crescono in fretta.
着急	preoccuparsi; essere in ansia	Non preoccuparti, l'ascensore arriverà presto.
照顾	prendersi cura di	Lei si prende cura della nonna malata.
照片	la foto	Questa foto è bella.
照相机	la macchina fotografica	Uso una macchina fotografica per fare foto.
283:只	solo; soltanto	Bevo solo una tazza di tè.
284:只	il classificatore per animali	C'è un gatto sotto il tavolo.
只有…才…	solo se... allora...	Solo ripassando con attenzione puoi andare bene all'esame.
中间	il centro; in mezzo	Il tavolo è al centro della stanza.
中文	il cinese; la lingua cinese	Studio cinese ogni giorno.
终于	finalmente	Finalmente siamo arrivati.
种	il tipo; la specie	Che tipo di bevanda ti piace?
重要	importante	Il passaporto è molto importante.
周末	il fine settimana	Voglio andare al parco nel fine settimana.
主要	principale; maggiore	Il suo hobby principale è la musica.
注意	fare attenzione	Per favore, presta attenzione all'insegnante.
自己	se stesso; da solo	Voglio fare i compiti da solo.
自行车	la bicicletta	La mia bicicletta è al piano di sotto.
总是	sempre	Lui arriva sempre presto in ufficio.
嘴	la bocca	Per favore, apri la bocca.
最后	alla fine; ultimo	Alla fine eravamo tutti d'accordo.
最近	di recente; ultimamente	Ultimamente sono occupato.
作业	i compiti	Non ho ancora finito i compiti.
