simplified	BN	example_BN
国家	দেশ; রাষ্ট্র	চীন খুব বড় দেশ।
过	অভিজ্ঞতাসূচক কণা	আমি বেইজিংয়ে গিয়েছি।
过去	অতীত; আগে	আগে এখানে মেট্রো ছিল না।
还是	অথবা; এখনও	তুমি চা খাবে নাকি কফি?
害怕	ভয় পাওয়া	আমি পরীক্ষাকে ভয় পাই না।
黑板	কালো বোর্ড; ব্ল্যাকবোর্ড	শিক্ষক ব্ল্যাকবোর্ডে অক্ষর লেখেন।
后来	পরে; তারপরে	পরে আমরা পার্কে গেলাম।
护照	পাসপোর্ট	দয়া করে তোমার পাসপোর্ট নিয়ে এসো।
96:花	খরচ করা; খরচ হওয়া	মোবাইল ফোন কিনতে দুই হাজার ইউয়ান খরচ হয়েছে।
97:花	ফুল	টেবিলের ওপর একটি ফুল আছে।
画	আঁকা; ছবি	আমার ছোট বোন পান্ডা আঁকতে ভালোবাসে।
坏	খারাপ; নষ্ট	আমার কম্পিউটার নষ্ট হয়ে গেছে।
欢迎	স্বাগত জানানো; স্বাগত	আমার বাড়িতে স্বাগতম।
环境	পরিবেশ	এই স্কুলের পরিবেশ খুব ভালো।
还	ফিরিয়ে দেওয়া; ফেরত দেওয়া	দয়া করে কাল আমার বই ফিরিয়ে দাও।
换	বদলানো; বিনিময় করা	আমি একটি শার্ট বদলাতে চাই।
黄河	হুয়াংহে নদী	হুয়াংহে নদী খুব লম্বা।
回答	উত্তর দেওয়া; উত্তর	দয়া করে আমার প্রশ্নের উত্তর দিন।
会议	সভা; মিটিং	সভা নয়টায় শুরু হয়।
或者	অথবা; বা	তুমি মেট্রো অথবা বাস নিতে পারো।
几乎	প্রায়	সে প্রায় প্রতিদিন ব্যায়াম করে।
机会	সুযোগ	এটা ভালো সুযোগ।
极	অত্যন্ত; খুব	সে অত্যন্ত খুশি।
季节	ঋতু; মৌসুম	শরৎ আমার সবচেয়ে প্রিয় ঋতু।
记得	মনে রাখা	ক্রেডিট কার্ড আনতে তোমার মনে আছে?
检查	পরীক্ষা করা; যাচাই করা	ডাক্তার আমার শরীর পরীক্ষা করেন।
简单	সহজ; সরল	এই বাক্যটি খুব সহজ।
健康	স্বাস্থ্য; সুস্থ	ব্যায়াম স্বাস্থ্যের জন্য ভালো।
见面	দেখা করা	আমরা কাল স্কুলে দেখা করব।
讲	ব্যাখ্যা করা; বলা	শিক্ষক খুব পরিষ্কারভাবে ব্যাখ্যা করেন।
教	শেখানো; পড়ানো	সে আমাকে চীনা অক্ষর লিখতে শেখায়।
脚	পা	আমার পায়ে একটু ব্যথা।
角	কোণ	দোকানটা রাস্তার কোণে।
接	নিতে যাওয়া; গ্রহণ করা	আমি বন্ধুকে নিতে বিমানবন্দরে যাচ্ছি।
街道	রাস্তা; সড়ক	এই রাস্তাটা খুব পরিষ্কার।
结婚	বিয়ে করা	তারা আগামী বছর বিয়ে করবে।
结束	শেষ হওয়া; শেষ করা	ম্যাচ ইতিমধ্যে শেষ হয়েছে।
节目	অনুষ্ঠান; অনুষ্ঠানসূচি	এই টিভি অনুষ্ঠানটি খুব ভালো।
节日	উৎসব; ছুটির দিন	বসন্ত উৎসব চীনের গুরুত্বপূর্ণ উৎসব।
解决	সমাধান করা	এই সমস্যার সমাধান হয়ে গেছে।
借	ধার নেওয়া; ধার দেওয়া	আমি তোমার অভিধান ধার নিতে চাই।
经常	প্রায়ই; নিয়মিত	আমি প্রায়ই লাইব্রেরিতে যাই।
经过	পেরিয়ে যাওয়া; প্রক্রিয়া	আমি প্রতিদিন এই পার্ক দিয়ে যাই।
经理	ম্যানেজার; ব্যবস্থাপক	ম্যানেজার মিটিং করছেন।
久	দীর্ঘ সময়; অনেকক্ষণ	আমি এখানে অনেক দিন ধরে থাকি।
旧	পুরোনো	এই জামাটা খুব পুরোনো।
句子	বাক্য	দয়া করে একটি বাক্য লিখুন।
决定	সিদ্ধান্ত নেওয়া; সিদ্ধান্ত	আমি চীনা ভাষা শেখার সিদ্ধান্ত নিয়েছি।
可爱	আদুরে; সুন্দর	এই বিড়ালটি খুব আদুরে।
渴	তৃষ্ণার্ত; পিপাসা লাগা	আমার পিপাসা লেগেছে, পানি খেতে চাই।
刻	পনেরো মিনিট; মুহূর্ত	এখন আটটা পনেরো।
客人	অতিথি; গ্রাহক	আজ বাড়িতে অতিথি এসেছে।
空调	এয়ার কন্ডিশনার	দয়া করে এয়ার কন্ডিশনার চালু করুন।
口	মুখ; এক চুমুক; মানুষ বা পশুর পরিমাপক শব্দ	সে এক চুমুক পানি খেল।
哭	কাঁদা	বাচ্চাটা কেন কাঁদছে?
裤子	প্যান্ট; ট্রাউজার	এই প্যান্টটা নতুন।
筷子	চপস্টিক	আমি চপস্টিক দিয়ে খেতে পারি।
蓝	নীল	আকাশ নীল।
老	বৃদ্ধ; পুরোনো	আমার শিক্ষক বৃদ্ধ নন।
离开	ছেড়ে যাওয়া; চলে যাওয়া	সে কাল বেইজিং ছাড়বে।
礼物	উপহার	এটা তোমার জন্য উপহার।
历史	ইতিহাস	আমি চীনা ইতিহাস পছন্দ করি।
脸	মুখ; মুখমণ্ডল	তার মুখ খুব লাল।
练习	অভ্যাস; অনুশীলন করা	দয়া করে চীনা বলা আরও অনুশীলন করুন।
辆	যানবাহনের পরিমাপক শব্দ	দরজার সামনে একটি ট্যাক্সি আছে।
聊天	আড্ডা দেওয়া; কথা বলা	আমি বন্ধুর সঙ্গে কথা বলি।
了解	বোঝা; জানা	আমি চীনা সংস্কৃতি বুঝতে চাই।
邻居	প্রতিবেশী	আমার প্রতিবেশী খুব আন্তরিক।
留学	বিদেশে পড়াশোনা করা	সে চীনে পড়াশোনা করছে।
楼	ভবন; তলা	অফিস তৃতীয় তলায়।
绿	সবুজ	বসন্তে গাছগুলো সবুজ হয়ে যায়।
马	ঘোড়া	ওই ঘোড়া খুব দ্রুত দৌড়ায়।
马上	তৎক্ষণাৎ; এখনই	আমি এখনই ফিরে আসব।
满意	সন্তুষ্ট	আমি এই ঘর নিয়ে খুব সন্তুষ্ট।
帽子	টুপি	এই টুপিটা খুব সুন্দর।
米	মিটার; চাল	এই টেবিল দুই মিটার লম্বা।
面包	রুটি; পাউরুটি	সকালের খাবারে আমি রুটি খাই।
明白	বোঝা; স্পষ্ট	আমি তোমার অর্থ বুঝি।
拿	নেওয়া; ধরা; তুলে নেওয়া	দয়া করে আমাকে একটি বই এনে দাও।
奶奶	ঠাকুমা; দাদি	ঠাকুমা গান শুনতে ভালোবাসেন।
南	দক্ষিণ	স্কুল শহরের দক্ষিণে।
难	কঠিন; মুশকিল	এই প্রশ্ন কঠিন নয়।
难过	দুঃখিত; মন খারাপ	আজ তার একটু মন খারাপ।
年级	শ্রেণি; গ্রেড	আমার ছোট বোন তৃতীয় শ্রেণিতে পড়ে।
年轻	তরুণ; কম বয়সী	এই ম্যানেজার খুব তরুণ।
鸟	পাখি	গাছে একটি পাখি আছে।
努力	পরিশ্রম করা; চেষ্টা	সে খুব পরিশ্রম করে পড়ে।
爬山	পাহাড়ে ওঠা; পাহাড়ে হাঁটা	সপ্তাহান্তে আমরা পাহাড়ে উঠতে যাব।
盘子	প্লেট; থালা	টেবিলের ওপর তিনটি প্লেট আছে।
胖	মোটা; নাদুসনুদুস	এই কুকুরটা একটু মোটা।
啤酒	বিয়ার	বাবা বিয়ার পান করেন না।
皮鞋	চামড়ার জুতো	এই চামড়ার জুতোর জোড়া দামি।
瓶子	বোতল	বোতলে পানি আছে।
其实	আসলে; সত্যি বলতে	আসলে আমি বিয়ার পছন্দ করি না।
其他	অন্য; বাকি	বাকি সহপাঠীরা সবাই এসেছে।
奇怪	অদ্ভুত; বিচিত্র	এই শব্দটা খুব অদ্ভুত।
骑	চড়া; চালানো	সে প্রতিদিন সাইকেল চালিয়ে কাজে যায়।
起飞	উড্ডয়ন করা	বিমানটা এখনই উড্ডয়ন করবে।
起来	উঠে দাঁড়ানো; উঠা	দয়া করে উঠে দাঁড়ান।
清楚	স্পষ্ট; পরিষ্কার	আপনি খুব স্পষ্টভাবে বলেছেন।
请假	ছুটি চাওয়া	তার সর্দি হয়েছে, তাই তাকে ছুটি চাইতে হবে।
秋	শরৎ	শরতের আবহাওয়া আরামদায়ক।
裙子	স্কার্ট	এই স্কার্টটা খুব সুন্দর।
然后	তারপর; এরপর	আমি আগে খাই, তারপর বাড়ির কাজ করি।
热情	আন্তরিক; উৎসাহী	চীনা বন্ধুরা খুব আন্তরিক।
认为	ভাবা; মনে করা	আমি মনে করি এই পদ্ধতিটা ভালো।
认真	মনোযোগী; আন্তরিক	দয়া করে মন দিয়ে শিক্ষকের কথা শুনো।
容易	সহজ	এই চীনা অক্ষর লেখা সহজ।
如果	যদি	যদি বৃষ্টি হয়, আমরা মেট্রো নেব।
伞	ছাতা	বৃষ্টি হচ্ছে, দয়া করে ছাতা নিয়ে যাও।
上网	ইন্টারনেট ব্যবহার করা; অনলাইনে যাওয়া	আমি সন্ধ্যায় ইন্টারনেটে মানচিত্র দেখি।
声音	শব্দ; কণ্ঠস্বর	তোমার কণ্ঠস্বর শুনতে ভালো লাগে।
生气	রাগ করা	রাগ কোরো না, আমি ইচ্ছে করে করিনি।
世界	বিশ্ব; পৃথিবী	পৃথিবী খুব বড়।
试	চেষ্টা করা; পরীক্ষা করা	আমি এই চামড়ার জুতোর জোড়া পরে দেখতে চাই।
瘦	পাতলা; রোগা	সে আগের চেয়ে পাতলা হয়েছে।
叔叔	চাচা; কাকা; আঙ্কেল	চাচা গাড়ি চালিয়ে আমাকে স্কুলে পৌঁছে দেন।
舒服	আরামদায়ক; আরাম লাগা	এই চেয়ারটি আরামদায়ক।
数学	গণিত	গণিতের ক্লাস মজার।
树	গাছ	বাড়ির সামনে একটি গাছ আছে।
刷牙	দাঁত মাজা	আমি প্রতিদিন সকালে দাঁত মাজি।
双	জোড়া; যুগল	আমি এক জোড়া চামড়ার জুতো কিনেছি।
水平	স্তর; মান	তার চীনা ভাষার স্তর উঁচু।
司机	চালক; ড্রাইভার	চালক দরজার সামনে আমাদের অপেক্ষা করছেন।
太阳	সূর্য	আজ রোদ খুব তীব্র।
特别	বিশেষ; বিশেষ করে	এই অনুষ্ঠানটি বিশেষভাবে আকর্ষণীয়।
疼	ব্যথা করা	আমার পায়ে ব্যথা করছে।
提高	উন্নত করা; বাড়ানো	বেশি অনুশীলন করলে চীনা ভাষার স্তর উন্নত করা যায়।
体育	খেলাধুলা; শারীরিক শিক্ষা	আমি শারীরিক শিক্ষার ক্লাস পছন্দ করি।
甜	মিষ্টি	এই পানীয়টা খুব মিষ্টি।
条	লম্বা জিনিসের পরিমাপক শব্দ; ধারা	আমি একটি স্কার্ট কিনেছি।
同事	সহকর্মী	আমার সহকর্মী খুব ব্যস্ত।
同意	একমত হওয়া; সম্মত হওয়া	আমি তোমার সিদ্ধান্তের সঙ্গে একমত।
头发	চুল	তার চুল লম্বা।
突然	হঠাৎ; আকস্মিক	সে হঠাৎ চলে গেল।
图书馆	লাইব্রেরি	লাইব্রেরি আজ খোলা নয়।
腿	পা	পাহাড়ে ওঠার পরে আমার পায়ে খুব ব্যথা।
完成	সম্পন্ন করা; শেষ করা	আমি বাড়ির কাজ ইতিমধ্যে শেষ করেছি।
碗	বাটি	টেবিলের ওপর দুটি বাটি আছে।
万	দশ হাজার	এই শহরে দশ হাজার মানুষ আছে।
忘记	ভুলে যাওয়া	পাসপোর্ট আনতে ভুলবে না।
为	জন্য; কারণে	আমি তোমার জন্য খুশি।
为了	জন্য; উদ্দেশ্যে	পরীক্ষার জন্য সে প্রতিদিন পুনরাবৃত্তি করে।
位	মানুষের জন্য সম্মানসূচক পরিমাপক শব্দ	এই শিক্ষক খুব বিখ্যাত।
文化	সংস্কৃতি	আমি চীনা সংস্কৃতি বুঝতে চাই।
西	পশ্চিম	ব্যাংক স্কুলের পশ্চিমে।
习惯	অভ্যাস; অভ্যস্ত হওয়া	আমি সকালে ব্যায়াম করতে অভ্যস্ত।
洗手间	শৌচাগার; বাথরুম	শৌচাগার ডান দিকে।
洗澡	স্নান করা; গোসল করা	আমি সন্ধ্যায় গোসল করি।
夏	গ্রীষ্ম; গরমকাল	গ্রীষ্ম খুব গরম।
先	আগে; প্রথমে	তুমি আগে খেয়ে নাও।
相信	বিশ্বাস করা	আমি বিশ্বাস করি সে আসবে।
香蕉	কলা	আমি তিনটি কলা কিনেছি।
像	মতো লাগা; সদৃশ হওয়া	এই মেঘটা একটি পাখির মতো।
向	দিকে; অভিমুখে	দয়া করে বাম দিকে হাঁটুন।
小心	সাবধান হওয়া	বৃষ্টি হচ্ছে, পথে সাবধানে থেকো।
校长	প্রধান শিক্ষক; অধ্যক্ষ	অধ্যক্ষ অফিসে আছেন।
新闻	খবর; সংবাদ	বাবা প্রতিদিন খবর দেখেন।
新鲜	তাজা; নতুন	এই ফলটা খুব তাজা।
信用卡	ক্রেডিট কার্ড	আমি কি ক্রেডিট কার্ড দিয়ে টাকা দিতে পারি?
行李箱	সুটকেস	আমার সুটকেস খুব ভারী।
熊猫	পান্ডা	বাচ্চারা পান্ডা দেখতে ভালোবাসে।
需要	প্রয়োজন হওয়া; দরকার হওয়া	আমার তোমার সাহায্য দরকার।
选择	নির্বাচন করা; পছন্দ	তুমি কোন শার্টটি বেছে নাও?
要求	অনুরোধ করা; দাবি করা; চাওয়া	শিক্ষক আমাদের মন দিয়ে বাড়ির কাজ করতে বলেন।
爷爷	দাদু; দাদা	দাদু প্রতিদিন পার্কে যান।
一直	সবসময়; টানা	সে তোমার জন্য টানা অপেক্ষা করছে।
一定	নিশ্চয়ই; অবশ্যই	আমি নিশ্চয়ই আসব।
一共	মোট; সব মিলিয়ে	এই বইগুলোর মোট দাম কত?
一会儿	একটুক্ষণ; কিছুক্ষণ	দয়া করে আমাকে একটুক্ষণ অপেক্ষা করুন।
一样	একই; সমান	এই দুই কাপ একই মাপের।
以前	আগে; পূর্বে	আগে আমি বেইজিংয়ে থাকতাম।
一般	সাধারণ; মাঝারি	এই রেস্তোরাঁর খাবার সাধারণ।
一边	একদিকে; একই সঙ্গে	সে গান শুনতে শুনতে বাড়ির কাজ করে।
音乐	সঙ্গীত; গান	আমি চীনা সঙ্গীত পছন্দ করি।
银行	ব্যাংক	ব্যাংক সুপারমার্কেটের পাশে।
饮料	পানীয়	এই পানীয়টা সুস্বাদু।
应该	উচিত; করা দরকার	তোমার আরও বিশ্রাম নেওয়া উচিত।
影响	প্রভাব; প্রভাবিত করা	আবহাওয়া ম্যাচে প্রভাব ফেলবে।
用	ব্যবহার করা	আমি কম্পিউটার দিয়ে বাড়ির কাজ করি।
游戏	খেলা; গেম	বাচ্চারা খেলছে।
有名	বিখ্যাত	এই রেস্তোরাঁ খুব বিখ্যাত।
又	আবার; আরও	সে আজ আবার দেরি করেছে।
遇到	দেখা পাওয়া; হঠাৎ দেখা হওয়া	রাস্তায় আমার শিক্ষকের সঙ্গে দেখা হয়েছে।
元	ইউয়ান	এই অভিধান পঞ্চাশ ইউয়ান।
愿意	ইচ্ছুক হওয়া; রাজি হওয়া	তুমি কি যোগ দিতে রাজি?
月亮	চাঁদ	আজ রাতে চাঁদ খুব উজ্জ্বল।
越	যত… তত…	চীনা ভাষা যত শিখি, ততই মজার লাগে।
站	স্টেশন; দাঁড়ানো	সে দরজার সামনে দাঁড়িয়ে আছে।
张	চ্যাপ্টা জিনিসের পরিমাপক শব্দ; পাতা	দয়া করে আমাকে একটি মানচিত্র দিন।
长	বড় হওয়া; বৃদ্ধি পাওয়া	বাচ্চারা খুব দ্রুত বড় হয়।
着急	উদ্বিগ্ন হওয়া; অস্থির হওয়া	উদ্বিগ্ন হয়ো না, লিফট এখনই আসবে।
照顾	দেখাশোনা করা; যত্ন নেওয়া	সে অসুস্থ দাদির দেখাশোনা করে।
照片	ছবি; ফটো	এই ছবিটা দেখতে ভালো।
照相机	ক্যামেরা	আমি ক্যামেরা দিয়ে ছবি তুলি।
283:只	শুধু; মাত্র	আমি শুধু এক কাপ চা খাই।
284:只	পশুর পরিমাপক শব্দ	টেবিলের নিচে একটি বিড়াল আছে।
只有…才…	শুধু… হলেই…	মন দিয়ে পুনরাবৃত্তি করলেই পরীক্ষায় ভালো করা যায়।
中间	মাঝখান; মধ্যে	টেবিলটা ঘরের মাঝখানে।
中文	চীনা ভাষা; চীনা লেখা	আমি প্রতিদিন চীনা ভাষা পড়ি।
终于	অবশেষে; শেষ পর্যন্ত	আমরা অবশেষে পৌঁছলাম।
种	ধরন; প্রকার	তুমি কোন ধরনের পানীয় পছন্দ করো?
重要	গুরুত্বপূর্ণ	পাসপোর্ট খুব গুরুত্বপূর্ণ।
周末	সপ্তাহান্ত	সপ্তাহান্তে আমি পার্কে যেতে চাই।
主要	প্রধান; মূল	তার প্রধান শখ সঙ্গীত।
注意	মনোযোগ দেওয়া; সাবধান হওয়া	দয়া করে শিক্ষকের কথায় মনোযোগ দাও।
自己	নিজে; নিজের	আমি নিজে বাড়ির কাজ করতে চাই।
自行车	সাইকেল	আমার সাইকেল নিচতলায়।
总是	সবসময়	সে সবসময় খুব তাড়াতাড়ি অফিসে পৌঁছায়।
嘴	মুখ	দয়া করে মুখ খুলুন।
最后	শেষ; শেষে	শেষে আমরা সবাই একমত হলাম।
最近	সম্প্রতি; এই দিনগুলোতে	এই দিনগুলোতে আমি খুব ব্যস্ত।
作业	বাড়ির কাজ; কাজ	আমি এখনও বাড়ির কাজ শেষ করিনি।
