source_headword	KN	example_KN
twist	ತಿರುಚು	ಅವಳು ಮುಚ್ಚಳವನ್ನು ತಿರುಚಿ ತೆರೆದಳು.
undergraduate	ಪದವಿಪೂರ್ವ ವಿದ್ಯಾರ್ಥಿ	ಪದವಿಪೂರ್ವ ವಿದ್ಯಾರ್ಥಿಯು ಸಂಶೋಧನಾ ಯೋಜನೆಗೆ ಸೇರಿಕೊಂಡನು.
underlying	ಆಧಾರವಾಗಿರುವ	ವರದಿಯು ಆಧಾರವಾಗಿರುವ ಕಾರಣಗಳನ್ನು ವಿವರಿಸಿದೆ.
undermine	ದುರ್ಬಲಗೊಳಿಸು	ಹಗರಣವು ಸಾರ್ವಜನಿಕ ನಂಬಿಕೆಯನ್ನು ದುರ್ಬಲಗೊಳಿಸಿತು.
undoubtedly	ನಿಸ್ಸಂದೇಹವಾಗಿ	ಅವಳು ನಿಸ್ಸಂದೇಹವಾಗಿ ಅತ್ಯುತ್ತಮ ಅಭ್ಯರ್ಥಿ.
unify	ಒಂದುಗೂಡಿಸು	ಈ ಯೋಜನೆಯು ತಂಡಗಳನ್ನು ಒಂದುಗೂಡಿಸುವ ಗುರಿಯನ್ನು ಹೊಂದಿದೆ.
unprecedented	ಅಭೂತಪೂರ್ವ	ಬಿರುಗಾಳಿಯು ಅಭೂತಪೂರ್ವ ಹಾನಿಯನ್ನುಂಟುಮಾಡಿತು.
unveil	ಅನಾವರಣಗೊಳಿಸು	ಕಂಪನಿಯು ನಾಳೆ ವಿನ್ಯಾಸವನ್ನು ಅನಾವರಣಗೊಳಿಸಲಿದೆ.
upcoming	ಮುಂಬರುವ	ಮುಂಬರುವ ಚುನಾವಣೆಯು ಸಾರ್ವಜನಿಕರ ಗಮನ ಸೆಳೆಯಿತು.
upgrade	ಅಪ್‌ಗ್ರೇಡ್	ನಾವು ನಿನ್ನೆ ರಾತ್ರಿ ಸಾಫ್ಟ್‌ವೇರ್ ಅನ್ನು ಅಪ್‌ಗ್ರೇಡ್ ಮಾಡಿದ್ದೇವೆ.
uphold	ಎತ್ತಿಹಿಡಿಯುವುದು	ನಾವು ಮೂಲ ನಿರ್ಧಾರವನ್ನು ಎತ್ತಿಹಿಡಿಯುತ್ತೇವೆ.
utility	ಉಪಯುಕ್ತತೆ	ಅಪಾರ್ಟ್‌ಮೆಂಟ್ ಎಲ್ಲಾ ಉಪಯುಕ್ತತೆಯ ವೆಚ್ಚಗಳನ್ನು ಒಳಗೊಂಡಿದೆ.
utilize	ಬಳಸಿಕೊಳ್ಳಿ	ತಂಡವು ಲಭ್ಯವಿರುವ ಡೇಟಾವನ್ನು ಬಳಸಿಕೊಂಡಿತು.
utterly	ಸಂಪೂರ್ಣವಾಗಿ	ವಿವರಣೆಯು ಸಂಪೂರ್ಣವಾಗಿ ಗೊಂದಲಮಯವಾಗಿತ್ತು.
vacuum	ಶೂನ್ಯ	ನಾಯಕತ್ವದಲ್ಲಿನ ಶೂನ್ಯವು ಉದ್ವಿಗ್ನತೆಯನ್ನು ಸೃಷ್ಟಿಸಿತು.
vague	ಅಸ್ಪಷ್ಟ	ಅವನ ಉತ್ತರವು ಅಸ್ಪಷ್ಟ ಮತ್ತು ದುರ್ಬಲವಾಗಿತ್ತು.
validity	ಸಿಂಧುತ್ವ	ಅಧ್ಯಯನವು ಪರೀಕ್ಷೆಯ ಸಿಂಧುತ್ವವನ್ನು ಪ್ರಶ್ನಿಸಿತು.
vanish	ಕಣ್ಮರೆಯಾಗು	ಫೋಲ್ಡರ್‌ನಿಂದ ಫೈಲ್ ಕಣ್ಮರೆಯಾಯಿತು.
variable	ವೇರಿಯಬಲ್	ಬೆಲೆಯು ಒಂದು ಪ್ರಮುಖ ವೇರಿಯಬಲ್ ಆಗಿದೆ.
varied	ವೈವಿಧ್ಯಮಯ	ಕೋರ್ಸ್ ವೈವಿಧ್ಯಮಯ ಕಾರ್ಯಯೋಜನೆಗಳನ್ನು ನೀಡುತ್ತದೆ.
vein	ರಕ್ತನಾಳ	ನರ್ಸ್ ತ್ವರಿತವಾಗಿ ರಕ್ತನಾಳವನ್ನು ಕಂಡುಕೊಂಡರು.
venture	ಉದ್ಯಮ	ಹೊಸ ಉದ್ಯಮವು ಹೂಡಿಕೆದಾರರನ್ನು ಆಕರ್ಷಿಸಿತು.
verbal	ಮೌಖಿಕ	ಅವರು ಮೌಖಿಕ ಒಪ್ಪಂದವನ್ನು ತಲುಪಿದರು.
verdict	ತೀರ್ಪು	ತೀರ್ಪುಗಾರರು ತಮ್ಮ ತೀರ್ಪನ್ನು ನೀಡಿದರು.
verify	ಪರಿಶೀಲಿಸಿ	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಇಮೇಲ್ ವಿಳಾಸವನ್ನು ಪರಿಶೀಲಿಸಿ.
verse	ಪದ್ಯ	ಅವಳು ಕವಿತೆಯ ಒಂದು ಪದ್ಯವನ್ನು ಉಲ್ಲೇಖಿಸಿದಳು.
versus	ವಿರುದ್ಧ	ಚರ್ಚೆಯು ಗೌಪ್ಯತೆ ವಿರುದ್ಧ ಭದ್ರತೆಯಾಗಿತ್ತು.
vessel	ಹಡಗು	ಹಡಗು ಸಮುದ್ರದ ಮೂಲಕ ಧಾನ್ಯವನ್ನು ಒಯ್ಯಿತು.
veteran	ಅನುಭವಿ	ಅನುಭವಿಗಳು ಹೊಸ ಸಿಬ್ಬಂದಿಗೆ ತರಬೇತಿ ನೀಡಿದರು.
viable	ಕಾರ್ಯಸಾಧ್ಯ	ಪ್ರಸ್ತಾವನೆಯು ಆರ್ಥಿಕವಾಗಿ ಕಾರ್ಯಸಾಧ್ಯವಾಗಿದೆ.
vibrant	ರೋಮಾಂಚಕ	ನಗರವು ರೋಮಾಂಚಕ ಕಲಾ ದೃಶ್ಯವನ್ನು ಹೊಂದಿದೆ.
vice	ದುರ್ಗುಣ	ದುರಾಸೆಯು ಅವನ ದೊಡ್ಡ ದುರ್ಗುಣವಾಗಿತ್ತು.
vicious	ಕೆಟ್ಟ	ಈ ಕೆಟ್ಟ ದಾಳಿಯು ಪಟ್ಟಣವನ್ನು ಬೆಚ್ಚಿಬೀಳಿಸಿತು.
villager	ಗ್ರಾಮಸ್ಥ	ಗ್ರಾಮಸ್ಥರೊಬ್ಬರು ನಮಗೆ ನದಿಯತ್ತ ಮಾರ್ಗದರ್ಶನ ನೀಡಿದರು.
violate	ಉಲ್ಲಂಘಿಸು	ಕಂಪನಿಯು ಸುರಕ್ಷತಾ ನಿಯಮಗಳನ್ನು ಉಲ್ಲಂಘಿಸಬಹುದು.
violation	ಉಲ್ಲಂಘನೆ	ಇನ್ಸ್ಪೆಕ್ಟರ್ ಗಂಭೀರ ಉಲ್ಲಂಘನೆಯನ್ನು ವರದಿ ಮಾಡಿದ್ದಾರೆ.
virtue	ಸದ್ಗುಣ	ತಾಳ್ಮೆಯು ಒಂದು ಪ್ರಮುಖ ಸದ್ಗುಣವಾಗಿದೆ.
vocal	ಧ್ವನಿ	ಅವಳು ನಿರ್ಧಾರದ ಬಗ್ಗೆ ತನ್ನ ಧ್ವನಿಯನ್ನು ಎತ್ತಿದಳು.
vow	ಪ್ರತಿಜ್ಞೆ	ಕೆಲಸ ಮುಗಿಸುವುದಾಗಿ ಪ್ರತಿಜ್ಞೆ ಮಾಡಿದರು.
vulnerability	ದುರ್ಬಲತೆ	ಲೆಕ್ಕಪರಿಶೋಧನೆಯು ಭದ್ರತಾ ದುರ್ಬಲತೆಯನ್ನು ಬಹಿರಂಗಪಡಿಸಿತು.
vulnerable	ದುರ್ಬಲ	ವಿಪರೀತ ಬಿಸಿಲಿನಲ್ಲಿ ಮಕ್ಕಳು ದುರ್ಬಲರಾಗಿರುತ್ತಾರೆ.
ward	ವಾರ್ಡ್	ರೋಗಿಯನ್ನು ಮತ್ತೊಂದು ವಾರ್ಡ್‌ಗೆ ಸ್ಥಳಾಂತರಿಸಲಾಯಿತು.
warehouse	ಉಗ್ರಾಣ	ಉಗ್ರಾಣವು ಬಿಡಿಭಾಗಗಳನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ.
warfare	ಯುದ್ಧ	ಆಧುನಿಕ ಯುದ್ಧವು ತಂತ್ರಜ್ಞಾನವನ್ನು ಅವಲಂಬಿಸಿದೆ.
warrant	ವಾರಂಟ್	ಪೊಲೀಸರು ಶೋಧನಾ ವಾರಂಟ್ ತೋರಿಸಿದರು.
warrior	ಯೋಧ	ಯೋಧನು ಹಳ್ಳಿಯನ್ನು ರಕ್ಷಿಸಿದನು.
weaken	ದುರ್ಬಲಗೊಳಿಸು	ಗಾಯವು ಅವನ ಹಿಡಿತವನ್ನು ದುರ್ಬಲಗೊಳಿಸಿತು.
weave	ನೇಯ್ಗೆ	ಅವಳು ಬುಟ್ಟಿಗಳನ್ನು ನೇಯಲು ಕಲಿತಳು.
weed	ಕಳೆ	ಕಲ್ಲುಗಳ ನಡುವೆ ಕಳೆ ಬೆಳೆದಿತ್ತು.
well	ಬಾವಿ	ಹಳ್ಳಿಯ ಬಾವಿ ಒಣಗಿತ್ತು.
well-being	ಯೋಗಕ್ಷೇಮ	ಯೋಗಕ್ಷೇಮಕ್ಕೆ ನಿದ್ರೆ ಅತ್ಯಗತ್ಯ.
whatsoever	ಯಾವುದೇ	ಅವರು ಯಾವುದೇ ಆಸಕ್ತಿಯನ್ನು ತೋರಿಸಲಿಲ್ಲ.
whereby	ಅದರ ಮೂಲಕ	ಕುಟುಂಬಗಳು ಮೇಲ್ಮನವಿ ಸಲ್ಲಿಸಬಹುದಾದ ವ್ಯವಸ್ಥೆಯನ್ನು ಕಾನೂನು ರಚಿಸಿತು.
whilst	ಹಾಗೆಯೇ	ಅವನು ವಿಶ್ರಾಂತಿ ಪಡೆಯುತ್ತಿರುವಾಗ ಅವಳು ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಳು.
whip	ಚಾವಟಿ	ಗಾಳಿಯು ಧ್ವಜಗಳನ್ನು ಹಾರಿಸಬಹುದು.
wholly	ಸಂಪೂರ್ಣವಾಗಿ	ನಿರ್ಧಾರವು ಸಂಪೂರ್ಣವಾಗಿ ಅನಿರೀಕ್ಷಿತವಾಗಿತ್ತು.
widen	ವಿಸ್ತರಿಸು	ನಗರವು ರಸ್ತೆಯನ್ನು ಅಗಲಗೊಳಿಸಲು ಯೋಜಿಸಿದೆ.
widow	ವಿಧವೆ	ವಿಧವೆ ಶಾಲೆಯ ಬಳಿ ವಾಸಿಸುತ್ತಿದ್ದಾಳೆ.
width	ಅಗಲ	ಬಾಗಿಲಿನ ಅಗಲವನ್ನು ಅಳೆಯಿರಿ.
willingness	ಇಚ್ಛೆ	ಸಹಾಯ ಮಾಡುವ ಅವಳ ಇಚ್ಛೆಯು ಎಲ್ಲರನ್ನು ಮೆಚ್ಚಿಸಿತು.
wipe	ಒರೆಸು	ಬಟ್ಟೆಯಿಂದ ಪರದೆಯನ್ನು ಒರೆಸಿ.
wit	ಬುದ್ಧಿ	ಅವನ ಹಾಸ್ಯವು ಭಾಷಣವನ್ನು ಉತ್ಸಾಹಭರಿತಗೊಳಿಸಿತು.
withdrawal	ಹಿಂತೆಗೆದುಕೊಳ್ಳುವಿಕೆ	ಹಣವನ್ನು ಹಿಂತೆಗೆದುಕೊಳ್ಳುವುದು ಯೋಜನೆಯನ್ನು ವಿಳಂಬಗೊಳಿಸಿತು.
workout	ವ್ಯಾಯಾಮ	ವ್ಯಾಯಾಮವು ನಲವತ್ತು ನಿಮಿಷಗಳ ಕಾಲ ನಡೆಯಿತು.
worship	ಪೂಜೆ	ಮುಂಜಾನೆ ಪೂಜೆಗಾಗಿ ಜನ ಸೇರಿದ್ದರು.
worthwhile	ಯೋಗ್ಯ	ಪ್ರವಾಸವು ಯೋಗ್ಯವಾಗಿತ್ತು.
worthy	ಅರ್ಹ	ದತ್ತಿಯು ಬೆಂಬಲಕ್ಕೆ ಅರ್ಹವಾಗಿದೆ.
yell	ಕೂಗಾಟ	ಸಿಬ್ಬಂದಿಯ ಮೇಲೆ ಕೂಗಾಡಬೇಡಿ.
yield	ಇಳುವರಿ	ಈ ಋತುವಿನಲ್ಲಿ ಕೃಷಿಯ ಇಳುವರಿ ಸುಧಾರಿಸಿದೆ.
youngster	ಯುವಕ	ಯುವಕನು ಅನೇಕ ಪ್ರಶ್ನೆಗಳನ್ನು ಕೇಳಿದನು.
