source_headword	ID	example_ID
determination	tekad	Tekadnya mengesankan sang pelatih.
devote	mencurahkan	Dia mencurahkan akhir pekannya untuk belajar.
differ	berbeda	Pendapat mereka berbeda tajam.
disability	disabilitas	Gedung ini memiliki akses untuk penyandang disabilitas.
disabled	dinonaktifkan	Atlet penyandang disabilitas itu memenangkan medali.
disagreement	ketidaksepakatan	Rapat itu berakhir dengan ketidaksepakatan.
disappoint	mengecewakan	Hasilnya mungkin mengecewakan para penggemar.
disappointment	kekecewaan	Dia merasakan kekecewaan yang mendalam.
discourage	mencegah	Jangan membuat pelajar muda patah semangat.
disorder	gangguan	Dokter mendiagnosis gangguan tidur.
distant	jauh	Gunung-gunung itu tampak jauh.
distinct	nyata	Kedua suara itu berbeda.
distinguish	membedakan	Bisakah kamu membedakan warna-warna ini?
distract	mengalihkan perhatian	Kebisingan dapat mengalihkan perhatian siswa.
disturb	mengganggu	Tolong jangan ganggu pasien itu.
dive	penyelaman	Mereka akan menyelam di dekat terumbu karang.
diverse	beragam	Kota ini memiliki budaya yang beragam.
diversity	keragaman	Kami merayakan keragaman budaya.
divorce	perceraian	Perceraian itu sulit bagi semua orang.
dominant	dominan	Tim yang dominan mengendalikan permainan.
donation	donasi	Badan amal itu menerima sebuah donasi.
dot	titik	Letakkan sebuah titik setelah angka tersebut.
downtown	pusat kota	Kami bertemu di pusat kota setelah bekerja.
dramatically	secara dramatis	Harga turun secara dramatis.
drought	kekeringan	Kekeringan merusak tanaman.
dull	membosankan	Kuliah itu membosankan.
dump	membuang	Jangan buang sampah di sini.
duration	durasi	Durasi penerbangan adalah tiga jam.
dynamic	dinamika	Ruang kelas terasa dinamis.
economics	ilmu ekonomi	Dia belajar ilmu ekonomi di universitas.
economist	ekonom	Ekonom tersebut memperkirakan pertumbuhan yang lebih lambat.
editorial	editorial	Tajuk rencana itu mengkritik undang-undang tersebut.
efficiently	secara efisien	Tim tersebut bekerja secara efisien.
elbow	siku	Dia melukai sikunya.
electronics	elektronik	Toko itu menjual barang elektronik.
elegant	elegan	Gaun itu terlihat elegan.
elementary	dasar	Buku itu menjelaskan tata bahasa dasar.
eliminate	menghilangkan	Tim itu menghilangkan beberapa kesalahan.
embrace	merangkul	Dia menerima ide baru itu.
emission	emisi	Tingkat emisi mobil turun.
emotionally	secara emosional	Dia berbicara secara emosional tentang keluarganya.
empire	kekaisaran	Kerajaan itu bertahan selama berabad-abad.
enjoyable	menyenangkan	Perjalanan itu menyenangkan.
entertaining	menghibur	Pertunjukan itu menghibur.
entrepreneur	pengusaha	Pengusaha itu membuka kafe.
envelope	amplop	Masukkan surat itu ke dalam amplop.
equip	melengkapi	Sekolah akan melengkapi laboratorium.
equivalent	setara	Satu dolar tidak setara di sini.
era	era	Penemuan itu memulai era baru.
erupt	meletus	Gunung berapi itu mungkin akan segera meletus.
essentially	pada dasarnya	Kedua metode itu pada dasarnya identik.
ethic	etika	Etos kerjanya kuat.
ethnic	etnis	Festival itu merayakan tradisi etnis.
evaluation	evaluasi	Kursus ini mencakup evaluasi akhir.
evident	nyata	Kegugupannya terlihat jelas.
evolution	evolusi	Evolusi menjelaskan banyak perubahan biologis.
evolve	mengembangkan	Bahasa berkembang seiring waktu.
exceed	melampaui	Permintaan mungkin melebihi pasokan.
exception	pengecualian	Ada satu pengecualian.
excessive	berlebihan	Kebisingan yang berlebihan mengganggu tetangga.
exclude	mengecualikan	Daftar itu mengecualikan pekerja sementara.
exhibit	pameran	Museum itu akan memamerkan foto-foto langka.
exit	jalan keluar	Pintu keluar ada di belakang panggung.
exotic	eksotis	Toko itu menjual buah eksotis.
expansion	ekspansi	Perusahaan itu merencanakan ekspansi.
expertise	keahlian	Keahliannya meningkatkan proyek itu.
exploit	mengeksploitasi	Penjahat mengeksploitasi kata sandi yang lemah.
exposure	paparan	Paparan sinar matahari bisa merusak kulit.
extension	perpanjangan	Perpanjangan tenggat waktu itu membantu semua orang.
extensive	ekstensif	Perpustakaan itu memiliki sumber daya yang ekstensif.
extensively	secara luas	Topik itu dipelajari secara luas.
extract	ekstrak	Ekstrak vanila memberikan rasa.
fabric	kain	Kain itu terasa lembut.
fabulous	menakjubkan	Makanannya menakjubkan.
failed	gagal	Usaha yang gagal itu mengajarkan kita sesuatu.
fake	palsu	Situs web itu menjual tiket palsu.
fame	ketenaran	Ketenaran mengubah kehidupan pribadinya.
fantasy	fantasi	Novel itu adalah sebuah fantasi.
fare	tarif	Tarif bus naik.
federal	federal	Pemerintah federal mengumumkan pendanaan.
fever	demam	Anak itu demam.
firefighter	pemadam kebakaran	Pemadam kebakaran itu menyelamatkan anjing tersebut.
firework	kembang api	Kembang api meledak di atas taman.
firm	tegas	Kasur itu keras.
firmly	dengan tegas	Dia menutup pintu dengan kuat.
flavour	rasa	Sup itu memiliki rasa yang kaya.
fond	penuh kasih	Dia suka musik jazz.
fool	orang bodoh	Jangan bertingkah seperti orang bodoh.
forbid	melarang	Hukum melarang merokok di sini.
forecast	prakiraan	Prakiraan itu memprediksi hujan.
format	format	Gunakan format file yang benar.
formation	formasi	Pembentukan awan berubah dengan cepat.
formerly	sebelumnya	Bangunan itu sebelumnya adalah sekolah.
fortunate	beruntung	Kami beruntung tiba lebih awal.
forum	forum	Forum itu membahas kebijakan iklim.
fossil	fosil	Fosil itu ditemukan di batu.
foundation	fondasi	Rumah itu memiliki fondasi yang kuat.
founder	pendiri	Pendiri itu menyambut para tamu.
fraction	pecahan	Hanya sebagian kecil siswa yang datang.
fragment	fragmen	Pecahan kaca tergeletak di lantai.
framework	kerangka kerja	Hukum itu menciptakan kerangka kerja yang jelas.
fraud	penipuan	Bank itu mendeteksi penipuan.
freely	dengan bebas	Anak-anak bermain dengan bebas di luar.
frequent	sering	Istirahat yang sering meningkatkan fokus.
fulfil	memenuhi	Saya berharap dapat memenuhi janji saya.
full-time	purna waktu	Dia memiliki pekerjaan purna waktu.
fundamentally	pada dasarnya	Rencana itu pada dasarnya berbeda.
furious	sangat marah	Dia sangat marah tentang penundaan itu.
gaming	permainan	Bermain game dapat meningkatkan kecepatan reaksi.
gay	homoseksual	Dia mendukung hak-hak gay.
gender	gender	Survei itu menanyakan tentang jenis kelamin.
gene	gen	Gen memengaruhi warna mata.
genetic	genetik	Penyakit ini memiliki penyebab genetik.
genius	jenius	Pianis muda itu adalah seorang jenius.
genuine	asli	Senyumnya tampak tulus.
genuinely	dengan tulus	Dia benar-benar ingin membantu.
gesture	gerak isyarat	Dia membuat isyarat yang ramah.
gig	pertunjukan	Band itu memainkan pertunjukan di pusat kota.
globalization	globalisasi	Globalisasi memengaruhi bisnis lokal.
globe	bola dunia	Bola dunia itu menunjukkan setiap benua.
golden	keemasan	Matahari terbenam itu berubah menjadi keemasan.
goodness	kebaikan	Dia percaya pada kebaikan manusia.
gorgeous	sangat cantik	Taman itu tampak sangat cantik.
governor	gubernur	Gubernator itu menandatangani RUU tersebut.
graphic	grafis	Gambar grafis itu mengejutkan pemirsa.
graphics	grafis	Game ini memiliki grafis yang sederhana.
greatly	sangat	Nasihat Anda sangat membantu.
greenhouse	rumah kaca	Tomat tumbuh di dalam rumah kaca.
grocery	toko bahan makanan	Dia membeli barang bahan makanan setelah bekerja.
guideline	pedoman	Pedoman itu menjelaskan praktik yang aman.
habitat	habitat	Hutan adalah habitat burung.
harbour	pelabuhan	Kapal itu memasuki pelabuhan.
headquarters	markas besar	Kantor pusat perusahaan pindah ke pusat kota.
