simplified	HU	example_HU
个子	testmagasság; termet	Magas termetű.
根据	szerint; alapján	A térkép szerint az iskola keleten van.
跟	-val/-vel; követni	Egy barátommal megyek a parkba.
更	még; jobban	Ma még hidegebb van, mint tegnap.
公斤	kilogramm	Ezek az almák egy kilogrammot nyomnak.
公园	park	A gyerekek a parkban játszanak.
故事	történet	A nagyapám egy történetet mesél nekem.
刮风	fúj a szél	Ma fúj a szél, ne biciklizz.
关	bezárni; kikapcsolni	Kérem, csukja be az ajtót.
关系	kapcsolat	Jó a kapcsolatom a kollégámmal.
关心	törődni; érdekelni	Anya nagyon törődik az egészségemmel.
关于	-ról/-ről; kapcsolatban	Ez a könyv a kínai kultúráról szól.
国家	ország; állam	Kína nagyon nagy ország.
过	tapasztalati partikula; már csináltam	Jártam Pekingben.
过去	múlt; régen	Régen itt nem volt metró.
还是	vagy; még mindig	Teát vagy kávét iszol?
害怕	félni	Nem félek a vizsgától.
黑板	tábla	A tanár írásjegyeket ír a táblára.
后来	később; azután	Később elmentünk a parkba.
护照	útlevél	Kérem, hozza magával az útlevelét.
96:花	költeni; kerülni	A telefon megvásárlása kétezer jüanba került.
97:花	virág	Van egy virág az asztalon.
画	rajzolni; kép	A húgom szeret pandát rajzolni.
坏	rossz; elromlott	A számítógépem elromlott.
欢迎	üdvözölni; szívesen látni	Üdvözöllek az otthonomban.
环境	környezet	Ennek az iskolának nagyon jó a környezete.
还	visszaadni	Kérem, holnap adja vissza a könyvemet.
换	cserélni; váltani	Szeretném kicserélni az inget.
黄河	Sárga-folyó	A Sárga-folyó nagyon hosszú.
回答	válaszolni; válasz	Kérem, válaszoljon a kérdésemre.
会议	megbeszélés; konferencia	A megbeszélés kilenckor kezdődik.
或者	vagy; esetleg	Mehetsz metróval vagy busszal.
几乎	majdnem; szinte	Szinte mindennap edz.
机会	lehetőség; alkalom	Ez jó lehetőség.
极	nagyon; rendkívül	Rendkívül boldog.
季节	évszak	Az ősz a kedvenc évszakom.
记得	emlékezni	Emlékszel, hogy hozd a hitelkártyát?
检查	ellenőrizni; megvizsgálni	Az orvos megvizsgál.
简单	egyszerű; könnyű	Ez a mondat nagyon egyszerű.
健康	egészség; egészséges	A testedzés jó az egészségnek.
见面	találkozni	Holnap az iskolában találkozunk.
讲	magyarázni; beszélni	A tanár nagyon világosan magyaráz.
教	tanítani	Megtanít kínai írásjegyeket írni.
脚	láb; lábfej	Egy kicsit fáj a lábam.
角	sarok; szög	A bolt az utcasarkon van.
接	felvenni; fogadni; válaszolni	Kimegyek a repülőtérre egy barátomért.
街道	utca	Ez az utca nagyon tiszta.
结婚	megházasodni	Jövőre összeházasodnak.
结束	befejeződni; befejezni	A mérkőzés már véget ért.
节目	televíziós műsor	Ez a televíziós műsor nagyon jó.
节日	ünnep; fesztivál	A tavaszünnep fontos kínai ünnep.
解决	megoldani	Ez a probléma már megoldódott.
借	kölcsönkérni; kölcsönadni	Szeretném kölcsönkérni a szótáradat.
经常	gyakran	Gyakran járok könyvtárba.
经过	elmenni mellette; áthaladni	Mindennap elmegyek ez mellett a park mellett.
经理	vezető; igazgató	A vezető megbeszélésen van.
久	régóta; hosszú ideig	Régóta lakom itt.
旧	régi; használt	Ez a ruhadarab nagyon régi.
句子	mondat	Kérem, írjon egy mondatot.
决定	dönteni; döntés	Úgy döntöttem, hogy kínaiul tanulok.
可爱	aranyos	Ez a macska nagyon aranyos.
渴	szomjas	Szomjas vagyok, és vizet szeretnék inni.
刻	negyedóra; pillanat	Negyed kilenc van.
客人	vendég; ügyfél	Ma vendég jött hozzánk.
空调	légkondicionáló	Kérem, kapcsolja be a légkondicionálót.
口	száj; korty	Ivott egy korty vizet.
哭	sírni	Miért sír a gyerek?
裤子	nadrág	Ez a nadrág új.
筷子	evőpálcika	Tudok evőpálcikával enni.
蓝	kék	Az ég kék.
老	idős; régi	A tanárom nem idős.
离开	elmenni; elhagyni	Holnap elhagyja Pekinget.
礼物	ajándék	Ez ajándék neked.
历史	történelem	Szeretem a kínai történelmet.
脸	arc	Az arca nagyon piros.
练习	gyakorlat; gyakorolni	Kérem, gyakorold többet a kínai beszédet.
辆	járművek számlálószava	Az ajtó előtt áll egy taxi.
聊天	csevegni	Egy barátommal csevegek.
了解	megérteni; megismerni	Szeretném megismerni a kínai kultúrát.
邻居	szomszéd	A szomszédom nagyon kedves.
留学	külföldön tanulni	Kínában tanul külföldi diákként.
楼	épület; emelet	Az iroda a harmadik emeleten van.
绿	zöld	Tavasszal kizöldültek a fák.
马	ló	Az a ló nagyon gyorsan fut.
马上	azonnal; rögtön	Rögtön visszajövök.
满意	elégedett	Nagyon elégedett vagyok ezzel a szobával.
帽子	sapka; kalap	Ez a sapka nagyon szép.
米	méter; rizs	Ez az asztal két méter hosszú.
面包	kenyér	Reggelire kenyeret eszem.
明白	érteni; világos	Értem, mire gondolsz.
拿	venni; tartani	Kérem, vegyen nekem egy könyvet.
奶奶	apai nagymama; nagymama	A nagymama szeret zenét hallgatni.
南	dél	Az iskola a város déli részén van.
难	nehéz	Ez a kérdés nem nehéz.
难过	szomorú	Ma egy kicsit szomorú.
年级	évfolyam; osztály	A húgom harmadik osztályos.
年轻	fiatal	Ez a vezető nagyon fiatal.
鸟	madár	Van egy madár a fán.
努力	igyekezni; szorgalmas	Nagyon szorgalmasan tanul.
爬山	hegyet mászni; túrázni	Hétvégén hegyet mászunk.
盘子	tányér; tálca	Három tányér van az asztalon.
胖	kövér; telt	Ez a kutya egy kicsit kövér.
啤酒	sör	Apa nem iszik sört.
皮鞋	bőrcipő	Ez a pár bőrcipő drága.
瓶子	üveg	Az üvegben víz van.
其实	valójában	Valójában nem szeretem a sört.
其他	más; többi	A többi osztálytárs már megérkezett.
奇怪	furcsa	Ez a hang nagyon furcsa.
骑	lovagolni; járművel menni	Mindennap biciklivel megy dolgozni.
起飞	felszállni	A repülőgép mindjárt felszáll.
起来	felállni; felkelni	Kérem, álljon fel.
清楚	tiszta; világos	Nagyon világosan beszéltél.
请假	szabadságot kérni	Megfázott, ezért szabadságot kell kérnie.
秋	ősz	Ősszel kellemes az idő.
裙子	szoknya	Ez a szoknya nagyon szép.
然后	azután; majd	Először eszem, azután megcsinálom a házi feladatot.
热情	melegszívű; lelkes	A kínai barátok nagyon melegszívűek.
认为	gondolni; vélni	Úgy gondolom, hogy ez a módszer jó.
认真	komoly; figyelmes	Kérem, figyelmesen hallgasd a tanárt.
容易	könnyű	Ezt a kínai írásjegyet könnyű leírni.
如果	ha	Ha esik az eső, metróval megyünk.
伞	esernyő	Esik az eső, kérem, vigyen esernyőt.
上网	felmenni a hálóra	Este felmegyek a hálóra, hogy megnézzem a térképet.
声音	hang	A hangod szépen szól.
生气	dühös; haragudni	Ne haragudj, nem szándékosan tettem.
世界	világ	A világ nagyon nagy.
试	kipróbálni; próbálni	Szeretném felpróbálni ezt a bőrcipőt.
瘦	sovány; karcsú	Soványabb, mint korábban.
叔叔	nagybácsi	A nagybácsim visz iskolába.
舒服	kényelmes; jól eső	Ez a szék kényelmes.
数学	matematika	A matematikaóra érdekes.
树	fa	Van egy fa a ház előtt.
刷牙	fogat mosni	Minden reggel fogat mosok.
双	pár	Vettem egy pár bőrcipőt.
水平	szint	A kínai nyelvi szintje magas.
司机	sofőr	A sofőr az ajtó előtt vár minket.
太阳	nap	Ma erősen süt a nap.
特别	különösen; különleges	Ez a műsor különösen érdekes.
疼	fájni	Fáj a lábam.
提高	emelni; fejleszteni	Több gyakorlás fejlesztheti a kínai szintet.
体育	sport; testnevelés	Szeretem a testnevelésórát.
甜	édes	Ez az ital túl édes.
条	hosszú dolgok számlálószava; darab	Vettem egy szoknyát.
同事	kolléga	A kollégám nagyon elfoglalt.
同意	egyetérteni	Egyetértek a döntéseddel.
头发	haj	Hosszú a haja.
突然	hirtelen	Hirtelen elment.
图书馆	könyvtár	A könyvtár ma nincs nyitva.
腿	láb	Hegymászás után fáj a lábam.
完成	befejezni	Már befejeztem a házi feladatot.
碗	tál	Két tál van az asztalon.
万	tízezer; nagyon sok	Ebben a városban tízezer ember él.
忘记	elfelejteni	Ne felejtsd el magaddal vinni az útleveledet.
为	miatt; érdekében	Örülök neked.
为了	azért, hogy; céljából	A vizsgára készülve mindennap ismétel.
位	személyek udvarias számlálószava	Ez a tanár nagyon híres.
文化	kultúra	Szeretném megismerni a kínai kultúrát.
西	nyugat	A bank az iskolától nyugatra van.
习惯	szokás; hozzászokni	Hozzászoktam a reggeli edzéshez.
洗手间	mosdó; vécé	A mosdó jobb oldalon van.
洗澡	fürdeni; zuhanyozni	Este zuhanyozom.
夏	nyár	A nyár nagyon forró.
先	először; előbb	Először te egyél.
相信	hinni	Hiszem, hogy eljön.
香蕉	banán	Három banánt vettem.
像	hasonlítani; olyan, mint	Ez a felhő madárra hasonlít.
向	irány; felé	Kérem, menjen balra.
小心	óvatosnak lenni	Esik az eső, légy óvatos az úton.
校长	iskolaigazgató	Az iskolaigazgató az irodában van.
新闻	hírek	Apa mindennap híreket néz.
新鲜	friss	Ez a gyümölcs nagyon friss.
信用卡	hitelkártya	Fizethetek hitelkártyával?
行李箱	bőrönd	A bőröndöm nehéz.
熊猫	panda	A gyerekek szeretnek pandákat nézni.
需要	szüksége van; kell	Szükségem van a segítségedre.
选择	választani; választás	Melyik inget választod?
要求	kérni; követelni	A tanár azt kéri, hogy gondosan csináljuk meg a házi feladatot.
爷爷	apai nagyapa; nagyapa	A nagyapa mindennap a parkba megy.
一直	folyamatosan; mindig	Folyamatosan rád vár.
一定	biztosan; feltétlenül	Biztosan eljövök.
一共	összesen	Összesen mennyibe kerülnek ezek a könyvek?
一会儿	egy kis idő; egy pillanat	Kérem, várjon rám egy kicsit.
一样	ugyanolyan	Ez a két csésze ugyanolyan nagy.
以前	korábban; régen	Régen Pekingben laktam.
一般	általános; átlagos	Ennek az étteremnek az étele átlagos.
一边	egy oldal; miközben	Zenehallgatás közben házi feladatot ír.
音乐	zene	Szeretem a kínai zenét.
银行	bank	A bank a nagybolt mellett van.
饮料	ital	Ez az ital jó ízű.
应该	kellene; kell	Többet kellene pihenned.
影响	hatás; befolyásolni	Az időjárás befolyásolja a mérkőzést.
用	használni	Számítógépet használok a házi feladathoz.
游戏	játék	A gyerekek játszanak.
有名	híres	Ez az étterem nagyon híres.
又	megint; is	Ma megint elkésett.
遇到	találkozni; összefutni	Találkoztam a tanárral az utcán.
元	jüan; pénzegység	Ez a szótár ötven jüanba kerül.
愿意	akarni; hajlandó lenni	Szeretnél részt venni?
月亮	hold	Ma este fényes a hold.
越	minél... annál...	Minél többet tanulok kínaiul, annál érdekesebb.
站	állomás; állni	Az ajtónál áll.
张	lapos tárgyak számlálószava	Kérem, adjon nekem egy térképet.
长	nőni	A gyerekek gyorsan nőnek.
着急	aggódni; idegeskedni	Ne idegeskedj, a lift hamarosan jön.
照顾	gondoskodni; ápolni	Ő gondoskodik a beteg nagymamájáról.
照片	fénykép	Ez a fénykép jól néz ki.
照相机	fényképezőgép	Fényképezőgépet használok fényképezéshez.
283:只	csak; csupán	Csak egy csésze teát iszom.
284:只	állatok számlálószava	Van egy macska az asztal alatt.
只有…才…	csak akkor... ha...	Csak akkor sikerül jól a vizsga, ha alaposan ismételsz.
中间	közép; középen	Az asztal a szoba közepén van.
中文	kínai nyelv; kínai írás	Mindennap kínaiul tanulok.
终于	végre	Végre megérkeztünk.
种	fajta; típus	Milyen fajta italt szeretsz?
重要	fontos	Az útlevél nagyon fontos.
周末	hétvége	Hétvégén a parkba szeretnék menni.
主要	fő; legfontosabb	A fő hobbija a zene.
注意	figyelni	Kérem, figyeljen a tanárra.
自己	saját maga; önmaga	Magam szeretném megcsinálni a házi feladatot.
自行车	bicikli	A biciklim lent van.
总是	mindig	Mindig korán érkezik az irodába.
嘴	száj	Kérem, nyissa ki a száját.
最后	utolsó; végül	Végül mindannyian egyetértettünk.
最近	mostanában	Mostanában elfoglalt vagyok.
作业	házi feladat	Még nem fejeztem be a házi feladatot.
