source_headword	TA	example_TA
theme	கருப்பொருள்	விருந்துக்கு ஒரு கடற்கரை கருப்பொருள் இருந்தது.
theory	கோட்பாடு	அவரது கோட்பாடு சிக்கலை விளக்குகிறது.
therefore	எனவே	மழை பெய்தது, எனவே நாங்கள் உள்ளேயே தங்கிவிட்டோம்.
though	இருந்தாலும்	சோர்வாக இருந்தாலும், அவள் தொடர்ந்து வேலை செய்தாள்.
throat	தொண்டை	இன்று காலை என் தொண்டை வலிக்கிறது.
throughout	முழுவதும்	மாலை முழுவதும் மக்கள் நடனமாடினர்.
tight	இறுக்கமான	இந்தக் காலணிகள் மிகவும் இறுக்கமாக இருக்கின்றன.
till	வரை	நான் திரும்பும் வரை இங்கே காத்திருங்கள்.
tin	டின்	ஒரு பீன்ஸ் டின்னைக் திறக்கவும்.
tiny	மிகச் சிறிய	ஒரு மிகச் சிறிய பறவை அருகில் அமர்ந்தது.
toe	கால் விரல்	நேற்று என் கால் விரலில் காயம் ஏற்பட்டது.
tongue	நாக்கு	அவள் தேநீரால் தன் நாக்கை சுட்டுக்கொண்டாள்.
total	மொத்த	மொத்த செலவு குறைவாக இருந்தது.
totally	முற்றிலும்	உங்கள் கவலையை நான் முற்றிலும் புரிந்துகொள்கிறேன்.
trade	வர்த்தகம்	சர்வதேச வர்த்தகம் வேலைவாய்ப்புகளை உருவாக்குகிறது.
translate	மொழிபெயர்	தயவுசெய்து இந்த வாக்கியத்தை மொழிபெயர்க்கவும்.
translation	மொழிபெயர்ப்பு	மொழிபெயர்ப்பு இயல்பாக ஒலிக்கிறது.
treat	நடத்து	அனைவரையும் மரியாதையுடன் நடத்துங்கள்.
treatment	சிகிச்சை	நோயாளிக்கு இன்று சிகிச்சை தேவை.
trend	போக்கு	இந்தப் போக்கு உலகளவில் வளர்ந்து வருகிறது.
trick	தந்திரம்	அந்தச் சீட்டுத் தந்திரம் என்னை ஆச்சரியப்படுத்தியது.
truth	உண்மை	தயவுசெய்து உண்மையைச் சொல்லுங்கள்.
tube	குழாய்	குழாயை மெதுவாக அழுத்தவும்.
typically	வழக்கமாக	மாணவர்கள் வழக்கமாக ஒன்பது மணிக்கு முன் வந்துவிடுவார்கள்.
tyre	டயர்	காருக்கு புதிய டயர் தேவை.
ugly	அசிங்கமான	அந்தச் சுவர் நிறம் அசிங்கமாகத் தெரிகிறது.
unable	இயலாத	அவரால் பதிலளிக்க முடியவில்லை.
uncomfortable	அசௌகரியமான	இந்த நாற்காலி அசௌகரியமாக இருக்கிறது.
underwear	உள்ளாடை	பயணத்திற்கு சுத்தமான உள்ளாடைகளை எடுத்து வைக்கவும்.
unemployed	வேலையில்லாத	அவள் இரண்டு மாதங்களாக வேலையில்லாமல் இருந்தாள்.
unemployment	வேலையின்மை	குளிர்காலத்தில் வேலையின்மை அதிகரித்தது.
unfair	நியாயமற்ற	அந்த முடிவு நியாயமற்றதாகத் தெரிந்தது.
union	சங்கம்	தொழிலாளர் சங்கம் பாதுகாப்பான வேலையைக் கோரியது.
unless	இல்லாவிட்டால்	நான் அழைத்தால் தவிர வெளியேற வேண்டாம்.
unlike	போலல்லாமல்	டாமைப் போலல்லாமல், அனாவுக்குக் குளிர்காலம் பிடிக்கும்.
unlikely	சாத்தியமற்றது	இந்த வாரம் பனிப்பொழிவு இருக்க வாய்ப்பில்லை.
unnecessary	தேவையற்ற	கூடுதல் பைகள் தேவையற்றவை.
unpleasant	விரும்பத்தகாத	அறையில் ஒரு விரும்பத்தகாத வாசனை இருந்தது.
update	புதுப்பி	நான் என் தொலைபேசியைப் புதுப்பிக்க வேண்டும்.
upon	மீது	முன்னொரு காலத்தில், ஒரு ராஜா இருந்தார்.
upset	மனவருத்தம்	அழைப்பிற்குப் பிறகு அவள் மனவருத்தம் அடைந்தாள்.
used1	பயன்படுத்தப்படும்	இந்த அறை கூட்டங்களுக்குப் பயன்படுத்தப்படுகிறது.
used2	பழக்கப்பட்ட	எனக்கு அதிகாலை எழுவது பழக்கமாகிவிட்டது.
valuable	மதிப்புமிக்க	இந்தக் கடிகாரம் மதிப்புமிக்கது.
value	மதிப்பு	கடந்த ஆண்டு வீடு அதன் மதிப்பை இழந்தது.
various	பல்வேறு	நாங்கள் பல்வேறு உள்ளூர் உணவுகளை சுவைத்தோம்.
version	பதிப்பு	இந்த பதிப்பு சிறப்பாக வேலை செய்கிறது.
victim	பாதிக்கப்பட்டவர்	பாதிக்கப்பட்டவர் காவல்துறையினரை அழைத்தார்.
viewer	பார்வையாளர்	ஒரு பார்வையாளர் கேள்வி கேட்டார்.
violent	வன்முறையான	படம் மிகவும் வன்முறையாக இருந்தது.
volunteer	தன்னார்வலர்	நான் நூலகத்தில் தன்னார்வலராக வேலை செய்கிறேன்.
vote	வாக்களி	நாளை வாக்களிக்க நினைவில் கொள்ளுங்கள்.
warn	எச்சரி	நான் அவரை எச்சரிக்க முயன்றேன்.
warning	எச்சரிக்கை	திரையில் எச்சரிக்கை தோன்றியது.
waste	வீணாக்கு	சுத்தமான தண்ணீரை வீணாக்காதீர்கள்.
weapon	ஆயுதம்	அந்தக் கத்தி ஆயுதமாக மாறியது.
weigh	எடைபோடு	மாவை கவனமாக எடைபோடவும்.
western	மேற்கத்திய	அவர்கள் ஒரு மேற்கத்திய திரைப்படத்தைப் பார்த்தார்கள்.
whatever	எதுவாக இருந்தாலும்	உங்களுக்குப் பிடித்ததை எதை வேண்டுமானாலும் தேர்வு செய்யவும்.
whenever	எப்பொழுதெல்லாம்	உங்களுக்கு உதவி தேவைப்படும்போதெல்லாம் அழைக்கவும்.
whether	என்பதை	அவள் ஒப்புக்கொள்வாளா என்று எனக்குத் தெரியவில்லை.
wing	இறக்கை	பறவை ஒரு இறக்கையில் காயம் அடைந்தது.
within	உள்ளே	இரண்டு நாட்களுக்குள் பதிலளிக்கவும்.
wonder	யோசி	என்ன நடந்தது என்று யோசிக்கிறேன்.
wool	கம்பளி	இந்தக் கோட் கம்பளியால் ஆனது.
worldwide	உலகளாவிய	பாடல் உலகளவில் பிரபலமானது.
worth	மதிப்புள்ள	இந்தப் புத்தகம் படிக்கத் தகுந்தது.
written	எழுதப்பட்ட	தயவுசெய்து எழுதப்பட்ட வழிமுறைகளை அனுப்பவும்.
yard	முற்றம்	குழந்தைகள் முற்றத்தில் விளையாடினர்.
youth	இளைஞர்	இளைஞர் மன்றங்கள் உள்ளூர் பதின்ம வயதினரை ஆதரிக்கின்றன.
