source_headword	DA	example_DA
background	en baggrund	Billedet har en mørk baggrund.
badly	dårligt	Han spillede dårligt i dag.
bar	en bar; en stang	Vi mødtes i hotelbaren.
baseball	baseball	Baseball er populært her.
based	baseret på	Filmen er baseret på en bog.
basketball	basketball	Vi spiller basketball efter skole.
bean	en bønne	Bønnen er grøn.
bear (animal)	en bjørn	Bjørnen lever i skoven.
beat	slå; besejre	Vores hold kan besejre dem.
beef	oksekød	Jeg spiste oksekød til aftensmad.
behave	opføre sig	Opfør dig pænt i klassen.
behaviour	en adfærd	Hans adfærd var høflig.
belong	tilhøre	Disse sko tilhører mig.
belt	et bælte	Hans bælte er sort.
benefit	en fordel; en nytte	Motion har en virkelig nytte.
billion	en milliard	En milliard er et enormt tal.
bin	en skraldespand; en beholder	Læg papiret i skraldespanden.
biology	biologi	Biologi er mit bedste fag.
birth	en fødsel	Hendes fødsel var i maj.
biscuit	en kiks	Hun spiser en kiks.
bit	en bid; lidt	Jeg har brug for lidt mere tid.
blank	tom; et tomrum	Skriv dit navn i tomrummet.
blood	blod	Blod er rødt.
blow	blæse	Vinden kan blæse hårdt.
board	en tavle; et bræt	Skriv det på tavlen.
boil	koge	Kog vandet først.
bone	et ben	Hunden har et ben.
borrow	låne	Må jeg låne din pen?
boss	en chef	Chefen er venlig.
bottom	bunden; nederst	Skriv under nederst.
bowl	en skål	Skålen er fuld.
brain	en hjerne	Din hjerne har brug for hvile.
bridge	en bro	Broen er gammel.
bright	lys; klog	Rummet er lyst.
brilliant	strålende; genial	Denne idé er strålende.
broken	ødelagt; brækket	Stolen er ødelagt.
brush	en børste; børste	Børst tænderne nu.
burn	brænde	Brænd ikke brødet.
businessman	en forretningsmand	Forretningsmanden kom tidligt.
button	en knap	Tryk på den røde knap.
camp	en lejr; campere	Vi camperer nær søen.
camping	camping; det at campere	Camping er sjovt om sommeren.
can2	en dåse	Åbn dåsen forsigtigt.
care	omsorg; tage sig af	Pas på dit helbred.
careful	forsigtig; omhyggelig	Vær forsigtig på trappen.
carefully	forsigtigt; omhyggeligt	Læs spørgsmålet omhyggeligt.
carpet	et tæppe	Tæppet er blødt.
cartoon	en tegnefilm; en tegneserie	Denne tegnefilm er sjov.
case	et etui; en sag	Læg det i etuiet.
cash	kontanter	Jeg betalte kontant.
castle	et slot	Slottet er meget gammelt.
catch	fange	Grib bolden nu.
cause	en årsag; forårsage	Regn kan forårsage problemer.
celebrate	fejre	Vi fejrer min fødselsdag.
celebrity	en berømthed	Berømtheden var meget venlig.
certain	sikker; bestemt	Jeg er sikker på det.
certainly	helt sikkert; selvfølgelig	Jeg hjælper dig selvfølgelig.
chance	en chance	Du har en chance.
character	en karakter; en figur	Denne karakter er modig.
charity	en velgørenhed; et velgørende formål	Velgørenheden hjælper børn.
chat	snakke; en chat	Vi snakker efter timen.
chef	en kok	Kokken lavede suppe.
chemistry	kemi	Kemi er svært for mig.
chip	en chips; en lille del	Chipsen er salt.
choice	et valg	Dette valg er vigtigt.
church	en kirke	Kirken ligger tæt på.
cigarette	en cigaret	En cigaret skader helbredet.
circle	en cirkel	Tegn en cirkel her.
classical	klassisk	Jeg kan lide klassisk musik.
clear	klar; tydelig	Svaret er tydeligt.
clearly	tydeligt	Tal tydeligt, tak.
clever	klog	Hun er et klogt barn.
climate	et klima	Klimaet ændrer sig.
close2	tæt på; nær	Min skole ligger tæt på hjemmet.
closed	lukket	Butikken er lukket.
clothing	tøj	Varmt tøj er nyttigt.
cloud	en sky	Skyen dækker solen.
coach	en træner; en bus	Træneren hjalp holdet.
coast	en kyst	Vi kørte langs kysten.
code	en kode	Skriv koden her.
colleague	en kollega	Min kollega ringede til mig.
collect	samle	Jeg samler gamle kort.
column	en kolonne	Læs den første kolonne.
comedy	en komedie	Denne komedie er sjov.
comfortable	komfortabel; behagelig	Stolen er behagelig.
comment	en kommentar; kommentere	Efterlad en kommentar nedenfor.
communicate	kommunikere	Vi kommunikerer via e-mail.
community	et fællesskab; et samfund	Vores fællesskab er venligt.
compete	konkurrere	De konkurrerer hvert år.
competition	en konkurrence	Konkurrencen begynder i morgen.
complain	klage	Klag ikke igen.
completely	helt; fuldstændigt	Jeg er helt enig med dig.
condition	en tilstand; en betingelse	Bilen er i god stand.
conference	en konference	Konferencen begynder klokken ni.
connect	forbinde; tilslutte	Tilslut telefonen til computeren.
connected	forbundet; tilsluttet	De to ideer er forbundet.
consider	overveje	Overvej venligst min idé.
contain	indeholde	Kassen indeholder bøger.
context	en kontekst; en sammenhæng	Sammenhængen hjælper forståelsen.
continent	et kontinent	Kontinentet er meget stort.
continue	fortsætte	Fortsæt med at læse, tak.
control	kontrol; kontrollere	Kontroller farten omhyggeligt.
cooker	et komfur	Komfuret er rent.
copy	en kopi; kopiere	Lav en kopi til mig.
corner	et hjørne	Sæt dig i hjørnet.
correctly	rigtigt; korrekt	Skriv svaret korrekt.
count	tælle; et antal	Tæl bøgerne.
couple	et par	Parret kom tidligt.
cover	dække; et omslag	Dæk skålen til.
crazy	skør; gal	Denne idé lyder skør.
creative	kreativ	Hun har en kreativ idé.
credit	kredit; ros	Jeg betalte med kreditkort.
crime	en forbrydelse; kriminalitet	Kriminalitet er et alvorligt problem.
criminal	en forbryder; kriminel	Forbryderen gik hurtigt.
cross	krydse; et kors	Kryds gaden forsigtigt.
crowd	en menneskemængde	Menneskemængden ventede udenfor.
crowded	fyldt; overfyldt	Toget var overfyldt.
cry	græde	Græd ikke nu.
cupboard	et skab	Kopperne står i skabet.
curly	krøllet	Hun har krøllet hår.
cycle	cykle; en cyklus	Jeg cykler til skole.
daily	daglig; dagligt	Jeg læser nyhederne dagligt.
danger	en fare	Skiltet viser fare.
data	data; oplysninger	Disse oplysninger er nyttige.
dead	død	Planten er død.
deal	en aftale; et tilbud	Dette er et godt tilbud.
death	død	Døden er et svært emne.
decision	en beslutning; en afgørelse	Tag en beslutning i dag.
deep	dyb	Vandet er dybt.
definitely	bestemt; helt sikkert	Jeg vil helt sikkert have te.
degree	en grad; en eksamen	Min eksamen er i historie.
dentist	en tandlæge	Tandlægen tjekkede mine tænder.
department	en afdeling	Skoafdelingen ligger ovenpå.
depend	afhænge	Det afhænger af vejret.
desert	en ørken; forlade	Ørkenen er meget tør.
designer	en designer; en formgiver	Designeren lavede denne kjole.
destroy	ødelægge	Ødelæg ikke filen.
detective	en detektiv	Detektiven fandt nøglen.
develop	udvikle	De udvikler en ny app.
device	en enhed; et apparat	Denne enhed er nyttig.
diary	en dagbog	Hun skriver i sin dagbog.
differently	anderledes	Vi gør det anderledes.
digital	digital	Dette er et digitalt kamera.
direct	direkte	Tag det direkte tog.
direction	en retning	Gå i denne retning.
director	en instruktør; en direktør	Instruktøren kunne lide filmen.
disagree	være uenig	Jeg er uenig i ideen.
disappear	forsvinde	Solen forsvinder snart.
disaster	en katastrofe	Stormen var en katastrofe.
discover	opdage	De opdagede en ny ø.
discovery	en opdagelse	Opdagelsen ændrede videnskaben.
discussion	en diskussion	Diskussionen sluttede tidligt.
disease	en sygdom	Sygdommen er alvorlig.
distance	en afstand	Afstanden er kort.
divorced	skilt	Hendes forældre er skilt.
document	et dokument	Gem dokumentet nu.
double	dobbelt; to gange	Jeg har brug for et dobbeltværelse.
download	downloade; en download	Download appen i dag.
drama	et drama; dramatik	Dramaet begyndte sent.
drawing	en tegning	Tegningen hænger på væggen.
dream	en drøm; drømme	Jeg havde en mærkelig drøm.
driving	bilkørsel	Bilkørsel i regn er svært.
drop	tabe; en dråbe	Tab ikke glasset.
drug	et lægemiddel; et rusmiddel	Dette lægemiddel hjælper mig.
dry	tør; tørre	Tør din jakke.
earn	tjene	Hun tjener penge på sit arbejde.
earth	jorden	Jorden er rund.
easily	let	Jeg kan gøre dette let.
education	uddannelse; undervisning	Uddannelse er vigtig.
effect	en effekt	Effekten var lille.
either	enten; heller ikke	Jeg vil heller ikke det.
electric	elektrisk	Dette er en elbil.
electrical	elektrisk	Det elektriske kabel er sikkert.
electricity	el; elektricitet	El er dyrt her.
electronic	elektronisk	Jeg købte en elektronisk billet.
employ	ansætte	Firmaet ansætter mange mennesker.
employee	en medarbejder	Medarbejderen er væk i dag.
employer	en arbejdsgiver	Arbejdsgiveren tilbød et job.
empty	tom	Flasken er tom.
ending	en slutning	Slutningen på historien er fin.
energy	energi	Jeg har lidt energi i dag.
engine	en motor	Motoren larmer meget.
engineer	en ingeniør	Ingeniøren kontrollerede broen.
enormous	enorm	Bygningen er enorm.
enter	gå ind; indtaste	Indtast dit navn.
environment	miljø; omgivelser	Beskyt miljøet.
equipment	udstyr	Udstyret er nyt.
error	en fejl	Der er en fejl i sætningen.
especially	især; specielt	Jeg kan især lide te.
essay	et essay; en stil	Skriv et kort essay.
everyday	hverdagslig; daglig	Dette er hverdagsligt sprog.
everywhere	overalt	Der lå bøger overalt.
evidence	bevis	Beviset er tydeligt.
exact	præcis; nøjagtig	Giv det præcise svar.
exactly	præcis	Det er helt præcist.
excellent	fremragende	Dit arbejde er fremragende.
except	undtagen	Alle kom undtagen Tom.
exist	findes	Findes der gamle kort her?
expect	forvente	Jeg forventer et brev i morgen.
experience	en erfaring; opleve	Denne erfaring var nyttig.
experiment	et eksperiment	Eksperimentet begyndte klokken ti.
expert	en ekspert; sagkyndig	Eksperten gav råd.
explanation	en forklaring	Forklaringen var tydelig.
express	udtrykke; ekspres	Hun kan udtrykke sin mening.
expression	et udtryk	Han brugte et nyt udtryk.
extreme	ekstrem	Ekstremt vejr kan være farligt.
extremely	ekstremt; meget	Det var ekstremt koldt.
factor	en faktor	Tid er en vigtig faktor.
factory	en fabrik	Fabrikken ligger uden for byen.
fail	mislykkes; dumpe	Jeg vil ikke dumpe prøven.
fair	retfærdig; rimelig	Prisen er rimelig.
fan	en fan; en ventilator	Fansen jublede højt.
farming	landbrug	Landbrug er vigtigt her.
fashion	mode	Hun følger moden.
fear	en frygt; frygte	Hans største frygt er at flyve.
feature	en funktion; et kendetegn	Appen har en ny funktion.
feed	fodre	Giv katten mad nu.
female	kvindelig; en hun	Den kvindelige atlet vandt.
fiction	skønlitteratur; fiktion	Jeg kan lide at læse skønlitteratur.
field	et felt; en mark	Børnene leger på marken.
fight	en kamp; slås	De to drenge sloges.
figure	en figur; et tal	Skriv tallet her.
finally	endelig; til sidst	Endelig er vi færdige.
finger	en finger	Min finger gør ondt.
firstly	for det første	For det første har vi brug for vand.
fishing	fiskeri	Fiskeri er populært her.
fit	passe; være i form	Jakken passer godt.
fix	reparere; ordne	Reparer cyklen i dag.
flu	influenza	Hun har influenza.
flying	flyvning; flyvende	At flyve gør ham nervøs.
focus	fokus; fokusere	Fokuser på dette spørgsmål.
following	følgende; næste	Læs den følgende sætning.
foreign	udenlandsk; fremmed	Jeg lærer et fremmed sprog.
forest	en skov	Skoven er mørk.
fork	en gaffel	Læg gaflen på bordet.
formal	formel	Skriv et formelt brev.
fortunately	heldigvis	Heldigvis kom bussen hurtigt.
forward	fremad; frem	Gå lidt fremad.
fresh	frisk; fersk	Brødet er frisk.
