source_headword	LV	example_LV
descend	nolaisties	Taka sāka strauji nolaisties.
descent	nolaišanās	Lidmašīna sāka nolaišanos.
designate	noteikt	Pilsēta noteiks jaunu parku.
desirable	vēlams	Klasēs ir vēlams labs apgaismojums.
desktop	darbvirsma	Fails atrodas manā darbvirsmā.
destructive	iznīcinošs	Vētrai bija iznīcinošs spēks.
detain	aizturēt	Policija var aizturēt aizdomās turamos pa nakti.
detection	atklāšana	Agrīna atklāšana uzlabo vēža ārstēšanu.
detention	aizturēšana	Studenti protestēja pret aizturēšanas apstākļiem.
deteriorate	pasliktināties	Viņa veselība sāka pasliktināties.
devastate	izpostīt	Zemestrīce var izpostīt piekrastes pilsētas.
devil	velns	Bērns uzzīmēja smaidīgu velnu.
devise	izstrādāt	Inženieri izstrādā drošākas transporta sistēmas.
diagnose	diagnosticēt	Ārsti diagnosticē slimību ar asins analīzēm.
diagnosis	diagnoze	Diagnoze izskaidroja viņas simptomus.
dictate	noteikt	Līgums noteiks maksājuma noteikumus.
dictator	diktators	Diktators kontrolēja medijus.
differentiate	atšķirt	Vai jūs varat atšķirt faktu no viedokļa?
dignity	cieņa	Ikvienam ir pelnījis cieņu darbā.
dilemma	dilemma	Vadītājs saskārās ar nopietnu dilemmu.
dimension	dimensija	Problēmai ir politiska dimensija.
diminish	mazināties	Sāpēm vajadzētu lēnām mazināties.
dip	pazemināties	Temperatūra var pazemināties zem nulles.
diplomat	diplomāts	Diplomāts tikās ar ārvalstu līderiem.
diplomatic	diplomātisks	Diplomātiskās sarunas turpinājās pa nakti.
directory	katalogs	Meklējiet viņa numuru katalogā.
disastrous	katastrofāls	Katastrofālie plūdi iznīcināja vairākus tiltus.
discard	izmest	Neizmetiet noderīgus ierakstus.
discharge	izrakstīt	Slimnīca viņu rīt izrakstīs.
disclose	atklāt	Amatpersonas atteicās izpaust skaitļus.
disclosure	izpaušana	Informācijas izpaušana šokēja valdi.
discourse	diskurss	Publiskais diskurss kļuva pieklājīgāks.
discretion	rīcības brīvība	Izmantojiet savus ieskatus jutīgos gadījumos.
discrimination	diskriminācija	Likums aizliedz diskrimināciju darbā pieņemšanā.
dismissal	atlaišana	Viņa atlaišana izraisīja sabiedrības dusmas.
displace	pārvietot	Karš var pārvietot tūkstošus.
disposal	utilizācija	Atkritumu utilizācija joprojām ir vietēja problēma.
dispose	atbrīvoties	Uzņēmumam ir droši jāatbrīvojas no ķimikālijām.
dispute	strīds	Strīds ilga vairākus mēnešus.
disrupt	traucēt	Troksnis var traucēt koncentrēšanos.
disruption	traucējumi	Streiks radīja būtiskus traucējumus.
dissolve	izšķīst	Cukurs izšķīdīs karstā tējā.
distinction	atšķirība	Atšķirība starp tiem ir svarīga.
distinctive	raksturīgs	Viņai ir raksturīga balss.
distort	izkropļot	Spogulis var izkropļot jūsu atspulgu.
distress	ciešanas	Zvans izraisīja nopietnas ciešanas.
disturbing	satraucošs	Dokumentālā filma parādīja satraucošas ainas.
divert	novirzīt	Policijai nācās novirzīt satiksmi.
divine	dievišķs	Kapelā ir dievišķa atmosfēra.
doctrine	doktrīna	Partija noraidīja veco doktrīnu.
documentation	dokumentācija	Pabeidziet dokumentāciju pirms palaišanas.
domain	domēns	Tīmekļa vietne izmanto drošu domēnu.
dominance	dominance	Komandas dominance ilga desmitgadi.
donor	donors	Donors šodien nodeva asinis.
dose	deva	Lietojiet vienu devu pēc brokastīm.
drain	notecēt	Ūdens notecēs upē.
drift	plūst	Dūmi sāka plūst pāri ceļam.
driving	vadošais	Lietus bija vadošais kavēšanās faktors.
drown	noslīcināt	Nekad nepeldiet tur, kur straumes jūs var noslīcināt.
dual	dubults	Ierīcei ir dubulta funkcija.
dub	dēvēt	Kritiķi pilsētu dēvē par kultūras galvaspilsētu.
dumb	stulbs	Tā bija stulba kļūda.
duo	duets	Komēdijas duets devās tūrē pa Eiropu.
eager	dedzīgs	Studenti bija dedzīgi sākt.
earnings	ieņēmumi	Uzņēmuma ieņēmumi strauji pieauga.
ease	atvieglot	Jaunais ceļš atvieglos satiksmi.
echo	atbalsoties	Viņas balss atbalsojās zālē.
ecological	ekoloģisks	Ekoloģiskā ietekme joprojām ir neskaidra.
educator	pedagogs	Pedagogs izstrādāja jaunu kursu.
effectiveness	efektivitāte	Pētījumā mērīja vakcīnas efektivitāti.
efficiency	efektivitāte	Labāka programmatūra uzlaboja efektivitāti.
ego	ego	Viņa ego radīja problēmas darbā.
elaborate	detalizēts	Detalizētais kostīms prasīja nedēļas.
electoral	vēlēšanu	Vēlēšanu sistēma pagājušajā gadā mainījās.
elevate	paaugstināt	Balva paaugstinās viņas atpazīstamību.
eligible	tiesīgs	Tikai iedzīvotāji ir tiesīgi saņemt atlaides.
elite	elite	Elite trenējās privātā akadēmijā.
embark	doties	Viņi dosies garā ceļojumā.
embarrassment	apmulsums	Viņš smējās, lai noslēptu savu apmulsumu.
embassy	vēstniecība	Vēstniecība izdeva jaunus ceļojumu ieteikumus.
embed	piesaistīt	Žurnālists tiks piesaistīts vienībai.
embody	iemiesot	Šķiet, ka statuja iemieso drosmi.
emergence	parādīšanās	Telefonu parādīšanās izmainīja ikdienas dzīvi.
empirical	empīrisks	Pētījums balstās uz empīriskiem pierādījumiem.
empower	dot iespēju	Izglītība var dot iespējas vietējām kopienām.
enact	pieņemt	Parlaments balsoja par reformas pieņemšanu.
encompass	aptvert	Kurss aptvers mūsdienu vēsturi.
encouragement	iedrošinājums	Viņas iedrošinājums palīdzēja viņam turpināt.
encouraging	iedrošinošs	Sākotnējie rezultāti izskatās iedrošinoši.
endeavour	centieni	Glābšana bija grūti centieni.
endless	bezgalīgs	Tuksnesis šķita bezgalīgs.
endorse	atbalstīt	Arodbiedrība atteicās atbalstīt kandidātu.
endorsement	atbalsts	Viņa atbalsts veicināja viņas kampaņu.
endure	izturēt	Augi var izturēt bargas ziemas.
enforce	nodrošināt	Policija nodrošina ātruma ierobežojuma ievērošanu.
enforcement	kontrole	Stingrāka kontrole samazināja nelegālo atkritumu izmešanu.
engagement	iesaiste	Studentu iesaiste šajā semestrī uzlabojās.
engaging	saistošs	Runātājs sniedza saistošu runu.
enquire	apvaicāties	Lūdzu, apvaicājieties reģistratūrā.
enrich	bagātināt	Ceļošana var bagātināt jūsu izpratni.
enrol	reģistrēties	Studentiem jāreģistrējas pirms septembra.
ensue	izcelties	Pēc paziņojuma var izcelties haoss.
enterprise	uzņēmums	Uzņēmums nodarbina vietējos māksliniekus.
enthusiast	entuziasts	Katrs riteņbraukšanas entuziasts zina šo maršrutu.
entitle	dot tiesības	Biļete dos jums tiesības ieiet.
entity	vienība	Uzņēmums ir atsevišķa juridiska persona.
epidemic	epidēmija	Epidēmija izplatījās vairākos reģionos.
equality	vienlīdzība	Kustība cīnījās par vienlīdzību.
equation	vienādojums	Vienādojums satur divus nezināmos.
erect	uzcelt	Strādnieki uzcels jaunu žogu.
escalate	saasināties	Konflikts varētu ātri saasināties.
essence	būtība	Dzejolis notver bērnības būtību.
establishment	iestāde	Valdošās aprindas iebilda pret reformu.
eternal	mūžīgs	Viņi apsolīja mūžīgu draudzību.
evacuate	evakuēt	Ugunsdzēsēji palīdzēja iedzīvotājiem droši evakuēties.
evoke	izraisīt	Dziesma var izraisīt spēcīgas atmiņas.
evolutionary	evolucionārs	Fosilija parāda evolucionāras pārmaiņas.
exaggerate	pārspīlēt	Nepārspīlējiet savu pieredzi.
excellence	izcilība	Skola apbalvo akadēmisko izcilību.
exceptional	izcils	Viņa parādīja izcilas prasmes.
excess	lieks	Liekais ūdens applūdināja pagrabu.
exclusion	atstumtība	Sociālā atstumtība kaitē jauniešiem.
exclusive	ekskluzīvs	Klubs piedāvā ekskluzīvu piekļuvi.
exclusively	tikai	Šo telpu izmanto tikai personāls.
execute	izpildīt	Komanda rūpīgi izpildīs plānu.
execution	izpilde	Stratēģijas izpilde prasīja mēnešus.
exert	pielietot	Jums jāizdara lielāks spiediens.
exile	trimda	Rakstnieks dzīvoja trimdā.
expenditure	izdevumi	Valsts izdevumi pagājušajā gadā pieauga.
experimental	eksperimentāls	Ārstēšana joprojām ir eksperimentāla.
expire	beigties	Manai pasei drīz beigsies derīguma termiņš.
explicit	skaidrs	Instrukcijas bija skaidras.
explicitly	skaidri	Noteikumi skaidri aizliedz smēķēt.
exploitation	ekspluatācija	Ziņojums atklāja darbinieku ekspluatāciju.
explosive	sprādzienbīstams	Sprādzienbīstamā ierīce tika droši noņemta.
extremist	ekstrēmists	Ekstrēmistu grupa zaudēja atbalstu.
facilitate	atvieglot	Lietotne atvieglos attālināto mācīšanos.
faction	frakcija	Viena frakcija iebilda pret līderi.
faculty	fakultāte	Fakultāte apstiprināja priekšlikumu.
fade	izbalēt	Krāsa saules gaismā izbalēs.
fairness	godīgums	Godīgums ir svarīgs katrās sacensībās.
fatal	letāls	Negadījums izraisīja letālus ievainojumus.
fate	liktenis	Neviens nezināja viņa likteni.
favourable	labvēlīgs	Atsauksme bija labvēlīga.
feat	sasniegums	Kāpšana šajā virsotnē bija sasniegums.
feminist	feministu	Feministu kustība izmainīja sabiedriskās debates.
fibre	šķiedrviela	Šī maize satur papildu šķiedrvielas.
fierce	stiprs	Stiprā vētra sabojāja jumtus.
film-maker	filmu veidotājs	Filmu veidotājs pēc tam atbildēja uz jautājumiem.
filter	filtrs	Filtrs noņem putekļus no gaisa.
fine	sods	Uzņēmums samaksāja sodu.
firearm	šaujamierocis	Virsnieks atguva nozagtu šaujamieroci.
fit	atbilstība	Jaunie apavi der lieliski.
fixture	patstāvīgs elements	Lampa ir patstāvīgs elements.
flaw	trūkums	Dizainam ir viens nopietns trūkums.
flawed	kļūdains	Kļūdainais pētījums sniedza nepatiesus rezultātus.
flee	bēgt	Ģimenēm nācās bēgt no kaujām.
fleet	flote	Aviokompānija atjaunoja savu floti.
flesh	miesa	Ērkšķis iedūrās viņa miesā.
flexibility	elastība	Attālināts darbs piedāvā lielāku elastību.
flourish	plaukt	Mazie uzņēmumi šeit var plaukt.
fluid	šķidrums	Pēc treniņa dzeriet daudz šķidruma.
footage	videomateriāls	Videomateriālā bija redzama avārija.
foreigner	ārzemnieks	Veidlapā jautāts, vai esat ārzemnieks.
forge	veidot	Viņi centās veidot jaunu aliansi.
formula	formula	Formula atrisināja problēmu.
formulate	formulēt	Zinātnieki formulē jaunu teoriju.
forth	uz priekšu	Upe nesa laivu uz priekšu.
forthcoming	gaidāmais	Gaidāmais ziņojums visu izskaidros.
foster	veicināt	Programma palīdz veicināt neatkarību.
fragile	trausls	Ar trauslo vāzi jārīkojas uzmanīgi.
franchise	franšīze	Restorāns kļuva par globālu franšīzi.
frankly	atklāti sakot	Atklāti sakot, mums vajag vairāk laika.
frustrated	neapmierināts	Strādnieki jutās neapmierināti ar kavēšanos.
frustrating	nomācošs	Lēnais savienojums bija nomācošs.
frustration	neapmierinātība	Sanāksmes laikā pieauga neapmierinātība.
functional	funkcionāls	Vecā virtuve joprojām ir funkcionāla.
fundraising	līdzekļu vākšana	Līdzekļu vākšana sākas nākamnedēļ.
funeral	bēres	Bēres notika piektdien.
gallon	galons	Tvertnē ietilpst viens galons.
gambling	azartspēles	Azartspēles ir ierobežotas ar likumu.
gathering	pulcēšanās	Pulcēšanās beidzās mierīgi.
gaze	skatiens	Viņa īsi noturēja viņa skatienu.
gear	aprīkojums	Pirms kāpšanas sakravājiet drošības aprīkojumu.
generic	vispārīgs	Vispārīgā versija maksā mazāk.
genocide	genocīds	Genocīds atstāja dziļu nacionālo traumu.
glance	skatiens	Viņš ātri uzmeta skatienu.
glimpse	ieskats	Es guvu īsu ieskatu jūrā.
glorious	slavens	Komanda izbaudīja slavenu uzvaru.
glory	slava	Viņa sapņoja par olimpisko slavu.
governance	pārvaldība	Labai pārvaldībai ir nepieciešama pārredzamība.
grace	labvēlība	Viņa pieņēma sakāvi ar labvēlību.
grasp	izprast	Viņš nespēja izprast jēdzienu.
grave (for dead person)	kaps	Kaps bija noklāts ar ziediem.
grave (serious)	nopietns	Situācija joprojām ir nopietna.
gravity	gravitācija	Gravitācija velk objektus pret Zemi.
grid	režģis	Kartē izmantots vienkāršs režģis.
grief	bēdas	Bēdas izmainīja visu viņa ģimeni.
grin	smīns	Zēns plaši pasmaidīja.
grind	malt	Strādnieki katru rītu maļ pupiņas.
grip	satvēriens	Saglabājiet stingru satvērienu ap virvi.
gross	bruto	Bruto ienākumi strauji pieauga.
guerrilla	partizāns	Partizānu cīnītāji slēpās kalnos.
guidance	norādījumi	Gids sniedz praktiskus norādījumus.
guilt	vaina	Pēc melošanas viņa juta vainas apziņu.
gut	instinkts	Uzticieties savam instinktam grūtās izvēlēs.
hail	slavēt	Ciematnieki slavē ārstu kā varoni.
halfway	pusceļā	Mēs apstājāmies pusceļā kalnā.
halt	apstāšanās	Vilciens pēkšņi apstājās.
handful	sauja	Sauja brīvprātīgo palika ilgāk.
handling	rīkošanās	Pareiza rīkošanās novērš bojājumus.
handy	parocīgs	Šis rīks ir parocīgs remontam.
harassment	uzmākšanās	Uzņēmums izmeklēja sūdzības par uzmākšanos.
hardware	aparatūra	Veikals pārdod datoru aparatūru.
harmony	harmonija	Koris dziedāja perfektā harmonijā.
harsh	skarbs	Tiesnesis piesprieda skarbu sodu.
harvest	raža	Ražas novākšana sākas septembrī.
haunt	vajāt	Atmiņa turpināja viņu vajāt.
hazard	apdraudējums	Ledus ir nopietns apdraudējums uz ceļa.
heighten	paaugstināt	Runas var paaugstināt spriedzi.
heritage	mantojums	Pils ir daļa no vietējā mantojuma.
hierarchy	hierarhija	Biroja hierarhija ir skaidri noteikta.
high-profile	ievērojams	Ievērojamais tiesas process piesaistīja žurnālistus.
hint	mājiens	Viņa man deva noderīgu mājienu.
homeland	dzimtene	Viņš atgriezās savā dzimtenē.
hopeful	cerīgs	Ārsti ir cerīgi par atveseļošanos.
horizon	apvārsnis	Saule pazuda aiz apvāršņa.
horn	taure	Automašīnas taure pamodināja visus.
hostage	ķīlnieks	Ķīlnieks atgriezās mājās.
hostile	naidīgs	Pūlis kļuva naidīgs.
hostility	naidīgums	Atklāts naidīgums izbeidza sarunas.
humanitarian	humāns	Humānā misija piegādāja pārtiku.
humanity	cilvēce	Cilvēce saskaras ar kopīgiem izaicinājumiem.
humble	pazemīgs	Pēc panākumiem viņa palika pazemīga.
hydrogen	ūdeņradis	Ūdeņradis ļoti viegli deg.
identification	identifikācija	Pie ieejas ir nepieciešama identifikācija.
ideological	ideoloģisks	Strīdam bija ideoloģiskas saknes.
ideology	ideoloģija	Viņa ideoloģija veidoja katru runu.
idiot	idiots	Nesauciet nevienu par idiotu.
ignorance	nezināšana	Nezināšana var izplatīt bailes.
imagery	tēlainība	Dzejolis izmanto spilgtu tēlainību.
immense	milzīgs	Projekts prasīja milzīgas pūles.
imminent	nenovēršams	Vētra šķita nenovēršama.
implementation	īstenošana	Likuma īstenošana bija lēna.
imprison	ieslodzīt	Režīms mēģināja ieslodzīt kritiķus.
imprisonment	ieslodzījums	Viņa ieslodzījums ilga piecus gadus.
inability	nespēja	Viņas nespēja koncentrēties uztrauca skolotājus.
inadequate	neadekvāts	Patversmē bija neadekvāta apkure.
inappropriate	nepiemērots	Viņa joks bija nepiemērots.
incidence	biežums	Gripas biežums palielinājās.
inclined	sliecas	Viņa sliecas piekrist.
inclusion	iekļaušana	Skola veicina iekļaušanu.
