source_headword	KA	example_KA
weather	ამინდი	ამინდი ცივია.
website	ვებსაიტი	ეს ვებსაიტი სასარგებლოა.
Wednesday	ოთხშაბათი	გაკვეთილი ოთხშაბათს იწყება.
week	კვირა	ეს კვირა დატვირთულია.
weekend	შაბათ-კვირა	შაბათ-კვირა ხვალ იწყება.
welcome	კეთილი იყოს თქვენი მობრძანება; დახვედრა	ჩვენს კლასში კეთილი იყოს თქვენი მობრძანება.
well	კარგად	ის კარგად მღერის.
west	დასავლეთი	მზე დასავლეთში ჩადის.
what	რა	ეს რა არის?
when	როდის	როდის სწავლობთ?
where	სად	სადგური სად არის?
which	რომელი	რომელი ჩანთაა თქვენი?
white	თეთრი	კედელი თეთრია.
who	ვინ	ეს ვინ არის?
why	რატომ	რატომ დააგვიანეთ?
wife	ცოლი; მეუღლე	მისი ცოლი მასწავლებელია.
will modal	მომავალი დროის დამხმარე სიტყვა	მე დაგეხმარებით.
win	გამარჯვება	ჩვენს გუნდს გამარჯვება შეუძლია.
window	ფანჯარა	ფანჯარა გააღეთ.
wine	ღვინო	ეს ღვინო წითელია.
winter	ზამთარი	აქ ზამთარი ცივია.
with	თან; ერთად	ჩემთან ერთად მოდით.
without	გარეშე	ჩაი შაქრის გარეშე კარგია.
woman	ქალი	ქალი წიგნს კითხულობს.
wonderful	მშვენიერი; შესანიშნავი	ხედები მშვენიერია.
word	სიტყვა	ერთი სიტყვა დაწერეთ.
work	მუშაობა; სამუშაო	სახლში ვმუშაობ.
worker	მუშაკი; თანამშრომელი	თანამშრომელი დაკავებულია.
world	მსოფლიო	მსოფლიო დიდია.
would modal	თავაზიანი ფორმა; ვისურვებდი	ჩაის ვისურვებდი.
write	წერა	თქვენი სახელი დაწერეთ.
writer	მწერალი	მწერალი აქ ცხოვრობს.
writing	წერა; ხელწერა	მისი ხელწერა ნათელია.
wrong	არასწორი	ეს პასუხი არასწორია.
yeah	ჰო; დიახ	დიახ, შემიძლია მოვიდე.
year	წელი	ეს წელი კარგია.
yellow	ყვითელი	ბანანი ყვითელია.
yes	დიახ	დიახ, გავიგე.
yesterday	გუშინ	გუშინ დავრეკე.
you	შენ; თქვენ	შენ ჩემი მეგობარი ხარ.
young	ახალგაზრდა; პატარა	ბავშვი პატარაა.
your	შენი; თქვენი	შენი ჩანთა აქ არის.
yourself	თავად; თვითონ	ჩაი თავად აიღეთ.
