source_headword	KO	example_KO
corridor	복도	복도는 좁고 조용했습니다.
counter (long flat surface)	카운터	열쇠는 주방 카운터에 있습니다.
coverage	보도	뉴스 보도가 저녁 내내 이어졌습니다.
crack	금	벽에 금이 생겼습니다.
craft	공예	그녀는 수공예품을 온라인에서 팝니다.
creativity	창의성	창의력은 문제를 해결하는 데 도움이 됩니다.
critically	비판적으로	그 기사는 매우 중요했습니다.
cruise	크루즈	그들은 그리스행 크루즈를 예약했습니다.
cue	신호	배우가 신호를 놓쳤습니다.
curious	호기심이 많은	아이는 우주에 대해 호기심이 많았습니다.
curriculum	교육과정	학교는 교육과정을 업데이트했습니다.
cute	귀여운	강아지는 귀여웠습니다.
dairy	유제품	그 농장은 유제품을 생산합니다.
dare	감히 ~하다	한 번 해볼 테면 해봐.
darkness	어둠	방이 어둠으로 가득 찼습니다.
database	데이터베이스	데이터베이스에 고객 기록이 저장됩니다.
deadline	마감일	마감일은 금요일입니다.
deadly	치명적인	그 뱀은 치명적인 독을 가지고 있습니다.
dealer	딜러	자동차 딜러가 할인을 제공했습니다.
deck	갑판	의자들은 데크 위에 있습니다.
defender	방어자	수비수가 슛을 막았습니다.
delete	삭제하다	이전 메시지를 삭제하세요.
democracy	민주주의	민주주의는 자유 선거에 의존합니다.
democratic	민주적인	투표는 민주적인 규칙을 따랐습니다.
demonstration	시위	학생들은 시위에 참여했습니다.
depart	출발하다	기차는 정오에 출발할 것입니다.
dependent	의존적인	아이는 어른에게 의존합니다.
deposit	보증금	그녀는 아파트 보증금을 지불했습니다.
depression	우울증	우울증은 전문가의 도움이 필요합니다.
derive	얻다	많은 단어들이 라틴어에서 유래합니다.
desperately	필사적으로	그는 물이 몹시 필요했습니다.
destruction	파괴	폭풍이 광범위한 파괴를 일으켰습니다.
determination	결단력	그녀의 결단력은 코치에게 깊은 인상을 남겼습니다.
devote	바치다	그녀는 주말을 공부에 바칩니다.
differ	다르다	그들의 의견은 크게 다릅니다.
disability	장애	건물에는 장애인 접근 시설이 있습니다.
disabled	장애가 있는	장애인 선수가 메달을 땄습니다.
disagreement	의견 충돌	회의는 의견 불일치로 끝났습니다.
disappoint	실망시키다	결과가 팬들을 실망시킬 수 있습니다.
disappointment	실망	그는 깊은 실망감을 느꼈습니다.
discourage	낙담시키다	어린 학습자들을 낙담시키지 마세요.
disorder	장애	의사는 수면 장애를 진단했습니다.
distant	먼	산들이 멀리 떨어져 보였습니다.
distinct	뚜렷한	그 두 소리는 뚜렷하게 다릅니다.
distinguish	구별하다	이 색깔들을 구별할 수 있나요?
distract	주의를 딴 데로 돌리다	소음은 학생들을 산만하게 할 수 있습니다.
disturb	방해하다	환자를 방해하지 마세요.
dive	다이빙	그들은 암초 근처에서 잠수할 것입니다.
diverse	다양한	도시는 다양한 문화를 가지고 있습니다.
diversity	다양성	우리는 문화적 다양성을 기념합니다.
divorce	이혼	이혼은 모두에게 힘들었습니다.
dominant	지배적인	지배적인 팀이 경기를 통제했습니다.
donation	기부	자선 단체가 기부금을 받았습니다.
dot	점	숫자 뒤에 점을 찍으세요.
downtown	시내	우리는 퇴근 후 시내에서 만났습니다.
dramatically	극적으로	가격이 극적으로 떨어졌습니다.
drought	가뭄	가뭄이 농작물에 피해를 주었습니다.
dull	지루한	강의는 지루했습니다.
dump	버리다	여기에 쓰레기를 버리지 마세요.
duration	지속 기간	비행시간은 3시간입니다.
dynamic	역동적인	교실은 역동적이었습니다.
economics	경제학	그녀는 대학에서 경제학을 공부합니다.
economist	경제학자	경제학자는 더 느린 성장을 예측했습니다.
editorial	편집의	그 사설은 법을 비판했습니다.
efficiently	효율적으로	팀은 효율적으로 일했습니다.
elbow	팔꿈치	그는 팔꿈치를 다쳤다.
electronics	전자 제품	그 상점은 전자 제품을 판다.
elegant	우아한	그 드레스는 우아해 보였다.
elementary	초보적인	그 책은 초보적인 문법을 설명한다.
eliminate	제거하다	그 팀은 여러 오류를 제거했다.
embrace	받아들이다	그녀는 새로운 아이디어를 받아들였다.
emission	배출물	자동차 배기가스 배출량이 감소했다.
emotionally	감정적으로	그는 가족에 대해 감정적으로 말했다.
empire	제국	그 제국은 수 세기 동안 지속되었다.
enjoyable	즐거운	그 여행은 즐거웠다.
entertaining	재미있는	그 쇼는 재미있었다.
entrepreneur	기업가	그 기업가는 카페를 열었다.
envelope	봉투	편지를 봉투에 넣으세요.
equip	갖추다	학교는 실험실에 장비를 갖출 것이다.
equivalent	동등한 것	여기서는 1달러의 가치가 동등하지 않다.
era	시대	그 발견은 새로운 시대를 열었다.
erupt	분출하다	그 화산은 곧 폭발할지도 모른다.
essentially	본질적으로	그 두 가지 방법은 본질적으로 동일하다.
ethic	윤리	그의 직업 윤리는 투철하다.
ethnic	민족의	그 축제는 민족 전통을 기념한다.
evaluation	평가	그 과정에는 최종 평가가 포함된다.
evident	명백한	그가 긴장한 것은 분명했다.
evolution	진화	진화는 많은 생물학적 변화를 설명한다.
evolve	발전하다	언어는 시간이 지남에 따라 진화한다.
exceed	초과하다	수요가 공급을 초과할 수 있다.
exception	예외	한 가지 예외가 있다.
excessive	과도한	과도한 소음은 이웃을 방해한다.
exclude	제외하다	그 목록은 임시직 노동자를 제외한다.
exhibit	전시품	박물관은 희귀한 사진들을 전시할 것이다.
exit	출구	출구는 무대 뒤에 있다.
exotic	이국적인	그 상점은 이국적인 과일을 판다.
expansion	확장	그 회사는 확장을 계획했다.
expertise	전문 지식	그녀의 전문 지식이 프로젝트를 향상시켰다.
exploit	이용하다	범죄자들은 약한 비밀번호를 악용한다.
exposure	노출	햇빛에 대한 노출은 피부를 손상시킬 수 있다.
extension	연장	마감일 연장은 모두에게 도움이 되었다.
extensive	광범위한	그 도서관은 광범위한 자료를 보유하고 있다.
extensively	광범위하게	그 주제는 광범위하게 연구되었다.
extract	발췌	바닐라 추출물은 향을 더해준다.
fabric	직물	그 직물은 부드럽게 느껴진다.
fabulous	멋진	그 식사는 아주 멋졌다.
failed	실패한	실패한 시도는 우리에게 무언가를 가르쳐주었다.
fake	가짜의	그 웹사이트는 가짜 표를 팔았다.
fame	명성	명성은 그의 사생활을 변화시켰다.
fantasy	환상	그 소설은 판타지이다.
fare	요금	버스 요금이 올랐다.
federal	연방의	연방 정부가 자금 지원을 발표했다.
fever	열	그 아이는 열이 난다.
firefighter	소방관	소방관이 그 개를 구조했다.
firework	불꽃놀이	공원 위에서 폭죽이 터졌다.
firm	단호한	그 매트리스는 단단하다.
firmly	단호하게	그녀는 문을 단호하게 닫았다.
flavour	맛	그 수프는 풍부한 맛이 난다.
fond	좋아하는	그는 재즈를 좋아한다.
fool	바보	바보처럼 행동하지 마라.
forbid	금지하다	법은 이곳에서 흡연을 금지한다.
forecast	예측	예보에서는 비를 예측한다.
format	형식	올바른 파일 형식을 사용하세요.
formation	형성	구름의 형성은 빠르게 변한다.
formerly	이전에	그 건물은 이전에 학교였다.
fortunate	운이 좋은	우리는 운 좋게 일찍 도착했다.
forum	포럼	그 포럼은 기후 정책을 논의했다.
fossil	화석	그 화석은 돌 안에서 발견되었다.
foundation	기초	그 집은 기초가 튼튼하다.
founder	설립자	설립자가 손님들을 맞이했다.
fraction	일부	학생들의 일부만 왔다.
fragment	조각	유리 조각이 바닥에 놓여 있었다.
framework	틀	그 법은 명확한 틀을 만든다.
fraud	사기	은행이 사기를 적발했다.
freely	자유롭게	아이들은 밖에서 자유롭게 놀았다.
frequent	빈번한	잦은 휴식은 집중력을 향상시킨다.
fulfil	완수하다	나는 내 약속을 이행하기를 바란다.
full-time	풀타임의	그녀는 전임 일자리를 가지고 있다.
fundamentally	근본적으로	그 계획은 근본적으로 다르다.
furious	몹시 화난	그는 그 지연에 대해 몹시 화가 났다.
gaming	게임	게임은 반응 속도를 향상시킬 수 있다.
gay	동성애자의	그는 동성애자의 권리를 지지한다.
gender	성별	그 설문조사는 성별에 대해 물었다.
gene	유전자	그 유전자는 눈 색깔에 영향을 미친다.
genetic	유전적인	그 질병은 유전적인 원인을 가지고 있다.
genius	천재	그 젊은 피아니스트는 천재이다.
genuine	진짜의	그녀의 미소는 진실해 보였다.
genuinely	진실하게	그는 진심으로 돕고 싶어 했다.
gesture	제스처	그녀는 친근한 몸짓을 했다.
gig	공연	그 밴드는 시내에서 공연을 했다.
globalization	세계화	세계화는 지역 사업에 영향을 미친다.
globe	지구	지구본은 모든 대륙을 보여준다.
golden	금빛의	일몰이 황금빛으로 변했다.
goodness	선함	그녀는 인간의 선량함을 믿는다.
gorgeous	아주 멋진	그 정원은 아주 멋져 보였다.
governor	주지사	주지사가 그 법안에 서명했다.
graphic	생생한	생생한 이미지가 시청자들에게 충격을 주었다.
graphics	그래픽	그 게임은 단순한 그래픽을 가지고 있다.
greatly	크게	당신의 조언이 크게 도움이 되었습니다.
greenhouse	온실	토마토는 온실 안에서 자란다.
grocery	식료품점	그녀는 퇴근 후에 식료품을 샀다.
guideline	지침	이 지침은 안전한 관행을 설명한다.
habitat	서식지	그 숲은 새의 서식지이다.
harbour	항구	그 배가 항구에 들어왔다.
headquarters	본부	회사 본사가 시내로 이전했다.
