simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
读书	စာဖတ်သည်; ပညာသင်သည်	ကလေးက အခန်းထဲမှာ စာဖတ်နေတယ်။	អានសៀវភៅ; សិក្សា	កុមារអានសៀវភៅក្នុងបន្ទប់។	ອ່ານໜັງສື; ຮຽນ	ເດັກກຳລັງອ່ານປຶ້ມຢູ່ໃນຫ້ອງ.	पढ्नु; अध्ययन गर्नु	बच्चा कोठामा किताब पढ्दै छ।
饭	အစားအစာ; ထမင်း	အခု ကျွန်တော် ထမင်းစားနေတယ်။	អាហារ; បាយឆ្អិន	ខ្ញុំកំពុងញ៉ាំអាហារ។	ອາຫານ; ເຂົ້າສຸກ	ຂ້ອຍກຳລັງກິນເຂົ້າ.	भात; खाना	म अहिले खाना खाँदै छु।
饭店	စားသောက်ဆိုင်; ဟိုတယ်	ဒီစားသောက်ဆိုင်က အရမ်း နာမည်ကြီးတယ်။	ភោជនីយដ្ឋាន; សណ្ឋាគារ	ភោជនីយដ្ឋាននេះល្បីណាស់។	ຮ້ານອາຫານ; ໂຮງແຮມ	ຮ້ານອາຫານນີ້ມີຊື່ສຽງຫຼາຍ.	रेस्टुरेन्ट; होटल	यो रेस्टुरेन्ट धेरै प्रसिद्ध छ।
歌	သီချင်း	ဒီသီချင်းက နားထောင်လို့ ကောင်းတယ်။	ចម្រៀង	ចម្រៀងនេះស្តាប់ទៅពិរោះ។	ເພງ	ເພງນີ້ຟັງມ່ວນ.	गीत	यो गीत राम्रो सुनिन्छ।
国	နိုင်ငံ; ပြည်နယ်	တရုတ်နိုင်ငံက ကြီးမားတဲ့ နိုင်ငံပါ။	ប្រទេស; រដ្ឋ	ចិនជាប្រទេសធំ។	ປະເທດ; ລັດ	ຈີນເປັນປະເທດໃຫຍ່.	देश; राज्य	चीन ठूलो देश हो।
还	သေး; လည်း	ကျွန်တော် လက်ဖက်ရည် သောက်ချင်သေးတယ်။	នៅតែ; ក៏	ខ្ញុំនៅតែចង់ផឹកតែ។	ຍັງ; ກໍ	ຂ້ອຍຍັງຢາກດື່ມຊາ.	अझै; पनि	म अझै चिया पिउन चाहन्छु।
汉字	တရုတ်အက္ခရာ	ဒီတရုတ်အက္ခရာက မခက်ဘူး။	អក្សរចិន	អក្សរចិននេះមិនពិបាកទេ។	ຕົວອັກສອນຈີນ	ຕົວອັກສອນຈີນນີ້ບໍ່ຍາກ.	चिनियाँ अक्षर	यो चिनियाँ अक्षर गाह्रो छैन।
好看	လှသည်; ကြည့်ကောင်းသည်	ဒီဓာတ်ပုံက လှတယ်။	ស្អាត; មើលទៅល្អ	រូបថតនេះមើលទៅស្អាត។	ງາມ; ເບິ່ງດີ	ຮູບນີ້ເບິ່ງງາມ.	राम्रो देखिने; सुन्दर	यो फोटो राम्रो देखिन्छ।
好听	နားထောင်ကောင်းသည်	ဒီသီချင်းက နားထောင်လို့ ကောင်းတယ်။	ពិរោះ; ស្តាប់ទៅល្អ	ចម្រៀងនេះស្តាប់ទៅពិរោះ។	ຟັງມ່ວນ; ຟັງດີ	ເພງນີ້ຟັງມ່ວນ.	सुनिँदा राम्रो	यो गीत राम्रो सुनिन्छ।
好玩儿	ပျော်စရာကောင်းသည်	ဒီကစားနည်းက ပျော်စရာကောင်းတယ်။	សប្បាយ; គួរឱ្យលេង	ហ្គេមនេះសប្បាយ។	ມ່ວນ; ນ່າຫຼິ້ນ	ເກມນີ້ມ່ວນ.	रमाइलो	यो खेल रमाइलो छ।
后	နောက်; ပြီးနောက်	ကျောင်းနောက်မှာ ပန်းခြံရှိတယ်။	ខាងក្រោយ; បន្ទាប់	ខាងក្រោយសាលាមានសួនច្បារ។	ຂ້າງຫຼັງ; ຫຼັງຈາກ	ຂ້າງຫຼັງໂຮງຮຽນມີສວນ.	पछाडि; पछि	विद्यालयको पछाडि पार्क छ।
火车	ရထား	ရထားနဲ့ ပေကျင်းကို သွားမယ်။	រថភ្លើង	ខ្ញុំទៅប៉េកាំងដោយរថភ្លើង។	ລົດໄຟ	ຂ້ອຍໄປປັກກິ່ງໂດຍລົດໄຟ.	रेल	म रेलमा बेइजिङ जान्छु।
家人	မိသားစု; မိသားစုဝင်	ကျွန်တော့် မိသားစုအားလုံး ပေကျင်းမှာ ရှိတယ်။	គ្រួសារ; សមាជិកគ្រួសារ	គ្រួសារខ្ញុំទាំងអស់នៅប៉េកាំង។	ຄອບຄົວ; ສະມາຊິກຄອບຄົວ	ຄອບຄົວຂອງຂ້ອຍທັງໝົດຢູ່ປັກກິ່ງ.	परिवार; परिवारको सदस्य	मेरो सबै परिवार बेइजिङमा छ।
见	တွေ့သည်; မြင်သည်	မနက်ဖြန် ဆရာနဲ့ တွေ့မယ်။	ឃើញ; ជួប	ស្អែកខ្ញុំនឹងជួបគ្រូ។	ເຫັນ; ພົບ	ມື້ອື່ນຂ້ອຍຈະພົບຄູ.	देख्नु; भेट्नु	भोलि म शिक्षकलाई भेट्छु।
今年	ဒီနှစ်	ဒီနှစ်မှာ တရုတ်စာ သင်နေတယ်။	ឆ្នាំនេះ	ឆ្នាំនេះខ្ញុំរៀនភាសាចិន។	ປີນີ້	ປີນີ້ຂ້ອຍຮຽນພາສາຈີນ.	यस वर्ष	यस वर्ष म चिनियाँ भाषा सिक्दै छु।
开车	ကားမောင်းသည်	အဖေက နေ့တိုင်း ကားနဲ့ အလုပ်သွားတယ်။	បើកឡាន	ឪពុកទៅធ្វើការដោយឡានរៀងរាល់ថ្ងៃ។	ຂັບລົດ	ພໍ່ຂັບລົດໄປເຮັດວຽກທຸກມື້.	गाडी चलाउनु	बुबा हरेक दिन गाडी चलाएर काममा जानुहुन्छ।
看病	ဆရာဝန်ဆီသွားသည်	မနက်ဖြန် ဆေးရုံကို ဆရာဝန်ပြဖို့ သွားမယ်။	ទៅជួបគ្រូពេទ្យ	ស្អែកខ្ញុំនឹងទៅមន្ទីរពេទ្យជួបគ្រូពេទ្យ។	ໄປຫາໝໍ	ມື້ອື່ນຂ້ອຍຈະໄປໂຮງໝໍຫາໝໍ.	डाक्टर देखाउनु	भोलि म अस्पतालमा डाक्टर देखाउन जान्छु।
没事	ဘာမှမဖြစ်; အဆင်ပြေ	အဆင်ပြေပါတယ်၊ မစိုးရိမ်နဲ့။	មិនអីទេ; សុខសប្បាយ	ខ្ញុំសុខសប្បាយ កុំបារម្ភ។	ບໍ່ເປັນຫຍັງ; ສະບາຍດີ	ຂ້ອຍສະບາຍດີ ຢ່າກັງວົນ.	केही छैन; ठीक हुनु	म ठीक छु, चिन्ता नगर।
没有	မရှိ; မပိုင်	ကျွန်တော့်မှာ ဖုန်းမရှိဘူး။	មិនមាន; គ្មាន	ខ្ញុំគ្មានទូរស័ព្ទទេ។	ບໍ່ມີ	ຂ້ອຍບໍ່ມີໂທລະສັບ.	छैन; नहुनु	मसँग फोन छैन।
们	လူများအတွက် အများကိန်းနောက်ဆက်	ဆရာတွေက ရုံးခန်းမှာ ရှိတယ်။	បច្ច័យពហុវចនៈសម្រាប់មនុស្ស	គ្រូៗនៅក្នុងការិយាល័យ។	ຄຳຕໍ່ທ້າຍພະຫູພົດສຳລັບຄົນ	ຄູທັງຫຼາຍຢູ່ຫ້ອງການ.	मानिसका लागि बहुवचन प्रत्यय	शिक्षकहरू कार्यालयमा छन्।
面条儿	ခေါက်ဆွဲ	နေ့လယ်မှာ ခေါက်ဆွဲစားတယ်။	មី	ថ្ងៃត្រង់ខ្ញុំញ៉ាំមី។	ເສັ້ນໝີ່	ຕອນທ່ຽງຂ້ອຍກິນເສັ້ນໝີ່.	चाउचाउ	दिउँसो म चाउचाउ खान्छु।
明年	နောက်နှစ်	နောက်နှစ် တရုတ်နိုင်ငံကို သွားမယ်။	ឆ្នាំក្រោយ	ឆ្នាំក្រោយខ្ញុំនឹងទៅប្រទេសចិន។	ປີໜ້າ	ປີໜ້າຂ້ອຍຈະໄປຈີນ.	अर्को वर्ष	अर्को वर्ष म चीन जान्छु।
哪个	ဘယ်ဟာ; ဘယ်တစ်ခု	မင်း ဘယ်ခွက်ကို ကြိုက်လဲ။	មួយណា; ណាមួយ	អ្នកចូលចិត្តពែងមួយណា?	ອັນໃດ; ອັນໃດໜຶ່ງ	ເຈົ້າມັກຈອກອັນໃດ?	कुन; कुन चाहिँ	तिमीलाई कुन कप मन पर्छ?
哪里	ဘယ်မှာ	မင်း ဘယ်မှာ နေသလဲ။	នៅឯណា	អ្នករស់នៅឯណា?	ຢູ່ໃສ	ເຈົ້າຢູ່ໃສ?	कहाँ	तिमी कहाँ बस्छौ?
哪儿	ဘယ်မှာ; ဘယ်ကို	မင်း ဘယ်ကို သွားနေလဲ။	នៅឯណា; ទៅណា	អ្នកទៅណា?	ຢູ່ໃສ; ໄປໃສ	ເຈົ້າໄປໃສ?	कहाँ; कता	तिमी कता जाँदै छौ?
哪些	ဘယ်ဟာတွေ	ဘယ်စာအုပ်တွေက မင်းဟာလဲ။	មួយណាខ្លះ	សៀវភៅណាខ្លះជារបស់អ្នក?	ອັນໃດແດ່	ປຶ້ມອັນໃດແດ່ແມ່ນຂອງເຈົ້າ?	कुन-कुन	कुन-कुन किताब तिम्रा हुन्?
那边	ဟိုဘက်; ဟိုနေရာ	ဆိုင်က ဟိုဘက်မှာ ရှိတယ်။	ខាងនោះ; ទីនោះ	ហាងនៅខាងនោះ។	ທາງນັ້ນ; ທີ່ນັ້ນ	ຮ້ານຢູ່ທາງນັ້ນ.	उता; त्यो छेउ	पसल उता छ।
那个	အဲဒီဟာ; ဟိုဟာ	အဲဒီကျောင်းသားက ကျွန်တော့်သူငယ်ချင်းပါ။	នោះ; អានោះ	សិស្សនោះជាមិត្តរបស់ខ្ញុំ។	ອັນນັ້ນ; ນັ້ນ	ນັກຮຽນຄົນນັ້ນແມ່ນໝູ່ຂອງຂ້ອຍ.	त्यो; त्यो चाहिँ	त्यो विद्यार्थी मेरो साथी हो।
那里	ဟိုမှာ; အဲဒီနေရာမှာ	ဆရာက ဟိုမှာ ရှိတယ်။	នៅទីនោះ	គ្រូនៅទីនោះ។	ຢູ່ທີ່ນັ້ນ	ຄູຢູ່ທີ່ນັ້ນ.	त्यहाँ	शिक्षक त्यहाँ हुनुहुन्छ।
那儿	ဟိုမှာ; အဲဒီနေရာမှာ	ကျွန်တော့်သူငယ်ချင်းက ဟိုမှာ ရှိတယ်။	នៅទីនោះ	មិត្តខ្ញុំនៅទីនោះ។	ຢູ່ທີ່ນັ້ນ	ໝູ່ຂອງຂ້ອຍຢູ່ທີ່ນັ້ນ.	त्यहाँ	मेरो साथी त्यहाँ छ।
那些	အဲဒီဟာတွေ; ဟိုဟာတွေ	အဲဒီပန်းသီးတွေက လတ်ဆတ်တယ်။	ទាំងនោះ	ផ្លែប៉ោមទាំងនោះស្រស់។	ພວກນັ້ນ	ໝາກແອັບເປິ້ນພວກນັ້ນສົດ.	ती; ती सबै	ती स्याउ ताजा छन्।
男	အမျိုးသား; ယောက်ျား	ဒီကလေးက ယောက်ျားလေးပါ။	ប្រុស; ភេទប្រុស	កុមារនេះជាក្មេងប្រុស។	ຊາຍ; ເພດຊາຍ	ເດັກຄົນນີ້ເປັນເດັກຊາຍ.	पुरुष; केटा	यो बच्चा केटा हो।
男朋友	ရည်းစားကောင်လေး	သူမရဲ့ ရည်းစားကောင်လေးက ကားမောင်းတတ်တယ်။	មិត្តប្រុស	មិត្តប្រុសរបស់នាងចេះបើកឡាន។	ແຟນຊາຍ	ແຟນຊາຍຂອງນາງຂັບລົດໄດ້.	प्रेमी; केटा साथी	उनको प्रेमी गाडी चलाउन जान्छ।
你好	မင်္ဂလာပါ	မင်္ဂလာပါ၊ ကျွန်တော့်နာမည် Xiao Li ပါ။	សួស្តី	សួស្តី ខ្ញុំឈ្មោះ Xiao Li។	ສະບາຍດີ	ສະບາຍດີ ຂ້ອຍຊື່ Xiao Li.	नमस्ते	नमस्ते, मेरो नाम Xiao Li हो।
你们	မင်းတို့; သင်တို့	ဒီနေ့ မင်းတို့မှာ အတန်းရှိလား။	អ្នកទាំងអស់គ្នា	ថ្ងៃនេះអ្នកទាំងអស់គ្នាមានថ្នាក់រៀនទេ?	ພວກເຈົ້າ	ມື້ນີ້ພວກເຈົ້າມີຫ້ອງຮຽນບໍ?	तिमीहरू; तपाईंहरू	आज तिमीहरूको कक्षा छ?
女	အမျိုးသမီး; မိန်းမ	သူက ဆရာဝန်မပါ။	ស្រី; ភេទស្រី	នាងជាគ្រូពេទ្យស្រី។	ຍິງ; ເພດຍິງ	ນາງເປັນໝໍຍິງ.	महिला; केटी	उनी महिला डाक्टर हुन्।
女朋友	ရည်းစားမိန်းကလေး	သူ့ရဲ့ ရည်းစားမိန်းကလေးက ဂီတကို ကြိုက်တယ်။	មិត្តស្រី	មិត្តស្រីរបស់គាត់ចូលចិត្តតន្ត្រី។	ແຟນສາວ	ແຟນສາວຂອງລາວມັກດົນຕີ.	प्रेमिका; केटी साथी	उनकी प्रेमिकालाई संगीत मन पर्छ।
前	ရှေ့; မတိုင်မီ	ကျောင်းရှေ့မှာ စာအုပ်ဆိုင် ရှိတယ်။	ខាងមុខ; មុន	ខាងមុខសាលាមានហាងសៀវភៅ។	ຂ້າງໜ້າ; ກ່ອນ	ຂ້າງໜ້າໂຮງຮຽນມີຮ້ານປຶ້ມ.	अगाडि; अघि	विद्यालयको अगाडि पुस्तक पसल छ।
请问	မေးပါရစေ; ခွင့်ပြုပါ	မေးပါရစေ၊ အိမ်သာ ဘယ်မှာလဲ။	សុំសួរ; សូមអភ័យទោស	សុំសួរ បង្គន់នៅឯណា?	ຂໍຖາມ; ຂໍໂທດ	ຂໍຖາມ ຫ້ອງນ້ຳຢູ່ໃສ?	माफ गर्नुहोस्, सोध्न सक्छु	माफ गर्नुहोस्, शौचालय कहाँ छ?
上课	အတန်းတက်သည်; အတန်းစသည်	ကျွန်တော်တို့ အတန်းက ရှစ်နာရီမှာ ရှိတယ်။	ចូលរៀន; ចាប់ផ្តើមថ្នាក់	យើងមានថ្នាក់នៅម៉ោងប្រាំបី។	ເຂົ້າຮຽນ; ເລີ່ມຫ້ອງຮຽນ	ພວກເຮົາມີຫ້ອງຮຽນເວລາແປດໂມງ.	कक्षा हुनु; कक्षा सुरु हुनु	हाम्रो कक्षा आठ बजे छ।
上学	ကျောင်းတက်သည်	ကလေးတွေက နေ့တိုင်း ကျောင်းတက်ကြတယ်။	ទៅសាលា	កុមារទៅសាលារៀងរាល់ថ្ងៃ។	ໄປໂຮງຮຽນ	ເດັກນ້ອຍໄປໂຮງຮຽນທຸກມື້.	विद्यालय जानु	बालबालिका हरेक दिन विद्यालय जान्छन्।
事	ကိစ္စ; အလုပ်	ဒီနေ့ လုပ်စရာကိစ္စ အများကြီး ရှိတယ်။	រឿង; កិច្ចការ	ថ្ងៃនេះខ្ញុំមានកិច្ចការច្រើនត្រូវធ្វើ។	ເລື່ອງ; ວຽກ	ມື້ນີ້ຂ້ອຍມີວຽກຫຼາຍຕ້ອງເຮັດ.	काम; कुरा	आज मलाई धेरै काम छ।
书店	စာအုပ်ဆိုင်	စာအုပ်ဆိုင်က ရုပ်ရှင်ရုံဘေးမှာ ရှိတယ်။	ហាងសៀវភៅ	ហាងសៀវភៅនៅក្បែររោងកុន។	ຮ້ານປຶ້ມ	ຮ້ານປຶ້ມຢູ່ຂ້າງໂຮງຮູບເງົາ.	पुस्तक पसल	पुस्तक पसल चलचित्र हलको छेउमा छ।
睡	အိပ်သည်	ကလေးက အိပ်ပြီးပြီ။	ដេក	កុមារដេករួចហើយ។	ນອນ	ເດັກນ້ອຍນອນແລ້ວ.	सुत्नु	बच्चा पहिले नै सुतेको छ।
说	ပြောသည်; ဆိုသည်	သူက တရုတ်စကား အရမ်းကောင်းကောင်း ပြောတတ်တယ်။	និយាយ; ប្រាប់	គាត់និយាយភាសាចិនបានល្អណាស់។	ເວົ້າ; ບອກ	ລາວເວົ້າພາສາຈີນໄດ້ດີຫຼາຍ.	बोल्नु; भन्नु	ऊ चिनियाँ भाषा धेरै राम्रो बोल्छ।
他们	သူတို့	သူတို့က စာသင်ခန်းထဲမှာ ရှိတယ်။	ពួកគេ	ពួកគេនៅក្នុងថ្នាក់រៀន។	ພວກເຂົາ	ພວກເຂົາຢູ່ໃນຫ້ອງຮຽນ.	उनीहरू	उनीहरू कक्षाकोठामा छन्।
它们	အရာဝတ္ထု သို့မဟုတ် တိရစ္ဆာန်များအတွက် သူတို့	ဒီကြောင်တွေက သေးတယ်၊ ချစ်စရာကောင်းတယ်။	ពួកវា សម្រាប់វត្ថុឬសត្វ	ឆ្មាទាំងនេះតូច ហើយគួរឱ្យស្រឡាញ់។	ພວກມັນ ສຳລັບສິ່ງຂອງຫຼືສັດ	ແມວເຫຼົ່ານີ້ນ້ອຍ ແລະນ່າຮັກ.	ती वस्तु वा जनावरका लागि	यी बिरालाहरू साना छन्; ती प्यारा छन्।
她们	အမျိုးသမီးများအတွက် သူတို့	သူတို့အားလုံး တက္ကသိုလ်ကျောင်းသူတွေပါ။	ពួកនាង	ពួកនាងទាំងអស់ជានិស្សិតសាកលវិទ្យាល័យ។	ພວກນາງ	ພວກນາງທັງໝົດເປັນນັກສຶກສາ.	उनीहरू महिला	उनीहरू सबै विश्वविद्यालय विद्यार्थी हुन्।
天	နေ့; မိုးကောင်းကင်	ဒီနေ့ တနင်္ဂနွေနေ့ပါ။	ថ្ងៃ; មេឃ	ថ្ងៃនេះជាថ្ងៃអាទិត្យ។	ມື້; ຟ້າ	ມື້ນີ້ແມ່ນວັນອາທິດ.	दिन; आकाश	आज आइतबार हो।
听见	ကြားသည်	မင်းဖုန်းသံကို ကြားလိုက်တယ်။	ឮ	ខ្ញុំឮទូរស័ព្ទរបស់អ្នក។	ໄດ້ຍິນ	ຂ້ອຍໄດ້ຍິນໂທລະສັບຂອງເຈົ້າ.	सुन्नु	मैले तिम्रो फोन सुनेँ।
外边	အပြင်	အပြင်မှာ မိုးရွာနေတယ်။	ខាងក្រៅ	ខាងក្រៅកំពុងភ្លៀង។	ຂ້າງນອກ	ຂ້າງນອກກຳລັງຝົນຕົກ.	बाहिर	बाहिर पानी परिरहेको छ।
晚	နောက်ကျ; ညနေ	အခု အရမ်းနောက်ကျနေပြီ။	យឺត; ល្ងាច	ឥឡូវយឺតណាស់ហើយ។	ຊ້າ; ຕອນແລງ	ດຽວນີ້ຊ້າຫຼາຍແລ້ວ.	ढिलो; साँझ	अहिले धेरै ढिलो भयो।
晚饭	ညစာ	ညစာမှာ ထမင်းစားချင်တယ်။	អាហារពេលល្ងាច	ពេលល្ងាចខ្ញុំចង់ញ៉ាំបាយ។	ອາຫານແລງ	ອາຫານແລງຂ້ອຍຢາກກິນເຂົ້າ.	बेलुकाको खाना	बेलुकाको खानामा म भात खान चाहन्छु।
午饭	နေ့လယ်စာ	နေ့လယ်စာမှာ ခေါက်ဆွဲစားကြတယ်။	អាហារថ្ងៃត្រង់	ថ្ងៃត្រង់យើងញ៉ាំមី។	ອາຫານທ່ຽງ	ອາຫານທ່ຽງພວກເຮົາກິນເສັ້ນໝີ່.	दिउँसोको खाना	दिउँसोको खानामा हामी चाउचाउ खान्छौँ।
下班	အလုပ်ဆင်းသည်	အမေက ငါးနာရီမှာ အလုပ်ဆင်းတယ်။	ចេញពីធ្វើការ	ម៉ាក់ចេញពីធ្វើការម៉ោងប្រាំ។	ເລີກວຽກ	ແມ່ເລີກວຽກເວລາຫ້າໂມງ.	कामबाट छुट्नु	आमा पाँच बजे कामबाट छुट्नुहुन्छ।
下课	အတန်းပြီးသည်; အတန်းပြီးနောက်	အတန်းပြီးနောက် စာအုပ်ဆိုင်ကို သွားတယ်။	ចប់ថ្នាក់; បន្ទាប់ពីថ្នាក់	បន្ទាប់ពីថ្នាក់ ខ្ញុំទៅហាងសៀវភៅ។	ເລີກຮຽນ; ຫຼັງຮຽນ	ຫຼັງເລີກຮຽນ ຂ້ອຍໄປຮ້ານປຶ້ມ.	कक्षा सकिनु; कक्षापछि	कक्षापछि म पुस्तक पसल जान्छु।
小朋友	ကလေး	ကလေးတွေက ပန်းခြံမှာ ကစားနေကြတယ်။	កុមារ	កុមារលេងនៅសួនច្បារ។	ເດັກນ້ອຍ	ເດັກນ້ອຍຫຼິ້ນຢູ່ສວນ.	बालक; सानो बच्चा	बालबालिका पार्कमा खेल्छन्।
小学	မူလတန်းကျောင်း	ညီမလေးက မူလတန်းကျောင်း တက်တယ်။	សាលាបឋម	ប្អូនស្រីខ្ញុំរៀននៅសាលាបឋម។	ໂຮງຮຽນປະຖົມ	ນ້ອງສາວຂອງຂ້ອຍໄປໂຮງຮຽນປະຖົມ.	प्राथमिक विद्यालय	मेरी बहिनी प्राथमिक विद्यालय जान्छे।
小学生	မူလတန်းကျောင်းသား	သူက မူလတန်းကျောင်းသားပါ။	សិស្សបឋម	គាត់ជាសិស្សបឋម។	ນັກຮຽນປະຖົມ	ລາວເປັນນັກຮຽນປະຖົມ.	प्राथमिक विद्यार्थी	ऊ प्राथमिक विद्यालयको विद्यार्थी हो।
星期日	တနင်္ဂနွေနေ့	တနင်္ဂနွေနေ့မှာ အတန်းမရှိဘူး။	ថ្ងៃអាទិត្យ	ថ្ងៃអាទិត្យខ្ញុំគ្មានថ្នាក់រៀនទេ។	ວັນອາທິດ	ວັນອາທິດຂ້ອຍບໍ່ມີຫ້ອງຮຽນ.	आइतबार	आइतबार मेरो कक्षा छैन।
星期天	တနင်္ဂနွေနေ့	တနင်္ဂနွေနေ့မှာ ရုပ်ရှင်သွားကြည့်တယ်။	ថ្ងៃអាទិត្យ	ថ្ងៃអាទិត្យខ្ញុំទៅមើលកុន។	ວັນອາທິດ	ວັນອາທິດຂ້ອຍໄປເບິ່ງໜັງ.	आइतबार	आइतबार म चलचित्र हेर्न जान्छु।
学	သင်ယူသည်; ပညာသင်သည်	ကျွန်တော် တရုတ်စာ သင်နေတယ်။	រៀន; សិក្សា	ខ្ញុំកំពុងរៀនភាសាចិន។	ຮຽນ; ສຶກສາ	ຂ້ອຍກຳລັງຮຽນພາສາຈີນ.	सिक्नु; पढ्नु	म चिनियाँ भाषा सिक्दै छु।
一半	တစ်ဝက်	ထမင်း တစ်ဝက် စားပြီးပြီ။	ពាក់កណ្តាល	ខ្ញុំញ៉ាំបាយពាក់កណ្តាលហើយ។	ເຄິ່ງໜຶ່ງ	ຂ້ອຍກິນເຂົ້າໄປເຄິ່ງໜຶ່ງ.	आधा	मैले भातको आधा खाएँ।
一下	ခဏ; တစ်ကြိမ်	ကျေးဇူးပြုပြီး ခဏစောင့်ပါ။	បន្តិច; ម្តង	សូមរង់ចាំបន្តិច។	ສັກຄູ່; ໜຶ່ງເທື່ອ	ກະລຸນາລໍຖ້າສັກຄູ່.	एकछिन; एक पटक	कृपया एकछिन पर्ख।
一点儿	နည်းနည်း	ကျွန်တော် နည်းနည်း ပင်ပန်းနေတယ်။	បន្តិច	ខ្ញុំនឿយបន្តិច។	ໜ້ອຍໜຶ່ງ	ຂ້ອຍເມື່ອຍໜ້ອຍໜຶ່ງ.	अलिकति	म अलिकति थाकेको छु।
