source_headword	VI	example_VI
info	thông tin	Trang web liệt kê các thông tin hữu ích.
infrastructure	cơ sở hạ tầng	Cơn bão đã làm hỏng cơ sở hạ tầng địa phương.
inhabitant	cư dân	Mỗi cư dân nhận được nước sạch.
inherit	thừa kế	Cô ấy sẽ thừa kế ngôi nhà của gia đình.
ink	mực	Máy in cần mực đen.
innovation	sự đổi mới	Sự đổi mới thúc đẩy ngành công nghiệp tiến lên.
innovative	mang tính đổi mới	Công ty đã ra mắt một sản phẩm mang tính đổi mới.
input	ý kiến	Người quản lý đã xin ý kiến.
insert	đút vào	Hãy đút thẻ vào máy.
inspector	thanh tra	Thanh tra đã kiểm tra tòa nhà.
installation	việc lắp đặt	Việc lắp đặt mất hai giờ.
instant	ngay lập tức	Ứng dụng đã gửi một hồi âm ngay lập tức.
instantly	ngay lập tức	Màn hình đã bật sáng ngay lập tức.
integrate	tích hợp	Phần mềm có thể tích hợp các công cụ mới.
intellectual	trí tuệ	Cuộc tranh luận mang tính trí tuệ nhưng thân thiện.
interact	tương tác	Các học sinh tương tác trong giờ làm việc nhóm.
interaction	sự tương tác	Sự tương tác rất lịch sự.
interpretation	sự diễn giải	Sự diễn giải của cô ấy về bài thơ rất độc đáo.
interval	khoảng thời gian	Có một khoảng thời gian ngắn giữa các màn.
invade	xâm lược	Quân đội đã cố xâm lược hòn đảo.
invasion	cuộc xâm lược	Cuộc xâm lược đã phá hủy nhiều thị trấn.
investor	nhà đầu tư	Nhà đầu tư đã tài trợ cho một công ty khởi nghiệp mới.
isolate	cách ly	Bác sĩ cách ly những bệnh nhân bị nhiễm trùng nặng.
isolated	bị cô lập	Ngôi làng bị cô lập bởi tuyết.
jail	nhà tù	Tên trộm đã phải vào nhà tù.
jet	máy bay phản lực	Máy bay phản lực hạ cánh lúc giữa trưa.
joint	chung	Họ đã công bố một dự án chung.
journalism	nghề báo	Nghề báo yêu cầu sự thật chính xác.
jury	bồi thẩm đoàn	Bồi thẩm đoàn đã đưa ra quyết định.
kit	bộ dụng cụ	Bộ dụng cụ sửa chữa bao gồm ốc vít.
ladder	cái thang	Cái thang tựa vào tường.
landing	sự hạ cánh	Máy bay đã có một sự hạ cánh êm ái.
lane	làn đường	Hãy đi ở làn đường bên phải.
lately	gần đây	Gần đây tôi ngủ không ngon.
leaflet	tờ rơi	Tờ rơi giải thích về dịch vụ.
legend	truyền thuyết	Truyền thuyết kể về một thành phố ẩn giấu.
lens	ống kính	Hãy lau cẩn thận ống kính máy ảnh.
lifetime	cả đời	Ông ấy đã tiết kiệm tiền cả đời.
lighting	ánh sáng	Ánh sáng tốt giúp căn phòng đẹp hơn.
likewise	tương tự	Cô ấy mỉm cười; anh ấy cũng làm tương tự.
limitation	hạn chế	Kế hoạch có một hạn chế.
literally	theo đúng nghĩa đen	Cô ấy theo đúng nghĩa đen đã chạy tới xe buýt.
literary	văn học	Lễ hội tôn vinh các tác phẩm văn học.
litre	lít	Hãy mua một lít sữa.
litter	rác	Đừng vứt rác.
logo	biểu trưng	Biểu trưng xuất hiện trên mỗi trang.
lottery	xổ số	Anh ấy đã trúng một giải xổ số nhỏ.
loyal	trung thành	Chú chó rất trung thành với chủ của mình.
lyric	lời bài hát	Lời bài hát lặp lại ý chính.
magnificent	lộng lẫy	Cung điện trông thật lộng lẫy.
make-up	trang điểm	Cô ấy trang điểm nhẹ nhàng.
making	quá trình làm	Quá trình làm bộ phim gặp nhiều khó khăn.
manufacture	sản xuất	Nhà máy sẽ sản xuất điện thoại.
manufacturing	ngành sản xuất	Việc làm ngành sản xuất ở địa phương đã tăng.
marathon	marathon	Cô ấy đã hoàn thành cuộc đua marathon.
margin	lề	Hãy viết các ghi chú bên lề.
marker	bút dạ	Hãy dùng một chiếc bút dạ cho nhãn dán.
martial	võ thuật	Anh ấy học võ thuật.
mate	bạn bè	Người bạn học cũ của tôi đã gọi hôm qua.
mayor	thị trưởng	Thị trưởng đã mở cửa thư viện.
mechanic	thợ cơ khí	Thợ cơ khí đã sửa xe buýt.
mechanical	thuộc cơ khí	Chiếc đồng hồ có một lỗi thuộc cơ khí.
mechanism	cơ chế	Cơ chế khóa rất đơn giản.
medal	huy chương	Cô ấy đã giành được một huy chương vàng.
medication	thuốc	Hãy uống thuốc với nước.
membership	tư cách thành viên	Phí tư cách thành viên phòng gym rẻ hơn nếu mua trên mạng.
memorable	đáng nhớ	Chuyến đi thật đáng nhớ.
metaphor	phép ẩn dụ	Bài thơ sử dụng một phép ẩn dụ mạnh mẽ.
miner	thợ mỏ	Thợ mỏ làm việc dưới lòng đất.
miserable	khốn khổ	Cơn mưa làm chuyến dã ngoại trở nên khốn khổ.
mode	chế độ	Hãy chuyển máy ảnh sang chế độ ban đêm.
modest	khiêm tốn	Họ sống trong một ngôi nhà khiêm tốn.
monster	quái vật	Câu chuyện có một con quái vật đáng sợ.
monthly	hàng tháng	Chúng tôi trả tiền thuê hàng tháng.
monument	đài kỷ niệm	Đài kỷ niệm nằm gần bờ sông.
moreover	hơn nữa	Hơn nữa, kế hoạch này giúp tiết kiệm tiền.
mortgage	khoản vay thế chấp	Họ đã xin một khoản vay thế chấp.
mosque	nhà thờ Hồi giáo	Nhà thờ Hồi giáo nằm gần chợ.
motion	chuyển động	Cảm biến phát hiện chuyển động.
motivate	thúc đẩy	Lời khen có thể thúc đẩy học sinh.
motivation	động lực	Động lực của cô ấy vẫn rất mạnh mẽ.
moving	cảm động	Bài phát biểu thật cảm động.
myth	thần thoại	Thần thoại giải thích tên của ngọn núi.
naked	khỏa thân	Em bé khỏa thân sau khi tắm.
nasty	tệ hại	Vết cắt trông thật tệ hại.
navigation	điều hướng	Ứng dụng cải thiện khả năng điều hướng.
nearby	gần đó	Một quán cà phê gần đó mở cửa sớm.
necessity	nhu yếu phẩm	Nước sạch là một nhu yếu phẩm.
negotiate	thương lượng	Họ thương lượng hợp đồng vào ngày mai.
negotiation	cuộc thương lượng	Cuộc thương lượng kéo dài cả buổi sáng.
neutral	trung lập	Vị thẩm phán giữ thái độ trung lập.
newly	mới	Cánh cửa mới được sơn trông rất sáng.
norm	chuẩn mực	Làm việc từ xa đã trở thành một chuẩn mực.
notebook	quyển vở	Hãy viết ghi chú vào quyển vở của bạn.
novelist	tiểu thuyết gia	Tiểu thuyết gia đã ký vào cuốn sách của cô.
nowadays	ngày nay	Ngày nay, nhiều người làm việc trực tuyến.
nursing	điều dưỡng	Cô ấy đang học ngành điều dưỡng.
nutrition	dinh dưỡng	Dinh dưỡng tốt hỗ trợ sức khỏe.
obesity	bệnh béo phì	Bệnh béo phì làm tăng rủi ro về sức khỏe.
observer	người quan sát	Người quan sát đã ghi lại các kết quả.
obstacle	chướng ngại vật	Cây đổ là một chướng ngại vật.
occupation	nghề nghiệp	Vui lòng viết nghề nghiệp của bạn vào đây.
occupy	chiếm	Gia đình sẽ chiếm căn hộ này.
offender	người phạm tội	Người phạm tội đã xin lỗi tại tòa.
ongoing	đang diễn ra	Cuộc điều tra đang diễn ra.
openly	cởi mở	Cô ấy đã nói chuyện cởi mở về nỗi sợ của mình.
opera	nhạc kịch	Chúng tôi đã xem một vở nhạc kịch ở Milan.
operator	người trực tổng đài	Người trực tổng đài đã kết nối cuộc gọi.
optimistic	lạc quan	Cô ấy cảm thấy lạc quan về tương lai.
orchestra	dàn nhạc	Dàn nhạc chơi nhạc nhẹ nhàng.
organic	hữu cơ	Họ đã mua các loại rau hữu cơ.
outfit	trang phục	Trang phục của cô ấy phù hợp với dịp lễ.
output	sản lượng	Sản lượng của máy móc đã tăng.
outstanding	xuất sắc	Màn trình diễn của anh ấy thật xuất sắc.
overcome	vượt qua	Họ vượt qua các vấn đề cùng nhau.
overnight	qua đêm	Gói hàng đã đến nơi qua đêm.
overseas	ở nước ngoài	Anh ấy đã tìm được việc ở nước ngoài.
ownership	quyền sở hữu	Quyền sở hữu mảnh đất đã thay đổi.
oxygen	khí oxy	Thực vật tạo ra khí oxy.
packet	gói	Hãy mở gói cẩn thận.
palm	lòng bàn tay	Hãy cầm đồng xu trong lòng bàn tay.
panic	sự hoảng loạn	Sự hoảng loạn lan rộng qua đám đông.
parade	cuộc diễu hành	Cuộc diễu hành bắt đầu lúc giữa trưa.
parallel	song song	Các con đường chạy song song.
participation	sự tham gia	Sự tham gia trong lớp đã cải thiện.
partnership	quan hệ đối tác	Quan hệ đối tác đã giúp cả hai công ty.
part-time	bán thời gian	Cô ấy đã tìm được một công việc bán thời gian.
passionate	đam mê	Anh ấy đam mê âm nhạc.
password	mật khẩu	Hãy chọn một mật khẩu mạnh.
patience	sự kiên nhẫn	Việc dạy trẻ nhỏ cần có sự kiên nhẫn.
pause	tạm dừng	Hãy tạm dừng video ngay bây giờ.
peer	bạn đồng trang lứa	Áp lực từ bạn đồng trang lứa đã ảnh hưởng đến lựa chọn của anh ấy.
penalty	hình phạt	Cầu thủ đã nhận một hình phạt.
perceive	nhận thức	Mọi người nhận thức rủi ro theo những cách khác nhau.
perception	sự nhận thức	Sự nhận thức của anh ấy về sự nguy hiểm đã thay đổi.
permanently	vĩnh viễn	Cửa hàng đã đóng cửa vĩnh viễn.
pill	viên thuốc	Hãy uống một viên thuốc sau bữa sáng.
pity	điều đáng tiếc	Đó là một điều đáng tiếc.
placement	vị trí	Vị trí của ghế sofa rất quan trọng.
portion	phần ăn	Hãy dọn một phần ăn nhỏ cơm.
potentially	có tiềm năng	Thay đổi này có tiềm năng hữu ích.
precede	đi trước	Mây đen thường đi trước cơn mưa.
precious	quý giá	Chiếc nhẫn rất quý giá.
precise	chính xác	Các hướng dẫn rất chính xác.
precisely	chính xác	Hãy đo khoảng cách một cách chính xác.
predictable	có thể đoán trước	Kết thúc có thể đoán trước.
preference	sự ưa thích	Cô ấy bày tỏ sự ưa thích với trà.
pride	niềm tự hào	Anh ấy cảm thấy niềm tự hào sau khi hoàn thành.
primarily	chủ yếu	Khóa học chủ yếu diễn ra trực tuyến.
principal	hiệu trưởng	Hiệu trưởng chào đón các học sinh mới.
prior	trước	Chúng tôi cần sự phê duyệt trước.
probability	xác suất	Xác suất có mưa là rất cao.
probable	có thể xảy ra	Mưa có thể xảy ra vào tối nay.
proceed	đi tiếp	Vui lòng đi tiếp sang phòng tiếp theo.
programming	lập trình	Việc lập trình cần có sự thực hành.
progressive	tiến bộ	Chính sách đó rất tiến bộ vào thời điểm đó.
prohibit	cấm	Các quy định cấm hút thuốc.
promising	đầy hứa hẹn	Kết quả trông đầy hứa hẹn.
promotion	sự thăng chức	Cô ấy đã có được sự thăng chức ở chỗ làm.
prompt	nhanh chóng	Sự phản hồi nhanh chóng đã tiết kiệm thời gian.
proportion	tỷ lệ	Một tỷ lệ lớn đã bỏ phiếu tán thành.
protein	chất đạm	Các loại đậu chứa chất đạm.
protester	người biểu tình	Người biểu tình cầm một tấm biển.
psychological	tâm lý	Tai nạn đã gây ra căng thẳng tâm lý.
publicity	sự chú ý của dư luận	Sự kiện đã nhận được sự chú ý của dư luận.
publishing	xuất bản	Cô ấy làm việc trong ngành xuất bản.
punk	punk	Nhạc punk trở nên phổ biến ở đó.
purely	hoàn toàn	Lựa chọn này hoàn toàn thực tế.
pursuit	sự theo đuổi	Anh ấy tiếp tục sự theo đuổi công lý của mình.
puzzle	câu đố	Câu đố mất một giờ đồng hồ.
questionnaire	bảng câu hỏi	Vui lòng hoàn thành bảng câu hỏi.
racial	thuộc chủng tộc	Báo cáo đã thảo luận về bất bình đẳng thuộc chủng tộc.
racism	phân biệt chủng tộc	Phân biệt chủng tộc gây hại cho cộng đồng.
racist	phân biệt chủng tộc	Bình luận đó mang tính phân biệt chủng tộc.
radiation	bức xạ	Bức xạ có thể làm hỏng các tế bào.
rail	tay vịn	Hãy bám vào tay vịn trên cầu thang.
random	ngẫu nhiên	Máy tính đã chọn một con số ngẫu nhiên.
rat	con chuột	Một con chuột chạy sau các thùng rác.
rating	đánh giá	Khách sạn có mức đánh giá cao.
reasonably	tương đối	Căn phòng tương đối sạch sẽ.
rebuild	xây lại	Họ sẽ xây lại cây cầu.
receiver	người bắt bóng (hoặc người nhận)	Người bắt bóng đã bắt được quả bóng.
recession	suy thoái kinh tế	Suy thoái kinh tế đã làm giảm mức chi tiêu.
reckon	cho rằng	Tôi cho rằng chuyến tàu đã đến muộn.
recognition	sự công nhận	Cô ấy đã nhận được sự công nhận cho công việc của mình.
recovery	sự phục hồi	Sự phục hồi kéo dài vài tuần.
recruit	tuyển dụng	Công ty sẽ tuyển dụng các kỹ sư.
recruitment	việc tuyển dụng	Việc tuyển dụng bắt đầu vào thứ Hai tới.
referee	trọng tài	Trọng tài đã dừng trận đấu.
refugee	người tị nạn	Người tị nạn đã tìm thấy một ngôi nhà an toàn.
registration	sự đăng ký	Sự đăng ký sẽ đóng vào thứ Sáu.
regulate	quy định	Luật pháp sẽ quy định lượng khí thải.
reinforce	gia cố	Các dầm bổ sung gia cố cho mái nhà.
relieve	làm dịu	Thuốc có thể làm dịu cơn đau.
relieved	nhẹ nhõm	Cô ấy cảm thấy nhẹ nhõm sau cuộc gọi.
remarkable	đáng chú ý	Quá trình phục hồi thật đáng chú ý.
remarkably	một cách đáng ngạc nhiên	Anh ấy hồi phục nhanh một cách đáng ngạc nhiên.
reporting	việc báo cáo	Việc báo cáo chính xác là rất quan trọng.
resign	từ chức	Quản lý sẽ từ chức vào ngày mai.
resolution	độ phân giải	Màn hình có độ phân giải cao.
restore	phục hồi	Các công nhân phục hồi bức tranh cũ.
restrict	hạn chế	Các quy định hạn chế việc đỗ xe.
restriction	sự hạn chế	Sự hạn chế sẽ kết thúc vào ngày mai.
retail	bán lẻ	Doanh số bán lẻ đã tăng.
retirement	sự nghỉ hưu	Cô ấy đã lên kế hoạch cẩn thận cho sự nghỉ hưu của mình.
revenue	doanh thu	Doanh thu bán vé đã thanh toán cho việc sửa chữa.
revision	việc ôn tập	Việc ôn tập rất có ích trước kỳ thi.
ridiculous	nực cười	Giá cả thật nực cười.
risky	mạo hiểm	Kế hoạch này có vẻ mạo hiểm.
rival	đối thủ	Đối thủ của chúng ta đã mở một cửa hàng mới.
rob	cướp	Những người đàn ông đã cố cướp ngân hàng.
robbery	vụ cướp	Vụ cướp xảy ra vào ban đêm.
rocket	tên lửa	Tên lửa đã được phóng thành công.
romance	sự lãng mạn	Cuốn tiểu thuyết chứa đựng sự lãng mạn.
rose	hoa hồng	Một bông hoa hồng đỏ mọc bên hàng rào.
roughly	khoảng chừng	Khoảng chừng hai mươi người đã tham dự.
ruin	phá hỏng	Cơn mưa có thể phá hỏng chuyến dã ngoại.
satisfaction	sự hài lòng	Sự hài lòng của khách hàng đã cải thiện.
scandal	vụ bê bối	Vụ bê bối đã hủy hoại sự nghiệp của anh ấy.
scare	sự sợ hãi	Tiếng ồn lớn đã mang lại cho tôi một sự sợ hãi.
scenario	kịch bản	Kịch bản tồi tệ nhất khó có thể xảy ra.
scholar	học giả	Học giả đã nghiên cứu các văn bản cổ.
scholarship	học bổng	Cô ấy đã giành được một học bổng.
scratch	vết xước	Con mèo để lại một vết xước.
screening	việc tầm soát	Bệnh viện cung cấp việc tầm soát ung thư.
seeker	người tìm kiếm	Người tìm kiếm việc làm đã gửi đơn xin việc.
seminar	hội thảo	Hội thảo bắt đầu lúc chín giờ.
settler	người định cư	Người định cư đã xây một trang trại nhỏ.
severely	nghiêm trọng	Cơn bão đã làm hỏng đường sá nghiêm trọng.
sexy	gợi cảm	Chiếc váy được coi là gợi cảm.
shocking	gây sốc	Tin tức thật gây sốc.
shore	bờ biển	Chúng tôi đã đi bộ dọc theo bờ biển.
shortage	sự thiếu hụt	Thành phố phải đối mặt với một sự thiếu hụt nước.
shortly	ngay	Xe buýt đến ngay sau giữa trưa.
short-term	ngắn hạn	Kế hoạch có các lợi ích ngắn hạn.
sibling	anh chị em	Mỗi anh chị em đã nhận được một món quà.
signature	chữ ký	Vui lòng thêm chữ ký của bạn.
significance	tầm quan trọng	Khám phá này có tầm quan trọng lớn.
skilled	lành nghề	Các công nhân lành nghề đã sửa mái nhà.
slogan	khẩu hiệu	Chiến dịch sử dụng một khẩu hiệu đơn giản.
so-called	được gọi là	Chuyên gia được gọi là đó đã mắc sai lầm.
somehow	bằng cách nào đó	Bằng cách nào đó, những chiếc chìa khóa đã biến mất.
sometime	một lúc nào đó	Hãy đến thăm chúng tôi một lúc nào đó vào tuần tới.
sophisticated	tinh vi	Phần mềm rất tinh vi.
spare	dự phòng	Chúng tôi giữ một chiếc chìa khóa dự phòng.
specialize	chuyên	Các bác sĩ chuyên về các lĩnh vực khác nhau.
specify	chỉ rõ	Vui lòng chỉ rõ thời gian đến của bạn.
spectacular	ngoạn mục	Pháo hoa thật ngoạn mục.
spectator	khán giả	Mỗi khán giả nhận được một chương trình.
speculate	suy đoán	Các chuyên gia suy đoán về nguyên nhân.
speculation	sự suy đoán	Bài báo đã khuyến khích sự suy đoán.
spice	gia vị	Hãy thêm từng loại gia vị một.
spill	làm đổ	Đừng làm đổ nước trái cây.
spite	bất chấp	Anh ấy đã thành công bất chấp những vấn đề.
spoil	làm hỏng	Quá nhiều muối có thể làm hỏng súp.
spokesman	người phát ngôn	Người phát ngôn đã trả lời các câu hỏi.
spokesperson	người phát ngôn	Người phát ngôn đã đọc một tuyên bố.
spokeswoman	nữ phát ngôn viên	Nữ phát ngôn viên đã phát biểu trước báo giới.
sponsorship	sự tài trợ	Đội bóng cần sự tài trợ.
sporting	thể thao	Thành phố tổ chức các sự kiện thể thao.
stall	quầy hàng	Quầy hàng ở chợ bán trái cây.
stance	lập trường	Vị bộ trưởng đã thay đổi lập trường của mình.
starve	chết đói	Không có thức ăn, động vật có thể chết đói.
steadily	đều đặn	Công ty đã phát triển đều đặn.
steam	hơi nước	Hơi nước bốc lên từ súp.
stimulate	kích thích	Màu sắc tươi sáng có thể kích thích sự hứng thú.
