source_headword	NE	example_NE
upgrade	अपग्रेड गर्नु	हामीले हिजो राति सफ्टवेयर अपग्रेड गर्‍यौं।
uphold	कायम राख्नु	हामी मूल निर्णयलाई कायम राख्छौं।
utility	उपयोगिता	अपार्टमेन्टमा सबै उपयोगिता लागतहरू समावेश छन्।
utilize	उपयोग गर्नु	टोलीले उपलब्ध डाटाको उपयोग गर्‍यो।
utterly	पूर्ण रूपमा	स्पष्टीकरण पूर्ण रूपमा भ्रमित पार्ने खालको थियो।
vacuum	शून्यता	नेतृत्वमा भएको शून्यताले तनाव सिर्जना गर्‍यो।
vague	अस्पष्ट	उसको जवाफ अस्पष्ट र कमजोर थियो।
validity	वैधता	अध्ययनले परीक्षणको वैधतामाथि प्रश्न उठायो।
vanish	गायब हुनु	फोल्डरबाट फाइल गायब भयो।
variable	चर	मूल्य एउटा महत्त्वपूर्ण चर हो।
varied	विविध	यस पाठ्यक्रमले विविध असाइनमेन्टहरू प्रदान गर्दछ।
vein	नसा	नर्सले छिट्टै एउटा नसा फेला पारिन्।
venture	उद्यम	नयाँ उद्यमले लगानीकर्ताहरूलाई आकर्षित गर्‍यो।
verbal	मौखिक	उनीहरू मौखिक सम्झौतामा पुगे।
verdict	फैसला	जुरीले आफ्नो फैसला सुनायो।
verify	प्रमाणित गर्नु	कृपया आफ्नो इमेल ठेगाना प्रमाणित गर्नुहोस्।
verse	श्लोक	उनले कविताबाट एउटा श्लोक उद्धृत गरिन्।
versus	बनाम	बहस गोपनीयता बनाम सुरक्षा थियो।
vessel	जहाज	जहाजले समुद्रपार अन्न बोकेको थियो।
veteran	अनुभवी	अनुभवी व्यक्तिले नयाँ कर्मचारीहरूलाई तालिम दिए।
viable	व्यवहार्य	प्रस्ताव आर्थिक रूपमा व्यवहार्य छ।
vibrant	जीवन्त	सहरमा जीवन्त कला परिदृश्य छ।
vice	अवगुण	लोभ उसको सबैभन्दा ठूलो अवगुण थियो।
vicious	क्रूर	क्रूर आक्रमणले सहरलाई स्तब्ध बनायो।
villager	गाउँले	एक गाउँलेले हामीलाई नदीसम्म बाटो देखाए।
violate	उल्लङ्घन गर्नु	कम्पनीले सुरक्षा नियमहरू उल्लङ्घन गर्न सक्छ।
violation	उल्लङ्घन	निरीक्षकले गम्भीर उल्लङ्घनको रिपोर्ट गरे।
virtue	सद्गुण	धैर्य एक महत्त्वपूर्ण सद्गुण हो।
vocal	मुखर	उनी निर्णयको बारेमा मुखर थिइन्।
vow	कसम खानु	उनले काम पूरा गर्ने कसम खाए।
vulnerability	कमजोरी	लेखापरीक्षणले सुरक्षा कमजोरी उजागर गर्‍यो।
vulnerable	जोखिममा रहेको	अत्यधिक गर्मीको समयमा बालबालिकाहरू जोखिममा हुन्छन्।
ward	वार्ड	बिरामीलाई अर्को वार्डमा सारियो।
warehouse	गोदाम	गोदाममा स्पेयर पार्टहरू भण्डारण गरिन्छ।
warfare	युद्ध	आधुनिक युद्ध प्रविधिमा निर्भर हुन्छ।
warrant	पुर्जी	प्रहरीले खानतलासीको पुर्जी देखायो।
warrior	योद्धा	योद्धाले गाउँको रक्षा गरे।
weaken	कमजोर बनाउनु	चोटले उसको पकड कमजोर बनायो।
weave	बुन्नु	उनले डालो बुन्न सिकिन्।
weed	झार	ढुङ्गाहरूको बीचमा झार उम्रियो।
well	इनार	गाउँको इनार सुक्यो।
well-being	स्वास्थ्य	सुत्नु स्वास्थ्यको लागि आवश्यक छ।
whatsoever	कुनै पनि	उनले कुनै पनि चासो देखाएनन्।
whereby	जसद्वारा	कानूनले एउटा प्रणाली बनायो जसद्वारा परिवारहरूले पुनरावेदन गर्न सक्थे।
whilst	जबकी	उनी आराम गर्दा उनले काम गरिन्।
whip	फहराउनु	हावाले झण्डाहरूलाई फहराउन सक्छ।
wholly	पूर्ण रूपमा	यो निर्णय पूर्ण रूपमा अप्रत्याशित थियो।
widen	चौडा बनाउनु	सहरले सडक चौडा गर्ने योजना बनाएको छ।
widow	विधवा	ती विधवा विद्यालय नजिकै बस्छिन्।
width	चौडाइ	ढोकाको चौडाइ नाप्नुहोस्।
willingness	तत्परता	मद्दत गर्ने उनको तत्परताले सबैलाई प्रभावित बनायो।
wipe	पुछ्नु	कपडाले स्क्रिन पुछ्नुहोस्।
wit	हाजिरजवाफ	उनको हाजिरजवाफले भाषणलाई जीवन्त बनायो।
withdrawal	फिर्ता लिने कार्य	रकम फिर्ता लिनाले परियोजनामा ढिलाइ भयो।
workout	कसरत	कसरत चालिस मिनेटसम्म चल्यो।
worship	पूजा	मानिसहरू बिहानै पूजाको लागि भेला भए।
worthwhile	सार्थक	त्यो यात्रा सार्थक थियो।
worthy	योग्य	परोपकारी संस्था समर्थनको योग्य छ।
yell	चिच्याउनु	कर्मचारीहरूलाई नचिच्याउनुहोस्।
yield	उब्जनी	यस मौसममा फार्मको उब्जनीमा सुधार आयो।
youngster	युवा	ती युवाले धेरै प्रश्नहरू सोधे।
