simplified	HI	example_HI
拜托	सौंपना	यह काम मैं तुम्हें सौंपता हूँ।
败坏	नुकसान पहुँचाना	ऐसा व्यवहार कंपनी की प्रतिष्ठा को नुकसान पहुँचाएगा।
斑	धब्बा	बिल्ली के शरीर पर एक काला धब्बा है।
颁布	जारी करना	नए नियम अगले सप्ताह जारी होंगे।
颁发	प्रदान करना	विद्यालय ने उत्कृष्ट छात्रों को प्रमाणपत्र प्रदान किए।
版本	संस्करण	इस सॉफ़्टवेयर का नया संस्करण है।
伴侣	साथी	वह कुत्ते को अपना साथी मानती है।
伴随	साथ आना	सफलता के साथ अक्सर दबाव भी आता है।
半途而废	बीच में छोड़ देना	शोध करते समय काम बीच में नहीं छोड़ना चाहिए।
扮演	भूमिका निभाना	वह फ़िल्म में डॉक्टर की भूमिका निभाता है।
榜样	आदर्श	माता-पिता बच्चों के आदर्श होते हैं।
绑架	अपहरण	पुलिस ने अपहरण की एक घटना रोक दी।
磅	पाउंड	इस बक्से का वज़न बीस पाउंड है।
包庇	बचाना	किसी को भी अपराध को बचाना नहीं चाहिए।
包袱	बोझ	बोझ रख देने के बाद वह बहुत हल्का महसूस करने लगा।
包围	घेरना	पत्रकारों ने अभिनेता को घेर लिया।
包装	पैकेजिंग	इस उपहार की पैकेजिंग बहुत सुंदर है।
保管	सुरक्षित रखना	ये दस्तावेज़ मेरे पास सुरक्षित रखे गए हैं।
保密	गोपनीय रखना	बैठक की सामग्री गोपनीय रखनी होगी।
保姆	आया	उन्होंने एक आया रखी।
保守	रूढ़िवादी	उसके विचार काफ़ी रूढ़िवादी हैं।
保卫	रक्षा करना	सैनिक सीमा की रक्षा करते हैं।
保养	रखरखाव करना	इस गाड़ी का नियमित रखरखाव ज़रूरी है।
保障	सुरक्षा देना	कानून नागरिक अधिकारों को सुरक्षा देता है।
保重	अपना ध्यान रखना	बाहर रहते समय कृपया अपना ध्यान रखना।
饱和	संतृप्ति	यह बाज़ार अब लगभग संतृप्ति पर पहुँच गया है।
饱经沧桑	बहुत उतार-चढ़ाव देखना	इस बुज़ुर्ग ने जीवन में बहुत उतार-चढ़ाव देखे हैं।
报酬	पारिश्रमिक	उसे उचित पारिश्रमिक मिला।
报仇	बदला लेना	वह बदला नहीं लेना चाहता, बस फिर से शुरू करना चाहता है।
报答	बदला चुकाना	मैं तुम्हारी मदद का बदला अपने काम से चुकाऊँगा।
报复	प्रतिशोध	प्रतिशोध से विरोध और गहरा होगा।
报警	पुलिस को सूचना देना	आग दिखने पर तुरंत पुलिस को सूचना देनी चाहिए।
报销	प्रतिपूर्ति लेना	यात्रा खर्च की प्रतिपूर्ति ली जा सकती है।
抱负	महत्त्वाकांक्षा	बचपन से ही उसकी बड़ी महत्त्वाकांक्षा रही है।
暴力	हिंसा	हम हर प्रकार की हिंसा का विरोध करते हैं।
暴露	उजागर होना	यह समस्या धीरे-धीरे उजागर हुई।
曝光	प्रकाश में आना	यह तस्वीर प्रकाश में आने के बाद ध्यान खींचने लगी।
爆发	फूट पड़ना	ज्वालामुखी अचानक फूट पड़ा।
爆炸	विस्फोट	प्रयोगशाला में विस्फोट हुआ।
卑鄙	नीच	ऐसा नीच तरीका लोगों को क्रोधित करता है।
悲哀	दुखी	यह समाचार सुनकर वह बहुत दुखी हुआ।
悲惨	दुखद	वह इतिहास का एक दुखद दौर था।
北极	आर्कटिक	वैज्ञानिक आर्कटिक में शोध कर रहे हैं।
备份	बैकअप	कृपया पहले महत्वपूर्ण फ़ाइलों का बैकअप लें।
备忘录	स्मरण-पत्र	उसने स्मरण-पत्र में मुख्य बातें लिखीं।
背叛	विश्वासघात	वह मित्र के विश्वासघात को स्वीकार नहीं कर सका।
背诵	कंठस्थ सुनाना	छात्र पाठ कंठस्थ सुना रहे हैं।
被动	निष्क्रिय	बातचीत में हमें बहुत निष्क्रिय नहीं रहना चाहिए।
被告	प्रतिवादी	प्रतिवादी ने सभी आरोपों से इनकार किया।
贝壳	सीप	बच्चे ने समुद्र किनारे सीपें उठाईं।
奔波	भागदौड़ करना	वह काम के लिए हर जगह भागदौड़ करता है।
奔驰	तेज़ दौड़ना	कार राजमार्ग पर तेज़ दौड़ रही थी।
本能	प्रवृत्ति	बच्चों की रक्षा करना माता-पिता की प्रवृत्ति है।
本钱	पूँजी	व्यापार करने के लिए पूँजी चाहिए।
本人	मैं स्वयं	मैं स्वयं ज़िम्मेदारी लेने को तैयार हूँ।
本身	अपने आप में	इस योजना में अपने आप में कोई समस्या नहीं है।
本事	काबिलियत	वह बहुत काबिलियत रखता है।
笨拙	भद्दा	उसकी हरकतें थोड़ी भद्दी हैं।
崩溃	ध्वस्त होना	प्रणाली अचानक ध्वस्त हो गई।
甭	ज़रूरत नहीं	इस बात की तुम्हें चिंता करने की ज़रूरत नहीं।
蹦	उछलना	छोटा कुत्ता घास पर उछल-कूद कर रहा था।
迸发	फूट निकलना	भीड़ से तालियाँ फूट निकलीं।
逼迫	मजबूर करना	उन्होंने उसे अनुबंध पर हस्ताक्षर करने को मजबूर किया।
鼻涕	नाक का पानी	बच्चे को सर्दी है और उसकी नाक लगातार बह रही है।
比方	उदाहरण	उदाहरण के लिए, हम पहले एक महीना आज़मा सकते हैं।
比喻	रूपक	यह रूपक बहुत सजीव है।
比重	अनुपात	सेवा क्षेत्र का अनुपात लगातार बढ़ रहा है।
鄙视	तुच्छ समझना	दूसरों की मेहनत को तुच्छ मत समझो।
弊病	खामी	इस व्यवस्था में कई खामियाँ हैं।
弊端	दोष	नई योजना ने पुरानी व्यवस्था के दोष दूर किए।
臂	बाँह	उसकी दाहिनी बाँह घायल हो गई।
闭塞	अलग-थलग	पहले इस पहाड़ी गाँव का यातायात बहुत अलग-थलग था।
编织	बुनना	दादी एक स्वेटर बुन रही हैं।
边疆	सीमांत क्षेत्र	कई सैनिक देश के सीमांत क्षेत्र की रक्षा करते हैं।
边界	सीमा	दोनों देशों ने फिर से सीमा निर्धारित की।
边境	सरहद	सरहदी क्षेत्रों में सुरक्षा जाँच बढ़ा दी गई।
边缘	किनारा	कप मेज़ के किनारे पर रखा है।
鞭策	प्रेरित करना	शिक्षक की बातें मुझे हमेशा प्रेरित करती रही हैं।
扁	चपटा	यह डिब्बा चौड़ा और चपटा है।
贬低	कमतर आँकना	दूसरों की मेहनत को यूँ ही कमतर मत आँको।
贬义	नकारात्मक अर्थ	यह शब्द यहाँ नकारात्मक अर्थ रखता है।
便利	सुविधाजनक	मेट्रो ने यात्रा को और सुविधाजनक बना दिया।
便条	पर्ची	उसने मेज़ पर एक पर्ची छोड़ी।
便于	के लिए सुविधाजनक	यह डिज़ाइन बुज़ुर्गों के उपयोग के लिए सुविधाजनक है।
变故	अनहोनी	घर में अचानक अनहोनी हो गई।
变迁	बदलाव	शहर के बदलावों ने उसे बहुत भावुक कर दिया।
变质	खराब होना	दूध बहुत देर रखने पर खराब हो जाएगा।
辨认	पहचानना	पुलिस ने उससे तस्वीर वाले व्यक्ति को पहचानने को कहा।
辩护	बचाव करना	वकील ने प्रतिवादी का बचाव किया।
辩解	सफ़ाई देना	उसने अपनी गलती के लिए सफ़ाई देने की कोशिश की।
辩证	द्वंद्वात्मक	हमें इस समस्या को द्वंद्वात्मक ढंग से देखना चाहिए।
辫子	चोटी	छोटी लड़की ने दो चोटियाँ बाँधी थीं।
遍布	हर जगह फैला होना	यह पौधा पूरे देश में फैला हुआ है।
标本	नमूना	संग्रहालय में पशुओं के नमूने प्रदर्शित हैं।
标记	निशान	कृपया महत्वपूर्ण अनुच्छेदों के पास निशान लगाएँ।
标题	शीर्षक	इस लेख का शीर्षक बहुत आकर्षक है।
表决	मतदान	प्रतिनिधि प्रस्ताव पर मतदान करेंगे।
表态	रुख़ बताना	उसने अभी सार्वजनिक रूप से अपना रुख़ नहीं बताया।
表彰	सम्मानित करना	कंपनी ने उत्कृष्ट कर्मचारियों को सम्मानित किया।
憋	रोकना	उसने हँसी रोककर कुछ नहीं कहा।
别墅	विला	उन्होंने उपनगर में एक विला खरीदा।
别致	निराला	इस कैफ़े की सजावट बहुत निराली है।
别扭	अटपटा	यह वाक्य सुनने में थोड़ा अटपटा लगता है।
濒临	कगार पर	यह जानवर विलुप्ति के कगार पर है।
冰雹	ओले	कल दोपहर बहुत बड़े ओले पड़े।
丙	तीसरा	समूह ग की प्रतियोगिता दोपहर में शुरू होगी।
并非	नहीं है	बात वैसी नहीं है जैसी तुम सोचते हो।
并列	बराबरी पर होना	ये दोनों परियोजनाएँ पहले स्थान पर बराबरी पर हैं।
剥削	शोषण	पुराने समाज में गंभीर शोषण मौजूद था।
拨	डायल करना	कृपया यह फ़ोन नंबर डायल करें।
播种	बीज बोना	किसान वसंत में बीज बोना शुरू करते हैं।
波浪	लहर	समुद्र की सतह पर बड़ी लहरें उठीं।
波涛	प्रचंड लहरें	नाव प्रचंड लहरों के बीच आगे बढ़ी।
伯母	ताई	मैं सप्ताहांत में ताई से मिलने जाऊँगा।
博大精深	विशाल और गहन	चीनी संस्कृति विशाल और गहन है।
博览会	प्रदर्शनी	अंतरराष्ट्रीय प्रदर्शनी ने कई कंपनियों को आकर्षित किया।
搏斗	लड़ाई करना	पुलिस और अपराधी के बीच लड़ाई हुई।
薄弱	कमज़ोर	उसकी व्याकरण की नींव अपेक्षाकृत कमज़ोर है।
不顾	परवाह न करना	वह ख़तरे की परवाह न करके अंदर भागा।
不愧	वास्तव में कहलाने योग्य	वह वास्तव में अनुभवी विशेषज्ञ कहलाने योग्य है।
不料	अप्रत्याशित रूप से	अप्रत्याशित रूप से बैठक अचानक रद्द हो गई।
不像话	बेहद अनुचित	मेहमानों से तुम्हारा ऐसा व्यवहार बेहद अनुचित है।
不屑一顾	तिरस्कार से नज़रअंदाज़ करना	उसने इन अफ़वाहों को तिरस्कार से नज़रअंदाज़ किया।
哺乳	दूध पिलाना	माँ शिशु को दूध पिला रही है।
捕捉	कैद करना	फ़ोटोग्राफ़र ने अद्भुत क्षण कैद कर लिया।
补偿	मुआवज़ा देना	कंपनी तुम्हारे नुकसान का मुआवज़ा देगी।
补救	सुधारना	हमारे पास अभी भी इसे सुधारने का समय है।
补贴	सब्सिडी	सरकार कम आय वाले परिवारों को सब्सिडी देती है।
不得已	मजबूरी में	वह मजबूरी में ही अपना गृह नगर छोड़कर गया।
不妨	बेहतर होगा	बेहतर होगा कि तुम पहले उसकी व्याख्या सुन लो।
不敢当	मैं इस प्रशंसा के योग्य नहीं	आपने मेरी इतनी प्रशंसा की, मैं सच में इस योग्य नहीं।
不禁	अपने आप को रोक न पाना	यह समाचार सुनकर वह हँसे बिना नहीं रह सका।
不堪	सहना मुश्किल	यहाँ का शोर सहना मुश्किल है।
不可思议	अविश्वसनीय	यह परिणाम सचमुच अविश्वसनीय है।
不免	अनिवार्य रूप से	पहली बार मंच पर वह अनिवार्य रूप से थोड़ा घबरा गया।
不时	समय-समय पर	वह समय-समय पर सिर उठाकर घड़ी देखता था।
不惜	हिचकना नहीं	किसी को बचाने के लिए वह जोखिम लेने से नहीं हिचका।
不相上下	बराबरी का	दोनों टीमों की ताक़त बराबरी की है।
不言而喻	स्वयंसिद्ध	ईमानदारी का महत्व स्वयंसिद्ध है।
不由得	अपने आप	पुरानी तस्वीर देखकर उसे अपने आप बचपन याद आ गया।
不择手段	किसी भी उपाय से	पैसा कमाने के लिए वह किसी भी उपाय का उपयोग करता है।
不止	से अधिक	बैठक में सौ से अधिक लोग शामिल हुए।
布告	सूचना	विद्यालय के फाटक पर एक सूचना चिपकाई गई।
布局	लेआउट	इस फ़्लैट का लेआउट बहुत तर्कसंगत है।
布置	देना	शिक्षक ने नया गृहकार्य दिया।
步伐	कदम	दल सधे हुए कदमों से आगे बढ़ा।
部署	तैनात करना	कंपनी नई बिक्री योजना तैनात कर रही है।
部位	हिस्सा	डॉक्टर ने घायल हिस्से की जाँच की।
才干	क्षमता	प्रबंधन में उसमें बहुत क्षमता है।
裁缝	दर्जी	इस दर्जी की कारीगरी बहुत अच्छी है।
裁判	रेफ़री	रेफ़री ने मैच रोकने की घोषणा की।
裁员	कर्मचारी घटाना	नुकसान के कारण कंपनी ने कर्मचारी घटाने का फैसला किया।
财富	संपत्ति	ज्ञान भी एक तरह की संपत्ति है।
财务	वित्त	वित्त विभाग खातों का मिलान कर रहा है।
财政	राजकोषीय	इस वर्ष राजकोषीय आय कुछ बढ़ी है।
彩票	लॉटरी टिकट	वह कभी-कभी एक लॉटरी टिकट खरीदता है।
采购	खरीदना	कंपनी ने उपकरण खरीदने के लिए किसी को भेजा।
采集	इकट्ठा करना	शोधकर्ताओं ने जंगल में नमूने इकट्ठा किए।
采纳	अपनाना	नेता ने हमारा सुझाव अपनाया।
参谋	सलाहकार	वह अक्सर प्रबंधक का सलाहकार बनता है।
参照	संदर्भ लेना	कृपया इस प्रारूप का संदर्भ लेकर फ़ॉर्म भरें।
残疾	विकलांग	यह स्टेशन विकलांग यात्रियों को सहायता देता है।
残酷	निर्दयी	युद्ध बहुत निर्दयी होता है।
残留	बचा रहना	कप में अभी भी कॉफ़ी की गंध बची हुई है।
残忍	क्रूर	जानवरों को सताना क्रूर व्यवहार है।
灿烂	चमकदार	उसने चमकदार मुस्कान दिखाई।
仓促	जल्दबाज़ी	यह फैसला बहुत जल्दबाज़ी में किया गया।
仓库	गोदाम	माल गोदाम में पहुँच चुका है।
舱	केबिन	यात्री विमान के केबिन में प्रवेश कर रहे हैं।
苍白	पीला	उसका चेहरा बहुत पीला लग रहा था।
操劳	मेहनत करना	माँ ने इस परिवार के लिए कई साल मेहनत की।
操练	अभ्यास करना	सैनिक हर सुबह अभ्यास करते हैं।
操纵	नियंत्रित करना	यह मशीन कंप्यूटर से नियंत्रित होती है।
操作	संचालित करना	कृपया निर्देशों के अनुसार उपकरण संचालित करें।
嘈杂	शोरगुल वाला	स्टेशन में बहुत शोरगुल था।
草案	मसौदा	समिति मसौदे पर चर्चा कर रही है।
草率	लापरवाह	इतना महत्वपूर्ण फैसला लापरवाही से नहीं लिया जा सकता।
侧面	बगल	बगल से देखने पर यह इमारत अधिक ऊँची लगती है।
测量	मापना	इंजीनियर पुल की लंबाई माप रहा है।
策划	योजना बनाना	उन्होंने एक बड़े कार्यक्रम की योजना बनाई।
策略	रणनीति	इस रणनीति ने कंपनी की लागत घटाने में मदद की।
层出不穷	लगातार उभरना	नई समस्याएँ लगातार उभर रही हैं।
层次	संरचना	इस लेख की संरचना बहुत स्पष्ट है।
差别	अंतर	दोनों तरीकों में बहुत अंतर नहीं है।
插座	सॉकेट	इस कमरे में पर्याप्त सॉकेट नहीं हैं।
查获	जब्त करना	कस्टम विभाग ने नकली माल की एक खेप जब्त की।
刹那	क्षण	एक क्षण में सारी बत्तियाँ बुझ गईं।
岔	अलग रास्ता लेना	आगे के चौराहे पर गाड़ियाँ अलग रास्तों पर चली गईं।
诧异	हैरान	उसके फैसले ने सबको बहुत हैरान कर दिया।
柴油	डीज़ल	यह ट्रक डीज़ल से चलता है।
搀	सहारा देना	नर्स ने बुज़ुर्ग को सहारा देकर वार्ड में पहुँचाया।
缠绕	लिपटना	बेलें शाखाओं से लिपटी हुई हैं।
馋	ललचाना	केक देखकर बच्चे का मन ललचा गया।
产业	उद्योग	पर्यटन यहाँ का महत्वपूर्ण उद्योग है।
阐述	विस्तार से समझाना	प्रोफ़ेसर ने अपना दृष्टिकोण विस्तार से समझाया।
颤抖	काँपना	ठंड से उसका पूरा शरीर काँप रहा था।
昌盛	समृद्ध	हम चाहते हैं कि देश समृद्ध और संपन्न हो।
偿还	चुकाना	उसने समय पर कर्ज़ चुका दिया।
尝试	कोशिश करना	हम नया तरीका आज़मा सकते हैं।
场合	अवसर	इस तरह के अवसर पर मज़ाक करना ठीक नहीं।
场面	दृश्य	शादी का दृश्य बहुत चहल-पहल वाला था।
场所	स्थान	यह सार्वजनिक स्थान है, कृपया धूम्रपान न करें।
敞开	खुला रखना	कृपया खिड़की थोड़ी देर खुली रखें।
倡导	समर्थन करना	विद्यालय स्वस्थ जीवनशैली का समर्थन करता है।
倡议	पहल	इस पर्यावरणीय पहल को समर्थन मिला।
畅通	निर्बाध	बारिश रुकने के बाद सड़क फिर निर्बाध हो गई।
畅销	बहुत बिकना	यह उपन्यास बहुत बिकता है।
超越	पार करना	आखिर उसने अपना ही रिकॉर्ड पार कर लिया।
钞票	नोट	बटुए में केवल कुछ नोट बचे थे।
嘲笑	मज़ाक उड़ाना	दूसरों की कमियों का मज़ाक मत उड़ाओ।
巢穴	माँद	शिकारी ने जानवर की माँद खोज ली।
朝代	राजवंश	तांग चीन के इतिहास का एक राजवंश है।
潮流	रुझान	युवा फ़ैशन के रुझानों पर बहुत ध्यान देते हैं।
撤退	पीछे हटना	आदेश मिलने के बाद सेना पीछे हट गई।
撤销	रद्द करना	अदालत ने पुराना फैसला रद्द कर दिया।
沉淀	बैठ जाना	कीचड़ और रेत धीरे-धीरे नीचे बैठ जाएँगे।
沉闷	उमस भरा	आज मौसम गर्म और उमस भरा है।
沉思	गहरे विचार में होना	वह खिड़की के पास बैठकर गहरे विचार में था।
沉重	भारी	इस खबर से सबका मन भारी हो गया।
沉着	शांत	ख़तरे का सामना करते समय शांत रहना चाहिए।
陈旧	पुराना	यह मशीन अब बहुत पुरानी हो गई है।
陈列	प्रदर्शित करना	प्रदर्शनी कक्ष में कई सांस्कृतिक वस्तुएँ प्रदर्शित हैं।
陈述	बयान करना	कृपया तथ्य स्पष्ट रूप से बयान करें।
称心如意	मनचाहा	यह नौकरी उसके लिए बहुत मनचाही है।
衬托	उभारना	सफ़ेद दीवार फूलों के रंग को उभारती है।
称号	उपाधि	उसे उत्कृष्ट शिक्षक की उपाधि मिली।
乘	सवारी करना	मैं रोज़ मेट्रो से काम पर जाता हूँ।
呈现	दिखना	आकाश में हल्का लाल रंग दिखने लगा।
城堡	किला	पहाड़ की चोटी पर एक पुराना किला है।
惩罚	दंड देना	विद्यालय नकल करने वाले छात्रों को दंड देगा।
成本	लागत	कच्चे माल की बढ़ी कीमतों ने लागत बढ़ा दी।
成交	सौदा पूरा होना	यह व्यापारिक सौदा आखिर पूरा हो गया।
成天	सारा दिन	वह सारा दिन कंप्यूटर के सामने बैठा रहता है।
成效	परिणाम	नए प्रबंधन तरीके का परिणाम जल्द दिखा।
成心	जानबूझकर	उसने तुम्हें जानबूझकर शर्मिंदा नहीं किया।
成员	सदस्य	हर सदस्य को बैठक में भाग लेना होगा।
承办	आयोजन करना	इस कंपनी ने प्रदर्शनी का आयोजन किया।
承包	ठेका लेना	उन्होंने इस परियोजना का ठेका लिया।
承诺	वादा करना	उसने काम समय पर पूरा करने का वादा किया।
橙	संतरा	मैंने कुछ ताज़े संतरे खरीदे।
澄清	स्पष्ट करना	प्रबंधक ने आकर गलतफ़हमी स्पष्ट की।
盛	परोसना	उसने मेहमान को एक कटोरा सूप परोसा।
诚挚	सच्चा	कृपया मेरा सच्चा धन्यवाद स्वीकार करें।
秤	तराज़ू	यह तराज़ू बहुत सही नहीं है।
吃苦	कष्ट सहना	युवाओं को कष्ट सहना सीखना चाहिए।
吃力	मेहनत लगना	यह बक्सा उठाने में बहुत मेहनत लगती है।
持久	दीर्घकालिक	सफलता के लिए दीर्घकालिक मेहनत चाहिए।
迟钝	सुस्त	हाल में उसकी प्रतिक्रिया कुछ सुस्त हो गई है।
迟缓	धीमा	बारिश के बाद यातायात धीमा हो गया।
迟疑	हिचकिचाना	उसने जवाब देने से पहले थोड़ा हिचकिचाया।
赤道	भूमध्य रेखा	भूमध्य रेखा के पास साल भर गर्मी रहती है।
赤字	घाटा	कंपनी को इस साल घाटा हुआ।
充当	भूमिका निभाना	वह परियोजना में समन्वयक की भूमिका निभा रहा था।
充沛	भरपूर	बच्चों में ऊर्जा बहुत भरपूर है।
充实	समृद्ध	इस अनुभव ने मेरे जीवन को और समृद्ध बनाया।
充足	पर्याप्त	यात्रा से पहले पर्याप्त पानी तैयार रखना चाहिए।
冲动	आवेग	क्षणिक आवेग में फैसला मत करो।
冲击	प्रभाव डालना	नई तकनीक ने पारंपरिक उद्योगों पर प्रभाव डाला।
冲突	संघर्ष	दोनों पक्षों ने संघर्ष से बचने की कोशिश की।
崇拜	आदर करना	कई युवा इस वैज्ञानिक का आदर करते हैं।
崇高	उच्च	डॉक्टर का कर्तव्य उच्च होता है।
崇敬	श्रद्धा करना	छात्र इस शिक्षक का बहुत श्रद्धा से सम्मान करते हैं।
重叠	ओवरलैप होना	इन दोनों कार्यों का कुछ हिस्सा ओवरलैप होता है।
稠密	घना	यहाँ की आबादी बहुत घनी है।
筹备	तैयारी करना	वे शादी की तैयारी कर रहे हैं।
丑恶	कुरूप	उसने घटना के पीछे का कुरूप सत्य उजागर किया।
出路	रास्ता	शिक्षा युवाओं को आगे बढ़ने के अधिक रास्ते दे सकती है।
出卖	धोखा देना	वह अपने दोस्तों को धोखा नहीं देगा।
出身	पृष्ठभूमि	वह एक साधारण परिवार की पृष्ठभूमि से आता है।
出神	मग्न	वह संगीत सुनने में मग्न हो गई।
出息	उज्ज्वल भविष्य	इस बच्चे का भविष्य उज्ज्वल होगा।
初步	प्रारंभिक	हम प्रारंभिक समझौते पर पहुँच चुके हैं।
除	छोड़कर	उसे छोड़कर सब लोग आ गए।
储备	संचित करना	कंपनी को अधिक धन संचित करने की ज़रूरत है।
储存	संग्रहित करना	ये डेटा अपने आप संग्रहित हो जाएँगे।
储蓄	बचत करना	वह हर महीने वेतन का एक हिस्सा बचत करता है।
处分	अनुशासनात्मक दंड	विद्यालय ने उसे गंभीर अनुशासनात्मक दंड दिया।
处境	स्थिति	उनकी वर्तमान स्थिति बहुत कठिन है।
处置	निपटाना	इन पुराने उपकरणों को ठीक से निपटाना होगा।
触犯	उल्लंघन करना	ऐसा करना कानून का उल्लंघन करेगा।
川流不息	लगातार बहना	सड़क पर गाड़ियाँ लगातार बहती धारा की तरह चल रही थीं।
穿越	पार करना	रेलगाड़ी लंबे सुरंग को पार कर गई।
传达	पहुँचाना	कृपया यह संदेश सब तक पहुँचाएँ।
传单	पर्चा	स्वयंसेवक सड़क पर पर्चे बाँट रहे थे।
传授	सिखाना	शिक्षक छात्रों को अनुभव सिखाते हैं।
船舶	जहाज़	बंदरगाह में कई जहाज़ खड़े हैं।
喘气	हाँफना	दौड़ने के बाद वह लगातार हाँफ रहा था।
串	पिरोना	उसने मोतियों को पिरोकर हार बनाया।
床单	चादर	कृपया चादर बदल दीजिए।
创立	स्थापित करना	उन्होंने मिलकर यह कंपनी स्थापित की।
创新	नवाचार	उद्यम के विकास के लिए लगातार नवाचार चाहिए।
创业	व्यवसाय शुरू करना	कई युवा व्यवसाय शुरू करना चुनते हैं।
创作	रचना करना	लेखक एक लंबा उपन्यास रच रहा है।
吹牛	डींग मारना	डींग मत मारो, सबूत दिखाओ।
吹捧	अत्यधिक प्रशंसा करना	मीडिया ने इस उत्पाद की अत्यधिक प्रशंसा की।
炊烟	रसोई का धुआँ	शाम को गाँव में रसोई का धुआँ उठने लगा।
垂直	लंबवत	ये दो रेखाएँ एक-दूसरे पर लंबवत हैं।
锤	हथौड़ा	मज़दूर ने हथौड़े से लोहे की प्लेट ठोकी।
纯粹	सिर्फ़	उसकी मदद सिर्फ़ सद्भावना से थी।
纯洁	निर्मल	बच्चे का मन बहुत निर्मल होता है।
慈善	परोपकारी	यह कंपनी अक्सर परोपकारी गतिविधियों में भाग लेती है।
慈祥	स्नेहमय	दादी की मुस्कान बहुत स्नेहमय थी।
磁带	कैसेट टेप	यह पुराना कैसेट टेप अभी भी चल सकता है।
雌雄	नर और मादा	इस पक्षी के नर और मादा के रंग अलग हैं।
伺候	सेवा करना	नर्स ने रोगी की सावधानी से सेवा की।
刺	काँटा	गुलाब की टहनी पर बहुत काँटे हैं।
次品	खराब माल	ये खराब माल बेचे नहीं जा सकते।
次序	क्रम	कृपया क्रम से पंक्ति में लगें।
丛	झुंड	सड़क किनारे जंगली फूलों का एक झुंड है।
从容	शांत	उसने प्रश्न का शांत ढंग से उत्तर दिया।
凑合	काम चलाना	कमरा बड़ा नहीं है, लेकिन रहने के लिए काम चल जाएगा।
粗鲁	रूखा	वह बहुत रूखे ढंग से बोलता है।
窜	झट से भागना	वह बिल्ली झट से कमरे में घुस गई।
