simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
遍	raz; przebieg	On powtórzył tę sprawę jeszcze raz.	de keer	Hij herhaalde de zaak nog een keer.	en gång	Han upprepade saken en gång till.	en gang	Han gjentok saken en gang til.
标准	standard; norma	Twój mandaryński jest bardzo standardowy.	de standaard; de norm	Je Mandarijn is heel standaard.	en standard; normen	Din mandarin är mycket standardspråklig.	en standard; norm	Mandarinen din er veldig standard.
表格	formularz; tabela	Proszę wpisać swoje imię w formularzu.	het formulier; de tabel	Vul alstublieft uw naam in op het formulier.	en blankett; en tabell	Fyll i ditt namn på blanketten.	et skjema; en tabell	Vennligst fyll inn navnet ditt i skjemaet.
表示	wyrażać; oznaczać	Proszę podziękuj mu.	uitdrukken; aangeven	Bedank hem alstublieft.	uttrycka; visa	Var snäll och tacka honom.	uttrykke; vise	Vær så snill og takk ham.
表演	występ; występować	Jaki występ zamierzasz pokazać?	de voorstelling; optreden	Welke voorstelling ga je opvoeren?	en föreställning; uppträda	Vilken föreställning ska du framföra?	en forestilling; opptre	Hvilken forestilling skal du opptre med?
表扬	chwalić; pochwała	On często jest chwalony przez dyrektora.	loven; de lof	Hij wordt vaak door de directeur geprezen.	berömma; beröm	Han får ofta beröm av rektorn.	rose; ros	Han får ofte ros av rektoren.
饼干	ciastko; herbatnik	Kupiłem ciastka, zjedzmy trochę.	het koekje	Ik heb koekjes gekocht, laten we er wat eten.	en kaka; ett kex	Jag köpte kakor, vi tar några.	en kjeks; en småkake	Jeg kjøpte kjeks, la oss spise noen.
并且	i ponadto; a także	Ona jest bardzo mądra i ponadto bardzo pracowita.	en bovendien; en ook	Ze is heel slim en werkt bovendien heel hard.	och dessutom; och	Hon är mycket smart och arbetar dessutom hårt.	og dessuten; og	Hun er veldig smart og jobber dessuten hardt.
博士	doktor; doktorat	Pozwólcie, że przedstawię: to jest doktor Li.	de doctor; het doctoraat	Mag ik voorstellen: dit is doctor Li.	en doktor; en doktorsexamen	Låt mig presentera: det här är doktor Li.	en doktor; en doktorgrad	La meg presentere: dette er doktor Li.
不过	jednak; tylko	On jest świetny, ale nie spełnia wymagań rekrutacyjnych firmy.	maar; echter	Hij is uitstekend, maar hij voldoet niet aan de wervingsvoorwaarden van het bedrijf.	men; dock	Han är utmärkt, men han uppfyller inte företagets rekryteringskrav.	men; likevel	Han er utmerket, men han oppfyller ikke selskapets krav til ansettelse.
不得不	musieć; nie mieć wyboru	Na zewnątrz mocno pada, więc muszę zostać w domu.	moeten; geen andere keuze hebben	Het regent hard buiten, dus ik moet thuis blijven.	vara tvungen att; måste	Det regnar kraftigt ute, så jag måste stanna hemma.	være nødt til; måtte	Det regner kraftig ute, så jeg må bli hjemme.
不管	niezależnie od; bez względu na	Niezależnie od pogody muszę wejść na górę.	ongeacht; wat ook	Wat voor weer het ook is, ik moet de berg beklimmen.	oavsett; hur än	Oavsett hur vädret är måste jag bestiga berget.	uansett; uavhengig av	Uansett hvordan været er, må jeg bestige fjellet.
不仅	nie tylko	Nie tylko byłem w tamtym mieście, ale nawet wiele razy.	niet alleen	Ik ben niet alleen in die stad geweest, maar zelfs meerdere keren.	inte bara	Jag har inte bara varit i den staden, utan flera gånger.	ikke bare	Jeg har ikke bare vært i den byen, men også mange ganger.
部分	część; fragment	Najważniejszą częścią artykułu jest trzeci akapit.	het deel; de sectie	Het belangrijkste deel van het artikel is de derde alinea.	en del; ett avsnitt	Den viktigaste delen av artikeln är tredje stycket.	en del; et avsnitt	Den viktigste delen av artikkelen er tredje avsnitt.
擦	wycierać; ścierać	Umyłem okna do czysta.	vegen; schoonmaken	Ik heb de ramen schoongemaakt.	torka; sudda	Jag har torkat rent fönstren.	tørke; viske	Jeg har vasket vinduene rene.
猜	zgadywać	Zgadnij, jaki prezent urodzinowy dla ciebie przygotowałem?	raden	Raad eens welk verjaardagscadeau ik voor je heb klaargemaakt.	gissa	Gissa vilken födelsedagspresent jag har förberett åt dig.	gjette	Gjett hvilken bursdagsgave jeg har forberedt til deg.
材料	materiał; dokumenty	Jakie materiały są potrzebne do rejestracji?	het materiaal; de documenten	Welke documenten zijn nodig voor de inschrijving?	material; handlingar	Vilka handlingar behövs för anmälan?	materiale; dokumenter	Hvilke dokumenter trengs for påmeldingen?
参观	zwiedzać; odwiedzać	W weekend chcę zwiedzić Wielki Mur.	bezoeken; bezichtigen	Ik wil in het weekend de Grote Muur bezoeken.	besöka; titta runt	Jag vill besöka Kinesiska muren i helgen.	besøke; se seg rundt	Jeg vil besøke Den kinesiske mur i helgen.
餐厅	restauracja; stołówka	W pobliżu szkoły otwarto nową restaurację.	het restaurant; de eetzaal	Er is een nieuw restaurant geopend bij de school.	en restaurang; en matsal	En ny restaurang har öppnat nära skolan.	en restaurant; en spisesal	Det har åpnet en ny restaurant i nærheten av skolen.
厕所	toaleta	Męska toaleta jest na pierwszym piętrze.	het toilet	Het herentoilet is op de eerste verdieping.	en toalett	Herrtoaletten ligger på första våningen.	et toalett; et toalettrom	Herretoalettet er i første etasje.
差不多	prawie; mniej więcej	Wstaję codziennie około siódmej.	bijna; ongeveer	Ik sta elke dag rond zeven uur op.	nästan; ungefär	Jag går upp ungefär klockan sju varje dag.	nesten; omtrent	Jeg står opp omtrent klokken sju hver dag.
尝	spróbować; smakować	Chodź spróbować dań, które zrobiłem. Jak smakują?	proeven	Kom de gerechten proeven die ik heb gemaakt. Hoe smaken ze?	smaka	Kom och smaka på maten jag lagade. Hur smakar den?	smake	Kom og smak på rettene jeg laget. Hvordan smaker de?
长城	Wielki Mur	W weekend chcę zwiedzić Wielki Mur.	de Grote Muur	Ik wil in het weekend de Grote Muur bezoeken.	Kinesiska muren	Jag vill besöka Kinesiska muren i helgen.	Den kinesiske mur	Jeg vil besøke Den kinesiske mur i helgen.
长江	Jangcy; rzeka Jangcy	Jangcy jest największą rzeką w Chinach.	de Yangtze; de Yangtze-rivier	De Yangtze is de grootste rivier van China.	Yangtzefloden	Yangtzefloden är Kinas största flod.	Yangtze; Yangtze-elven	Yangtze er den største elven i Kina.
场	miejsce; scena	Ten deszcz przyszedł w samą porę.	de plek; de scène	Deze regen kwam precies op tijd.	en plats; en scen	Det här regnet kom precis i rätt tid.	et sted; en scene	Dette regnet kom akkurat i tide.
超过	przekraczać; przewyższać	Każdego dnia odlatuje stąd ponad trzysta lotów.	overschrijden; meer zijn dan	Elke dag vertrekken hier meer dan driehonderd vluchten.	överstiga; överskrida	Mer än trehundra flyg avgår härifrån varje dag.	overstige; overskride	Mer enn tre hundre fly avgår herfra hver dag.
乘坐	jechać; lecieć środkiem transportu	Witamy na tym locie.	reizen met; nemen	Welkom op deze vlucht.	åka med; ta	Välkommen ombord på den här flygningen.	reise med; ta	Velkommen om bord på denne flygningen.
成功	sukces; udać się	Wysiłek jest gwarancją sukcesu.	het succes; slagen	Inspanning is de garantie voor succes.	en framgång; lyckas	Ansträngning är garantin för framgång.	en suksess; lykkes	Innsats er garantien for suksess.
成为	stawać się; zostać	Od dziecka chciałem zostać policjantem.	worden	Ik wilde al van jongs af aan politieagent worden.	bli	Jag har velat bli polis sedan jag var liten.	bli	Jeg har villet bli politimann siden jeg var liten.
诚实	uczciwy; uczciwość	Uczciwi ludzie zasługują na nasz szacunek.	eerlijk; de eerlijkheid	Eerlijke mensen verdienen ons respect.	ärlig; ärlighet	Ärliga människor förtjänar vår respekt.	ærlig; ærlighet	Ærlige mennesker fortjener vår respekt.
吃惊	być zaskoczonym; zdziwiony	Był zaskoczony, gdy usłyszał tę wiadomość.	verrast zijn; schrikken	Hij was verrast toen hij het nieuws hoorde.	bli förvånad; förvånad	Han blev förvånad när han hörde nyheten.	bli overrasket; overrasket	Han ble overrasket da han hørte nyheten.
重新	ponownie; od nowa	On powtórzył tę sprawę jeszcze raz.	opnieuw	Hij herhaalde de zaak nog een keer.	på nytt; igen	Han upprepade saken en gång till.	på nytt; igjen	Han gjentok saken en gang til.
抽烟	palić papierosy	Przepraszam, w szpitalu nie wolno palić.	roken	Sorry, in het ziekenhuis mag niet worden gerookt.	röka	Förlåt, man får inte röka på sjukhuset.	røyke	Beklager, det er ikke lov å røyke på sykehuset.
出差	jechać w podróż służbową	Tata jest w podróży służbowej od ponad miesiąca.	op zakenreis gaan	Vader is al meer dan een maand op zakenreis.	åka på tjänsteresa	Pappa har varit på tjänsteresa i mer än en månad.	dra på forretningsreise	Pappa har vært på forretningsreise i mer enn en måned.
出发	wyruszać	Wyruszyłem z Pekinu do Szanghaju.	vertrekken	Ik vertrok vanuit Beijing naar Shanghai.	ge sig av	Jag gav mig av från Peking till Shanghai.	dra av gårde; reise	Jeg dro fra Beijing til Shanghai.
出生	urodzić się	Urodziłem się w małym mieście.	geboren worden	Ik ben in een kleine stad geboren.	födas	Jag föddes i en liten stad.	bli født	Jeg ble født i en liten by.
出现	pojawiać się	W naszej pracy pojawiło się wiele problemów.	verschijnen; ontstaan	Er zijn veel problemen ontstaan in ons werk.	dyka upp; uppstå	Många problem har dykt upp i vårt arbete.	dukke opp; oppstå	Det har oppstått mange problemer i arbeidet vårt.
厨房	kuchnia	Nóż do owoców jest w kuchni.	de keuken	Het fruitmes ligt in de keuken.	ett kök	Fruktkniven ligger i köket.	et kjøkken	Fruktkniven er på kjøkkenet.
传真	faks	Proszę wyślij mi faks.	de fax	Stuur me alstublieft een fax.	en fax	Skicka mig en fax, tack.	en faks	Vennligst send meg en faks.
窗户	okno	Umyłem okna do czysta.	het raam	Ik heb de ramen schoongemaakt.	ett fönster	Jag har torkat rent fönstren.	et vindu	Jeg har vasket vinduene rene.
词语	słowo; wyrażenie	Proszę użyj tych słów, żeby powiedzieć kilka zdań.	het woord; de uitdrukking	Gebruik deze woorden alstublieft om een paar zinnen te maken.	ett ord; ett uttryck	Använd de här orden för att säga några meningar.	et ord; et uttrykk	Vennligst bruk disse ordene til å lage noen setninger.
从来	zawsze; nigdy dotąd	Nigdy go nie widziałem.	altijd; nooit eerder	Ik heb hem nog nooit gezien.	alltid; aldrig tidigare	Jag har aldrig sett honom.	alltid; aldri før	Jeg har aldri sett ham.
粗心	nieuważny; niedbały	Jesteś taki nieuważny.	onoplettend; slordig	Je bent zo onoplettend.	slarvig; ouppmärksam	Du är så slarvig.	uoppmerksom; slurvete	Du er så uoppmerksom.
存	istnieć; wpłacić; przechowywać	Wpłaciłem pieniądze do banku.	bestaan; storten; bewaren	Ik heb het geld op de bank gestort.	finnas; sätta in; lagra	Jag satte in pengarna på banken.	finnes; sette inn; lagre	Jeg satte pengene inn i banken.
错误	błąd; pomyłka	Dziękuję, że wskazałeś mój błąd.	de fout; vergissing	Bedankt dat je mijn fout hebt aangewezen.	ett fel; ett misstag	Tack för att du påpekade mitt fel.	en feil; en tabbe	Takk for at du påpekte feilen min.
答案	odpowiedź; rozwiązanie	Twoja odpowiedź jest poprawna.	het antwoord; de oplossing	Je antwoord is juist.	ett svar; en lösning	Ditt svar är rätt.	et svar; en løsning	Svaret ditt er riktig.
打扮	ubierać się odświętnie; stroić się	Ona po prostu lekko się wystroiła i wyszła.	zich opmaken; zich aankleden	Ze maakte zich eenvoudig op en ging naar buiten.	klä upp sig; göra sig i ordning	Hon gjorde sig bara lite i ordning och gick ut.	pynte seg; gjøre seg i stand	Hun pyntet seg enkelt og gikk ut.
打扰	przeszkadzać; niepokoić	Przepraszam, że przeszkadzam na chwilę.	storen; lastigvallen	Excuseer dat ik u even stoor.	störa; besvära	Ursäkta att jag stör en stund.	forstyrre; bry	Beklager at jeg forstyrrer et øyeblikk.
打印	drukować	Te materiały zostały już wydrukowane.	printen; afdrukken	Deze materialen zijn al afgedrukt.	skriva ut	Det här materialet har skrivits ut.	skrive ut	Disse dokumentene er skrevet ut.
打招呼	przywitać się; dać znać	On przywitał mnie z uśmiechem.	groeten; vooraf melden	Hij groette me met een glimlach.	hälsa; säga till i förväg	Han hälsade på mig med ett leende.	hilse; gi beskjed på forhånd	Han hilste på meg med et smil.
打折	dać zniżkę; być na promocji	Przed Świętem Wiosny centra handlowe robią wyprzedaże.	korting geven; in de aanbieding zijn	Voor het Lentefeest hebben winkelcentra uitverkoop.	ge rabatt; vara på rea	Före vårfesten har köpcentren rea.	gi rabatt; være på salg	Før vårfesten har kjøpesentrene salg.
打针	robić zastrzyk; dostać zastrzyk	Syn bardzo boi się zastrzyków.	een injectie geven; een prik krijgen	De zoon is erg bang voor prikken.	ta en spruta; ge en spruta	Sonen är mycket rädd för sprutor.	ta en sprøyte; gi en sprøyte	Sønnen er veldig redd for sprøyter.
大概	prawdopodobnie; mniej więcej	On prawdopodobnie nie przyjdzie.	waarschijnlijk; ongeveer	Hij komt waarschijnlijk niet.	förmodligen; ungefär	Han kommer förmodligen inte.	sannsynligvis; omtrent	Han kommer sannsynligvis ikke.
大使馆	ambasada	Jutro idę do ambasady złożyć wniosek o wizę.	de ambassade	Ik ga morgen naar de ambassade om een visum aan te vragen.	en ambassad	Jag ska till ambassaden i morgon för att ansöka om visum.	en ambassade	Jeg skal til ambassaden i morgen for å søke om visum.
大约	około; mniej więcej	On ma około trzydziestu lat.	ongeveer	Hij is ongeveer dertig jaar oud.	ungefär	Han är ungefär trettio år.	omtrent; cirka	Han er omtrent tretti år gammel.
大夫	lekarz	Doktorze Li, czy jutro rano będzie pan w szpitalu?	de dokter	Dokter Li, bent u morgenochtend in het ziekenhuis?	en läkare	Doktor Li, är du på sjukhuset i morgon bitti?	en lege	Doktor Li, er du på sykehuset i morgen tidlig?
戴	nosić; zakładać	On ma na sobie parę czarnych okularów.	dragen; opzetten	Hij draagt een zwarte bril.	bära; sätta på sig	Han har på sig ett par svarta glasögon.	bruke; ta på seg	Han har på seg et par svarte briller.
当	być; pracować jako	Chcę zostać lekarzem.	zijn; werken als	Ik wil dokter worden.	vara; arbeta som	Jag vill bli läkare.	være; jobbe som	Jeg vil bli lege.
当时	wtedy; w tamtym czasie	Nie pamiętam sytuacji z tamtego czasu.	toen; op dat moment	Ik herinner me de situatie van toen niet meer.	då; vid den tiden	Jag minns inte situationen då.	da; på den tiden	Jeg husker ikke situasjonen den gangen.
刀	nóż	Nóż do owoców jest w kuchni.	het mes	Het fruitmes ligt in de keuken.	en kniv	Fruktkniven ligger i köket.	en kniv	Fruktkniven er på kjøkkenet.
导游	przewodnik; oprowadzać	Moja starsza siostra jest przewodniczką.	de gids; rondleiden	Mijn oudere zus is gids.	en guide; guida	Min syster är guide.	en guide; vise rundt	Søsteren min er guide.
倒	przewrócić się; upaść; powalić	Silny wiatr powalił drzewo.	vallen; omverblazen	De harde wind blies de boom omver.	falla; välta	Den starka vinden välte trädet.	falle; velte	Den sterke vinden veltet treet.
到处	wszędzie	W parku wszędzie są kwiaty.	overal	Er zijn overal bloemen in het park.	överallt	Det finns blommor överallt i parken.	overalt	Det er blomster overalt i parken.
到底	w końcu; właściwie	Co właściwie znaczy to zdanie?	uiteindelijk; eigenlijk	Wat betekent deze zin eigenlijk?	egentligen; till slut	Vad betyder den här meningen egentligen?	egentlig; til slutt	Hva betyr denne setningen egentlig?
道歉	przepraszać; przeprosiny	Już go przeprosiłem.	zich verontschuldigen; de excuses	Ik heb me al bij hem verontschuldigd.	be om ursäkt; en ursäkt	Jag har redan bett honom om ursäkt.	be om unnskyldning; en unnskyldning	Jeg har allerede bedt ham om unnskyldning.
得	musieć; trzeba	Jutro mam egzamin, więc muszę iść spać wcześnie.	moeten	Ik heb morgen examen, dus ik moet vroeg gaan slapen.	måste	Jag har prov i morgon, så jag måste lägga mig tidigt.	måtte; være nødt til	Jeg har eksamen i morgen, så jeg må legge meg tidlig.
得意	dumny z siebie; zadowolony z siebie	Wszyscy są bardzo dumni z sukcesu pracy.	trots; ingenomen	Iedereen is erg trots op het succes van het werk.	stolt; självnöjd	Alla är mycket stolta över arbetets framgång.	stolt; selvtilfreds	Alle er veldig stolte over at arbeidet lyktes.
登机牌	karta pokładowa	Proszę wziąć kartę pokładową i przygotować się do wejścia na pokład.	de instapkaart	Neem alstublieft uw instapkaart en bereid u voor om aan boord te gaan.	ett boardingkort	Ta ditt boardingkort och gör dig redo att gå ombord.	et boardingkort	Vennligst ta boardingkortet ditt og gjør deg klar til å gå om bord.
等	i tak dalej; itp.	Na stole są owoce, takie jak jabłka i banany.	enzovoort	Op tafel liggen fruitsoorten zoals appels en bananen.	och så vidare	Det finns frukter som äpplen och bananer på bordet.	og så videre	Det ligger frukt som epler og bananer på bordet.
低	niski; nisko	Wyżej, teraz jest za nisko.	laag	Hoger, het is nu te laag.	låg; lågt	Högre, det är för lågt nu.	lav; lavt	Høyere, det er for lavt nå.
底	dno; spód	Dno kubka jest czyste.	de bodem; de onderkant	De bodem van de beker is schoon.	en botten; undersidan	Koppens botten är ren.	en bunn; undersiden	Bunnen av koppen er ren.
地点	miejsce; lokalizacja	Miejsce spotkania jest w sali konferencyjnej na trzecim piętrze.	de plek; de locatie	De vergaderlocatie is in de vergaderzaal op de derde verdieping.	en plats; en platsangivelse	Mötesplatsen är i konferensrummet på tredje våningen.	et sted; en plassering	Møtestedet er i møterommet i tredje etasje.
地球	Ziemia; planeta	Większość powierzchni Ziemi to ocean.	de aarde; de planeet	Het grootste deel van het aardoppervlak is oceaan.	jorden; en planet	Större delen av jordens yta är hav.	jorden; en planet	Det meste av jordens overflate er hav.
地址	adres	Proszę zapisać swój adres.	het adres	Schrijf alstublieft uw adres op.	en adress	Skriv ner din adress, tack.	en adresse	Vennligst skriv ned adressen din.
掉	spadać; upuścić	Klucz spadł na ziemię.	vallen; laten vallen	De sleutel viel op de grond.	falla; tappa	Nyckeln föll på marken.	falle; miste	Nøkkelen falt på bakken.
调查	śledztwo; badanie; badać	Policja prowadzi dochodzenie.	het onderzoek; onderzoeken	De politie is een onderzoek aan het doen.	en undersökning; undersöka	Polisen håller på att utreda.	en undersøkelse; undersøke	Politiet etterforsker.
丢	gubić; zgubić	Zgubiłeś plecak szkolny?	verliezen; kwijtraken	Ben je je schooltas kwijt?	tappa bort; förlora	Har du tappat bort din skolväska?	miste; tape	Har du mistet skolesekken din?
动作	ruch; czynność	Nauczę cię tańczyć, ruchy są bardzo proste.	de beweging; de handeling	Ik leer je dansen, de bewegingen zijn heel eenvoudig.	en rörelse; en handling	Jag lär dig dansa, rörelserna är mycket enkla.	en bevegelse; en handling	Jeg skal lære deg å danse, bevegelsene er veldig enkle.
堵车	korek uliczny	Byłem w drodze i znowu był korek.	de file	Ik was onderweg en er was weer file.	en trafikstockning; kö	Jag var på vägen och det var trafikstockning igen.	en trafikkork	Jeg var på veien, og det var trafikkork igjen.
肚子	brzuch; żołądek	Boli mnie brzuch.	de buik; de maag	Ik heb buikpijn.	en mage	Jag har ont i magen.	en mage	Jeg har vondt i magen.
短信	SMS; wiadomość tekstowa	Jeśli coś się dzieje, proszę wyślij mi SMS albo zadzwoń.	het sms-bericht	Als er iets is, stuur me dan een sms of bel me.	ett sms; ett textmeddelande	Skicka ett sms eller ring mig om det är något.	en SMS; en tekstmelding	Send meg en tekstmelding eller ring meg hvis det er noe.
对话	dialog	Ten dialog jest dość prosty, rozumiem go ze słuchu.	de dialoog	Deze dialoog is vrij eenvoudig, ik kan hem verstaan.	en dialog	Den här dialogen är ganska enkel, jag kan förstå den.	en dialog	Denne dialogen er ganske enkel, jeg kan forstå den.
对面	naprzeciwko	Mieszkam dokładnie naprzeciwko szkoły.	tegenover	Ik woon precies tegenover de school.	mittemot	Jag bor precis mittemot skolan.	overfor	Jeg bor rett overfor skolen.
对于	wobec; jeśli chodzi o	Co do tego problemu, mam inne zdanie.	wat betreft; ten aanzien van	Wat dit probleem betreft, heb ik een andere mening.	angående; när det gäller	När det gäller den här frågan har jag en annan åsikt.	når det gjelder; angående	Når det gjelder dette spørsmålet, har jeg et annet syn.
儿童	dziecko	Dzieci poniżej 1,2 metra wzrostu mogą kupić bilet dziecięcy.	het kind	Kinderen onder de 1,2 meter kunnen een kinderkaartje kopen.	ett barn	Barn under 1,2 meter kan köpa barnbiljett.	et barn	Barn under 1,2 meter kan kjøpe barnebillett.
而	a; i	Ta rzecz jest tania i ładna.	en; maar	Dit kledingstuk is goedkoop en mooi.	och; men	Det här plagget är billigt och fint.	og; men	Dette plagget er billig og pent.
发生	zdarzyć się; nastąpić	Sytuacja bardzo się zmieniła.	gebeuren; plaatsvinden	De situatie is sterk veranderd.	hända; inträffa	Situationen har förändrats mycket.	skje; inntreffe	Situasjonen har endret seg mye.
发展	rozwój; rozwijać się	W tych latach gospodarka rozwija się bardzo szybko.	de ontwikkeling; zich ontwikkelen	De economie heeft zich de afgelopen jaren snel ontwikkeld.	en utveckling; utvecklas	Ekonomin har utvecklats snabbt de senaste åren.	en utvikling; utvikle seg	Økonomien har utviklet seg raskt de siste årene.
法律	prawo	Studiuję prawo na uniwersytecie.	de wet; het recht	Ik studeer rechten aan de universiteit.	en lag; juridik	Jag studerar juridik på universitetet.	en lov; juss	Jeg studerer juss ved universitetet.
翻译	tłumaczyć; tłumacz	Proszę przetłumaczyć ten artykuł na chiński.	vertalen; de vertaler	Vertaal dit artikel alstublieft in het Chinees.	översätta; en översättare	Översätt den här artikeln till kinesiska, tack.	oversette; en oversetter	Vennligst oversett denne artikkelen til kinesisk.
烦恼	martwić się; zmartwienie	Nie martw się już tą sprawą.	zich zorgen maken; de zorg	Maak je hier geen zorgen meer over.	oroa sig; ett bekymmer	Oroa dig inte mer för det här.	bekymre seg; en bekymring	Ikke bekymre deg mer for dette.
反对	sprzeciwiać się	Wszyscy sprzeciwiają się temu planowi.	tegen zijn; zich verzetten tegen	Iedereen is tegen dit plan.	motsätta sig; vara emot	Alla motsätter sig den här planen.	være imot; motsette seg	Alle er imot denne planen.
方法	metoda; sposób	Na pewno znajdziemy sposób rozwiązania problemu.	de methode; de manier	We zullen zeker een manier vinden om het probleem op te lossen.	en metod; ett sätt	Vi kommer säkert att hitta ett sätt att lösa problemet.	en metode; en måte	Vi kommer helt sikkert til å finne en måte å løse problemet på.
方面	aspekt; dziedzina	Tata lubi czytać książki z dziedziny historii.	het aspect; het gebied	Vader leest graag boeken op het gebied van geschiedenis.	en aspekt; ett område	Pappa tycker om att läsa böcker inom historia.	et aspekt; et område	Pappa liker å lese bøker innen historie.
方向	kierunek	Czy to ten kierunek? Myślę, że się zgubiliśmy.	de richting	Is dit de juiste richting? Ik denk dat we verdwaald zijn.	en riktning	Är det här rätt riktning? Jag tror att vi har gått vilse.	en retning	Er dette riktig retning? Jeg tror vi har gått oss bort.
房东	właściciel mieszkania; gospodarz	Mój właściciel mieszkania jest bardzo przyjazny i często mi pomaga.	de huisbaas; de verhuurder	Mijn huisbaas is erg vriendelijk en helpt me vaak.	en hyresvärd	Min hyresvärd är mycket vänlig och hjälper mig ofta.	en huseier; en utleier	Huseieren min er veldig vennlig og hjelper meg ofte.
