source_headword	PL	example_PL
close2	bliski; niedaleko	Moja szkoła jest blisko domu.
closed	zamknięty	Sklep jest zamknięty.
clothing	odzież; ubrania	Ciepła odzież jest przydatna.
cloud	chmura	Chmura zasłania słońce.
coach	trener; autokar	Trener pomógł drużynie.
coast	wybrzeże	Jechaliśmy wzdłuż wybrzeża.
code	kod	Wpisz kod tutaj.
colleague	kolega z pracy; współpracownik	Współpracownik zadzwonił do mnie.
collect	zbierać; kolekcjonować	Zbieram stare karty.
column	kolumna; rubryka	Przeczytaj pierwszą kolumnę.
comedy	komedia	Ta komedia jest zabawna.
comfortable	wygodny; komfortowy	To krzesło jest wygodne.
comment	komentarz; komentować	Zostaw komentarz poniżej.
communicate	komunikować się	Komunikujemy się e-mailem.
community	społeczność; wspólnota	Nasza społeczność jest przyjazna.
compete	rywalizować; konkurować	Oni rywalizują co roku.
competition	konkurs; zawody	Konkurs zaczyna się jutro.
complain	narzekać; skarżyć się	Nie narzekaj znowu.
completely	całkowicie; zupełnie	Całkowicie się z tobą zgadzam.
condition	stan; warunek	Samochód jest w dobrym stanie.
conference	konferencja	Konferencja zaczyna się o dziewiątej.
connect	połączyć; łączyć	Podłącz telefon do komputera.
connected	połączony; związany	Te dwa pomysły są powiązane.
consider	rozważyć; uważać	Proszę rozważyć mój pomysł.
contain	zawierać	To pudełko zawiera książki.
context	kontekst	Kontekst pomaga zrozumieć.
continent	kontynent	Kontynent jest bardzo duży.
continue	kontynuować; trwać	Kontynuuj czytanie, proszę.
control	kontrolować; kontrola	Kontroluj prędkość ostrożnie.
cooker	kuchenka; urządzenie do gotowania	Kuchenka jest czysta.
copy	kopia; kopiować	Zrób dla mnie kopię.
corner	róg; narożnik	Usiądź w rogu.
correctly	poprawnie; prawidłowo	Napisz odpowiedź poprawnie.
count	liczyć; liczba	Policz książki.
couple	para	Para przybyła wcześnie.
cover	przykryć; okładka	Przykryj miskę.
crazy	szalony; zwariowany	Ten pomysł brzmi szalenie.
creative	kreatywny; twórczy	Ona ma kreatywny pomysł.
credit	kredyt; uznanie	Zapłaciłem kartą kredytową.
crime	przestępstwo; przestępczość	Przestępczość to poważny problem.
criminal	przestępca; kryminalny	Przestępca szybko wyszedł.
cross	przejść; krzyż	Przejdź przez ulicę ostrożnie.
crowd	tłum	Tłum czekał na zewnątrz.
crowded	zatłoczony	Pociąg był zatłoczony.
cry	płakać	Nie płacz teraz.
cupboard	szafka; kredens	Kubki są w szafce.
curly	kręcony	Ona ma kręcone włosy.
cycle	jeździć na rowerze; cykl	Jeżdżę rowerem do szkoły.
daily	codzienny; codziennie	Codziennie czytam wiadomości.
danger	niebezpieczeństwo	Znak pokazuje niebezpieczeństwo.
data	dane	Te dane są przydatne.
dead	martwy; zmarły	Roślina jest martwa.
deal	okazja; umowa	To dobra okazja.
death	śmierć	Śmierć to trudny temat.
decision	decyzja	Podejmij decyzję dzisiaj.
deep	głęboki	Woda jest głęboka.
definitely	zdecydowanie; na pewno	Zdecydowanie chcę herbatę.
degree	stopień; dyplom	Mój dyplom jest z historii.
dentist	dentysta	Dentysta sprawdził moje zęby.
department	dział; departament	Dział obuwia jest na górze.
depend	zależeć	To zależy od pogody.
desert	pustynia; opuścić	Pustynia jest bardzo sucha.
designer	projektant	Projektant zrobił tę sukienkę.
destroy	zniszczyć; niszczyć	Nie niszcz pliku.
detective	detektyw	Detektyw znalazł klucz.
develop	rozwijać; opracować	Oni tworzą nową aplikację.
device	urządzenie	To urządzenie jest przydatne.
diary	dziennik; pamiętnik	Ona pisze w swoim pamiętniku.
differently	inaczej; różnie	Robimy to inaczej.
digital	cyfrowy	To jest aparat cyfrowy.
direct	bezpośredni; prosto	Weź bezpośredni pociąg.
direction	kierunek	Idź w tym kierunku.
director	reżyser; dyrektor	Reżyser polubił film.
disagree	nie zgadzać się	Nie zgadzam się z tym pomysłem.
disappear	zniknąć; znikać	Słońce wkrótce zniknie.
disaster	katastrofa	Burza była katastrofą.
discover	odkryć; dowiedzieć się	Oni odkryli nową wyspę.
discovery	odkrycie	Odkrycie zmieniło naukę.
discussion	dyskusja	Dyskusja skończyła się wcześnie.
disease	choroba	Ta choroba jest poważna.
distance	odległość	Odległość jest krótka.
divorced	rozwiedziony	Jej rodzice są rozwiedzeni.
document	dokument	Zapisz teraz ten dokument.
double	podwójny; dwa razy większy	Potrzebuję pokoju dwuosobowego.
download	pobrać; pobieranie	Pobierz aplikację dzisiaj.
drama	dramat; sztuka	Dramat zaczyna się dziś wieczorem.
drawing	rysunek; rysowanie	Jej rysunek jest piękny.
dream	sen; marzenie	Miałem dziwny sen.
driving	prowadzenie; jazda	Jazda nocą jest trudna.
drop	upuszczać; kropla	Nie upuść szklanki.
drug	lek; narkotyk	Lek mu pomógł.
dry	suchy; suszyć	Ręcznik jest suchy.
earn	zarabiać	Zarabiam pieniądze w pracy.
earth	Ziemia; ziemia	Ziemia jest okrągła.
easily	łatwo	Ona łatwo się uczy.
education	edukacja	Edukacja jest ważna.
effect	efekt; skutek	Efekt był jasny.
either	jeden z dwóch; którykolwiek	Każda odpowiedź jest dobra.
electric	elektryczny	To auto jest elektryczne.
electrical	elektryczny; dotyczący elektryki	System elektryczny jest bezpieczny.
electricity	prąd; elektryczność	Prąd jest tutaj drogi.
electronic	elektroniczny	Ten bilet elektroniczny działa.
employ	zatrudniać	Oni zatrudniają pięć osób.
employee	pracownik	Pracownik ciężko pracuje.
employer	pracodawca	Mój pracodawca jest uczciwy.
empty	pusty; opróżnić	Pokój jest pusty.
ending	zakończenie; koniec	Zakończenie było zaskakujące.
energy	energia	Nie mam dziś energii.
engine	silnik	Silnik jest głośny.
engineer	inżynier	Inżynier naprawił most.
enormous	ogromny	Budynek jest ogromny.
enter	wejść; wpisać	Wejdź do pokoju cicho.
environment	środowisko	Chroń środowisko.
equipment	sprzęt	Ten sprzęt jest drogi.
error	błąd	Znalazłem błąd.
especially	szczególnie; zwłaszcza	Szczególnie lubię tę piosenkę.
essay	wypracowanie; esej	Napisz esej dziś wieczorem.
everyday	codzienny	To jest codzienny angielski.
everywhere	wszędzie	Kwiaty rosną wszędzie.
evidence	dowód; materiał dowodowy	Dowód jest jasny.
exact	dokładny; ścisły	Podaj dokładną liczbę.
exactly	dokładnie; właśnie	To jest dokładnie poprawne.
excellent	doskonały; świetny	Twoja praca jest doskonała.
except	oprócz; z wyjątkiem	Wszyscy przyszli oprócz mnie.
exist	istnieć	Czy ten adres istnieje?
expect	oczekiwać; spodziewać się	Spodziewam się jutro deszczu.
experience	doświadczenie; doświadczyć	Mam doświadczenie z dziećmi.
experiment	eksperyment	Eksperyment dobrze zadziałał.
expert	ekspert; specjalista	Poproś eksperta o pomoc.
explanation	wyjaśnienie	Jej wyjaśnienie było jasne.
express	wyrazić; wyrażać	Proszę wyrazić swoją opinię.
expression	wyrażenie; ekspresja	To wyrażenie jest powszechne.
extreme	skrajny; ekstremalny	Upał był ekstremalny.
extremely	bardzo; niezwykle	Jest niezwykle zimno.
factor	czynnik	Koszt to jeden czynnik.
factory	fabryka	Fabryka zamyka się o piątej.
fail	nie zdać; zawieść	Nie zawiodłem.
fair	sprawiedliwy; uczciwy	Cena jest uczciwa.
fan	wentylator; fan	Włącz wentylator.
farming	rolnictwo; gospodarowanie	Rolnictwo to ciężka praca.
fashion	moda	Moda zmienia się co roku.
fear	strach; bać się	Strach może zatrzymać ludzi.
feature	cecha; funkcja	Ten telefon ma przydatną funkcję.
feed	karmić	Nakarm teraz kota.
female	kobiecy; samica	Kobieca atletka wygrała.
fiction	fikcja; literatura piękna	Ona czyta fikcję nocą.
field	pole; dziedzina	Pole jest zielone.
fight	walczyć; kłócić się	Oni zbyt dużo się kłócą.
figure	postać; liczba; rysunek	Spójrz na rysunek.
finally	wreszcie; nareszcie	Wreszcie dotarliśmy do domu.
finger	palec	Boli mnie palec.
firstly	po pierwsze	Po pierwsze, przeczytaj pytanie.
fishing	wędkowanie; łowienie ryb	Wędkowanie jest tu popularne.
fit	pasować; sprawny	Te buty dobrze pasują.
fix	naprawić; ustalić	Napraw zepsute krzesło.
flu	grypa	Mam grypę.
flying	latanie; latający	Latanie jest szybkie.
focus	skupiać się; skupienie	Skup się na tym zadaniu.
following	następujący; poniższy	Przeczytaj następujące zdanie.
foreign	obcy; zagraniczny	Ona mówi w języku obcym.
forest	las	Las jest cichy.
fork	widelec	Użyj widelca.
formal	formalny; oficjalny	Ten list jest formalny.
fortunately	na szczęście	Na szczęście nikt nie został ranny.
forward	do przodu	Poruszaj się powoli do przodu.
fresh	świeży; nowy	Chleb jest świeży.
