source_headword	HU	example_HU
interference	zavarás	Jelzavarás szakította meg a hívást.
interim	ideiglenes	A köztes jelentés holnap érkezik.
interior	belső	A belső falakat le kell festeni.
intermediate	középhaladó	Csatlakozott a középhaladó csoporthoz.
intervene	beavatkozik	A rendőrségnek gyorsan be kellett avatkoznia.
intervention	beavatkozás	A korai beavatkozás segített a betegen.
intimate	bensőséges	Bensőséges családi szertartást tartottak.
intriguing	izgalmas	Az adatok izgalmas mintát tártak fel.
investigator	nyomozó	A nyomozó minden tanút kihallgatott.
invisible	láthatatlan	A gáz láthatatlan és veszélyes.
invoke	hivatkozik	Az ügyvéd megpróbált precedensre hivatkozni.
involvement	érintettség	Érintettsége tisztázatlan maradt.
ironic	ironikus	Az ironikus megjegyzés mindenkit megnevettetett.
ironically	ironikus módon	Ironikus módon az útvonal tovább tartott.
irony	irónia	Az irónia mindenki számára nyilvánvaló volt.
irrelevant	lényegtelen	Az a részlet itt lényegtelen.
isolation	elszigeteltség	Az elszigeteltség károsíthatja a mentális egészséget.
judicial	bírósági	A bírósági felülvizsgálat hétfőn kezdődik.
junction	kereszteződés	A kereszteződésnél forduljon balra.
jurisdiction	hatáskör	A bíróság hatásköre korlátozott.
just	igazságos	A bíró igazságos döntést hozott.
justification	indoklás	Világos indoklásra van szükségünk a költéshez.
kidnap	elrabol	Bűnözők megpróbálták elrabolni a diplomatát.
kidney	vese	A veseműködése javult.
kingdom	királyság	A királyság terjeszkedett az ő uralma alatt.
lad	fiú	A fiatal fiú vitte a táskákat.
landlord	főbérlő	A főbérlő megjavíttatta a fűtést.
landmark	nevezetesség	A torony a város nevezetességévé vált.
lap	öl	A gyerek az ölében ült.
large-scale	nagyszabású	A város nagyszabású javításokat tervezett.
laser	lézer	A lézer mérte a távolságot.
latter	utóbbi	Az utóbbi lehetőség biztonságosabbnak tűnik.
lawn	pázsit	A gyerekek a pázsiton játszottak.
lawsuit	peres ügy	A cég megegyezett a peres ügyben.
layout	elrendezés	Az oldal elrendezése áttekinthetőbbnek tűnik.
leak	szivárgás	Egy cső szivárgása elárasztotta a konyhát.
leap	ugrás	Az eladások hirtelen ugrást tettek.
legacy	örökség	Az öröksége formálta az egyetemet.
legendary	legendás	A legendás énekes visszatért a színpadra.
legislation	jogszabály	Az új jogszabályok védik a bérlőket.
legislative	törvényhozói	A törvényhozó bizottság ma ülésezett.
legislature	törvényhozás	A törvényhozás jóváhagyta a költségvetést.
legitimate	jogos	Jogos aggodalmakat vetettek fel.
lengthy	hosszadalmas	A hosszadalmas vita késleltette a szavazást.
lesbian	leszbikus	A leszbikus aktivista felszólalt a fórumon.
lesser	kisebb	Válaszd a kisebb kockázatot.
lethal	halálos	A vegyszer halálos lehet.
liable	felelős	A sofőrök felelősek a károkért.
liberal	liberális	Támogatja a liberális szociálpolitikát.
liberation	felszabadulás	A felszabadulás megváltoztatta az ország jövőjét.
liberty	szabadság	A törvény védi a személyes szabadságot.
license	engedélyez	Az állam engedélyezhet új klinikákat.
lifelong	élethosszig tartó	Egy életre szóló barátokat szerzett ott.
likelihood	valószínűség	Nőtt az eső valószínűsége.
limb	végtag	A sérült végtag lassan gyógyult.
linear	lineáris	A diagram lineáris tendenciát mutat.
line-up	felhozatal	A fesztivál felhozatala helyi zenekarokat is tartalmaz.
linger	megmarad	Az illat órákig is megmaradhat.
listing	hirdetés	A lakáshirdetés pontosnak tűnt.
literacy	írni-olvasni tudás	A felnőttek írni-olvasni tudását fejlesztő programok bővültek.
liver	máj	A máj kiszűri a káros anyagokat.
lobby	előcsarnok	Az előcsarnok dél után zsúfolt volt.
log	napló	A rendszer napi naplót vezet.
logic	logika	Érvelésének logikája megbukott.
long-standing	régóta fennálló	Egy régóta fennálló vitát rendeztek.
long-time	régi	Ő egy régi önkéntes.
loom	fenyegetően tornyosul	Sötét felhők tornyosulnak fenyegetően a völgy felett.
loop	hurok	Az ösvény hurkot formál.
loyalty	hűség	Hűsége lenyűgözte a csapatot.
machinery	gépezet	A gyár új gépeket telepített.
magical	varázslatos	A kert varázslatosan nézett ki éjszaka.
magistrate	bíró	A bíró meghallgatta az ügyet.
magnetic	mágneses	A mágneses mező hatással volt az iránytűre.
magnitude	nagyság	A kár nagysága egyértelmű volt.
mainland	szárazföld	A komp összeköti a szigeteket a szárazfölddel.
mainstream	fősodor	Az ötlet bekerült a fősodorbeli politikába.
maintenance	karbantartás	A rendszeres karbantartás megelőzi a meghibásodásokat.
mandate	mandátum	Az elnök erős mandátumot követelt.
mandatory	kötelező	A részvétel kötelező a gyakornokok számára.
manifest	megmutatkozik	A tünetek hetek múlva mutatkozhatnak meg.
manipulate	manipulál	Ne manipulálja a felmérés eredményeit.
manipulation	manipuláció	Az adatmanipulációt felfedezték.
manuscript	kézirat	A kiadó elfogadta a kéziratát.
march	menetel	A tüntetők a belvárosba fognak menetelni.
marginal	elhanyagolható	A változásnak elhanyagolható előnyei voltak.
marine	tengeri	A tengeri élőlényeknek tiszta vízre van szükségük.
marketplace	piac	Az online piac gyorsan bővült.
mask	maszk	A munkásoknak maszkot kell viselniük.
massacre	mészárlás	A mészárlás az egész régiót sokkolta.
mathematical	matematikai	A matematikai modell megjósolta a keresletet.
mature	érett	Az érett fák árnyékot adnak.
maximize	maximalizál	A frissítés maximalizálni fogja az akkumulátor élettartamát.
meaningful	sokatmondó	Sokatmondó beszélgetést folytattak.
meantime	időköz	Eközben várjanak kint.
medieval	középkori	A kastélynak középkori falai vannak.
meditation	meditáció	A napi meditáció megnyugtatja az elméjét.
melody	dallam	A dallam megmaradt a fejemben.
memo	feljegyzés	A feljegyzés elmagyarázta a szabályzatot.
memoir	emlékirat	Emlékirata a gyermekkori száműzetést írja le.
memorial	emlékmű	Az emlékmű a helyi katonák előtt tiszteleg.
mentor	mentor	Mentora átnézte a javaslatot.
merchant	kereskedő	A kereskedő selymet és fűszereket árult.
mercy	kegyelem	A bíró kegyelmet gyakorolt.
mere	puszta	Egy puszta pillantás felfedte a hibát.
merely	csupán	Csupán megismételte az utasításokat.
merge	egyesül	A két cég egyesülni fog.
merger	összeolvadás	Az összeolvadás egy nagyobb bankot hozott létre.
merit	érdem	A javaslatnak egyértelmű érdeme van.
methodology	módszertan	A tanulmány megmagyarázza a módszertanát.
midst	közepe	A káosz közepette dolgoztak.
migration	migráció	A szezonális migráció befolyásolja a helyi munkahelyeket.
militant	militáns	A militáns csoport elutasította a tárgyalásokat.
militia	milícia	A milícia ellenőrizte az utat.
mill	malom	A régi malomból múzeum lett.
minimal	minimális	A terv minimális erőfeszítést igényel.
minimize	minimalizál	Minimalizálnunk kell a felesleges kockázatot.
mining	bányászat	A bányászat károsította a folyóvölgyet.
ministry	minisztérium	A minisztérium új szabályokat jelentett be.
minute2	apró	Egy apró repedés jelent meg az üvegen.
miracle	csoda	Felépülése csodának tűnt.
misery	nyomor	A menekültek éveken át nyomorogtak.
misleading	félrevezető	A félrevezető grafikon összezavarta az olvasókat.
missile	rakéta	A rakétateszt növelte a feszültséget.
mob	tömeg	A dühös tömeg elzárta a forgalmat.
mobility	mobilitás	A jobb buszok javítják a városi mobilitást.
mobilize	mozgósít	A vezetők gyorsan mozgósítják az önkénteseket.
moderate	mérsékelt	A jelölt mérsékelt nézeteket vall.
modification	módosítás	A dizájn egy módosítást igényel.
momentum	lendület	A kampány gyorsan lendületet kapott.
monk	szerzetes	A szerzetes csendben élt.
monopoly	monopólium	A cég monopóliummal rendelkezett.
morality	erkölcs	A kurzus a közerkölcsöt vizsgálja.
motive	indíték	A rendőrség megkérdőjelezte az indítékát.
motorist	autós	Az autós megállt a piros lámpánál.
municipal	önkormányzati	Az önkormányzati szolgáltatások idén javultak.
mutual	kölcsönös	Kölcsönös megállapodásra jutottak.
namely	nevezetesen	Egy probléma maradt, nevezetesen a finanszírozás.
nationwide	országos	A sztrájk országos késéseket okozott.
naval	haditengerészeti	A haditengerészeti bázis tavaly bezárt.
neglect	elhanyagol	Ne hanyagolja el az alapvető biztonságot.
neighbouring	szomszédos	A szomszédos városok közösen használták a kórházat.
nest	fészek	A madár fészket épített.
net	nettó	A nettó nyereség meredeken nőtt.
newsletter	hírlevél	A hírlevél minden pénteken megérkezik.
niche	piaci rés	A vállalat jövedelmező piaci rést talált.
noble	nemes	Nemes gesztusa mindenkit lenyűgözött.
nod	bólint	Kérem, bólintson, ha érti.
nominate	jelöl	Új elnököt fognak jelölni.
nomination	jelölés	Jelölése meglepte a bizottságot.
nominee	jelölt	A jelölt nehéz kérdésekre válaszolt.
nonetheless	mindazonáltal	A terv mindazonáltal haladt előre.
non-profit	nonprofit	Egy nonprofit klinikán dolgozik.
nonsense	képtelenség	Az a pletyka teljes képtelenség.
noon	dél	A találkozó délben kezdődik.
notable	figyelemre méltó	A jelentés figyelemre méltó előrehaladást ért el.
notably	figyelemre méltóan	Figyelemre méltóan csökkentek a költségek májusban.
notify	értesít	Kérjük, távozás előtt értesítse a személyzetet.
notorious	hírhedt	Az út hírhedt a balesetekről.
novel	újszerű	Újszerű megoldást javasoltak.
nursery	bölcsőde	A bölcsőde csecsemőket gondoz.
objection	kifogás	Az ügyvéd kifogást emelt.
oblige	kötelez	A szabályok megállásra kötelezik a sofőröket.
obsess	megszállottjává válik	Ne legyen megszállottja az apró hibáknak.
obsession	megszállottság	A megszállottsága tönkretette a munkáját.
occasional	alkalmi	Alkalmi késések várhatók.
occurrence	előfordulás	Az ilyen eset ritka.
odds	esély	A siker esélyei javultak.
offering	kínálat	Az egyetem bővítette kínálatát.
offspring	utód	A róka megvédte utódját.
operational	működőképes	Az új rendszer működőképes.
opt	választ	Sok diák az online órákat választja.
optical	optikai	Az optikai lencsét meg kell tisztítani.
optimism	optimizmus	A bejelentés után visszatért az optimizmus.
oral	szóbeli	A szóbeli vizsga holnap kezdődik.
organizational	szervezeti	A szervezeti változások azonnal megkezdődtek.
orientation	orientáció	A műhelymunka a munkavállalók orientációjára terjedt ki.
originate	ered	Számos hagyomány vidéki falvakból ered.
outbreak	kitörés	A kitörés elterjedt az egész városban.
outing	kirándulás	Az osztály élvezte a múzeumi kirándulást.
outlet	outlet	Az outlet akciós ruházatot árul.
outlook	kilátás	A gazdasági kilátások bizonytalanok maradnak.
outrage	felháborodás	A döntés közfelháborodást okozott.
outsider	kívülálló	Kívülállóként észrevette a problémákat.
overlook	elnéz	Ne hagyja figyelmen kívül az apró részleteket.
overly	túlságosan	Az utasítások túlságosan bonyolultak voltak.
oversee	felügyel	Ő fogja felügyelni a projektet.
overturn	megsemmisít	A bíróság megsemmisítheti a határozatot.
overwhelm	túlterhel	A túl sok információ túlterhelheti a tanulókat.
overwhelming	elsöprő	A bizonyíték elsöprő volt.
pad	alátét	Használja az alátétet a térd védelmére.
parameter	paraméter	Egyszerre csak egy paramétert állítson be.
parental	szülői	A szülői támogatás javította a részvételt.
parish	egyházközség	Az egyházközség jótékonysági vacsorát szervezett.
parliamentary	parlamenti	A parlamenti vita órákig tartott.
partial	részleges	A jelentés részleges választ adott.
partially	részben	Az ablak részben nyitva volt.
passing	elhalálozás	Elhalálozása hirtelen volt.
passive	passzív	A passzív befektetők elfogadták az egyenletes hozamokat.
pastor	lelkész	A lelkész meglátogatta a családot.
patch	folt	A kabátra kell egy kis folt.
patent	szabadalom	A vállalat szabadalmat nyújtott be.
pathway	útvonal	Az útvonal tanúsítvány megszerzéséhez vezet.
patrol	járőrözik	A rendőrség éjszaka járőrözik a környéken.
patron	pártfogó	A múzeum köszönetet mondott pártfogójának.
peak	csúcs	A kereslet elérte a téli csúcsot.
peasant	paraszt	A parasztnak kevés földje volt.
peculiar	különös	A szobának különös szaga volt.
persist	fennáll	A tünetek napokig fennállhatnak.
persistent	tartós	A tartós köhögés figyelmet igényel.
personnel	személyzet	A személyzeti nyilvántartások bizalmasak.
petition	petíció	A petíció több ezer aláírást gyűjtött össze.
philosopher	filozófus	A filozófus megkérdőjelezte az általános feltételezéseket.
philosophical	filozófiai	A beszélgetés filozófiai lett.
physician	orvos	Az orvos vérvizsgálatot rendelt el.
pioneer	úttörő	Az orvostudomány úttörőjévé vált.
pipeline	csővezeték	A csővezeték gázt szállít a föld alatt.
pirate	kalóz	A kalózhajó megjelent a part mentén.
pit	gödör	A munkások mély gödröt ástak.
plea	könyörgés	Segélykérését figyelmen kívül hagyták.
plead	vall	A gyanúsított bűnösnek vallja magát.
pledge	ígér	Támogatást ígérnek a reformokhoz.
plug	csatlakoztat	Csatlakoztassa a kábelt az aljzatba.
plunge	zuhan	Az árak zuhanhatnak a botrány után.
pole	rúd	A zászló egy rúdon lógott.
poll	közvélemény-kutatás	A közvélemény-kutatás változó véleményeket mutatott.
pond	tó	Kacsák keltek át a befagyott tavon.
pop	kidurran	A lufik kidurrannak az éles tárgyak közelében.
portfolio	portfólió	A portfóliója több startupot tartalmaz.
portray	ábrázol	A film a vidéki életet fogja ábrázolni.
postpone	elhalaszt	Úgy döntöttek, hogy elhalasztják a meghallgatást.
post-war	háború utáni	A háború utáni lakhatásra sürgősen szükség volt.
practitioner	szakember	A szakember elmagyarázta a kezelést.
preach	prédikál	A lelkész vasárnap fog prédikálni.
precedent	precedens	A döntés fontos precedenst teremtett.
precision	pontosság	A gép pontossággal vág.
predator	ragadozó	A ragadozó a folyó közelében várakozott.
predecessor	előd	Elődje részletes jegyzeteket hagyott.
predominantly	túlnyomórészt	A terület túlnyomórészt lakóövezet.
pregnancy	terhesség	A terhesség rendszeres orvosi ellátást igényel.
prejudice	előítélet	A kampány kihívás elé állította a faji előítéleteket.
preliminary	előzetes	Az előzetes eredmények ígéretesnek tűnnek.
premier	miniszterelnök	A miniszterelnök ma felszólalt a parlamentben.
premise	premissza	Az érvelés egy hamis premisszán nyugszik.
premium	felár	A vásárlók felárat fizettek a gyorsaságért.
prescribe	felír	Az orvosok óvatosan írják fel az antibiotikumokat.
prescription	recept	A recept jövő hónapban lejár.
presently	jelenleg	Jelenleg nem elérhető.
preservation	megőrzés	A megőrzés védi a történelmi épületeket.
preside	elnököl	A bíró fog elnökölni a tárgyaláson.
presidency	elnökség	Elnöksége nyolc évig tartott.
presidential	elnöki	Az elnökválasztás magára vonta a figyelmet.
prestigious	rangos	Rangos ösztöndíjat nyert.
presumably	feltehetőleg	Az iroda ma feltehetőleg zárva van.
presume	feltételez	Feltételezzük, hogy a dokumentumok eredetiek.
prevail	érvényesül	A józan észnek kell érvényesülnie.
prevalence	elterjedtség	Az asztma elterjedtsége nőtt.
prevention	megelőzés	A megelőzés olcsóbb, mint a javítás.
