source_headword	ES-419	example_ES-419
outline	resumir / esbozar	Por favor, resume tu argumento principal.
overall	general / global	El resultado general fue positivo.
owe	deber	Te debo una disculpa.
pace	el ritmo / el paso	Camina a un paso constante.
panel	el panel	El panel discutió la política climática.
parliament	el parlamento	El parlamento aprobó la nueva ley.
participant	el participante	Cada participante firmó el formulario.
partly	en parte / parcialmente	El retraso fue en parte culpa nuestra.
passage	el pasaje / el fragmento	Lee el pasaje antes de responder.
pension1	la pensión	Su pensión lo mantiene después de la jubilación.
permanent	permanente	Necesitan una solución permanente.
permit	permitir	Las reglas permiten visitas cortas.
perspective	la perspectiva	Intenta ver su perspectiva.
phase	la fase	El proyecto entró en su fase final.
phenomenon	el fenómeno	El fenómeno ocurre en muchas culturas.
philosophy	la filosofía	Su filosofía valora la acción práctica.
pile	la pila	Una pila de papeles cubría el escritorio.
pitch	la cancha	El equipo preparó la cancha cuidadosamente.
plain	claro	Las instrucciones eran claras y directas.
pointed	directo	Él hizo un comentario directo.
popularity	la popularidad	El cantante ganó popularidad en internet.
pose	causar	La pregunta puede causar un problema.
possess	poseer	Pocos estudiantes poseen esa habilidad.
potential	el potencial	La idea tiene un potencial real.
praise	el elogio	El maestro dio un elogio sincero.
pregnant	embarazada	Ella está embarazada de seis meses.
preparation	la preparación	Una buena preparación reduce el estrés.
presence	la presencia	Su presencia cambió el ambiente.
preserve	preservar	Debemos preservar este edificio histórico.
prime	principal	La causa principal fue la mala planificación.
principle	el principio	La decisión siguió un principio claro.
priority	la prioridad	La seguridad es nuestra primera prioridad.
privacy	la privacidad	Los clientes esperan privacidad en línea.
procedure	el procedimiento	El procedimiento toma treinta minutos.
proof	la prueba	Necesitamos pruebas antes de actuar.
proposal	la propuesta	La propuesta necesita más detalles.
propose	proponer	Propongo una solución diferente.
prospect	la perspectiva	La perspectiva de fracaso los preocupó.
protection	la protección	El casco ofrece protección básica.
psychologist	el psicólogo	El psicólogo explicó los resultados de la prueba.
psychology	la psicología	Ella estudia psicología en la universidad.
publication	la publicación	La publicación atrajo la atención del público.
pupil	el alumno	Cada alumno recibió un nuevo libro de texto.
purchase	la compra	Ellos compran suministros cada mes.
pure	puro	El agua estaba pura y fría.
pursue	seguir	Él seguirá una carrera médica.
rank	el rango	Ella ocupa un alto rango.
rapid	rápido	El país vio un rápido crecimiento.
rapidly	rápidamente	Los precios subieron rápidamente este año.
raw	crudo	El chef preparó verduras crudas.
realistic	realista	Establezca una fecha límite realista.
reasonable	razonable	Esa parece una petición razonable.
recall	recordar	Recuerdo sus palabras exactas.
recover	recuperarse	Ella se recuperará después del tratamiento.
reduction	la reducción	La reducción ahorró dinero.
regard	considerar	Muchas personas la consideran honesta.
regional	regional	La oficina regional cerró hoy.
register	registrarse	Por favor, regístrese antes de la conferencia.
regret	arrepentirse	Me arrepiento de mi decisión anterior.
regulation	la regulación	La nueva regulación afecta a todos los conductores.
relatively	relativamente	El examen fue relativamente fácil.
relevant	relevante	Elija solo los detalles relevantes.
relief	el alivio	La noticia trajo un gran alivio.
rely	depender	Los niños dependen del apoyo de los adultos.
remark	el comentario	Su comentario terminó la discusión.
representative	el representante	El representante se reunió con trabajadores locales.
reputation	la reputación	El hotel tiene una buena reputación.
requirement	el requisito	La experiencia es un requisito básico.
rescue	rescatar	Rescatan a personas de las inundaciones.
reserve	reservar	Reservamos asientos para los invitados.
resident	el residente	Cada residente recibió un aviso.
resist	resistir	Trata de resistir la presión.
resolve	resolver	Resolvieron la disputa pacíficamente.
resort	el centro turístico	El resort de la isla abrió en mayo.
retain	retener	La empresa quiere retener al personal.
reveal	revelar	El informe revelará la verdad.
revolution	la revolución	La revolución cambió el país.
reward	la recompensa	El trabajo duro merece una recompensa.
rhythm	el ritmo	La canción tiene un ritmo constante.
rid	deshacerse	Deshazte de esos archivos viejos.
root	la raíz	La raíz del problema es el dinero.
rub	frotar	Frota la superficie con un paño.
rubber	la goma	El sello de goma evita fugas.
rural	rural	Muchas escuelas rurales necesitan apoyo.
rush	apresurarse	No te apresures con esta decisión.
satellite	el satélite	El satélite envió imágenes nuevas.
satisfied	satisfecho	El cliente parecía satisfecho.
satisfy	satisfacer	La respuesta no lo satisfizo.
saving	el ahorro	El ahorro de energía reduce los costos mensuales.
scale	la escala	La escala del daño fue enorme.
scheme	el programa	El programa ayuda a los trabajadores jóvenes.
scream	el grito	Escucharon un grito afuera.
sector	el sector	El sector tecnológico está creciendo.
secure	asegurar	Cierra la puerta con llave para asegurarla.
seek	buscar	Buscan el consejo de expertos.
select	seleccionar	Selecciona la mejor opción.
selection	la selección	La tienda ofrece una amplia selección.
self	el yo	Ella mostró su verdadero ser.
senior	experimentado	Un médico experimentado revisó al paciente.
sensitive	sensible	Este tema es muy sensible.
sequence	la secuencia	Sigue la secuencia de pasos.
session	la sesión	La sesión de entrenamiento comienza al mediodía.
settle	resolver	Resuelven la discusión rápidamente.
severe	severo	La tormenta causó graves inundaciones.
shade	la sombra	Siéntate en la sombra.
shadow	la sombra	Una sombra cruzó la ventana.
shallow	poco profundo	El lago es poco profundo aquí.
shame	la vergüenza	Sintió vergüenza después de mentir.
shelter	el refugio	La escuela proporcionó un refugio de emergencia.
shock	el shock	La decisión fue un shock.
shocked	conmocionado	Se veía conmocionada por las noticias.
shooting	el tiroteo	El tiroteo ocurrió cerca de la estación.
shot	el tiro	El tiro ganador sorprendió a todos.
significant	significativo	El descubrimiento fue significativo.
significantly	significativamente	Los costos aumentaron significativamente el año pasado.
silence	el silencio	La habitación se quedó en silencio.
silk	la seda	El vestido estaba hecho de seda.
sincere	sincero	Por favor, acepte mi sincero agradecimiento.
slave	el esclavo	La ley liberó a todos los esclavos.
slide	el tobogán	El niño bajó por el tobogán.
slight	leve	Hubo un leve retraso.
slip	resbalar	No te resbales en el piso mojado.
slope	la pendiente	El camino sigue una pendiente pronunciada.
solar	solar	La casa usa energía solar.
somewhat	un poco	Las instrucciones eran un poco confusas.
soul	el alma	La música elevó su alma.
specialist	el especialista	El especialista examinó al paciente.
species	la especie	Esta especie vive cerca de los ríos.
spiritual	espiritual	Ella describió una experiencia espiritual.
split	dividir	Dividieron la cuenta en partes iguales.
sponsor	patrocinar	La empresa patrocinará el evento.
stable	estable	El paciente está estable.
stare	mirar fijamente	No mires fijamente a los desconocidos.
status	el estado	Su estado cambió de la noche a la mañana.
steady	constante	Mantén una velocidad constante.
steel	el acero	El puente está hecho de acero.
steep	empinado	La colina es empinada.
sticky	pegajoso	El piso se siente pegajoso.
stiff	rígido	Su hombro se sentía rígido.
stock	el inventario	La tienda no tiene más inventario.
stream	el arroyo	Un pequeño arroyo cruza el campo.
stretch	estirar	Estira las piernas después del vuelo.
strict	estricto	La escuela tiene reglas estrictas.
strike	hacer huelga	Los trabajadores pueden hacer huelga mañana.
struggle	batallar	Muchas familias batallan con el alquiler.
submit	enviar	Envía el formulario antes del viernes.
sum	la suma	La suma fue mayor de lo esperado.
surgery	la cirugía	La cirugía duró dos horas.
surround	rodear	Árboles altos rodean la casa.
surrounding	circundante	El área circundante es tranquila.
suspect	sospechar	La policía sospecha de un hombre local.
swear	decir groserías	No digas groserías en clase.
sweep	barrer	Barre el piso antes de que lleguen los invitados.
sympathy	la compasión	Ella expresó su compasión por las víctimas.
tale	el cuento	La abuela contó un cuento extraño.
tank	el tanque	El tanque contiene agua limpia.
tear1	rasgar	No rasgues el documento.
tear2	la lágrima	Una lágrima rodó por su mejilla.
temporary	temporal	La oficina es un refugio temporal.
therapy	la terapia	La fisioterapia ayudó a su recuperación.
threat	la amenaza	El mensaje contenía una amenaza.
threaten	amenazar	La tormenta puede amenazar las cosechas.
thus	por lo tanto	El camino estaba cerrado; por lo tanto, esperamos.
tone	el tono	Su tono sonaba tranquilo.
tough	difícil	La entrevista fue difícil.
transfer	transferir	Ellos transfieren datos todas las noches.
transform	transformar	La nueva política transformará los servicios.
transition	la transición	La transición tomó varios meses.
trial	el juicio	El juicio comienza la próxima semana.
tropical	tropical	Las tormentas tropicales son comunes aquí.
truly	verdaderamente	Verdaderamente aprecio tu ayuda.
trust	la confianza	La confianza toma tiempo en construirse.
tune	la melodía	La banda tocó una melodía alegre.
tunnel	el túnel	El túnel pasa por debajo del río.
ultimately	finalmente	Finalmente, el plan tuvo éxito.
unconscious	inconsciente	El paciente permaneció inconsciente.
unexpected	inesperado	El retraso fue inesperado.
unique	único	Cada diseño es único.
universe	el universo	El universo se está expandiendo.
unknown	desconocido	El nombre sigue siendo desconocido.
upper	superior	El estante superior está vacío.
upwards	hacia arriba	El humo se movió hacia arriba.
urban	urbano	Las áreas urbanas necesitan un mejor transporte.
urge	instar	Los médicos instan a las personas a hacer ejercicio.
vary	variar	Los precios varían según la región.
vast	vasto	El desierto cubre una vasta área.
venue	el lugar	El lugar tiene capacidad para quinientas personas.
via	vía	Envía el documento vía correo electrónico.
victory	la victoria	El equipo celebró su victoria.
violence	la violencia	La ciudad sufrió violencia política.
virtual	virtual	La reunión es virtual.
vision	la visión	Su visión dio forma a la empresa.
visual	visual	El informe incluye ejemplos visuales.
vital	vital	El agua es vital para la vida.
vitamin	la vitamina	Las naranjas contienen vitamina C.
volume	el volumen	Baja el volumen.
wage	el salario	Los trabajadores exigieron un salario más alto.
weakness	la debilidad	El plan tiene una debilidad.
wealth	la riqueza	Su riqueza provenía del comercio.
wealthy	rico	La familia rica financió el museo.
whereas	mientras que	A ella le gusta el té, mientras que yo prefiero el café.
wherever	dondequiera	Siéntate dondequiera que te sientas cómodo.
whisper	susurrar	Por favor, susurra durante la ceremonia.
whom	a quién	¿A quién invitaste?
widely	ampliamente	El libro es ampliamente leído.
wildlife	la vida silvestre	El parque protege la vida silvestre local.
willing	dispuesto	Ella está dispuesta a ayudar.
wind2	enrollar	Enrolla el cable en el carrete.
wire	el cable	El cable conecta los dos dispositivos.
wise	sabio	Esa fue una elección sabia.
witness	el testigo	Un testigo describió el accidente.
wound	la herida	Limpia la herida con cuidado.
wrap	envolver	Envuelve el regalo en papel.
zone	la zona	Esta zona está cerrada al tráfico.
