source_headword	VI	example_VI
source	nguồn	Kiểm tra nguồn trước.
speaker	loa phát thanh	Cái loa phát to.
specific	cụ thể	Tôi cần câu trả lời cụ thể.
speech	bài phát biểu	Bài phát biểu của cô ấy ngắn.
speed	tốc độ	Giảm tốc độ ở đây.
spider	con nhện	Có con nhện trên tường.
spoon	cái thìa	Dùng thìa cho súp.
square	hình vuông	Vẽ một hộp hình vuông.
stage	sân khấu	Ban nhạc ở trên sân khấu.
stair	bậc thang	Bậc thang bị hỏng.
stamp	tem thư	Dán con tem lên thư.
state	nói rõ	Nói rõ tên của bạn.
steal	trộm	Đừng trộm tiền.
step	bước	Bước một bước về phía trước.
stomach	dạ dày	Dạ dày tôi đau.
stone	hòn đá	Hòn đá nặng.
store	cửa hàng	Cửa hàng đóng cửa sớm.
storm	cơn bão	Cơn bão đang đến.
straight	thẳng	Đi thẳng về nhà.
strange	lạ	Âm thanh đó lạ.
strategy	chiến lược	Chúng tôi cần chiến lược.
stress	căng thẳng	Công việc có thể gây căng thẳng.
structure	cấu trúc	Cấu trúc này chắc.
stupid	ngu ngốc	Đó là một lỗi ngu ngốc.
succeed	thành công	Bạn có thể thành công ở đây.
successful	thành công	Cô ấy đã trở nên thành công.
such	như vậy	Sự giúp đỡ như vậy hữu ích.
suddenly	đột nhiên	Đột nhiên, con chó chạy đi.
suggest	đề nghị	Tôi đề nghị nghỉ ngắn.
suggestion	đề xuất	Đề xuất của bạn hữu ích.
suit	bộ com lê	Bộ com lê này đắt.
support	ủng hộ	Chúng tôi ủng hộ đội của mình.
suppose	cho rằng	Tôi cho rằng bạn đúng.
surprise	sự bất ngờ	Sự bất ngờ làm cô ấy vui.
surprised	ngạc nhiên	Cô ấy ngạc nhiên hôm nay.
surprising	đáng ngạc nhiên	Kết quả thật đáng ngạc nhiên.
survey	khảo sát	Hãy hoàn thành khảo sát.
sweet	ngọt	Trà này ngọt.
symbol	ký hiệu	Ký hiệu này có nghĩa là nguy hiểm.
system	hệ thống	Hệ thống hoạt động tốt.
tablet	máy tính bảng	Máy tính bảng của tôi trên bàn.
target	mục tiêu	Nhắm trúng mục tiêu cẩn thận.
task	nhiệm vụ	Nhiệm vụ này dễ.
taste	nếm	Nếm súp trước.
teaching	việc dạy học	Dạy học là công việc khó.
technology	công nghệ	Công nghệ thay đổi nhanh.
teenage	thiếu niên	Em trai thiếu niên của tôi học chăm.
temperature	nhiệt độ	Nhiệt độ thấp.
term	học kỳ	Học kỳ này sắp kết thúc.
themselves	chính họ	Họ tự nấu bữa tối.
thick	dày	Quyển sách này dày.
thief	tên trộm	Tên trộm chạy mất.
thin	mỏng	Tờ giấy mỏng.
thinking	suy nghĩ	Suy nghĩ cần thời gian.
thought	ý nghĩ	Tôi có một ý nghĩ lạ.
throw	ném	Ném quả bóng nhẹ nhàng.
tidy	gọn gàng	Giữ phòng của bạn gọn gàng.
tie	buộc	Buộc dây giày của bạn ngay.
tip	tiền boa	Để lại tiền boa cho dịch vụ.
tool	công cụ	Dùng đúng công cụ.
top	phía trên	Kệ phía trên đầy rồi.
touch	chạm	Đừng chạm vào kính.
tour	chuyến tham quan	Chúng tôi đi một chuyến tham quan thành phố.
tourism	du lịch	Du lịch giúp thị trấn này.
towards	về phía	Đi về phía nhà ga.
towel	khăn tắm	Mang một chiếc khăn sạch.
tower	tháp	Tháp này rất cũ.
toy	đồ chơi	Chiếc xe đồ chơi màu đỏ.
track	đường mòn	Đường mòn đi về phía bắc.
tradition	truyền thống	Truyền thống này lâu đời.
traditional	truyền thống	Cô ấy mặc quần áo truyền thống.
trainer	huấn luyện viên	Huấn luyện viên của tôi hữu ích.
training	huấn luyện	Buổi huấn luyện bắt đầu ngày mai.
transport	giao thông	Giao thông công cộng bị trễ.
traveller	du khách	Du khách yêu cầu giúp đỡ.
trouble	rắc rối	Chúng tôi gặp rắc rối hôm qua.
truck	xe tải	Xe tải ở bên ngoài.
twin	sinh đôi	Em gái sinh đôi của tôi cao hơn.
typical	điển hình	Đây là một ngày điển hình.
underground	dưới lòng đất	Tàu chạy dưới lòng đất.
understanding	sự hiểu biết	Sự hiểu biết của bạn đúng.
unfortunately	không may	Không may, cửa hàng đã đóng.
unhappy	không vui	Anh ấy trông không vui.
uniform	đồng phục	Cô ấy mặc đồng phục trường.
unit	đơn vị	Đơn vị này nhỏ.
united	đoàn kết	Đội vẫn đoàn kết.
unusual	khác thường	Âm thanh đó khác thường.
used to modal	đã từng	Chúng tôi đã từng sống ở đây.
user	người dùng	Mỗi người dùng có một số.
usual	thường lệ	Tôi ngồi chỗ thường lệ.
valley	thung lũng	Thung lũng xanh.
van	xe tải nhỏ	Chiếc xe tải nhỏ đầy.
variety	sự đa dạng	Chúng tôi cần thêm sự đa dạng.
vehicle	phương tiện	Phương tiện này chậm.
view	quang cảnh	Quang cảnh đẹp.
virus	vi rút	Một vi rút làm anh ấy ốm.
voice	giọng nói	Giọng nói của cô ấy nhỏ.
war	chiến tranh	Chiến tranh kết thúc nhiều năm trước.
washing	đồ giặt	Đồ giặt ở bên ngoài.
wave	con sóng	Một con sóng đánh vào thuyền.
weak	yếu	Chân tôi cảm thấy yếu.
web	mạng	Trang mạng đang mở.
wedding	đám cưới	Đám cưới sắp bắt đầu.
weight	cân nặng	Kiểm tra cân nặng trước.
wet	ướt	Giày của tôi ướt.
wheel	bánh xe	Bánh xe bị hỏng.
while	một lúc	Đợi ở đây một lúc.
whole	toàn bộ	Tôi ăn toàn bộ quả táo.
whose	của ai	Đây là điện thoại của ai?
wide	rộng	Con đường rộng.
wild	hoang dã	Động vật hoang dã sống ở đây.
wind1	gió	Gió mạnh.
winner	người chiến thắng	Người chiến thắng mỉm cười.
wish	điều ước	Hãy ước một điều ước.
wood	gỗ	Cái ghế làm bằng gỗ.
wooden	bằng gỗ	Cái hộp bằng gỗ nặng.
working	làm việc	Ngày làm việc đã kết thúc.
worried	lo lắng	Tôi cảm thấy lo lắng hôm nay.
worry	lo lắng	Đừng lo lắng bây giờ.
worse	tệ hơn	Cơn đau này tệ hơn.
worst	tệ nhất	Đó là ngày tệ nhất.
wow	ồ	Ồ, điều đó thật tuyệt!
yet	chưa	Chúng ta đến đó chưa?
yours	của bạn	Quyển sách này là của bạn.
zero	số không	Đếm ngược về số không.
