simplified	ID	example_ID
报仇	balas dendam	Dia tidak ingin balas dendam dan hanya ingin memulai kembali
报答	membalas	Saya akan membalas bantuanmu dengan tindakan
报复	pembalasan	Pembalasan hanya akan memperdalam konflik
报警	melapor polisi	Setelah menemukan kebakaran harus segera melapor polisi
报销	penggantian biaya	Biaya perjalanan dapat diganti
抱负	cita-cita	Sejak kecil dia memiliki cita-cita besar
暴力	kekerasan	Kami menentang segala bentuk kekerasan
暴露	terungkap	Masalah ini perlahan-lahan terungkap
曝光	dipublikasikan	Setelah foto ini dipublikasikan hal itu menarik perhatian
爆发	meletus	Gunung api itu tiba-tiba meletus
爆炸	ledakan	Terjadi ledakan di laboratorium
卑鄙	keji	Cara yang keji seperti ini membuat orang marah
悲哀	sedih	Setelah mendengar kabar itu dia merasa sangat sedih
悲惨	tragis	Itu adalah masa sejarah yang tragis
北极	Arktik	Para ilmuwan melakukan penelitian di Arktik
备份	cadangan	Silakan buat cadangan file penting terlebih dahulu
备忘录	memo	Dia menulis poin-poin penting di memo
背叛	pengkhianatan	Dia tidak dapat menerima pengkhianatan temannya
背诵	menghafal	Para siswa sedang menghafal teks
被动	pasif	Dalam negosiasi kita tidak boleh terlalu pasif
被告	terdakwa	Terdakwa menyangkal semua tuduhan
贝壳	kerang	Anak itu memungut kerang di tepi laut
奔波	mondar-mandir	Dia mondar-mandir ke berbagai tempat demi pekerjaan
奔驰	melaju	Mobil itu melaju di jalan tol
本能	naluri	Melindungi anak adalah naluri orang tua
本钱	modal	Berbisnis membutuhkan modal
本人	saya sendiri	Saya sendiri bersedia memikul tanggung jawab
本身	itu sendiri	Rencana itu sendiri tidak bermasalah
本事	kemampuan	Dia sangat berkemampuan
笨拙	kaku	Gerakannya agak kaku
崩溃	runtuh	Sistem tiba-tiba runtuh
甭	tidak perlu	Kamu tidak perlu mengkhawatirkan hal ini
蹦	melompat-lompat	Anak anjing itu melompat-lompat di atas rumput
迸发	meledak	Tepuk tangan meledak dari kerumunan
逼迫	memaksa	Mereka memaksanya menandatangani kontrak
鼻涕	ingus	Anak itu masuk angin dan terus mengeluarkan ingus
比方	contoh	Contohnya kita bisa mencoba selama satu bulan dulu
比喻	metafora	Metafora ini sangat jelas
比重	proporsi	Proporsi industri jasa semakin tinggi
鄙视	meremehkan	Jangan meremehkan usaha orang lain
弊病	kelemahan	Sistem seperti ini memiliki cukup banyak kelemahan
弊端	kekurangan	Rencana baru menyelesaikan kekurangan sistem lama
臂	lengan	Lengan kanannya terluka
闭塞	terpencil	Transportasi di desa pegunungan ini dulu sangat terpencil
编织	merajut	Nenek sedang merajut sebuah sweter
边疆	wilayah perbatasan	Banyak prajurit menjaga wilayah perbatasan negara
边界	perbatasan	Kedua negara menetapkan ulang perbatasan
边境	daerah perbatasan	Daerah perbatasan memperketat pemeriksaan keamanan
边缘	tepi	Gelas diletakkan di tepi meja
鞭策	mendorong	Kata-kata guru selalu mendorong saya
扁	pipih	Kotak ini lebar dan pipih
贬低	meremehkan	Jangan sembarangan meremehkan usaha orang lain
贬义	makna negatif	Kata ini memiliki makna negatif di sini
便利	mudah	Kereta bawah tanah membuat perjalanan lebih mudah
便条	catatan	Dia meninggalkan selembar catatan di meja
便于	memudahkan	Desain ini memudahkan orang lanjut usia untuk menggunakannya
变故	musibah	Tiba-tiba terjadi musibah dalam keluarga
变迁	perubahan	Perubahan kota membuatnya banyak merenung
变质	basi	Susu akan basi jika dibiarkan terlalu lama
辨认	mengenali	Polisi memintanya mengenali orang di foto
辩护	membela	Pengacara membela terdakwa
辩解	membenarkan	Dia mencoba membenarkan kesalahannya sendiri
辩证	dialektis	Kita harus melihat masalah ini secara dialektis
辫子	kepang	Anak perempuan kecil itu memakai dua kepang
遍布	tersebar	Tanaman ini tersebar di seluruh negeri
标本	spesimen	Spesimen hewan dipamerkan di museum
标记	tanda	Silakan beri tanda di samping paragraf penting
标题	judul	Judul artikel ini sangat menarik
表决	pemungutan suara	Para perwakilan akan melakukan pemungutan suara atas usulan itu
表态	menyatakan sikap	Dia belum menyatakan sikap secara terbuka
表彰	memberi penghargaan	Perusahaan memberi penghargaan kepada karyawan berprestasi
憋	menahan	Dia menahan tawa dan tidak berkata apa-apa
别墅	vila	Mereka membeli sebuah vila di pinggiran kota
别致	unik	Dekorasi kafe ini sangat unik
别扭	janggal	Kalimat ini terdengar agak janggal
濒临	di ambang	Hewan ini berada di ambang kepunahan
冰雹	hujan es	Kemarin sore turun hujan es lebat
丙	kelompok C	Pertandingan kelompok C dimulai pada sore hari
并非	bukan	Keadaannya bukan seperti yang kamu bayangkan
并列	seri	Kedua proyek ini seri di posisi pertama
剥削	eksploitasi	Eksploitasi berat terjadi dalam masyarakat lama
拨	menekan nomor	Silakan tekan nomor telepon ini
播种	menabur benih	Petani mulai menabur benih pada musim semi
波浪	gelombang	Gelombang besar muncul di permukaan laut
波涛	ombak besar	Perahu bergerak maju di antara ombak besar
伯母	bibi	Akhir pekan ini saya akan mengunjungi bibi
博大精深	luas dan mendalam	Budaya Tiongkok luas dan mendalam
博览会	pameran internasional	Pameran internasional menarik banyak perusahaan
搏斗	bertarung	Polisi bertarung dengan penjahat
薄弱	lemah	Dasar tata bahasanya relatif lemah
不顾	tanpa menghiraukan	Dia bergegas masuk tanpa menghiraukan bahaya
不愧	pantas	Dia memang pantas disebut ahli berpengalaman
不料	tak disangka	Tak disangka rapat tiba-tiba dibatalkan
不像话	keterlaluan	Cara kamu memperlakukan tamu seperti ini keterlaluan
不屑一顾	memandang rendah	Dia memandang rendah rumor-rumor itu
哺乳	menyusui	Ibu sedang menyusui bayi
捕捉	menangkap	Fotografer menangkap momen yang indah
补偿	mengganti rugi	Perusahaan akan mengganti kerugianmu
补救	memperbaiki	Kita masih sempat memperbaikinya
补贴	subsidi	Pemerintah memberikan subsidi kepada keluarga berpenghasilan rendah
不得已	terpaksa	Dia meninggalkan kampung halaman karena terpaksa
不妨	ada baiknya	Ada baiknya kamu mendengarkan penjelasannya dulu
不敢当	tidak pantas menerima pujian	Anda memuji saya seperti itu saya benar-benar tidak pantas menerimanya
不禁	tidak bisa menahan diri	Mendengar kabar itu dia tidak bisa menahan diri untuk tertawa
不堪	tidak tertahankan	Kebisingan di sini tidak tertahankan
不可思议	luar biasa	Hasil ini benar-benar luar biasa
不免	tak terhindarkan	Pertama kali naik panggung dia tak terhindarkan agak gugup
不时	sesekali	Dia sesekali mendongak melihat jam
不惜	tidak segan	Untuk menyelamatkan orang dia tidak segan mengambil risiko
不相上下	seimbang	Kekuatan kedua tim seimbang
不言而喻	tidak perlu dikatakan	Pentingnya kejujuran tidak perlu dikatakan lagi
不由得	tidak bisa tidak	Melihat foto lama itu saya tidak bisa tidak teringat masa kecil
不择手段	menghalalkan segala cara	Demi menghasilkan uang dia menghalalkan segala cara
不止	lebih dari	Peserta rapat lebih dari seratus orang
布告	pengumuman	Sebuah pengumuman ditempel di gerbang sekolah
布局	tata letak	Tata letak apartemen ini sangat masuk akal
布置	menugaskan	Guru menugaskan pekerjaan rumah baru
步伐	langkah	Pasukan maju dengan langkah rapi
部署	mengerahkan	Perusahaan sedang mengerahkan rencana penjualan baru
部位	bagian	Dokter memeriksa bagian yang terluka
才干	kemampuan	Dia sangat berkemampuan dalam manajemen
裁缝	penjahit	Penjahit ini sangat terampil
裁判	wasit	Wasit mengumumkan pertandingan dihentikan sementara
裁员	PHK	Perusahaan memutuskan melakukan PHK karena rugi
财富	kekayaan	Pengetahuan juga merupakan sejenis kekayaan
财务	keuangan	Departemen keuangan sedang memeriksa pembukuan
财政	fiskal	Pendapatan fiskal tahun ini meningkat
彩票	tiket lotre	Dia sesekali membeli selembar tiket lotre
采购	membeli	Perusahaan mengirim orang untuk membeli peralatan
采集	mengumpulkan	Para peneliti mengumpulkan sampel di hutan
采纳	menerima	Pemimpin menerima saran kami
参谋	penasihat	Dia sering menjadi penasihat bagi manajer
参照	mengacu	Silakan isi formulir dengan mengacu pada format ini
残疾	disabilitas	Stasiun ini menyediakan bantuan bagi penumpang disabilitas
残酷	kejam	Perang sangat kejam
残留	tersisa	Bau kopi masih tersisa di cangkir
残忍	kejam	Menyiksa hewan adalah perilaku kejam
灿烂	cerah	Dia menampilkan senyum yang cerah
仓促	terburu-buru	Keputusan ini dibuat terlalu terburu-buru
仓库	gudang	Barang sudah dikirim ke gudang
舱	kabin	Para penumpang sedang memasuki kabin pesawat
苍白	pucat	Wajahnya tampak sangat pucat
操劳	bekerja keras	Ibu bekerja keras untuk keluarga ini selama bertahun-tahun
操练	latihan	Para prajurit berlatih setiap pagi
操纵	mengendalikan	Mesin ini dikendalikan oleh komputer
操作	mengoperasikan	Silakan mengoperasikan peralatan sesuai petunjuk
嘈杂	bising	Suasana di stasiun sangat bising
草案	rancangan	Komite sedang membahas rancangan itu
草率	gegabah	Keputusan sepenting ini tidak boleh gegabah
侧面	sisi	Dari sisi bangunan ini terlihat lebih tinggi
测量	mengukur	Insinyur sedang mengukur panjang jembatan
策划	merencanakan	Mereka merencanakan sebuah acara besar
策略	strategi	Strategi ini membantu perusahaan menurunkan biaya
层出不穷	terus bermunculan	Masalah baru terus bermunculan
层次	struktur	Struktur artikel ini sangat jelas
差别	perbedaan	Perbedaan antara kedua metode itu tidak besar
插座	stopkontak	Stopkontak di kamar ini tidak cukup
查获	menyita	Bea cukai menyita sekumpulan barang palsu
刹那	sekejap	Dalam sekejap semua lampu padam
岔	bercabang	Mobil-mobil itu bercabang di persimpangan depan
诧异	heran	Keputusannya membuat semua orang sangat heran
柴油	solar	Truk ini menggunakan solar
搀	memapah	Perawat memapah orang tua itu masuk ke ruang perawatan
缠绕	melilit	Tanaman merambat melilit dahan pohon
馋	ingin makan	Melihat kue itu anak tersebut jadi ingin makan
产业	industri	Pariwisata adalah industri penting di sini
阐述	menjelaskan	Profesor menjelaskan pandangannya secara rinci
颤抖	gemetar	Dia begitu kedinginan sampai seluruh tubuhnya gemetar
昌盛	makmur	Kami berharap negara makmur dan sejahtera
偿还	melunasi	Dia melunasi pinjaman tepat waktu
尝试	mencoba	Kita bisa mencoba metode baru
场合	kesempatan	Kesempatan seperti ini tidak cocok untuk bercanda
场面	suasana	Suasana pernikahan itu sangat meriah
场所	tempat	Ini tempat umum, mohon jangan merokok
敞开	membuka lebar	Tolong buka jendela lebar-lebar sebentar
倡导	menganjurkan	Sekolah menganjurkan gaya hidup sehat
倡议	inisiatif	Inisiatif lingkungan ini mendapat dukungan
畅通	lancar	Setelah hujan berhenti jalan kembali lancar
畅销	laris	Novel ini sangat laris
超越	melampaui	Dia akhirnya melampaui rekornya sendiri
钞票	uang kertas	Di dompet hanya tersisa beberapa lembar uang kertas
嘲笑	menertawakan	Jangan menertawakan kekurangan orang lain
巢穴	sarang	Pemburu menemukan sarang hewan itu
朝代	dinasti	Dinasti Tang adalah salah satu dinasti dalam sejarah Tiongkok
潮流	tren	Anak muda sangat memperhatikan tren mode
撤退	mundur	Pasukan mundur setelah menerima perintah
撤销	mencabut	Pengadilan mencabut putusan semula
沉淀	mengendap	Lumpur akan perlahan-lahan mengendap
沉闷	pengap	Cuaca hari ini panas dan pengap
沉思	merenung	Dia duduk di dekat jendela sambil merenung
沉重	berat	Kabar ini membuat hati semua orang terasa berat
沉着	tenang	Harus tetap tenang saat menghadapi bahaya
陈旧	usang	Mesin ini sudah sangat usang
陈列	dipajang	Banyak benda budaya dipajang di ruang pamer
陈述	menyatakan	Silakan nyatakan fakta dengan jelas
称心如意	memuaskan	Pekerjaan ini sangat memuaskan baginya
衬托	menonjolkan	Dinding putih menonjolkan warna bunga
称号	gelar	Dia memperoleh gelar guru teladan
乘	naik	Saya naik kereta bawah tanah ke kantor setiap hari
呈现	menampakkan	Langit menampakkan warna merah muda
城堡	kastel	Ada sebuah kastel tua di puncak gunung
惩罚	menghukum	Sekolah akan menghukum siswa yang menyontek
成本	biaya	Kenaikan harga bahan baku meningkatkan biaya
成交	sepakat	Transaksi bisnis ini akhirnya sepakat
成天	sepanjang hari	Dia duduk di depan komputer sepanjang hari
成效	hasil	Metode manajemen baru segera menunjukkan hasil
成心	sengaja	Dia tidak sengaja mempermalukanmu
成员	anggota	Setiap anggota harus menghadiri rapat
承办	menyelenggarakan	Perusahaan ini menyelenggarakan pameran
承包	mengontrak	Mereka mengontrak proyek ini
承诺	berjanji	Dia berjanji menyelesaikan tugas tepat waktu
橙	jeruk	Saya membeli beberapa jeruk segar
澄清	mengklarifikasi	Manajer keluar untuk mengklarifikasi kesalahpahaman
盛	menyendok	Dia menyendok semangkuk sup untuk tamu
诚挚	tulus	Mohon terima rasa terima kasih saya yang tulus
秤	timbangan	Timbangan ini kurang akurat
吃苦	menanggung kesulitan	Anak muda harus belajar menanggung kesulitan
吃力	berat	Memindahkan kotak ini sangat berat
持久	berkelanjutan	Keberhasilan membutuhkan usaha yang berkelanjutan
迟钝	lamban	Reaksinya akhir-akhir ini agak lamban
迟缓	melambat	Setelah hujan lalu lintas menjadi melambat
迟疑	ragu-ragu	Dia ragu-ragu sebentar sebelum menjawab
赤道	khatulistiwa	Di dekat khatulistiwa panas sepanjang tahun
赤字	defisit	Perusahaan mengalami defisit tahun ini
充当	berperan sebagai	Dia berperan sebagai koordinator dalam proyek
充沛	melimpah	Anak-anak itu memiliki energi yang melimpah
充实	bermakna	Pengalaman ini membuat hidup saya lebih bermakna
充足	cukup	Sebelum bepergian harus menyiapkan air yang cukup
冲动	dorongan sesaat	Jangan membuat keputusan karena dorongan sesaat
冲击	dampak	Teknologi baru memberi dampak pada industri tradisional
冲突	konflik	Kedua pihak berusaha menghindari konflik
崇拜	mengagumi	Banyak anak muda mengagumi ilmuwan ini
崇高	mulia	Tugas dokter itu mulia
崇敬	menghormati	Para siswa sangat menghormati guru ini
重叠	tumpang tindih	Kedua tugas ini sebagian tumpang tindih
稠密	padat	Penduduk di sini sangat padat
筹备	mempersiapkan	Mereka sedang mempersiapkan pernikahan
丑恶	buruk	Dia mengungkap kebenaran buruk di balik peristiwa itu
出路	jalan keluar	Pendidikan dapat memberi anak muda lebih banyak jalan keluar
出卖	mengkhianati	Dia tidak akan mengkhianati teman
出身	berasal	Dia berasal dari keluarga biasa
出神	terpukau	Dia begitu terpukau mendengarkan musik
出息	masa depan cerah	Anak ini kelak akan memiliki masa depan cerah
初步	awal	Kami sudah mencapai kesepakatan awal
除	kecuali	Semua orang sudah tiba kecuali dia
储备	cadangan	Perusahaan perlu memiliki lebih banyak cadangan dana
储存	menyimpan	Data ini akan disimpan secara otomatis
储蓄	menabung	Dia menabung sebagian gajinya setiap bulan
处分	hukuman disiplin	Sekolah memberinya hukuman disiplin yang berat
处境	situasi	Situasi mereka saat ini sangat sulit
处置	menangani	Peralatan lama ini perlu ditangani dengan baik
触犯	melanggar	Melakukan hal ini akan melanggar hukum
川流不息	tak henti-henti	Kendaraan di jalan mengalir tak henti-henti
穿越	menembus	Kereta menembus terowongan yang panjang
传达	menyampaikan	Tolong sampaikan berita ini kepada semua orang
传单	selebaran	Para relawan membagikan selebaran di jalan
传授	mewariskan	Guru mewariskan pengalaman kepada para siswa
船舶	kapal	Banyak kapal berlabuh di pelabuhan
喘气	terengah-engah	Dia terus terengah-engah setelah berlari
串	merangkai	Dia merangkai manik-manik menjadi kalung
床单	seprai	Tolong ganti seprai
创立	mendirikan	Mereka bersama-sama mendirikan perusahaan ini
创新	inovasi	Perkembangan perusahaan membutuhkan inovasi terus-menerus
创业	merintis usaha	Banyak anak muda memilih merintis usaha
创作	menciptakan	Penulis sedang menciptakan sebuah novel panjang
吹牛	membual	Jangan membual, tunjukkan buktinya
吹捧	menyanjung	Media terlalu menyanjung produk ini
炊烟	asap dapur	Menjelang malam asap dapur naik dari desa
垂直	tegak lurus	Dua garis ini saling tegak lurus
锤	palu	Pekerja memukul pelat besi dengan palu
纯粹	murni	Bantuannya murni karena niat baik
纯洁	murni	Hati anak kecil sangat murni
慈善	amal	Perusahaan ini sering mengikuti kegiatan amal
慈祥	ramah	Senyum nenek sangat ramah
磁带	kaset	Kaset lama ini masih bisa diputar
雌雄	jantan dan betina	Warna jantan dan betina burung ini berbeda
伺候	merawat	Perawat merawat pasien dengan teliti
刺	duri	Ada banyak duri di batang mawar
次品	produk cacat	Produk cacat ini tidak boleh dijual
次序	urutan	Silakan antre sesuai urutan
丛	rumpun	Di tepi jalan ada serumpun bunga liar
从容	tenang	Dia menjawab pertanyaan dengan tenang
凑合	cukup layak	Kamarnya tidak besar tetapi cukup layak untuk ditinggali
粗鲁	kasar	Cara bicaranya terlalu kasar
窜	melesat	Kucing itu tiba-tiba melesat masuk ke rumah
摧残	merusak	Polusi jangka panjang akan merusak hutan ini
脆弱	rapuh	Produk kaca sangat rapuh
搓	menggosok	Dia menggosok-gosok tangannya yang dingin
磋商	berunding	Kedua pihak akan terus berunding
挫折	kemunduran	Setiap orang akan menghadapi kemunduran
搭	naik	Kami naik bus ke bandara
搭档	rekan	Dia adalah rekan kerja saya selama bertahun-tahun
搭配	cocok	Jaket ini cocok dengan celana itu
答辩	sidang	Mahasiswa pascasarjana sedang mempersiapkan sidang tesis
答复	jawaban	Tolong beri saya jawaban secepat mungkin
达成	mencapai	Kedua pihak akhirnya mencapai kesepakatan
打包	membungkus	Pelayan membantu kami membungkus sisa makanan
打官司	berperkara di pengadilan	Mereka berperkara di pengadilan karena masalah kontrak
打击	pukulan	Kegagalan ini menjadi pukulan besar baginya
打架	berkelahi	Siswa yang berkelahi di kampus akan dihukum
打量	mengamati	Dia mengamati saya dari atas ke bawah
打猎	berburu	Berburu dilarang di sini
打仗	berperang	Tidak ada orang yang ingin berperang
大不了	paling buruk	Paling buruk kita coba lagi besok
大臣	menteri	Raja memanggil beberapa menteri
大伙儿	semua orang	Semua orang sedang menunggu keputusanmu
大肆	besar-besaran	Pedagang itu mempromosikan produk baru secara besar-besaran
大体	pada dasarnya	Rencana itu pada dasarnya tidak bermasalah
大意	gagasan utama	Tolong jelaskan dulu gagasan utama artikel ini
大致	secara garis besar	Saya secara garis besar memahami jalannya peristiwa
歹徒	penjahat	Polisi segera menangkap penjahat itu
代价	harga	Keberhasilan sering membutuhkan harga yang harus dibayar
代理	mewakili	Dia sementara mewakili pekerjaan manajer
带领	memimpin	Guru memimpin siswa mengunjungi museum
怠慢	mengabaikan	Kita tidak boleh mengabaikan tamu
逮捕	menangkap	Polisi menangkap tersangka utama
担保	menjamin	Bank meminta ada orang yang menjamin
胆怯	gentar	Dia agak gentar saat pidato pertama
淡季	musim sepi	Tiket pesawat lebih murah pada musim sepi wisata
淡水	air tawar	Jenis ikan ini hanya bisa hidup di air tawar
蛋白质	protein	Telur mengandung banyak protein
诞辰	hari lahir	Hari ini adalah hari lahir penulis itu
诞生	lahir	Gagasan ini lahir dalam diskusi
当场	di tempat	Dia mengakui kesalahan di tempat
当初	pada awalnya	Pada awalnya kami semua mendukung keputusan ini
当代	kontemporer	Masyarakat kontemporer berubah sangat cepat
当面	tatap muka	Masalah sebaiknya dijelaskan secara tatap muka
当前	saat ini	Hal terpenting saat ini adalah menjamin keselamatan
当事人	pihak terkait	Polisi sedang menanyai pihak terkait
当务之急	prioritas utama	Menyelesaikan masalah perumahan adalah prioritas utama
当选	terpilih	Dia berhasil terpilih sebagai ketua
党	partai	Partai ini mengusulkan kebijakan baru
档案	arsip	Sekolah menyimpan arsip para siswa
档次	kelas	Hotel ini berkelas tinggi
倒闭	tutup usaha	Toko kecil itu tutup usaha tahun lalu
导弹	rudal	Berita melaporkan uji coba rudal
导航	navigasi	Tolong nyalakan navigasi ponsel
导向	berorientasi	Kebijakan pendidikan harus berorientasi pada keadilan
捣乱	membuat keributan	Tolong jangan membuat keributan di kelas
盗窃	pencurian	Mal memperkuat langkah-langkah untuk mencegah pencurian
稻谷	padi	Petani sedang memanen padi
得不偿失	tidak sepadan	Membeli bahan buruk demi menghemat uang tidak akan sepadan
得力	cakap	Dia adalah asisten cakap di sisi manajer
得天独厚	keunggulan alami	Kota ini memiliki keunggulan geografis yang alami
得罪	menyinggung	Saya tidak ingin menyinggung rekan kerja karena hal kecil
灯笼	lampion	Lampion merah tergantung di pintu saat Festival Musim Semi
登录	masuk	Silakan masuk ke akunmu terlebih dahulu
登陆	mendarat	Topan mungkin mendarat di wilayah pesisir malam ini
蹬	menjejak	Dia menjejak kuat dengan kakinya lalu sepeda bergerak
等候	menunggu	Para penumpang sedang menunggu di aula untuk naik pesawat
等级	tingkatan	Perangkat lunak ini memiliki tingkatan anggota yang berbeda
瞪	melotot	Dia melotot marah kepada saya
堤坝	bendungan	Bendungan perlu diperiksa dengan teliti setelah hujan lebat
敌视	memusuhi	Kita tidak seharusnya memusuhi pendapat yang berbeda
抵达	tiba	Pesawat tiba di Beijing tepat waktu
抵抗	melawan	Warga desa bersama-sama melawan banjir
抵制	memboikot	Konsumen mulai memboikot produk berkualitas buruk
地步	keadaan	Masalahnya belum sampai pada keadaan seserius itu
地势	medan	Medan di sini lebih tinggi sehingga air tidak mudah menggenang
地质	geologi	Para ahli sedang menyelidiki kondisi geologi setempat
递增	meningkat bertahap	Penjualan meningkat bertahap selama tiga bulan berturut-turut
颠簸	berguncang	Jalan pegunungan sangat berguncang, jadi berhati-hatilah saat mengemudi
颠倒	membalik	Kamu membalik urutan dua angka itu
典礼	upacara	Upacara kelulusan akan diadakan di auditorium
典型	tipikal	Ini adalah kasus sukses yang tipikal
点缀	menghiasi	Beberapa bunga kecil menghiasi meja makan
垫	mengalas	Tolong alas kertas ini di bawah gelas
奠定	meletakkan dasar	Kerja sama ini meletakkan dasar bagi hubungan jangka panjang
惦记	mengkhawatirkan	Ibu selalu mengkhawatirkan anaknya yang jauh
电源	sumber listrik	Tolong matikan sumber listrik sebelum keluar
叼	menggigit	Anjing itu menggigit sebatang tulang di mulutnya
雕刻	mengukir	Dia suka mengukir pola pada kayu
雕塑	patung	Ada sebuah patung di tengah alun-alun
吊	mengangkat	Pekerja menggunakan mesin untuk mengangkat balok baja
调动	memindahkan	Perusahaan memindahkannya untuk bekerja di Shanghai
跌	turun	Harga saham turun lagi hari ini
丁	potongan dadu	Resep itu menulis agar kentang dipotong menjadi potongan dadu
叮嘱	mengingatkan berulang kali	Guru mengingatkan kami berulang kali untuk memperhatikan keselamatan
盯	menatap	Tolong jangan terus menatap orang lain
定期	secara rutin	Dokter menyarankannya memeriksakan tubuh secara rutin
定义	definisi	Tolong jelaskan dulu definisi konsep ini
丢人	memalukan	Berbohong di depan umum benar-benar memalukan
丢三落四	pelupa	Dia selalu pelupa dan sering lupa membawa kunci saat keluar
东道主	tuan rumah	Sebagai tuan rumah, kita harus menjaga tamu dengan baik
东张西望	melihat ke sana kemari	Jangan melihat ke sana kemari saat kelas
董事长	ketua dewan direksi	Ketua dewan direksi menghadiri rapat hari ini
冻结	membekukan	Bank sementara membekukan akun ini
动荡	bergejolak	Perang membuat wilayah ini lama bergejolak
动机	motif	Polisi sedang menyelidiki motifnya
动静	suara gerakan	Di dalam rumah tidak ada sedikit pun suara gerakan
动力	motivasi	Minat adalah motivasi untuk belajar
动脉	arteri	Dokter memeriksa arterinya
动身	berangkat	Kami akan berangkat ke bandara besok pagi
动手	mulai berkelahi	Masalah belum jelas, jadi siapa pun jangan mulai berkelahi
动态	perkembangan	Tolong selalu perhatikan perkembangan proyek
动员	menggerakkan	Sekolah menggerakkan siswa untuk ikut kegiatan sukarela
栋	gedung	Gedung ini memiliki dua puluh lantai
兜	saku	Dia memasukkan kunci ke saku mantel
陡峭	curam	Jalan gunung ini sangat curam
斗争	berjuang	Mereka berjuang untuk melindungi lingkungan
督促	mendesak	Manajer mendesak semua orang menyelesaikan tugas tepat waktu
毒品	narkotika	Bea cukai menyita sekumpulan narkotika
独裁	kediktatoran	Orang-orang menentang pemerintahan kediktatoran
堵塞	menyumbat	Sampah menyumbat saluran air
赌博	berjudi	Berjudi dapat membawa akibat serius
杜绝	mengakhiri	Perusahaan meminta agar pemborosan diakhiri
端	membawa	Dia masuk membawa secangkir teh panas
端午节	Festival Perahu Naga	Kami makan zongzi saat Festival Perahu Naga
端正	memperbaiki	Siswa harus memperbaiki sikap belajar
短促	singkat	Dia mengeluarkan desahan singkat
