source_headword	VI	example_VI
policy	chính sách	Công ty đã thay đổi chính sách.
political	chính trị	Bài phát biểu mang tính chính trị.
politician	chính trị gia	Chính trị gia trả lời các câu hỏi.
politics	chính trị	Chính trị có thể phức tạp.
port	cảng	Con tàu đi vào cảng.
portrait	chân dung	Bức chân dung treo ở hành lang.
possibly	có thể	Cô ấy có thể sẽ đến muộn.
pot	chậu; nồi	Cây cần một cái chậu lớn hơn.
pour	rót	Rót sữa từ từ.
poverty	nghèo đói	Nhiều gia đình sống trong nghèo đói.
powder	bột	Thêm bột vào nước.
powerful	mạnh mẽ	Động cơ rất mạnh mẽ.
practical	thực tế	Đây là một giải pháp thực tế.
pray	cầu nguyện	Họ cầu nguyện mỗi sáng.
prayer	lời cầu nguyện	Cô ấy nói một lời cầu nguyện thầm lặng.
prediction	dự đoán	Dự đoán của anh ấy đúng.
prepared	chuẩn bị sẵn	Tôi đã chuẩn bị sẵn cho kỳ thi.
presentation	bài thuyết trình	Bài thuyết trình của cô ấy rõ ràng.
press	nhấn	Nhấn nút một lần.
pressure	áp lực	Áp lực có thể ảnh hưởng đến sức khỏe.
pretend	giả vờ	Đừng giả vờ đang ngủ.
previous	trước đó	Bài học trước đó dễ hơn.
previously	trước đây	Trước đây chúng tôi sống ở Rome.
priest	linh mục	Linh mục nói nhẹ nhàng.
primary	chính	Sức khỏe là mối quan tâm chính của chúng tôi.
prince	hoàng tử	Hoàng tử đã thăm trường học.
princess	công chúa	Công chúa mặc một chiếc váy màu xanh.
printing	việc in	Việc in báo cáo mất vài phút.
prisoner	tù nhân	Tù nhân trốn thoát vào ban đêm.
private	riêng tư	Đây là một cuộc trò chuyện riêng tư.
producer	nhà sản xuất	Nhà sản xuất thích bộ phim.
production	sản xuất	Sản xuất bắt đầu vào tuần tới.
profession	nghề nghiệp	Dạy học là một nghề nghiệp được tôn trọng.
profit	lợi nhuận	Cửa hàng đã tạo ra lợi nhuận.
promote	thúc đẩy	Họ thúc đẩy việc ăn uống lành mạnh.
proper	phù hợp	Hãy mang giày phù hợp để đi bộ đường dài.
properly	đúng cách	Đóng cửa đúng cách.
property	tài sản	Họ mua tài sản gần con sông.
protest	cuộc biểu tình	Cuộc biểu tình kết thúc một cách hòa bình.
proud	tự hào	Cô ấy cảm thấy tự hào về con trai mình.
prove	chứng minh	Bạn có thể chứng minh câu trả lời của mình không.
punish	trừng phạt	Giáo viên đã không trừng phạt cậu ấy.
punishment	hình phạt	Hình phạt đó có vẻ công bằng.
qualification	bằng cấp	Bạn cần một bằng cấp cho công việc này.
qualified	đủ trình độ	Cô ấy là một y tá đủ trình độ.
qualify	đủ điều kiện	Đội của chúng tôi có thể đủ điều kiện.
queue	hàng đợi	Chúng tôi đã chờ trong một hàng đợi dài.
quit	bỏ	Anh ấy quyết định bỏ hút thuốc.
quotation	câu trích dẫn	Bài luận bắt đầu bằng một câu trích dẫn.
quote	trích dẫn	Tôi có thể trích dẫn lời của bạn không.
race (people)	chủng tộc	Mẫu đơn hỏi về chủng tộc.
racing	đua	Đua ngựa rất phổ biến ở đó.
range	phạm vi; loạt	Cửa hàng bán một loạt sản phẩm rộng.
rare	hiếm	Loài chim này rất hiếm.
rarely	hiếm khi	Chúng tôi hiếm khi ăn ngoài.
reaction	phản ứng	Phản ứng của cô ấy làm tôi ngạc nhiên.
reality	thực tế	Thực tế khác với giấc mơ của anh ấy.
receipt	biên lai	Hãy giữ biên lai.
recommendation	lời giới thiệu	Cảm ơn bạn vì lời giới thiệu.
reference	tài liệu tham khảo	Thêm một tài liệu tham khảo ở cuối.
reflect	phản chiếu	Gương có thể phản chiếu ánh sáng.
regularly	thường xuyên	Cô ấy tập thể dục thường xuyên.
reject	từ chối	Họ có thể từ chối lời đề nghị.
relate	liên hệ	Tôi có thể liên hệ với câu chuyện đó.
related	liên quan	Hai vấn đề đó có liên quan.
relation	mối liên hệ	Có một mối liên hệ giữa chúng.
relative	tương đối	Tốc độ là tương đối.
relaxed	thư giãn	Anh ấy cảm thấy thư giãn sau bữa tối.
relaxing	thư giãn	Âm nhạc rất thư giãn.
release	phát hành	Họ sẽ phát hành bộ phim sớm.
reliable	đáng tin cậy	Xe buýt này thường đáng tin cậy.
religion	tôn giáo	Tôn giáo rất quan trọng với cô ấy.
religious	tôn giáo	Họ đã thăm một tòa nhà tôn giáo.
remain	vẫn; ở lại	Xin hãy giữ bình tĩnh.
remind	nhắc nhở	Nhắc tôi vào ngày mai.
remote	xa xôi	Họ sống trong một ngôi làng xa xôi.
rent	tiền thuê	Tiền thuê đến hạn hôm nay.
repeated	lặp lại	Những lỗi lặp lại làm chậm công việc.
represent	đại diện	Ngôi sao đại diện cho hy vọng.
require	yêu cầu	Công việc này sẽ yêu cầu đào tạo.
reservation	sự đặt chỗ	Tôi đã đặt chỗ.
resource	nguồn tài nguyên	Thư viện là một nguồn tài nguyên hữu ích.
respect	tôn trọng	Hãy tôn trọng bạn cùng lớp.
responsibility	trách nhiệm	Chăm sóc trẻ em là một trách nhiệm lớn.
responsible	chịu trách nhiệm	Cô ấy chịu trách nhiệm về vé.
retire	nghỉ hưu	Cha tôi sẽ nghỉ hưu sớm.
retired	đã nghỉ hưu	Ông ấy là một giáo viên đã nghỉ hưu.
revise	ôn lại; sửa lại	Hãy ôn lại bài luận của bạn tối nay.
risk	nguy cơ	Có nguy cơ mưa.
robot	rô-bốt	Rô-bốt đã lau sàn nhà.
roll	lăn	Lăn quả bóng cho tôi.
romantic	lãng mạn	Họ đã có một bữa tối lãng mạn.
rope	dây thừng	Buộc dây thừng thật chặt.
rough	gồ ghề	Con đường gồ ghề.
row1	hàng	Ngồi ở hàng ghế trước.
royal	hoàng gia	Gia đình hoàng gia đã đến.
rugby	bóng bầu dục	Chúng tôi xem bóng bầu dục trên truyền hình.
safety	sự an toàn	Sự an toàn quan trọng ở nơi làm việc.
sailor	thủy thủ	Thủy thủ sửa chiếc thuyền.
sample	mẫu	Y tá lấy một mẫu máu.
sand	cát	Cát phủ đầy giày của tôi.
scan	quét	Hãy quét tài liệu trước.
scientific	khoa học	Đây là một phương pháp khoa học.
script	kịch bản	Diễn viên đọc kịch bản.
sculpture	tác phẩm điêu khắc	Tác phẩm điêu khắc đứng bên ngoài.
secondary	thứ yếu	Đây là một vấn đề thứ yếu.
security	sự an ninh	An ninh kiểm tra túi của chúng tôi.
seed	hạt giống	Gieo hạt giống vào đất.
sensible	hợp lý	Đó là một ý tưởng hợp lý.
seriously	nghiêm túc	Hãy xem vấn đề này một cách nghiêm túc.
servant	người hầu	Người hầu mở cửa.
set (put)	đặt	Đặt cái ly lên bàn.
set (group)	bộ	Bộ này gồm sáu cái cốc.
setting	bối cảnh	Câu chuyện có bối cảnh thành phố.
sex	giới tính	Mẫu đơn hỏi tuổi và giới tính.
sexual	tình dục	Lớp học thảo luận về sức khỏe tình dục.
sharp	sắc	Con dao này rất sắc.
shelf	kệ	Đặt cuốn sách lên kệ.
shell	vỏ	Vỏ đó trống rỗng.
shift	ca làm	Ca làm của tôi bắt đầu lúc tám giờ.
shine	tỏa sáng	Các ngôi sao tỏa sáng vào ban đêm.
shiny	bóng	Đôi giày của cô ấy bóng loáng.
shoot	quay; chụp	Nhiếp ảnh gia sẽ chụp cảnh đó.
shy	nhút nhát	Anh ấy nhút nhát với người lạ.
sight	cảnh tượng	Ngọn núi là một cảnh tượng đẹp.
signal	tín hiệu	Tín hiệu yếu.
silent	im lặng	Căn phòng trở nên im lặng.
silly	ngớ ngẩn	Đó là một lỗi ngớ ngẩn.
similarity	sự tương đồng	Có một sự tương đồng rõ ràng.
similarly	tương tự	Kế hoạch thứ hai hoạt động tương tự.
simply	đơn giản	Chỉ cần nhấn nút này.
sink	chìm	Đá nặng chìm nhanh.
slice	lát	Tôi đã ăn một lát bánh.
slightly	hơi	Căn phòng hơi ấm hơn.
smart	bảnh bao	Cô ấy mặc một chiếc áo khoác bảnh bao.
smooth	êm; nhẵn	Con đường rất êm.
software	phần mềm	Phần mềm cần một bản cập nhật.
soil	đất	Đất khô.
solid	chắc chắn	Bức tường rất chắc chắn.
southern	phía nam	Họ sống ở bờ biển phía nam.
specifically	cụ thể	Tôi đã yêu cầu cụ thể trà.
spending	chi tiêu	Chi tiêu của chính phủ đã tăng.
spicy	có vị cay	Món cà ri này cay.
spirit	tinh thần	Đội bóng thể hiện tinh thần lớn.
spoken	nói	Tiếng Anh nói cải thiện nhờ luyện tập.
spot	chỗ	Chỗ này thật hoàn hảo.
spread	phết	Phết bơ lên bánh mì.
stadium	sân vận động	Sân vận động đã chật kín.
staff	nhân viên	Nhân viên rất hữu ích.
standard	tiêu chuẩn	Tiêu chuẩn rất cao.
statistic	số liệu thống kê	Số liệu thống kê này thật đáng ngạc nhiên.
statue	tượng	Bức tượng đứng trong quảng trường.
stick (push into/attach)	dán	Dán nhãn lên hộp.
stick (piece of wood)	cây gậy	Anh ấy nhặt một cây gậy lên.
