hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
2041:本地	本地	本地	místní	Tento obchod prodává hlavně místní ovoce.	miestny	Tento obchod predáva hlavne miestne ovocie.	helyi	Ez a bolt főleg helyi gyümölcsöt árul.	din partea locului; autohton	Acest magazin vinde în principal fructe locale.	местен	Този магазин продава предимно местни плодове.	lokalni	Ova trgovina uglavnom prodaje lokalno voće.
2046:比分	比分	比分	skóre	Na konci zápasu bylo skóre tři ku dvěma.	skóre	Na konci zápasu bolo skóre tri ku dvom.	eredmény; pontszám	A meccs végén az eredmény három kettő lett.	scor	La finalul meciului, scorul a fost trei la doi.	резултат	В края на мача резултатът беше три на две.	rezultat	Na kraju utakmice rezultat je bio tri prema dva.
2049:必	必	必	muset; určitě	Důležité dokumenty musí podepsat dotyčná osoba.	musieť; určite	Dôležité dokumenty musí podpísať príslušná osoba.	kell; bizonyosan	A fontos dokumentumokat az érintett személynek kell aláírnia.	trebuie; cu siguranță	Documentele importante trebuie semnate de persoana în cauză.	трябва; непременно	Важните документи трябва да бъдат подписани лично от съответния човек.	morati; sigurno	Važne dokumente mora potpisati dotična osoba.
2052:闭幕式	闭幕式	闭幕式	závěrečný ceremoniál	Závěrečný ceremoniál sportovních her se koná večer.	záverečný ceremoniál	Záverečný ceremoniál športových hier sa koná večer.	záróünnepség	A sportnap záróünnepségét este tartják.	ceremonie de închidere	Ceremonia de închidere a competiției sportive are loc seara.	церемония по закриване	Церемонията по закриване на спортното събитие се провежда вечер.	završna svečanost	Završna svečanost sportskih igara održava se navečer.
2054:必需	必需	必需	nezbytný; nutný	Voda a jídlo jsou na cestě nezbytné věci.	nevyhnutný; potrebný	Voda a jedlo sú počas cesty nevyhnutné veci.	nélkülözhetetlen; szükséges	Utazás közben a víz és az étel szükséges dolgok.	necesar; esențial	Apa și mâncarea sunt lucruri necesare în timpul călătoriei.	необходим; задължителен	Водата и храната са необходими неща по време на пътуване.	nužan; potreban	Voda i hrana nužne su stvari tijekom putovanja.
2057:变动	变动	变动	změna; úprava	Pracovní rozvrh na tento měsíc se změnil.	zmena; úprava	Pracovný rozvrh na tento mesiac má zmeny.	változás; módosítás	Ebben a hónapban változott a munkabeosztás.	schimbare; modificare	Programul de lucru din această lună are modificări.	промяна; изменение	В работния график за този месец има промени.	promjena; izmjena	Raspored rada za ovaj mjesec ima promjene.
2059:便利店	便利店	便利店	večerka; obchod se smíšeným zbožím	Večerka v přízemí je otevřená dvacet čtyři hodin.	večierka; obchod so zmiešaným tovarom	Večierka na prízemí je otvorená dvadsaťštyri hodín.	kisbolt; éjjel-nappali bolt	A lenti kisbolt huszonnégy órán át nyitva van.	magazin de proximitate	Magazinul de proximitate de la parter este deschis douăzeci și patru de ore.	денонощен магазин; квартален магазин	Магазинът долу работи двадесет и четири часа.	trgovina mješovitom robom; dućan	Trgovina u prizemlju otvorena je dvadeset četiri sata.
2067:饼	饼	饼	placka; koláč	Maminka mi ráno udělala vaječnou placku.	placka; koláč	Mama mi ráno urobila vaječnú placku.	lepény; sütemény	Anya reggel tojásos lepényt készített nekem.	lipie; prăjitură	Mama mi-a făcut dimineață o clătită cu ou.	питка; палачинка	Сутринта майка ми ми направи яйчена палачинка.	pogačica; kolač	Majka mi je ujutro napravila palačinku s jajem.
2068:病房	病房	病房	nemocniční pokoj; oddělení	Sestra odvedla pacienta na nemocniční pokoj.	nemocničná izba; oddelenie	Sestra priviedla pacienta na nemocničnú izbu.	kórterem	A nővér bevitte a beteget a kórterembe.	salon de spital	Asistenta a dus pacientul în salonul de spital.	болнична стая; отделение	Медицинската сестра отведе пациента в болничната стая.	bolnička soba; odjel	Medicinska sestra odvela je pacijenta u bolničku sobu.
2069:病情	病情	病情	zdravotní stav; průběh nemoci	Lékař řekl, že se jeho zdravotní stav už zlepšil.	zdravotný stav; priebeh choroby	Lekár povedal, že jeho zdravotný stav sa už zlepšil.	betegség állapota; kórállapot	Az orvos azt mondta, hogy az állapota már javult.	starea bolii; stare medicală	Medicul a spus că starea lui s-a îmbunătățit deja.	състояние на болестта; здравословно състояние	Лекарят каза, че състоянието му вече се е подобрило.	zdravstveno stanje; tijek bolesti	Liječnik je rekao da se njegovo stanje već poboljšalo.
2070:拨打	拨打	拨打	vytočit; zavolat	V případě požáru vytočte tísňové číslo.	vytočiť; zavolať	V prípade požiaru vytočte tiesňové číslo.	tárcsázni; hívni	Tűz esetén hívd a segélyhívó számot.	a forma; a suna	Dacă întâlniți un incendiu, sunați la numărul de urgență.	набирам; обаждам се	При пожар наберете аварийния номер.	birati; nazvati	U slučaju požara nazovite broj za hitne slučajeve.
2073:不利	不利	不利	nepříznivý; nevýhodný	Silný vítr je pro zápas nepříznivý.	nepriaznivý; nevýhodný	Silný vietor je pre zápas nepriaznivý.	kedvezőtlen; hátrányos	Az erős szél kedvezőtlen a mérkőzésre nézve.	nefavorabil; dezavantajos	Vântul puternic este nefavorabil pentru meci.	неблагоприятен; неизгоден	Силният вятър е неблагоприятен за състезанието.	nepovoljan; štetan	Jak vjetar nepovoljan je za utakmicu.
2074:不幸	不幸	不幸	nešťastný; neštěstí	V dětství měl jednu nešťastnou zkušenost.	nešťastný; nešťastie	V detstve mal jednu nešťastnú skúsenosť.	szerencsétlen; balszerencse	Gyermekkorában volt egy szerencsétlen élménye.	nefericit; nenorocire	În copilărie a avut o experiență nefericită.	нещастен; нещастие	В детството си той е имал едно нещастно преживяване.	nesretan; nesreća	U djetinjstvu je imao jedno nesretno iskustvo.
2078:不符	不符	不符	nesouhlasit; neodpovídat	Jméno na lístku neodpovídá dokladu.	nesúhlasiť; nezodpovedať	Meno na lístku nezodpovedá dokladu.	nem egyezik; nem felel meg	A jegyen szereplő név nem egyezik az igazolvánnyal.	a nu corespunde; nepotrivit	Numele de pe bilet nu corespunde cu actul de identitate.	не съответства; не съвпада	Името на билета не съвпада с документа.	ne odgovarati; ne podudarati se	Ime na karti ne podudara se s dokumentom.
2079:不良	不良	不良	špatný; škodlivý	Dlouhodobé ponocování je špatný zvyk.	zlý; škodlivý	Dlhodobé ponocovanie je zlý zvyk.	rossz; káros	A hosszú távú éjszakázás rossz szokás.	rău; dăunător	Statul treaz până târziu mult timp este un obicei rău.	лош; вреден	Дългото стоене до късно е лош навик.	loš; štetan	Dugotrajno ostajanje budnim do kasno loša je navika.
2081:步行	步行	步行	jít pěšky; chůze	Odtud do školy se dá jít pěšky.	ísť pešo; chôdza	Odtiaľto do školy sa dá ísť pešo.	gyalog menni; gyaloglás	Innen az iskoláig lehet gyalog menni.	a merge pe jos	De aici până la școală se poate merge pe jos.	вървя пеша; ходене пеша	Оттук до училището може да се отиде пеша.	ići pješice; hodati	Odavde do škole može se ići pješice.
2083:才2	才2	才	talent; schopnost	Už odmalička projevoval hudební talent.	talent; schopnosť	Už odmalička prejavoval hudobný talent.	tehetség; képesség	Már kiskorától megmutatkozott a zenei tehetsége.	talent; abilitate	De mic a arătat talent muzical.	талант; способност	Още от малък той проявяваше музикален талант.	talent; sposobnost	Od malih nogu pokazivao je glazbeni talent.
2087:彩色	彩色	彩色	barevný; vícebarevný	Děti nakreslily barevnou mapu.	farebný; viacfarebný	Deti nakreslili farebnú mapu.	színes; többszínű	A gyerekek színes térképet rajzoltak.	colorat; multicolor	Copiii au desenat o hartă colorată.	цветен; многоцветен	Децата нарисуваха цветна карта.	obojen; šaren	Djeca su nacrtala šarenu kartu.
2088:采用	采用	采用	přijmout; použít	Společnost se rozhodla přijmout nový způsob řízení.	prijať; použiť	Spoločnosť sa rozhodla prijať nový spôsob riadenia.	alkalmazni; elfogadni	A vállalat úgy döntött, hogy új irányítási módszert alkalmaz.	a adopta; a folosi	Compania a decis să adopte o nouă metodă de management.	приемам; използвам	Компанията реши да приеме нов метод на управление.	usvojiti; upotrijebiti	Tvrtka je odlučila usvojiti novi način upravljanja.
2090:餐饮	餐饮	餐饮	stravování; pohostinství	Stravovací zóna v tomto obchodním centru je v pátém patře.	stravovanie; pohostinstvo	Stravovacia zóna v tomto obchodnom centre je na piatom poschodí.	vendéglátás; étel-ital szolgáltatás	Ennek a bevásárlóközpontnak az étel-ital részlege az ötödik emeleten van.	alimentație publică; servicii de mâncare și băutură	Zona de mâncare și băuturi a acestui centru comercial este la etajul cinci.	ресторантьорство; храни и напитки	Зоната за храни и напитки в този мол е на петия етаж.	ugostiteljstvo; usluge hrane i pića	Zona s hranom i pićem u ovom trgovačkom centru nalazi se na petom katu.
2092:藏	藏	藏	schovat; skladovat	Schovala dárek do skříně.	schovať; skladovať	Schovala darček do skrine.	elrejteni; tárolni	A szekrénybe rejtette az ajándékot.	a ascunde; a depozita	Ea a ascuns cadoul în dulap.	скривам; съхранявам	Тя скри подаръка в шкафа.	sakriti; pohraniti	Sakrila je dar u ormar.
2095:测	测	测	měřit; testovat	Učitel nás požádal, abychom změřili teplotu vody.	merať; testovať	Učiteľ nás požiadal, aby sme zmerali teplotu vody.	mérni; tesztelni	A tanár megkért minket, hogy mérjük meg a víz hőmérsékletét.	a măsura; a testa	Profesorul ne-a cerut să măsurăm temperatura apei.	измервам; тествам	Учителят ни помоли да измерим температурата на водата.	mjeriti; testirati	Učitelj nas je zamolio da izmjerimo temperaturu vode.
2096:测试	测试	测试	testovat; test	Nový software se začne testovat zítra.	testovať; test	Nový softvér sa začne testovať zajtra.	tesztelni; teszt	Az új szoftver tesztelése holnap kezdődik.	a testa; test	Testarea noului software începe mâine.	тествам; тест	Тестването на новия софтуер започва утре.	testirati; test	Testiranje novog softvera počinje sutra.
2097:曾	曾	曾	kdysi; dříve	Kdysi pracoval tři roky v Pekingu.	kedysi; predtým	Kedysi pracoval tri roky v Pekingu.	valaha; korábban	Korábban három évig dolgozott Pekingben.	odată; anterior	El a lucrat cândva trei ani la Beijing.	някога; преди	Той някога е работил три години в Пекин.	nekoć; prije	Nekoć je tri godine radio u Pekingu.
2104:产	产	产	produkovat; rodit	Tento sad produkuje hlavně jablka.	produkovať; rodiť	Tento sad produkuje hlavne jablká.	termelni; szülni	Ez a gyümölcsös főleg almát terem.	a produce; a naște	Această livadă produce în principal mere.	произвеждам; раждам	Тази овощна градина произвежда основно ябълки.	proizvoditi; roditi	Ovaj voćnjak uglavnom proizvodi jabuke.
2105:产量	产量	产量	produkce; výnos	Letošní produkce obilí se zvýšila.	produkcia; výnos	Tohtoročná produkcia obilia sa zvýšila.	termelés; hozam	Az idei gabonatermés nőtt.	producție; randament	Producția de cereale din acest an a crescut.	продукция; добив	Добивът на зърно тази година се увеличи.	proizvodnja; prinos	Ovogodišnja proizvodnja žitarica se povećala.
2108:长处	长处	长处	silná stránka; přednost	Trpělivost je jeho silná stránka.	silná stránka; prednosť	Trpezlivosť je jeho silná stránka.	erősség; előny	A türelem az erőssége.	punct forte; calitate	Răbdarea este punctul lui forte.	силна страна; предимство	Търпението е неговата силна страна.	jaka strana; prednost	Strpljenje je njegova jaka strana.
2109:长度	长度	长度	délka	Délka tohoto lana je přesně vhodná.	dĺžka	Dĺžka tohto lana je presne vhodná.	hossz; hosszúság	Ennek a kötélnek a hossza éppen megfelelő.	lungime	Lungimea acestei frânghii este tocmai potrivită.	дължина	Дължината на това въже е точно подходяща.	duljina	Duljina ovog užeta baš je odgovarajuća.
2110:长久	长久	长久	dlouhotrvající; dlouhý	Skutečné přátelství může trvat dlouho.	dlhotrvajúci; dlhý	Skutočné priateľstvo môže trvať dlho.	tartós; hosszú ideig tartó	Az igazi barátság sokáig tarthat.	de durată; îndelungat	Prietenia adevărată poate dura mult timp.	дълготраен; продължителен	Истинското приятелство може да трае дълго.	dugotrajan; trajan	Pravo prijateljstvo može dugo trajati.
2111:长期	长期	长期	dlouhodobý	Dlouhodobé cvičení prospívá tělu.	dlhodobý	Dlhodobé cvičenie prospieva telu.	hosszú távú	A hosszú távú testmozgás jót tesz a testnek.	pe termen lung; îndelungat	Exercițiul pe termen lung este benefic pentru corp.	дългосрочен; продължителен	Продължителните упражнения са полезни за тялото.	dugoročan; dugotrajan	Dugoročno vježbanje dobro je za tijelo.
2115:长远	长远	长远	dlouhodobý; dalekosáhlý	Při rozhodování je třeba zvážit dlouhodobý dopad.	dlhodobý; ďalekosiahly	Pri rozhodovaní treba zvážiť dlhodobý vplyv.	hosszú távú; távlati	Döntéskor figyelembe kell venni a hosszú távú hatást.	pe termen lung; de perspectivă	Când iei o decizie, ia în considerare impactul pe termen lung.	дългосрочен; далечен	Когато вземаш решение, трябва да обмислиш дългосрочното влияние.	dugoročan; dalekosežan	Pri donošenju odluke treba razmotriti dugoročni utjecaj.
2117:超	超	超	překročit; předčit	Výdaje za tento měsíc překročily rozpočet.	prekročiť; predstihnúť	Výdavky za tento mesiac prekročili rozpočet.	meghaladni; túllépni	Az e havi kiadások meghaladták a költségvetést.	a depăși; a întrece	Cheltuielile din această lună au depășit bugetul.	надвишавам; превишавам	Разходите този месец надвишиха бюджета.	premašiti; nadmašiti	Troškovi ovog mjeseca premašili su proračun.
2118:超出	超出	超出	překročit; přesáhnout	Skutečné náklady přesáhly náš plán.	prekročiť; presiahnuť	Skutočné náklady presiahli náš plán.	meghaladni; túllépni	A tényleges költség meghaladta a tervünket.	a depăși; a trece dincolo	Costul real a depășit planul nostru.	надхвърлям; излизам извън	Реалните разходи надхвърлиха нашия план.	premašiti; izaći izvan	Stvarni trošak premašio je naš plan.
2120:超速	超速	超速	překročit rychlost; jet příliš rychle	Toto auto dostalo pokutu za překročení rychlosti.	prekročiť rýchlosť; ísť prirýchlo	Toto auto dostalo pokutu za prekročenie rýchlosti.	gyorshajtani; túllépni a sebességhatárt	Ezt az autót gyorshajtás miatt megbüntették.	a depăși viteza; a merge prea repede	Această mașină a fost amendată pentru viteză excesivă.	превишавам скоростта	Тази кола беше глобена за превишена скорост.	prekoračiti brzinu; voziti prebrzo	Ovaj je automobil kažnjen zbog prekoračenja brzine.
2124:车祸	车祸	车祸	dopravní nehoda	Ta dopravní nehoda nezpůsobila vážná zranění.	dopravná nehoda	Tá dopravná nehoda nespôsobila vážne zranenia.	közlekedési baleset	Az a közlekedési baleset nem okozott súlyos sérüléseket.	accident rutier	Acel accident rutier nu a provocat răni grave.	пътнотранспортно произшествие; катастрофа	Тази катастрофа не причини тежки наранявания.	prometna nesreća	Ta prometna nesreća nije uzrokovala teške ozljede.
2126:车辆	车辆	车辆	vozidlo	Cizím vozidlům je zakázán vjezd k bráně obytného komplexu.	vozidlo	Cudzím vozidlám je zakázaný vstup pri bráne obytného komplexu.	jármű	Idegen járművek nem hajthatnak be a lakópark kapujánál.	vehicul	Vehiculele din exterior nu au voie să intre pe poarta complexului rezidențial.	превозно средство; автомобил	Външни превозни средства нямат право да влизат през входа на комплекса.	vozilo	Vozilima izvana nije dopušten ulazak na ulaz u stambeni kompleks.
2128:车主	车主	车主	majitel auta	Majitel auta už kontaktoval pojišťovnu.	majiteľ auta	Majiteľ auta už kontaktoval poisťovňu.	autótulajdonos	Az autó tulajdonosa már felvette a kapcsolatot a biztosítóval.	proprietar de mașină	Proprietarul mașinii a contactat deja compania de asigurări.	собственик на кола	Собственикът на колата вече се свърза със застрахователната компания.	vlasnik automobila	Vlasnik automobila već je kontaktirao osiguravajuću kuću.
2130:沉	沉	沉	klesnout; potopit se	Kámen spadl do vody a rychle se potopil.	klesnúť; potopiť sa	Kameň spadol do vody a rýchlo sa potopil.	elsüllyedni; nehéz	A kő vízbe esett, és gyorsan elsüllyedt.	a se scufunda; greu	Piatra a căzut în apă și s-a scufundat repede.	потъвам; тежък	Камъкът падна във водата и бързо потъна.	potonuti; težak	Kamen je pao u vodu i brzo potonuo.
2134:称为	称为	称为	nazývat se	Tento druh čaje se místně nazývá jarní čaj.	nazývať sa	Tento druh čaju sa miestne nazýva jarný čaj.	nevezni; hívni	Ezt a fajta teát helyben tavaszi teának nevezik.	a fi numit	Acest tip de ceai este numit local ceai de primăvară.	наричам; нарича се	Този вид чай тук се нарича пролетен чай.	nazivati se	Ova vrsta čaja lokalno se naziva proljetni čaj.
2143:成年1	成年1	成年	stát se dospělým	Letos právě dospěl a může si vyřídit formality sám.	stať sa dospelým	Tento rok sa práve stal dospelým a môže si vybaviť formality sám.	nagykorúvá válni	Idén lett nagykorú, ezért egyedül intézheti az ügyeket.	a deveni adult	Anul acesta tocmai a devenit adult și poate rezolva formalitățile singur.	ставам пълнолетен	Тази година той току-що стана пълнолетен и може сам да урежда процедурите.	postati punoljetan	Ove je godine tek postao punoljetan i može sam obaviti postupke.
2144:城区	城区	城区	městská část; městský obvod	Ulice ve staré městské části jsou poměrně úzké.	mestská časť; mestský obvod	Ulice v starej mestskej časti sú pomerne úzke.	városi kerület; belterület	A régi városrész utcái viszonylag keskenyek.	cartier urban; zonă urbană	Străzile din vechiul cartier urban sunt relativ înguste.	градски район	Улиците в стария градски район са сравнително тесни.	gradska četvrt; urbano područje	Ulice u staroj gradskoj četvrti prilično su uske.
2149:乘务员	乘务员	乘务员	průvodčí; člen posádky	Průvodčí připomněl všem, aby si zapnuli bezpečnostní pásy.	sprievodca; člen posádky	Sprievodca všetkým pripomenul, aby si zapli bezpečnostné pásy.	utaskísérő; személyzet tagja	Az utaskísérő emlékeztetett mindenkit, hogy csatolja be a biztonsági övet.	însoțitor; membru al echipajului	Însoțitorul le-a amintit tuturor să-și pună centurile de siguranță.	стюард; служител в превоза	Служителят напомни на всички да закопчаят предпазните колани.	osoblje; član posade	Član osoblja podsjetio je sve da zavežu sigurnosne pojaseve.
2153:橙子	橙子	橙子	pomeranč	Tento pomeranč je sladký a velmi šťavnatý.	pomaranč	Tento pomaranč je sladký a veľmi šťavnatý.	narancs	Ez a narancs édes és nagyon lédús.	portocală	Această portocală este dulce și foarte zemoasă.	портокал	Този портокал е сладък и много сочен.	naranča	Ova naranča je slatka i vrlo sočna.
2154:池	池	池	jezírko; bazén	Na dvoře je malé jezírko.	jazierko; bazén	Na dvore je malé jazierko.	tó; medence	Az udvarban van egy kis tó.	iaz; bazin	În curte este un iaz mic.	езерце; басейн	В двора има малко езерце.	jezerce; bazen	U dvorištu je malo jezerce.
2159:充电	充电	充电	nabíjet	Telefonu skoro došla baterie a potřebuje nabít.	nabíjať	Telefónu sa takmer vybila batéria a treba ho nabiť.	tölteni	A telefon majdnem lemerült, fel kell tölteni.	a încărca	Telefonul este aproape descărcat și trebuie încărcat.	зареждам	Телефонът почти се е изтощил и трябва да се зареди.	puniti	Mobitel je skoro prazan i treba ga napuniti.
2162:充值	充值	充值	dobít; navýšit kredit	Dobyl jsem autobusovou kartu o sto jüanů.	dobiť; navýšiť kredit	Dobil som autobusovú kartu o sto jüanov.	feltölteni; egyenleget tölteni	Száz jüannal feltöltöttem a buszkártyámat.	a reîncărca; a alimenta contul	Mi-am încărcat cardul de autobuz cu o sută de yuani.	зареждам сметка; допълвам	Заредих автобусната си карта със сто юана.	nadoplatiti; napuniti račun	Nadoplatio sam autobusnu karticu sa sto juana.
2165:虫子	虫子	虫子	hmyz; brouček	V květináči je několik malých broučků.	hmyz; chrobáčik	V kvetináči je niekoľko malých chrobáčikov.	rovar; bogár	A virágcserépben van néhány kis bogár.	insectă; gânganie	În ghiveci sunt câteva gângănii mici.	насекомо; буболечка	В саксията има няколко малки буболечки.	kukac; insekt	U tegli za cvijeće ima nekoliko malih kukaca.
2167:抽	抽	抽	vytáhnout; kouřit; čerpat	Vytáhl z krabice jeden list papíru.	vytiahnuť; fajčiť; čerpať	Vytiahol z krabice jeden list papiera.	kihúzni; dohányozni; szivattyúzni	Kihúzott egy papírlapot a dobozból.	a scoate; a fuma; a pompa	El a scos o foaie de hârtie din cutie.	изваждам; пуша; изпомпвам	Той извади един лист хартия от кутията.	izvući; pušiti; crpiti	Izvukao je jedan list papira iz kutije.
2170:初	初	初	začátek; raný	Schůze je naplánována na začátek příštího měsíce.	začiatok; raný	Schôdza je naplánovaná na začiatok budúceho mesiaca.	eleje; korai	Az értekezletet a jövő hónap elejére tűzték ki.	început; timpuriu	Ședința este programată la începutul lunii viitoare.	начало; ранен	Срещата е насрочена за началото на следващия месец.	početak; rani	Sastanak je zakazan za početak sljedećeg mjeseca.
2173:初期	初期	初期	počáteční fáze	Projekt v počáteční fázi potřebuje více financí.	počiatočná fáza	Projekt v počiatočnej fáze potrebuje viac financií.	kezdeti szakasz	A projekt kezdeti szakaszában több pénzre van szükség.	etapă inițială	Proiectul are nevoie de mai multe fonduri în etapa inițială.	начален етап	В началния етап проектът се нуждае от повече средства.	početna faza	Projektu je u početnoj fazi potrebno više sredstava.
2175:出售	出售	出售	prodávat; nabízet k prodeji	Tento byt je právě na prodej.	predávať; ponúkať na predaj	Tento byt je práve na predaj.	eladni; eladásra kínálni	Ez a lakás jelenleg eladó.	a vinde; a oferi spre vânzare	Acest apartament este în prezent de vânzare.	продавам; предлагам за продажба	Този апартамент в момента се продава.	prodavati; ponuditi na prodaju	Ovaj je stan trenutačno na prodaju.
2177:出自	出自	出自	pocházet z; být z	Tato věta pochází z jedné staré knihy.	pochádzať z; byť z	Táto veta pochádza z jednej starej knihy.	származni; eredni	Ez a mondat egy régi könyvből származik.	a proveni din; a se trage din	Această propoziție provine dintr-o carte veche.	произлизам от; идва от	Това изречение е от една древна книга.	potjecati iz; dolaziti iz	Ova rečenica potječe iz jedne stare knjige.
2179:处	处	处	řešit; vypořádat se s	Právě řeší tento složitý problém.	riešiť; zaoberať sa	Práve rieši tento zložitý problém.	kezelni; megoldani	Éppen ezt a bonyolult problémát kezeli.	a trata; a gestiona	El se ocupă de această problemă complicată.	справям се с; обработвам	Той се занимава с този сложен проблем.	rješavati; nositi se s	Upravo rješava taj složeni problem.
2181:处于	处于	处于	být v; nacházet se v	Společnost je nyní ve fázi rychlého rozvoje.	byť v; nachádzať sa v	Spoločnosť je momentálne vo fáze rýchleho rozvoja.	valamiben van; helyezkedik el	A vállalat jelenleg gyors fejlődési szakaszban van.	a se afla în; a fi situat în	Compania se află în prezent într-o etapă de dezvoltare rapidă.	намирам се в; съм в	Компанията в момента се намира в етап на бързо развитие.	biti u; nalaziti se u	Tvrtka je trenutačno u fazi brzog razvoja.
2182:处	处	处	místo; lokalita	Tento starý dům už byl opraven.	miesto; lokalita	Tento starý dom už bol opravený.	hely; pont	Ezt a régi házat már megjavították.	loc; punct	Această casă veche a fost deja reparată.	място; обект	Тази стара къща вече е ремонтирана.	mjesto; lokacija	Ova stara kuća već je popravljena.
2183:传	传	传	předat; šířit	Prosím předejte tyto materiály všem.	odovzdať; šíriť	Prosím odovzdajte tieto materiály všetkým.	átadni; terjeszteni	Kérlek, add át ezt az anyagot mindenkinek.	a transmite; a răspândi	Vă rog să transmiteți aceste materiale tuturor.	предавам; разпространявам	Моля, предайте тези материали на всички.	prenijeti; širiti	Molim vas, proslijedite ove materijale svima.
2185:传递	传递	传递	předávat; zprostředkovat	Úsměv může předat přátelskou zprávu.	odovzdávať; sprostredkovať	Úsmev môže odovzdať priateľskú správu.	továbbítani; átadni	Egy mosoly barátságos üzenetet közvetíthet.	a transmite; a da mai departe	Un zâmbet poate transmite un mesaj prietenos.	предавам; препращам	Усмивката може да предаде приятелско послание.	prenositi; proslijediti	Osmijeh može prenijeti prijateljsku poruku.
