source_headword	DA	example_DA
attach	vedhæfte	Vedhæft filen til din e-mail.
attitude	en holdning	Hendes holdning ændrede sig efter mødet.
attract	tiltrække	Lyse blomster tiltrækker bier.
attraction	en attraktion	Slottet er en populær attraktion.
authority	en myndighed	Den lokale myndighed reparerede vejen.
aware	klar over	Hun er klar over risikoen.
backwards	baglæns	Han gik forsigtigt baglæns.
bake	bage	Jeg bager brød hver søndag.
balance	en balance	Gode sko hjælper din balance.
ban	forbyde	Byen vil forbyde biler.
bank (river)	en flodbred	Vi sad på flodbredden.
base	en base	Holdet vendte tilbage til basen.
basic	grundlæggende	Alle har brug for grundlæggende computerfærdigheder.
basis	et grundlag	Tillid er grundlaget for venskab.
battery	et batteri	Mit telefonbatteri er lavt.
battle	et slag	Slaget varede hele natten.
beauty	skønhed	Vi beundrede bjergenes skønhed.
bee	en bi	En bi landede på blomsten.
belief	en tro	Hans tro gav ham mod.
bell	en klokke	Skoleklokken ringede højt.
bend	bøje	Bøj knæene, når du løfter.
bite	bide	Hunden kan bide fremmede.
block	blokere	Et væltet træ blokerede vejen.
bomb	en bombe	Bomben beskadigede flere bygninger.
border	en grænse	De krydsede grænsen om natten.
bother	genere	Genér ikke din søster.
branch	en gren	En gren knækkede i stormen.
brand	et mærke	Dette mærke er populært blandt studerende.
brave	modig	Den modige mand reddede barnet.
breath	et åndedrag	Tag et dybt åndedrag.
breathe	trække vejret	Jeg kan ikke trække vejret i denne røg.
breathing	vejrtrækning	Hendes vejrtrækning var rolig.
bride	en brud	Bruden bar en hvid kjole.
bubble	en boble	En boble flød over glasset.
bury	begrave	De begravede kassen i sandet.
calm	rolig	Forbliv rolig under eksamen.
campaign	en kampagne	Kampagnen samlede penge ind til skoler.
campus	et campus	Studerende bor tæt på campus.
candidate	en kandidat	Hver kandidat svarede på tre spørgsmål.
cap	en kasket	Han bar en baseballkasket.
captain	en kaptajn	Kaptajnen talte til holdet.
careless	skødesløs	En skødesløs fejl kostede os tid.
category	en kategori	Vælg den rigtige kategori.
ceiling	et loft	Loftet var malet hvidt.
celebration	en fejring	Fejringen varede hele aftenen.
central	central	Hotellet har en central beliggenhed.
ceremony	en ceremoni	Ceremonien begyndte ved middagstid.
chain	en kæde	Hun bar en sølvkæde.
challenge	en udfordring	Dette projekt er en virkelig udfordring.
champion	en mester	Mesteren takkede sin træner.
channel	en kanal	Skift kanal, tak.
chapter	et kapitel	Læs næste kapitel i aften.
charge	en afgift	Der er ingen afgift for børn.
cheat	snyde	Snyd ikke til prøven.
cheerful	munter	Hun lød munter i morges.
chemical	kemisk	Den kemiske lugt var stærk.
chest	et bryst	Hans bryst gjorde ondt efter løb.
childhood	en barndom	Jeg husker mit barndomshjem.
claim	påstå	De påstår, at produktet er sikkert.
clause	en klausul	Denne klausul ændrer betydningen.
click	klikke	Klik på den blå knap.
client	en klient	Klienten bad om flere detaljer.
cloth	en klud	Tør bordet af med denne klud.
clue	et spor	Sporet hjalp os med at løse det.
coal	kul	Det gamle tog brugte kul.
coin	en mønt	Han fandt en mønt på gulvet.
collection	en samling	Hendes frimærkesamling er stor.
coloured	farvet	Hun bar et farvet tørklæde.
combine	kombinere	Kombinér melet og vandet.
commercial	reklame	Reklamepausen varede fem minutter.
commit	forpligte sig	Vi må forpligte os til planen.
communication	kommunikation	God kommunikation forhindrer fejl.
comparison	en sammenligning	Denne sammenligning er nyttig.
competitive	konkurrencepræget	Markedet er meget konkurrencepræget.
competitor	en konkurrent	Vores hovedkonkurrent sænkede priserne.
complaint	en klage	Hun indgav en klage over støj.
complex	kompleks	Instruktionerne er for komplekse.
concentrate	koncentrere sig	Jeg kan ikke koncentrere mig med musik på.
conclude	afslutte	Vi afslutter mødet nu.
conclusion	en konklusion	Hans konklusion virkede rimelig.
confident	selvsikker	Hun følte sig selvsikker før interviewet.
confirm	bekræfte	Bekræft venligst din e-mailadresse.
confuse	forvirre	Disse to navne forvirrer mig.
confused	forvirret	Jeg blev forvirret af kortet.
connection	en forbindelse	Internetforbindelsen er langsom.
consequence	en konsekvens	Mangel på søvn har en konsekvens.
consist	bestå	Måltidet består af tre retter.
consume	forbruge	Store biler forbruger mere brændstof.
consumer	en forbruger	Forbrugeren ønsker tydelig information.
contact	kontakt	Kontakt mig efter frokost.
container	en beholder	Læg suppen i en beholder.
content1	indhold	Kursets indhold er nyttigt.
continuous	kontinuerlig	Maskinen lavede en kontinuerlig lyd.
contrast	en kontrast	Kontrasten mellem dem er tydelig.
convenient	praktisk	Stationen er meget praktisk.
convince	overbevise	Hun overbeviste ham om at prøve igen.
costume	et kostume	Han bar et piratkostume.
cottage	et sommerhus	De lejede et lille sommerhus.
cotton	bomuld	Denne skjorte er lavet af bomuld.
countryside	landet	Vi gik gennem landet.
court	en domstol	Sagen kom for retten.
covered	dækket	Bordet var dækket med papirer.
cruel	grusom	Det var grusomt at grine.
cultural	kulturel	Museet tilbyder kulturelle arrangementer.
currency	en valuta	Den lokale valuta er euro.
current	nuværende	Den nuværende situation er vanskelig.
currently	i øjeblikket	Hun studerer i øjeblikket i udlandet.
curtain	et gardin	Luk gardinet om natten.
custom	en skik	Denne skik er meget gammel.
damage	skade	Stormen forårsagede alvorlig skade.
decade	et årti	De boede der i et årti.
decorate	dekorere	Vi dekorerer rummet sammen.
define	definere	Kan du definere dette begreb?
definite	bestemt	Vi har brug for et bestemt svar.
definition	en definition	Skriv definitionen i din notesbog.
deliver	levere	De leverer mad til vores hus.
departure	en afgang	Afgangstiden blev ændret.
despite	på trods af	På trods af regnen gik vi.
destination	en destination	Paris var deres endelige destination.
determine	afgøre	Prøver afgør dit niveau.
determined	beslutsom	Hun var beslutsom om at lykkes.
development	en udvikling	Byens udvikling var hurtig.
diagram	et diagram	Tegn et simpelt diagram.
diamond	en diamant	Ringen havde en lille diamant.
difficulty	en vanskelighed	Han havde svært ved at åbne døren.
directly	direkte	Tal direkte til mig.
dirt	snavs	Hans sko var dækket af snavs.
disadvantage	en ulempe	Den lange rejse er en ulempe.
disappointed	skuffet	Hun følte sig skuffet over resultatet.
disappointing	skuffende	Slutningen var skuffende.
discount	en rabat	Studerende får rabat her.
dislike	ikke kunne lide	Jeg kan ikke lide meget høj musik.
divide	dele	Del kagen i stykker.
documentary	en dokumentar	Vi så en dokumentar om rummet.
donate	donere	Mange mennesker donerer gammelt tøj.
doubt	tvivl	Jeg er ikke i tvivl om det.
dressed	klædt	Han var klædt i sort.
drum	en tromme	Trommen lød gennem rummet.
drunk	fuld	Chaufføren var fuld.
due	forfalden; skal afleveres	Rapporten skal afleveres i morgen.
dust	støv	Støv dækkede de gamle bøger.
duty	en pligt	Det er min pligt at hjælpe.
earthquake	et jordskælv	Jordskælvet beskadigede broen.
eastern	østlig	Den østlige kyst er blæsende.
economic	økonomisk	Landet står over for økonomiske problemer.
economy	en økonomi	Økonomien voksede i år.
edge	en kant	Stå væk fra kanten.
editor	en redaktør	Redaktøren tjekkede artiklen.
educate	uddanne	Skoler uddanner unge mennesker.
educated	uddannet	Hun er højt uddannet.
educational	lærerig	Spillet er lærerigt.
effective	effektiv	Denne medicin er effektiv.
effectively	effektivt	Hun forklarede reglen effektivt.
effort	en indsats	Din indsats gjorde en forskel.
election	et valg	Valgresultatet var tæt.
element	et element	Tillid er et vigtigt element.
embarrassed	flov	Han følte sig flov efter faldet.
embarrassing	pinlig	Det var en pinlig fejl.
emergency	en nødsituation	Ring til dette nummer i en nødsituation.
emotion	en følelse	Frygt er en stærk følelse.
employment	beskæftigelse	Beskæftigelsen steg denne måned.
encourage	opmuntre	Lærere opmuntrer elever til at læse.
enemy	en fjende	De to lande var fjender.
engaged	forlovet	De blev forlovet sidste forår.
engineering	ingeniørfag	Hun studerer ingeniørfag på universitetet.
entertain	underholde	Sangeren vil underholde gæsterne.
entertainment	underholdning	Byen tilbyder aftenunderholdning.
entrance	en indgang	Mød mig ved indgangen.
entry	adgang	Der er gratis adgang for børn.
environmental	miljømæssig	Vi diskuterede miljøproblemer.
episode	en episode	Den sidste episode var spændende.
equal	lig	De får lige løn.
equally	ligeligt	Arbejdet deles ligeligt.
escape	flygte	Fangerne forsøgte at flygte.
essential	afgørende	Vand er afgørende for livet.
eventually	til sidst	Til sidst fandt vi hotellet.
examine	undersøge	Lægen undersøgte min arm.
exchange	en ombytning	Vi lavede en ombytning i butikken.
excitement	spænding	Kampen var fuld af spænding.
exhibition	en udstilling	Kunstudstillingen åbner i morgen.
expand	udvide	Virksomheden planlægger at udvide.
expected	forventet	Den forventede pris er høj.
expedition	en ekspedition	Ekspeditionen krydsede ørkenen.
experienced	erfaren	Hun er en erfaren sygeplejerske.
explode	eksplodere	Flasken kan eksplodere i varme.
explore	udforske	Vi udforskede den gamle bydel.
explosion	en eksplosion	Eksplosionen knuste flere vinduer.
export	en eksportvare	Kaffe er en vigtig eksportvare.
fairly	ret	Prøven var ret let.
familiar	kendt	Hendes ansigt virkede kendt.
fancy	have lyst til	Har du lyst til en kop kaffe?
fascinating	fascinerende	Historien var fascinerende.
fashionable	moderigtig	De sko er moderigtige.
fasten	spænde	Spænd sikkerhedsselen.
favour	en tjeneste	Kan du gøre mig en tjeneste?
fence	et hegn	Hegnet omgiver haven.
fighting	kampe	Kampene stoppede ved daggry.
file	en fil	Gem filen, før du lukker.
financial	økonomisk	Hun har brug for økonomisk rådgivning.
fitness	kondition	Løb forbedrer din kondition.
fixed	fast	Prisen er fast.
flag	et flag	Flaget vajede over skolen.
flood	en oversvømmelse	Oversvømmelsen beskadigede mange hjem.
flour	mel	Tilsæt mel til skålen.
flow	flyde	Floden flyder gennem byen.
fold	folde	Fold papiret på midten.
folk	folke-	Folkemusik fyldte salen.
force	en kraft	Vinden havde stor kraft.
forever	for evigt	Jeg vil huske dette for evigt.
frame	en ramme	Billedet har brug for en ramme.
freeze	fryse	Vand vil fryse i løbet af natten.
frequently	ofte	Han besøger ofte sine forældre.
friendship	et venskab	Deres venskab varede i mange år.
frighten	skræmme	Høje lyde skræmmer babyen.
frightened	bange	Barnet så bange ud.
frightening	skræmmende	Stormen var skræmmende.
frozen	frossen	Søen var frossen.
fry	stege	Steg løgene i fem minutter.
fuel	brændstof	Bilen har brug for mere brændstof.
function	en funktion	Denne knap har én funktion.
fur	pels	Katten har blød pels.
garage	en garage	Bilen står i garagen.
gather	samle sig	Vi samlede os omkring bordet.
generally	generelt	Hun kommer generelt tidligt.
generation	en generation	Hver generation møder nye problemer.
generous	gavmild	Han er gavmild med sin tid.
gentle	blid	Brug en blid stemme.
gentleman	en herre	Herren åbnede døren.
ghost	et spøgelse	Historien nævner et spøgelse.
giant	kæmpe	En kæmpe skærm fyldte scenen.
glad	glad	Jeg er glad for, at du kom.
global	global	Klimaforandringer er et globalt problem.
glove	en handske	Jeg mistede én handske.
goods	varer	Varerne ankom sent.
grade	en karakter	Hun fik en høj karakter.
graduate	en nyuddannet	Han er nyuddannet.
grain	et korn	Et riskorn faldt ned.
grateful	taknemmelig	Jeg er taknemmelig for din støtte.
growth	vækst	Planten viste jævn vækst.
guard	en vagt	Vagten tjekkede vores billetter.
guilty	skyldig	Han følte sig skyldig over at lyve.
hang	hænge	Hæng din frakke her.
happiness	lykke	Penge kan ikke købe lykke.
hardly	næppe	Jeg kunne næppe høre dig.
headline	en overskrift	Overskriften fangede min opmærksomhed.
heating	opvarmning	Opvarmningen holdt op med at virke.
heavily	kraftigt	Det regnede kraftigt hele natten.
helicopter	en helikopter	En helikopter landede i nærheden.
highlight	fremhæve	Fremhæv venligst hovedideen.
highly	højt	Hun er højt respekteret.
hire	leje	Vi skal leje en bil.
historic	historisk	Vi besøgte en historisk bygning.
historical	historisk	Hun elsker historiske romaner.
honest	ærlig	Giv venligst et ærligt svar.
horrible	forfærdelig	Lugten var forfærdelig.
horror	gyser	Han kan lide gyserfilm.
host	en vært	Værten bød hver gæst velkommen.
