source_headword	PT-BR	example_PT-BR
means	o meio	O e-mail é o nosso principal meio de contato.
measurement	a medição	A medição estava ligeiramente errada.
melt	derreter	A neve vai derreter até o meio-dia.
military	militar	A base militar fechou no ano passado.
mineral	o mineral	O ferro é um mineral importante.
minimum	mínimo	A idade mínima é dezoito anos.
minister	o ministro	O ministro respondeu a perguntas difíceis.
minor	menor	O acidente causou danos menores.
minority	a minoria	Uma minoria se opôs à nova regra.
mission	a missão	A missão deles terminou com segurança.
mixed	misto / misturado	As notícias receberam reações mistas.
modify	modificar	Podemos modificar o design depois.
monitor	monitorar	A enfermeira vai monitorar a condição dele.
moral	moral	A história tem uma lição moral.
motor	o motor	O motor parou sem aviso.
mount	montar / instalar	Eles instalam câmeras perto da entrada.
multiple	múltiplo	Múltiplos fatores causaram o atraso.
multiply	multiplicar	Multiplique o número por dez.
mysterious	misterioso	Uma luz misteriosa apareceu lá fora.
neat	arrumado	A mesa dela está sempre arrumada.
nerve	o nervo	O ferimento danificou um nervo.
nevertheless	no entanto / mesmo assim	A tarefa foi difícil; no entanto, terminamos.
nightmare	o pesadelo	A jornada se tornou um pesadelo.
notion	a noção / a ideia	Rejeite a noção de que a mudança é impossível.
numerous	numeroso	Numerosos estudos apoiam esta ideia.
obey	obedecer	Os motoristas devem obedecer aos sinais.
objective	o objetivo	Nosso objetivo é reduzir o desperdício.
obligation	a obrigação	Os pais têm a obrigação de proteger as crianças.
observation	a observação	Sua observação mudou a discussão.
observe	observar	Os cientistas observam os pássaros a cada primavera.
obtain	obter	Você deve obter permissão por escrito.
occasionally	ocasionalmente	Ela ocasionalmente trabalha de casa.
offence	a ofensa	O comentário causou séria ofensa.
offend	ofender	Eu não quis ofender ninguém.
offensive	ofensivo	O cartaz continha linguagem ofensiva.
opening	a vaga / a abertura	A vaga de emprego atraiu muitos candidatos.
operate	operar / funcionar	A máquina pode operar automaticamente.
opponent	o oponente / o adversário	Seu oponente criticou a política.
oppose	opor-se	Muitos moradores se opõem ao plano.
opposed	oposto / contrário	Os grupos mantinham opiniões opostas.
opposition	a oposição	A proposta enfrentou forte oposição.
organ	o órgão	O coração é um órgão vital.
origin	a origem	A origem do incêndio é desconhecida.
otherwise	caso contrário / senão	Saia agora; caso contrário, você se atrasará.
outcome	o resultado	O resultado surpreendeu a todos.
outer	externo / exterior	A parede externa precisa de reparos.
outline	esboçar / resumir	Por favor, resuma seu argumento principal.
overall	geral / global	O resultado geral foi positivo.
owe	dever	Eu te devo um pedido de desculpas.
pace	o ritmo / o passo	Caminhe em um ritmo constante.
panel	o painel	O painel discutiu a política climática.
parliament	o parlamento	O parlamento aprovou a nova lei.
participant	o participante	Cada participante assinou o formulário.
partly	em parte / parcialmente	O atraso foi em parte nossa culpa.
passage	a passagem / o trecho	Leia a passagem antes de responder.
pension1	a pensão / a aposentadoria	Sua pensão o sustenta após a aposentadoria.
permanent	permanente	Eles precisam de uma solução permanente.
permit	permitir	As regras permitem visitas curtas.
perspective	a perspectiva	Tente ver a perspectiva dela.
phase	a fase	O projeto entrou em sua fase final.
phenomenon	o fenômeno	O fenômeno ocorre em muitas culturas.
philosophy	a filosofia	Sua filosofia valoriza a ação prática.
pile	a pilha	Uma pilha de papéis cobria a mesa.
pitch	o campo	O time preparou o campo com cuidado.
plain	claro	As instruções eram claras e diretas.
pointed	direto	Ele fez um comentário direto.
popularity	a popularidade	O cantor ganhou popularidade na internet.
pose	causar	A pergunta pode causar um problema.
possess	possuir	Poucos alunos possuem essa habilidade.
potential	o potencial	A ideia tem um potencial real.
praise	o elogio	O professor fez um elogio sincero.
pregnant	grávida	Ela está grávida de seis meses.
preparation	a preparação	Uma boa preparação reduz o estresse.
presence	a presença	A presença dele mudou o clima.
preserve	preservar	Devemos preservar este prédio histórico.
prime	principal	A principal causa foi o mau planejamento.
principle	o princípio	A decisão seguiu um princípio claro.
priority	a prioridade	A segurança é a nossa primeira prioridade.
privacy	a privacidade	Os clientes esperam privacidade online.
procedure	o procedimento	O procedimento leva trinta minutos.
proof	a prova	Precisamos de provas antes de agir.
proposal	a proposta	A proposta precisa de mais detalhes.
propose	propor	Eu proponho uma solução diferente.
prospect	a perspectiva	A perspectiva de fracasso os preocupou.
protection	a proteção	O capacete oferece proteção básica.
psychologist	o psicólogo	O psicólogo explicou os resultados do teste.
psychology	a psicologia	Ela estuda psicologia na universidade.
publication	a publicação	A publicação atraiu a atenção do público.
pupil	o aluno	Cada aluno recebeu um livro didático novo.
purchase	a compra	Eles compram suprimentos todos os meses.
pure	puro	A água estava pura e fria.
pursue	seguir	Ele vai seguir a carreira médica.
rank	o cargo	Ela ocupa um alto cargo.
rapid	rápido	O país viu um rápido crescimento.
rapidly	rapidamente	Os preços subiram rapidamente este ano.
raw	cru	O chef preparou vegetais crus.
realistic	realista	Defina um prazo realista.
reasonable	razoável	Esse parece um pedido razoável.
recall	lembrar	Eu me lembro de suas palavras exatas.
recover	recuperar-se	Ela vai se recuperar após o tratamento.
reduction	a redução	A redução economizou dinheiro.
regard	considerar	Muitas pessoas a consideram honesta.
regional	regional	O escritório regional fechou hoje.
register	inscrever-se	Por favor, inscreva-se antes da conferência.
regret	arrepender-se	Eu me arrependo da minha decisão anterior.
regulation	o regulamento	O novo regulamento afeta todos os motoristas.
relatively	relativamente	O exame foi relativamente fácil.
relevant	relevante	Escolha apenas os detalhes relevantes.
relief	o alívio	A notícia trouxe um grande alívio.
rely	depender	As crianças dependem do apoio dos adultos.
remark	a observação	O comentário dele encerrou a discussão.
representative	o representante	O representante se encontrou com trabalhadores locais.
reputation	a reputação	O hotel tem uma boa reputação.
requirement	o requisito	Experiência é um requisito básico.
rescue	resgatar	Eles resgatam pessoas de enchentes.
reserve	reservar	Nós reservamos lugares para os convidados.
resident	o residente	Cada morador recebeu um aviso.
resist	resistir	Tente resistir à pressão.
resolve	resolver	Eles resolveram a disputa pacificamente.
resort	o resort	O resort da ilha abriu em maio.
retain	reter	A empresa quer manter a equipe.
reveal	revelar	O relatório revelará a verdade.
revolution	a revolução	A revolução mudou o país.
reward	a recompensa	Trabalho duro merece uma recompensa.
rhythm	o ritmo	A música tem um ritmo constante.
rid	livrar-se	Livre-se daqueles arquivos velhos.
root	a raiz	A raiz do problema é dinheiro.
rub	esfregar	Esfregue a superfície com um pano.
rubber	a borracha	A vedação de borracha evita vazamentos.
rural	rural	Muitas escolas rurais precisam de apoio.
rush	apressar	Não apresse essa decisão.
satellite	o satélite	O satélite enviou novas imagens.
satisfied	satisfeito	O cliente parecia satisfeito.
satisfy	satisfazer	A resposta não o satisfez.
saving	a economia	A economia de energia reduz os custos mensais.
scale	a escala	A escala do dano foi enorme.
scheme	o programa	O programa ajuda jovens trabalhadores.
scream	o grito	Eles ouviram um grito lá fora.
sector	o setor	O setor de tecnologia está crescendo.
secure	trancar	Tranque a porta para protegê-la.
seek	buscar	Eles buscam conselhos de especialistas.
select	selecionar	Selecione a melhor opção.
selection	a seleção	A loja oferece uma ampla seleção.
self	o eu	Ela mostrou seu verdadeiro eu.
senior	sênior	Um médico sênior examinou o paciente.
sensitive	sensível	Este tópico é muito sensível.
sequence	a sequência	Siga a sequência de passos.
session	a sessão	A sessão de treinamento começa ao meio-dia.
settle	resolver	Eles resolvem a discussão rapidamente.
severe	severo	A tempestade causou enchentes graves.
shade	a sombra	Sente-se na sombra.
shadow	a sombra	Uma sombra cruzou a janela.
shallow	raso	O lago é raso aqui.
shame	a vergonha	Ele sentiu vergonha depois de mentir.
shelter	o abrigo	A escola forneceu abrigo de emergência.
shock	o choque	A decisão foi um choque.
shocked	chocado	Ela pareceu chocada com a notícia.
shooting	o tiroteio	O tiroteio aconteceu perto da estação.
shot	o arremesso	O arremesso vencedor surpreendeu a todos.
significant	significativo	A descoberta foi significativa.
significantly	significativamente	Os custos aumentaram significativamente no ano passado.
silence	o silêncio	A sala caiu em silêncio.
silk	a seda	O vestido era feito de seda.
sincere	sincero	Por favor, aceite meus sinceros agradecimentos.
slave	o escravo	A lei libertou todos os escravos.
slide	o escorregador	A criança desceu pelo escorregador.
slight	leve	Houve um leve atraso.
slip	escorregar	Não escorregue no chão molhado.
slope	a encosta	O caminho segue uma encosta íngreme.
solar	solar	A casa usa energia solar.
somewhat	um tanto	As instruções eram um tanto confusas.
soul	a alma	A música elevou a alma dela.
specialist	o especialista	O especialista examinou o paciente.
species	a espécie	Esta espécie vive perto de rios.
spiritual	espiritual	Ela descreveu uma experiência espiritual.
split	dividir	Eles dividiram a conta igualmente.
sponsor	patrocinar	A empresa vai patrocinar o evento.
stable	estável	O paciente está estável.
stare	encarar	Não encare estranhos.
status	o status	O status dele mudou do dia para a noite.
steady	constante	Mantenha uma velocidade constante.
steel	o aço	A ponte é feita de aço.
steep	íngreme	A colina é íngreme.
sticky	pegajoso	O chão parece pegajoso.
stiff	rígido	O ombro dele parecia rígido.
stock	o estoque	A loja não tem mais estoque.
stream	o riacho	Um pequeno riacho cruza o campo.
stretch	alongar	Alongue as pernas após o voo.
strict	rigoroso	A escola tem regras rigorosas.
strike	entrar em greve	Os trabalhadores podem entrar em greve amanhã.
struggle	ter dificuldade	Muitas famílias têm dificuldades com o aluguel.
submit	enviar	Envie o formulário até sexta-feira.
sum	a soma	A soma foi maior do que o esperado.
surgery	a cirurgia	A cirurgia durou duas horas.
surround	cercar	Árvores altas cercam a casa.
surrounding	circundante	A área circundante é silenciosa.
suspect	suspeitar	A polícia suspeita de um homem local.
swear	falar palavrão	Não fale palavrão na sala de aula.
sweep	varrer	Varra o chão antes que os convidados cheguem.
sympathy	a compaixão	Ela expressou compaixão pelas vítimas.
tale	o conto	A avó contou um conto estranho.
tank	o tanque	O tanque contém água limpa.
tear1	rasgar	Não rasgue o documento.
tear2	a lágrima	Uma lágrima rolou pelo rosto dela.
temporary	temporário	O escritório é um abrigo temporário.
therapy	a terapia	A fisioterapia ajudou na recuperação dele.
threat	a ameaça	A mensagem continha uma ameaça.
threaten	ameaçar	A tempestade pode ameaçar as plantações.
thus	assim	A estrada estava fechada; assim, nós esperamos.
tone	o tom	O tom dele soou calmo.
tough	difícil	A entrevista foi difícil.
transfer	transferir	Eles transferem dados todas as noites.
transform	transformar	A nova política transformará os serviços.
transition	a transição	A transição levou vários meses.
trial	o julgamento	O julgamento começa na próxima semana.
tropical	tropical	Tempestades tropicais são comuns aqui.
truly	realmente	Eu realmente aprecio sua ajuda.
trust	a confiança	A confiança leva tempo para ser construída.
tune	a melodia	A banda tocou uma melodia alegre.
tunnel	o túnel	O túnel passa sob o rio.
ultimately	no final das contas	No final das contas, o plano foi bem-sucedido.
unconscious	inconsciente	O paciente permaneceu inconsciente.
unexpected	inesperado	O atraso foi inesperado.
unique	único	Cada design é único.
universe	o universo	O universo está em expansão.
unknown	desconhecido	O nome permanece desconhecido.
upper	superior	A prateleira superior está vazia.
upwards	para cima	A fumaça se moveu para cima.
urban	urbano	As áreas urbanas precisam de melhor transporte.
urge	incentivar	Os médicos incentivam as pessoas a se exercitarem.
vary	variar	Os preços variam por região.
vast	vasto	O deserto cobre uma vasta área.
venue	o local	O local comporta quinhentas pessoas.
via	via	Envie o documento via e-mail.
victory	a vitória	O time comemorou sua vitória.
violence	a violência	A cidade sofreu com a violência política.
virtual	virtual	A reunião é virtual.
vision	a visão	A visão dela moldou a empresa.
visual	visual	O relatório inclui exemplos visuais.
vital	vital	A água é vital para a vida.
vitamin	a vitamina	As laranjas contêm vitamina C.
volume	o volume	Abaixe o volume.
wage	o salário	Os trabalhadores exigiram um salário maior.
weakness	a fraqueza	O plano tem uma fraqueza.
wealth	a riqueza	A riqueza dele veio do comércio.
wealthy	rico	A família rica financiou o museu.
whereas	enquanto que	Ela gosta de chá, enquanto que eu prefiro café.
wherever	onde quer que	Sente-se onde quer que se sinta confortável.
whisper	sussurrar	Por favor, sussurre durante a cerimônia.
whom	quem	Quem você convidou?
widely	amplamente	O livro é amplamente lido.
wildlife	a vida selvagem	O parque protege a vida selvagem local.
willing	disposto	Ela está disposta a ajudar.
wind2	enrolar	Enrole o cabo no carretel.
wire	o fio	O fio conecta os dois dispositivos.
wise	sábio	Essa foi uma escolha sábia.
witness	a testemunha	Uma testemunha descreveu o acidente.
wound	a ferida	Limpe a ferida com cuidado.
wrap	embrulhar	Embrulhe o presente em papel.
zone	a zona	Esta zona está fechada para o trânsito.
