source_headword	RO	example_RO
structural	structural	Podul are daune structurale.
stumble	a se împiedica	El s-a împiedicat pe scări.
stun	a uimi	Vestea îi poate șoca pe oameni.
submission	depunerea	Termenul limită pentru depunere a trecut.
subscriber	abonatul	Fiecare abonat primește actualizări.
subscription	abonamentul	Abonamentul se reînnoiește automat.
subsidy	subvenția	Subvenția a redus costurile combustibilului.
substantial	substanțial	Proiectul are nevoie de finanțare substanțială.
substantially	substanțial	Prețul a crescut substanțial.
substitute	înlocuitorul	Folosiți laptele ca înlocuitor.
substitution	înlocuirea	Înlocuirea a schimbat rețeta.
subtle	subtil	Pictura are detalii subtile.
suburban	suburban	Ei s-au mutat într-o zonă suburbană.
succession	succesiunea	Criza a urmat unei succesiuni de eșecuri.
successive	succesiv	Guvernele succesive au ignorat problema.
successor	succesorul	Succesorul va începe luni.
suck	a aspira	Aparatul poate aspira praful.
sue	a da în judecată	Ea a decis să dea compania în judecată.
suicide	sinuciderea	Prevenirea sinuciderii are nevoie de finanțare susținută.
suite	apartamentul	Apartamentul hotelului avea vedere spre râu.
summit	summitul	Liderii s-au întâlnit la summit.
superb	superb	Reprezentația a fost superbă.
superior	superior	Noul model este superior.
supervise	a supraveghea	Ea îi va supraveghea pe stagiari.
supervision	supravegherea	Copiii au nevoie de supravegherea unui adult.
supervisor	supervizorul	Întrebați-vă mai întâi supervizorul.
supplement	suplimentul	Raportul include un supliment.
supportive	de susținere	Familia ei a fost solidară.
supposedly	chipurile	Se presupune că fișierul a fost șters.
suppress	a reprima	Regimul a încercat să reprime protestele.
supreme	suprem	Curtea supremă a judecat cazul.
surge	supratensiunea	O supratensiune bruscă a avariat echipamentul.
surgical	chirurgical	Pacientul are nevoie de tratament chirurgical.
surplus	surplusul	Depozitul are un surplus.
surrender	a se preda	Soldații au fost de acord să se predea.
surveillance	supravegherea	Camerele de supraveghere au înregistrat intrarea.
suspension	suspendarea	Suspendarea a durat două săptămâni.
suspicion	suspiciunea	Comportamentul lui a stârnit suspiciuni.
suspicious	suspect	Pachetul părea suspect.
sustain	a susține	Proiectul poate susține locurile de muncă locale.
swing	a se legăna	Ușa a început să se legene.
sword	sabia	Sabia atârna pe perete.
symbolic	simbolic	Gestul a fost simbolic.
syndrome	sindromul	Sindromul afectează memoria.
synthesis	sinteza	Capitolul oferă o sinteză.
systematic	sistematic	Evaluarea a fost sistematică.
tactic	tactica	Tactica a eșuat rapid.
tactical	tactic	Echipa a făcut o schimbare tactică.
taxpayer	contribuabilul	Banii contribuabililor au finanțat podul.
tempt	a tenta	Oferta i-ar putea tenta pe investitori.
tenant	chiriașul	Chiriașul a plătit chiria devreme.
tender	tandru	Ea a oferit un zâmbet tandru.
tenure	mandatul	Mandatul său a durat șase ani.
terminal	terminal	Pacientul avea o boală terminală.
terminate	a rezilia	Compania poate rezilia contractul.
terrain	terenul	Terenul a fost dificil.
terrific	grozav	Priveliștea a fost grozavă.
testify	a depune mărturie	Ea a fost de acord să depună mărturie.
testimony	mărturia	Mărturia lui a fost detaliată.
texture	textura	Țesătura are o textură aspră.
thankfully	din fericire	Din fericire, nimeni nu a fost rănit.
theatrical	teatral	Discursul a sunat teatral.
theology	teologia	El a studiat teologia la universitate.
theoretical	teoretic	Modelul este pur teoretic.
thereafter	după aceea	După aceea, regulile s-au schimbat.
thereby	astfel	Schimbarea a redus costurile, salvând astfel locuri de muncă.
thoughtful	chibzuit	Răspunsul ei a fost chibzuit.
thought-provoking	care dă de gândit	Articolul a dat de gândit.
thread	ața	Ața s-a rupt ușor.
threshold	pragul	Votul a trecut pragul.
thrilled	încântat	A fost încântată de veste.
thrive	a prospera	Micile afaceri pot prospera aici.
tide	mareea	Mareea a crescut rapid.
tighten	a strânge	Strângeți capacul ferm.
timber	cheresteaua	Casa folosește cherestea locală.
timely	la timp	Avertismentul a fost la timp.
tobacco	tutunul	Vânzările de tutun au scăzut.
tolerance	toleranța	Politica încurajează toleranța.
tolerate	a tolera	Nu putem tolera abuzul.
toll	bilanțul	Furtuna a avut un bilanț greu.
top	a depăși	Vânzările ar putea depăși recordul de anul trecut.
torture	tortura	Tratatul interzice tortura cu desăvârșire.
