simplified	PT	example_PT
出示	mostrar; apresentar	Por favor, apresenta o teu passaporte.
出席	participar; estar presente	Ele vai participar na reunião.
初级	elementar; inicial	Estou a estudar chinês numa turma inicial.
除非	a menos que; só se	A menos que chova, amanhã vamos fazer uma caminhada na montanha.
除夕	a véspera de Ano Novo	Na véspera de Ano Novo, a nossa família janta toda junta.
处理	tratar; lidar com	Eu vou tratar deste problema.
传播	espalhar; divulgar	Esta notícia espalhou-se muito depressa.
传染	contagiar; contagioso	As constipações transmitem-se facilmente.
传说	a lenda	Isto é uma lenda antiga.
传统	a tradição; tradicional	A Festa da Primavera é uma festa tradicional chinesa.
窗帘	a cortina	Por favor, abre as cortinas.
闯	avançar à força; infringir sem querer	Ele passou sem querer um sinal vermelho.
创造	criar	As pessoas criaram novas ferramentas.
吹	soprar	O vento está a soprar com força.
词汇	o vocabulário	Esta palavra de vocabulário é muito usada.
辞职	demitir-se	Ele decidiu demitir-se.
此外	além disso	Além disso, tenho mais uma pergunta.
刺激	estimulante; emocionante	Este jogo é muito emocionante.
次要	secundário	Este problema é secundário.
匆忙	apressado; à pressa	Ele saiu de casa à pressa.
从此	a partir daí; desde então	A partir daí, ele passou a fazer exercício todos os dias.
从而	assim; desse modo	Ele estudou muito e assim passou no exame.
从前	antigamente; dantes	Antigamente não havia metro aqui.
从事	dedicar-se a; trabalhar em	Ela trabalha na área da educação.
粗糙	áspero; grosseiro	Esta folha de papel é muito áspera.
促进	promover; favorecer	O exercício favorece a saúde.
促使	levar a; motivar	Este assunto levou-o a mudar o plano.
醋	o vinagre	Puseram vinagre no prato.
催	apressar; insistir	A mãe apressou-me para sair depressa.
存在	existir	Este problema ainda existe.
措施	a medida	A escola tomou medidas de segurança.
答应	concordar; prometer	Ele concordou em ajudar-me.
达到	alcançar; atingir	As notas dele atingiram o padrão.
打工	trabalhar a tempo parcial; fazer biscates	Durante as férias de verão, ele trabalha a tempo parcial num restaurante.
打交道	lidar com; tratar com	Lido frequentemente com clientes.
打喷嚏	espirrar	Ele está constipado e não para de espirrar.
打听	perguntar por; informar-se sobre	Queria informar-me sobre bilhetes de comboio.
大方	generoso; elegante	Ela é muito generosa a gastar dinheiro.
大厦	o edifício grande; a torre	Aquele edifício é muito alto.
大象	o elefante	As crianças estão a ver elefantes no jardim zoológico.
大型	de grande escala	Aqui vai ser construído um grande centro comercial.
呆	ficar; parvo; apático	Ele fica em casa a ler.
代表	representar; o representante	Esta flor representa a amizade.
代替	substituir; em vez de	Hoje vou à reunião no lugar dele.
待遇	as condições; o tratamento	As condições desta empresa são boas.
贷款	o empréstimo	Eles pediram um empréstimo para a casa.
单纯	simples; puro	A ideia dela é muito simples.
单调	monótono	Este trabalho é um pouco monótono.
单独	sozinho; a sós	Quero falar contigo a sós.
单位	a unidade; a instituição	Ele trabalha numa instituição pública.
单元	a unidade	Hoje estamos a estudar a terceira unidade.
担任	assumir; desempenhar	Ela é a responsável por esta atividade.
耽误	atrasar; desperdiçar tempo	Não desperdices o tempo de todos.
胆小鬼	o cobarde	Não lhe chames cobarde.
淡	fraco; sem sabor	Esta sopa está um pouco sem sabor.
当地	local	As pessoas locais gostam todas deste mercado.
当心	ter cuidado; cuidado	A estrada está escorregadia, tem cuidado.
挡	bloquear; impedir	Este carro está a bloquear a entrada.
倒霉	ter azar; azarado	Hoje tive mesmo azar: perdi o telemóvel.
导演	o realizador; realizar	Este realizador é muito famoso.
导致	causar; levar a	A chuva forte causou um engarrafamento.
岛屿	a ilha	Este país tem muitas ilhas.
到达	chegar	O comboio chegou a Xangai a horas.
道德	a moral; a ética	Uma pessoa deve ter princípios morais.
道理	a razão; o sentido	O que ele disse faz muito sentido.
登记	registar-se; fazer o registo	Por favor, faz primeiro o registo na receção.
等待	esperar	Estamos à espera do resultado.
等于	ser igual a	Cinco mais cinco é igual a dez.
滴	a gota; pingar	Uma gota de água caiu na mesa.
敌人	o inimigo	Eles não são inimigos.
的确	de facto; realmente	Este assunto é de facto muito importante.
地道	autêntico; genuíno	Ele fala um dialeto de Pequim autêntico.
地理	a geografia	Tenho muito interesse pela geografia da China.
地区	a região; a zona	Esta região é muito fria no inverno.
地毯	o tapete	Há um tapete estendido na sala de estar.
地位	a posição; o estatuto	A educação tem uma posição importante na sociedade.
地震	o terramoto	Ontem à noite houve aqui um terramoto.
递	entregar; passar	Por favor, entrega esta carta ao professor.
点心	o lanche; o doce	À tarde comemos um lanche.
电池	a pilha; a bateria	Este brinquedo precisa de duas pilhas.
电台	a estação de rádio	Ele faz um programa numa estação de rádio.
钓	pescar	O avô gosta de ir pescar à beira-rio.
顶	o topo; classificador para chapéus	Ele pôs um chapéu preto.
冻	congelar; estar gelado	Lá fora está tanto frio que a água congelou.
动画片	o desenho animado; a animação	As crianças estão a ver desenhos animados.
洞	o buraco; a gruta	Há um pequeno buraco na parede.
豆腐	o tofu	Este prato de tofu é muito saboroso.
逗	brincar com; fazer rir	As palavras dele fizeram todos rir.
独立	independente; a independência	Ela quer viver de forma independente.
独特	único; particular	Esta cidade tem uma cultura única.
度过	passar; atravessar	Passámos as férias à beira-mar.
断	partir-se; cortar-se	Esta corda partiu-se.
堆	amontoar; a pilha	Há muitos documentos amontoados na mesa.
兑换	trocar; cambiar	Queria trocar alguns renminbi.
对比	comparar; o contraste	Por favor, compara estes dois planos.
对待	tratar; o tratamento	Devemos tratar todos de forma justa.
对方	a outra parte	Por favor, ouve primeiro a opinião da outra parte.
对手	o adversário; o rival	O adversário dele é muito forte.
对象	o objeto; o alvo; o parceiro	Os participantes da investigação são estudantes universitários.
吨	a tonelada	Este camião consegue transportar três toneladas de mercadoria.
蹲	agachar-se	Ele está agachado no chão à procura das chaves.
顿	classificador para refeições; pausa	Jantámos juntos.
多亏	graças a; felizmente	Graças à tua ajuda, consegui concluir a tarefa.
多余	desnecessário; excedente	Esta frase é desnecessária.
朵	classificador para flores	Há uma flor em cima da mesa.
躲藏	esconder-se	O gatinho está escondido debaixo da cama.
恶劣	mau; péssimo	O tempo hoje está péssimo.
耳环	o brinco	Ela está a usar um par de brincos.
发表	publicar; expressar	Ele expressou a sua opinião na reunião.
发愁	preocupar-se; afligir-se	Não te preocupes com esta coisa pequena.
发达	desenvolvido; próspero	Os transportes desta cidade são muito desenvolvidos.
发抖	tremer	Ele está sempre a tremer de frio.
发挥	usar; pôr em prática	Por favor, usem a vossa imaginação.
发明	inventar; a invenção	A lâmpada elétrica é uma invenção importante.
发票	a fatura	Por favor, passa-me uma fatura.
发言	falar; intervir	Ele falou na reunião.
罚款	a multa; multar	Estacionar ilegalmente dá multa.
法院	o tribunal	Este caso foi entregue ao tribunal.
翻	virar; folhear	Por favor, abre o livro na página dez.
繁荣	próspero; prosperar	A economia está a prosperar gradualmente.
反而	pelo contrário; em vez disso	Ele não ficou zangado; pelo contrário, riu-se.
反复	repetidamente	Esta frase tem de ser praticada repetidamente.
反应	a reação; reagir	A reação dele é rápida.
反映	refletir	Este relatório reflete a situação real.
反正	de qualquer modo; seja como for	De qualquer modo, amanhã tenho tempo.
范围	o âmbito; o alcance	Por favor, não ultrapasses este âmbito.
方	quadrado; lado	Por favor, desenha um quadrado no papel.
方案	o plano; a proposta	Este plano é bastante razoável.
方式	a forma; o modo	Esta forma de estudar é muito eficaz.
妨碍	atrapalhar; impedir	Por favor, não atrapalhes o trabalho dos outros.
仿佛	parecer; como se	Ele parece saber tudo.
非	não; sem; ter de	Este assunto não pode ser feito sem ti.
肥皂	o sabonete; o sabão	Usa sabonete quando lavares as mãos.
废话	disparate; conversa inútil	Chega de conversa inútil, começa depressa.
分别	separar-se; distinguir	Eles despediram-se na estação.
分布	distribuir-se; a distribuição	Estas lojas estão distribuídas por toda a cidade.
分配	atribuir; distribuir	O professor atribuiu uma nova tarefa.
分手	separar-se; terminar a relação	Eles separaram-se no ano passado.
分析	analisar; a análise	Precisamos de analisar as razões.
纷纷	um após outro	Todos manifestaram concordância um após outro.
奋斗	lutar; esforçar-se	Os jovens devem lutar pelos seus sonhos.
疯狂	louco; frenético	Os adeptos aplaudiram freneticamente.
风格	o estilo	O estilo deste restaurante é muito especial.
风景	a paisagem	A paisagem na montanha é bonita.
风俗	o costume	Cada lugar tem os seus próprios costumes.
风险	o risco	Investir envolve um certo risco.
讽刺	satirizar; a ironia	Este artigo satirizou problemas sociais.
否定	negar; a negação	Ele negou esta afirmação.
否认	negar	Ele negou ter cometido um erro.
幅	classificador para quadros; largura	Há um quadro pendurado na parede.
扶	amparar; ajudar	Por favor, ajuda os idosos a atravessar a estrada.
服装	o vestuário; a roupa	Esta loja vende roupa infantil.
辅导	dar explicações; orientar	O professor dá explicações aos alunos depois da aula.
复制	copiar; duplicar	Por favor, copia este documento.
妇女	as mulheres	Este hospital presta serviços a mulheres.
改革	reformar; a reforma	A escola está a realizar uma reforma do ensino.
改进	melhorar	Precisamos de melhorar a qualidade do serviço.
改善	melhorar	O exercício pode melhorar o sono.
改正	corrigir	Por favor, corrige os erros a tempo.
概括	resumir; generalizar	Por favor, faz um resumo do conteúdo do artigo.
概念	o conceito	Este conceito não é muito fácil de compreender.
盖	tapar; a tampa	Por favor, tapa bem o copo.
干脆	simplesmente; direto	Sendo assim, hoje é melhor não ires.
干燥	seco	O inverno no norte é muito seco.
感激	estar grato; agradecer	Estou muito grato pela tua ajuda.
感受	o sentimento; sentir	Consigo compreender os teus sentimentos.
感想	a impressão; a reflexão	Por favor, fala um pouco das tuas impressões.
赶紧	despachar-se; rapidamente	Está a ficar tarde, despacha-te e vamos embora.
赶快	depressa; imediatamente	Fecha a porta depressa.
干活儿	trabalhar; fazer trabalho manual	Ele está a trabalhar no pátio.
钢铁	o aço	Esta ponte é feita de aço.
高档	de gama alta; requintado	Este é um hotel de gama alta.
高级	avançado; de alto nível	Ela entrou numa turma avançada de chinês.
搞	fazer; organizar	Que tipo de atividade estás a organizar?
告别	despedir-se	Despedimo-nos do amigo no aeroporto.
格外	especialmente; particularmente	O céu hoje está especialmente azul.
隔壁	ao lado; o vizinho	Um professor mora ao lado.
个别	alguns; individual	Alguns alunos ainda não entregaram os trabalhos.
个人	pessoal; individual	Esta é a minha opinião pessoal.
个性	a personalidade	Ela tem muita personalidade.
各自	cada um; respetivo	Cada um conclui a sua própria tarefa.
根	a raiz; classificador para objetos compridos	Há um fio debaixo da mesa.
根本	fundamental; de todo	Este problema não é difícil de todo.
公布	anunciar; tornar público	A escola anunciou os resultados do exame.
公开	público; tornar público	Esta reunião é pública.
公平	justo	A competição deve ser justa.
公寓	o apartamento	Ela arrendou um apartamento pequeno.
公元	era comum; depois de Cristo	Este ano é 2026 da era comum.
公主	a princesa	A menina gosta de histórias de princesas.
功能	a função	Este programa informático tem muitas funções.
工厂	a fábrica	Esta fábrica produz carros.
工程师	o engenheiro	O meu irmão mais velho é engenheiro.
工具	a ferramenta	Reparar uma bicicleta exige ferramentas.
工人	o trabalhador	Os trabalhadores estão a reparar a estrada.
工业	a indústria	Esta cidade baseia-se sobretudo na indústria.
恭喜	parabéns	Parabéns por teres passado no exame.
贡献	contribuir; a contribuição	Ele fez uma contribuição para a empresa.
沟通	comunicar; a comunicação	Uma boa comunicação é muito importante.
构成	formar; constituir	Estas partes formam um todo.
姑姑	a tia paterna	No fim de semana vou visitar a minha tia.
姑娘	a rapariga; a jovem	Aquela jovem é muito prestável.
古代	a antiguidade; os tempos antigos	Na antiguidade não havia telemóveis.
古典	clássico	Gosto de música clássica.
股票	a ação; as ações	Ele comprou algumas ações.
骨头	o osso	Este osso é muito duro.
鼓舞	encorajar; animador	Esta notícia é muito animadora.
鼓掌	aplaudir	O público aplaudiu os atores.
固定	fixo; regular	Tenho um horário de trabalho fixo.
挂号	registar-se; marcar consulta	Antes de consultar o médico, é preciso fazer o registo.
乖	bem-comportado; obediente	Esta criança é muito bem-comportada.
拐弯	virar; fazer a curva	Vira à direita no cruzamento à frente.
怪不得	não admira	Não admira que estejas tão cansado.
关闭	fechar; desligar	Por favor, desliga o computador antes de saíres.
官	o funcionário público; o oficial	Ele é um jovem funcionário público.
观察	observar	O médico está a observar o estado do doente.
观点	o ponto de vista	Concordo com o teu ponto de vista.
观念	a ideia; a noção	As ideias dos jovens estão a mudar.
管子	o tubo; o cano	Este cano está a perder água.
冠军	o campeão; o título de campeão	Ela ganhou o título de campeã na competição.
光滑	liso; macio	A superfície desta mesa é muito lisa.
光临	visitar; honrar com a presença	Esperamos recebê-lo novamente.
光明	luminoso; promissor	O futuro é promissor.
光盘	o disco; o CD	Por favor, guarda os materiais no disco.
广场	a praça	Há muitas pessoas na praça.
广大	amplo; numeroso	Esta notícia foi bem recebida por muitos estudantes.
广泛	amplo; extenso	Este livro tem uma influência ampla.
归纳	resumir; sintetizar	O professor ajudou-nos a resumir os pontos principais.
规矩	a regra; os bons modos	As crianças devem conhecer as regras.
规律	a regularidade; o ritmo	A vida deve ter um ritmo regular.
规模	a escala; a dimensão	Esta empresa tem uma grande dimensão.
规则	a regra	As regras da competição são muito claras.
柜台	o balcão	Por favor, paga no balcão.
滚	ferver; rolar	A água já está a ferver.
锅	a panela	Há sopa quente na panela.
国庆节	o Dia Nacional	No Dia Nacional temos feriado.
国王	o rei	O rei vive no palácio.
果然	como esperado; de facto	Como esperado, ele chegou a horas.
果实	o fruto; o resultado	A árvore está cheia de frutos.
过分	excessivo	O pedido dele é um pouco excessivo.
过敏	ser alérgico; a alergia	Sou alérgico ao pólen.
过期	expirar; passar da validade	Esta garrafa de leite já passou da validade.
哈	ha; ah	Ah, finalmente compreendi.
海关	a alfândega	Fizemos fila na alfândega para a inspeção.
海鲜	o marisco; os frutos do mar	O marisco deste restaurante é muito fresco.
喊	gritar	Não grites alto na sala de aula.
行业	o setor; a indústria	O setor do turismo está a desenvolver-se rapidamente.
豪华	luxuoso	Eles estão hospedados num hotel luxuoso.
好客	hospitaleiro	As pessoas locais são muito hospitaleiras.
好奇	curioso	As crianças são muito curiosas sobre o mundo.
何必	para quê; não há necessidade	Para quê zangar-te por uma coisa pequena?
何况	quanto mais; ainda por cima	Hoje está frio, ainda por cima está a chover.
合法	legal; legítimo	Este contrato é legal.
合理	razoável; justo	Este preço é razoável.
合同	o contrato	Eles assinaram um contrato.
合影	a fotografia de grupo	Na formatura tirámos uma fotografia de grupo.
合作	cooperar; colaborar	Concluímos o projeto em cooperação.
和平	a paz	Todos desejam a paz.
核心	o núcleo; o essencial	A confiança é o núcleo da cooperação.
恨	odiar; lamentar	Ele lamenta não se ter esforçado mais cedo.
猴子	o macaco	Há alguns macacos no jardim zoológico.
后背	as costas	As costas dele doem um pouco.
后果	a consequência	Tens de considerar as consequências.
呼吸	respirar	Por favor, respira fundo.
忽然	de repente	De repente, o céu escureceu.
忽视	ignorar; negligenciar	Não ignores este problema.
壶	o bule; a chaleira	Há um bule de chá em cima da mesa.
糊涂	confuso; baralhado	Hoje estou um pouco baralhado.
胡说	dizer disparates	Não digas disparates, isso não é verdade.
胡同	o hutong; a viela	Pequim tem muitos hutongs antigos.
蝴蝶	a borboleta	Há uma borboleta no jardim.
花生	o amendoim	Ele gosta de comer amendoins.
华裔	de origem chinesa	Ela é uma escritora de origem chinesa.
滑	escorregadio; liso	O chão está escorregadio, tem cuidado.
划	remar	Durante a viagem de barco, ele ficou encarregado de remar.
化学	a química	Ela estudou química na universidade.
话题	o tema; o assunto	Este tema é muito interessante.
怀念	ter saudades de; recordar	Tenho muitas saudades da vida universitária.
怀孕	estar grávida	Ela está grávida de três meses.
缓解	aliviar; atenuar	Descansar pode aliviar o stress.
幻想	fantasiar; a fantasia	Ele fantasia muitas vezes viajar para o espaço.
慌张	entrar em pânico; aflito	Quando encontrares um problema, não entres em pânico.
黄金	o ouro	O preço do ouro voltou a subir.
恢复	recuperar; restabelecer-se	O corpo dele está a recuperar.
挥	acenar; agitar	Ela acenou com a mão.
灰	cinzento; a cinza	O céu está cinzento.
灰尘	o pó	Há muito pó em cima da mesa.
灰心	desanimar	Não desanimes, mesmo que falhes.
汇率	a taxa de câmbio	Qual é a taxa de câmbio de hoje?
婚礼	o casamento; a cerimónia de casamento	O casamento deles foi muito simples.
婚姻	o casamento; a vida conjugal	O casamento exige compreensão mútua.
活跃	ativo; dinâmico	Ele é muito ativo na aula.
伙伴	o parceiro; o companheiro	Ele é o meu melhor companheiro.
火柴	o fósforo	Só resta um fósforo na caixa.
或许	talvez	Talvez amanhã chova.
基本	básico; fundamental	Estes são requisitos básicos.
机器	a máquina	Esta máquina avariou-se.
激烈	intenso; renhido	A competição foi muito renhida.
肌肉	o músculo	Depois do exercício, os músculos estão um pouco doridos.
及格	passar; ter positiva	Ele passou neste exame.
急忙	à pressa	Ele saiu da sala de aula a correr.
急诊	as urgências; o atendimento de urgência	O doente foi levado para as urgências.
极其	extremamente	Este problema é extremamente importante.
集合	reunir-se; juntar-se	Por favor, reúnam-se à entrada às oito horas.
集体	coletivo; de grupo	Esta é uma atividade de grupo.
集中	concentrar; focar	Durante a aula é preciso concentrar a atenção.
寂寞	solitário; só	Morar sozinho às vezes pode ser solitário.
系领带	pôr a gravata	Ele põe a gravata todos os dias antes de ir trabalhar.
纪录	o recorde	Ele bateu o recorde da escola.
纪律	a disciplina	A disciplina na sala de aula é muito importante.
纪念	comemorar; recordar	Tirámos fotografias para comemorar este dia.
计算	calcular	Por favor, calcula o custo total.
记录	registar; tomar notas	Por favor, regista o conteúdo da reunião.
记忆	a memória	Esta memória é muito preciosa.
嘉宾	o convidado de honra	O convidado de hoje é um escritor.
夹子	o clipe; a mola	Por favor, prende os documentos com um clipe.
家庭	a família	A família é muito importante para as crianças.
家务	as tarefas domésticas	No fim de semana tenho de fazer tarefas domésticas.
家乡	a terra natal	Tenho muitas saudades da minha terra natal.
假如	se; supondo que	Se amanhã chover, não vamos.
假设	supor; a hipótese	Supondo que fosses professor, o que farias?
假装	fingir	Ele fingiu não ter ouvido.
甲	a parte A; o primeiro	A parte A deve pagar a tempo.
价值	o valor	Este livro tem muito valor.
嫁	casar-se	Ela vai casar-se com o namorado no próximo ano.
驾驶	conduzir	Conduz com cuidado quando estiveres ao volante.
兼职	o trabalho a tempo parcial	Ele faz trabalho a tempo parcial à noite.
坚决	firme; decidido	Ele discorda firmemente desta decisão.
坚强	forte; resistente	Ela é uma pessoa forte.
肩膀	o ombro	O ombro dele ficou ferido.
艰巨	árduo; muito difícil	Esta é uma tarefa árdua.
艰苦	duro; difícil	Eles passaram por uma vida difícil.
剪刀	a tesoura	Por favor, passa-me a tesoura.
捡	apanhar; recolher	Ele apanhou a carteira do chão.
简历	o CV	É preciso preparar o CV antes de procurar emprego.
简直	simplesmente	Esta notícia é simplesmente surpreendente.
健身	fazer exercício; manter a forma	Ele vai fazer exercício três vezes por semana.
建立	estabelecer; criar	Estabelecemos uma nova relação.
建设	a construção; construir	A construção urbana está a desenvolver-se rapidamente.
建筑	o edifício; a arquitetura	Este edifício tem características próprias.
键盘	o teclado	O meu teclado precisa de ser limpo.
讲究	prestar atenção a; ser exigente	Os chineses dão muita atenção à comida.
讲座	a palestra; a conferência	Esta noite há uma palestra de chinês.
酱油	o molho de soja	Acrescenta um pouco de molho de soja ao prato.
交换	trocar; fazer uma troca	Trocámos números de telefone.
交际	a comunicação; o convívio	Ao aprender uma língua, também é preciso praticar a comunicação.
交往	namorar; relacionar-se	Eles namoraram durante dois anos.
浇	regar; deitar líquido	Por favor, rega as flores todos os dias.
胶水	a cola	Usei cola para colar a fotografia.
狡猾	astuto; manhoso	Aquela raposa é muito astuta.
角度	o ângulo; o ponto de vista	Vamos olhar para o problema de outro ângulo.
教材	o manual; o material didático	Este manual é muito prático.
教练	o treinador	O treinador exige que cheguemos a horas.
教训	a lição	Este fracasso foi uma lição.
接触	entrar em contacto; o contacto	É a primeira vez que entro em contacto com a cultura chinesa.
接待	receber; acolher	A empresa designou uma pessoa para receber os convidados.
接近	aproximar-se; perto	A Festa da Primavera está cada vez mais perto.
