source_headword	PT	example_PT
race (people)	a origem étnica	O formulário pergunta a origem étnica.
racing	as corridas	As corridas de cavalos são populares lá.
range	a gama	A loja vende uma ampla gama.
rare	raro	Esta ave é rara.
rarely	raramente	Raramente comemos fora.
reaction	a reação	A reação dela surpreendeu-me.
reality	a realidade	A realidade era diferente do sonho dele.
receipt	o recibo	Guarda o recibo.
recommendation	a recomendação	Obrigado pela recomendação.
reference	a referência	Adiciona uma referência no fim.
reflect	refletir	O espelho pode refletir luz.
regularly	regularmente	Ela faz exercício regularmente.
reject	rejeitar	Eles podem rejeitar a oferta.
relate	identificar-se	Consigo identificar-me com essa história.
related	relacionado	Os dois problemas estão relacionados.
relation	a relação	Há uma relação entre eles.
relative	relativo	A velocidade é relativa.
relaxed	relaxado	Ele sentiu-se relaxado depois do jantar.
relaxing	relaxante	A música era relaxante.
release	lançar	Eles vão lançar o filme em breve.
reliable	fiável	Este autocarro costuma ser fiável.
religion	a religião	A religião é importante para ela.
religious	religioso	Eles visitaram um edifício religioso.
remain	permanecer	Por favor, permanece calmo.
remind	lembrar	Lembra-me amanhã.
remote	remoto	Eles vivem numa aldeia remota.
rent	a renda	A renda vence hoje.
repeated	repetido	Erros repetidos atrasaram o trabalho.
represent	representar	A estrela representa esperança.
require	exigir	Este trabalho exigirá formação.
reservation	a reserva	Fiz uma reserva.
resource	o recurso	A biblioteca é um recurso útil.
respect	o respeito	Respeita os teus colegas.
responsibility	a responsabilidade	Cuidar de crianças é uma grande responsabilidade.
responsible	responsável	Ela é responsável pelos bilhetes.
retire	reformar-se	O meu pai vai reformar-se em breve.
retired	reformado	Ele é um professor reformado.
revise	rever	Revê o teu ensaio esta noite.
risk	o risco	Há risco de chuva.
robot	o robô	O robô limpou o chão.
roll	rolar	Rola a bola para mim.
romantic	romântico	Eles tiveram um jantar romântico.
rope	a corda	Ata a corda com força.
rough	irregular	A estrada era irregular.
row1	a fila	Senta-te na fila da frente.
royal	real	A família real chegou.
rugby	o râguebi	Vimos râguebi na televisão.
safety	a segurança	A segurança é importante no trabalho.
sailor	o marinheiro	O marinheiro reparou o barco.
sample	a amostra	A enfermeira tirou uma amostra de sangue.
sand	a areia	A areia cobriu os meus sapatos.
scan	digitalizar	Digitaliza primeiro o documento.
scientific	científico	Este é um método científico.
script	o guião	O ator leu o guião.
sculpture	a escultura	A escultura está lá fora.
secondary	secundário	Este é um problema secundário.
security	a segurança	A segurança verificou as nossas malas.
seed	a semente	Planta a semente na terra.
sensible	sensato	Essa é uma ideia sensata.
seriously	a sério	Leva este problema a sério.
servant	o criado	O criado abriu a porta.
set (put)	pôr	Põe o copo sobre a mesa.
set (group)	o conjunto	Este conjunto inclui seis chávenas.
setting	o cenário	A história tem um cenário urbano.
sex	o sexo	O formulário pede idade e sexo.
sexual	sexual	A aula discutiu saúde sexual.
sharp	afiado	Esta faca está afiada.
shelf	a prateleira	Põe o livro na prateleira.
shell	a concha	A concha estava vazia.
shift	o turno	O meu turno começa às oito.
shine	brilhar	As estrelas brilham à noite.
shiny	brilhante	Os sapatos dela são brilhantes.
shoot	fotografar	O fotógrafo vai fotografar a cena.
shy	tímido	Ele é tímido com estranhos.
sight	a vista	A montanha era uma vista bonita.
signal	o sinal	O sinal estava fraco.
silent	silencioso	A sala ficou silenciosa.
silly	tolo	Foi um erro tolo.
similarity	a semelhança	Há uma semelhança clara.
similarly	de forma semelhante	O segundo plano funciona de forma semelhante.
simply	simplesmente	Prime simplesmente este botão.
sink	afundar	Pedras pesadas afundam rapidamente.
slice	a fatia	Comi uma fatia de bolo.
slightly	ligeiramente	A sala está ligeiramente mais quente.
smart	elegante	Ela usava um casaco elegante.
smooth	liso	A estrada é lisa.
software	o software	O software precisa de uma atualização.
soil	o solo	O solo está seco.
solid	sólido	A parede é sólida.
southern	do sul	Eles vivem na costa do sul.
specifically	especificamente	Pedi especificamente chá.
spending	a despesa	A despesa do governo aumentou.
spicy	picante	Este caril é picante.
spirit	o espírito	A equipa mostrou grande espírito.
spoken	falado	O inglês falado melhora com a prática.
spot	o lugar	Este lugar é perfeito.
spread	barrar	Barra manteiga no pão.
stadium	o estádio	O estádio estava cheio.
staff	o pessoal	O pessoal foi prestável.
standard	o padrão	O padrão era alto.
statistic	a estatística	Esta estatística é surpreendente.
statue	a estátua	A estátua está na praça.
stick (push into/attach)	colar	Cola a etiqueta na caixa.
stick (piece of wood)	o pau	Ele apanhou um pau.
