simplified	SV	example_SV
叉子	en gaffel	Jag äter sallad med gaffel.
差距	en skillnad; klyfta	Det finns en klyfta mellan städer och landsbygd.
插	stoppa in; sätta	Sätt blommorna i vasen.
拆	riva; plocka isär	Arbetarna river det gamla huset.
产品	en produkt	Den här produkten har mycket god kvalitet.
产生	uppstå; skapa	Den här frågan fick en ny effekt.
常识	sunt förnuft; allmän kunskap	Det här är grundläggande sunt förnuft.
长途	långdistans	En lång resa är tröttsam.
抄	kopiera; skriva av	Skriv inte av andras läxor.
超级	super-; enorm	Det här är en stormarknad.
朝	en dynasti	Tangdynastin är mycket berömd.
潮湿	fuktig	Sommaren i söder är mycket fuktig.
吵	bullrig	Det är mycket bullrigt ute.
吵架	gräla	De grälade igen.
炒	woka; steka	Mamma wokar mat.
车库	ett garage	Bilen står i garaget.
车厢	en vagn	Den här tågvagnen är mycket tyst.
彻底	grundlig; helt	Han förstod det helt.
沉默	tystnad; vara tyst	Han var tyst hela tiden.
趁	medan	Vi går medan det ännu inte är mörkt.
称	väga; kalla	Väg det här paketet.
称呼	tilltala; kalla	Jag vet inte hur jag ska tilltala honom.
称赞	berömma	Läraren berömde hans framsteg.
成分	en ingrediens; sammansättning	Ingredienserna i den här medicinen är enkla.
成果	ett resultat	Det här projektet gav resultat.
成就	en prestation	Han har många prestationer i sin karriär.
成立	grundas; etableras	Företaget grundades förra året.
成人	en vuxen	Vuxenbiljetter är dyrare än barnbiljetter.
成熟	mogen	Äpplena är redan mogna.
成语	ett idiom	Det här idiomet används ofta.
成长	växa upp	Barnet växer långsamt upp.
承担	ta ansvar; åta sig	Han är villig att ta ansvar.
承认	erkänna	Han erkände att han hade fel.
承受	uthärda; bära	Jag klarar inte så stor press.
程度	en nivå; grad	Hans kinesiskanivå är hög.
程序	en procedur; ordning	Hantera det enligt proceduren.
诚恳	uppriktig	Hans inställning är mycket uppriktig.
吃亏	förlora på något; bli lurad	Titta noga innan du köper något, så att du inte blir lurad.
持续	fortsätta; pågå	Regnet pågick i tre dagar.
池塘	en damm	Det finns många fiskar i dammen.
迟早	förr eller senare	Du kommer att förstå förr eller senare.
尺子	en linjal	Mät det med en linjal.
翅膀	en vinge	Fågelns vinge är skadad.
充电器	en laddare	Min laddare är trasig.
充分	tillräcklig; fullständig	Vi gjorde tillräckliga förberedelser.
充满	vara full av	Rummet var fullt av skratt.
冲	skölja	Skölj koppen med vatten.
重复	upprepa	Upprepa inte samma misstag.
宠物	ett husdjur	Hon har en hund som husdjur.
抽屉	en låda	Nyckeln ligger i lådan.
抽象	abstrakt	Det här begreppet är för abstrakt.
丑	ful	Det här fotot är lite fult.
臭	stinka; illaluktande	Soporna luktar illa.
出版	publicera; ge ut	Den här boken gavs ut förra året.
出口	en utgång; export	Utgången ligger framför oss.
出色	utmärkt	Hennes prestation är utmärkt.
出示	visa upp	Visa ditt pass.
出席	närvara	Han kommer att närvara vid mötet.
初级	grundläggande; nybörjar-	Jag studerar kinesiska i nybörjarklassen.
除非	om inte	Om det inte regnar går vi och vandrar imorgon.
除夕	nyårsafton	På nyårsafton äter hela vår familj tillsammans.
处理	hantera	Jag kommer att hantera det här problemet.
传播	sprida	Den här nyheten spreds mycket snabbt.
传染	smitta; smittsam	Förkylningar smittar lätt.
传说	en legend	Det här är en gammal legend.
传统	en tradition; traditionell	Vårfesten är en traditionell kinesisk högtid.
窗帘	gardiner	Dra upp gardinerna.
闯	rusa; köra mot	Han råkade köra mot rött.
创造	skapa	Människor skapade nya verktyg.
吹	blåsa	Det blåser kraftigt.
词汇	ett ordförråd; ett ord	Det här ordet används ofta.
辞职	säga upp sig	Han bestämde sig för att säga upp sig.
此外	dessutom	Dessutom har jag en fråga till.
刺激	spännande; stimulera	Det här spelet är mycket spännande.
次要	sekundär	Det här problemet är sekundärt.
匆忙	bråttom; skyndsam	Han lämnade hemmet i hast.
从此	från och med då	Från och med då tränade han varje dag.
从而	därigenom	Han studerade hårt och klarade därigenom provet.
从前	förr	Förr fanns det ingen tunnelbana här.
从事	arbeta med	Hon arbetar med utbildning.
粗糙	grov; skrovlig	Det här pappersarket är mycket grovt.
促进	främja	Motion kan främja hälsan.
促使	få någon att; driva på	Den här saken fick honom att ändra planen.
醋	vinäger	Det lades vinäger i rätten.
催	skynda på	Mamma skyndade på mig att gå ut.
存在	existera	Det här problemet finns fortfarande.
措施	en åtgärd	Skolan vidtog säkerhetsåtgärder.
答应	lova; gå med på	Han gick med på att hjälpa mig.
达到	nå; uppnå	Hans resultat nådde standarden.
打工	arbeta extra; jobba	Han jobbar extra på en restaurang under sommarlovet.
打交道	ha att göra med	Jag har ofta att göra med kunder.
打喷嚏	nysa	Han är förkyld och nyser hela tiden.
打听	fråga om	Jag vill fråga om tågbiljetter.
大方	generös	Hon är mycket generös med pengar.
大厦	en stor byggnad	Den där stora byggnaden är mycket hög.
大象	en elefant	Barnen tittar på elefanter på zoo.
大型	storskalig	En stor galleria ska byggas här.
呆	stanna; dum	Han stannar hemma och läser.
代表	representera; en representant	Den här blomman representerar vänskap.
代替	ersätta; i stället för	Idag går jag på mötet i hans ställe.
待遇	förmåner; behandling	Förmånerna på det här företaget är bra.
贷款	ett lån	De ansökte om ett bostadslån.
单纯	enkel; oskuldsfull	Hennes tanke är mycket enkel.
单调	monoton	Det här arbetet är lite monotont.
单独	ensam; på egen hand	Jag vill tala med dig ensam.
单位	en enhet; arbetsplats	Han arbetar på en offentlig institution.
单元	en enhet; ett kapitel	Idag studerar vi tredje kapitlet.
担任	ha rollen som; ansvara för	Hon är ansvarig för den här aktiviteten.
耽误	fördröja; slösa bort	Slösa inte bort allas tid.
胆小鬼	en fegis	Kalla honom inte fegis.
淡	svag; mild	Den här soppan är lite smaklös.
当地	lokal	Lokalbefolkningen tycker om den här marknaden.
当心	vara försiktig	Vägen är hal, så var försiktig.
挡	blockera	Den här bilen blockerar ingången.
倒霉	ha otur	Idag har jag verkligen otur; jag tappade min telefon.
导演	en regissör	Den här regissören är mycket berömd.
导致	leda till; orsaka	Det kraftiga regnet orsakade en trafikstockning.
岛屿	en ö	Det här landet har många öar.
到达	anlända	Tåget kom fram till Shanghai i tid.
道德	moral	Man bör ha moral.
道理	en poäng; ett skäl	Det han sade låter mycket rimligt.
登记	registrera sig	Registrera dig först i receptionen.
等待	vänta på	Vi väntar på resultatet.
等于	vara lika med	Fem plus fem är lika med tio.
滴	en droppe; droppa	En droppe vatten föll på bordet.
敌人	en fiende	De är inte fiender.
的确	verkligen; faktiskt	Den här saken är verkligen viktig.
地道	äkta; genuin	Han talar genuin Beijingdialekt.
地理	geografi	Jag är mycket intresserad av Kinas geografi.
地区	en region	Den här regionen är mycket kall på vintern.
地毯	en matta	Det ligger en matta i vardagsrummet.
地位	en ställning; status	Utbildning har en viktig ställning i samhället.
地震	en jordbävning	Det inträffade en jordbävning här i går kväll.
递	räcka över; lämna vidare	Lämna det här brevet till läraren.
点心	ett mellanmål; dim sum	Vi åt mellanmål på eftermiddagen.
电池	ett batteri	Den här leksaken behöver två batterier.
电台	en radiostation	Han gör program på en radiostation.
钓	fiska	Farfar tycker om att fiska vid floden.
顶	räkneord för hattar; topp	Han har en svart hatt på sig.
冻	frysa	Det är så kallt ute att vattnet har frusit.
动画片	en tecknad film	Barnen tittar på tecknad film.
洞	ett hål	Det finns ett litet hål i väggen.
豆腐	tofu	Den här tofurätten är god.
逗	retas; roa	Det han sade fick alla att skratta.
独立	självständig	Hon vill leva självständigt.
独特	unik	Den här staden har en unik kultur.
度过	tillbringa	Vi tillbringade semestern vid havet.
断	gå av; brytas	Det här repet gick av.
堆	en hög; stapla	Många dokument ligger staplade på bordet.
兑换	växla	Jag vill växla lite renminbi.
对比	jämföra; en kontrast	Jämför de här två planerna.
对待	behandla	Vi bör behandla alla rättvist.
对方	den andra parten	Lyssna först på den andra partens åsikt.
对手	en motståndare	Hans motståndare är mycket stark.
对象	ett objekt; mål	Undersökningsobjekten är universitetsstudenter.
吨	ett ton	Den här lastbilen kan lasta tre ton varor.
蹲	sitta på huk	Han sitter på huk på marken och letar efter nycklarna.
顿	räkneord för måltider	Vi åt en middag tillsammans.
多亏	tack vare	Tack vare din hjälp slutförde jag uppgiften.
多余	överflödig; onödig	Den här meningen är onödig.
朵	räkneord för blommor	Det ligger en blomma på bordet.
躲藏	gömma sig	Kattungen gömmer sig under sängen.
恶劣	dålig; usel	Vädret idag är mycket dåligt.
耳环	ett örhänge	Hon har ett par örhängen på sig.
发表	framföra; publicera	Han framförde sin åsikt på mötet.
发愁	oroa sig	Oroa dig inte för den här lilla saken.
发达	välutvecklad	Trafiken i den här staden är välutvecklad.
发抖	darra; skaka	Han darrar hela tiden av kylan.
发挥	utnyttja; använda	Använd er fantasi.
发明	en uppfinning; uppfinna	Glödlampan är en viktig uppfinning.
发票	en faktura	Ge mig en faktura.
发言	tala; göra ett inlägg	Han talade på mötet.
罚款	en böter; bötfälla	Felparkering leder till böter.
法院	en domstol	Det här fallet lämnades till domstolen.
翻	bläddra; vända	Bläddra till sidan tio i boken.
繁荣	blomstra; välmående	Ekonomin börjar långsamt blomstra.
反而	i stället; tvärtom	Han blev inte arg, utan skrattade i stället.
反复	upprepade gånger	Den här meningen behöver övas upprepade gånger.
反应	en reaktion; reagera	Hans reaktion är snabb.
反映	återspegla	Den här rapporten återspeglar den verkliga situationen.
反正	i alla fall	I alla fall har jag tid imorgon.
范围	ett omfång; område	Gå inte utanför det här området.
方	kvadratisk; en kvadrat	Rita en kvadrat på papperet.
方案	en plan; ett förslag	Den här planen är ganska rimlig.
方式	ett sätt; en metod	Det här sättet att studera är mycket effektivt.
妨碍	hindra	Stör inte andra i deras arbete.
仿佛	verka som om	Han verkar veta allt.
非	måste; icke-	Det här kan inte göras utan dig.
肥皂	tvål	Använd tvål när du tvättar händerna.
废话	struntprat	Sluta prata strunt och börja snabbt.
分别	skiljas åt	De skildes åt på stationen.
分布	vara spridd	De här butikerna finns spridda över hela staden.
分配	tilldela; fördela	Läraren delade ut en ny uppgift.
分手	göra slut	De gjorde slut förra året.
分析	analysera	Vi behöver analysera orsakerna.
纷纷	en efter en	Alla uttryckte sitt samtycke en efter en.
奋斗	sträva; kämpa	Unga människor bör kämpa för sina drömmar.
疯狂	galen; vild	Fansen jublade vilt.
风格	en stil	Den här restaurangens stil är mycket speciell.
风景	en utsikt; ett landskap	Utsikten på berget är vacker.
风俗	en sed	Varje plats har sina egna seder.
风险	en risk	Investering innebär en viss risk.
讽刺	satirisera; ironi	Den här artikeln satiriserade samhällsproblem.
否定	förneka; negation	Han förnekade det påståendet.
否认	förneka	Han förnekade att han hade gjort fel.
幅	räkneord för tavlor	Det hänger en tavla på väggen.
扶	stödja; hjälpa	Hjälp den äldre personen över vägen.
服装	kläder	Den här butiken säljer barnkläder.
辅导	handleda; ge extrahjälp	Läraren hjälper eleverna efter lektionen.
复制	kopiera	Kopiera det här dokumentet.
妇女	kvinnor	Det här sjukhuset erbjuder tjänster för kvinnor.
改革	en reform; reformera	Skolan genomför en undervisningsreform.
改进	förbättra	Vi behöver förbättra servicekvaliteten.
改善	förbättra	Motion kan förbättra sömnen.
改正	rätta till	Rätta misstagen i tid.
概括	sammanfatta	Sammanfatta innehållet i artikeln.
概念	ett begrepp	Det här begreppet är inte så lätt att förstå.
盖	täcka; ett lock	Täck koppen ordentligt.
干脆	helt enkelt	Du kan lika gärna låta bli att gå idag.
干燥	torr	Vintrarna i norr är mycket torra.
感激	tacksam	Jag är mycket tacksam för din hjälp.
感受	en känsla; upplevelse	Jag kan förstå dina känslor.
感想	tankar; reflektioner	Berätta om dina tankar.
赶紧	skynda sig	Det börjar bli sent, skynda dig och gå.
赶快	snabbt; genast	Stäng dörren snabbt.
干活儿	arbeta; jobba	Han arbetar på gården.
钢铁	stål	Den här bron är gjord av stål.
高档	exklusiv; högklassig	Det här är ett exklusivt hotell.
高级	avancerad	Hon gick en avancerad kurs i kinesiska.
搞	göra; ordna	Vad för slags aktivitet ordnar du?
告别	ta farväl	Vi tog farväl av vår vän på flygplatsen.
格外	särskilt	Himlen är särskilt blå idag.
隔壁	grann-; bredvid	Det bor en lärare bredvid.
个别	enstaka	Enstaka studenter har ännu inte lämnat in läxan.
个人	personlig; individ	Det här är min personliga åsikt.
个性	personlighet	Hon har mycket personlighet.
各自	var och en	Alla slutför sin egen uppgift.
根	en rot; räkneord för smala föremål	Det finns en sladd under bordet.
根本	alls; grundläggande	Det här problemet är inte alls svårt.
公布	offentliggöra	Skolan offentliggjorde provresultaten.
公开	offentlig	Det här mötet är offentligt.
公平	rättvis	Tävlingen bör vara rättvis.
公寓	en lägenhet	Hon hyrde en liten lägenhet.
公元	efter Kristus	I år är det år 2026 efter Kristus.
公主	en prinsessa	Den lilla flickan tycker om prinsessberättelser.
功能	en funktion	Den här programvaran har många funktioner.
工厂	en fabrik	Den här fabriken tillverkar bilar.
工程师	en ingenjör	Min storebror är ingenjör.
工具	ett verktyg	Att reparera en cykel kräver verktyg.
工人	en arbetare	Arbetarna reparerar vägen.
工业	industri	Den här staden bygger främst på industri.
恭喜	grattis	Grattis till att du klarade provet.
贡献	ett bidrag; bidra	Han gjorde ett bidrag till företaget.
沟通	kommunikation; kommunicera	God kommunikation är mycket viktig.
构成	bilda; utgöra	De här delarna bildar en helhet.
姑姑	faster	Jag ska hälsa på min faster i helgen.
姑娘	en ung kvinna	Den där unga kvinnan är mycket hjälpsam.
古代	forntiden	I forntiden fanns det inga mobiltelefoner.
古典	klassisk	Jag tycker om klassisk musik.
股票	en aktie	Han köpte några aktier.
骨头	ett ben	Det här benet är mycket hårt.
鼓舞	uppmuntrande	Den här nyheten är mycket uppmuntrande.
鼓掌	applådera	Publiken applåderade skådespelarna.
固定	fast; regelbunden	Jag har fasta arbetstider.
挂号	registrera sig på sjukhus	Man måste registrera sig innan man träffar läkaren.
乖	snäll; väluppfostrad	Det här barnet är mycket väluppfostrat.
拐弯	svänga	Sväng höger vid korsningen framför dig.
怪不得	inte konstigt	Inte konstigt att du är så trött.
关闭	stänga	Stäng av datorn innan du går.
官	en tjänsteman	Han är en ung tjänsteman.
观察	observera	Läkaren observerar patientens tillstånd.
观点	en synpunkt	Jag håller med om din synpunkt.
观念	en föreställning; idé	Unga människors idéer förändras.
管子	ett rör	Det här röret läcker vatten.
冠军	en mästare	Hon vann mästerskapet i tävlingen.
光滑	slät	Ytan på det här bordet är mycket slät.
光临	besöka; välkommen	Välkommen tillbaka nästa gång.
光明	ljus	Framtiden är ljus.
光盘	en skiva; CD	Spara materialet på skivan.
广场	ett torg	Det finns många människor på torget.
广大	stor; omfattande	Den här nyheten välkomnades av många studenter.
广泛	omfattande; bred	Den här boken har ett brett inflytande.
归纳	sammanfatta	Läraren hjälpte oss att sammanfatta huvudpunkterna.
规矩	regler; seder	Barn bör förstå regler.
规律	ett regelbundet mönster	Livet bör ha en regelbunden rytm.
规模	en skala	Det här företaget är stort i skala.
规则	en regel	Tävlingsreglerna är mycket tydliga.
柜台	en disk	Betala vid disken.
滚	koka; rulla	Vattnet kokar redan.
锅	en kastrull; gryta	Det finns varm soppa i grytan.
国庆节	nationaldagen	Vi är lediga på nationaldagen.
国王	en kung	Kungen bor i palatset.
果然	mycket riktigt	Han kom i tid, precis som väntat.
果实	frukt; resultat	Trädet är fullt av frukt.
过分	överdriven	Hans krav är lite överdrivet.
过敏	allergisk	Jag är allergisk mot pollen.
过期	gå ut; förfalla	Den här mjölken har redan gått ut.
哈	ha; aha	Aha, nu förstår jag äntligen.
海关	tullen	Vi köade för kontroll i tullen.
海鲜	skaldjur; fisk och skaldjur	Skaldjuren på den här restaurangen är mycket färska.
喊	ropa	Ropa inte högt i klassrummet.
行业	en bransch	Turismbranschen utvecklas snabbt.
豪华	lyxig	De bor på ett lyxigt hotell.
好客	gästfri	Lokalbefolkningen är mycket gästfri.
好奇	nyfiken	Barn är mycket nyfikna på världen.
何必	varför behöva	Varför bli arg över en liten sak?
何况	för att inte tala om	Det är kallt idag, för att inte tala om att det regnar.
合法	laglig	Det här avtalet är lagligt.
合理	rimlig	Det här priset är rimligt.
合同	ett avtal	De skrev under ett avtal.
合影	ett gruppfoto	Vi tog ett gruppfoto vid examen.
合作	samarbeta	Vi slutförde projektet genom samarbete.
和平	fred	Alla hoppas på fred.
核心	en kärna	Förtroende är kärnan i samarbete.
恨	ångra; hata	Han ångrar att han inte ansträngde sig tidigare.
猴子	en apa	Det finns flera apor på zoo.
后背	ryggen	Han har lite ont i ryggen.
后果	konsekvenser	Du måste tänka på konsekvenserna.
呼吸	andas	Ta ett djupt andetag.
忽然	plötsligt	Himlen blev plötsligt mörk.
忽视	ignorera	Ignorera inte det här problemet.
壶	en kanna	Det står en kanna te på bordet.
糊涂	förvirrad	Jag är lite förvirrad idag.
胡说	prata strunt	Prata inte strunt, det är inte sant.
胡同	en gränd	Beijing har många gamla gränder.
蝴蝶	en fjäril	Det finns en fjäril i trädgården.
花生	jordnötter	Han tycker om att äta jordnötter.
华裔	person av kinesisk härkomst	Hon är en författare av kinesisk härkomst.
滑	hal	Golvet är halt, så var försiktig.
划	ro	När han åker båt ansvarar han för att ro.
化学	kemi	Hon studerade kemi på universitetet.
话题	ett ämne	Det här ämnet är mycket intressant.
怀念	sakna; minnas	Jag saknar universitetslivet mycket.
怀孕	gravid	Hon är gravid i tredje månaden.
缓解	lindra	Vila kan lindra stress.
幻想	fantisera	Han fantiserar ofta om att resa till rymden.
慌张	få panik	Få inte panik när du stöter på problem.
黄金	guld	Priset på guld har stigit igen.
恢复	återhämta sig	Hans kropp håller på att återhämta sig.
挥	vinka	Hon vinkade med handen.
灰	grå	Himlen är grå.
灰尘	damm	Det finns mycket damm på bordet.
灰心	tappa modet	Tappa inte modet även om du misslyckas.
汇率	en växelkurs	Vad är dagens växelkurs?
婚礼	ett bröllop	Deras bröllop var mycket enkelt.
婚姻	ett äktenskap	Ett äktenskap kräver ömsesidig förståelse.
活跃	aktiv	Han är mycket aktiv på lektionen.
伙伴	en partner; kamrat	Han är min bästa kamrat.
火柴	en tändsticka	Det finns bara en tändsticka kvar i lådan.
或许	kanske	Kanske regnar det imorgon.
基本	grundläggande	Det här är grundläggande krav.
机器	en maskin	Den här maskinen är trasig.
激烈	intensiv	Tävlingen var mycket intensiv.
肌肉	en muskel	Mina muskler är lite ömma efter träningen.
及格	klara ett prov	Han klarade det här provet.
急忙	skyndsamt	Han sprang skyndsamt ut ur klassrummet.
急诊	akutmottagningen	Patienten skickades till akutmottagningen.
极其	ytterst	Den här frågan är ytterst viktig.
集合	samlas	Samlas vid ingången klockan åtta.
集体	en grupp; kollektiv	Det här är en gruppaktivitet.
集中	koncentrera sig	På lektionen bör du koncentrera dig.
寂寞	ensam	Att bo ensam kan ibland kännas ensamt.
系领带	knyta slips	Han knyter slips varje dag före jobbet.
纪录	ett rekord	Han slog skolrekordet.
纪律	disciplin	Disciplin i klassrummet är mycket viktig.
纪念	minnas; fira	Vi tog foton för att minnas den här dagen.
计算	beräkna	Beräkna den totala kostnaden.
记录	anteckna; registrera	Anteckna mötets innehåll.
记忆	ett minne	Det här minnet är mycket värdefullt.
嘉宾	en hedersgäst	Dagens gäst är en författare.
夹子	en klämma	Håll fast dokumenten med en klämma.
家庭	en familj	Familjen är mycket viktig för barn.
家务	hushållsarbete	Jag måste göra hushållsarbete i helgen.
家乡	en hemstad	Jag saknar min hemstad mycket.
假如	om	Om det regnar imorgon går vi inte.
假设	anta; hypotes	Anta att du var läraren, vad skulle du göra?
假装	låtsas	Han låtsades att han inte hörde.
甲	part A; första	Den första parten måste betala i tid.
价值	ett värde	Den här boken är mycket värdefull.
嫁	gifta sig	Hon ska gifta sig med sin pojkvän nästa år.
驾驶	köra	Kör försiktigt när du kör bil.
兼职	ett deltidsjobb	Han arbetar deltid på kvällen.
坚决	bestämda; resolut	Han håller bestämt inte med om detta beslut.
坚强	stark	Hon är en stark person.
肩膀	en axel	Hans axel är skadad.
艰巨	svår; krävande	Det här är en krävande uppgift.
艰苦	hård; svår	De levde ett hårt liv.
剪刀	en sax	Räck mig saxen.
捡	plocka upp	Han plockade upp plånboken från marken.
简历	ett CV	Förbered ett CV innan du söker jobb.
简直	helt enkelt	Den här nyheten är helt enkelt chockerande.
健身	träna	Han tränar tre gånger i veckan.
建立	etablera	Vi etablerade en ny relation.
建设	bygga; konstruktion	Stadsbyggandet utvecklas snabbt.
建筑	en byggnad	Den här byggnaden har särskilda drag.
键盘	ett tangentbord	Mitt tangentbord behöver rengöras.
讲究	vara noga med	Kineser är mycket noga med mat.
讲座	en föreläsning	Det finns en kinesisk föreläsning ikväll.
酱油	sojasås	Tillsätt lite sojasås i rätten.
交换	byta	Vi bytte telefonnummer.
交际	kommunikation; socialt umgänge	När man lär sig ett språk behöver man också öva kommunikation.
交往	umgås; dejta	De har dejtat i två år.
浇	vattna	Vattna blommorna varje dag.
胶水	lim	Jag använde lim för att fästa fotot.
狡猾	listig	Den där räven är mycket listig.
角度	en vinkel	Vi ser på problemet ur en annan vinkel.
教材	ett läromedel	Det här läromedlet är mycket praktiskt.
教练	en tränare	Tränaren kräver att vi kommer i tid.
教训	en läxa	Det här misslyckandet är en läxa.
接触	kontakt; komma i kontakt med	Det här är min första kontakt med kinesisk kultur.
接待	ta emot	Företaget ordnade en särskild person som tog emot gästerna.
接近	närma sig	Vårfesten närmar sig mer och mer.
结实	stadig; tålig	Den här resväskan är mycket tålig.
阶段	en fas	Studierna delas in i tre faser.
结构	en struktur	Den här artikeln har en tydlig struktur.
结合	kombinera	Studier bör kombineras med praktik.
结论	en slutsats	Hans slutsats är mycket övertygande.
结账	betala notan	Efter maten gick vi för att betala notan.
节省	spara	Att ta tunnelbanan kan spara tid.
借口	en ursäkt	Sluta hitta på ursäkter.
届	upplaga; omgång	Det här är den tredje tävlingen.
戒	sluta med; varna	Läkaren rådde honom att sluta röka.
戒指	en ring	Hon har en ring på sig.
金属	en metall	Järn är en sorts metall.
尽快	så snart som möjligt	Svara på mejlet så snart som möjligt.
紧急	akut	Det här är en akut situation.
谨慎	försiktig	Var försiktig innan du investerar.
尽力	göra sitt bästa	Jag ska göra mitt bästa för att hjälpa dig.
尽量	försöka så mycket som möjligt	Försök komma så tidigt som möjligt.
近代	modern tid	Det skedde många förändringar i det moderna Kina.
进步	göra framsteg	Hans kinesiska förbättras snabbt.
进口	importera; importerad	Den här bilen är importerad.
精力	energi	Barnen har mycket energi.
精神	anda; mentalt tillstånd	Han är på gott humör idag.
经典	klassiker; klassisk	Det här är en klassisk film.
经商	göra affärer	Hans far gör affärer utomlands.
经营	driva; sköta	Hon driver en liten butik.
酒吧	en bar	På kvällen gick de till en bar.
救	rädda	Läkaren räddade hans liv.
救护车	en ambulans	Ambulansen kom snabbt.
舅舅	morbror	Min morbror bor i Nanjing.
居然	faktiskt; oväntat	Han glömde faktiskt sin egen födelsedag.
桔子	en mandarin	Det ligger flera mandariner på bordet.
俱乐部	en klubb	Hon gick med i simklubben.
具备	ha; besitta	Han har erfarenhet av ledning.
具体	specifik; konkret	Var lite mer specifik.
巨大	enorm	Det här projektet kräver en enorm investering.
据说	det sägs att	Det sägs att han redan har återvänt till sitt land.
捐	donera	Alla är villiga att donera pengar.
