source_headword	PT	example_PT
socialist	socialista	O partido apoia políticas socialistas.
sole	único	Ele foi o único sobrevivente.
solely	exclusivamente	A decisão foi unicamente dele.
solicitor	o solicitador	O solicitador preparou o contrato.
solidarity	a solidariedade	Os trabalhadores expressaram solidariedade.
solo	a solo	Ela lançou um álbum a solo.
sound	sensato	O plano é sensato e prático.
sovereignty	a soberania	O tratado protegeu a soberania nacional.
spam	o spam	O spam encheu a caixa de entrada.
span	atravessar	A ponte atravessa o rio.
spark	desencadear	Uma pequena observação desencadeou o debate.
specialized	especializado	A clínica fornece cuidados especializados.
specification	a especificação	O design cumpre todas as especificações.
specimen	o espécime	O espécime foi guardado em segurança.
spectacle	o espetáculo	O desfile foi um espetáculo vívido.
spectrum	o espetro	As opiniões cobrem um amplo espetro.
spell	o período	O período de seca durou semanas.
sphere	a esfera	A política entrou na esfera cultural.
spin	girar	As rodas começaram a girar.
spine	a coluna vertebral	A lesão afetou a sua coluna vertebral.
spotlight	os holofotes	O escândalo colocou-o nos holofotes.
spouse	o cônjuge	O seu cônjuge esteve presente na cerimónia.
spy	o espião	O espião enviou mensagens codificadas.
squad	a equipa	A equipa de resgate chegou rápido.
squeeze	apertar	Aperte a maçaneta suavemente.
stab	esfaquear	O relatório descreveu um ferimento de faca.
stability	a estabilidade	A política trouxe estabilidade.
stabilize	estabilizar	O medicamento ajudou a estabilizá-lo.
stake	a participação	Os investidores têm uma participação aqui.
standing	o prestígio	O seu prestígio no partido subiu.
stark	gritante	Os resultados mostraram um contraste gritante.
statistical	estatístico	O estudo usou métodos estatísticos.
steer	conduzir	Ele tentou conduzir o debate.
stem	o caule	O caule quebrou-se na tempestade.
stereotype	o estereótipo	O filme desafiou um estereótipo.
stimulus	o estímulo	O pacote forneceu um estímulo económico.
stir	mexer	Mexa o molho lentamente.
storage	o armazenamento	A instalação oferece armazenamento seguro.
straightforward	simples	As instruções eram simples.
strain	a tensão	O longo atraso causou tensão.
strand	a madeixa	Caiu uma madeixa de cabelo.
strategic	estratégico	A empresa fez um investimento estratégico.
strip (long narrow piece)	a tira	Corte uma tira estreita de papel.
strip (remove clothes/a layer)	remover	Remova a tinta velha com cuidado.
strive	esforçar-se	Eles esforçam-se pela excelência.
structural	estrutural	A ponte tem danos estruturais.
stumble	tropeçar	Ele tropeçou nas escadas.
stun	chocar	As notícias podem chocar as pessoas.
submission	a submissão	O prazo para submissão já passou.
subscriber	o assinante	Cada assinante recebe atualizações.
subscription	a assinatura	A assinatura renova-se automaticamente.
subsidy	o subsídio	O subsídio reduziu os custos do combustível.
substantial	substancial	O projeto precisa de financiamento substancial.
substantially	substancialmente	O preço aumentou substancialmente.
substitute	o substituto	Use leite como substituto.
substitution	a substituição	A substituição mudou a receita.
subtle	subtil	A pintura tem detalhes subtis.
suburban	suburbano	Eles mudaram-se para uma área suburbana.
succession	a sucessão	A crise seguiu-se a uma sucessão de falhas.
successive	sucessivo	Governos sucessivos ignoraram o problema.
successor	o sucessor	O sucessor começará na segunda-feira.
suck	aspirar	A máquina pode aspirar pó.
sue	processar	Ela decidiu processar a empresa.
suicide	o suicídio	A prevenção do suicídio precisa de financiamento contínuo.
suite	a suite	A suite do hotel tinha vista para o rio.
summit	a cimeira	Os líderes encontraram-se na cimeira.
superb	soberbo	A atuação foi soberba.
superior	superior	O novo modelo é superior.
supervise	supervisionar	Ela supervisionará os estagiários.
supervision	a supervisão	As crianças precisam de supervisão de um adulto.
supervisor	o supervisor	Pergunte primeiro ao seu supervisor.
supplement	o suplemento	O relatório inclui um suplemento.
supportive	compreensivo	A sua família deu-lhe apoio.
supposedly	supostamente	O ficheiro foi supostamente apagado.
suppress	reprimir	O regime tentou reprimir os protestos.
supreme	supremo	O tribunal supremo ouviu o caso.
surge	o pico	Um pico de corrente repentino danificou o equipamento.
surgical	cirúrgico	O doente precisa de tratamento cirúrgico.
surplus	o excedente	O armazém tem um excedente.
surrender	render-se	Os soldados concordaram em render-se.
surveillance	a vigilância	Câmaras de vigilância gravaram a entrada.
suspension	a suspensão	A suspensão durou duas semanas.
suspicion	a suspeita	O seu comportamento levantou suspeitas.
suspicious	suspeito	O pacote parecia suspeito.
sustain	sustentar	O projeto pode sustentar empregos locais.
swing	balançar	A porta começou a balançar.
sword	a espada	A espada estava pendurada na parede.
symbolic	simbólico	O gesto foi simbólico.
syndrome	a síndrome	A síndrome afeta a memória.
synthesis	a síntese	O capítulo oferece uma síntese.
systematic	sistemático	A revisão foi sistemática.
tactic	a tática	A tática falhou rapidamente.
tactical	tático	A equipa fez uma mudança tática.
taxpayer	o contribuinte	O dinheiro dos contribuintes financiou a ponte.
tempt	tentar	A oferta pode tentar os investidores.
tenant	o inquilino	O inquilino pagou a renda cedo.
tender	terno	Ela deu um sorriso terno.
tenure	o mandato	O seu mandato durou seis anos.
terminal	terminal	O doente tinha uma doença terminal.
terminate	rescindir	A empresa pode rescindir o contrato.
terrain	o terreno	O terreno era difícil.
terrific	fantástico	A vista era fantástica.
testify	testemunhar	Ela concordou em testemunhar.
testimony	o testemunho	O seu testemunho foi detalhado.
texture	a textura	O tecido tem uma textura áspera.
thankfully	felizmente	Felizmente, ninguém ficou ferido.
theatrical	teatral	O discurso soou teatral.
theology	a teologia	Ele estudou teologia na universidade.
theoretical	teórico	O modelo é puramente teórico.
thereafter	depois disso	Depois disso, as regras mudaram.
thereby	assim	A mudança reduziu os custos, salvando assim empregos.
thoughtful	ponderado	A resposta dela foi ponderada.
thought-provoking	estimulante	O artigo era estimulante.
thread	a linha	A linha partiu-se facilmente.
threshold	o limiar	A votação ultrapassou o limiar.
thrilled	entusiasmado	Ela ficou entusiasmada com a notícia.
thrive	prosperar	As pequenas empresas podem prosperar aqui.
tide	a maré	A maré subiu rapidamente.
tighten	apertar	Aperte bem a tampa.
timber	a madeira	A casa usa madeira local.
timely	oportuno	O aviso foi oportuno.
tobacco	o tabaco	As vendas de tabaco diminuíram.
tolerance	a tolerância	A política incentiva a tolerância.
tolerate	tolerar	Não podemos tolerar abusos.
toll	o custo	A tempestade teve um custo elevado.
top	superar	As vendas podem superar o recorde do ano passado.
torture	a tortura	O tratado proíbe a tortura de forma absoluta.
