source_headword	NE	example_NE
allegation	आरोप	आरोप पत्रिकामा देखा पर्यो।
allege	आरोप लगाउनु	उनीहरूले रकम हराएको आरोप लगाए।
allegedly	कथित रूपमा	चालकले चेतावनीलाई कथित रूपमा बेवास्ता गरे।
alliance	गठबन्धन	पार्टीहरूले अस्थायी गठबन्धन बनाए।
allocate	विनियोजन गर्नु	सहरले विद्यालयका लागि रकम विनियोजन गर्नेछ।
allocation	बाँडफाँड	सिटको बाँडफाँड अनुचित थियो।
allowance	भत्ता	उनको भत्ताले दिउँसोको खाना र यातायातलाई समेट्छ।
ally	सहयोगी	क्यानाडा एक नजिकको सहयोगी बन्यो।
aluminium	आल्मुनियम	फ्रेम आल्मुनियमले बनेको छ।
amateur	शौकिया	एक शौकिया फोटोग्राफरले तस्विर लिए।
ambassador	राजदूत	राजदूतले स्थानीय विद्यार्थीहरूलाई भेटे।
amend	संशोधन गर्नु	संसदले कानुन संशोधन गर्न मतदान गर्यो।
amendment	संशोधन	संशोधनले एउटा अनुच्छेद परिवर्तन गर्यो।
amid	बीचमा	बढ्दो तनावको बीचमा भाषण आयो।
analogy	समानता	शिक्षकले सरल समानता प्रयोग गरे।
anchor	एङ्कर	डुङ्गाले टापुको नजिक एङ्कर खसाल्यो।
angel	परी	बच्चाले परीको पोशाक लगाएको थियो।
anonymous	गुमनाम	उजुरी गुमनाम थियो।
apparatus	उपकरण	प्रयोगशालाको उपकरण सफा गर्नुपर्छ।
appealing	आकर्षक	प्रस्ताव विद्यार्थीहरूलाई आकर्षक देखिन्छ।
appetite	भोक	व्यायामले उसको भोक बढायो।
applaud	ताली बजाउनु	दर्शकहरूले जोडले ताली बजाउन थाले।
applicable	लागू हुने	छुट आज लागू हुन्छ।
appoint	नियुक्त गर्नु	बोर्डले एक निर्देशक नियुक्त गर्नेछ।
appreciation	प्रशंसा	उनले उनीहरूको सहयोगको लागि प्रशंसा व्यक्त गरिन्।
arbitrary	स्वेच्छाचारी	समयसीमा कर्मचारीहरूलाई स्वेच्छाचारी लाग्यो।
architectural	वास्तुकला सम्बन्धी	शहरले आफ्नो वास्तुकला सम्पदाको रक्षा गर्दछ।
archive	अभिलेखालय	अभिलेखालयले पुराना तस्बिरहरू भण्डारण गर्छ।
arena	रंगशाला	बहस सार्वजनिक रंगमञ्चमा प्रवेश गर्यो।
arguably	तर्कसंगत रूपमा	यो तर्कसंगत रूपमा उनको उत्कृष्ट उपन्यास हो।
arm	हतियार दिनु	गार्डहरूले काफिलेलाई हतियार दिनेछन्।
array	शृंखला	पसलले उपकरणहरूको शृंखला प्रदान गर्दछ।
articulate	स्पष्ट बोल्नु	उनी जटिल विचारहरू स्पष्ट रूपमा व्यक्त गर्न सक्छिन्।
ash	खरानी	आगलागीपछि कारलाई खरानीले ढाकेको थियो।
aspiration	आकांक्षा	उनको आकांक्षा सर्जन बन्ने हो।
aspire	चाहनु	धेरै विद्यार्थीहरू विदेशमा अध्ययन गर्न चाहन्छन्।
assassination	हत्या	हत्याले देशको राजनीतिलाई परिवर्तन गर्यो।
assault	आक्रमण	आक्रमण स्टेशन नजिकै भयो।
assemble	जम्मा गर्नु	कामदारहरूले हातले फर्निचर जम्मा गर्छन्।
assembly	सभा	विद्यालयको सभा नौ बजे सुरु हुन्छ।
assert	दाबी गर्नु	उनले आफ्नो अधिकार दाबी गर्ने प्रयास गरे।
assertion	दाबी	उनको दाबीले प्यानललाई चकित पार्यो।
assurance	आश्वासन	प्रबन्धकले सहयोगको आश्वासन दिए।
asylum	शरण	परिवारले सिमानामा शरण माग्यो।
atrocity	अत्याचार	चलचित्रले युद्धको समयको अत्याचारको वर्णन गर्यो।
attain	प्राप्त गर्नु	थोरै धावकहरूले त्यो गति प्राप्त गर्छन्।
attendance	उपस्थिति	घोषणापछि उपस्थितिमा सुधार आयो।
attorney	वकिल	वकिलले साक्षीलाई प्रश्न गरे।
attribute	श्रेय दिनु	वैज्ञानिकहरूले वृद्धिको श्रेय प्रदूषणलाई दिन्छन्।
audit	लेखापरीक्षण	लेखापरीक्षणले धेरै त्रुटिहरू फेला पार्यो।
authentic	प्रामाणिक	रेस्टुरेन्टले प्रामाणिक क्षेत्रीय खाना पस्किन्छ।
authorize	अधिकार दिनु	प्रबन्धकहरूले मात्र फिर्तालाई अधिकार दिन सक्छन्।
auto	अटो	अटो उद्योग द्रुत रूपमा परिवर्तन भयो।
autonomy	स्वायत्तता	यस क्षेत्रले थप स्वायत्तता चाहन्छ।
availability	उपलब्धता	सिटहरूको उपलब्धता सीमित छ।
await	पर्खनु	धेरै सन्देशहरू तपाईंको जवाफको पर्खाइमा छन्।
backdrop	पृष्ठभूमि	पहाडहरूले एक नाटकीय पृष्ठभूमि बनाए।
backing	समर्थन	प्रस्तावले मतदाताहरूबाट समर्थन प्राप्त गर्‍यो।
backup	ब्याकअप	प्रणालीले दैनिक रूपमा ब्याकअप सिर्जना गर्दछ।
bail	धरौटी	न्यायाधीशले दिउँसो धरौटी तोके।
ballot	मतपत्र	प्रत्येक मतदाताले मतपत्र प्राप्त गरे।
banner	ब्यानर	प्रवेशद्वारमा ब्यानर झुण्डिएको थियो।
bare	खाली	कोठाको भित्ताहरू खाली थिए।
barrel	ब्यारेल	ब्यारेल पानीले भरिएको थियो।
bass1	बास	बासको आवाज गहिरो र न्यानो थियो।
battlefield	युद्धभूमि	पुरानो युद्धभूमि स्मारक बन्यो।
bay	खाडी	गाउँ शान्त खाडीको छेउमा अवस्थित छ।
beam	बिम	स्टिलको बिमले छानालाई समर्थन गर्दछ।
beast	जनावर	कथाले एउटा डरलाग्दो जनावरको वर्णन गर्छ।
behalf	तर्फबाट	उनले आफ्नो टोलीको तर्फबाट बोलिन्।
beloved	प्यारो	प्यारा शिक्षक आज सेवानिवृत्त भए।
bench	बेन्च	तिनीहरू काठको बेन्चमा बसे।
benchmark	बेन्चमार्क	परीक्षण उद्योगको बेन्चमार्क बन्यो।
beneath	तल	कागजातहरू फोल्डरको तल थिए।
beneficiary	लाभार्थी	उनको छोरा मुख्य लाभार्थी थियो।
betray	धोका दिनु	आफ्नो साथीको विश्वासलाई धोका नदिनुहोस्।
bind	बाँध्नु	सम्झौताले दुवै कम्पनीहरूलाई बाँध्नेछ।
biography	जीवनी	उनको जीवनीका धेरै प्रतिहरू बिक्री भए।
bishop	विशप	विशपले गाउँको चर्चको भ्रमण गरे।
bizarre	अनौठो	चलचित्रको अन्त्य अनौठो थियो।
blade	ब्लेड	ब्लेडले डोरी काट्यो।
blast	विस्फोट	विस्फोटले नजिकैका झ्यालहरू फुटायो।
bleed	रगत बग्नु	घाउबाट धेरै रगत बग्न थाल्यो।
blend	मिसाउनु	चिल्लो नभएसम्म सस मिसाउनुहोस्।
bless	आशिष् दिनु	पादरीले घरलाई आशिष् दिनेछन्।
blessing	आशिष्	समर्थन पाउनु एउटा आशिष् थियो।
boast	घमण्ड गर्नु	उसलाई पैसाको बारेमा घमण्ड गर्न मन पर्छ।
bonus	बोनस	कर्मचारीहरूले छुट्टीको बोनस प्राप्त गरे।
boom	वृद्धि	शहरले निर्माणमा ठूलो वृद्धि अनुभव गर्यो।
bounce	उफ्रनु	बल धेरै माथि उफ्रन सक्छ।
boundary	सीमा	नदीले सीमालाई जनाउँछ।
bow1	निहुरिनु	अभिनेता गहिरो रूपमा निहुरिए।
breach	उल्लङ्घन	उल्लङ्घनले निजी डाटा बाहिर ल्यायो।
breakdown	विवरण	रिपोर्टमा लागतको विवरण समावेश छ।
breakthrough	सफलता	यो खोज एक प्रमुख सफलता थियो।
breed	प्रजनन गर्नु	यी चराहरू वसन्तमा प्रजनन गर्छन्।
broadband	ब्रोडब्यान्ड	कार्यालयलाई छिटो ब्रोडब्यान्ड चाहिन्छ।
browser	ब्राउजर	लग इन गर्नु अघि आफ्नो ब्राउजर अपडेट गर्नुहोस्।
brutal	क्रुर	आक्रमण क्रुर र अचानक थियो।
buck	डलर	टिकटको मूल्य दस डलर पर्छ।
buddy	साथी	उसको साथी बाहिर पर्खिरहेको थियो।
buffer	बफर	रूखहरूले आवाजको बफर सिर्जना गर्छन्।
bulk	थोक	तिनीहरूले थोकमा चामल किने।
burden	बोझ	ऋण एउटा भारी बोझ बन्यो।
bureaucracy	नोकरशाही	नोकरशाहीले अनुमतिपत्रमा ढिलाइ गर्यो।
burial	अन्त्येष्टि	अन्त्येष्टि बिहानको समयमा भयो।
burst	फुट्नु	दबाबमा पाइप फुट्न सक्छ।
cabinet	मन्त्रिपरिषद्	मन्त्रिपरिषद्ले योजना स्वीकृत गर्यो।
calculation	गणना	गणना गर्न केही मिनेट लाग्यो।
canvas	क्यानभास	कलाकारले ठूलो क्यानभासमा चित्र कोरे।
capability	क्षमता	उपकरणमा वायरलेस क्षमता छ।
capitalism	पुँजीवाद	पुँजीवादले आधुनिक अर्थतन्त्रलाई आकार दियो।
capitalist	पुँजीवादी	पुँजीवादी प्रणालीले निजी लगानीलाई पुरस्कृत गर्छ।
cargo	सामान	जहाजले चिकित्सा सामान बोकेको थियो।
carriage	डिब्बा	रेलको डिब्बा लगभग खाली थियो।
carve	खोप्नु	उसले काठलाई ध्यानपूर्वक खोप्नेछ।
casino	क्यासिनो	होटल नजिकै क्यासिनो खुल्यो।
casualty	हताहत	दुर्घटनाले एक जनाको हताहत गरायो।
catalogue	क्याटलग	क्याटलगले प्रत्येक उत्पादनलाई सूचीबद्ध गर्दछ।
cater	प्रबन्ध गर्नु	रेस्टुरेन्टले ठूला कार्यक्रमहरूको प्रबन्ध गर्न सक्छ।
cattle	गाईवस्तु	गाईवस्तुहरू नदी नजिकै चरिरहेका थिए।
caution	सावधानी	हिउँ परेको सडकमा सावधानी अपनाउनुहोस्।
cautious	सतर्क	लगानीकर्ताहरू यस हप्ता सतर्क छन्।
cease	रोक्नु	कारखानाले चाँडै उत्पादन रोक्नेछ।
cemetery	चिहान	चिहानबाट समुद्र देखिन्छ।
chamber	कक्ष	मतदानको समयमा कक्ष शान्त थियो।
chaos	अराजकता	ढिलाइले एयरपोर्टमा अराजकता निम्त्यायो।
characterize	विशेषता बताउनु	विशेषज्ञहरूले योजनालाई जोखिमपूर्ण भनेर विशेषता बताउँछन्।
charm	आकर्षण	शहरमा पुरानो संसारको आकर्षण छ।
charter	बडापत्र	बडापत्रले आधारभूत अधिकारहरूको रक्षा गर्दछ।
chronic	दीर्घकालीन	ऊ दीर्घकालीन ढाड दुख्ने समस्याबाट पीडित छ।
chunk	टुक्रा	चीजलाई टुक्रामा काट्नुहोस्।
circulate	वितरण गर्नु	कृपया आज एजेन्डा वितरण गर्नुहोस्।
circulation	परिसंचरण	पत्रिकाको परिसंचरण तीव्र रूपमा घट्यो।
citizenship	नागरिकता	उनले फ्रान्सेली नागरिकताको लागि आवेदन दिइन्।
civic	नागरिक	नागरिक नेताहरू बैठकमा उपस्थित थिए।
civilian	नागरिक	धेरै नागरिक घरहरू क्षतिग्रस्त भए।
clarity	स्पष्टता	रेखाचित्रले रिपोर्टमा स्पष्टता थप्यो।
clash	झडप	मार्चपछि झडप सुरु भयो।
classification	वर्गीकरण	वर्गीकरण आकारमा निर्भर गर्दछ।
cling	टाँसिनु	भिजेको लुगा छालामा टाँसिन्छ।
clinical	क्लिनिकल	क्लिनिकल परीक्षण अर्को महिना सुरु हुन्छ।
closure	समापन	परिवारले मुद्दापछि समापन चाहन्थ्यो।
cluster	समूह	घरहरूको एउटा समूह नजिकै थियो।
coalition	गठबन्धन	गठबन्धनले आफ्नो बहुमत गुमायो।
coastal	तटीय	तटीय गाउँहरू बाढीको लागि तयार भए।
cocktail	ककटेल	उनले फलफूलको ककटेल अर्डर गरिन्।
cognitive	संज्ञानात्मक	संज्ञानात्मक सीपहरू अभ्यासबाट सुधार हुन्छन्।
coincide	मेल खानु	चाडपर्व स्नातक समारोहसँग मेल खानेछ।
collaborate	सहकार्य गर्नु	टोलीहरूले सफ्टवेयरमा सहकार्य गर्छन्।
collaboration	सहकार्य	तिनीहरूको सहकार्यले बलियो नतिजा ल्यायो।
collective	सामूहिक	निर्णय एउटा सामूहिक प्रयास थियो।
collision	ठक्कर	ठक्करले राजमार्ग बन्द गर्यो।
colonial	औपनिवेशिक	भवनमा औपनिवेशिक वास्तुकला छ।
columnist	स्तम्भकार	स्तम्भकारले नीतिको आलोचना गरे।
combat	लडाईं	सिपाहीहरूले लडाईंका लागि तालिम लिए।
commence	सुरु गर्नु	समारोह दिउँसो सुरु हुनेछ।
commentary	टिप्पणी	खेलको टिप्पणी जीवन्त थियो।
commentator	टिप्पणीकार	टिप्पणीकारले निर्णयको व्याख्या गरे।
commerce	वाणिज्य	अनलाइन वाणिज्य छिट्टै बढ्यो।
commissioner	आयुक्त	आयुक्तले नयाँ नियमहरू घोषणा गरे।
commodity	वस्तु	गहुँ एक महत्त्वपूर्ण वस्तु हो।
communist	कम्युनिस्ट	कम्युनिस्ट पार्टीले बैठक आयोजना गर्यो।
companion	साथी	उनको कुकुर एउटा वफादार साथी हो।
comparable	तुलनात्मक	दुई सहरहरू आकारमा तुलनात्मक छन्।
compassion	करुणा	नर्सले ठूलो करुणा देखाइन्।
compel	बाध्य पार्नु	प्रमाणले जवाफ दिन बाध्य पार्न सक्छ।
compelling	प्रभावकारी	वृत्तचित्रले एक प्रभावकारी तर्क प्रस्तुत गर्यो।
compensate	क्षतिपूर्ति दिनु	कम्पनीले प्रभावित ग्राहकहरूलाई क्षतिपूर्ति दिनेछ।
compensation	क्षतिपूर्ति	कामदारहरूले उचित क्षतिपूर्तिको माग गरे।
competence	क्षमता	परीक्षणले व्यावसायिक क्षमता मापन गर्दछ।
competent	सक्षम	उनी एक सक्षम इन्जिनियर हुन्।
compile	सङ्कलन गर्नु	अनुसन्धानकर्ताहरूले अस्पतालहरूबाट डाटा सङ्कलन गर्छन्।
complement	पूरक हुनु	रक्सीले खानालाई पूरक गर्नेछ।
complexity	जटिलता	परियोजनामा अप्रत्याशित जटिलता छ।
compliance	अनुपालन	लेखापरीक्षणले कानुनी अनुपालन जाँच गर्यो।
complication	जटिलता	शल्यक्रियामा एक जटिलता थियो।
comply	पालना गर्नु	कम्पनीहरूले नियमहरू पालना गर्नुपर्छ।
composition	रचना	रचनामा भायोलिन र पियानो समावेश छन्।
compromise	सम्झौता	सम्झौताले दुवै पक्षलाई सन्तुष्ट बनायो।
compute	गणना गर्नु	कार्यक्रमले कुल गणना गर्न सक्छ।
conceal	लुकाउनु	उनले क्षति लुकाउने प्रयास गरे।
concede	स्वीकार गर्नु	मन्त्रीले हार स्वीकार गर्न मानेनन्।
conceive	कल्पना गर्नु	उनीहरूले राम्रो योजनाको कल्पना गर्न सकेनन्।
conception	अवधारणा	चलचित्रले इतिहासप्रतिको मेरो अवधारणा बदल्यो।
concession	सहुलियत	कम्पनीले एउटा सहुलियत दियो।
condemn	निन्दा गर्नु	नेताहरूले सार्वजनिक रूपमा आक्रमणको निन्दा गर्छन्।
confer	प्रदान गर्नु	पुरस्कारले प्रतिष्ठा प्रदान गर्नेछ।
confession	स्वीकारोक्ति	उनको स्वीकारोक्तिले अदालतलाई छक्क पार्यो।
configuration	कन्फिगरेसन	कन्फिगरेसनले नेटवर्क पहुँच नियन्त्रण गर्दछ।
confine	सीमित राख्नु	नियमहरूले कुकुरहरूलाई यस क्षेत्रमा सीमित राख्छन्।
confirmation	पुष्टि	हामीले इमेलद्वारा पुष्टि प्राप्त गर्यौं।
confront	सामना गर्नु	उनले समस्याको सामना गर्ने निर्णय गरिन्।
confrontation	मुठभेड	मुठभेड हिंसा बिना समाप्त भयो।
congratulate	बधाई दिनु	मैले मेरी बहिनीलाई बधाई दिन फोन गरें।
congregation	मण्डली	मण्डलीले सँगै गीत गायो।
congressional	कङ्ग्रेसको	कङ्ग्रेसको सुनुवाइ घण्टौंसम्म चल्यो।
conquer	जित्नु	टोलीले बजार जित्ने आशा राखेको छ।
conscience	विवेक	उसको विवेकले झूट बोल्न अनुमति दिएन।
consciousness	चेतना	दुर्घटनाले उसको चेतनालाई असर गर्यो।
consecutive	लगातार	उनले लगातार तीन खेल जितिन्।
consensus	सहमति	समिति छिट्टै सहमतिमा पुग्यो।
consent	सहमति	लिखित सहमति आवश्यक छ।
conserve	संरक्षण गर्नु	खडेरीको समयमा हामी पानीको संरक्षण गर्छौं।
consistency	निरन्तरता	भाषा अध्ययनमा निरन्तरताले महत्त्व राख्छ।
consolidate	एकीकृत गर्नु	कम्पनीले दुई कार्यालयहरू एकीकृत गर्नेछ।
constituency	निर्वाचन क्षेत्र	उम्मेदवारले हरेक निर्वाचन क्षेत्रको भ्रमण गरे।
constitute	गठन गर्नु	समितिमा आधा महिला छन्।
constitution	संविधान	संविधानले स्वतन्त्र अभिव्यक्तिको ग्यारेन्टी गर्दछ।
constitutional	संवैधानिक	अदालतले संवैधानिक अधिकारहरूको समीक्षा गर्यो।
constraint	बाधा	बजेटको बाधाले परियोजनालाई सीमित गर्यो।
consultation	परामर्श	परामर्श दुई हप्तासम्म चल्यो।
contemplate	विचार गर्नु	उनले प्रस्तावलाई विचार गर्न रोकिइन्।
contempt	अवहेलना	उनले नियमहरूप्रति अवहेलना देखाए।
contend	प्रतिस्पर्धा गर्नु	धेरै फर्महरूले सम्झौताको लागि प्रतिस्पर्धा गर्छन्।
contender	दावेदार	उनी एक बलियो दावेदार हुन्।
content2	सन्तुष्ट	उनी नतिजाबाट सन्तुष्ट भए।
contention	विवाद	मुख्य विवाद कोषसँग सम्बन्धित छ।
continually	निरन्तर	प्रणालीले निरन्तर त्रुटिहरू जाँच गर्दछ।
contractor	ठेकेदार	ठेकेदारले छत मर्मत गर्यो।
contradiction	विरोधाभास	उसको भनाइमा विरोधाभास थियो।
contrary	विपरीत	विपरीत प्रमाणले मुद्दा बदल्यो।
contributor	योगदानकर्ता	उनी एक नियमित योगदानकर्ता हुन्।
conversion	रूपान्तरण	रूपान्तरणले डलरलाई युरोमा परिणत गर्यो।
convict	दोषी ठहर गर्नु	जुरीले संदिग्धलाई दोषी ठहर गर्न सक्छ।
conviction	दोषसिद्धि	उनको दोषसिद्धिले जनतालाई स्तब्ध बनायो।
cooperate	सहयोग गर्नु	कृपया अनुसन्धानमा सहयोग गर्नुहोस्।
cooperative	सहयोगी	कर्मचारीहरू सहयोगी र शान्त थिए।
coordinate	समन्वय गर्नु	तिनीहरू हरेक बिहान डेलिभरीको समन्वय गर्छन्।
coordination	समन्वय	राम्रो समन्वयले समय बचायो।
coordinator	संयोजक	संयोजकले प्रत्येक कार्य तोके।
cop	प्रहरी	एउटा प्रहरी स्टेसनबाहिर उभिएको थियो।
copper	तामा	पाइप तामाको बनेको छ।
copyright	प्रतिलिपि अधिकार	यो तस्बिर प्रतिलिपि अधिकारद्वारा सुरक्षित छ।
correction	सुधार	शिक्षकले एउटा सुधार गरे।
correlate	सहसम्बन्ध हुनु	उच्च तनावको रोगसँग सहसम्बन्ध हुन सक्छ।
correlation	सहसम्बन्ध	अध्ययनले बलियो सहसम्बन्ध फेला पार्यो।
correspond	मेल खानु	यी सङ्ख्याहरू लेबलहरूसँग मेल खान्छन्।
correspondence	पत्राचार	तिनीहरूको पत्राचार वर्षौंसम्म चल्यो।
correspondent	संवाददाता	संवाददाताले कायरोबाट रिपोर्ट गरे।
corresponding	अनुरूप	प्रत्येक बटनको अनुरूप बत्ती छ।
corrupt	भ्रष्ट	भ्रष्ट अधिकारीले पैसा स्वीकार गरे।
corruption	भ्रष्टाचार	भ्रष्टाचारले जनविश्वास कमजोर बनायो।
costly	महँगो	टोलीका लागि यो गल्ती महँगो साबित भयो।
councillor	काउन्सिलर	काउन्सिलरले बासिन्दाहरूको प्रश्नको जवाफ दिए।
counselling	परामर्श	दुर्घटनापछि उनले परामर्श लिइन्।
counsellor	परामर्शदाता	परामर्शदाताले नयाँ विद्यार्थीहरूलाई सहयोग गरे।
counter (argue against)	खण्डन गर्नु	उनले उसको तर्कको खण्डन गर्ने प्रयास गरिन्।
counterpart	समकक्षी	उनले आफ्ना जापानी समकक्षीलाई भेटे।
countless	अनगिन्ती	अनगिन्ती स्वयंसेवकहरू खोजीमा सामेल भए।
coup	सत्तापलट	सत्तापलटले राष्ट्रपतिलाई हटायो।
courtesy	शिष्टाचार	उनले उनीहरूको शिष्टाचारका लागि धन्यवाद दिइन्।
