simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
吃	食べる	私はりんごを食べます。	먹다	저는 사과를 먹어요.	ăn	Tôi ăn táo.	กิน	ฉันกินแอปเปิล	makan	Saya makan epal.	makan	Saya makan apel.
出租车	タクシー	私はタクシーで学校へ行きます。	택시	저는 택시를 타고 학교에 가요.	taxi	Tôi đi taxi đến trường.	แท็กซี่	ฉันนั่งแท็กซี่ไปโรงเรียน	teksi	Saya naik teksi ke sekolah.	taksi	Saya naik taksi ke sekolah.
打电话	電話をかける	私は電話をかけます。	전화하다	저는 전화를 해요.	gọi điện thoại	Tôi gọi điện thoại.	โทรศัพท์	ฉันโทรศัพท์	menelefon	Saya menelefon.	menelepon	Saya menelepon.
大	大きい	この学校は大きいです。	크다	이 학교는 커요.	to; lớn	Trường này lớn.	ใหญ่	โรงเรียนนี้ใหญ่	besar	Sekolah ini besar.	besar	Sekolah ini besar.
的	〜の; 所有を表す助詞	これは私の本です。	~의; 소유격 조사	이것은 제 책이에요.	của; trợ từ sở hữu	Đây là sách của tôi.	ของ; คำช่วยแสดงความเป็นเจ้าของ	นี่คือหนังสือของฉัน	kepunyaan; partikel milik	Ini buku saya.	milik; partikel posesif	Ini buku saya.
点	時; 点; 少し	今は八時です。	시; 점; 조금	지금은 여덟 시예요.	giờ; điểm; một chút	Bây giờ là tám giờ.	โมง; จุด; นิดหน่อย	ตอนนี้แปดโมง	jam; titik; sedikit	Sekarang pukul lapan.	jam; titik; sedikit	Sekarang jam delapan.
电脑	コンピューター; パソコン	私のパソコンは机の上にあります。	컴퓨터	제 컴퓨터는 책상 위에 있어요.	máy tính	Máy tính của tôi ở trên bàn.	คอมพิวเตอร์	คอมพิวเตอร์ของฉันอยู่บนโต๊ะ	komputer	Komputer saya di atas meja.	komputer	Komputer saya ada di atas meja.
电视	テレビ	私はテレビを見ます。	텔레비전; 티비	저는 텔레비전을 봐요.	ti vi	Tôi xem ti vi.	โทรทัศน์; ทีวี	ฉันดูทีวี	televisyen; TV	Saya menonton TV.	televisi; TV	Saya menonton TV.
电影	映画	私は映画が好きです。	영화	저는 영화를 좋아해요.	phim	Tôi thích phim.	ภาพยนตร์; หนัง	ฉันชอบดูหนัง	filem	Saya suka filem.	film	Saya suka film.
东西	物; もの	これは何ですか。	물건; 것	이것은 무엇이에요?	đồ; thứ	Cái này là gì?	ของ; สิ่งของ	นี่คืออะไร	benda; barang	Apakah benda ini?	benda; barang	Apa benda ini?
都	みんな; すべて	私たちはみんな学生です。	모두; 다	우리는 모두 학생이에요.	đều; tất cả	Chúng tôi đều là học sinh.	ทั้งหมด; ต่างก็	พวกเราทุกคนเป็นนักเรียน	semua; kedua-duanya	Kami semua pelajar.	semua; keduanya	Kami semua siswa.
读	読む; 勉強する	私は本を読みます。	읽다; 공부하다	저는 책을 읽어요.	đọc; học	Tôi đọc sách.	อ่าน; เรียน	ฉันอ่านหนังสือ	membaca; belajar	Saya membaca buku.	membaca; belajar	Saya membaca buku.
对不起	すみません; ごめんなさい	すみません、あなたを知りません。	미안합니다; 죄송합니다	죄송해요, 저는 누군지 몰라요.	xin lỗi	Xin lỗi, tôi không biết bạn.	ขอโทษ	ขอโทษ ฉันไม่รู้จักคุณ	maaf	Maaf, saya tidak kenal kamu.	maaf	Maaf, saya tidak kenal kamu.
多	多い; たくさん	私には友達がたくさんいます。	많다; 많이	저는 친구가 많아요.	nhiều	Tôi có nhiều bạn.	มาก; หลาย	ฉันมีเพื่อนหลายคน	banyak	Saya ada banyak kawan.	banyak	Saya punya banyak teman.
多少	いくら; いくつ; どのくらい	このカップはいくらですか。	얼마; 얼마나	이 컵은 얼마예요?	bao nhiêu	Cái cốc này bao nhiêu tiền?	เท่าไร; กี่	แก้วใบนี้ราคาเท่าไร	berapa	Berapa harga cawan ini?	berapa	Berapa harga cangkir ini?
儿子	息子	私の息子は学生です。	아들	제 아들은 학생이에요.	con trai	Con trai tôi là học sinh.	ลูกชาย	ลูกชายของฉันเป็นนักเรียน	anak lelaki	Anak lelaki saya pelajar.	anak laki-laki	Anak laki-laki saya siswa.
二	二	二月は寒いです。	둘; 이	2월은 추워요.	hai	Tháng Hai lạnh.	สอง	เดือนกุมภาพันธ์หนาว	dua	Bulan Februari sejuk.	dua	Bulan Februari dingin.
饭馆	レストラン; 食堂	レストランは学校の前にあります。	식당	식당은 학교 앞에 있어요.	nhà hàng	Quán ăn ở trước trường.	ร้านอาหาร	ร้านอาหารอยู่หน้าโรงเรียน	restoran	Restoran di hadapan sekolah.	restoran	Restoran ada di depan sekolah.
飞机	飛行機	私は飛行機で北京へ行きます。	비행기	저는 비행기를 타고 베이징에 가요.	máy bay	Tôi đi máy bay đến Bắc Kinh.	เครื่องบิน	ฉันนั่งเครื่องบินไปปักกิ่ง	kapal terbang	Saya naik kapal terbang ke Beijing.	pesawat	Saya naik pesawat ke Beijing.
分钟	分	私は五分勉強します。	분	저는 오 분 동안 공부해요.	phút	Tôi học năm phút.	นาที	ฉันเรียนห้านาที	minit	Saya belajar selama lima minit.	menit	Saya belajar selama lima menit.
高兴	うれしい; 楽しい	今日はとてもうれしいです。	기쁘다; 즐겁다	저는 오늘 매우 기뻐요.	vui; vui mừng	Hôm nay tôi rất vui.	ดีใจ	วันนี้ฉันดีใจมาก	gembira; senang	Hari ini saya sangat gembira.	senang; gembira	Hari ini saya sangat senang.
个	一般的な助数詞	私には友達が一人います。	일반 분류사; 개	저는 친구가 한 명 있어요.	lượng từ chung	Tôi có một người bạn.	ลักษณนามทั่วไป	ฉันมีเพื่อนหนึ่งคน	penjodoh bilangan umum	Saya ada seorang kawan.	kata bantu bilangan umum	Saya punya seorang teman.
工作	働く; 仕事	私は北京で働いています。	일하다; 일	저는 베이징에서 일해요.	làm việc; công việc	Tôi làm việc ở Bắc Kinh.	ทำงาน; งาน	ฉันทำงานที่ปักกิ่ง	bekerja; kerja	Saya bekerja di Beijing.	bekerja; pekerjaan	Saya bekerja di Beijing.
狗	犬	私は犬が好きです。	개	저는 개를 좋아해요.	chó	Tôi thích chó.	สุนัข; หมา	ฉันชอบสุนัข	anjing	Saya suka anjing.	anjing	Saya suka anjing.
汉语	中国語	私は中国語を勉強します。	중국어	저는 중국어를 공부해요.	tiếng Trung	Tôi học tiếng Trung.	ภาษาจีน	ฉันเรียนภาษาจีน	bahasa Cina	Saya belajar bahasa Cina.	bahasa Mandarin	Saya belajar bahasa Mandarin.
好	良い; 上手	今日は天気が良いです。	좋다; 잘	오늘 날씨가 좋아요.	tốt; khỏe	Hôm nay trời đẹp.	ดี	วันนี้อากาศดี	baik	Hari ini cuaca baik.	baik; bagus	Cuaca hari ini bagus.
喝	飲む	私は水を飲みます。	마시다	저는 물을 마셔요.	uống	Tôi uống nước.	ดื่ม	ฉันดื่มน้ำ	minum	Saya minum air.	minum	Saya minum air.
和	〜と; そして	私は友達と学校へ行きます。	~와; 그리고	저는 친구와 학교에 가요.	và; với	Tôi đi học với bạn.	และ; กับ	ฉันไปโรงเรียนกับเพื่อน	dan; dengan	Saya pergi ke sekolah dengan kawan.	dan; dengan	Saya pergi ke sekolah dengan teman.
很	とても	彼女はとてもきれいです。	매우; 아주	그녀는 매우 예뻐요.	rất	Cô ấy rất xinh.	มาก	เธอสวยมาก	sangat	Dia sangat cantik.	sangat	Dia sangat cantik.
后面	後ろ; 後ろ側	学校はレストランの後ろにあります。	뒤; 뒤쪽	학교는 식당 뒤에 있어요.	phía sau	Trường ở phía sau nhà hàng.	ข้างหลัง; ด้านหลัง	โรงเรียนอยู่หลังร้านอาหาร	belakang	Sekolah di belakang restoran.	belakang	Sekolah ada di belakang restoran.
回	帰る; 戻る	私は家に帰ります。	돌아가다; 돌아오다	저는 집에 돌아가요.	về; trở lại	Tôi về nhà.	กลับ	ฉันกลับบ้าน	balik; pulang	Saya pulang ke rumah.	pulang; kembali	Saya pulang ke rumah.
会	できる; 〜できる	私は中国語を話せます。	할 수 있다; 줄 알다	저는 중국어를 할 수 있어요.	biết; có thể	Tôi biết nói tiếng Trung.	เป็น; สามารถ	ฉันพูดภาษาจีนได้	boleh; tahu	Saya boleh bercakap bahasa Cina.	bisa; tahu	Saya bisa berbicara bahasa Mandarin.
火车站	駅; 鉄道駅	駅は大きいです。	기차역	기차역은 커요.	ga tàu	Nhà ga rất lớn.	สถานีรถไฟ	สถานีรถไฟใหญ่	stesen kereta api	Stesen kereta api itu besar.	stasiun kereta api	Stasiun kereta api itu besar.
几	いくつ; 何人	友達は何人いますか。	몇; 몇 개	친구가 몇 명 있어요?	mấy; vài	Bạn có mấy người bạn?	กี่; หลาย	คุณมีเพื่อนกี่คน	beberapa; berapa	Berapa orang kawan kamu?	berapa; beberapa	Kamu punya berapa teman?
家	家; 家族	私の家は北京にあります。	집; 가족	제 집은 베이징에 있어요.	nhà; gia đình	Nhà tôi ở Bắc Kinh.	บ้าน; ครอบครัว	บ้านของฉันอยู่ที่ปักกิ่ง	rumah; keluarga	Rumah saya di Beijing.	rumah; keluarga	Rumah saya ada di Beijing.
叫	〜という名前である; 呼ぶ	お名前は何ですか。	이름이 ~이다; 부르다	이름이 뭐예요?	gọi; tên là	Bạn tên là gì?	ชื่อว่า; เรียก	คุณชื่ออะไร	bernama; memanggil	Siapa nama kamu?	bernama; memanggil	Siapa nama kamu?
今天	今日	今日は暑いです。	오늘	오늘은 더워요.	hôm nay	Hôm nay trời nóng.	วันนี้	วันนี้ร้อน	hari ini	Hari ini panas.	hari ini	Hari ini panas.
九	九	今は九時です。	아홉; 구	지금은 아홉 시예요.	chín	Bây giờ là chín giờ.	เก้า	ตอนนี้เก้าโมง	sembilan	Sekarang pukul sembilan.	sembilan	Sekarang jam sembilan.
开	開ける; つける	私はコンピューターをつけます。	열다; 켜다	저는 컴퓨터를 켜요.	mở; bật	Tôi bật máy tính.	เปิด	ฉันเปิดคอมพิวเตอร์	membuka; menghidupkan	Saya menghidupkan komputer.	membuka; menyalakan	Saya menyalakan komputer.
看	見る; 読む	私は本を読みます。	보다; 읽다	저는 책을 읽어요.	xem; đọc	Tôi đọc sách.	ดู; อ่าน	ฉันอ่านหนังสือ	melihat; membaca	Saya membaca buku.	melihat; membaca	Saya membaca buku.
看见	見える; 見かける	先生が見えます。	보다; 보이다	선생님이 보여요.	nhìn thấy	Tôi nhìn thấy thầy giáo.	เห็น	ฉันเห็นครู	nampak; melihat	Saya nampak guru.	melihat	Saya melihat guru.
块	かけら; 元	この本は十元です。	조각; 위안	이 책은 십 위안이에요.	miếng; tệ	Quyển sách này mười tệ.	ชิ้น; หยวน	หนังสือเล่มนี้สิบหยวน	keping; yuan	Buku ini sepuluh yuan.	potong; yuan	Buku ini sepuluh yuan.
来	来る	彼は学校へ来ます。	오다	그는 학교에 와요.	đến	Anh ấy đến trường.	มา	เขามาโรงเรียน	datang	Dia datang ke sekolah.	datang	Dia datang ke sekolah.
老师	先生; 教師	先生は学校にいます。	선생님	선생님은 학교에 있어요.	giáo viên; thầy cô	Giáo viên ở trường.	ครู	ครูอยู่ที่โรงเรียน	guru	Guru ada di sekolah.	guru	Guru ada di sekolah.
了	完了を表す助詞	私はご飯を食べました。	완료를 나타내는 조사	저는 밥을 먹었어요.	trợ từ hoàn thành	Tôi đã ăn cơm.	คำช่วยแสดงการเสร็จสิ้น	ฉันกินข้าวแล้ว	partikel selesai	Saya sudah makan nasi.	partikel aspek selesai	Saya sudah makan nasi.
冷	寒い; 冷たい	今日は寒いです。	춥다; 차갑다	오늘은 추워요.	lạnh	Hôm nay lạnh.	หนาว; เย็น	วันนี้หนาว	sejuk; dingin	Hari ini sejuk.	dingin	Hari ini dingin.
里	中; 内	カップの中に水があります。	안; 속	컵 안에 물이 있어요.	trong	Bên trong cốc có nước.	ใน; ข้างใน	ในแก้วมีน้ำ	dalam	Dalam cawan ada air.	dalam	Di dalam gelas ada air.
零	ゼロ; 零	ゼロは一ではありません。	영; 0	영은 일이 아니에요.	không	Số không không phải là một.	ศูนย์	ศูนย์ไม่ใช่หนึ่ง	sifar	Sifar bukan satu.	nol	Nol bukan satu.
六	六	今は六時です。	여섯; 육	지금은 여섯 시예요.	sáu	Bây giờ là sáu giờ.	หก	ตอนนี้หกโมง	enam	Sekarang pukul enam.	enam	Sekarang jam enam.
妈妈	お母さん; 母	お母さんはお茶を飲みます。	엄마; 어머니	엄마는 차를 마셔요.	mẹ	Mẹ uống trà.	แม่	แม่ดื่มชา	ibu; emak	Ibu minum teh.	ibu; mama	Ibu minum teh.
吗	はい・いいえ疑問の助詞	学生ですか。	예-아니요 의문 조사	학생이에요?	trợ từ nghi vấn có-không	Bạn là học sinh phải không?	คำช่วยคำถามใช่ไหม	คุณเป็นนักเรียนไหม	partikel soalan ya-tidak	Adakah kamu pelajar?	partikel tanya ya-tidak	Apakah kamu siswa?
买	買う	私はりんごを買います。	사다	저는 사과를 사요.	mua	Tôi mua táo.	ซื้อ	ฉันซื้อแอปเปิล	membeli	Saya membeli epal.	membeli	Saya membeli apel.
猫	猫	猫は椅子の上にいます。	고양이	고양이는 의자 위에 있어요.	mèo	Con mèo ở trên ghế.	แมว	แมวอยู่บนเก้าอี้	kucing	Kucing di atas kerusi.	kucing	Kucing ada di atas kursi.
没	ない; まだ〜ない	私はお金がありません。	없다; 안	저는 돈이 없어요.	không có; chưa	Tôi không có tiền.	ไม่มี; ไม่ได้	ฉันไม่มีเงิน	tidak ada; belum	Saya tidak ada wang.	tidak punya; belum	Saya tidak punya uang.
没关系	大丈夫; 問題ない	大丈夫です。	괜찮아요; 상관없어요	괜찮아요.	không sao; không vấn đề gì	Không sao.	ไม่เป็นไร	ไม่เป็นไร	tidak apa-apa; tidak mengapa	Tidak apa-apa.	tidak apa-apa	Tidak apa-apa.
米饭	ご飯; 炊いた米	私はご飯を食べます。	밥; 지은 쌀	저는 밥을 먹어요.	cơm	Tôi ăn cơm.	ข้าวสวย	ฉันกินข้าว	nasi	Saya makan nasi.	nasi	Saya makan nasi.
名字	名前	お名前は何ですか。	이름	이름이 뭐예요?	tên	Bạn tên là gì?	ชื่อ	คุณชื่ออะไร	nama	Siapa nama kamu?	nama	Siapa nama kamu?
明天	明日	明日、私は北京へ行きます。	내일	내일 저는 베이징에 가요.	ngày mai	Ngày mai tôi đi Bắc Kinh.	พรุ่งนี้	พรุ่งนี้ฉันไปปักกิ่ง	esok	Esok saya pergi ke Beijing.	besok	Besok saya pergi ke Beijing.
哪	どれ; どこ	どこへ行きますか。	어느; 어디	어디에 가요?	nào; đâu	Bạn đi đâu?	ไหน; ที่ไหน	คุณไปไหน	mana	Kamu pergi ke mana?	mana	Kamu pergi ke mana?
那	あれ; それ	あれは私の先生です。	저; 그	저분은 제 선생님이에요.	đó; kia	Đó là giáo viên của tôi.	นั่น; นั้น	นั่นคือครูของฉัน	itu	Itu guru saya.	itu	Itu guru saya.
呢	疑問助詞; 〜は	あなたは？	의문 조사; ~은요	너는?	trợ từ nghi vấn; còn	Còn bạn thì sao?	คำช่วยถาม; แล้วล่ะ	แล้วคุณล่ะ	partikel tanya; pula	Bagaimana dengan kamu?	partikel tanya; bagaimana dengan	Bagaimana dengan kamu?
能	できる; 可能である	行ってもいいですか。	할 수 있다; 가능하다	제가 가도 돼요?	có thể	Tôi có thể đi không?	สามารถ; ได้	ฉันไปได้ไหม	boleh; mampu	Boleh saya pergi?	bisa; mampu	Bolehkah saya pergi?
你	あなた; 君	お元気ですか。	너	잘 지내요?	bạn; anh; chị	Bạn khỏe không?	คุณ; เธอ	คุณสบายดีไหม	kamu; awak	Apa khabar?	kamu	Apa kabar?
年	年	一年は十二か月あります。	년; 해	일 년은 열두 달이에요.	năm	Một năm có mười hai tháng.	ปี	หนึ่งปีมีสิบสองเดือน	tahun	Setahun ada dua belas bulan.	tahun	Satu tahun ada dua belas bulan.
女儿	娘	彼女の娘はとてもきれいです。	딸	그녀의 딸은 매우 예뻐요.	con gái	Con gái cô ấy rất xinh.	ลูกสาว	ลูกสาวของเธอสวยมาก	anak perempuan	Anak perempuannya sangat cantik.	anak perempuan	Anak perempuannya sangat cantik.
朋友	友達	彼は私の友達です。	친구	그는 제 친구예요.	bạn bè; bạn	Anh ấy là bạn của tôi.	เพื่อน	เขาเป็นเพื่อนของฉัน	kawan; teman	Dia kawan saya.	teman; kawan	Dia teman saya.
漂亮	きれい; 美しい	彼女はとてもきれいです。	예쁘다; 아름답다	그녀는 매우 예뻐요.	đẹp	Cô ấy rất đẹp.	สวย	เธอสวยมาก	cantik	Dia sangat cantik.	cantik	Dia sangat cantik.
苹果	りんご	私はりんごが好きです。	사과	저는 사과를 좋아해요.	táo	Tôi thích táo.	แอปเปิล	ฉันชอบแอปเปิล	epal	Saya suka epal.	apel	Saya suka apel.
七	七	今は七時です。	일곱; 칠	지금은 일곱 시예요.	bảy	Bây giờ là bảy giờ.	เจ็ด	ตอนนี้เจ็ดโมง	tujuh	Sekarang pukul tujuh.	tujuh	Sekarang jam tujuh.
前面	前; 前方	レストランは店の前にあります。	앞; 앞쪽	식당은 가게 앞에 있어요.	phía trước	Nhà hàng ở trước cửa hàng.	ข้างหน้า; ด้านหน้า	ร้านอาหารอยู่หน้าร้าน	hadapan; depan	Restoran di hadapan kedai.	depan	Restoran ada di depan toko.
钱	お金	私はお金がありません。	돈	저는 돈이 없어요.	tiền	Tôi không có tiền.	เงิน	ฉันไม่มีเงิน	wang	Saya tidak ada wang.	uang	Saya tidak punya uang.
请	どうぞ; ください; 招く	どうぞお茶を飲んでください。	부디; 청하다; 초대하다	차를 드세요.	xin; mời; làm ơn	Mời bạn uống trà.	กรุณา; เชิญ	เชิญดื่มชา	sila; menjemput	Sila minum teh.	silakan; mengundang	Silakan minum teh.
去	行く	私は学校へ行きます。	가다	저는 학교에 가요.	đi	Tôi đi học.	ไป	ฉันไปโรงเรียน	pergi	Saya pergi ke sekolah.	pergi	Saya pergi ke sekolah.
热	暑い; 熱い	今日は暑いです。	덥다; 뜨겁다	오늘은 더워요.	nóng	Hôm nay trời nóng.	ร้อน	วันนี้ร้อน	panas	Hari ini panas.	panas	Hari ini panas.
人	人; 人々	学校には人がたくさんいます。	사람; 사람들	학교에 사람이 많아요.	người	Có nhiều người ở trường.	คน	ที่โรงเรียนมีคนมาก	orang	Ada ramai orang di sekolah.	orang	Ada banyak orang di sekolah.
认识	知っている; 見知っている	私は彼を知っています。	알다; 알아보다	저는 그를 알아요.	biết; quen	Tôi biết anh ấy.	รู้จัก	ฉันรู้จักเขา	mengenali; tahu	Saya kenal dia.	mengenal; tahu	Saya kenal dia.
日	日; 日付	今日は三月一日です。	일; 날짜	오늘은 3월 1일이에요.	ngày; ngày tháng	Hôm nay là ngày mùng một tháng Ba.	วัน; วันที่	วันนี้วันที่หนึ่งมีนาคม	hari; tarikh	Hari ini satu Mac.	hari; tanggal	Hari ini tanggal satu Maret.
三	三	私はカップを三つ持っています。	셋; 삼	저는 컵이 세 개 있어요.	ba	Tôi có ba cái cốc.	สาม	ฉันมีแก้วสามใบ	tiga	Saya ada tiga cawan.	tiga	Saya punya tiga cangkir.
商店	店	店は学校の前にあります。	가게; 상점	가게는 학교 앞에 있어요.	cửa hàng	Cửa hàng ở trước trường.	ร้านค้า	ร้านค้าอยู่หน้าโรงเรียน	kedai	Kedai di hadapan sekolah.	toko	Toko ada di depan sekolah.
上	上; 〜の上に	本は机の上にあります。	위; 위에	책은 책상 위에 있어요.	trên; phía trên	Sách ở trên bàn.	บน; ข้างบน	หนังสืออยู่บนโต๊ะ	atas	Buku di atas meja.	atas	Buku ada di atas meja.
上午	午前; 朝	午前、私は中国語を勉強します。	오전; 아침	오전에 저는 중국어를 공부해요.	buổi sáng; trước trưa	Buổi sáng tôi học tiếng Trung.	ตอนเช้า; ช่วงเช้า	ตอนเช้าฉันเรียนภาษาจีน	pagi; sebelum tengah hari	Pada waktu pagi, saya belajar bahasa Cina.	pagi; sebelum siang	Pada pagi hari, saya belajar bahasa Mandarin.
少	少ない; 少し	学生は少ないです。	적다; 조금	학생이 적어요.	ít	Có ít học sinh.	น้อย	มีนักเรียนน้อย	sedikit	Jumlah pelajar sedikit.	sedikit	Siswanya sedikit.
什么	何	これは何ですか。	무엇; 뭐	이것은 뭐예요?	gì	Cái này là gì?	อะไร	นี่คืออะไร	apa	Ini apa?	apa	Ini apa?
十	十	私は本を十冊持っています。	열; 십	저는 책이 열 권 있어요.	mười	Tôi có mười quyển sách.	สิบ	ฉันมีหนังสือสิบเล่ม	sepuluh	Saya ada sepuluh buku.	sepuluh	Saya punya sepuluh buku.
时候	時; とき	いつ来ますか。	때; 시간	언제 와요?	lúc; thời gian	Khi nào bạn đến?	เวลา; ตอน	คุณจะมาเมื่อไร	masa; waktu	Bila kamu datang?	waktu; saat	Kapan kamu datang?
是	〜である; はい	私は学生です。	이다; 맞다	저는 학생이에요.	là; đúng	Tôi là học sinh.	เป็น; ใช่	ฉันเป็นนักเรียน	ialah; adalah; ya	Saya pelajar.	adalah; ialah; ya	Saya siswa.
书	本	私は本を読みます。	책	저는 책을 읽어요.	sách	Tôi đọc sách.	หนังสือ	ฉันอ่านหนังสือ	buku	Saya membaca buku.	buku	Saya membaca buku.
谁	誰	彼は誰ですか。	누구	그는 누구예요?	ai	Anh ấy là ai?	ใคร	เขาเป็นใคร	siapa	Siapa dia?	siapa	Siapa dia?
水	水	私は水を飲みます。	물	저는 물을 마셔요.	nước	Tôi uống nước.	น้ำ	ฉันดื่มน้ำ	air	Saya minum air.	air	Saya minum air.
水果	果物	私は果物を買います。	과일	저는 과일을 사요.	trái cây	Tôi mua trái cây.	ผลไม้	ฉันซื้อผลไม้	buah	Saya membeli buah.	buah	Saya membeli buah.
睡觉	寝る	私は寝ます。	자다	저는 자러 가요.	ngủ; đi ngủ	Tôi đi ngủ.	นอน; เข้านอน	ฉันไปนอน	tidur; pergi tidur	Saya pergi tidur.	tidur; pergi tidur	Saya pergi tidur.
说话	話す	先生が話しています。	말하다; 이야기하다	선생님이 말하고 있어요.	nói; nói chuyện	Giáo viên đang nói.	พูด; คุย	ครูกำลังพูด	bercakap; berbual	Guru sedang bercakap.	berbicara; mengobrol	Guru sedang berbicara.
四	四	私には友達が四人います。	넷; 사	저는 친구가 네 명 있어요.	bốn	Tôi có bốn người bạn.	สี่	ฉันมีเพื่อนสี่คน	empat	Saya ada empat orang kawan.	empat	Saya punya empat teman.
岁	〜歳	私は十歳です。	살; 세	저는 열 살이에요.	tuổi	Tôi mười tuổi.	อายุ ... ปี	ฉันอายุสิบปี	umur; tahun	Saya berumur sepuluh tahun.	umur; tahun	Saya berumur sepuluh tahun.
他	彼; 彼を	彼は先生です。	그; 그를	그는 선생님이에요.	anh ấy; cậu ấy	Anh ấy là giáo viên.	เขา	เขาเป็นครู	dia	Dia guru.	dia	Dia guru.
她	彼女; 彼女を	彼女は学生です。	그녀; 그녀를	그녀는 학생이에요.	cô ấy; chị ấy	Cô ấy là học sinh.	เธอ; เขา	เธอเป็นนักเรียน	dia	Dia pelajar.	dia	Dia siswa.
太	〜すぎる; とても	このカップは大きすぎます。	너무; 매우	이 컵은 너무 커요.	quá; rất	Cái cốc này quá to.	เกินไป; มาก	แก้วใบนี้ใหญ่เกินไป	terlalu; sangat	Cawan ini terlalu besar.	terlalu; sangat	Cangkir ini terlalu besar.
天气	天気	今日は天気が良いです。	날씨	오늘 날씨가 좋아요.	thời tiết	Hôm nay trời đẹp.	อากาศ	วันนี้อากาศดี	cuaca	Cuaca hari ini baik.	cuaca	Cuaca hari ini bagus.
听	聞く; 聴く	私は先生の話を聞きます。	듣다	저는 선생님 말씀을 들어요.	nghe	Tôi nghe giáo viên nói.	ฟัง; ได้ยิน	ฉันฟังครูพูด	mendengar; dengar	Saya mendengar guru bercakap.	mendengar; menyimak	Saya mendengarkan guru berbicara.
同学	クラスメート; 同級生	彼は私のクラスメートです。	동급생; 반 친구	그는 제 반 친구예요.	bạn học	Anh ấy là bạn học của tôi.	เพื่อนร่วมชั้น	เขาเป็นเพื่อนร่วมชั้นของฉัน	rakan sekelas	Dia rakan sekelas saya.	teman sekelas	Dia teman sekelas saya.
喂	もしもし	もしもし。	여보세요	여보세요?	alô; này	A lô?	ฮัลโหล	ฮัลโหล	helo di telefon	Helo?	halo di telepon	Halo?
我	私; 僕	私は医者です。	나; 저	저는 의사예요.	tôi; mình	Tôi là bác sĩ.	ฉัน; ผม	ฉันเป็นหมอ	saya	Saya doktor.	saya; aku	Saya dokter.
我们	私たち	私たちは学校へ行きます。	우리; 저희	우리는 학교에 가요.	chúng tôi; chúng ta	Chúng tôi đi học.	พวกเรา	พวกเราไปโรงเรียน	kami; kita	Kami pergi ke sekolah.	kami; kita	Kami pergi ke sekolah.
五	五	私はりんごを五つ持っています。	다섯; 오	저는 사과가 다섯 개 있어요.	năm	Tôi có năm quả táo.	ห้า	ฉันมีแอปเปิลห้าลูก	lima	Saya ada lima biji epal.	lima	Saya punya lima apel.
