source_headword	IT	example_IT
opponent	l'avversario	Il suo avversario ha criticato la politica.
oppose	opporsi	Molti residenti si oppongono al piano.
opposed	opposto	I gruppi avevano opinioni opposte.
opposition	l'opposizione	La proposta ha affrontato una forte opposizione.
organ	l'organo	Il cuore è un organo vitale.
origin	l'origine	L'origine dell'incendio è sconosciuta.
otherwise	altrimenti	Parti ora, altrimenti farai tardi.
outcome	il risultato	Il risultato ha sorpreso tutti.
outer	esterno	Il muro esterno ha bisogno di riparazioni.
outline	il riassunto	Per favore, riassumi il tuo argomento principale.
overall	complessivo	Il risultato complessivo è stato positivo.
owe	dovere	Ti devo delle scuse.
pace	il ritmo	Cammina a un ritmo costante.
panel	il comitato	La commissione ha discusso la politica climatica.
parliament	il parlamento	Il parlamento ha approvato la nuova legge.
participant	il partecipante	Ogni partecipante ha firmato il modulo.
partly	in parte	Il ritardo è stato in parte colpa nostra.
passage	il passaggio	Leggi il brano prima di rispondere.
pension1	la pensione	La sua pensione lo sostiene dopo il pensionamento.
permanent	permanente	Hanno bisogno di una soluzione permanente.
permit	permettere	Le regole permettono visite brevi.
perspective	la prospettiva	Cerca di vedere la sua prospettiva.
phase	la fase	Il progetto è entrato nella sua fase finale.
phenomenon	il fenomeno	Il fenomeno si verifica in molte culture.
philosophy	la filosofia	La sua filosofia valorizza l'azione pratica.
pile	la pila	Una pila di documenti copriva la scrivania.
pitch	il campo	La squadra ha preparato il campo con cura.
plain	chiaro	Le istruzioni erano chiare e dirette.
pointed	pungente	Ha fatto un'osservazione pungente.
popularity	la popolarità	Il cantante ha guadagnato popolarità online.
pose	rappresentare	La domanda potrebbe rappresentare un problema.
possess	possedere	Pochi studenti possiedono quella competenza.
potential	il potenziale	L'idea ha un potenziale reale.
praise	l'elogio	L'insegnante ha fatto un elogio sincero.
pregnant	incinta	È incinta di sei mesi.
preparation	la preparazione	Una buona preparazione riduce lo stress.
presence	la presenza	La sua presenza ha cambiato l'umore.
preserve	preservare	Dobbiamo preservare questo edificio storico.
prime	principale	La causa principale è stata una cattiva pianificazione.
principle	il principio	La decisione ha seguito un principio chiaro.
priority	la priorità	La sicurezza è la nostra prima priorità.
privacy	la privacy	I clienti si aspettano privacy online.
procedure	la procedura	La procedura richiede trenta minuti.
proof	la prova	Abbiamo bisogno di prove prima di agire.
proposal	la proposta	La proposta necessita di maggiori dettagli.
propose	proporre	Propongo una soluzione diversa.
prospect	la prospettiva	La prospettiva di un fallimento li preoccupava.
protection	la protezione	Il casco offre una protezione di base.
psychologist	lo psicologo	Lo psicologo ha spiegato i risultati del test.
psychology	la psicologia	Lei studia psicologia all'università.
publication	la pubblicazione	La pubblicazione ha attirato l'attenzione del pubblico.
pupil	l'alunno	Ogni alunno ha ricevuto un nuovo libro di testo.
purchase	l'acquisto	Acquistano provviste ogni mese.
pure	puro	L'acqua era pura e fredda.
pursue	intraprendere	Intraprenderà una carriera medica.
rank	il grado	Lei ricopre un grado elevato.
rapid	rapido	Il paese ha visto una rapida crescita.
rapidly	rapidamente	I prezzi sono aumentati rapidamente quest'anno.
raw	crudo	Lo chef ha preparato verdure crude.
realistic	realistico	Fissa una scadenza realistica.
reasonable	ragionevole	Sembra una richiesta ragionevole.
recall	ricordare	Ricordo le sue parole esatte.
recover	riprendersi	Si riprenderà dopo il trattamento.
reduction	la riduzione	La riduzione ha fatto risparmiare denaro.
regard	considerare	Molte persone la considerano onesta.
regional	regionale	L'ufficio regionale ha chiuso oggi.
register	registrarsi	Si prega di registrarsi prima della conferenza.
regret	rimpiangere	Rimpiango la mia precedente decisione.
regulation	il regolamento	Il nuovo regolamento riguarda tutti i conducenti.
relatively	relativamente	L'esame è stato relativamente facile.
relevant	rilevante	Scegli solo i dettagli pertinenti.
relief	il sollievo	La notizia ha portato un grande sollievo.
rely	fare affidamento	I bambini fanno affidamento sul supporto degli adulti.
remark	l'osservazione	La sua osservazione ha posto fine alla discussione.
representative	il rappresentante	Il rappresentante ha incontrato i lavoratori locali.
reputation	la reputazione	L'hotel ha una buona reputazione.
requirement	il requisito	L'esperienza è un requisito fondamentale.
rescue	salvare	Salvano le persone dalle inondazioni.
reserve	la riserva	Riserviamo posti per gli ospiti.
resident	il residente	Ogni residente ha ricevuto un avviso.
resist	resistere	Cerca di resistere alla pressione.
resolve	risolvere	Hanno risolto la disputa pacificamente.
resort	il resort	Il resort sull'isola ha aperto a maggio.
retain	trattenere	L'azienda vuole trattenere il personale.
reveal	rivelare	Il rapporto rivelerà la verità.
revolution	la rivoluzione	La rivoluzione ha cambiato il paese.
reward	la ricompensa	Il duro lavoro merita una ricompensa.
rhythm	il ritmo	La canzone ha un ritmo costante.
rid	sbarazzarsi	Sbarazzati di quei vecchi file.
root	la radice	La radice del problema è il denaro.
rub	strofinare	Strofina la superficie con un panno.
rubber	la gomma	La guarnizione in gomma previene le perdite.
rural	rurale	Molte scuole rurali hanno bisogno di supporto.
rush	affrettare	Non affrettare questa decisione.
satellite	il satellite	Il satellite ha inviato nuove immagini.
satisfied	soddisfatto	Il cliente sembrava soddisfatto.
satisfy	soddisfare	La risposta non lo ha soddisfatto.
saving	il risparmio	Il risparmio energetico riduce i costi mensili.
scale	la scala	L'entità dei danni era enorme.
scheme	il programma	Il programma aiuta i giovani lavoratori.
scream	gridare	Hanno sentito un urlo fuori.
sector	il settore	Il settore tecnologico è in crescita.
secure	mettere al sicuro	Chiudi a chiave la porta per metterla al sicuro.
seek	cercare	Cercano consigli dagli esperti.
select	selezionare	Seleziona l'opzione migliore.
selection	la selezione	Il negozio offre un'ampia selezione.
self	il sé	Ha mostrato il suo vero sé.
senior	esperto	Un medico esperto ha visitato il paziente.
sensitive	sensibile	Questo argomento è molto sensibile.
sequence	la sequenza	Segui la sequenza dei passaggi.
session	la sessione	La sessione di allenamento inizia a mezzogiorno.
settle	sistemare	Hanno risolto la discussione rapidamente.
severe	grave	La tempesta ha causato gravi inondazioni.
shade	l'ombra	Siediti all'ombra.
shadow	l'ombra	Un'ombra ha attraversato la finestra.
shallow	poco profondo	Il lago è poco profondo qui.
shame	la vergogna	Ha provato vergogna dopo aver mentito.
shelter	il rifugio	La scuola ha fornito un rifugio di emergenza.
shock	lo shock	La decisione è stata uno shock.
shocked	scioccato	Sembrava scioccata dalla notizia.
shooting	la sparatoria	La sparatoria è avvenuta vicino alla stazione.
shot	il tiro	Il tiro vincente ha sorpreso tutti.
significant	significativo	La scoperta è stata significativa.
significantly	significativamente	I costi sono aumentati significativamente l'anno scorso.
silence	il silenzio	La stanza cadde nel silenzio.
silk	la seta	Il vestito era fatto di seta.
sincere	sincero	Si prega di accettare i miei sinceri ringraziamenti.
slave	lo schiavo	La legge ha liberato ogni schiavo.
slide	scivolare	Il bambino è sceso dallo scivolo.
slight	leggero	C'è stato un lieve ritardo.
slip	scivolare	Non scivolare sul pavimento bagnato.
slope	il pendio	Il sentiero segue un pendio ripido.
solar	solare	La casa utilizza l'energia solare.
somewhat	un po'	Le istruzioni erano un po' confuse.
soul	l'anima	La musica le ha sollevato l'anima.
specialist	lo specialista	Lo specialista ha visitato il paziente.
species	la specie	Questa specie vive vicino ai fiumi.
spiritual	spirituale	Ha descritto un'esperienza spirituale.
split	dividere	Hanno diviso il conto in parti uguali.
sponsor	sponsorizzare	L'azienda sponsorizzerà l'evento.
stable	stabile	Il paziente è stabile.
stare	fissare	Non fissare gli sconosciuti.
status	lo status	Il suo status è cambiato da un giorno all'altro.
steady	costante	Mantieni una velocità costante.
steel	l'acciaio	Il ponte è fatto di acciaio.
steep	ripido	La collina è ripida.
sticky	appiccicoso	Il pavimento è appiccicoso.
stiff	rigido	La sua spalla era rigida.
stock	le scorte	Il negozio non ha più scorte.
stream	il ruscello	Un piccolo ruscello attraversa il campo.
stretch	sgranchire	Sgranchisciti le gambe dopo il volo.
strict	severo	La scuola ha regole severe.
strike	scioperare	I lavoratori potrebbero scioperare domani.
struggle	lottare	Molte famiglie fanno fatica a pagare l'affitto.
submit	inviare	Invia il modulo entro venerdì.
sum	la somma	La somma era più alta del previsto.
surgery	l'operazione	L'operazione è durata due ore.
surround	circondare	Alberi ad alto fusto circondano la casa.
surrounding	circostante	L'area circostante è tranquilla.
suspect	sospettare	La polizia sospetta di un uomo del posto.
swear	dire parolacce	Non dire parolacce in classe.
sweep	spazzare	Spazza il pavimento prima che arrivino gli ospiti.
sympathy	la compassione	Ha espresso compassione per le vittime.
tale	il racconto	La nonna ha raccontato uno strano racconto.
tank	il serbatoio	Il serbatoio contiene acqua pulita.
tear1	strappare	Non strappare il documento.
tear2	la lacrima	Una lacrima le è scesa sulla guancia.
temporary	temporaneo	L'ufficio è un rifugio temporaneo.
therapy	la terapia	La terapia fisica ha aiutato il suo recupero.
threat	la minaccia	Il messaggio conteneva una minaccia.
threaten	minacciare	La tempesta potrebbe minacciare i raccolti.
thus	pertanto	La strada era chiusa; pertanto, abbiamo aspettato.
tone	il tono	Il suo tono sembrava calmo.
tough	duro	Il colloquio è stato duro.
transfer	trasferire	Trasferiscono dati ogni notte.
transform	trasformare	La nuova politica trasformerà i servizi.
transition	la transizione	La transizione è durata diversi mesi.
trial	il processo	Il processo inizia la prossima settimana.
tropical	tropicale	Le tempeste tropicali sono comuni qui.
truly	veramente	Apprezzo veramente il tuo aiuto.
trust	la fiducia	La fiducia richiede tempo per essere costruita.
tune	la melodia	La band ha suonato una melodia allegra.
tunnel	il tunnel	Il tunnel passa sotto il fiume.
ultimately	alla fine	Alla fine, il piano ha avuto successo.
unconscious	incosciente	Il paziente è rimasto incosciente.
unexpected	inaspettato	Il ritardo è stato inaspettato.
unique	unico	Ogni design è unico.
universe	l'universo	L'universo si sta espandendo.
unknown	sconosciuto	Il nome rimane sconosciuto.
upper	superiore	Lo scaffale superiore è vuoto.
upwards	verso l'alto	Il fumo si muoveva verso l'alto.
urban	urbano	Le aree urbane hanno bisogno di trasporti migliori.
urge	esortare	I medici esortano le persone a fare esercizio.
vary	variare	I prezzi variano in base alla regione.
vast	vasto	Il deserto copre un'area vasta.
venue	il luogo	Il luogo ospita cinquecento persone.
via	tramite	Invia il documento tramite email.
victory	la vittoria	La squadra ha festeggiato la sua vittoria.
violence	la violenza	La città ha subito violenza politica.
virtual	virtuale	La riunione è virtuale.
vision	la visione	La sua visione ha plasmato l'azienda.
visual	visivo	Il rapporto include esempi visivi.
vital	vitale	L'acqua è vitale per la vita.
vitamin	la vitamina	Le arance contengono vitamina C.
volume	il volume	Abbassa il volume.
wage	il salario	I lavoratori hanno chiesto un salario più alto.
weakness	la debolezza	Il piano ha una debolezza.
wealth	la ricchezza	La sua ricchezza derivava dal commercio.
wealthy	ricco	La famiglia ricca ha finanziato il museo.
whereas	mentre	A lei piace il tè, mentre io preferisco il caffè.
wherever	ovunque	Siediti ovunque ti senta a tuo agio.
whisper	sussurrare	Per favore sussurra durante la cerimonia.
whom	chi	Chi hai invitato?
widely	ampiamente	Il libro è ampiamente letto.
wildlife	la fauna selvatica	Il parco protegge la fauna selvatica locale.
willing	disposto	È disposta ad aiutare.
wind2	avvolgere	Avvolgi il cavo attorno alla bobina.
wire	il cavo	Il cavo collega i due dispositivi.
wise	saggio	È stata una scelta saggia.
witness	il testimone	Un testimone ha descritto l'incidente.
wound	la ferita	Pulisci la ferita con attenzione.
wrap	incartare	Incarta il regalo nella carta.
zone	la zona	Questa zona è chiusa al traffico.
