source_headword	TE	example_TE
shall modal	చేద్దామా	మనము ఇప్పుడు మొదలుపెడదామా?
shape	ఆకారం	ఒక చతురస్ర ఆకారం గీయు.
sheet	చీర	చీరను మంచంపై ఉంచు.
ship	నౌక	నౌక ఈ రోజు బయలుదేరింది.
shoulder	భుజం	నా భుజం నొప్పిగా ఉంది.
shout	అరువు	తరగతిలో అరవద్దు.
shut	మూసివేయు	దయచేసి కిటికీని మూసివేయు.
side	వైపు	ఈ వైపు కూర్చో.
sign	సంకేతం	సంకేతాన్ని జాగ్రత్తగా చదువు.
silver	వెండి	వెండి మెరిసే లోహం.
simple	సరళమైన	ఈ వ్యాయామం సరళమైనది.
since	నుండి	నేను మధ్యాహ్నం నుండి వేచి ఉన్నాను.
singing	పాడటం	పాడటం నాకు విశ్రాంతి ఇస్తుంది.
single	ఒకే	నేను ఒకే టికెట్ కొన్నాను.
sir	సార్	సార్, మీ సంచి సిద్ధంగా ఉంది.
site	సైట్	ఈ సైట్ సురక్షితంగా ఉంది.
size	పరిమాణం	నీకు ఏ పరిమాణం కావాలి?
ski	స్కీ చేయు	మేము శీతాకాలంలో స్కీ చేస్తాము.
skiing	స్కీ చేయడం	శీతాకాలంలో స్కీ చేయడం సరదాగా ఉంటుంది.
skin	చర్మం	ఆమె చర్మం పొడిగా అనిపిస్తుంది.
sky	ఆకాశం	ఆకాశం స్పష్టంగా ఉంది.
slowly	నెమ్మదిగా	మంచుపై నెమ్మదిగా నడువు.
smartphone	స్మార్ట్ ఫోన్	నా స్మార్ట్ ఫోన్ కొత్తది.
smell	వాసన రావు	సూప్ మంచి వాసన వస్తోంది.
smile	నవ్వు	కెమెరా కోసం నవ్వు.
smoke	పొగ	పొగ గదిని నింపింది.
smoking	ధూమపానం	ధూమపానం అనుమతించబడదు.
soap	సబ్బు	సబ్బు మరియు నీరు ఉపయోగించు.
soccer	సాకర్	సాకర్ ఇక్కడ ప్రసిద్ధి చెందింది.
social	సామాజిక	ఇది ఒక సామాజిక కార్యక్రమం.
society	సమాజం	సమాజం కాలంతో మారుతుంది.
sock	సాక్స్	ఒక సాక్స్ కనిపించడం లేదు.
soft	మృదువైన	ఈ దుప్పటి మృదువుగా ఉంది.
soldier	సైనికుడు	సైనికుడు ఇంటికి వచ్చాడు.
solution	పరిష్కారం	మేము ఒక పరిష్కారం కనుగొన్నాము.
solve	పరిష్కరించు	ఈ పజిల్ పరిష్కరించు.
somewhere	ఎక్కడో	దాన్ని ఎక్కడో సురక్షితంగా ఉంచు.
sort	రకం	నీకు ఏ రకం కావాలి?
source	మూలం	మొదట మూలాన్ని తనిఖీ చేయు.
speaker	వక్త	వక్త గట్టిగా మాట్లాడాడు.
specific	నిర్దిష్టమైన	నాకు నిర్దిష్టమైన సమాధానం కావాలి.
speech	ప్రసంగం	ఆమె ప్రసంగం చిన్నది.
speed	వేగం	ఇక్కడ నీ వేగాన్ని తగ్గించు.
spider	సాలీడు	గోడపై ఒక సాలీడు ఉంది.
spoon	చెంచా	సూప్ కోసం చెంచా ఉపయోగించు.
square	చతురస్రం	చతురస్ర పెట్టె గీయు.
stage	వేదిక	బ్యాండ్ వేదికపై ఉంది.
stair	మెట్టు	మెట్టు విరిగిపోయింది.
stamp	స్టాంపు	లేఖపై స్టాంపు అంటించు.
state	చెప్పు	నీ పేరును స్పష్టంగా చెప్పు.
steal	దొంగిలించు	డబ్బు దొంగిలించవద్దు.
step	అడుగు	ఒక అడుగు ముందుకు వేయు.
stomach	కడుపు	నా కడుపు నొప్పిగా ఉంది.
stone	రాయి	రాయి బరువుగా ఉంది.
store	దుకాణం	దుకాణం ముందుగానే మూసుకుంటుంది.
storm	తుఫాను	ఒక తుఫాను వస్తోంది.
straight	నేరుగా	నేరుగా ఇంటికి వెళ్లు.
strange	వింతైన	ఆ శబ్దం వింతగా ఉంది.
strategy	వ్యూహం	మాకు ఒక వ్యూహం కావాలి.
stress	ఒత్తిడి	పని ఒత్తిడిని కలిగించవచ్చు.
structure	నిర్మాణం	ఈ నిర్మాణం బలంగా ఉంది.
stupid	మూఢమైన	అది మూఢమైన తప్పు.
succeed	విజయం సాధించు	నీవు ఇక్కడ విజయం సాధించగలవు.
successful	విజయవంతమైన	ఆమె విజయవంతమైంది.
such	అటువంటి	అటువంటి సహాయం ఉపయోగకరంగా ఉంటుంది.
suddenly	అకస్మాత్తుగా	అకస్మాత్తుగా, కుక్క పరుగెత్తింది.
suggest	సూచించు	నేను చిన్న విరామాన్ని సూచిస్తున్నాను.
suggestion	సూచన	నీ సూచన ఉపయోగకరంగా ఉంది.
suit	సూట్	ఈ సూట్ ఖరీదైనది.
support	మద్దతు ఇవ్వు	మేము మా జట్టుకు మద్దతు ఇస్తాము.
suppose	అనుకో	నీవు సరిగానే ఉన్నావని నేను అనుకుంటున్నాను.
surprise	ఆశ్చర్యం	ఆశ్చర్యం ఆమెను సంతోషపెట్టింది.
surprised	ఆశ్చర్యపోయిన	ఆమె ఈ రోజు ఆశ్చర్యపోయింది.
surprising	ఆశ్చర్యకరమైన	ఫలితం ఆశ్చర్యకరంగా ఉంది.
survey	సర్వే	దయచేసి సర్వే పూర్తి చేయు.
sweet	తీపి	ఈ టీ తీపిగా ఉంది.
symbol	చిహ్నం	ఈ చిహ్నం ప్రమాదాన్ని సూచిస్తుంది.
system	వ్యవస్థ	వ్యవస్థ బాగా పనిచేస్తుంది.
tablet	టాబ్లెట్	నా టాబ్లెట్ బల్లపై ఉంది.
target	లక్ష్యం	లక్ష్యాన్ని జాగ్రత్తగా కొట్టు.
task	పని	ఈ పని సులభం.
taste	రుచి చూడు	మొదట సూప్ రుచి చూడు.
teaching	బోధన	బోధన కష్టమైన పని.
technology	సాంకేతికత	సాంకేతికత వేగంగా మారుతుంది.
teenage	యౌవనస్థ	నా యౌవనస్థ తమ్ముడు కష్టంగా చదువుతున్నాడు.
temperature	ఉష్ణోగ్రత	ఉష్ణోగ్రత తక్కువగా ఉంది.
term	కాలపరిమితి	ఈ కాలపరిమితి త్వరలో ముగుస్తుంది.
themselves	వాళ్లే	వాళ్లే రాత్రి భోజనం వండారు.
thick	మందమైన	ఈ పుస్తకం మందంగా ఉంది.
thief	దొంగ	దొంగ పారిపోయాడు.
thin	సన్నని	కాగితం సన్నగా ఉంది.
thinking	ఆలోచన	ఆలోచనకు సమయం పడుతుంది.
thought	ఆలోచన	నాకు ఒక వింత ఆలోచన వచ్చింది.
throw	విసురు	బంతిని మృదువుగా విసురు.
tidy	చక్కని	నీ గదిని చక్కగా ఉంచు.
tie	కట్టు	నీ చెప్పులు ఇప్పుడు కట్టు.
tip	చిట్కా	సేవ కోసం చిట్కా వదిలివేయు.
tool	పరికరం	సరైన పరికరం ఉపయోగించు.
top	పైభాగం	పైభాగపు తాకు నిండిపోయింది.
touch	తాకు	గాజును తాకవద్దు.
tour	పర్యటన	మేము నగర పర్యటన చేశాము.
tourism	పర్యాటకం	పర్యాటకం ఈ పట్టణానికి సహాయం చేస్తుంది.
towards	వైపు	స్టేషన్ వైపు నడువు.
towel	తువాలు	శుభ్రమైన తువాలు తీసుకురా.
tower	గోపురం	గోపురం చాలా పాతది.
toy	బొమ్మ	బొమ్మ కారు ఎరుపుగా ఉంది.
track	దారి	దారి ఉత్తరానికి వెళ్తుంది.
tradition	సంప్రదాయం	ఈ సంప్రదాయం పాతది.
traditional	సంప్రదాయ	ఆమె సంప్రదాయ దుస్తులు ధరించింది.
trainer	శిక్షకుడు	నా శిక్షకుడు సహాయకుడు.
training	శిక్షణ	శిక్షణ రేపు మొదలవుతుంది.
transport	రవాణా	ప్రజా రవాణా ఆలస్యంగా ఉంది.
traveller	ప్రయాణికుడు	ప్రయాణికుడు సహాయం అడిగాడు.
trouble	ఇబ్బంది	నిన్న మాకు ఇబ్బంది వచ్చింది.
truck	లారీ	లారీ బయట ఉంది.
twin	కవల	నా కవల చెల్లి ఎత్తుగా ఉంది.
typical	సాధారణమైన	ఇది ఒక సాధారణమైన రోజు.
underground	భూగర్భ	రైలు భూగర్భంలో నడుస్తుంది.
understanding	అవగాహన	నీ అవగాహన సరైనది.
unfortunately	దురదృష్టవశాత్తు	దురదృష్టవశాత్తు, దుకాణం మూసి ఉంది.
unhappy	సంతోషంగా లేని	అతను సంతోషంగా లేనట్టు కనిపిస్తున్నాడు.
uniform	యూనిఫాం	ఆమె పాఠశాల యూనిఫాం ధరిస్తుంది.
unit	యూనిట్	ఈ యూనిట్ చిన్నది.
united	ఐక్యమైన	జట్టు ఐక్యంగా నిలిచింది.
unusual	అసాధారణమైన	ఆ శబ్దం అసాధారణంగా ఉంది.
used to modal	మునుపు అలవాటు	మేము మునుపు ఇక్కడ నివసించేవాళ్లం.
user	వినియోగదారు	ప్రతి వినియోగదారుకు ఒక సంఖ్య ఉంది.
usual	సాధారణ	నేను నా సాధారణ సీటు తీసుకున్నాను.
valley	లోయ	లోయ పచ్చగా ఉంది.
van	వాన్	వాన్ నిండిపోయింది.
variety	వైవిధ్యం	మాకు మరింత వైవిధ్యం కావాలి.
vehicle	వాహనం	ఈ వాహనం నెమ్మదిగా ఉంది.
view	దృశ్యం	దృశ్యం అందంగా ఉంది.
virus	వైరస్	ఒక వైరస్ అతన్ని అనారోగ్యానికి గురిచేసింది.
voice	స్వరం	ఆమె స్వరం మృదువుగా ఉంది.
war	యుద్ధం	యుద్ధం సంవత్సరాల క్రితం ముగిసింది.
washing	ఉతికిన బట్టలు	ఉతికిన బట్టలు బయట ఉన్నాయి.
wave	అల	ఒక అల పడవను తాకింది.
weak	బలహీనమైన	నా కాళ్లు బలహీనంగా అనిపిస్తున్నాయి.
web	వెబ్	వెబ్ పేజీ తెరిచి ఉంది.
wedding	వివాహం	వివాహం త్వరలో మొదలవుతుంది.
weight	బరువు	మొదట బరువు తనిఖీ చేయు.
wet	తడి	నా చెప్పులు తడిగా ఉన్నాయి.
wheel	చక్రం	చక్రం విరిగిపోయింది.
while	కొంతసేపు	కొంతసేపు ఇక్కడ వేచి ఉండు.
whole	మొత్తం	నేను మొత్తం ఆపిల్ తిన్నాను.
whose	ఎవరిది	ఈ ఫోన్ ఎవరిది?
wide	విశాలమైన	రోడ్డు విశాలంగా ఉంది.
wild	అడవి	అడవి జంతువులు ఇక్కడ ఉంటాయి.
wind1	గాలి	గాలి బలంగా ఉంది.
winner	విజేత	విజేత చిరునవ్వు నవ్వాడు.
wish	కోరిక	ఒక కోరిక కోరుకో.
wood	కట్టె	కుర్చీ కట్టెతో తయారైంది.
wooden	కట్టెతో చేసిన	కట్టెతో చేసిన పెట్టె బరువుగా ఉంది.
working	పని చేసే	పని చేసే రోజు ముగిసింది.
worried	ఆందోళన చెందిన	నేను ఈ రోజు ఆందోళనగా ఉన్నాను.
worry	ఆందోళన చెందు	ఇప్పుడు ఆందోళన చెందవద్దు.
worse	మరింత చెడు	ఈ నొప్పి మరింత చెడుగా ఉంది.
worst	అత్యంత చెడు	అది అత్యంత చెడు రోజు.
wow	వావ్	వావ్, అది అద్భుతం!
yet	ఇంకా	మనం ఇంకా అక్కడికి చేరలేదా?
yours	నీది	ఈ పుస్తకం నీది.
zero	సున్నా	సున్నా వరకు లెక్కించు.
