simplified	ML	example_ML
败坏	നശിപ്പിക്കുക	ഇത്തരത്തിലുള്ള പെരുമാറ്റം കമ്പനിയുടെ പേരുകേൾ നശിപ്പിക്കും.
斑	പുള്ളി	പൂച്ചയുടെ ശരീരത്തിൽ ഒരു കറുത്ത പുള്ളിയുണ്ട്.
颁布	പ്രഖ്യാപിക്കുക	പുതിയ ചട്ടങ്ങൾ അടുത്ത ആഴ്ച പ്രഖ്യാപിക്കും.
颁发	നൽകുക	സ്കൂൾ മികച്ച വിദ്യാർത്ഥികൾക്ക് സർട്ടിഫിക്കറ്റ് നൽകി.
版本	പതിപ്പ്	ഈ സോഫ്റ്റ്‌വെയറിന് പുതിയ പതിപ്പുണ്ട്.
伴侣	കൂട്ടാളി	അവൾ നായയെ സ്വന്തം കൂട്ടാളിയായി കാണുന്നു.
伴随	കൂടെയുണ്ടാകുക	വിജയം പലപ്പോഴും സമ്മർദ്ദത്തോടൊപ്പം വരുന്നു.
半途而废	പാതിവഴിയിൽ ഉപേക്ഷിക്കുക	ഗവേഷണം ചെയ്യുമ്പോൾ പാതിവഴിയിൽ ഉപേക്ഷിക്കരുത്.
扮演	വേഷമിടുക	സിനിമയിൽ അവൻ ഡോക്ടറുടെ വേഷമിടുന്നു.
榜样	മാതൃക	മാതാപിതാക്കൾ കുട്ടികളുടെ മാതൃകയാണ്.
绑架	തട്ടിക്കൊണ്ടുപോകൽ	പോലീസ് ഒരു തട്ടിക്കൊണ്ടുപോകൽ കേസ് തടഞ്ഞു.
磅	പൗണ്ട്	ഈ പെട്ടിക്ക് ഇരുപത് പൗണ്ട് ഭാരം ഉണ്ട്.
包庇	മറച്ചുവെച്ച് സംരക്ഷിക്കുക	കുറ്റകൃത്യം ആരും മറച്ചുവെച്ച് സംരക്ഷിക്കരുത്.
包袱	ചുമട്	ചുമട് ഇറക്കിയ ശേഷം അവന് കൂടുതൽ ആശ്വാസമായി.
包围	വളഞ്ഞുകൂടുക	റിപ്പോർട്ടർമാർ നടനെ വളഞ്ഞുകൂടി.
包装	പാക്കിംഗ്	ഈ സമ്മാനത്തിന്റെ പാക്കിംഗ് വളരെ മനോഹരമാണ്.
保管	സൂക്ഷിക്കുക	ഈ രേഖകൾ ഞാൻ സൂക്ഷിക്കുന്നു.
保密	രഹസ്യമായി സൂക്ഷിക്കുക	യോഗത്തിന്റെ ഉള്ളടക്കം രഹസ്യമായി സൂക്ഷിക്കണം.
保姆	ആയ	അവർ ഒരു ആയയെ നിയമിച്ചു.
保守	പരമ്പരാഗതമായ	അവന്റെ ആശയങ്ങൾ കുറച്ച് പരമ്പരാഗതമാണ്.
保卫	സംരക്ഷിക്കുക	സൈനികർ അതിർത്തി സംരക്ഷിക്കുന്നു.
保养	പരിപാലനം	ഈ കാറിന് സ്ഥിരമായ പരിപാലനം വേണം.
保障	ഉറപ്പാക്കുക	നിയമം പൗരന്മാരുടെ അവകാശങ്ങൾ ഉറപ്പാക്കുന്നു.
保重	സ്വയം ശ്രദ്ധിക്കുക	പുറത്തായിരിക്കുമ്പോൾ ദയവായി സ്വയം ശ്രദ്ധിക്കണം.
饱和	പരിപൂർണത	ഈ വിപണി ഇതിനകം പരിപൂർണതയ്ക്ക് അടുത്തിരിക്കുന്നു.
饱经沧桑	പല മാറ്റങ്ങളും കഷ്ടപ്പാടുകളും കണ്ട	ഈ വൃദ്ധൻ പല മാറ്റങ്ങളും കഷ്ടപ്പാടുകളും കണ്ടവനാണ്.
报酬	പ്രതിഫലം	അവന് യുക്തമായ പ്രതിഫലം ലഭിച്ചു.
报仇	പ്രതികാരം ചെയ്യുക	അവൻ പ്രതികാരം ആഗ്രഹിക്കുന്നില്ല, വീണ്ടും തുടങ്ങാനാണ് ആഗ്രഹം.
报答	പ്രത്യുപകാരം ചെയ്യുക	നിന്റെ സഹായത്തിന് ഞാൻ പ്രവൃത്തിയിലൂടെ പ്രത്യുപകാരം ചെയ്യും.
报复	പ്രതികാരം	പ്രതികാരം വൈരുദ്ധ്യം കൂടുതൽ ആഴപ്പെടുത്തും.
报警	പോലീസിനെ അറിയിക്കുക	തീ കണ്ടാൽ ഉടൻ പോലീസിനെ അറിയിക്കണം.
报销	ചെലവ് തിരികെ ലഭിക്കുക	യാത്രാചെലവ് തിരികെ ലഭിക്കും.
抱负	അഭിലാഷം	ബാല്യത്തിൽമുതൽ അവന് വലിയ അഭിലാഷമുണ്ടായിരുന്നു.
暴力	ഹിംസ	ഏതു തരത്തിലുള്ള ഹിംസയ്ക്കും ഞങ്ങൾ എതിരാണ്.
暴露	വെളിപ്പെടുക	ഈ പ്രശ്നം ക്രമേണ വെളിപ്പെട്ടു.
曝光	വെളിപ്പെടുത്തൽ	ഈ ചിത്രം വെളിപ്പെട്ട ശേഷം ശ്രദ്ധ നേടി.
爆发	പൊട്ടിപ്പുറപ്പെടുക	അഗ്നിപർവതം പെട്ടെന്ന് പൊട്ടിപ്പുറപ്പെട്ടു.
爆炸	സ്ഫോടനം	ലബോറട്ടറിയിൽ സ്ഫോടനം ഉണ്ടായി.
卑鄙	നിന്ദ്യമായ	ഇത്തരത്തിലുള്ള നിന്ദ്യമായ രീതി ആളുകളെ കോപിപ്പിക്കുന്നു.
悲哀	ദുഃഖിതമായ	ഈ വാർത്ത കേട്ട് അവൻ വളരെ ദുഃഖിതനായി.
悲惨	ദാരുണമായ	അത് ചരിത്രത്തിലെ ദാരുണമായ കാലഘട്ടമായിരുന്നു.
北极	ആർക്ടിക്	ശാസ്ത്രജ്ഞർ ആർക്ടിക്കിൽ ഗവേഷണം നടത്തുന്നു.
备份	ബാക്കപ്പ്	ആദ്യം പ്രധാനപ്പെട്ട ഫയലുകൾ ബാക്കപ്പ് ചെയ്യുക.
备忘录	കുറിപ്പുസ്മരണിക	അവൾ കുറിപ്പുസ്മരണികയിൽ പ്രധാന കാര്യങ്ങൾ എഴുതിവച്ചു.
背叛	വഞ്ചന	സുഹൃത്തിന്റെ വഞ്ചന അവന് അംഗീകരിക്കാൻ കഴിഞ്ഞില്ല.
背诵	പാരായണം ചെയ്യുക	വിദ്യാർത്ഥികൾ പാഠം പാരായണം ചെയ്യുന്നു.
被动	നിർജ്ജീവമായ	ചർച്ചയിൽ നാം വളരെ നിർജ്ജീവരാകരുത്.
被告	പ്രതി	പ്രതി എല്ലാ ആരോപണങ്ങളും നിഷേധിച്ചു.
贝壳	ചിപ്പി	കുട്ടി കടൽത്തീരത്ത് ചിപ്പികൾ എടുത്തു.
奔波	ഓടിനടക്കുക	ജോലിക്കായി അവൻ എല്ലായിടത്തും ഓടിനടക്കുന്നു.
奔驰	വേഗത്തിൽ പാഞ്ഞുപോകുക	കാർ അതിവേഗപാതയിൽ വേഗത്തിൽ പാഞ്ഞുപോയി.
本能	സഹജവൃത്തി	കുട്ടികളെ സംരക്ഷിക്കൽ മാതാപിതാക്കളുടെ സഹജവൃത്തിയാണ്.
本钱	മൂലധനം	വ്യാപാരം ചെയ്യാൻ മൂലധനം വേണം.
本人	സ്വയം	ഞാൻ സ്വയം ഉത്തരവാദിത്തം ഏറ്റെടുക്കാൻ തയ്യാറാണ്.
本身	സ്വയം	ഈ പദ്ധതിക്ക് സ്വയം പ്രശ്നമില്ല.
本事	കഴിവ്	അവന് വളരെ കഴിവുണ്ട്.
笨拙	കുഴഞ്ഞ	അവന്റെ ചലനങ്ങൾ അല്പം കുഴഞ്ഞതായിരുന്നു.
崩溃	തകർന്നുപോകുക	സംവിധാനം പെട്ടെന്ന് തകർന്നുപോയി.
甭	വേണ്ട	ഈ കാര്യത്തിൽ നീ ആശങ്കപ്പെടേണ്ട.
蹦	ചാടിക്കുതിക്കുക	കുഞ്ഞ് നായ പുല്ലിൽ ചാടിക്കുതിച്ചു.
迸发	പൊട്ടിപ്പുറപ്പെടുക	ജനക്കൂട്ടത്തിൽ നിന്ന് കൈയടി പൊട്ടിപ്പുറപ്പെട്ടു.
逼迫	നിർബന്ധിക്കുക	അവർ അവനെ കരാർ ഒപ്പിടാൻ നിർബന്ധിച്ചു.
鼻涕	മൂക്കൊലിപ്പ്	കുട്ടിക്ക് പനി പിടിച്ചു, തുടർച്ചയായി മൂക്കൊലിപ്പ് ഉണ്ട്.
比方	ഉദാഹരണം	ഉദാഹരണത്തിന്, ആദ്യം ഒരു മാസം പരീക്ഷിക്കാം.
比喻	ഉപമ	ഈ ഉപമ വളരെ സജീവമാണ്.
比重	അനുപാതം	സേവനമേഖലയുടെ അനുപാതം കൂടുതലാകുന്നു.
鄙视	നിന്ദിക്കുക	മറ്റുള്ളവരുടെ ശ്രമത്തെ നിന്ദിക്കരുത്.
弊病	ദോഷം	ഈ സംവിധാനത്തിന് നിരവധി ദോഷങ്ങളുണ്ട്.
弊端	കുറവ്	പുതിയ പദ്ധതി പഴയ സംവിധാനത്തിന്റെ കുറവുകൾ പരിഹരിച്ചു.
臂	കൈ	അവന്റെ വലത് കൈക്ക് പരിക്ക് പറ്റി.
闭塞	ഒറ്റപ്പെട്ട	ഈ മലഗ്രാമത്തിലെ ഗതാഗതം മുമ്പ് വളരെ ഒറ്റപ്പെട്ടതായിരുന്നു.
编织	നെയ്യുക	അമ്മുമ്മ ഒരു സ്വെറ്റർ നെയ്യുകയാണ്.
边疆	അതിർത്തിപ്രദേശം	പല സൈനികരും രാജ്യത്തിന്റെ അതിർത്തിപ്രദേശം കാക്കുന്നു.
边界	അതിർത്തി	രണ്ടു രാജ്യങ്ങളും അതിർത്തി വീണ്ടും നിർണ്ണയിച്ചു.
边境	അതിർത്തിപ്രദേശം	അതിർത്തിപ്രദേശങ്ങളിൽ സുരക്ഷാ പരിശോധന ശക്തമാക്കി.
边缘	അരിക്	കപ്പ് മേശയുടെ അരികിൽ വെച്ചിരിക്കുന്നു.
鞭策	പ്രചോദിപ്പിക്കുക	അധ്യാപകന്റെ വാക്കുകൾ എന്നെ എല്ലായ്പ്പോഴും പ്രചോദിപ്പിച്ചു.
扁	ചതഞ്ഞ	ഈ പെട്ടി വീതിയുള്ളതും ചതഞ്ഞതുമാണ്.
贬低	ചെറുതാക്കി കാണുക	മറ്റുള്ളവരുടെ ശ്രമത്തെ ഇഷ്ടം പോലെ ചെറുതാക്കി കാണരുത്.
贬义	നിന്ദാത്മക അർത്ഥം	ഈ വാക്കിന് ഇവിടെ നിന്ദാത്മക അർത്ഥമുണ്ട്.
便利	സൗകര്യപ്രദം	മെട്രോ യാത്രയെ കൂടുതൽ സൗകര്യപ്രദമാക്കുന്നു.
便条	ചെറുകുറിപ്പ്	അവൻ മേശപ്പുറത്ത് ഒരു ചെറുകുറിപ്പ് വച്ചു.
便于	സൗകര്യമുള്ള	ഈ രൂപകൽപ്പന വയോധികർക്ക് ഉപയോഗിക്കാൻ സൗകര്യമുള്ളതാണ്.
变故	അപ്രതീക്ഷിത ദുരന്തം	വീട്ടിൽ പെട്ടെന്ന് അപ്രതീക്ഷിത ദുരന്തം സംഭവിച്ചു.
变迁	മാറ്റങ്ങൾ	നഗരത്തിന്റെ മാറ്റങ്ങൾ അവനെ ഏറെ ചിന്തിപ്പിച്ചു.
变质	കേടാകുക	പാൽ ഏറെ നേരം വെച്ചാൽ കേടാകും.
辨认	തിരിച്ചറിയുക	ഫോട്ടോയിലുള്ള ആളെ തിരിച്ചറിയാൻ പോലീസ് അവനോട് പറഞ്ഞു.
辩护	പ്രതിരോധിക്കുക	അഭിഭാഷകൻ പ്രതിയെ പ്രതിരോധിച്ചു.
辩解	ന്യായീകരിക്കുക	തന്റെ തെറ്റ് ന്യായീകരിക്കാൻ അവൻ ശ്രമിച്ചു.
辩证	ദ്വന്ദ്വാത്മകമായി	ഈ പ്രശ്നത്തെ ദ്വന്ദ്വാത്മകമായി കാണണം.
辫子	ചുടി	ചെറിയ പെൺകുട്ടിക്ക് രണ്ട് ചുടികളുണ്ട്.
遍布	എല്ലായിടത്തും വ്യാപിക്കുക	ഈ സസ്യം രാജ്യത്തുടനീളം വ്യാപിച്ചിട്ടുണ്ട്.
标本	മാതൃക	മ്യൂസിയത്തിൽ മൃഗങ്ങളുടെ മാതൃകകൾ പ്രദർശിപ്പിച്ചിരിക്കുന്നു.
标记	അടയാളം	പ്രധാന ഭാഗങ്ങളുടെ പക്കൽ ദയവായി അടയാളം ഇടുക.
标题	ശീർഷകം	ഈ ലേഖനത്തിന്റെ ശീർഷകം ആകർഷകമാണ്.
表决	വോട്ടെടുപ്പ് നടത്തുക	പ്രതിനിധികൾ നിർദ്ദേശത്തിൽ വോട്ടെടുപ്പ് നടത്തും.
表态	നിലപാട് വ്യക്തമാക്കുക	അവൻ ഇതുവരെ പൊതുവായി നിലപാട് വ്യക്തമാക്കിയിട്ടില്ല.
表彰	പ്രശംസിച്ചു ആദരിക്കുക	കമ്പനി മികച്ച ജീവനക്കാരെ പ്രശംസിച്ചു ആദരിച്ചു.
憋	അടക്കിവയ്ക്കുക	അവൻ ചിരി അടക്കിവച്ച് ഒന്നും പറഞ്ഞില്ല.
别墅	വില്ല	അവർ നഗരപുറത്ത് ഒരു വില്ല വാങ്ങി.
别致	വ്യത്യസ്തമായ	ഈ കഫേയുടെ അലങ്കാരം വളരെ വ്യത്യസ്തമാണ്.
别扭	അസ്വാഭാവികമായ	ഈ വാചകം കേൾക്കാൻ അല്പം അസ്വാഭാവികമാണ്.
濒临	വക്കിൽ നിൽക്കുക	ഈ മൃഗം വംശനാശത്തിന്റെ വക്കിലാണ്.
冰雹	ആലിപ്പഴം	ഇന്നലെ ഉച്ചയ്ക്ക് വലിയ ആലിപ്പഴം പെയ്തു.
丙	മൂന്നാമത്തെ	മൂന്നാം ഗ്രൂപ്പിന്റെ മത്സരം ഉച്ചയ്ക്ക് തുടങ്ങും.
并非	അല്ല	കാര്യങ്ങൾ നീ കരുതുന്നതുപോലെ അല്ല.
并列	സമനിലയിൽ	ഈ രണ്ടു പദ്ധതികളും ഒന്നാം സ്ഥാനത്ത് സമനിലയിലാണ്.
剥削	ചൂഷണം	പഴയ സമൂഹത്തിൽ ഗുരുതരമായ ചൂഷണം ഉണ്ടായിരുന്നു.
拨	ഡയൽ ചെയ്യുക	ദയവായി ഈ ഫോൺ നമ്പർ ഡയൽ ചെയ്യുക.
播种	വിത്ത് വിതയ്ക്കുക	കർഷകർ വസന്തത്തിൽ വിത്ത് വിതയ്ക്കാൻ തുടങ്ങും.
波浪	തിരമാല	കടൽമേൽ വലിയ തിരമാലകൾ ഉയർന്നു.
波涛	വലിയ തിരകൾ	വഞ്ചി വലിയ തിരകളിലൂടെ മുന്നോട്ട് നീങ്ങി.
伯母	അമ്മായി	ഞാൻ വാരാന്ത്യത്തിൽ അമ്മായിയെ കാണാൻ പോകും.
博大精深	വിശാലവും ആഴമുള്ളതുമായ	ചൈനീസ് സംസ്കാരം വിശാലവും ആഴമുള്ളതുമാണ്.
博览会	പ്രദർശനമേള	അന്താരാഷ്ട്ര പ്രദർശനമേള നിരവധി കമ്പനികളെ ആകർഷിച്ചു.
搏斗	പൊരുതുക	പോലീസ് കുറ്റവാളിയുമായി പൊരുതി.
薄弱	ദുർബലമായ	അവന്റെ വ്യാകരണ അടിസ്ഥാനം കുറച്ച് ദുർബലമാണ്.
不顾	അവഗണിച്ച്	അവൻ അപകടം അവഗണിച്ച് അകത്ത് പാഞ്ഞുകയറി.
不愧	അർഹൻ	അവൻ അനുഭവസമ്പന്നനായ വിദഗ്ധൻ എന്നു വിളിക്കപ്പെടാൻ യഥാർത്ഥത്തിൽ അർഹനാണ്.
不料	അപ്രതീക്ഷിതമായി	അപ്രതീക്ഷിതമായി, യോഗം പെട്ടെന്ന് റദ്ദാക്കി.
不像话	അതിരുകടന്ന	അതിഥികളോട് ഇങ്ങനെ പെരുമാറുന്നത് അതിരുകടന്നതാണ്.
不屑一顾	നിരസിച്ച് കാണുക	അവൻ ഈ അഭ്യൂഹങ്ങളെ നിരസിച്ച് കണ്ടു.
哺乳	മുലയൂട്ടുക	അമ്മ കുഞ്ഞിനെ മുലയൂട്ടുകയാണ്.
捕捉	പിടിച്ചെടുക്കുക	ഫോട്ടോഗ്രാഫർ അത്ഭുതകരമായ നിമിഷം പിടിച്ചെടുത്തു.
补偿	നഷ്ടപരിഹാരം നൽകുക	കമ്പനി നിന്റെ നഷ്ടത്തിന് നഷ്ടപരിഹാരം നൽകും.
补救	പരിഹാരം കാണുക	ഇപ്പോഴും പരിഹാരം കാണാൻ സമയം ഉണ്ട്.
补贴	ധനസഹായം	സർക്കാർ കുറഞ്ഞ വരുമാനമുള്ള കുടുംബങ്ങൾക്ക് ധനസഹായം നൽകുന്നു.
不得已	മറ്റുവഴിയില്ലാതെ	മറ്റുവഴിയില്ലാത്തതിനാലാണ് അവൻ നാട്ടുവിട്ടത്.
不妨	തടസമില്ലാതെ	ആദ്യം അവന്റെ വിശദീകരണം കേട്ടാൽ മതി.
不敢当	അതിന് ഞാൻ അർഹനല്ല	നിങ്ങൾ ഇങ്ങനെ പ്രശംസിക്കുമ്പോൾ അതിന് ഞാൻ അർഹനല്ല.
不禁	തടയാനാകാതെ	വാർത്ത കേട്ട് അവൻ ചിരി തടയാനായില്ല.
不堪	സഹിക്കാനാവാത്ത	ഇവിടത്തെ ശബ്ദം സഹിക്കാനാവാത്തതാണ്.
不可思议	അവിശ്വസനീയമായ	ഈ ഫലം യഥാർത്ഥത്തിൽ അവിശ്വസനീയമാണ്.
不免	ഒഴിവാക്കാനാവാതെ	ആദ്യമായി വേദിയിലേറുമ്പോൾ അവന് അല്പം ഉത്കണ്ഠ ഒഴിവാക്കാനായില്ല.
不时	ഇടയ്ക്കിടെ	അവൻ ഇടയ്ക്കിടെ തല ഉയർത്തി ഘടികാരം നോക്കി.
不惜	മടിക്കാതെ	ആളെ രക്ഷിക്കാൻ അവൻ അപകടം ഏറ്റെടുക്കാൻ മടിച്ചില്ല.
不相上下	തുല്യശക്തിയുള്ള	രണ്ട് ടീമുകളുടെ ശക്തി ഏകദേശം തുല്യമാണ്.
不言而喻	പറയേണ്ടതില്ലാത്ത	സത്യസന്ധതയുടെ പ്രാധാന്യം പറയേണ്ടതില്ലാത്തതാണ്.
不由得	അറിയാതെ	പഴയ ഫോട്ടോ കണ്ടപ്പോൾ ഞാൻ അറിയാതെ ബാല്യം ഓർത്തു.
不择手段	എന്തുവഴിയും ഉപയോഗിച്ച്	പണം സമ്പാദിക്കാൻ അവൻ എന്തുവഴിയും ഉപയോഗിക്കുന്നു.
不止	അതിലധികം	യോഗത്തിൽ പങ്കെടുത്തവർ നൂറിൽ അധികമായിരുന്നു.
布告	അറിയിപ്പ്	സ്കൂൾ കവാടത്തിൽ ഒരു അറിയിപ്പ് ഒട്ടിച്ചു.
布局	വിന്യാസം	ഈ ഫ്ലാറ്റിന്റെ വിന്യാസം വളരെ യുക്തിസഹമാണ്.
布置	ക്രമീകരിക്കുക	അധ്യാപകൻ പുതിയ ഹോംവർക്ക് നൽകി.
步伐	ചുവട്	സംഘം ഒത്ത ചുവടുകളോടെ മുന്നേറി.
部署	വിന്യസിക്കുക	കമ്പനി പുതിയ വിൽപ്പന പദ്ധതി വിന്യസിക്കുന്നു.
部位	ഭാഗം	ഡോക്ടർ പരിക്കേറ്റ ഭാഗം പരിശോധിച്ചു.
才干	കഴിവ്	മാനേജ്മെന്റിൽ അവൾക്ക് നല്ല കഴിവുണ്ട്.
裁缝	തയ്യൽക്കാരൻ	ഈ തയ്യൽക്കാരന്റെ കയ്യൊപ്പ് നല്ലതാണ്.
裁判	റഫറി	റഫറി മത്സരം നിർത്തിവെച്ചതായി പ്രഖ്യാപിച്ചു.
裁员	ജീവനക്കാരെ കുറയ്ക്കുക	നഷ്ടം കാരണം കമ്പനി ജീവനക്കാരെ കുറയ്ക്കാൻ തീരുമാനിച്ചു.
财富	സമ്പത്ത്	അറിവും ഒരു സമ്പത്താണ്.
财务	ധനകാര്യ	ധനകാര്യ വകുപ്പ് അക്കൗണ്ടുകൾ പരിശോധിക്കുന്നു.
财政	ധനവരുമാനം	ഈ വർഷം ധനവരുമാനം കുറച്ച് വർധിച്ചു.
彩票	ലോട്ടറി ടിക്കറ്റ്	അവൻ ഇടയ്ക്കിടെ ഒരു ലോട്ടറി ടിക്കറ്റ് വാങ്ങും.
采购	വാങ്ങൽ നടത്തുക	കമ്പനി ഉപകരണങ്ങൾ വാങ്ങാൻ ആളെ അയച്ചു.
采集	ശേഖരിക്കുക	ഗവേഷകർ കാട്ടിൽ സാമ്പിളുകൾ ശേഖരിച്ചു.
采纳	സ്വീകരിക്കുക	നേതാവ് ഞങ്ങളുടെ നിർദ്ദേശം സ്വീകരിച്ചു.
参谋	ഉപദേശം നൽകുക	അവൻ മാനേജർക്കു പലപ്പോഴും ഉപദേശം നൽകുന്നു.
参照	അനുസരിച്ച് നോക്കുക	ദയവായി ഈ രൂപം അനുസരിച്ച് ഫോം പൂരിപ്പിക്കുക.
残疾	വൈകല്യമുള്ള	ഈ സ്റ്റേഷൻ വൈകല്യമുള്ള യാത്രക്കാർക്ക് സഹായം നൽകുന്നു.
残酷	ക്രൂരമായ	യുദ്ധം വളരെ ക്രൂരമാണ്.
残留	അവശേഷിക്കുക	കപ്പിൽ ഇപ്പോഴും കാപ്പിയുടെ മണം അവശേഷിക്കുന്നു.
残忍	നിർദയമായ	മൃഗങ്ങളെ പീഡിപ്പിക്കൽ നിർദയമായ പ്രവൃത്തിയാണ്.
灿烂	തിളങ്ങുന്ന	അവൾ തിളങ്ങുന്ന പുഞ്ചിരി കാട്ടി.
仓促	അശ്രദ്ധയായി വേഗത്തിൽ	ഈ തീരുമാനം വളരെ അശ്രദ്ധയായി വേഗത്തിൽ എടുത്തതാണ്.
仓库	ഗോഡൗൺ	ചരക്ക് ഇതിനകം ഗോഡൗണിലെത്തി.
舱	കാബിൻ	യാത്രക്കാർ വിമാനകാബിനിൽ കയറുന്നു.
苍白	വിളറിയ	അവന്റെ മുഖം വളരെ വിളറിയതായി തോന്നി.
操劳	കഠിനമായി പരിശ്രമിക്കുക	അമ്മ ഈ കുടുംബത്തിനായി വർഷങ്ങളോളം കഠിനമായി പരിശ്രമിച്ചു.
操练	പരിശീലനം നടത്തുക	സൈനികർ ദിവസേന രാവിലെ പരിശീലനം നടത്തുന്നു.
操纵	നിയന്ത്രിക്കുക	ഈ യന്ത്രം കമ്പ്യൂട്ടർ നിയന്ത്രിക്കുന്നു.
操作	പ്രവർത്തിപ്പിക്കുക	നിർദ്ദേശങ്ങൾ അനുസരിച്ച് ഉപകരണം പ്രവർത്തിപ്പിക്കുക.
嘈杂	ശബ്ദമുള്ള	സ്റ്റേഷനിൽ വളരെ ശബ്ദമാണ്.
草案	കരട്	കമ്മിറ്റി കരട് ചർച്ച ചെയ്യുന്നു.
草率	അശ്രദ്ധമായ	ഇത്ര പ്രധാനമായ തീരുമാനം അശ്രദ്ധമായിരിക്കരുത്.
侧面	വശം	വശത്ത് നിന്ന് നോക്കുമ്പോൾ ഈ കെട്ടിടം കൂടുതൽ ഉയർന്നതായി കാണുന്നു.
测量	അളക്കുക	എഞ്ചിനീയർ പാലത്തിന്റെ നീളം അളക്കുന്നു.
策划	പദ്ധതി തയ്യാറാക്കുക	അവർ വലിയൊരു പരിപാടി പദ്ധതി തയ്യാറാക്കി.
策略	തന്ത്രം	ഈ തന്ത്രം കമ്പനിക്ക് ചെലവ് കുറയ്ക്കാൻ സഹായിച്ചു.
层出不穷	തുടർച്ചയായി ഉയർന്നുവരിക	പുതിയ പ്രശ്നങ്ങൾ തുടർച്ചയായി ഉയർന്നുവരുന്നു.
