source_headword	SI	example_SI
dignity	ගෞරවය	රැකියාවේදී සෑම කෙනෙකුටම ගෞරවය ලැබිය යුතුය.
dilemma	උභතෝකෝටිකය	කළමනාකරු බරපතල උභතෝකෝටිකයකට මුහුණ දුන්නේය.
dimension	මානය	ගැටලුවට දේශපාලන මානයක් ඇත.
diminish	අඩු වෙනවා	වේදනාව සෙමින් අඩු විය යුතුය.
dip	පහත වැටෙනවා	උෂ්ණත්වය මිදෙන ස්ථානයට වඩා පහත වැටිය හැක.
diplomat	රාජ්‍ය තාන්ත්‍රිකයා	රාජ්‍ය තාන්ත්‍රිකයා විදේශ නායකයින් හමුවිය.
diplomatic	රාජ්‍ය තාන්ත්‍රික	රාජ්‍ය තාන්ත්‍රික සාකච්ඡා එක දිගට රාත්‍රියේ පැවැත්විණි.
directory	නාමාවලිය	ඔහුගේ අංකය සඳහා නාමාවලිය සොයන්න.
disastrous	විනාශකාරී	විනාශකාරී ගංවතුර පාලම් කිහිපයක් විනාශ කළේය.
discard	ඉවතලනවා	ප්‍රයෝජනවත් වාර්තා ඉවත නොදමන්න.
discharge	මුදාහරිනවා	රෝහල හෙට ඔහුව මුදාහරිනු ඇත.
disclose	හෙළි කරනවා	නිලධාරීන් සංඛ්‍යා හෙළි කිරීම ප්‍රතික්ෂේප කළහ.
disclosure	හෙළිදරව්ව	හෙළිදරව්ව මණ්ඩලය කම්පනයට පත් කළේය.
discourse	කතිකාව	මහජන කතිකාව වඩාත් ආචාරශීලී විය.
discretion	අභිමතය	සංවේදී අවස්ථා සමඟ ඔබේ අභිමතය භාවිතා කරන්න.
discrimination	වෙනස් කොට සැලකීම	රැකියා ලබා දීමේදී වෙනස් කොට සැලකීම නීතියෙන් තහනම් කර ඇත.
dismissal	සේවයෙන් පහ කිරීම	ඔහුව සේවයෙන් පහ කිරීම මහජන කෝපයට හේතු විය.
displace	අවතැන් කරනවා	යුද්ධය දහස් ගණනක් අවතැන් කළ හැකිය.
disposal	බැහැර කිරීම	කසළ බැහැර කිරීම දේශීය ගැටලුවක්ව පවතී.
dispose	බැහැර කරනවා	සමාගම ආරක්ෂිතව රසායනික ද්‍රව්‍ය බැහැර කළ යුතුය.
dispute	ආරවුල	ආරවුල මාස ගණනාවක් පැවතුනි.
disrupt	බාධා කරනවා	ශබ්දය නිසා අවධානයට බාධා විය හැක.
disruption	බාධාව	වැඩ වර්ජනය නිසා විශාල බාධාවක් ඇති විය.
dissolve	දිය වෙනවා	උණුසුම් තේ වල සීනි දිය වේ.
distinction	වෙනස	ඔවුන් අතර වෙනස වැදගත් වේ.
distinctive	සුවිශේෂී	ඇයට සුවිශේෂී කටහඬක් ඇත.
distort	විකෘති කරනවා	කණ්ණාඩියට ඔබේ පරාවර්තනය විකෘති කළ හැකිය.
distress	පීඩාව	ඇමතුම බරපතල පීඩාවක් ඇති කළේය.
disturbing	කැළඹිලි සහිත	වාර්තා චිත්‍රපටයේ කැළඹිලි සහිත දර්ශන පෙන්වා ඇත.
divert	හරවා යවනවා	පොලිසියට රථවාහන හරවා යැවීමට සිදු විය.
divine	දිව්‍යමය	දේවස්ථානයට දිව්‍යමය වාතාවරණයක් ඇත.
doctrine	ප්‍රතිපත්තිය	පක්ෂය පැරණි ප්‍රතිපත්තිය ප්‍රතික්ෂේප කළේය.
documentation	ලියකියවිලි	දියත් කිරීමට පෙර ලියකියවිලි සම්පූර්ණ කරන්න.
domain	වසම	වෙබ් අඩවිය ආරක්ෂිත වසමක් භාවිතා කරයි.
dominance	ආධිපත්‍යය	කණ්ඩායමේ ආධිපත්‍යය දශකයක් පුරා පැවතුනි.
donor	පරිත්‍යාගශීලියා	අද පරිත්‍යාගශීලියා රුධිරය ලබා දුන්නේය.
dose	මාත්‍රාව	උදෑසන ආහාරයෙන් පසු එක් මාත්‍රාවක් ගන්න.
drain	ජලය බැස යාම	ජලය ගඟට බැස යනු ඇත.
drift	පාවී යාම	දුමාරය පාර හරහා පාවී යාමට පටන් ගත්තේය.
driving	ප්‍රධාන	ප්‍රමාදයන්ට ප්‍රධාන හේතුව වූයේ වර්ෂාවයි.
drown	ගිලී යාම	දියවැල්වලින් ඔබව ගිලී යා හැකි තැන්වල කිසි විටෙකත් පිහිනන්න එපා.
dual	ද්විත්ව	උපාංගයට ද්විත්ව කාර්යයක් ඇත.
dub	නම් කිරීම	විචාරකයින් මෙම නගරය සංස්කෘතික අගනුවරක් ලෙස නම් කර ඇත.
dumb	ගොළු	එය ගොළු අත්වැරැද්දක් විය.
duo	යුගලය	විකට යුගලය යුරෝපයේ සංචාරය කළහ.
eager	උනන්දු	සිසුන් ආරම්භ කිරීමට උනන්දු වූහ.
earnings	ඉපැයීම්	සමාගමේ ඉපැයීම් තියුනු ලෙස ඉහළ ගියේය.
ease	පහසුව	නව මාර්ගය රථවාහන තදබදය පහසු කරනු ඇත.
echo	දෝංකාරය	ඇගේ කටහඬ ශාලාව තුළ දෝංකාර දුන්නේය.
ecological	පාරිසරික	පාරිසරික බලපෑම අවිනිශ්චිතව පවතී.
educator	අධ්‍යාපනඥයා	අධ්‍යාපනඥයා නව පාඨමාලාවක් සැලසුම් කළේය.
effectiveness	ඵලදායීතාවය	අධ්‍යයනයෙන් එන්නතෙහි ඵලදායීතාවය මනිනු ලැබීය.
efficiency	කාර්යක්ෂමතාවය	වඩා හොඳ මෘදුකාංග කාර්යක්ෂමතාවය වැඩි දියුණු කළේය.
ego	මමත්වය	ඔහුගේ මමත්වය රැකියාවේ ගැටලු ඇති කළේය.
elaborate	විස්තීර්ණ	විස්තීර්ණ ඇඳුම සඳහා සති කිහිපයක් ගත විය.
electoral	මැතිවරණ	මැතිවරණ ක්‍රමය පසුගිය වසරේ වෙනස් විය.
elevate	ඉහළ නැංවීම	මෙම සම්මානය ඇයගේ ප්‍රතිරූපය ඉහළ නංවනු ඇත.
eligible	සුදුසුකම් ලත්	වට්ටම් සඳහා සුදුසුකම් ලබන්නේ ප්‍රදේශවාසීන් පමණි.
elite	ප්‍රභූ	ප්‍රභූන් පෞද්ගලික ඇකඩමියක පුහුණුව ලැබුවා.
embark	ආරම්භ කිරීම	ඔවුන් දිගු ගමනක් ආරම්භ කරනු ඇත.
embarrassment	අපහසුතාවය	අපහසුතාවය වසන් කිරීමට ඔහු සිනාසුණේය.
embassy	තානාපති කාර්යාලය	තානාපති කාර්යාලය නව සංචාරක උපදෙස් නිකුත් කළේය.
embed	කාවැද්දීම	මාධ්‍යවේදියා ඒකකය සමඟ කාවැද්දෙනු ඇත.
embody	මූර්තිමත් කිරීම	ප්‍රතිමාවෙන් ධෛර්යය මූර්තිමත් වන බව පෙනේ.
emergence	මතුවීම	දුරකථන මතුවීම එදිනෙදා ජීවිතය වෙනස් කළේය.
empirical	අත්දැකීම් සහිත	මෙම පත්‍රිකාව අත්දැකීම් සහිත සාක්ෂි මත රඳා පවතී.
empower	සවිබල ගැන්වීම	අධ්‍යාපනයට ප්‍රාදේශීය ප්‍රජාවන් සවිබල ගැන්විය හැකිය.
enact	පැනවීම	ප්‍රතිසංස්කරණ පැනවීමට පාර්ලිමේන්තුව ඡන්දය දුන්නේය.
encompass	ඇතුළත් කිරීම	පාඨමාලාවට නවීන ඉතිහාසය ඇතුළත් වනු ඇත.
encouragement	දිරිගැන්වීම	ඇයගේ දිරිගැන්වීම ඔහුට ඉදිරියට යාමට උපකාර විය.
encouraging	දිරිගන්වන	මුල් ප්‍රතිඵල දිරිගන්වන සුළු බව පෙනේ.
endeavour	උත්සාහය	ගලවා ගැනීම දුෂ්කර උත්සාහයක් විය.
endless	නිමක් නැති	කාන්තාරය නිමක් නැති බව පෙනුනි.
endorse	අනුමත කිරීම	අපේක්ෂකයා අනුමත කිරීම සංගමය ප්‍රතික්ෂේප කළේය.
endorsement	අනුමත කිරීම	ඔහුගේ අනුමත කිරීම ඇගේ ව්‍යාපාරය නංවාලීය.
endure	විඳදරාගැනීම	ශාකවලට කටුක ශීත කාලය විඳදරාගත හැකිය.
enforce	ක්‍රියාත්මක කිරීම	පොලිසිය වේග සීමාව ක්‍රියාත්මක කරයි.
enforcement	බලාත්මක කිරීම	දැඩි බලාත්මක කිරීම් හේතුවෙන් නීති විරෝධී ලෙස කසළ බැහැර කිරීම අඩු විය.
engagement	සම්බන්ධ වීම	මෙම අධ්‍යයන වාරයේ සිසුන්ගේ සම්බන්ධ වීම වැඩි දියුණු විය.
engaging	සිත්ගන්නා	කථිකයා සිත්ගන්නා කතාවක් කළේය.
enquire	විමසීම	කරුණාකර ඉදිරිපස කවුන්ටරයෙන් විමසන්න.
enrich	පොහොසත් කිරීම	සංචාරය කිරීම මගින් ඔබගේ අවබෝධය පොහොසත් කළ හැකිය.
enrol	ඇතුළත් වීම	සිසුන් සැප්තැම්බර් මාසයට පෙර ඇතුළත් විය යුතුය.
ensue	ප්‍රතිඵලයක් ලෙස සිදුවීම	නිවේදනයෙන් පසු අවුල් ජාලාවක් ඇති විය හැකිය.
enterprise	ව්‍යවසාය	මෙම ව්‍යවසාය ප්‍රාදේශීය කලාකරුවන් සේවයේ යොදවයි.
enthusiast	උද්යෝගිමත්	සෑම පාපැදි ලෝලියෙකුම මෙම මාර්ගය දනී.
entitle	හිමිකම් දීම	ප්‍රවේශ පත්‍රය ඔබට ඇතුල් වීමට හිමිකම් ලබා දෙනු ඇත.
entity	ආයතනය	සමාගම යනු වෙනම නෛතික ආයතනයකි.
epidemic	වසංගතය	වසංගතය කලාප කිහිපයක් පුරා පැතිර ගියේය.
equality	සමානාත්මතාවය	මෙම ව්‍යාපාරය සමානාත්මතාවය වෙනුවෙන් සටන් කළේය.
equation	සමීකරණය	සමීකරණයේ නොදන්නා දෙකක් අඩංගු වේ.
erect	ඉදිකිරීම	කම්කරුවන් නව වැටක් ඉදිකරනු ඇත.
escalate	උත්සන්න වීම	ගැටුම ඉක්මනින් උත්සන්න විය හැකිය.
essence	සාරය	කවිය ළමා කාලයේ සාරය ග්‍රහණය කර ගනී.
establishment	ආයතනය	ආයතනය ප්‍රතිසංස්කරණයට විරුද්ධ විය.
eternal	සදාකාලික	ඔවුන් සදාකාලික මිත්‍රත්වයක් පොරොන්දු විය.
evacuate	ඉවත් කිරීම	පදිංචිකරුවන්ට ආරක්ෂිතව ඉවත් වීමට ගිනි නිවන භටයින් උපකාර කළහ.
evoke	අවදි කිරීම	ගීතය මගින් ප්‍රබල මතකයන් අවදි කළ හැකිය.
evolutionary	පරිණාමීය	ෆොසිලය පරිණාමීය වෙනසක් පෙන්නුම් කරයි.
exaggerate	අතිශයෝක්තියට නැංවීම	ඔබේ අත්දැකීම් අතිශයෝක්තියට නංවන්න එපා.
excellence	විශිෂ්ටත්වය	පාසල අධ්‍යයන විශිෂ්ටත්වය අගය කරයි.
exceptional	සුවිශේෂී	ඇය සුවිශේෂී දක්ෂතාවක් පෙන්නුම් කළාය.
excess	අතිරික්ත	අතිරික්ත ජලයෙන් පහළම මාලය ජලයෙන් යට විය.
exclusion	බැහැර කිරීම	සමාජයෙන් බැහැර කිරීම තරුණයින්ට හානි කරයි.
exclusive	සුවිශේෂී	සමාජය සුවිශේෂී ප්‍රවේශයක් ලබා දෙයි.
exclusively	තනිකරම	මෙම කාමරය තනිකරම කාර්ය මණ්ඩලය විසින් භාවිතා කරනු ලැබේ.
execute	ක්‍රියාත්මක කිරීම	කණ්ඩායම සැලැස්ම ඉතාම ප්‍රවේශමෙන් ක්‍රියාත්මක කරනු ඇත.
execution	ක්‍රියාත්මක කිරීම	උපායමාර්ගය ක්‍රියාත්මක කිරීමට මාස ගණනාවක් ගත විය.
exert	යෙදවීම	ඔබ වැඩි පීඩනයක් යෙදිය යුතුය.
exile	පිටුවහල් කිරීම	ලේඛකයා පිටුවහල්ව ජීවත් විය.
expenditure	වියදම	පසුගිය වසරේ රාජ්‍ය වියදම වැඩි වුණා.
experimental	පර්යේෂණාත්මක	ප්‍රතිකාරය තවමත් පර්යේෂණාත්මකයි.
expire	කල් ඉකුත් වීම	මගේ විදේශ ගමන් බලපත්‍රය ඉක්මනින් කල් ඉකුත් වනු ඇත.
explicit	පැහැදිලි	උපදෙස් පැහැදිලිය.
explicitly	පැහැදිලිවම	නීති මගින් දුම්පානය පැහැදිලිවම තහනම් කරයි.
exploitation	සූරාකෑම	වාර්තාව කම්කරු සූරාකෑම හෙළිදරව් කළේය.
explosive	පුපුරන සුලු	පුපුරණ ද්‍රව්‍ය ආරක්ෂිතව ඉවත් කරන ලදී.
extremist	අන්තවාදී	අන්තවාදී කල්ලියට සහය අහිමි විය.
facilitate	පහසුකම් සැලසීම	යෙදුම දුරස්ථ ඉගෙනුම් පහසුකම් සලසනු ඇත.
faction	කන්ඩායම	එක් කන්ඩායමක් නායකයාට විරුද්ධ විය.
faculty	පීඨය	පීඨය යෝජනාව අනුමත කළේය.
fade	වියැකී යාම	සූර්යාලෝකයේ දී තීන්ත වියැකී යනු ඇත.
fairness	සාධාරණත්වය	සෑම තරඟයකදීම සාධාරණත්වය වැදගත් වේ.
fatal	මාරාන්තික	අනතුරින් මාරාන්තික තුවාල සිදුවිය.
fate	ඉරණම	ඔහුගේ ඉරණම කිසිවෙකු දැන සිටියේ නැත.
favourable	හිතකර	සමාලෝචනය හිතකර විය.
feat	වික්‍රමය	එම කඳු මුදුනට නැගීම වික්‍රමයක් විය.
feminist	ස්ත්‍රීවාදී	ස්ත්‍රීවාදී ව්‍යාපාරය මහජන විවාදය වෙනස් කළේය.
fibre	තන්තු	මෙම පාන්වල අමතර තන්තු අඩංගු වේ.
fierce	දරුණු	දරුණු කුණාටුවෙන් වහලවල් වලට හානි සිදුවිය.
film-maker	චිත්‍රපට නිෂ්පාදකයා	චිත්‍රපට නිෂ්පාදකයා ඉන් පසුව ප්‍රශ්නවලට පිළිතුරු දුන්නේය.
filter	පෙරහන	පෙරහන වාතයේ ඇති දූවිලි ඉවත් කරයි.
fine	දඩය	සමාගම දඩයක් ගෙවා ඇත.
firearm	ගිනි අවිය	නිලධාරියා විසින් සොරාගත් ගිනි අවියක් සොයා ගන්නා ලදී.
fit	ගැලපීම	නව සපත්තු හොඳින් ගැලපේ.
fixture	ස්ථාවරය	ලාම්පුව ස්ථාවර අංගයකි.
flaw	දෝෂය	මෙම සැලසුමේ එක් බරපතල දෝෂයක් ඇත.
flawed	දෝෂ සහිත	දෝෂ සහිත අධ්‍යයනය වැරදි ප්‍රතිඵල ලබා දුන්නේය.
flee	පලා යාම	පවුල්වලට සටනින් පලා යාමට සිදුවිය.
fleet	නාවික කණ්ඩායම	ගුවන් සේවය සිය යානා සමූහය අලුත් කළේය.
flesh	මාංශය	කටුව ඔහුගේ මාංශය සිදුරු කළේය.
flexibility	නම්‍යශීලී බව	දුරස්ථ වැඩ කිරීම වැඩි නම්‍යශීලී බවක් ලබා දෙයි.
flourish	සමෘද්ධිමත් වීම	කුඩා ව්‍යාපාරවලට මෙහි සමෘද්ධිමත් විය හැකිය.
fluid	තරලය	ව්‍යායාම කිරීමෙන් පසු තරල වර්ග රාශියක් බොන්න.
footage	දර්ශන	දර්ශන මගින් අනතුර පෙන්නුම් කළේය.
foreigner	විදේශිකයා	ඔබ විදේශිකයෙකු දැයි පෝරමයේ අසයි.
forge	ගොඩනැගීම	ඔවුන් නව සන්ධානයක් ගොඩනැගීමට උත්සාහ කළහ.
formula	සූත්‍රය	සූත්‍රය ගැටලුව විසඳීය.
formulate	සකස් කිරීම	විද්‍යාඥයින් නව න්‍යායක් සකස් කරයි.
forth	ඉදිරියට	ගඟ බෝට්ටුව ඉදිරියට ගෙන ගියේය.
forthcoming	ඉදිරියට එන	ඉදිරියට එන වාර්තාව සියල්ල පැහැදිලි කරනු ඇත.
foster	පෝෂණය කිරීම	මෙම වැඩසටහන ස්වාධීනත්වය පෝෂණය කිරීමට උපකාරී වේ.
fragile	බිඳෙනසුලු	බිඳෙනසුලු බඳුන ප්‍රවේශමෙන් හැසිරවිය යුතුය.
franchise	බලය පැවරීම	මෙම අවන්හල ගෝලීය බලයලත් ආයතනයක් බවට පත් විය.
frankly	අවංකවම	අවංකවම, අපට තවත් කාලය අවශ්‍යයි.
frustrated	කලකිරුණු	ප්‍රමාදය හේතුවෙන් කම්කරුවන් කලකිරීමට පත් විය.
frustrating	කලකිරවන	මන්දගාමී සම්බන්ධතාවය කලකිරවන සුළු විය.
frustration	කලකිරීම	රැස්වීම අතරතුර කලකිරීම වර්ධනය විය.
functional	ක්‍රියාකාරී	පැරණි මුළුතැන්ගෙය තවමත් ක්‍රියාකාරී වේ.
fundraising	අරමුදල් රැස්කිරීම	අරමුදල් රැස්කිරීම ලබන සතියේ ආරම්භ වේ.
funeral	අවමංගල්‍යය	අවමංගල්‍යය සිකුරාදා පැවැත්විණි.
gallon	ගැලුම	ටැංකියට ගැලුමක් දරාගත හැකිය.
gambling	සූදුව	සූදුව නීතියෙන් සීමා කර ඇත.
gathering	රැස්වීම	රැස්වීම සාමකාමීව අවසන් විය.
gaze	බැල්ම	ඇය කෙටි වේලාවක් ඔහුගේ බැල්ම තබා ගත්තාය.
gear	ආම්පන්න	නැගීමට පෙර ආරක්ෂිත ආම්පන්න අසුරන්න.
generic	සාමාන්‍ය	සාමාන්‍ය අනුවාදයේ මිල අඩුය.
genocide	ජන සංහාරය	ජන සංහාරය ගැඹුරු ජාතික කම්පනයක් ඉතිරි කළේය.
glance	බැල්ම	ඔහු ඉක්මන් බැල්මක් හෙළුවේය.
glimpse	ක්ෂණික බැල්ම	මට මුහුදේ ක්ෂණික බැල්මක් පෙනුණි.
glorious	තේජාන්විත	කණ්ඩායම තේජාන්විත ජයග්‍රහණයක් භුක්ති වින්දා.
glory	කීර්තිය	ඇය ඔලිම්පික් කීර්තිය ගැන සිහින මැව්වාය.
governance	පාලනය	යහපාලනය සඳහා විනිවිදභාවය අවශ්‍ය වේ.
grace	කරුණාව	ඇය කරුණාවෙන් පරාජය පිළිගත්තාය.
grasp	ග්‍රහණය කරගැනීම	සංකල්පය ග්‍රහණය කරගැනීමට ඔහු අසමත් විය.
grave (for dead person)	සොහොන	සොහොන මල්වලින් ආවරණය කර තිබුණි.
grave (serious)	බරපතල	තත්වය තවමත් බරපතල ය.
gravity	ගුරුත්වාකර්ෂණය	ගුරුත්වාකර්ෂණය වස්තූන් පෘථිවිය දෙසට අදින්නේය.
grid	ජාලකය	සිතියම සරල ජාලකයක් භාවිතා කරයි.
grief	ශෝකය	ශෝකය ඔහුගේ මුළු පවුලම වෙනස් කළේය.
grin	සිනහව	පිරිමි ළමයා විශාල සිනහවක් පෑවේය.
grind	ඇඹරීම	කම්කරුවන් සෑම උදෑසනකම බෝංචි අඹරයි.
grip	ග්‍රහණය	කඹය මත ස්ථිර ග්‍රහණයක් තබා ගන්න.
gross	දළ	දළ ආදායම තියුනු ලෙස ඉහළ ගියේය.
guerrilla	ගරිල්ලා	ගරිල්ලා සටන්කරුවන් කඳුකරයේ සැඟවී සිටියහ.
guidance	මගපෙන්වීම	මාර්ගෝපදේශකයා ප්‍රායෝගික මගපෙන්වීමක් සපයයි.
guilt	වරදකාරිත්වය	බොරු කීමෙන් පසු ඇයට වරදකාරී හැඟීමක් ඇති විය.
gut	බඩවැල	දුෂ්කර තේරීම් වලදී ඔබේ හැඟීම් විශ්වාස කරන්න.
hail	ප්‍රශංසා කිරීම	ගම්වැසියන් වෛද්‍යවරයාට වීරයෙකු ලෙස ප්‍රශංසා කළහ.
halfway	අතරමග	අපි කන්දෙන් අතරමග නතර වුණා.
halt	නැවැත්වීම	දුම්රිය හදිසියේ නතර විය.
handful	මිටක්	ස්වේච්ඡා සේවකයන් කිහිප දෙනෙක් ප්‍රමාද වී සිටියහ.
handling	හැසිරවීම	නිසි ලෙස හැසිරවීමෙන් හානි වළක්වයි.
handy	ප්‍රයෝජනවත්	මෙම මෙවලම අලුත්වැඩියා කිරීම සඳහා ප්‍රයෝජනවත් වේ.
harassment	හිරිහැර කිරීම	සමාගම හිරිහැර කිරීමේ පැමිණිලි විමර්ශනය කළේය.
hardware	දෘඩාංග	වෙළඳසැල පරිගණක දෘඩාංග විකුණයි.
harmony	සමගිය	ගායන කණ්ඩායම පරිපූර්ණ සමගියෙන් ගායනා කළේය.
harsh	කටුක	විනිසුරුවරයා දැඩි දඬුවමක් නියම කළේය.
harvest	අස්වැන්න	අස්වැන්න නෙළීම සැප්තැම්බර් මාසයේ ආරම්භ වේ.
haunt	හොල්මන් කිරීම	මතකය දිගටම ඔහුට හොල්මන් කළේය.
hazard	උපද්‍රවය	අයිස් යනු මාර්ගයේ බරපතල අනතුරකි.
heighten	වැඩිකරනවා	මෙම කතාව ආතතිය වැඩි කළ හැකිය.
heritage	උරුමය	මෙම මාලිගාව දේශීය උරුමයේ කොටසකි.
hierarchy	ධුරාවලිය	කාර්යාල ධුරාවලිය පැහැදිලිව නිර්වචනය කර ඇත.
