source_headword	HU	example_HU
composer	zeneszerző	A zeneszerző új dalt írt.
compound	vegyület	A vegyület két vegyszert tartalmaz.
comprehensive	átfogó	Az útmutató átfogó utasításokat ad.
comprise	tartalmaz	A csapat öt tagból áll.
compulsory	kötelező	A részvétel ezen az órán kötelező.
concrete	beton	A padló betonból készült.
confess	bevall	Bevallotta a hibáját a tanárának.
confusion	zűrzavar	A késés zűrzavart okozott.
consequently	következésképpen	Esett az eső; következésképpen a meccs félbeszakadt.
conservation	megőrzés	A természetvédelem óvja a ritka állatokat.
considerable	jelentős	A javítás jelentős időt vett igénybe.
considerably	jelentősen	Az árak idén jelentősen emelkedtek.
consistently	következetesen	Következetesen jól teljesít.
conspiracy	összeesküvés	A rendőrség kivizsgálta az összeesküvést.
consult	konzultál	Konzultáljon orvosával a gyógyszer bevétele előtt.
consultant	tanácsadó	A tanácsadó új stratégiát javasolt.
consumption	fogyasztás	Az energiafogyasztás a múlt hónapban csökkent.
controversial	ellentmondásos	A politika ellentmondásos marad.
controversy	vita	A döntés vitát váltott ki.
convenience	kényelem	A bolt nagy kényelmet nyújt.
convention	egyezmény	Az éves kongresszus hétfőn kezdődik.
conventional	hagyományos	Hagyományos dizájnt választott.
convey	közvetít	Az üzenet együttérzést fejezett ki.
convincing	meggyőző	A magyarázata meggyőző volt.
cope	megbirkózik	Megtanult megbirkózni a stresszel.
corporation	vállalat	A vállalat új irodát nyitott.
corridor	folyosó	A folyosó szűk és csendes volt.
counter (long flat surface)	pult	A kulcsok a konyhai pulton vannak.
coverage	lefedettség	A híradós tudósítás egész este tartott.
crack	repedés	Egy repedés jelent meg a falon.
craft	mesterség	Kézműves termékeket árul az interneten.
creativity	kreativitás	A kreativitás segít a problémák megoldásában.
critically	kritikusan	A cikk kritikusan fontos volt.
cruise	hajóút	Lefoglaltak egy hajóutat Görögországba.
cue	végszó	A színész lekéste a végszavát.
curious	kíváncsi	A gyerek kíváncsi volt a világűrre.
curriculum	tanterv	Az iskola frissítette a tantervét.
cute	aranyos	A kiskutya aranyosnak tűnt.
dairy	tejüzem	A farm tejtermékeket állít elő.
dare	merészel	Kihívlak, hogy próbáld ki.
darkness	sötétség	A szoba megtelt sötétséggel.
database	adatbázis	Az adatbázis tárolja az ügyfelek rekordjait.
deadline	határidő	A határidő péntek.
deadly	halálos	A kígyónak halálos mérge van.
dealer	kereskedő	Az autókereskedő kedvezményt ajánlott.
deck	fedélzet	A székek a teraszon vannak.
defender	védő	A védő blokkolta a lövést.
delete	töröl	Törölje a régi üzenetet.
democracy	demokrácia	A demokrácia a szabad választásoktól függ.
democratic	demokratikus	A szavazás demokratikus szabályokat követett.
demonstration	tüntetés	A diákok csatlakoztak egy tüntetéshez.
depart	eltávolodik	A vonat délben indul.
dependent	függő	A gyermek a felnőttektől függ.
deposit	letét	Kauciót fizetett a lakásért.
depression	depresszió	A depresszió szakmai támogatást igényel.
derive	levezet	Sok szó a latinból származik.
desperately	kétségbeesetten	Kétségbeesetten szüksége volt vízre.
destruction	pusztítás	A vihar széleskörű pusztítást okozott.
determination	elszántság	Elszántsága lenyűgözte az edzőt.
devote	szentel	A hétvégéket tanulásnak szenteli.
differ	különbözik	Véleményük élesen különbözik.
disability	fogyatékosság	Az épületbe biztosított a bejutás fogyatékkal élők számára.
disabled	letiltott	A fogyatékkal élő sportoló érmet nyert.
disagreement	nézeteltérés	Az értekezlet nézeteltéréssel végződött.
disappoint	csalódást okoz	Az eredmény csalódást okozhat a rajongóknak.
disappointment	csalódás	Mély csalódást érzett.
discourage	elrettent	Ne kedvetlenítse el a fiatal tanulókat.
disorder	zavar	Az orvos alvászavart diagnosztizált.
distant	távoli	A hegyek távolinak tűntek.
distinct	világos	A két hang eltérő.
distinguish	megkülönböztet	Meg tudja különböztetni ezeket a színeket?
distract	eltereli a figyelmet	A zaj elterelheti a diákok figyelmét.
disturb	megzavar	Kérem, ne zavarja a beteget.
dive	merülés	A zátony közelében fognak merülni.
diverse	sokszínű	A város sokszínű kultúrákkal rendelkezik.
diversity	sokszínűség	Ünnepeljük a kulturális sokszínűséget.
divorce	válás	A válás mindenki számára nehéz volt.
dominant	domináns	A domináns csapat irányította a játékot.
donation	adomány	A jótékonysági szervezet adományt kapott.
dot	pont	Tegyen egy pontot a szám után.
downtown	belváros	Munka után a belvárosban találkoztunk.
dramatically	drámaian	Az ár drámaian visszaesett.
drought	aszály	Az aszály károsította a termést.
dull	unalmas	Az előadás unalmas volt.
dump	kidob	Ne rakja le ide a szemetet.
duration	időtartam	A repülés időtartama három óra.
dynamic	dinamikus	Az osztályterem dinamikusnak hatott.
economics	közgazdaságtan	Közgazdaságtant tanul az egyetemen.
economist	közgazdász	A közgazdász lassabb növekedést jósolt.
editorial	szerkesztői	A vezércikk bírálta a törvényt.
efficiently	hatékonyan	A csapat hatékonyan dolgozott.
elbow	könyök	Megütötte a könyökét.
electronics	elektronika	Az üzlet elektronikát árul.
elegant	elegáns	A ruha elegánsnak tűnt.
elementary	elemi	A könyv az alapvető nyelvtant magyarázza el.
eliminate	kiküszöböl	A csapat több hibát is kiküszöbölt.
embrace	megölel	Elfogadta az új ötletet.
emission	kibocsátás	Az autók károsanyag-kibocsátása csökkent.
emotionally	érzelmileg	Érzelmileg megérintve beszélt a családjáról.
empire	birodalom	A birodalom évszázadokig fennmaradt.
enjoyable	élvezetes	Az utazás élvezetes volt.
entertaining	szórakoztató	Az előadás szórakoztató volt.
entrepreneur	vállalkozó	A vállalkozó nyitott egy kávézót.
envelope	boríték	Tedd a levelet egy borítékba.
equip	felszerel	Az iskola fel fogja szerelni a labort.
equivalent	egyenértékű	Egy dollár itt nem egyenértékű.
era	korszak	A felfedezés új korszakot nyitott.
erupt	kitör	A vulkán hamarosan kitörhet.
essentially	lényegében	A két módszer lényegében azonos.
ethic	etika	Erős a munkamorálja.
ethnic	etnikai	A fesztivál az etnikai hagyományokat ünnepli.
evaluation	értékelés	A kurzus tartalmaz egy végső értékelést.
evident	nyilvánvaló	Az idegessége nyilvánvaló volt.
evolution	evolúció	Az evolúció sok biológiai változást magyaráz.
evolve	fejlődik	A nyelvek idővel fejlődnek.
exceed	meghalad	A kereslet meghaladhatja a kínálatot.
exception	kivétel	Van egy kivétel.
excessive	túlzott	A túlzott zaj zavarja a szomszédokat.
exclude	kizár	A lista kizárja az ideiglenes munkavállalókat.
exhibit	kiállítás	A múzeum ritka fényképeket fog kiállítani.
exit	kijárat	A kijárat a színpad mögött van.
exotic	egzotikus	A bolt egzotikus gyümölcsöket árul.
expansion	terjeszkedés	A cég terjeszkedést tervezett.
expertise	szakértelem	A szakértelme javította a projektet.
exploit	kihasznál	A bűnözők kihasználják a gyenge jelszavakat.
exposure	kitettség	A napsugárzásnak való kitettség károsíthatja a bőrt.
extension	bővítés	A határidő meghosszabbítása mindenkinek segített.
extensive	kiterjedt	A könyvtár kiterjedt forrásokkal rendelkezik.
extensively	kiterjedten	A témát kiterjedten tanulmányozták.
extract	kivonat	A vaníliakivonat ízt ad.
fabric	szövet	A szövet puha tapintású.
fabulous	mesés	Az étel mesés volt.
failed	sikertelen	A sikertelen kísérlet megtanított minket valamire.
fake	hamis	A weboldal hamis jegyeket árult.
fame	hírnév	A hírnév megváltoztatta a magánéletét.
fantasy	fantázia	A regény egy fantasy.
fare	viteldíj	A busz viteldíja emelkedett.
federal	szövetségi	A szövetségi kormány támogatást jelentett be.
fever	láz	A gyereknek láza van.
firefighter	tűzoltó	A tűzoltó megmentette a kutyát.
firework	tűzijáték	Egy tűzijáték robbant fel a park felett.
firm	szilárd	A matrac kemény.
firmly	határozottan	Határozottan becsukta az ajtót.
flavour	íz	A levesnek gazdag íze van.
fond	kedves	Kedveli a jazzt.
fool	bolond	Ne viselkedj úgy, mint egy bolond.
forbid	megtilt	A törvény megtiltja itt a dohányzást.
forecast	előrejelzés	Az előrejelzés esőt jósol.
format	formátum	Használd a megfelelő fájlformátumot.
formation	formáció	A felhőképződés gyorsan változik.
formerly	korábban	Az épület korábban iskola volt.
fortunate	szerencsés	Szerencsések voltunk, hogy korán érkeztünk.
forum	fórum	A fórum megvitatta a klímapolitikát.
fossil	kövület	A kövületet a kőben találták meg.
foundation	alapítvány	A háznak erős alapja van.
founder	alapító	Az alapító üdvözölte a vendégeket.
fraction	töredék	A diákoknak csak egy töredéke jött el.
fragment	darabka	Egy üvegszilánk feküdt a padlón.
framework	keretrendszer	A törvény világos keretrendszert hoz létre.
fraud	csalás	A bank csalást észlelt.
freely	szabadon	A gyerekek szabadon játszottak kint.
frequent	gyakori	A gyakori szünetek javítják a koncentrációt.
fulfil	teljesít	Remélem, hogy teljesítem az ígéretemet.
full-time	teljes munkaidős	Teljes munkaidős állása van.
fundamentally	alapvetően	A terv alapvetően más.
furious	dühös	Dühös volt a késés miatt.
gaming	játék	A játék javíthatja a reakcióidőt.
gay	meleg	Támogatja a melegek jogait.
gender	nem	A felmérés a nemről kérdezett.
gene	gén	A gén befolyásolja a szemszínt.
genetic	genetikai	A betegségnek genetikai okai vannak.
genius	zseni	A fiatal zongorista egy zseni.
genuine	igazi	A mosolya őszintének tűnt.
genuinely	őszintén	Őszintén segíteni akart.
gesture	gesztus	Tett egy barátságos gesztust.
gig	fellépés	A zenekar a belvárosban adott egy koncertet.
globalization	globalizáció	A globalizáció hatással van a helyi vállalkozásokra.
globe	földgömb	A földgömb minden kontinenst megmutat.
golden	arany	A naplemente arany színűvé vált.
goodness	jóság	Hisz az emberi jóságban.
gorgeous	gyönyörű	A kert gyönyörűen nézett ki.
governor	kormányzó	A kormányzó aláírta a törvényjavaslatot.
graphic	grafikus	A grafikus kép sokkolta a nézőket.
graphics	grafika	A játéknak egyszerű grafikája van.
greatly	nagymértékben	A tanácsod nagyban segített.
greenhouse	üvegház	A paradicsom az üvegházban nő.
grocery	élelmiszerbolt	Munka után élelmiszereket vett.
guideline	irányelv	Az iránymutatás elmagyarázza a biztonságos gyakorlatot.
habitat	élőhely	Az erdő madarak élőhelye.
harbour	kikötő	A csónak beállt a kikötőbe.
headquarters	központ	A cég központja a belvárosba költözött.
