source_headword	ES-419	example_ES-419
energy	la energía	No tengo energía hoy.
engine	el motor	El motor hace ruido.
engineer	el ingeniero; la ingeniera	La ingeniera arregló el puente.
enormous	enorme	El edificio es enorme.
enter	entrar	Entra al cuarto en silencio.
environment	el medio ambiente	Protege el medio ambiente.
equipment	el equipo; el equipamiento	Este equipo es caro.
error	el error	Encontré un error.
especially	especialmente	Me gusta especialmente esta canción.
essay	el ensayo; la redacción	Escribe una redacción esta noche.
everyday	cotidiano; de todos los días	Este es inglés de todos los días.
everywhere	en todas partes	Las flores crecen en todas partes.
evidence	la evidencia; la prueba	La evidencia es clara.
exact	exacto; exacta	Da el número exacto.
exactly	exactamente	Eso es exactamente correcto.
excellent	excelente	Tu trabajo es excelente.
except	excepto	Todos vinieron, excepto yo.
exist	existir	¿Existe esta dirección?
expect	esperar	Espero lluvia mañana.
experience	la experiencia	Tengo experiencia con niños.
experiment	el experimento	El experimento funcionó bien.
expert	el experto; la experta	Pide ayuda a una experta.
explanation	la explicación	Su explicación fue clara.
express	expresar	Por favor, expresa tu opinión.
expression	la expresión	Esta expresión es común.
extreme	extremo; extrema	El calor fue extremo.
extremely	extremadamente	Está extremadamente frío.
factor	el factor	El costo es un factor.
factory	la fábrica	La fábrica cierra a las cinco.
fail	fallar; reprobar	No fallé.
fair	justo; justa	El precio es justo.
fan	el ventilador	Enciende el ventilador.
farming	la agricultura	La agricultura es trabajo duro.
fashion	la moda	La moda cambia cada año.
fear	el miedo	El miedo puede detener a la gente.
feature	la característica; la función	Este teléfono tiene una función útil.
feed	alimentar	Alimenta al gato ahora.
female	femenino; mujer	La atleta femenina ganó.
fiction	la ficción	Ella lee ficción por la noche.
field	el campo	El campo es verde.
fight	pelear; luchar	Ellos pelean demasiado.
figure	la figura; el número	Mira la figura.
finally	finalmente	Finalmente llegamos a casa.
finger	el dedo	Me duele el dedo.
firstly	primero	Primero, lee la pregunta.
fishing	la pesca	La pesca es popular aquí.
fit	caber; quedar	Estos zapatos quedan bien.
fix	arreglar	Arregla la silla rota.
flu	la gripe	Tengo gripe.
flying	volar; el vuelo	Volar es rápido.
focus	enfocarse; el enfoque	Enfócate en esta tarea.
following	siguiente	Lee la siguiente oración.
foreign	extranjero; extranjera	Ella habla un idioma extranjero.
forest	el bosque	El bosque está tranquilo.
fork	el tenedor	Usa un tenedor.
formal	formal	Esta carta es formal.
fortunately	por suerte	Por suerte, nadie resultó herido.
forward	hacia adelante	Avanza despacio.
fresh	fresco; fresca	El pan está fresco.
