simplified	NE	example_NE
扮演	भूमिका खेल्नु	उसले चलचित्रमा डाक्टरको भूमिका खेल्छ।
榜样	आदर्श	आमाबुबा बच्चाका आदर्श हुन्।
绑架	अपहरण गर्नु	प्रहरीले एउटा अपहरण घटना रोक्यो।
磅	पाउन्ड	यो बाकस बीस पाउन्ड तौलको छ।
包庇	ढाकछोप गरेर बचाउनु	कसैले पनि अपराध ढाकछोप गरेर बचाउनु हुँदैन।
包袱	भार	उसले भार छोडेपछि धेरै हल्का महसुस गर्‍यो।
包围	घेराबन्दी गर्नु	पत्रकारहरूले अभिनेतालाई घेराबन्दी गरे।
包装	प्याकेजिङ	यो उपहारको प्याकेजिङ धेरै सुन्दर छ।
保管	सुरक्षित राख्नु	यी कागजातहरू म सुरक्षित राख्छु।
保密	गोप्य राख्नु	बैठकको सामग्री गोप्य राख्नुपर्छ।
保姆	आया	उनीहरूले एउटी आया राखेका छन्।
保守	रूढिवादी	उसको विचार तुलनात्मक रूपमा रूढिवादी छ।
保卫	रक्षा गर्नु	सिपाहीहरूले सिमानाको रक्षा गर्छन्।
保养	मर्मतसम्भार गर्नु	यो गाडी नियमित मर्मतसम्भार गर्नुपर्छ।
保障	सुनिश्चित गर्नु	कानुनले नागरिक अधिकार सुनिश्चित गर्छ।
保重	आफ्नो ख्याल राख्नु	घरबाहिर हुँदा कृपया आफ्नो ख्याल राख्नुहोस्।
饱和	सन्तृप्ति	यो बजार लगभग सन्तृप्तिको अवस्थामा छ।
饱经沧桑	धेरै उतारचढाव भोगेको	यी वृद्धले जीवनका धेरै उतारचढाव भोगेका छन्।
报酬	पारिश्रमिक	उसले उचित पारिश्रमिक पायो।
报仇	बदला लिनु	उनी बदला लिन चाहँदैनन्, केवल नयाँ सुरुवात चाहन्छन्।
报答	उपकारको बदला तिर्नु	म तिम्रो सहयोगको बदला कामबाट तिर्नेछु।
报复	प्रतिशोध लिनु	प्रतिशोधले विवाद अझ गहिरो मात्र बनाउँछ।
报警	प्रहरीलाई खबर गर्नु	आगो देखेपछि तुरुन्तै प्रहरीलाई खबर गर्नुपर्छ।
报销	खर्च फिर्ता माग्नु	यात्रा खर्च फिर्ता माग्न सकिन्छ।
抱负	आकांक्षा	उसमा सानैदेखि ठूलो आकांक्षा थियो।
暴力	हिंसा	हामी कुनै पनि प्रकारको हिंसाको विरोध गर्छौँ।
暴露	उजागर हुनु	यो समस्या बिस्तारै उजागर भयो।
曝光	सार्वजनिक हुनु	यो फोटो सार्वजनिक भएपछि ध्यान तान्यो।
爆发	विस्फोट भएर फैलिनु	ज्वालामुखी अचानक विस्फोट भयो।
爆炸	विस्फोट	प्रयोगशालामा विस्फोट भयो।
卑鄙	नीच	यस्तो नीच तरिकाले मानिसलाई रिस उठाउँछ।
悲哀	दुःखी	यो खबर सुनेर ऊ धेरै दुःखी भयो।
悲惨	दुःखद	त्यो इतिहासको एउटा दुःखद कालखण्ड थियो।
北极	उत्तर ध्रुव	वैज्ञानिकहरू उत्तर ध्रुवमा अनुसन्धान गरिरहेका छन्।
备份	ब्याकअप	कृपया पहिले महत्वपूर्ण फाइलहरूको ब्याकअप गर्नुहोस्।
备忘录	स्मरणपत्र	उनले स्मरणपत्रमा मुख्य बुँदा लेखिन्।
背叛	विश्वासघात	उसले साथीको विश्वासघात स्वीकार गर्न सकेन।
背诵	कण्ठ गर्नु	विद्यार्थीहरू पाठ कण्ठ गरिरहेका छन्।
被动	निष्क्रिय	वार्तामा हामी धेरै निष्क्रिय हुनु हुँदैन।
被告	प्रतिवादी	प्रतिवादीले सबै आरोप अस्वीकार गर्‍यो।
贝壳	शंखको खोल	बच्चाले समुद्र किनारमा शंखको खोल टिपे।
奔波	धेरै दौडधुप गर्नु	ऊ कामका लागि चारैतिर दौडधुप गर्छ।
奔驰	वेगले कुद्नु	गाडी राजमार्गमा वेगले कुदिरहेको छ।
本能	सहज प्रवृत्ति	बच्चाको रक्षा गर्नु आमाबुबाको सहज प्रवृत्ति हो।
本钱	मूल पुँजी	व्यापार गर्न मूल पुँजी चाहिन्छ।
本人	स्वयं व्यक्ति	स्वयं व्यक्ति जिम्मेवारी लिन तयार छ।
本身	स्वयं	यो योजना स्वयंमा समस्या छैन।
本事	क्षमता	उसमा धेरै क्षमता छ।
笨拙	अकुशल	उसको चालढाल अलि अकुशल छ।
崩溃	ध्वस्त हुनु	प्रणाली अचानक ध्वस्त भयो।
甭	आवश्यक छैन	यो कुराको चिन्ता गर्न आवश्यक छैन।
蹦	उफ्रिनु	सानो कुकुर घाँसमा यताउता उफ्रिरहेको छ।
迸发	फुटेर निस्कनु	भीडबाट ताली फुटेर निस्कियो।
逼迫	जबरजस्ती गर्नु	उनीहरूले उसलाई सम्झौतामा हस्ताक्षर गर्न जबरजस्ती गरे।
鼻涕	नाकको सिँगान	बच्चालाई रुघा लागेको छ र नाकबाट सिँगान बगिरहन्छ।
比方	उदाहरण	उदाहरणका लागि, हामी पहिले एक महिना प्रयास गर्न सक्छौँ।
比喻	उपमा	यो उपमा धेरै चित्रात्मक छ।
比重	अनुपात	सेवा उद्योगको अनुपात बढ्दै गएको छ।
鄙视	तुच्छ ठान्नु	अरूको प्रयासलाई तुच्छ ठान्नु हुँदैन।
弊病	खराबी	यो प्रणालीमा धेरै खराबी छन्।
弊端	कमीकमजोरी	नयाँ योजनाले पुरानो प्रणालीका कमीकमजोरी समाधान गर्‍यो।
臂	पाखुरा	उसको दायाँ पाखुरामा चोट लागेको छ।
闭塞	दुर्गम	यो पहाडी गाउँमा पहिले यातायात धेरै दुर्गम थियो।
编织	बुन्नु	हजुरआमा एउटा स्वेटर बुनिरहनुभएको छ।
边疆	सीमावर्ती क्षेत्र	धेरै सैनिकहरूले मातृभूमिको सीमावर्ती क्षेत्रको रक्षा गर्छन्।
边界	सीमा	दुई देशले सीमा फेरि निर्धारण गरे।
边境	सिमाना क्षेत्र	सिमाना क्षेत्रमा सुरक्षा जाँच कडा पारिएको छ।
边缘	किनारा	कप टेबलको किनारामा राखिएको छ।
鞭策	प्रोत्साहन गर्दै अघि बढाउनु	शिक्षकका शब्दहरूले मलाई सधैँ प्रोत्साहन गर्दै अघि बढाउँछन्।
扁	च्याप्टो	यो बाकस चौडा र च्याप्टो छ।
贬低	होच्याउनु	अरूको प्रयासलाई जथाभावी होच्याउनु हुँदैन।
贬义	नकारात्मक अर्थ	यो शब्दले यहाँ नकारात्मक अर्थ बोकेको छ।
便利	सुविधाजनक	मेट्रोले यात्रा अझ सुविधाजनक बनाएको छ।
便条	चिठी	उसले टेबलमा एउटा सानो चिठी छोड्यो।
便于	सजिलो हुने	यो डिजाइन वृद्धहरूलाई प्रयोग गर्न सजिलो हुने गरी बनाइएको छ।
变故	अचानक घटना	घरमा अचानक एउटा घटना भयो।
变迁	परिवर्तन	सहरको परिवर्तनले उसलाई धेरै भावुक बनायो।
变质	बिग्रिनु	दूध धेरै बेर राखेपछि बिग्रिन्छ।
辨认	चिन्नु	प्रहरीले उसलाई फोटोमा भएका मानिस चिन्न भन्यो।
辩护	पक्षमा बहस गर्नु	वकिलले प्रतिवादीको पक्षमा बहस गरे।
辩解	स्पष्टीकरण दिएर बचाउ गर्नु	उसले आफ्नो गल्तीको स्पष्टीकरण दिएर बचाउ गर्न खोज्यो।
辩证	द्वन्द्वात्मक ढङ्गले	हामीले यो समस्यालाई द्वन्द्वात्मक ढङ्गले हेर्नुपर्छ।
辫子	चुल्ठो	सानो केटीले दुईवटा चुल्ठो बाँधेकी छे।
遍布	जताततै फैलिनु	यो बिरुवा देशभरि जताततै फैलिएको छ।
标本	नमूना	संग्रहालयमा जनावरका नमूना राखिएका छन्।
标记	चिह्न	कृपया महत्वपूर्ण अनुच्छेदको छेउमा चिह्न लगाउनुहोस्।
标题	शीर्षक	यो लेखको शीर्षक धेरै आकर्षक छ।
表决	मतदान गरेर निर्णय गर्नु	प्रतिनिधिहरूले प्रस्तावमा मतदान गरेर निर्णय गर्नेछन्।
表态	आफ्नो अडान जनाउनु	उसले अझै सार्वजनिक रूपमा आफ्नो अडान जनाएको छैन।
表彰	सम्मान गर्नु	कम्पनीले उत्कृष्ट कर्मचारीहरूलाई सम्मान गर्‍यो।
憋	रोकिराख्नु	उसले हाँसो रोकिराख्यो र केही बोलेन।
别墅	भिल्ला	उनीहरूले उपनगरमा एउटा भिल्ला किने।
别致	अनोठो र आकर्षक	यो क्याफेको सजावट अनोठो र आकर्षक छ।
别扭	असहज	यो वाक्य सुन्दा अलि असहज लाग्छ।
濒临	नजिक पुग्नु	यो जनावर लोप हुने अवस्थाको नजिक पुगेको छ।
冰雹	असिना	हिजो दिउँसो ठूलो असिना पर्‍यो।
丙	तेस्रो	तेस्रो समूहको खेल दिउँसो सुरु हुन्छ।
并非	वास्तवमा होइन	कुरा तिमीले सोचे जस्तो वास्तवमा होइन।
并列	बराबरीमा रहनु	यी दुई परियोजना पहिलो स्थानमा बराबरीमा छन्।
剥削	शोषण गर्नु	पुरानो समाजमा गम्भीर शोषण थियो।
拨	डायल गर्नु	कृपया यो फोन नम्बर डायल गर्नुहोस्।
播种	बीउ छर्नु	किसानहरूले वसन्तमा बीउ छर्न थाल्छन्।
波浪	छाल	समुद्रको सतहमा ठूलो छाल उठ्यो।
波涛	ठूला छालहरू	जहाज ठूला छालहरूबीच अघि बढ्यो।
伯母	ठूली काकी	म सप्ताहन्तमा ठूली काकीलाई भेट्न जान्छु।
博大精深	व्यापक र गहिरो	चिनियाँ संस्कृति व्यापक र गहिरो छ।
博览会	प्रदर्शनी मेला	अन्तर्राष्ट्रिय प्रदर्शनी मेलाले धेरै कम्पनी आकर्षित गर्‍यो।
搏斗	संघर्ष गर्नु	प्रहरी र अपराधीबीच संघर्ष भयो।
薄弱	कमजोर	उसको व्याकरणको आधार तुलनात्मक रूपमा कमजोर छ।
不顾	परवाह नगरी	उसले खतरा परवाह नगरी भित्र पस्यो।
不愧	योग्य ठहरिनु	ऊ साँच्चै अनुभवी विशेषज्ञ भन्न योग्य ठहरिन्छ।
不料	अप्रत्याशित रूपमा	अप्रत्याशित रूपमा बैठक अचानक रद्द भयो।
不像话	अत्यन्त अनुचित	तिमीले पाहुनासँग यस्तो व्यवहार गर्नु अत्यन्त अनुचित हो।
不屑一顾	तुच्छ ठानेर बेवास्ता गर्नु	उसले यी हल्लालाई तुच्छ ठानेर बेवास्ता गर्‍यो।
哺乳	दूध खुवाउनु	आमाले शिशुलाई दूध खुवाइरहेकी छिन्।
捕捉	समात्नु	फोटोग्राफरले अद्भुत क्षण समात्यो।
补偿	क्षतिपूर्ति दिनु	कम्पनीले तिम्रो क्षतिको क्षतिपूर्ति दिनेछ।
补救	सुधार्ने उपाय गर्नु	हामीसँग अझै सुधार्ने उपाय गर्ने समय छ।
补贴	अनुदान	सरकारले कम आय भएका परिवारलाई अनुदान दिन्छ।
不得已	मजबुरीमा	ऊ मजबुरीमा मात्र गाउँ छोडेर गएको थियो।
不妨	गरे पनि हुन्छ	तिमीले पहिले उसको स्पष्टीकरण सुने पनि हुन्छ।
不敢当	योग्य छैन भन्नु	तपाईंले यसरी प्रशंसा गर्दा म आफूलाई योग्य ठान्दिनँ।
不禁	नरोक्न सक्नु	यो खबर सुनेपछि ऊ हाँस्न नरोक्न सक्यो।
不堪	सहन नसक्ने	यहाँको हल्ला मानिसले सहन नसक्ने छ।
不可思议	अकल्पनीय	यो परिणाम साँच्चै अकल्पनीय छ।
不免	अपरिहार्य रूपमा	पहिलो पटक मञ्चमा जाँदा ऊ अपरिहार्य रूपमा अलि नर्भस भयो।
不时	बेलाबेला	ऊ बेलाबेला टाउको उठाएर घडी हेर्थ्यो।
不惜	नहिचकिचाउनु	मानिस बचाउन ऊ जोखिम मोल्न नहिचकिचायो।
不相上下	बराबरीको	दुई टोलीको शक्ति लगभग बराबरीको छ।
不言而喻	भन्नै नपर्ने	इमानदारीको महत्व भन्नै नपर्ने कुरा हो।
不由得	आफैँ रोक्न नसक्नु	पुराना फोटो देख्दा मलाई बाल्यकाल सम्झिन आफैँ रोक्न सकिनँ।
不择手段	कुनै पनि उपाय अपनाउनु	पैसा कमाउन उसले कुनै पनि उपाय अपनायो।
不止	भन्दा बढी	बैठकमा सहभागी मानिस एक सयभन्दा बढी थिए।
布告	सूचना	विद्यालयको ढोकामा एउटा सूचना टाँसिएको थियो।
布局	बनावट	यो घरको बनावट धेरै उचित छ।
布置	व्यवस्था गर्नु	शिक्षकले नयाँ गृहकार्य व्यवस्था गर्नुभयो।
步伐	कदम	टोली मिलेको कदम चाल्दै अघि बढ्यो।
部署	तैनाथी गर्नु	कम्पनीले नयाँ बिक्री योजना तैनाथी गरिरहेको छ।
部位	भाग	डाक्टरले घाइते भाग जाँच गरे।
才干	योग्यता	उनी व्यवस्थापनमा धेरै योग्यता राख्छिन्।
裁缝	दर्जी	यो दर्जीको सीप धेरै राम्रो छ।
裁判	रेफ्री	रेफ्रीले खेल रोकिएको घोषणा गरे।
裁员	कर्मचारी कटौती गर्नु	कम्पनीले घाटाका कारण कर्मचारी कटौती गर्ने निर्णय गर्‍यो।
财富	सम्पत्ति	ज्ञान पनि एक प्रकारको सम्पत्ति हो।
财务	वित्त	वित्त विभागले हिसाब मिलाइरहेको छ।
财政	राजस्व	यस वर्ष राजस्व आम्दानी बढेको छ।
彩票	लटरी टिकट	ऊ कहिलेकाहीँ एउटा लटरी टिकट किन्छ।
采购	खरिद गर्नु	कम्पनीले उपकरण खरिद गर्न मानिस पठायो।
采集	सङ्कलन गर्नु	अनुसन्धानकर्ताहरूले जंगलमा नमूना सङ्कलन गरे।
采纳	स्वीकार गर्नु	नेतृत्वले हाम्रो सुझाव स्वीकार गर्‍यो।
参谋	सल्लाहकार	ऊ प्रायः व्यवस्थापकको सल्लाहकार बन्छ।
参照	सन्दर्भ लिनु	कृपया यो ढाँचा सन्दर्भ लिएर फारम भर्नुहोस्।
残疾	अपाङ्गता	यो स्टेशनले अपाङ्गता भएका यात्रुलाई सहयोग दिन्छ।
残酷	क्रूर	युद्ध अत्यन्त क्रूर हुन्छ।
残留	बाँकी रहनु	कपमा अझै कफीको गन्ध बाँकी छ।
残忍	निर्दयी	जनावरलाई दुर्व्यवहार गर्नु निर्दयी व्यवहार हो।
灿烂	चम्किलो	उनले चम्किलो मुस्कान देखाइन्।
仓促	हतारमा	यो निर्णय धेरै हतारमा गरियो।
仓库	गोदाम	सामान गोदाममा पुर्‍याइसकिएको छ।
舱	क्याबिन	यात्रुहरू विमानको क्याबिनमा प्रवेश गरिरहेका छन्।
苍白	फिक्का	उसको अनुहार फिक्का देखिन्थ्यो।
操劳	मेहनत गरेर सम्हाल्नु	आमाले यो परिवारका लागि धेरै वर्ष मेहनत गरेर सम्हाल्नुभयो।
操练	अभ्यास गराउनु	सैनिकहरू हरेक बिहान अभ्यास गर्छन्।
操纵	नियन्त्रण गर्नु	यो मेसिन कम्प्युटरले नियन्त्रण गर्छ।
操作	सञ्चालन गर्नु	कृपया निर्देशनअनुसार उपकरण सञ्चालन गर्नुहोस्।
嘈杂	हल्लाखल्लायुक्त	स्टेशनभित्र आवाज धेरै हल्लाखल्लायुक्त थियो।
草案	मस्यौदा	समितिले मस्यौदामाथि छलफल गरिरहेको छ।
草率	लापरवाह	यति महत्वपूर्ण निर्णय लापरवाह ढङ्गले गर्न मिल्दैन।
侧面	छेउपट्टि	छेउपट्टिबाट हेर्दा यो भवन अझ अग्लो देखिन्छ।
测量	नाप्नु	इन्जिनियरहरूले पुलको लम्बाइ नापिरहेका छन्।
策划	योजना बनाउनु	उनीहरूले एउटा ठूलो कार्यक्रमको योजना बनाए।
策略	रणनीति	यो रणनीतिले कम्पनीलाई लागत घटाउन मद्दत गर्‍यो।
层出不穷	लगातार देखा पर्नु	नयाँ समस्या लगातार देखा परिरहेका छन्।
层次	तह	यो लेखको तह धेरै स्पष्ट छ।
差别	भिन्नता	दुई तरिकाबीच ठूलो भिन्नता छैन।
插座	प्लग सकेट	यो कोठामा प्लग सकेट पर्याप्त छैन।
查获	जाँच गरी पक्राउ गर्नु	भन्सारले नक्कली सामानको एक खेप जाँच गरी पक्राउ गर्‍यो।
刹那	क्षण	एकै क्षणमा सबै बत्ती निभे।
岔	फाटो	गाडी अगाडिको दोबाटोमा फाटो लागेर अर्को बाटोतिर गयो।
诧异	आश्चर्यचकित	उसको निर्णयले सबैलाई धेरै आश्चर्यचकित बनायो।
柴油	डिजेल	यो ट्रकले डिजेल प्रयोग गर्छ।
搀	हात समाएर सघाउनु	नर्सले वृद्धलाई हात समाएर वार्डमा लगिन्।
缠绕	बेर्नु	लहरा हाँगामा बेरिएको छ।
馋	लोभिनु	केक देखेर बच्चा अलि लोभियो।
产业	उद्योग	पर्यटन उद्योग यहाँको महत्वपूर्ण उद्योग हो।
阐述	विस्तारपूर्वक व्याख्या गर्नु	प्राध्यापकले आफ्नो दृष्टिकोण विस्तारपूर्वक व्याख्या गरे।
颤抖	काँप्नु	उनी चिसोले पूरै शरीर काँपिरहेकी थिइन्।
昌盛	समृद्ध	हामी देश समृद्ध होस् भन्ने चाहन्छौँ।
偿还	चुक्ता गर्नु	उसले ऋण समयमै चुक्ता गर्‍यो।
尝试	प्रयास गर्नु	हामी नयाँ तरिका प्रयास गर्न सक्छौँ।
场合	अवसर	यस्तो अवसरमा ठट्टा गर्नु उपयुक्त हुँदैन।
场面	दृश्य	विवाहको दृश्य धेरै रमाइलो थियो।
场所	स्थान	यो सार्वजनिक स्थान हो, कृपया धूम्रपान नगर्नुहोस्।
敞开	पूरै खोल्नु	कृपया झ्याल केही बेर पूरै खोलिदिनुहोस्।
倡导	प्रवर्द्धन गर्नु	विद्यालयले स्वस्थ जीवनशैली प्रवर्द्धन गर्छ।
倡议	पहल प्रस्ताव	यो वातावरणीय पहल प्रस्तावले समर्थन पायो।
畅通	निर्बाध	वर्षा रोकिएपछि सडक फेरि निर्बाध भयो।
畅销	धेरै बिक्ने	यो उपन्यास धेरै बिक्ने भयो।
超越	उछिन्नु	उसले अन्ततः आफ्नै कीर्तिमान उछिन्यो।
钞票	नोट	वालेटमा केही नोट मात्र बाँकी छन्।
嘲笑	उपहास गर्नु	अरूका कमजोरीको उपहास गर्नु हुँदैन।
巢穴	गुँड	सिकारीले जनावरको गुँड फेला पार्‍यो।
朝代	वंशकाल	ताङ वंश चीनको इतिहासको एउटा वंशकाल हो।
潮流	प्रवृत्ति	युवाहरू फेसन प्रवृत्तिमा धेरै ध्यान दिन्छन्।
撤退	पछि हट्नु	आदेश पाएपछि सेना पछि हट्यो।
撤销	रद्द गर्नु	अदालतले पुरानो फैसला रद्द गर्‍यो।
沉淀	थिग्रिनु	माटो र बालुवा बिस्तारै थिग्रिनेछन्।
沉闷	गुम्सिएको	आजको मौसम तातो र गुम्सिएको छ।
沉思	गहिरो सोचमा पर्नु	ऊ झ्यालछेउ बसेर गहिरो सोचमा पर्‍यो।
沉重	गम्भीर भारी	यो खबरले सबैको मन गम्भीर भारी बनायो।
沉着	शान्त संयमित	खतरा भेट्दा शान्त संयमित रहनुपर्छ।
陈旧	पुरानो	यो मेसिन पहिले नै धेरै पुरानो भइसकेको छ।
陈列	प्रदर्शनमा राख्नु	प्रदर्शनी कक्षमा धेरै सांस्कृतिक वस्तु प्रदर्शनमा राखिएका छन्।
陈述	स्पष्ट रूपमा बयान गर्नु	कृपया तथ्य स्पष्ट रूपमा बयान गर्नुहोस्।
称心如意	मनले चाहेजस्तो	यो काम उसलाई मनले चाहेजस्तो लाग्यो।
衬托	उभार्नु	सेतो भित्ताले फूलको रङ उभार्छ।
称号	उपाधि	उसले उत्कृष्ट शिक्षकको उपाधि पायो।
乘	चढ्नु	म हरेक दिन मेट्रो चढेर काममा जान्छु।
呈现	देखिनु	आकाशमा हल्का रातो रङ देखियो।
城堡	किल्ला	पहाडको टुप्पोमा एउटा पुरानो किल्ला छ।
惩罚	दण्ड दिनु	विद्यालयले परीक्षा चोर्ने विद्यार्थीलाई दण्ड दिनेछ।
成本	लागत	कच्चा पदार्थ महँगिँदा लागत बढ्यो।
成交	सम्झौता पूरा हुनु	यो कारोबार अन्ततः सम्झौता पूरा भयो।
成天	दिनभरि	ऊ दिनभरि कम्प्युटर अगाडि बस्छ।
成效	प्रभाव	नयाँ व्यवस्थापन तरिकाले छिट्टै प्रभाव देखायो।
成心	जानाजानी	उसले तिमीलाई अप्ठ्यारो पार्न जानाजानी गरेको होइन।
成员	सदस्य	हरेक सदस्यले बैठकमा भाग लिनुपर्छ।
承办	जिम्मा लिनु	यो कम्पनीले प्रदर्शनीको जिम्मा लियो।
承包	ठेक्का लिनु	उनीहरूले यो परियोजनाको ठेक्का लिए।
承诺	प्रतिबद्धता जनाउनु	उसले काम समयमै पूरा गर्ने प्रतिबद्धता जनायो।
橙	सुन्तला	मैले केही ताजा सुन्तला किनेँ।
澄清	स्पष्ट पार्नु	प्रबन्धकले बाहिर आएर गलतफहमी स्पष्ट पारे।
盛	भर्नु	उनले पाहुनाका लागि एक कचौरा सुप भरिन्।
诚挚	हार्दिक	कृपया मेरो हार्दिक धन्यवाद स्वीकार गर्नुहोस्।
秤	तराजु	यो तराजु त्यति सही छैन।
吃苦	कष्ट सहनु	युवाहरूले कष्ट सहन सिक्नुपर्छ।
吃力	गाह्रो पर्नु	यो बाकस सार्न धेरै गाह्रो पर्छ।
持久	दीर्घकालीन	सफलताका लागि दीर्घकालीन प्रयास चाहिन्छ।
迟钝	सुस्त	उसको प्रतिक्रिया हालै अलि सुस्त भएको छ।
迟缓	ढिलो	वर्षापछि यातायात ढिलो भयो।
迟疑	हिचकिचाउनु	उनी एकछिन हिचकिचाएर मात्र जवाफ दिइन्।
赤道	भूमध्यरेखा	भूमध्यरेखा नजिक वर्षभरि धेरै गर्मी हुन्छ।
赤字	घाटा	कम्पनीमा यस वर्ष घाटा देखियो।
充当	भूमिका निभाउनु	उसले परियोजनामा समन्वयकर्ताको भूमिका निभायो।
充沛	प्रचुर	बच्चाहरूमा ऊर्जा धेरै प्रचुर छ।
充实	समृद्ध	यो अनुभवले मेरो जीवन अझ समृद्ध बनायो।
充足	पर्याप्त	यात्रा अघि पर्याप्त पानी तयार गर्नुपर्छ।
冲动	आवेग	क्षणिक आवेगका कारण निर्णय नगर्नुहोस्।
冲击	झड्का दिनु	नयाँ प्रविधिले परम्परागत उद्योगलाई झड्का दियो।
冲突	द्वन्द्व	दुवै पक्षले द्वन्द्वबाट जोगिन प्रयास गरे।
崇拜	पूजा जस्तो आदर गर्नु	धेरै युवाहरू यस वैज्ञानिकलाई पूजा जस्तो आदर गर्छन्।
崇高	महान	डाक्टरको कर्तव्य महान हुन्छ।
崇敬	गहिरो सम्मान गर्नु	विद्यार्थीहरूले यी शिक्षकलाई गहिरो सम्मान गर्छन्।
重叠	ओभरल्याप हुनु	यी दुई कामका केही भाग ओभरल्याप भएका छन्।
稠密	घना	यहाँको जनसङ्ख्या अत्यन्त घना छ।
筹备	तयारी गर्नु	उनीहरू विवाहको तयारी गरिरहेका छन्।
丑恶	कुरूप	उसले घटनाको पछाडिको कुरूप सत्य उजागर गर्‍यो।
出路	निस्कने बाटो	अध्ययनले युवाहरूलाई धेरै निस्कने बाटो दिन सक्छ।
出卖	धोका दिनु	उसले साथीलाई धोका दिने छैन।
出身	पारिवारिक पृष्ठभूमि	ऊ सामान्य परिवारको पारिवारिक पृष्ठभूमिबाट आएको हो।
出神	मग्न हुनु	उनी संगीत सुन्दा पूरै मग्न भइन्।
出息	भविष्यको सम्भावना	यो बच्चाको भविष्यमा राम्रो सम्भावना छ।
初步	प्रारम्भिक	हामीले प्रारम्भिक सम्झौता गरिसकेका छौँ।
除	बाहेक	उसलाई बाहेक सबै आइपुगे।
储备	सञ्चित गर्नु	कम्पनीले अझ धेरै रकम सञ्चित गर्नुपर्छ।
储存	भण्डारण गर्नु	यी तथ्याङ्कहरू स्वतः भण्डारण हुनेछन्।
储蓄	बचत गर्नु	उसले हरेक महिना तलबको एक भाग बचत गर्छ।
处分	अनुशासनात्मक कारबाही	विद्यालयले उसलाई कडा अनुशासनात्मक कारबाही गर्‍यो।
