source_headword	TE	example_TE
negative	ప్రతికూల	ఈ సమాధానం ప్రతికూలంగా ఉంది.
neighbour	పొరుగువాడు; పొరుగువారు	నా పొరుగువాడు స్నేహపూర్వకంగా ఉంటాడు.
never	ఎప్పుడూ కాదు	నేను ఎప్పుడూ కాఫీ తాగను.
new	కొత్త	ఈ ఫోన్ కొత్తది.
news	వార్తలు	ఈ రోజు వార్తలు మంచివి.
newspaper	వార్తాపత్రిక	అతను వార్తాపత్రిక చదువుతాడు.
next	తర్వాతి	తర్వాతి బస్సు ఆలస్యంగా ఉంది.
next to	పక్కన	నా పక్కన కూర్చో.
nice	మంచి	గది మంచిగా ఉంది.
night	రాత్రి	నేను రాత్రి నిద్రపోతాను.
nine	తొమ్మిది	ఇక్కడ తొమ్మిది మంది విద్యార్థులు ఉన్నారు.
nineteen	పంతొమ్మిది	ఆమెకు పంతొమ్మిది సంవత్సరాలు.
ninety	తొంభై	నా తాతకు తొంభై సంవత్సరాలు.
no	లేదు	లేదు, ధన్యవాదాలు.
no one	ఎవరూ లేరు	గదిలో ఎవరూ లేరు.
nobody	ఎవరూ లేరు	ఇంట్లో ఎవరూ లేరు.
north	ఉత్తరం	స్టేషన్ ఇక్కడి నుండి ఉత్తరంగా ఉంది.
nose	ముక్కు	నా ముక్కు చల్లగా ఉంది.
not	కాదు	నేను అలసిపోలేదు.
note	గమనిక	ఇప్పుడు ఒక గమనిక రాయు.
nothing	ఏమీ లేదు	పెట్టెలో ఏమీ లేదు.
November	నవంబర్	నా కోర్సు నవంబరులో మొదలవుతుంది.
now	ఇప్పుడు	ఇక్కడికి ఇప్పుడు రా.
number	సంఖ్య	సంఖ్యను ఇక్కడ రాయి.
nurse	నర్సు	నర్సు దయగలది.
object	వస్తువు	వస్తువును బల్లపై పెట్టు.
o’clock	గంటకు	తరగతి తొమ్మిది గంటకు మొదలవుతుంది.
October	అక్టోబర్	మేము అక్టోబరులో ప్రయాణిస్తాము.
of	యొక్క; తో	ఇది టీ కప్పు.
off	ఆఫ్ చేయి; దూరంగా	దీపాన్ని ఆఫ్ చేయి.
office	కార్యాలయం	నా కార్యాలయం చిన్నది.
often	తరచుగా	నేను తరచుగా పాఠశాలకు నడుస్తాను.
oh	ఓ	ఓ, నాకు ఇప్పుడు అర్థమైంది.
OK	సరే	ఇది సరేనా?
old	పాత	ఈ ఇల్లు పాతది.
on	పై	పుస్తకం బల్లపై ఉంది.
once	ఒక్కసారి	నేను వారానికి ఒక్కసారి ఫోన్ చేస్తాను.
one	ఒకటి	నాకు ఒక అక్క ఉంది.
onion	ఉల్లిపాయ	ఒక ఉల్లిపాయ కోయి.
online	ఆన్లైన్	నేను ఆన్లైన్లో చదువుతాను.
only	మాత్రమే	నాకు ఒక్క సంచి మాత్రమే ఉంది.
open	తెరువు; తెరిచి ఉన్న	దయచేసి కిటికీ తెరువు.
opinion	అభిప్రాయం	నీ అభిప్రాయం ఏమిటి?
opposite	ఎదురుగా	దుకాణం బ్యాంకుకు ఎదురుగా ఉంది.
or	లేదా	టీ లేదా కాఫీ?
orange	నారింజ; కాషాయ రంగు	ఈ నారింజ తియ్యగా ఉంది.
order	ఆర్డర్; క్రమం	నేను సూప్ ఆర్డర్ చేస్తాను.
other	ఇతర	ఇతర తలుపు ఉపయోగించు.
our	మా	ఇది మా తరగతి గది.
out	బయటకు	భోజనం తర్వాత బయటకు వెళ్లు.
outside	బయట	పిల్లలు బయట ఆడుతున్నారు.
over	పైగా	విమానం నగరంపైగా ఎగురుతుంది.
own	సొంత	నాకు నా సొంత గది ఉంది.
page	పేజీ	పది పేజీ తెరువు.
paint	రంగు వేయు	గోడకు నీలం రంగు వేయు.
painting	చిత్రం	ఈ చిత్రం అందంగా ఉంది.
pair	జంట	నాకు ఒక జత సాక్స్ కావాలి.
paper	కాగితం	ఈ కాగితంపై రాయు.
paragraph	పేరా	మొదటి పేరా చదువు.
parent	తల్లిదండ్రి	ఒక తల్లిదండ్రి బయట వేచి ఉన్నారు.
park	పార్క్; నిలుపు	మేము స్టేషన్ దగ్గర కారు నిలుపుతాము.
part	భాగం	ఈ భాగం సులభం.
partner	భాగస్వామి	భాగస్వామితో పని చేయి.
party	విందు; పార్టీ	పార్టీ ఏడు గంటలకు మొదలవుతుంది.
passport	పాస్‌పోర్టు	దయచేసి నీ పాస్‌పోర్టు చూపించు.
past	గతం; దాటి	ఇప్పుడు ఆరు దాటిన అరగంట.
pay	చెల్లించు	నేను కార్డుతో చెల్లిస్తాను.
pen	కలం	ఈ కలం నీలంగా ఉంది.
pencil	పెన్సిల్	నేను పెన్సిల్‌తో రాస్తాను.
people	ప్రజలు; మనుషులు	ఇక్కడ చాలా మంది ఉన్నారు.
pepper	మిరియాలు	సూప్‌లో మిరియాలు వేయి.
perfect	సరిగ్గా ఉన్న	నీ సమాధానం సరిగ్గా ఉంది.
period	పీరియడ్; కాలం	తరగతి పీరియడ్ చిన్నది.
person	వ్యక్తి	ఒక వ్యక్తి వేచి ఉన్నాడు.
personal	వ్యక్తిగత	ఇది నా వ్యక్తిగత ఫోన్.
phone	ఫోన్	నా ఫోన్ నా సంచిలో ఉంది.
photo	ఫోటో	ఇక్కడ ఫోటో తీసు.
photograph	ఛాయాచిత్రం	ఈ ఛాయాచిత్రం పాతది.
phrase	పదబంధం	దయచేసి పదబంధాన్ని మళ్లీ చెప్పు.
piano	పియానో	ఆమె పియానో వాయిస్తుంది.
picture	చిత్రం	ఈ చిత్రాన్ని చూడు.
piece	ముక్క	కేక్‌లో ఒక ముక్క తీసుకో.
pig	పంది	పంది పొలంలో ఉంది.
pink	గులాబీ రంగు	ఆమె సంచి గులాబీ రంగులో ఉంది.
place	స్థలం	ఈ స్థలం నిశ్శబ్దంగా ఉంది.
plan	ప్రణాళిక	మాకు ఒక ప్రణాళిక కావాలి.
plane	విమానం	విమానం ఆలస్యంగా ఉంది.
plant	మొక్క	ఈ రోజు మొక్కకు నీరు పోయి.
play	ఆడు	పిల్లలు పార్కులో ఆడుతున్నారు.
player	ఆటగాడు	ఆటగాడు వేగంగా పరుగెడతాడు.
please	దయచేసి	దయచేసి ఇక్కడ కూర్చో.
point	విషయం; బిందువు	ఈ విషయం ముఖ్యమైనది.
police	పోలీసులు	పోలీసులు బయట ఉన్నారు.
policeman	పోలీసు	పోలీసు మాకు సహాయం చేస్తాడు.
pool	కొలను	కొలను చల్లగా ఉంది.
poor	పేద	పేద పిల్లవాడు ఆకలిగా ఉన్నాడు.
popular	ప్రసిద్ధ	ఈ పాట ప్రసిద్ధం.
positive	సానుకూల	ఇది సానుకూల ఫలితం.
possible	సాధ్యమైన	ఇది ఈ రోజు సాధ్యమా?
post	పోస్ట్; పోస్టు	నేను ఆమె పోస్టును ఆన్లైన్లో చదువుతాను.
potato	బంగాళాదుంప	నేను బంగాళాదుంప తింటాను.
pound	పౌండ్	దీనికి ఒక పౌండ్ ఖర్చవుతుంది.
practice	అభ్యాసం	అభ్యాసం ప్రతిరోజూ సహాయపడుతుంది.
practise	అభ్యాసం చేయు	నేను ప్రతిరోజూ ఆంగ్లం అభ్యాసం చేస్తాను.
prefer	ఇష్టపడు	నాకు టీ ఇష్టం.
prepare	సిద్ధం చేయు	ఈ రాత్రి నీ సంచిని సిద్ధం చేయి.
present	హాజరు; ప్రస్తుత	ఆమె ఈ రోజు హాజరుగా ఉంది.
pretty	అందమైన	తోట అందంగా ఉంది.
price	ధర	ధర తక్కువగా ఉంది.
probably	బహుశా	ఆమెకు బహుశా తెలుసు.
problem	సమస్య	ఈ సమస్య చిన్నది.
product	ఉత్పత్తి	ఈ ఉత్పత్తి కొత్తది.
programme	కార్యక్రమం	కార్యక్రమం ఇప్పుడు మొదలవుతుంది.
project	ప్రాజెక్టు	మా ప్రాజెక్టు సిద్ధంగా ఉంది.
purple	ఊదా రంగు	చొక్కా ఊదా రంగులో ఉంది.
put	పెట్టు	పుస్తకాన్ని ఇక్కడ పెట్టు.
quarter	పావు; పదిహేను నిమిషాలు	ఇప్పుడు రెండు గంటల పదిహేను నిమిషాలు.
question	ప్రశ్న	ఒక ప్రశ్న అడుగు.
quick	త్వరిత	ఇది త్వరిత పరీక్ష.
quickly	త్వరగా	దయచేసి త్వరగా నడువు.
quiet	నిశ్శబ్దం	గ్రంథాలయం నిశ్శబ్దంగా ఉంది.
quite	చాలా	ఈ గది చాలా చిన్నది.
radio	రేడియో	రేడియో గట్టిగా ఉంది.
rain	వర్షం	వర్షం ఇప్పుడు మొదలవుతుంది.
read	చదువు	ఈ వాక్యాన్ని చదువు.
reader	పాఠకుడు	పాఠకుడు కథను ఇష్టపడతాడు.
reading	చదవడం	చదవడం నాకు నేర్చుకోవడంలో సహాయపడుతుంది.
ready	సిద్ధంగా	రాత్రి భోజనం సిద్ధంగా ఉంది.
real	నిజమైన	ఇది నిజమైన సమస్య.
really	నిజంగా	నాకు ఈ పాట నిజంగా ఇష్టం.
reason	కారణం	నాకు కారణం చెప్పు.
red	ఎరుపు	తలుపు ఎరుపుగా ఉంది.
relax	విశ్రాంతి తీసుకో	పని తర్వాత విశ్రాంతి తీసుకో.
remember	గుర్తుంచుకో	నీ పాస్‌పోర్టు గుర్తుంచుకో.
repeat	మళ్లీ చెప్పు	దయచేసి వాక్యాన్ని మళ్లీ చెప్పు.
report	నివేదిక	ఈ రాత్రి నివేదిక చదువు.
restaurant	రెస్టారెంట్	రెస్టారెంట్ రద్దీగా ఉంది.
result	ఫలితం	ఫలితం మంచిగా ఉంది.
return	తిరిగి ఇవ్వు; తిరిగి రా	రేపు పుస్తకాన్ని తిరిగి ఇవ్వు.
rice	అన్నం	నేను మధ్యాహ్న భోజనానికి అన్నం తింటాను.
rich	ధనవంతమైన	నగరం ధనవంతంగా ఉంది.
ride	సవారీ చేయు	నేను నా సైకిల్ తొక్కుతాను.
right	కుడి; సరైన	ఇక్కడ కుడివైపు తిరుగు.
river	నది	నది వెడల్పుగా ఉంది.
road	రోడ్డు	ఈ రోడ్డు పొడవుగా ఉంది.
room	గది	నా గది శుభ్రంగా ఉంది.
routine	రోజువారీ పద్ధతి	నా రోజువారీ పద్ధతి ముందుగా మొదలవుతుంది.
rule	నియమం	ఈ నియమం సరళమైనది.
run	పరుగెత్తు	నేను ప్రతి ఉదయం పరుగెత్తుతాను.
sad	దుఃఖంగా	అతను ఈ రోజు దుఃఖంగా ఉన్నాడు.
salad	సలాడ్	ఈ సలాడ్ తాజాగా ఉంది.
salt	ఉప్పు	కొంచెం ఉప్పు వేయి.
same	అదే	మాకు అదే సంచి ఉంది.
sandwich	సాండ్‌విచ్	నేను సాండ్‌విచ్ తింటాను.
Saturday	శనివారం	మేము శనివారం కలుస్తాము.
say	చెప్పు	దయచేసి నీ పేరు చెప్పు.
school	పాఠశాల	నా పాఠశాల ఇక్కడ దగ్గరలో ఉంది.
science	విజ్ఞానం	నేను విజ్ఞానం చదువుతాను.
scientist	శాస్త్రవేత్త	శాస్త్రవేత్త ప్రశ్న అడుగుతాడు.
sea	సముద్రం	సముద్రం నీలంగా ఉంది.
second1 (unit of time)	సెకను	ఒక సెకను వేచి ఉండు.
section	విభాగం	ఈ విభాగం చదువు.
see	చూడు	నేను నా స్నేహితుడిని చూస్తాను.
sell	అమ్ము	వారు తాజా పండ్లు అమ్ముతారు.
send	పంపు	ఇప్పుడు సందేశం పంపు.
sentence	వాక్యం	ఒక వాక్యం రాయు.
September	సెప్టెంబర్	పాఠశాల సెప్టెంబరులో మొదలవుతుంది.
seven	ఏడు	ఇక్కడ ఏడు మంది ఉన్నారు.
seventeen	పదిహేడు	అతనికి పదిహేడు సంవత్సరాలు.
seventy	డెబ్బై	నా అమ్మమ్మకు డెబ్బై సంవత్సరాలు.
share	పంచుకో	కేక్ పంచుకో.
she	ఆమె	ఆమె నా అక్క.
sheep	గొర్రె	గొర్రె గడ్డి తింటుంది.
shirt	చొక్కా	అతని చొక్కా శుభ్రంగా ఉంది.
shoe	చెప్పు	ఒక చెప్పు మంచం కింద ఉంది.
shop	దుకాణం	దుకాణం ముందుగా మూసేస్తుంది.
shopping	కొనుగోలు	ఈ రోజు కొనుగోలు సరదాగా ఉంది.
short	చిన్న	ఈ కథ చిన్నది.
should modal	చేయాలి	నువ్వు ఈ రోజు విశ్రాంతి తీసుకోవాలి.
show	చూపు	నీ టికెట్ నాకు చూపు.
shower	స్నానం	నేను స్నానం చేస్తాను.
sick	అనారోగ్యంగా	నేను ఈ రోజు అనారోగ్యంగా ఉన్నాను.
similar	సారూప్యమైన	మా సంచులు సారూప్యంగా ఉన్నాయి.
sing	పాడు	నేను తరగతిలో పాడుతాను.
singer	గాయకుడు; గాయని	గాయకుడు ప్రసిద్ధుడు.
sister	అక్క; చెల్లి	నా చెల్లి చిన్నది.
sit	కూర్చో	కిటికీ దగ్గర కూర్చో.
situation	పరిస్థితి	ఈ పరిస్థితి కొత్తది.
six	ఆరు	ఇక్కడ ఆరు పుస్తకాలు ఉన్నాయి.
sixteen	పదహారు	ఆమెకు పదహారు సంవత్సరాలు.
sixty	అరవై	నా తండ్రికి అరవై సంవత్సరాలు.
skill	నైపుణ్యం	ఈ నైపుణ్యం ఉపయోగకరం.
skirt	స్కర్టు	ఆమె స్కర్టు నీలంగా ఉంది.
sleep	నిద్రపో	నేను ఎనిమిది గంటలు నిద్రపోతాను.
slow	నెమ్మదిగా	బస్సు నెమ్మదిగా ఉంది.
small	చిన్న	గది చిన్నది.
snake	పాము	పాము పొడవుగా ఉంది.
snow	మంచు	చలికాలంలో మంచు పడుతుంది.
so	కాబట్టి	నేను అలసిపోయాను, కాబట్టి విశ్రాంతి తీసుకుంటాను.
some	కొన్ని	నాకు కొంత నీరు కావాలి.
somebody	ఎవరో ఒకరు	తలుపు దగ్గర ఎవరో ఉన్నారు.
someone	ఎవరో ఒకరు	ఎవరో ఒకరు సందేశం వదిలారు.
something	ఏదో ఒకటి	నాకు తాగడానికి ఏదో కావాలి.
sometimes	కొన్నిసార్లు	నేను కొన్నిసార్లు పాఠశాలకు నడుస్తాను.
son	కొడుకు	ఆమె కొడుకు పాఠశాలలో ఉన్నాడు.
song	పాట	ఈ పాట కొత్తది.
soon	త్వరలో	త్వరలో కలుద్దాం.
sorry	క్షమించు	నన్ను క్షమించు.
sound	శబ్దం	శబ్దం గట్టిగా ఉంది.
soup	సూప్	సూప్ వేడిగా ఉంది.
south	దక్షిణం	హోటల్ ఇక్కడి నుండి దక్షిణంగా ఉంది.
space	స్థలం	ఒక కుర్చీకి స్థలం ఉంది.
speak	మాట్లాడు	దయచేసి నెమ్మదిగా మాట్లాడు.
special	ప్రత్యేకమైన	ఈ రోజు ప్రత్యేకమైన రోజు.
spell	అక్షరాలు చెప్పు	నీ పేరు అక్షరాలు చెప్పు.
spelling	అక్షరక్రమం	నీ అక్షరక్రమం తనిఖీ చేయి.
spend	ఖర్చు చేయు	నేను ఆహారంపై డబ్బు ఖర్చు చేస్తాను.
sport	క్రీడ	ఫుట్‌బాల్ ప్రసిద్ధ క్రీడ.
spring	వసంతం	వసంతంలో పూలు పెరుగుతాయి.
stand	నిలబడు	తలుపు దగ్గర నిలబడు.
star	నక్షత్రం	నాకు ప్రకాశవంతమైన నక్షత్రం కనిపిస్తుంది.
start	మొదలు పెట్టు	ఇప్పుడు పాఠం మొదలు పెట్టు.
statement	వాక్యం; ప్రకటన	ఈ ప్రకటన నిజం.
station	స్టేషన్	స్టేషన్ దగ్గరలో ఉంది.
stay	ఉండు	ఈ రోజు ఇంట్లో ఉండు.
still	ఇంకా	నాకు ఇంకా ఆకలిగా ఉంది.
stop	ఆపు	మూల వద్ద ఆపు.
story	కథ	నాకు ఒక కథ చెప్పు.
street	వీధి	ఈ వీధి నిశ్శబ్దంగా ఉంది.
strong	బలమైన	అతను బలంగా ఉన్నాడు.
student	విద్యార్థి	విద్యార్థి పుస్తకం చదువుతాడు.
study	చదువు; అధ్యయనం	నేను ఆంగ్లం చదువుతాను.
style	శైలి	నాకు ఈ శైలి ఇష్టం.
subject	విషయం	ఆంగ్లం నా ముఖ్యమైన విషయం.
success	విజయం	విజయానికి అభ్యాసం అవసరం.
sugar	చక్కెర	టీలో చక్కెర వేయి.
summer	వేసవి	ఇక్కడ వేసవి వేడిగా ఉంటుంది.
sun	సూర్యుడు	సూర్యుడు ప్రకాశవంతంగా ఉన్నాడు.
Sunday	ఆదివారం	మేము ఆదివారం విశ్రాంతి తీసుకుంటాము.
supermarket	సూపర్ మార్కెట్	సూపర్ మార్కెట్ తెరిచి ఉంది.
sure	నిశ్చయంగా	నాకు నిశ్చయంగా తెలుసు.
sweater	స్వెటర్	నా స్వెటర్ వెచ్చగా ఉంది.
swim	ఈదు	నేను ప్రతి వారం ఈదుతాను.
swimming	ఈత	ఈత మంచి వ్యాయామం.
table	బల్ల	తాళాలు బల్లపై ఉన్నాయి.
