source_headword	TL	example_TL
monitor	bantayan	Babantayan ng nars ang kanyang kalagayan.
moral	moral	Ang kuwento ay may moral na aral.
motor	motor	Ang motor ay huminto nang walang babala.
mount	ikabit	Nagkakabit sila ng mga camera malapit sa pasukan.
multiple	marami	Maraming dahilan ang sanhi ng pagkaantala.
multiply	i-multiply	I-multiply ang numero sa sampu.
mysterious	misteryoso	Isang misteryosong liwanag ang lumitaw sa labas.
neat	maayos	Palaging maayos ang kanyang mesa.
nerve	ugat	Napinsala ng sugat ang isang ugat.
nevertheless	gayunpaman	Mahirap ang gawain; gayunpaman, natapos namin ito.
nightmare	bangungot	Naging bangungot ang paglalakbay.
notion	paniwala	Itanggi ang paniwala na imposible ang pagbabago.
numerous	marami	Maraming pag-aaral ang sumusuporta sa ideyang ito.
obey	sumunod	Dapat sumunod ang mga tsuper sa mga senyales.
objective	layunin	Ang ating layunin ay mabawasan ang basura.
obligation	obligasyon	May obligasyon ang mga magulang na protektahan ang mga anak.
observation	obserbasyon	Ang kanyang obserbasyon ay nagpabago sa talakayan.
observe	obserbahan	Inoobserbahan ng mga siyentipiko ang mga ibon tuwing tagsibol.
obtain	kumuha	Dapat kang kumuha ng nakasulat na pahintulot.
occasionally	paminsan-minsan	Paminsan-minsan siyang nagtatrabaho mula sa bahay.
offence	pagkakasala	Nagdulot ng matinding pagkakasala ang komento.
offend	maka-offend	Wala akong intensyong maka-offend ng sinuman.
offensive	nakakasakit	Ang poster ay naglalaman ng nakakasakit na salita.
opening	bakante	Ang bakanteng trabaho ay umakit ng maraming aplikante.
operate	gumana	Ang makina ay maaaring gumana nang kusa.
opponent	kalaban	Pinuna ng kanyang kalaban ang patakaran.
oppose	tutulan	Maraming residente ang tumututol sa plano.
opposed	magkasalungat	Ang mga grupo ay may magkasalungat na pananaw.
opposition	oposisyon	Ang panukala ay humarap sa matinding oposisyon.
organ	organo	Ang puso ay isang mahalagang organo.
origin	pinagmulan	Hindi alam ang pinagmulan ng sunog.
otherwise	kung hindi	Umalis ka na; kung hindi, mahuhuli ka.
outcome	resulta	Ikinagulat ng lahat ang resulta.
outer	panlabas	Kailangang kumpunihin ang panlabas na pader.
outline	balangkas	Mangyaring ibalangkas ang iyong pangunahing argumento.
overall	kabuuan	Ang kabuuang resulta ay positibo.
owe	may utang	May utang akong paghingi ng tawad sa iyo.
pace	bilis	Maglakad sa pare-parehong bilis.
panel	panel	Tinalakay ng panel ang patakaran sa klima.
parliament	parliyamento	Inaprubahan ng parliyamento ang bagong batas.
participant	kalahok	Bawat kalahok ay pumirma sa form.
partly	bahagya	Ang pagkaantala ay bahagyang aming kasalanan.
passage	talata	Basahin ang talata bago sumagot.
pension1	pensiyon	Sinusuportahan siya ng kanyang pensiyon pagkatapos magretiro.
permanent	permanente	Kailangan nila ng permanenteng solusyon.
permit	pahintulutan	Pinapahintulutan ng mga patakaran ang maiikling pagbisita.
perspective	pananaw	Subukang unawain ang kanyang pananaw.
phase	yugto	Ang proyekto ay pumasok sa huling yugto nito.
phenomenon	penomenon	Ang penomenong ito ay nangyayari sa maraming kultura.
philosophy	pilosopiya	Pinapahalagahan ng kanyang pilosopiya ang praktikal na aksyon.
pile	tumpok	Tinakpan ng isang tumpok ng mga papel ang mesa.
pitch	palaruan	Maingat na inihanda ng koponan ang pitch.
plain	malinaw	Ang mga tagubilin ay malinaw at direkta.
pointed	tahasan	Gumawa siya ng tahasang komento.
popularity	kasikatan	Nakuha ng mang-aawit ang kasikatan online.
pose	magdulot	Maaaring magdulot ng problema ang tanong.
possess	magtaglay	Ilang mag-aaral lang ang nagtataglay ng kasanayang iyon.
potential	potensyal	Ang ideya ay may totoong potensyal.
praise	papuri	Nagbigay ang guro ng tapat na papuri.
pregnant	buntis	Siya ay anim na buwang buntis.
preparation	paghahanda	Binabawasan ng mahusay na paghahanda ang stress.
presence	presensya	Binago ng kanyang presensya ang kapaligiran.
preserve	panatilihin	Dapat nating panatilihin ang makasaysayang gusaling ito.
prime	pangunahin	Ang pangunahing dahilan ay ang hindi magandang pagpaplano.
principle	prinsipyo	Sinundan ng desisyon ang isang malinaw na prinsipyo.
priority	prayoridad	Kaligtasan ang aming unang prayoridad.
privacy	pagiging pribado	Inaasahan ng mga customer ang privacy online.
procedure	pamamaraan	Tumatagal ng tatlumpung minuto ang pamamaraan.
proof	patunay	Kailangan natin ng patunay bago kumilos.
proposal	panukala	Ang panukala ay nangangailangan ng higit pang detalye.
propose	magmungkahi	Nagmumungkahi ako ng ibang solusyon.
prospect	posibilidad	Pinag-alala sila sa posibilidad na mabigo.
protection	proteksyon	Nagbibigay ang helmet ng pangunahing proteksyon.
psychologist	sikolohista	Ipinaliwanag ng sikolohista ang mga resulta ng pagsusulit.
psychology	sikolohiya	Nag-aaral siya ng sikolohiya sa unibersidad.
publication	publikasyon	Ang publikasyon ay nakatawag ng pansin ng publiko.
pupil	mag-aaral	Nakatanggap ang bawat mag-aaral ng bagong aklat-aralin.
purchase	bumili	Bumibili sila ng mga suplay bawat buwan.
pure	puro	Ang tubig ay puro at malamig.
pursue	ipagpatuloy	Tatahakin niya ang isang medikal na karera.
rank	ranggo	Siya ay may hawak na mataas na ranggo.
rapid	mabilis	Nakita ng bansa ang mabilis na paglago.
rapidly	nang mabilis	Mabilis na tumaas ang mga presyo ngayong taon.
raw	hilaw	Inihanda ng chef ang mga hilaw na gulay.
realistic	makatotohanan	Magtakda ng makatotohanang deadline.
reasonable	makatwiran	Mukhang iyon ay isang makatwirang kahilingan.
recall	alalahanin	Naaalala ko ang kanyang eksaktong mga salita.
recover	gumaling	Gagaling siya pagkatapos ng paggamot.
reduction	pagbawas	Nakatipid ng pera ang pagbawas.
regard	ituring	Itinuturing siya ng maraming tao na tapat.
regional	rehiyonal	Nagsara ngayon ang rehiyonal na opisina.
register	magparehistro	Mangyaring magparehistro bago ang kumperensya.
regret	pagsisisi	Pinagsisisihan ko ang nauna kong desisyon.
regulation	regulasyon	Ang bagong regulasyon ay nakakaapekto sa lahat ng mga driver.
relatively	medyo	Ang pagsusulit ay medyo madali.
relevant	may kaugnayan	Pumili lamang ng mga nauugnay na detalye.
relief	ginhawa	Nagdala ng malaking ginhawa ang balita.
rely	umasa	Umasa ang mga bata sa suporta ng mga nasa hustong gulang.
remark	komento	Tinapos ng kanyang komento ang talakayan.
representative	kinatawan	Nakipagkita ang kinatawan sa mga lokal na manggagawa.
reputation	reputasyon	Ang hotel ay may magandang reputasyon.
requirement	kinakailangan	Ang karanasan ay isang pangunahing kinakailangan.
rescue	iligtas	Nililigtas nila ang mga tao mula sa mga baha.
reserve	magreserba	Nagrereserba kami ng mga upuan para sa mga bisita.
resident	residente	Nakatanggap ng abiso ang bawat residente.
resist	labanan	Subukang labanan ang presyon.
resolve	resolbahin	Payapa nilang niresolba ang alitan.
resort	resort	Nagbukas ang island resort noong Mayo.
retain	panatilihin	Nais ng kumpanya na panatilihin ang mga tauhan.
reveal	ibunyag	Ibubunyag ng ulat ang katotohanan.
revolution	rebolusyon	Binago ng rebolusyon ang bansa.
reward	gantimpala	Ang kasipagan ay karapat-dapat sa isang gantimpala.
rhythm	ritmo	Ang kanta ay may patuloy na ritmo.
rid	alisin	Alisin ang mga lumang file na iyon.
root	ugat	Ang ugat ng problema ay pera.
rub	kuskusin	Kuskusin ang ibabaw gamit ang isang tela.
rubber	goma	Pinipigilan ng goma na selyo ang mga tagas.
rural	rural	Maraming paaralan sa kanayunan ang nangangailangan ng suporta.
rush	magmadali	Huwag madaliin ang desisyong ito.
satellite	satellite	Nagpadala ng mga bagong larawan ang satellite.
satisfied	nasisiyahan	Tila nasisiyahan ang customer.
satisfy	masiyahan	Hindi siya nasiyahan sa sagot.
saving	pagtitipid	Ang pagtitipid ng enerhiya ay nagpapababa ng buwanang gastos.
scale	sukat	Ang sukat ng pinsala ay napakalaki.
scheme	programa	Ang programa ay tumutulong sa mga batang manggagawa.
scream	sigaw	Nakarinig sila ng sigaw sa labas.
sector	sektor	Ang sektor ng teknolohiya ay lumalago.
secure	gawing ligtas	I-lock ang pinto upang maging ligtas ito.
seek	humanap	Humihingi sila ng payo mula sa mga eksperto.
select	pumili	Piliin ang pinakamagandang opsyon.
selection	seleksyon	Nag-aalok ang tindahan ng malawak na seleksyon.
self	sarili	Ipinakita niya ang kanyang tunay na sarili.
senior	senior	Isang senior na doktor ang sumuri sa pasyente.
sensitive	sensitibo	Ang paksang ito ay napakasensitibo.
sequence	pagkakasunod-sunod	Sundin ang pagkakasunod-sunod ng mga hakbang.
session	sesyon	Ang sesyon ng pagsasanay ay magsisimula ng tanghali.
settle	ayusin	Mabilis nilang inayos ang pagtatalo.
severe	matindi	Nagdulot ng matinding pagbaha ang bagyo.
shade	lilim	Umupo sa lilim.
shadow	anino	Tumawid ang isang anino sa bintana.
shallow	mababaw	Ang lawa ay mababaw dito.
shame	kahihiyan	Nakaramdam siya ng kahihiyan pagkatapos magsinungaling.
shelter	silungan	Nagbigay ng emergency na silungan ang paaralan.
shock	pagkabigla	Isang pagkabigla ang desisyon.
shocked	nabigla	Mukha siyang nabigla sa balita.
shooting	pamamaril	Nangyari ang pamamaril malapit sa istasyon.
shot	tira	Nagulat ang lahat sa winning shot.
significant	makabuluhan	Makabuluhan ang pagtuklas.
significantly	nang malaki	Tumaas nang malaki ang mga gastos noong nakaraang taon.
silence	katahimikan	Binalot ng katahimikan ang kwarto.
silk	seda	Ang damit ay gawa sa seda.
sincere	taos-puso	Mangyaring tanggapin ang aking taos-pusong pasasalamat.
slave	alipin	Pinalaya ng batas ang bawat alipin.
slide	magpadulas	Bumaba ang bata sa padulasan.
slight	kaunti	May kaunting pagkaantala.
slip	madulas	Huwag kang madulas sa basang sahig.
slope	dalisdis	Sinusundan ng daan ang isang matarik na dalisdis.
solar	solar	Gumagamit ng solar energy ang bahay.
somewhat	medyo	Medyo nakakalito ang mga tagubilin.
soul	kaluluwa	Pinasaya ng musika ang kanyang kaluluwa.
specialist	espesyalista	Sinuri ng espesyalista ang pasyente.
species	uri	Ang uring ito ay nakatira malapit sa mga ilog.
spiritual	espirituwal	Inilarawan niya ang isang espirituwal na karanasan.
split	hatiin	Hinati nila ang bayarin nang pantay-pantay.
sponsor	isponsor	Iisponsoran ng kumpanya ang kaganapan.
stable	matatag	Matatag ang kalagayan ng pasyente.
stare	tumitig	Huwag tumitig sa mga estranghero.
status	katayuan	Nagbago ang kanyang katayuan sa isang gabi.
steady	banayad	Panatilihin ang banayad na bilis.
steel	bakal	Ang tulay ay gawa sa bakal.
steep	matarik	Matarik ang burol.
sticky	malagkit	Malagkit ang sahig.
stiff	naninigas	Naninigas ang kanyang balikat.
stock	imbentaryo	Wala nang natitirang imbentaryo ang tindahan.
stream	sapa	Isang maliit na sapa ang tumatawid sa bukid.
stretch	unatin	Unatin mo ang iyong mga binti pagkatapos ng byahe.
strict	mahigpit	May mahigpit na mga patakaran ang paaralan.
strike	magwelga	Maaaring magwelga ang mga manggagawa bukas.
struggle	maghirap	Maraming pamilya ang nahihirapan sa upa.
submit	isumite	Isumite ang form bago mag-Biyernes.
sum	halaga	Ang halaga ay mas mataas kaysa sa inaasahan.
surgery	operasyon	Tumagal ng dalawang oras ang operasyon.
surround	palibutan	Pinapalibutan ng matataas na puno ang bahay.
surrounding	nakapaligid	Tahimik ang nakapaligid na lugar.
suspect	paghinalaan	Pinaghihinalaan ng pulisya ang isang lokal na lalaki.
swear	magmura	Huwag magmura sa klase.
sweep	walisan	Walisan ang sahig bago dumating ang mga bisita.
sympathy	simpatiya	Nagpahayag siya ng simpatiya para sa mga biktima.
tale	kwento	Nagkwento ang lola ng isang kakaibang kwento.
tank	tangke	Naglalaman ng malinis na tubig ang tangke.
tear1	punitin	Huwag punitin ang dokumento.
tear2	luha	Isang luha ang tumulo sa kanyang pisngi.
temporary	pansamantala	Ang opisina ay isang pansamantalang kanlungan.
therapy	therapy	Nakatulong ang physical therapy sa kanyang paggaling.
threat	banta	Naglaman ng banta ang mensahe.
threaten	bantaan	Maaaring bantaan ng bagyo ang mga pananim.
thus	kaya	Sarado ang kalsada; kaya, naghintay kami.
tone	tono	Kalmado ang tono ng kanyang boses.
tough	mahirap	Mahirap ang panayam.
transfer	ilipat	Naglilipat sila ng data tuwing gabi.
transform	baguhin	Babaguhin ng bagong patakaran ang mga serbisyo.
transition	paglipat	Inabot ng ilang buwan ang paglipat.
trial	paglilitis	Magsisimula ang paglilitis sa susunod na linggo.
tropical	tropikal	Karaniwan dito ang mga bagyong tropikal.
truly	talaga	Talagang pinahahalagahan ko ang iyong tulong.
trust	tiwala	Ang tiwala ay nangangailangan ng panahon upang mabuo.
tune	tono	Tumugtog ang banda ng isang masayang tono.
tunnel	lagusan	Tumatakbo ang lagusan sa ilalim ng ilog.
ultimately	sa huli	Sa huli, nagtagumpay ang plano.
unconscious	walang malay	Nananatiling walang malay ang pasyente.
unexpected	hindi inaasahan	Hindi inaasahan ang pagkaantala.
unique	natatangi	Ang bawat disenyo ay natatangi.
universe	uniberso	Lumalawak ang uniberso.
unknown	hindi kilala	Nananatiling hindi kilala ang pangalan.
upper	itaas	Walang laman ang itaas na istante.
upwards	paitaas	Umakyat paitaas ang usok.
urban	urban	Kailangan ng mas mahusay na transportasyon ng mga urban na lugar.
urge	himukin	Hinihimok ng mga doktor ang mga tao na mag-ehersisyo.
vary	mag-iba	Iba-iba ang presyo ayon sa rehiyon.
vast	malawak	Sinasakop ng disyerto ang isang malawak na lugar.
venue	lugar	Kasya ang limang daang tao sa lugar.
via	sa pamamagitan ng	Ipadala ang dokumento sa pamamagitan ng email.
victory	tagumpay	Ipinagdiwang ng koponan ang tagumpay nito.
violence	karahasan	Dumanas ang lungsod ng pampulitikang karahasan.
virtual	virtual	Virtual ang pulong.
vision	pananaw	Ang kanyang pananaw ang humubog sa kumpanya.
visual	biswal	Kasama sa ulat ang mga biswal na halimbawa.
vital	mahalaga	Mahalaga ang tubig para sa buhay.
vitamin	bitamina	Naglalaman ng bitamina C ang mga dalandan.
volume	volume	Hinaan mo ang volume.
wage	sahod	Humiling ang mga manggagawa ng mas mataas na sahod.
weakness	kahinaan	May isang kahinaan ang plano.
wealth	kayamanan	Nagmula sa kalakalan ang kanyang kayamanan.
wealthy	mayaman	Pinondohan ng mayamang pamilya ang museo.
whereas	samantalang	Gusto niya ng tsaa, samantalang mas gusto ko ng kape.
wherever	kahit saan	Umupo ka kahit saan ka komportable.
whisper	bumulong	Mangyaring bumulong habang may seremonya.
whom	sino	Sino ang inimbita mo?
widely	malawakan	Malawakang binabasa ang aklat.
wildlife	wildlife	Pinoprotektahan ng parke ang mga lokal na ligaw na hayop.
willing	handa	Handa siyang tumulong.
wind2	ipulupot	Ipulupot ang kable sa paligid ng reel.
wire	kawad	Ikinokonekta ng kawad ang dalawang device.
wise	matalino	Iyon ay isang matalinong pagpili.
witness	saksi	Inilarawan ng isang saksi ang aksidente.
wound	sugat	Linisin nang mabuti ang sugat.
wrap	ibalot	Ibalot ang regalo sa papel.
zone	sona	Sarado sa trapiko ang sonang ito.
