simplified	JA	example_JA
盘子	皿; トレー	机の上に皿が三枚あります。
胖	太った; ぽっちゃりした	この犬は少し太っています。
啤酒	ビール	父はビールを飲みません。
皮鞋	革靴	この革靴は高いです。
瓶子	瓶	瓶の中に水があります。
其实	実は; 実際には	実は私はビールが好きではありません。
其他	その他の; ほかの	ほかのクラスメートはみんな来ました。
奇怪	変な; 不思議な	この音はとても変です。
骑	乗る	彼は毎日自転車で仕事に行きます。
起飞	離陸する	飛行機はもうすぐ離陸します。
起来	立ち上がる; 上がる	立ってください。
清楚	はっきりした; 明確な	あなたはとてもはっきり話しました。
请假	休みを取る	彼は風邪をひいたので休みを取らなければなりません。
秋	秋	秋の天気は気持ちがいいです。
裙子	スカート	このスカートはとてもきれいです。
然后	それから; その後	まず食べて、それから宿題をします。
热情	親切な; 熱心な	中国の友達はとても親切です。
认为	思う; 考える	この方法はいいと思います。
认真	真面目な; 丁寧な	先生の話をよく聞いてください。
容易	簡単な	この漢字は書きやすいです。
如果	もし	雨が降ったら地下鉄に乗ります。
伞	傘	雨が降っています。傘を持ってきてください。
上网	インターネットに接続する; ネットを使う	夜、地図を確認するためにネットを使います。
声音	声; 音	あなたの声はきれいに聞こえます。
生气	怒る; 怒っている	怒らないでください。わざとではありません。
世界	世界	世界はとても大きいです。
试	試す; 試着する	この革靴を試着したいです。
瘦	やせた; 細い	彼は以前よりやせています。
叔叔	おじ; おじさん	おじが私を学校まで送ってくれます。
舒服	快適な; 気持ちがいい	この椅子は快適です。
数学	数学	数学の授業はおもしろいです。
树	木	家の前に木があります。
刷牙	歯を磨く	私は毎朝歯を磨きます。
双	一対; 二つ	革靴を一足買いました。
水平	レベル; 水準	彼の中国語のレベルは高いです。
司机	運転手	運転手はドアの前で私たちを待っています。
太阳	太陽	今日は日差しが強いです。
特别	特別な; 特に	この番組は特におもしろいです。
疼	痛む	足が痛いです。
提高	高める; 向上させる	もっと練習すれば中国語のレベルを上げられます。
体育	体育; スポーツ	私は体育の授業が好きです。
甜	甘い	この飲み物は甘すぎます。
条	細長い物の助数詞; 本	スカートを買いました。
同事	同僚	私の同僚はとても忙しいです。
同意	同意する	あなたの決定に同意します。
头发	髪	彼女の髪は長いです。
突然	突然	彼は突然出て行きました。
图书馆	図書館	図書館は今日は開いていません。
腿	脚	山に登った後、脚が痛くなりました。
完成	完成する; 終える	宿題はもう終わりました。
碗	茶わん; ボウル	机の上に茶わんが二つあります。
万	一万	この町には一万人がいます。
忘记	忘れる	パスポートを持ってくるのを忘れないでください。
为	〜のために; 〜のため	あなたのことをうれしく思います。
为了	〜するために; 〜のために	試験のために彼は毎日復習しています。
位	人に使う丁寧な助数詞	この先生はとても有名です。
文化	文化	中国文化を理解したいです。
西	西	銀行は学校の西にあります。
习惯	習慣; 慣れる	朝運動することに慣れています。
洗手间	トイレ	トイレは右にあります。
洗澡	シャワーを浴びる; 入浴する	夜にシャワーを浴びます。
夏	夏	夏はとても暑いです。
先	先に; まず	あなたが先に食べてください。
相信	信じる	彼が来ると信じています。
香蕉	バナナ	バナナを三本買いました。
像	似ている; 〜のようだ	この雲は鳥に似ています。
向	〜へ; 方向	左へ行ってください。
小心	気をつける	雨が降っています。道で気をつけてください。
校长	校長	校長先生はオフィスにいます。
新闻	ニュース	父は毎日ニュースを見ます。
新鲜	新鮮な	この果物はとても新鮮です。
信用卡	クレジットカード	クレジットカードで払えますか。
行李箱	スーツケース	私のスーツケースは重いです。
熊猫	パンダ	子どもたちはパンダを見るのが好きです。
需要	必要とする	あなたの助けが必要です。
选择	選ぶ; 選択	どのシャツを選びますか。
要求	要求する; 求める	先生は私たちに宿題を丁寧にするよう求めます。
爷爷	父方の祖父; おじいさん	祖父は毎日公園へ行きます。
一直	ずっと; いつも	彼はずっとあなたを待っています。
一定	必ず; きっと	私は必ず来ます。
一共	全部で; 合計で	これらの本は全部でいくらですか。
一会儿	少しの間	少し待ってください。
一样	同じ	この二つのコップは同じ大きさです。
以前	以前; 前	以前、私は北京に住んでいました。
一般	普通の; 一般的な	このレストランの料理は普通です。
一边	片側; 〜しながら	彼は音楽を聞きながら宿題をしています。
音乐	音楽	私は中国の音楽が好きです。
银行	銀行	銀行はスーパーの隣にあります。
饮料	飲み物	この飲み物はおいしいです。
应该	〜すべきだ	もっと休むべきです。
影响	影響; 影響する	天気は試合に影響します。
用	使う	宿題をするのにパソコンを使います。
游戏	ゲーム; 遊び	子どもたちは遊んでいます。
有名	有名な	このレストランはとても有名です。
又	また; 再び	彼は今日また遅刻しました。
遇到	会う; 出会う	通りで先生に会いました。
元	元; 通貨単位	この辞書は五十元です。
愿意	〜したい; 喜んで〜する	参加したいですか。
月亮	月	今夜の月は明るいです。
越	〜すればするほど	中国語を勉強すればするほど、おもしろくなります。
站	駅; 立つ	彼はドアのところに立っています。
张	平たい物の助数詞; 枚	地図を一枚ください。
长	成長する	子どもは早く成長します。
着急	焦る; 心配する	焦らないでください。エレベーターはすぐ来ます。
照顾	世話をする	彼女は病気の祖母の世話をしています。
照片	写真	この写真はきれいです。
照相机	カメラ	写真を撮るのにカメラを使います。
283:只	ただ; だけ	私はお茶を一杯だけ飲みます。
284:只	動物の助数詞	机の下に猫が一匹います。
只有…才…	〜してこそ; 〜だけが	しっかり復習してこそ、試験でよい成績が取れます。
中间	真ん中; 間	机は部屋の真ん中にあります。
中文	中国語; 中国の文字	私は毎日中国語を勉強します。
终于	ついに; やっと	私たちはついに着きました。
种	種類	どんな飲み物が好きですか。
重要	重要な	パスポートはとても重要です。
周末	週末	週末に公園へ行きたいです。
主要	主な; 主要な	彼の主な趣味は音楽です。
注意	注意する	先生の話に注意してください。
自己	自分	宿題を自分でやりたいです。
自行车	自転車	私の自転車は下にあります。
总是	いつも	彼はいつも早くオフィスに着きます。
嘴	口	口を開けてください。
最后	最後; 最後に	最後に、私たちはみんな同意しました。
最近	最近	最近忙しいです。
作业	宿題	私はまだ宿題を終えていません。
