source_headword	IS	example_IS
leather	leður	Taskan hans er úr leðri.
legal	lagalegur	Við þurfum lagalega ráðgjöf.
leisure	tómstundir	Lestur er uppáhalds tómstundin mín.
length	lengd	Mældu lengd herbergisins.
lie2 (tell a lie)	ljúga	Ekki ljúga að foreldrum þínum.
limit	takmörk	Hraðatakmarkið er fimmtíu.
lip	vör	Hún beit í vörina.
liquid	vökvi	Vatn er tær vökvi.
literature	bókmenntir	Hún lærir franskar bókmenntir.
live2	í beinni	Hljómsveitin spilaði í beinni í gærkvöldi.
living	lifandi	Lifandi plöntur þurfa ljós.
locate	finna	Geturðu fundið skrána?
located	staðsettur	Skrifstofan er staðsett í miðbænum.
location	staðsetning	Þetta er góð staðsetning.
lonely	einmana	Hann fann til einmanaleika eftir flutninginn.
loss	tap	Tapið var erfitt fyrir alla.
luxury	lúxus	Hótelið býður upp á alvöru lúxus.
mad	reiður	Hún var reið yfir seinkuninni.
magic	töfrar	Sýningin var full af töfrum.
mainly	aðallega	Hópurinn er aðallega nemendur.
mall	verslunarmiðstöð	Við hittumst í verslunarmiðstöðinni.
management	stjórnun	Góð stjórnun sparar tíma.
marketing	markaðssetning	Markaðssetning hjálpar að selja vöruna.
marriage	hjónaband	Hjónaband þeirra stóð í þrjátíu ár.
meanwhile	á meðan	Ég eldaði kvöldmat á meðan.
measure	mæla	Mældu borðið vandlega.
medium	miðlungs	Ég pantaði miðlungs pizzu.
mental	andlegur	Streita hefur áhrif á andlega heilsu.
mess	drasl	Taktu til þetta drasl.
mild	mildur	Súpan hefur milt bragð.
mine (hole in the ground)	náma	Náman lokaði í fyrra.
mix	blanda	Blandaðu eggjunum við mjólk.
mixture	blanda	Blandan varð þykk.
mood	skap	Tónlist breytti skapi hennar.
mud	leðja	Skórnir hans voru þaktir leðju.
murder	morð	Morðið gerðist um nótt.
muscle	vöðvi	Hreyfing byggir upp vöðva.
mystery	ráðgáta	Gamla húsið er ráðgáta.
nail	nögl	Ég braut nögl.
narrative	frásögn	Skáldsagan hefur skýra frásögn.
nation	þjóð	Öll þjóðin fagnaði.
native	móðurmál	Spænska er móðurmál hennar.
naturally	náttúrulega	Börn læra náttúrulega í gegnum leik.
necessarily	endilega	Dýr matur er ekki endilega betri.
needle	nál	Nálin er mjög beitt.
neighbourhood	hverfi	Þau búa í rólegu hverfi.
net	net	Fiskimaðurinn lagaði netið sitt.
nor	né	Hann brosti hvorki né talaði.
northern	norðlægur	Þau heimsóttu norðurströndina.
nuclear	kjarnorku-	Umræðan var um kjarnorku.
obvious	augljós	Svarið var augljóst.
obviously	augljóslega	Augljóslega þurfum við meiri tíma.
occasion	tilefni	Þetta er sérstakt tilefni.
occur	gerast	Slys geta gerst hvar sem er.
odd	skrítinn	Þetta var skrítin spurning.
official	opinber	Opinbera niðurstaðan kom í dag.
old-fashioned	gamaldags	Síminn hennar lítur gamaldags út.
operation	aðgerð	Aðgerðin tók tvær klukkustundir.
organized	skipulagður	Skrifborðið hennar er mjög skipulagt.
organizer	skipuleggjandi	Skipuleggjandinn bauð gestina velkomna.
originally	upphaflega	Hún kom upphaflega frá Kanada.
ought modal	ætti	Þú ættir að hvíla þig.
ours	okkar	Þetta borð er okkar.
outdoor	úti-	Við keyptum útihúsgögn.
outdoors	úti	Börn ættu að leika úti.
package	pakki	Pakkinn kom í morgun.
painful	sársaukafullur	Skurðurinn var sársaukafullur.
pale	fölur	Andlit hans leit fölt út.
pan	panna	Hitaðu pönnuna fyrst.
participate	taka þátt	Allir geta tekið þátt.
particularly	sérstaklega	Mér líkar sérstaklega við þetta lag.
passion	ástríða	Tónlist er ástríða hennar.
path	stígur	Fylgdu stígnum í gegnum garðinn.
payment	greiðsla	Greiðslan er á gjalddaga á morgun.
peaceful	friðsæll	Garðurinn er friðsæll.
percentage	prósenta	Lítil prósenta samþykkti.
perfectly	fullkomlega	Áætlunin virkaði fullkomlega.
performance	frammistaða	Frammistaða hennar var frábær.
personally	persónulega	Persónulega kýs ég te.
persuade	sannfæra	Geturðu sannfært hann um að taka þátt?
photographer	ljósmyndari	Ljósmyndarinn tók margar myndir.
photography	ljósmyndun	Ljósmyndun er uppáhalds áhugamálið hans.
pin	næla	Settu nælu á kortið.
pipe	rör	Rörið flytur vatn.
planning	skipulagning	Skipulagning tekur tíma.
pleasant	ánægjulegur	Við áttum ánægjulegt kvöld.
pleasure	ánægja	Það var ánægja að hitta þig.
plenty	nóg	Við höfum nægan tíma.
plot	söguþráður	Söguþráðurinn var auðvelt að fylgja.
plus1	plús	Tveir plús þrír eru fimm.
poem	ljóð	Hún skrifaði stutt ljóð.
poet	skáld	Skáldið las upphátt.
poetry	ljóðlist	Hann hefur gaman af nútímaljóðlist.
poison	eitur	Haltu eitri frá börnum.
poisonous	eitraður	Sumir sveppir eru eitraðir.
policy	stefna	Fyrirtækið breytti stefnu sinni.
political	pólitískur	Ræðan var pólitísk.
politician	stjórnmálamaður	Stjórnmálamaðurinn svaraði spurningum.
politics	stjórnmál	Stjórnmál geta verið flókin.
port	höfn	Skipið sigldi inn í höfnina.
portrait	andlitsmynd	Andlitsmyndin hangir í salnum.
possibly	mögulega	Hún kemur mögulega seint.
pot	pottur	Plantan þarf stærri pott.
pour	hella	Helltu mjólkinni hægt.
poverty	fátækt	Margar fjölskyldur búa við fátækt.
powder	duft	Bættu duftinu út í vatn.
powerful	kraftmikill	Vélin er kraftmikil.
practical	hagnýtur	Þetta er hagnýt lausn.
pray	biðja	Þau biðja á hverjum morgni.
prayer	bæn	Hún fór með hljóða bæn.
prediction	spá	Spá hans var rétt.
prepared	tilbúinn	Ég er tilbúinn fyrir prófið.
presentation	kynning	Kynning hennar var skýr.
press	ýta	Ýttu einu sinni á hnappinn.
pressure	þrýstingur	Þrýstingur getur haft áhrif á heilsuna.
pretend	þykjast	Ekki þykjast vera sofandi.
previous	fyrri	Fyrri kennslustundin var auðveldari.
previously	áður	Við bjuggum áður í Róm.
priest	prestur	Presturinn talaði lágt.
primary	aðal-	Heilsa er okkar aðaláhyggjuefni.
prince	prins	Prinsinn heimsótti skólann.
princess	prinsessa	Prinsessan klæddist bláum kjól.
printing	prentun	Prentun skýrslunnar tók nokkrar mínútur.
prisoner	fangi	Fanginn slapp um nótt.
private	einka-	Þetta er einkasamtal.
producer	framleiðandi	Framleiðandanum líkaði myndin.
production	framleiðsla	Framleiðsla hefst í næstu viku.
profession	starfsgrein	Kennsla er virt starfsgrein.
profit	hagnaður	Verslunin skilaði hagnaði.
promote	stuðla að	Þau stuðla að hollu mataræði.
proper	viðeigandi	Vertu í viðeigandi skóm í göngu.
properly	almennilega	Lokaðu hurðinni almennilega.
property	eign	Þau keyptu eign nálægt ánni.
protest	mótmæli	Mótmælunum lauk friðsamlega.
proud	stoltur	Hún var stolt af syni sínum.
prove	sanna	Geturðu sannað svar þitt?
punish	refsa	Kennarinn refsaði honum ekki.
punishment	refsing	Refsingin virtist sanngjörn.
qualification	hæfi	Þú þarft hæfi fyrir þetta starf.
qualified	hæfur	Hún er hæfur hjúkrunarfræðingur.
qualify	komast áfram	Liðið okkar gæti komist áfram.
queue	röð	Við biðum í langri röð.
quit	hætta	Hann ákvað að hætta að reykja.
quotation	tilvitnun	Ritgerðin byrjar á tilvitnun.
quote	vitna í	Má ég vitna í orð þín?
race (people)	kynþáttur	Eyðublaðið spyr um kynþátt.
racing	kappreiðar	Kappreiðar eru vinsælar þar.
range	úrval	Verslunin selur breitt úrval.
rare	sjaldgæfur	Þessi fugl er sjaldgæfur.
rarely	sjaldan	Við borðum sjaldan úti.
reaction	viðbrögð	Viðbrögð hennar komu mér á óvart.
reality	raunveruleiki	Raunveruleikinn var öðruvísi en draumur hans.
receipt	kvittun	Haltu kvittuninni.
recommendation	meðmæli	Takk fyrir meðmælin.
reference	tilvísun	Bættu tilvísun við í lokin.
reflect	endurspegla	Spegillinn getur endurspeglað ljós.
regularly	reglulega	Hún æfir reglulega.
reject	hafna	Þau gætu hafnað tilboðinu.
relate	tengja sig við	Ég get tengt mig við þessa sögu.
related	tengdur	Vandamálin tvö eru tengd.
relation	samband	Það er samband á milli þeirra.
relative	afstæður	Hraði er afstæður.
relaxed	afslappaður	Hann var afslappaður eftir kvöldmat.
relaxing	afslappandi	Tónlistin var afslappandi.
release	gefa út	Þau munu gefa myndina út fljótlega.
reliable	áreiðanlegur	Þessi strætó er yfirleitt áreiðanlegur.
religion	trú	Trú er henni mikilvæg.
religious	trúarlegur	Þau heimsóttu trúarlega byggingu.
remain	vera áfram	Vinsamlegast vertu rólegur.
remind	minna á	Minntu mig á það á morgun.
remote	afskekktur	Þau búa í afskekktu þorpi.
rent	leiga	Leigan er á gjalddaga í dag.
repeated	endurtekinn	Endurtekin mistök hægðu á vinnunni.
represent	tákna	Stjarnan táknar von.
require	krefjast	Þetta starf krefst þjálfunar.
reservation	bókun	Ég gerði bókun.
resource	úrræði	Bókasafnið er gagnlegt úrræði.
respect	virða	Berðu virðingu fyrir bekkjarfélögum þínum.
responsibility	ábyrgð	Barnagæsla er mikil ábyrgð.
responsible	ábyrgur	Hún ber ábyrgð á miðunum.
retire	fara á eftirlaun	Faðir minn fer brátt á eftirlaun.
retired	eftirlauna-	Hann er eftirlaunakennari.
revise	endurskoða	Endurskoðaðu ritgerðina þína í kvöld.
risk	hætta	Það er hætta á rigningu.
robot	vélmenni	Vélmennið þreif gólfið.
roll	rúlla	Rúllaðu boltanum til mín.
romantic	rómantískur	Þau áttu rómantískan kvöldmat.
rope	reipi	Bindið reipið þétt.
rough	grófur	Vegurinn var grófur.
row1	röð	Sittu í fremstu röð.
royal	konunglegur	Konungsfjölskyldan kom.
rugby	ruðningur	Við horfðum á ruðning í sjónvarpinu.
safety	öryggi	Öryggi er mikilvægt í vinnunni.
sailor	sjómaður	Sjómaðurinn lagaði bátinn.
sample	sýni	Hjúkrunarfræðingurinn tók blóðsýni.
sand	sandur	Sandur huldi skóna mína.
scan	skanna	Skannaðu skjalið fyrst.
scientific	vísindalegur	Þetta er vísindaleg aðferð.
script	handrit	Leikarinn las handritið.
sculpture	skúlptúr	Skúlptúrinn stendur úti.
secondary	auka-	Þetta er aukavandamál.
security	öryggisgæsla	Öryggisgæslan skoðaði töskurnar okkar.
seed	fræ	Gróðursettu fræið í jarðveg.
sensible	skynsamur	Þetta er skynsamleg hugmynd.
seriously	alvarlega	Taktu þetta vandamál alvarlega.
servant	þjónn	Þjónninn opnaði dyrnar.
set (put)	setja	Settu glasið á borðið.
set (group)	sett	Þetta sett inniheldur sex bolla.
setting	umhverfi	Sagan hefur borgarumhverfi.
sex	kyn	Eyðublaðið spyr um aldur og kyn.
sexual	kynferðislegur	Bekkurinn ræddi kynheilbrigði.
sharp	beittur	Þessi hnífur er beittur.
shelf	hilla	Settu bókina á hilluna.
shell	skel	Skelin var tóm.
shift	vakt	Vaktin mín byrjar klukkan átta.
shine	skína	Stjörnurnar skína á nóttunni.
shiny	glansandi	Skórnir hennar eru glansandi.
shoot	taka mynd	Ljósmyndarinn mun taka mynd af atriðinu.
shy	feiminn	Hann er feiminn með ókunnugum.
sight	sýn	Fjallið var falleg sýn.
signal	merki	Merkið var veikt.
silent	þögull	Herbergið varð þögult.
silly	kjánalegur	Þetta voru kjánaleg mistök.
similarity	líkindi	Það eru skýr líkindi.
similarly	svipað	Önnur áætlunin virkar svipað.
simply	einfaldlega	Ýttu einfaldlega á þennan hnapp.
sink	sökkva	Þungir steinar sökkva hratt.
slice	sneið	Ég borðaði kökusneið.
slightly	örlítið	Herbergið er örlítið hlýrra.
smart	snyrtilegur	Hún var í snyrtilegum jakka.
smooth	sléttur	Vegurinn er sléttur.
software	hugbúnaður	Hugbúnaðurinn þarf uppfærslu.
soil	jarðvegur	Jarðvegurinn er þurr.
solid	traustur	Veggurinn er traustur.
southern	suðlægur	Þau búa á suðurströndinni.
specifically	sérstaklega	Ég bað sérstaklega um te.
spending	útgjöld	Útgjöld ríkisins jukust.
spicy	kryddaður	Þessi karríréttur er kryddaður.
spirit	andi	Liðið sýndi mikinn anda.
spoken	talaður	Töluð enska batnar með æfingu.
spot	staður	Þessi staður er fullkominn.
spread	smyrja	Smyrðu smjöri á brauðið.
stadium	leikvangur	Leikvangurinn var fullur.
staff	starfsfólk	Starfsfólkið var hjálpsamt.
standard	staðall	Staðallinn var hár.
statistic	tölfræði	Þessi tölfræði kemur á óvart.
statue	stytta	Styttan stendur á torginu.
stick (push into/attach)	líma	Límdu miðann á kassann.
stick (piece of wood)	stafur	Hann tók upp staf.
