source_headword	JA	example_JA
critically	批判的に	その記事は極めて重要でした。
cruise	クルーズ	彼らはギリシャへのクルーズを予約しました。
cue	合図	その俳優は合図を見逃しました。
curious	好奇心の強い	その子供は宇宙に好奇心を持っていました。
curriculum	カリキュラム	学校はカリキュラムを更新しました。
cute	かわいい	その子犬はかわいく見えました。
dairy	乳製品	その農場は乳製品を生産しています。
dare	あえて～する	試せるものなら試してみて。
darkness	暗闇	部屋は暗闇に包まれました。
database	データベース	データベースは顧客記録を保存しています。
deadline	締め切り	締め切りは金曜日です。
deadly	致命的な	その蛇は猛毒を持っています。
dealer	ディーラー	自動車ディーラーは割引を提供しました。
deck	甲板	椅子はデッキにあります。
defender	ディフェンダー	ディフェンダーはシュートをブロックしました。
delete	削除する	古いメッセージを削除してください。
democracy	民主主義	民主主義は自由な選挙に依存しています。
democratic	民主的な	投票は民主的な規則に従いました。
demonstration	デモ	学生たちはデモに参加しました。
depart	出発する	列車は正午に出発します。
dependent	依存している	その子供は大人に依存しています。
deposit	預金	彼女はそのアパートの敷金を支払いました。
depression	うつ病	うつ病には専門的な支援が必要です。
derive	引き出す	多くの単語はラテン語に由来しています。
desperately	必死に	彼は必死に水を求めていました。
destruction	破壊	その嵐は広範囲にわたる破壊を引き起こしました。
determination	決意	彼女の決意はコーチに感銘を与えました。
devote	捧げる	彼女は週末を勉強に捧げています。
differ	異なる	彼らの意見は鋭く対立しています。
disability	障害	その建物には障害者用のアクセスがあります。
disabled	障害のある	その障害のあるアスリートはメダルを獲得しました。
disagreement	意見の不一致	会議は意見の不一致で終わりました。
disappoint	失望させる	その結果はファンを失望させるかもしれません。
disappointment	失望	彼は深い失望を感じました。
discourage	落胆させる	若い学習者を落胆させないでください。
disorder	障害	医師は睡眠障害と診断しました。
distant	遠い	山々は遠くに見えました。
distinct	明確な	その2つの音は明確に異なります。
distinguish	区別する	これらの色を区別できますか？
distract	気を散らす	騒音は学生の気を散らすことがあります。
disturb	邪魔をする	患者の邪魔をしないでください。
dive	潜水	彼らはサンゴ礁の近くでダイビングします。
diverse	多様な	その都市には多様な文化があります。
diversity	多様性	私たちは文化の多様性を祝います。
divorce	離婚	離婚は全員にとって困難なものでした。
dominant	支配的な	優勢なチームが試合をコントロールしました。
donation	寄付	その慈善団体は寄付を受け取りました。
dot	点	数字の後に点を付けてください。
downtown	都心	私たちは仕事の後に都心で会いました。
dramatically	劇的に	価格は劇的に下落しました。
drought	干ばつ	干ばつが農作物に被害を与えました。
dull	退屈な	その講義は退屈でした。
dump	捨てる	ここにゴミを捨てないでください。
duration	持続期間	飛行時間は3時間です。
dynamic	動的な	教室は活気に満ちていました。
economics	経済学	彼女は大学で経済学を学んでいます。
economist	経済学者	その経済学者は成長の減速を予測しました。
editorial	編集の	その社説は法律を批判しました。
efficiently	効率的に	チームは効率的に働きました。
elbow	肘	彼は肘を怪我しました。
electronics	電子機器	その店は電子機器を売っています。
elegant	優雅な	そのドレスは上品に見えました。
elementary	初歩的な	その本は初歩的な文法を説明しています。
eliminate	排除する	チームはいくつかのミスを取り除きました。
embrace	受け入れる	彼女はその新しいアイデアを受け入れました。
emission	排出	車の排出ガスが減少しました。
emotionally	感情的に	彼は家族について感情的に話しました。
empire	帝国	その帝国は何世紀も続きました。
enjoyable	楽しい	その旅行は楽しかったです。
entertaining	楽しめる	そのショーは面白かったです。
entrepreneur	起業家	その起業家はカフェを開きました。
envelope	封筒	手紙を封筒に入れてください。
equip	備え付ける	学校は研究室に設備を整えます。
equivalent	同等物	ここでは1ドルは同等の価値がありません。
era	時代	その発見は新しい時代を開きました。
erupt	勃発する	火山がまもなく噴火するかもしれません。
essentially	基本的に	その2つの方法は本質的に同じです。
ethic	倫理	彼の労働倫理はしっかりしています。
ethnic	民族の	そのお祭りは民族の伝統を祝います。
evaluation	評価	そのコースには最終評価が含まれています。
evident	明らかな	彼の緊張は明らかでした。
evolution	進化	進化は多くの生物学的変化を説明します。
evolve	発展させる	言語は時間とともに進化します。
exceed	超える	需要が供給を超えるかもしれません。
exception	例外	一つ例外があります。
excessive	過度の	過度の騒音は近所の迷惑になります。
exclude	除外する	そのリストは臨時従業員を除外しています。
exhibit	展示物	博物館は珍しい写真を展示します。
exit	出口	出口はステージの後ろにあります。
exotic	異国情緒のある	その店は珍しい果物を売っています。
expansion	拡大	その会社は事業拡大を計画しました。
expertise	専門知識	彼女の専門知識がプロジェクトを改善しました。
exploit	利用する	犯罪者は弱いパスワードを悪用します。
exposure	暴露	日光にさらされると肌が傷むことがあります。
extension	延長	期限の延長はみんなの助けになりました。
extensive	広範囲な	図書館には広範な資料があります。
extensively	広範囲に	そのテーマは広く研究されました。
extract	抜粋	バニラエッセンスが風味を与えます。
fabric	生地	その生地は手触りが柔らかいです。
fabulous	素晴らしい	その食事は素晴らしかったです。
failed	失敗した	失敗した試みは私たちに何かを教えてくれました。
fake	偽の	そのウェブサイトは偽のチケットを売っていました。
fame	名声	名声は彼の私生活を変えました。
fantasy	ファンタジー	その小説はファンタジーです。
fare	運賃	バスの運賃が上がりました。
federal	連邦の	連邦政府が資金提供を発表しました。
fever	熱	その子は熱があります。
firefighter	消防士	消防士がその犬を助けました。
firework	花火	公園の上空で花火が爆発しました。
firm	堅い	そのマットレスは硬いです。
firmly	固く	彼女はドアをしっかりと閉めました。
flavour	風味	そのスープは豊かな風味があります。
fond	好きな	彼はジャズが好きです。
fool	愚か者	馬鹿な真似はしないでください。
forbid	禁じる	法律でここでの喫煙は禁じられています。
forecast	予測	天気予報では雨が降るそうです。
format	形式	正しいファイル形式を使用してください。
formation	形成	雲の形成はすぐに変わります。
formerly	以前は	その建物は以前は学校でした。
fortunate	幸運な	早く到着できて幸運でした。
forum	フォーラム	フォーラムでは気候政策について議論されました。
fossil	化石	その化石は石の中で発見されました。
foundation	基礎	その家はしっかりした土台を持っています。
founder	創設者	創設者はゲストを歓迎しました。
fraction	一部	ほんの一部の学生だけが来ました。
fragment	破片	床にガラスの破片が落ちていました。
framework	枠組み	その法律は明確な枠組みを作ります。
fraud	詐欺	銀行は詐欺を検出しました。
freely	自由に	子供たちは外で自由に遊んでいました。
frequent	頻繁な	頻繁な休憩は集中力を高めます。
fulfil	果たす	約束を果たしたいと思います。
full-time	常勤の	彼女はフルタイムの仕事に就いています。
fundamentally	基本的に	その計画は根本的に異なります。
furious	激怒した	彼は遅延に激怒していました。
gaming	ゲーム	ゲームは反応速度を上げることがあります。
gay	同性愛の	彼は同性愛者の権利を支持しています。
gender	性別	アンケートでは性別について尋ねられました。
gene	遺伝子	その遺伝子は目の色に影響します。
genetic	遺伝子の	その病気には遺伝的な原因があります。
genius	天才	その若いピアニストは天才です。
genuine	本物の	彼女の笑顔は本物に見えました。
genuinely	純粋に	彼は心から手伝いたいと思っていました。
gesture	身振り	彼女は友好的なジェスチャーをしました。
gig	ライブ	そのバンドはダウンタウンでライブを行いました。
globalization	グローバル化	グローバル化は地元企業に影響を与えます。
globe	地球	地球儀はすべての大陸を示しています。
golden	金色の	夕日は金色に変わりました。
goodness	善良さ	彼女は人間の善良さを信じています。
gorgeous	豪華な	庭はとても美しく見えました。
governor	知事	知事はその法案に署名しました。
graphic	生々しい	その生々しい画像は視聴者にショックを与えました。
graphics	グラフィックス	そのゲームにはシンプルなグラフィックがあります。
greatly	大いに	あなたのアドバイスは大いに役立ちました。
greenhouse	温室	トマトは温室の中で育ちます。
grocery	食料雑貨店	彼女は仕事の後に食料品を買いました。
guideline	ガイドライン	ガイドラインは安全な手順を説明しています。
habitat	生息地	森は鳥の生息地です。
harbour	港	船が港に入りました。
headquarters	本部	会社の本社はダウンタウンに移転しました。
