simplified	SK	example_SK
甭	netreba	O túto vec sa netreba obávať
蹦	poskakovať	Šteniatko poskakovalo po tráve
迸发	vypuknúť	Z davu vypukol potlesk
逼迫	prinútiť	Prinútili ho podpísať zmluvu
鼻涕	nádcha	Dieťa je prechladnuté a stále mu tečie z nosa
比方	napríklad	Napríklad to môžeme najprv skúsiť na jeden mesiac
比喻	metafora	Táto metafora je veľmi živá
比重	podiel	Podiel sektora služieb je čoraz vyšší
鄙视	pohŕdať	Nepohŕdaj úsilím iných ľudí
弊病	nedostatok	Tento systém má dosť nedostatkov
弊端	nevýhoda	Nový plán vyriešil nevýhody starého systému
臂	rameno	Zranil si pravé rameno
闭塞	izolovaný	Doprava v tejto horskej dedine bola kedysi veľmi izolovaná
编织	pliesť	Stará mama pletie sveter
边疆	pohraničie	Mnohí vojaci strážia pohraničie krajiny
边界	hranica	Dve krajiny znovu vytýčili hranicu
边境	pohraničie	Pohraničné oblasti posilnili bezpečnostné kontroly
边缘	okraj	Pohár je položený na okraji stola
鞭策	povzbudzovať	Učiteľove slová ma vždy povzbudzovali
扁	plochý	Táto škatuľa je široká a plochá
贬低	znevažovať	Neznevažuj len tak úsilie iných ľudí
贬义	hanlivý význam	Toto slovo tu má hanlivý význam
便利	pohodlný	Metro robí cestovanie pohodlnejším
便条	odkaz	Na stole nechal odkaz
便于	vhodný	Tento dizajn je vhodný na používanie staršími ľuďmi
变故	nečakaná udalosť	V rodine sa náhle stala nečakaná udalosť
变迁	premeny	Premeny mesta ho hlboko dojali
变质	pokaziť sa	Mlieko sa pokazí, ak ho necháme príliš dlho stáť
辨认	identifikovať	Polícia ho požiadala, aby identifikoval osobu na fotografii
辩护	obhajovať	Advokát obhajoval obžalovaného
辩解	ospravedlňovať sa	Pokúšal sa ospravedlniť svoju chybu
辩证	dialekticky	Na tento problém by sme sa mali pozerať dialekticky
辫子	vrkoč	Malé dievča má dva vrkoče
遍布	rozšírený	Táto rastlina je rozšírená po celej krajine
标本	exemplár	V múzeu sú vystavené exempláre zvierat
标记	značka	Prosím urobte značky pri dôležitých odsekoch
标题	názov	Názov tohto článku je veľmi pútavý
表决	hlasovať	Zástupcovia budú hlasovať o návrhu
表态	vyjadriť postoj	Zatiaľ verejne nevyjadril svoj postoj
表彰	oceniť	Firma ocenila vynikajúcich zamestnancov
憋	zadržať	Zadržal smiech a nič nepovedal
别墅	vila	Kúpili si vilu na predmestí
别致	osobitý	Výzdoba tejto kaviarne je veľmi osobitá
别扭	neprirodzený	Táto veta znie trochu neprirodzene
濒临	na pokraji	Toto zviera je na pokraji vyhynutia
冰雹	krupobitie	Včera popoludní bolo silné krupobitie
丙	skupina C	Zápas skupiny C sa začína popoludní
并非	nie je	Veci nie sú také, ako si predstavuješ
并列	deliť sa o	Oba projekty sa delia o prvé miesto
剥削	vykorisťovanie	V starej spoločnosti existovalo vážne vykorisťovanie
拨	vytočiť	Prosím vytočte toto telefónne číslo
播种	siať	Na jar začínajú farmári siať semená
波浪	vlna	Na mori sa zdvihli obrovské vlny
波涛	vlnobitie	Loď sa pohybovala vpred cez vlnobitie
伯母	teta	Tento víkend navštívim tetu
博大精深	široký a hlboký	Čínska kultúra je široká a hlboká
博览会	veľtrh	Medzinárodný veľtrh prilákal mnoho firiem
搏斗	biť sa	Polícia sa bila so zločincom
薄弱	slabý	Jeho gramatický základ je pomerne slabý
不顾	bez ohľadu na	Vbehol dnu bez ohľadu na nebezpečenstvo
不愧	zaslúžiť si	Naozaj si zaslúži označenie skúsený odborník
不料	nečakane	Nečakane bola schôdza náhle zrušená
不像话	nehorázny	Je nehorázne, že takto zaobchádzaš s hosťami
不屑一顾	opovrhovať	Tieto klebety opovržlivo odmietol
哺乳	dojčiť	Matka dojčí dieťa
捕捉	zachytiť	Fotograf zachytil nádherný okamih
补偿	odškodniť	Firma ťa odškodní za stratu
补救	napraviť	Ešte máme čas to napraviť
补贴	dotácia	Vláda poskytuje dotácie rodinám s nízkymi príjmami
不得已	nemať na výber	Rodné mesto opustil iba preto, že nemal na výber
不妨	nezaškodí	Najprv nezaškodí vypočuť si jeho vysvetlenie
不敢当	nezaslúžiť si	Takúto pochvalu si naozaj nezaslúžim
不禁	neubrániť sa	Keď počul tú správu, neubránil sa smiechu
不堪	neznesiteľný	Hluk je tu neznesiteľný
不可思议	neuveriteľný	Tento výsledok je naozaj neuveriteľný
不免	nevyhnutne	Na pódiu bol po prvý raz, a preto bol nevyhnutne trochu nervózny
不时	z času na čas	Z času na čas sa pozrel na hodiny
不惜	neváhať	Aby niekoho zachránil, neváhal riskovať
不相上下	vyrovnaný	Oba tímy sú vyrovnané
不言而喻	samozrejmý	Dôležitosť poctivosti je samozrejmá
不由得	nemôcť si pomôcť	Keď som videl starú fotografiu, nemohol som si pomôcť a spomenul som si na detstvo
不择手段	bez škrupúľ	Na zarábanie peňazí používa akékoľvek prostriedky
不止	viac než	Na schôdzi sa zúčastnilo viac než sto ľudí
布告	oznámenie	Pri školskej bráne bolo vyvesené oznámenie
布局	dispozícia	Dispozícia tohto bytu je veľmi rozumná
布置	zadať	Učiteľ zadal novú domácu úlohu
步伐	krok	Tím postupoval úhľadnými krokmi
部署	nasadiť	Firma nasadzuje nový predajný plán
部位	miesto	Lekár vyšetril zranené miesto
才干	schopnosť	V riadení je veľmi schopná
裁缝	krajčír	Tento krajčír je veľmi zručný
裁判	rozhodca	Rozhodca oznámil, že zápas je prerušený
裁员	prepúšťať	Firma sa pre straty rozhodla prepúšťať zamestnancov
财富	bohatstvo	Aj vedomosti sú druhom bohatstva
财务	financie	Finančné oddelenie kontroluje účty
财政	fiškálny	Fiškálne príjmy sa tento rok trochu zvýšili
彩票	žreb	Občas si kúpi žreb
采购	nakúpiť	Firma poslala niekoho nakúpiť vybavenie
采集	zbierať	Výskumníci zbierali vzorky v lese
采纳	prijať	Vedúci prijal náš návrh
参谋	radiť	Často radí manažérovi
参照	riadiť sa	Prosím vyplňte formulár podľa tohto vzoru
残疾	postihnutý	Táto stanica poskytuje pomoc postihnutým cestujúcim
残酷	krutý	Vojna je veľmi krutá
残留	zostať	V šálke ešte zostala vôňa kávy
残忍	krutý	Týranie zvierat je kruté správanie
灿烂	žiarivý	Ukázala žiarivý úsmev
仓促	unáhlený	Toto rozhodnutie bolo prijaté príliš unáhlene
仓库	sklad	Tovar už bol doručený do skladu
舱	kabína	Cestujúci vstupujú do kabíny
苍白	bledý	Jeho tvár vyzerala veľmi bledo
操劳	drieť	Matka pre túto rodinu dlhé roky drela
操练	cvičiť	Vojaci cvičia každé ráno
操纵	ovládať	Tento stroj ovláda počítač
操作	obsluhovať	Prosím obsluhujte zariadenie podľa návodu
嘈杂	hlučný	Na stanici je veľmi hlučno
草案	návrh	Výbor rokuje o návrhu
草率	ľahkovážny	Také dôležité rozhodnutie nemôže byť ľahkovážne
侧面	bok	Z boku vyzerá táto budova vyššia
测量	merať	Inžinier meria dĺžku mosta
策划	naplánovať	Naplánovali veľké podujatie
策略	stratégia	Táto stratégia pomohla firme znížiť náklady
层出不穷	objavovať sa jeden za druhým	Nové problémy sa stále objavujú jeden za druhým
层次	štruktúra	Štruktúra tohto článku je veľmi jasná
差别	rozdiel	Medzi týmito dvoma metódami nie je veľký rozdiel
插座	zásuvka	V tejto izbe nie je dosť zásuviek
查获	zhabať	Colníci zhabali dávku falošného tovaru
刹那	okamih	V okamihu zhasli všetky svetlá
岔	odbočka	Autá sa na križovatke vpredu rozdelili
诧异	prekvapený	Jeho rozhodnutie všetkých veľmi prekvapilo
柴油	nafta	Tento kamión používa naftu
搀	podoprieť	Zdravotná sestra podoprela starého človeka do oddelenia
缠绕	ovíjať sa	Vinič sa ovíja okolo konárov
馋	mať chuť	Keď dieťa videlo koláč, dostalo naň chuť
产业	odvetvie	Turizmus je tu dôležité odvetvie
阐述	vysvetliť	Profesor podrobne vysvetlil svoj názor
颤抖	triasť sa	Bola jej taká zima, že sa jej triaslo celé telo
昌盛	prosperujúci	Dúfame, že krajina bude prosperujúca a silná
偿还	splatiť	Pôžičku splatil načas
尝试	skúsiť	Môžeme skúsiť novú metódu
场合	príležitosť	Takáto príležitosť nie je vhodná na žarty
场面	scéna	Svadobná scéna bola veľmi živá
场所	miesto	Toto je verejné miesto, prosím nefajčite
敞开	nechať otvorené	Prosím nechajte okno chvíľu dokorán otvorené
倡导	presadzovať	Škola presadzuje zdravý životný štýl
倡议	iniciatíva	Táto environmentálna iniciatíva získala podporu
畅通	priechodný	Keď dážď prestal, cesta bola znovu priechodná
畅销	dobre sa predávať	Tento román sa veľmi dobre predáva
超越	prekonať	Napokon prekonal vlastný rekord
钞票	bankovka	V peňaženke zostalo iba niekoľko bankoviek
嘲笑	vysmievať sa	Nevysmievaj sa nedostatkom iných ľudí
巢穴	brloh	Poľovník objavil zvierací brloh
朝代	dynastia	Dynastia Tang je dynastiou v čínskych dejinách
潮流	trend	Mladí ľudia pozorne sledujú módne trendy
撤退	ustúpiť	Jednotky po prijatí rozkazu ustúpili
撤销	zrušiť	Súd zrušil pôvodný rozsudok
沉淀	usadiť sa	Bahno sa bude pomaly usádzať
沉闷	dusný	Dnešné počasie je horúce a dusné
沉思	zamyslený	Sedel pri okne hlboko zamyslený
沉重	ťaživý	Táto správa v každom vyvolala ťaživý pocit
沉着	pokojný	Pri nebezpečenstve zostaň pokojný
陈旧	zastaraný	Tento stroj je už veľmi zastaraný
陈列	vystaviť	Vo výstavnej sieni je vystavených mnoho kultúrnych pamiatok
陈述	uviesť	Prosím jasne uveďte fakty
称心如意	uspokojivý	Táto práca je preňho veľmi uspokojivá
衬托	zvýrazniť	Biela stena zvýrazňuje farbu kvetov
称号	titul	Získal titul vynikajúceho učiteľa
乘	jazdiť	Každý deň jazdím do práce metrom
呈现	nadobudnúť	Obloha nadobudla slabú červenú farbu
城堡	hrad	Na vrchole hory je starý hrad
惩罚	potrestať	Škola potrestá študentov, ktorí podvádzajú
成本	náklady	Rast cien surovín zvýšil náklady
成交	uzavrieť obchod	Tento obchod bol napokon uzavretý
成天	celý deň	Celý deň sedí pred počítačom
成效	výsledok	Nová metóda riadenia rýchlo ukázala výsledky
成心	úmyselne	Nechcel ťa úmyselne priviesť do rozpakov
成员	člen	Každý člen sa musí zúčastniť schôdze
承办	usporiadať	Táto firma usporiadala výstavu
承包	prevziať	Zmluvne prevzali tento projekt
承诺	sľúbiť	Sľúbil, že úlohu dokončí načas
橙	pomaranč	Kúpil som niekoľko čerstvých pomarančov
澄清	objasniť	Manažér vystúpil, aby objasnil nedorozumenie
盛	nabrať	Nabrala hosťovi misku polievky
诚挚	úprimný	Prosím prijmite moje úprimné poďakovanie
秤	váha	Táto váha nie je veľmi presná
吃苦	znášať ťažkosti	Mladí ľudia by sa mali naučiť znášať ťažkosti
吃力	namáhavý	Presunúť túto škatuľu je veľmi namáhavé
持久	trvalý	Úspech si vyžaduje trvalé úsilie
迟钝	pomalý	Jeho reakcie sú v poslednom čase trochu pomalé
迟缓	spomaliť	Po daždi sa doprava spomalila
迟疑	váhať	Pred odpoveďou na chvíľu zaváhala
赤道	rovník	V blízkosti rovníka je horúco po celý rok
赤字	deficit	Firma tento rok vykázala deficit
充当	pôsobiť ako	V projekte pôsobil ako koordinátor
充沛	plný energie	Deti sú plné energie
充实	naplňujúci	Táto skúsenosť urobila môj život naplňujúcejším
充足	dostatočný	Pred cestou si pripravte dostatok vody
冲动	impulz	Nerob rozhodnutie z okamžitého impulzu
冲击	zasiahnuť	Nová technológia zasiahla tradičné odvetvia
冲突	konflikt	Obe strany sa snažili vyhnúť konfliktu
崇拜	obdivovať	Mnohí mladí ľudia obdivujú tohto vedca
崇高	vznešený	Povinnosť lekára je vznešená
崇敬	vážiť si	Študenti si tohto učiteľa veľmi vážia
重叠	prekrývať sa	Tieto dve úlohy sa čiastočne prekrývajú
稠密	hustý	Tu je obyvateľstvo veľmi husté
筹备	pripravovať	Pripravujú svadbu
丑恶	škaredý	Odhalil škaredú pravdu za touto udalosťou
出路	východisko	Vzdelanie môže mladým ľuďom dať viac východísk
出卖	zradiť	Nezradil by svojich priateľov
出身	pôvod	Pochádza z obyčajnej rodiny
出神	pohrúžený	Počúvala hudbu úplne pohrúžená
出息	sľubná budúcnosť	Toto dieťa bude mať sľubnú budúcnosť
初步	predbežný	Dosiahli sme predbežnú dohodu
除	okrem	Všetci okrem neho už prišli
储备	rezerva	Firma potrebuje vytvoriť väčšiu rezervu prostriedkov
储存	uložiť	Tieto údaje sa uložia automaticky
储蓄	sporiť	Každý mesiac si sporí časť platu
处分	disciplinárny trest	Škola mu udelila vážny disciplinárny trest
处境	situácia	Ich súčasná situácia je veľmi ťažká
处置	naložiť s	Toto staré zariadenie treba riadne spracovať
触犯	porušiť	Takýmto konaním porušíš zákon
川流不息	neustály prúd	Na ulici je neustály prúd vozidiel
穿越	prejsť cez	Vlak prešiel cez dlhý tunel
传达	odovzdať	Prosím odovzdajte túto správu všetkým
传单	leták	Dobrovoľníci rozdávali letáky na ulici
传授	odovzdať	Učiteľ odovzdal študentom skúsenosti
船舶	plavidlo	V prístave kotví mnoho plavidiel
喘气	lapať po dychu	Po behu neustále lapal po dychu
串	navliecť	Navliekla koráliky na náhrdelník
床单	plachta	Prosím vymeňte posteľnú plachtu
创立	založiť	Spoločne založili túto firmu
创新	inovácia	Rozvoj podniku si vyžaduje neustálu inováciu
创业	podnikať	Mnohí mladí ľudia sa rozhodnú podnikať
创作	tvoriť	Spisovateľ tvorí rozsiahly román
吹牛	chváliť sa	Nechváľ sa, ukáž dôkazy
吹捧	vychvaľovať	Médiá tento produkt nadmerne vychvaľovali
炊烟	dym z komínov	Večer sa z dediny zdvíhal dym z komínov
垂直	kolmý	Tieto dve čiary sú na seba kolmé
锤	kladivo	Robotník udrel kladivom do železnej platne
纯粹	čisto	Jeho pomoc bola čisto z dobrej vôle
纯洁	čistý	Srdce dieťaťa je veľmi čisté
慈善	charita	Táto firma sa často zapája do charitatívnych aktivít
慈祥	láskavý	Babičkin úsmev je veľmi láskavý
磁带	kazeta	Táto stará kazeta sa ešte dá prehrať
雌雄	samec a samica	Samec a samica tohto vtáka majú rôzne farby
伺候	starať sa	Zdravotná sestra sa starostlivo starala o pacienta
刺	tŕň	Na konári ruže je mnoho tŕňov
次品	chybný výrobok	Tieto chybné výrobky sa nemôžu predávať
次序	poradie	Prosím zoraďte sa podľa poradia
丛	trs	Pri ceste je trs divých kvetov
从容	pokojne	Na otázku odpovedala pokojne
凑合	postačiť	Izba nie je veľká, ale na bývanie postačí
粗鲁	hrubý	Hovorí príliš hrubo
窜	vbehnúť	Tá mačka zrazu vbehla do izby
摧残	zničiť	Dlhodobé znečistenie zničí tento les
脆弱	krehký	Sklenené výrobky sú veľmi krehké
搓	šúchať	Šúchal si studené ruky
磋商	rokovať	Obe strany budú pokračovať v rokovaniach
挫折	neúspech	Každý sa stretáva s neúspechmi
搭	ísť	Na letisko ideme autobusom
搭档	partner	Už mnoho rokov je mojím pracovným partnerom
搭配	hodiť sa	Táto bunda a nohavice sa k sebe dobre hodia
答辩	obhajoba	Doktorand sa pripravuje na obhajobu práce
答复	odpoveď	Prosím dajte mi odpoveď čo najskôr
达成	dosiahnuť	Obe strany napokon dosiahli dohodu
打包	zabaliť	Čašník nám zabalil zvyšky jedla
打官司	súdiť sa	Pre spor o zmluvu sa súdili
打击	úder	Tento neúspech bol preňho veľkým úderom
打架	biť sa	Študenti, ktorí sa bijú v škole, budú potrestaní
打量	prezerať si	Prezerala si ma od hlavy po päty
打猎	loviť	Tu je lov zakázaný
打仗	vojna	Nikto nechce ísť do vojny
大不了	v najhoršom prípade	V najhoršom prípade to zajtra skúsime znova
大臣	minister	Kráľ zvolal niekoľkých ministrov
大伙儿	všetci	Všetci čakajú na tvoje rozhodnutie
大肆	vo veľkom	Obchodník vo veľkom propagoval nový produkt
大体	v zásade	Plán je v zásade v poriadku
大意	hlavná myšlienka	Prosím najprv vysvetlite hlavnú myšlienku tohto článku
大致	zhruba	Zhruba rozumiem, čo sa stalo
歹徒	zločinec	Polícia rýchlo chytila zločinca
代价	cena	Úspech si často vyžaduje zaplatiť cenu
代理	zastupovať	Dočasne zastupuje manažéra
带领	viesť	Učiteľ viedol študentov na návštevu múzea
怠慢	zanedbať	Nesmieme zanedbať hostí
逮捕	zatknúť	Polícia zatkla hlavného podozrivého
担保	záruka	Banka vyžaduje, aby niekto poskytol záruku
胆怯	bojazlivý	Pri prvom prejave bol trochu bojazlivý
淡季	mimosezóna	Letenky sú v cestovnej mimosezóne lacnejšie
淡水	sladká voda	Tento druh ryby môže žiť iba v sladkej vode
蛋白质	bielkovina	Vajcia obsahujú veľa bielkovín
诞辰	výročie narodenia	Dnes je výročie narodenia tohto spisovateľa
诞生	zrodiť sa	Táto myšlienka sa zrodila počas diskusie
当场	na mieste	Na mieste priznal svoju chybu
当初	spočiatku	Spočiatku sme všetci podporovali toto rozhodnutie
当代	súčasný	Súčasná spoločnosť sa mení veľmi rýchlo
当面	osobne	Problémy je najlepšie jasne vysvetliť osobne
当前	v súčasnosti	V súčasnosti je najdôležitejšie zaistiť bezpečnosť
当事人	zúčastnená osoba	Polícia vypočúva zúčastnenú osobu
当务之急	najvyššia priorita	Vyriešiť problém bývania je najvyššia priorita
当选	byť zvolený	Úspešne bola zvolená za predsedníčku
党	strana	Táto strana navrhla novú politiku
档案	záznam	Škola uchovávala záznamy študentov
档次	úroveň	Tento hotel je na vysokej úrovni
倒闭	skrachovať	Ten malý obchod minulý rok skrachoval
导弹	raketa	Správy informovali o skúške rakety
导航	navigácia	Prosím zapnite navigáciu v telefóne
导向	orientácia	Vzdelávacia politika by mala byť orientovaná na spravodlivosť
捣乱	robiť neporiadok	Prosím nerob v triede neporiadok
盗窃	krádež	Obchodné centrum posilnilo opatrenia proti krádežiam
稻谷	ryža	Farmári zberajú ryžu
得不偿失	nevyplatiť sa	Kúpiť nekvalitný materiál kvôli úspore sa nevyplatí
得力	schopný	Je schopným asistentom manažéra
得天独厚	jedinečná výhoda	Toto mesto má jedinečné geografické výhody
得罪	uraziť	Nechcem uraziť kolegov pre maličkosť
灯笼	lampión	Počas Sviatku jari visia pri dverách červené lampióny
登录	prihlásiť sa	Prosím najprv sa prihláste do svojho účtu
登陆	doraziť na pevninu	Tajfún môže dnes večer doraziť na pevninu v pobrežných oblastiach
蹬	šliapnuť	Silno šliapol nohou a bicykel sa pohol
等候	čakať	Cestujúci čakajú v hale na nástup
等级	úroveň	Tento softvér má rôzne úrovne členstva
瞪	zazerať	Nahnevane na mňa zazeral
堤坝	hrádza	Po silnom daždi treba hrádzu starostlivo skontrolovať
敌视	nepriateľský	Nemali by sme byť nepriateľskí voči odlišným názorom
抵达	doraziť	Lietadlo dorazilo do Pekingu načas
抵抗	odolávať	Dedina spoločne odolávala povodni
抵制	bojkotovať	Spotrebitelia začali bojkotovať nekvalitné výrobky
地步	stav	Vec ešte nedošla do takého vážneho stavu
地势	terén	Terén je tu vysoký, takže voda sa ľahko nehromadí
地质	geológia	Odborníci skúmajú miestne geologické podmienky
递增	rásť	Predaj rástol tri mesiace po sebe
颠簸	hrboľatý	Horská cesta je hrboľatá, preto jazdite opatrne
颠倒	prevrátiť	Prevrátil si poradie tých dvoch čísel
典礼	ceremónia	Promočná ceremónia sa bude konať v aule
典型	typický	Toto je typický prípad úspechu
点缀	ozdobiť	Niekoľko drobných kvetov ozdobilo jedálenský stôl
垫	podložiť	Prosím podložte tento papier pod pohár
奠定	položiť základ	Táto spolupráca položila základ dlhodobému vzťahu
惦记	mať starosť	Matka má vždy starosť o dieťa ďaleko od nej
电源	napájanie	Pred odchodom prosím vypnite napájanie
叼	držať v ústach	Ten pes drží v ústach kosť
雕刻	vyrezávať	Rád vyrezáva vzory do dreva
雕塑	socha	V strede námestia je socha
吊	zdvihnúť	Robotníci použili stroj na zdvihnutie oceľového nosníka
调动	presunúť	Firma ho presunula pracovať do Šanghaja
跌	klesnúť	Cena akcií dnes opäť klesla
丁	kocka	V recepte sa píše nakrájať zemiaky na kocky
叮嘱	opakovane pripomínať	Učiteľ nám opakovane pripomínal, aby sme dbali na bezpečnosť
盯	upierať zrak	Prosím neupierajte stále zrak na iných
定期	pravidelný	Lekár mu odporučil pravidelné lekárske prehliadky
定义	definícia	Prosím najprv vysvetlite definíciu tohto pojmu
丢人	trápny	Klamať na verejnosti je naozaj trápne
丢三落四	zábudlivý	Je stále zábudlivý a často si pri odchode zabudne kľúče
东道主	hostiteľ	Ako hostitelia by sme sa mali dobre postarať o hostí
东张西望	obzerať sa	Počas vyučovania sa neobzeraj okolo seba
董事长	predseda predstavenstva	Predseda predstavenstva sa dnes zúčastnil schôdze
冻结	zmraziť	Banka dočasne zmrazila tento účet
动荡	nepokoj	Vojna udržiavala tento región dlho v nepokoji
动机	motív	Polícia vyšetruje jeho motív
动静	zvuk alebo pohyb	V izbe nebolo počuť ani najmenší zvuk ani pohyb
动力	motivácia	Záujem je motiváciou k učeniu
动脉	tepna	Lekár mu vyšetril tepnu
动身	vyraziť	Zajtra ráno skoro vyrazíme na letisko
动手	pustiť sa do bitky	Vec ešte nie je jasná, preto sa nikto nemá púšťať do bitky
动态	vývoj	Prosím sledujte vývoj projektu
动员	mobilizovať	Škola mobilizovala študentov, aby sa zapojili do dobrovoľníckych aktivít
栋	budova	Táto budova má dvadsať poschodí
兜	vrecko	Kľúče si vložil do vrecka kabáta
陡峭	strmý	Táto horská cesta je veľmi strmá
斗争	boj	Bojujú za ochranu životného prostredia
督促	urgovať	Manažér všetkých urgoval, aby úlohu dokončili načas
毒品	drogy	Colníci zhabali dávku drog
独裁	diktatúra	Ľudia odmietajú diktatúru
堵塞	upchať	Odpad upchal kanalizáciu
赌博	hazard	Hazard môže priniesť vážne následky
杜绝	ukončiť	Firma vyžaduje ukončiť plytvanie
端	niesť	Vošiel a niesol šálku horúceho čaju
端午节	Sviatok dračích člnov	Počas Sviatku dračích člnov jeme zongzi
端正	napraviť	Študenti by mali napraviť svoj postoj k učeniu
短促	krátky	Vydal krátky povzdych
断定	určiť	Zatiaľ nemožno určiť, kto má pravdu a kto nie
断绝	prerušiť	Po nehode dedina stratila kontakt s vonkajším svetom
堆积	hromadiť sa	Sneh sa hromadil pri kraji cesty
兑现	splniť	Napokon splnil svoj sľub
对策	protiopatrenie	Pri rizikách potrebujeme protiopatrenia
对称	súmerný	Ľavá a pravá strana tejto budovy sú veľmi súmerné
对付	poradiť si s	S týmto problémom nie je ľahké poradiť si
对抗	čeliť	Oba tímy sa stretnú vo finále
对立	protichodný	Stanoviská oboch strán sú úplne protichodné
对联	párový nápis	Počas Sviatku jari nalepujú na dvere párové nápisy
对应	zodpovedať	Každé číslo zodpovedá jednému sedadlu
对照	porovnať	Prosím porovnajte preklad s pôvodným textom
