source_headword	SI	example_SI
investigate	පරීක්ෂා කරන්න	පොලිසිය අනතුර පරීක්ෂා කරනු ඇත.
involved	සම්බන්ධ වූ	සිසුන් කිහිපදෙනෙක් සම්බන්ධ වූහ.
iron	යකඩ	දොරටුව යකඩින් සාදා ඇත.
issue	ගැටලුව	මෙය බැරෑරුම් ගැටලුවකි.
IT	තොරතුරු තාක්ෂණය	ඇය තොරතුරු තාක්ෂණ ක්ෂේත්‍රයේ වැඩ කරයි.
journal	දිනපොත	ඔහු දිනපොතක ලියයි.
judge	විනිසුරු	විනිසුරු අවධානයෙන් ඇසුවේය.
keen	උනන්දු	ඇය ඉගෙනීමට උනන්දුය.
keyboard	යතුරු පුවරුව	මගේ යතුරු පුවරුව වැඩ නැවැත්තුවේය.
kick	පයින් ගසන්න	බෝලයට මෘදු ලෙස පයින් ගසන්න.
killing	ඝාතනය	ඝාතනය ගම කම්පනයට පත් කළේය.
kind (caring)	කරුණාවන්ත	එය කරුණාවන්ත දෙයක් විය.
kiss	සිඹීම	ඇය බිළිඳාට සිඹීමක් දුන්නාය.
label	ලේබලය	භාවිතයට පෙර ලේබලය කියවන්න.
laboratory	රසායනාගාරය	රසායනාගාරය අද වසා ඇත.
lack	හිඟය	නින්දේ හිඟය මතකයට හානි කරයි.
latest	නවතම	ඔබ නවතම වාර්තාව කියවා තිබේද?
lay	තබන්න	පොත මේසය මත තබන්න.
layer	ස්ථරය	තවත් තීන්ත ස්ථරයක් එක් කරන්න.
leading	ප්‍රමුඛ	ඇය ප්‍රමුඛ විද්‍යාඥවරියකි.
leaf	කොළය	කොළයක් මගේ කබාය මත වැටුණි.
leather	සම්	ඔහුගේ බෑගය සම්වලින් සාදා ඇත.
legal	නීත්‍යානුකූල	අපට නීත්‍යානුකූල උපදෙස් අවශ්‍යයි.
leisure	විවේකය	කියවීම මගේ ප්‍රියතම විවේක ක්‍රියාවයි.
length	දිග	කාමරයේ දිග මැන බලන්න.
lie2 (tell a lie)	බොරු කියන්න	ඔබේ දෙමාපියන්ට බොරු නොකියන්න.
limit	සීමාව	වේග සීමාව පනහකි.
lip	තොල්	ඇය තම තොල කෑවාය.
liquid	දියර	ජලය පැහැදිලි දියරයකි.
literature	සාහිත්‍යය	ඇය ප්‍රංශ සාහිත්‍යය අධ්‍යයනය කරයි.
live2	සජීවී	සංගීත කණ්ඩායම ඊයේ රාත්‍රියේ සජීවීව වාදනය කළේය.
living	ජීවමාන	ජීවමාන ශාකවලට ආලෝකය අවශ්‍යය.
locate	සොයා ගන්න	ඔබට ගොනුව සොයා ගත හැකිද?
located	පිහිටා ඇති	කාර්යාලය නගර මධ්‍යයේ පිහිටා ඇත.
location	ස්ථානය	මෙය හොඳ ස්ථානයකි.
lonely	තනිකම	ඔහු මාරු වූ පසු තනිකමක් දැනුණි.
loss	පාඩුව	පාඩුව සෑම කෙනෙකුටම දුෂ්කර විය.
luxury	සුඛෝපභෝගී	හෝටලය සැබෑ සුඛෝපභෝගී බවක් ලබා දෙයි.
mad	කෝප වූ	ප්‍රමාදය ගැන ඇය කෝප වූවාය.
magic	මායාව	ප්‍රදර්ශනය මායාවෙන් පිරී තිබුණි.
mainly	ප්‍රධාන වශයෙන්	කණ්ඩායම ප්‍රධාන වශයෙන් සිසුන්ය.
mall	සාප්පු සංකීර්ණය	අපි සාප්පු සංකීර්ණයේදී හමු වුණෙමු.
management	කළමනාකරණය	හොඳ කළමනාකරණය කාලය සුරකී.
marketing	අලෙවිකරණය	අලෙවිකරණය නිෂ්පාදනය විකිණීමට උපකාරී වේ.
marriage	විවාහය	ඔවුන්ගේ විවාහය අවුරුදු තිහක් පැවතුණි.
meanwhile	මේ අතර	මේ අතර මම රාත්‍රී ආහාරය පිසුවෙමි.
measure	මැන බලන්න	මේසය සැලකිල්ලෙන් මැන බලන්න.
medium	මධ්‍යම	මම මධ්‍යම පීසා එකක් ඇණවුම් කළෙමි.
mental	මානසික	ආතතිය මානසික සෞඛ්‍යයට බලපායි.
mess	අවුල	මෙම අවුල පිරිසිදු කරන්න.
mild	මෘදු	සුප් එකට මෘදු රසයක් ඇත.
mine (hole in the ground)	පතල	පතල පසුගිය වසරේ වසා දැමුණි.
mix	මිශ්‍ර කරන්න	බිත්තර කිරි සමඟ මිශ්‍ර කරන්න.
mixture	මිශ්‍රණය	මිශ්‍රණය ඝන විය.
mood	මනෝභාවය	සංගීතය ඇගේ මනෝභාවය වෙනස් කළේය.
mud	මඩ	ඔහුගේ සපත්තු මඩින් වැසී තිබුණි.
murder	ඝාතනය	ඝාතනය රාත්‍රියේ සිදු විය.
muscle	පේශිය	ව්‍යායාමය පේශි ගොඩනගයි.
mystery	අභිරහස	පැරණි නිවස අභිරහසකි.
nail	නිය	මගේ නියක් කැඩුණි.
narrative	ආඛ්‍යානය	නවකතාවට පැහැදිලි ආඛ්‍යානයක් ඇත.
nation	ජාතිය	මුළු ජාතියම සමරුවාය.
native	ස්වදේශීය	ස්පාඤ්ඤ භාෂාව ඇගේ මව් භාෂාවයි.
naturally	ස්වභාවිකව	දරුවන් ක්‍රීඩාවෙන් ස්වභාවිකව ඉගෙන ගනිති.
necessarily	අවශ්‍යයෙන්ම	මිල අධික ආහාර අවශ්‍යයෙන්ම හොඳ නොවේ.
needle	ඉඳිකටුව	ඉඳිකටුව ඉතා තියුණුය.
neighbourhood	අසල්වැසි ප්‍රදේශය	ඔවුන් නිහඬ අසල්වැසි ප්‍රදේශයක ජීවත් වෙති.
net	දැල	ධීවරයා තම දැල අලුත්වැඩියා කළේය.
nor	නොද	ඔහු සිනහ නොවූ අතර කතා කළේද නැත.
northern	උතුරු	ඔවුන් උතුරු වෙරළට ගියහ.
nuclear	න්‍යෂ්ටික	විවාදය න්‍යෂ්ටික බලය ගැන විය.
obvious	පැහැදිලි	පිළිතුර පැහැදිලි විය.
obviously	පැහැදිලිවම	පැහැදිලිවම අපට තවත් කාලය අවශ්‍යයි.
occasion	අවස්ථාව	මෙය විශේෂ අවස්ථාවකි.
occur	සිදු වන්න	අනතුරු ඕනෑම තැනක සිදු විය හැක.
odd	අමුතු	එය අමුතු ප්‍රශ්නයක් විය.
official	නිල	නිල ප්‍රතිඵලය අද පැමිණියේය.
old-fashioned	පැරණි විලාසිතාවේ	ඇගේ දුරකථනය පැරණි විලාසිතාවේ පෙනේ.
operation	සැත්කම	සැත්කම පැය දෙකක් පැවතුණි.
organized	සංවිධානාත්මක	ඇගේ මේසය ඉතා සංවිධානාත්මකය.
organizer	සංවිධායකයා	සංවිධායකයා අමුත්තන් පිළිගත්තේය.
originally	මුලින්	ඇය මුලින් කැනඩාවෙන් පැමිණියාය.
ought modal	යුතුය	ඔබ විවේක ගත යුතුය.
ours	අපගේ එක	මෙම මේසය අපගේ එකයි.
outdoor	එළිමහන්	අපි එළිමහන් ගෘහ භාණ්ඩ මිලදී ගත්තෙමු.
outdoors	එළියේ	දරුවන් එළියේ සෙල්ලම් කළ යුතුය.
package	පැකේජය	පැකේජය අද උදෑසන පැමිණියේය.
painful	වේදනාකාරී	කැපුම වේදනාකාරී විය.
pale	පැහැය නැති	ඔහුගේ මුහුණ පැහැය නැති ලෙස පෙනුණි.
pan	භාජනය	මුලින් භාජනය රත් කරන්න.
participate	සහභාගී වන්න	සෑම කෙනෙකුටම සහභාගී විය හැක.
particularly	විශේෂයෙන්	මම විශේෂයෙන් මෙම ගීතයට කැමතියි.
passion	දැඩි ආශාව	සංගීතය ඇගේ දැඩි ආශාවයි.
path	මාර්ගය	උද්‍යානය හරහා මාර්ගය අනුගමනය කරන්න.
payment	ගෙවීම	ගෙවීම හෙටට නියමිතය.
peaceful	සාමකාමී	උද්‍යානය සාමකාමීය.
percentage	ප්‍රතිශතය	කුඩා ප්‍රතිශතයක් එකඟ විය.
perfectly	පරිපූර්ණ ලෙස	සැලැස්ම පරිපූර්ණ ලෙස ක්‍රියා කළේය.
performance	කාර්ය සාධනය	ඇගේ කාර්ය සාධනය විශිෂ්ට විය.
personally	පුද්ගලිකව	මම පුද්ගලිකව තේ වඩා කැමතියි.
persuade	ඒත්තු ගන්වන්න	ඔහුට එක් වීමට ඔබට ඒත්තු ගැන්විය හැකිද?
photographer	ඡායාරූප ශිල්පියා	ඡායාරූප ශිල්පියා බොහෝ පින්තූර ගත්තේය.
photography	ඡායාරූපකරණය	ඡායාරූපකරණය ඔහුගේ ප්‍රියතම විනෝදාංශයයි.
pin	පිනය	සිතියම මත පිනයක් තබන්න.
pipe	නලය	නලය ජලය ගෙන යයි.
planning	සැලසුම් කිරීම	සැලසුම් කිරීම කාලය ගනී.
pleasant	ප්‍රසන්න	අපට ප්‍රසන්න සන්ධ්‍යාවක් තිබුණි.
pleasure	සතුට	ඔබ හමුවීම සතුටක් විය.
plenty	බහුල	අපට බහුල කාලය ඇත.
plot	කථා වස්තුව	කථා වස්තුව අනුගමනය කිරීමට පහසු විය.
plus1	එකතු	දෙක එකතු තුන පහයි.
poem	කවිය	ඇය කෙටි කවියක් ලිව්වාය.
poet	කවියා	කවියා හඬ නඟා කියවීය.
poetry	කාව්‍යය	ඔහු නවීන කාව්‍යය රස විඳියි.
poison	වස	වස දරුවන්ගෙන් ඈත් කර තබන්න.
poisonous	විෂ සහිත	සමහර හතු විෂ සහිතය.
policy	ප්‍රතිපත්තිය	සමාගම තම ප්‍රතිපත්තිය වෙනස් කළේය.
political	දේශපාලන	කථාව දේශපාලන විය.
politician	දේශපාලනඥයා	දේශපාලනඥයා ප්‍රශ්නවලට පිළිතුරු දුන්නේය.
politics	දේශපාලනය	දේශපාලනය සංකීර්ණ විය හැක.
port	වරාය	නැව වරායට ඇතුළු විය.
portrait	ප්‍රතිරූපය	ප්‍රතිරූපය ශාලාවේ එල්ලී ඇත.
possibly	සමහර විට	ඇය සමහර විට ප්‍රමාද වී පැමිණෙනු ඇත.
pot	බඳුන	ශාකයට විශාල බඳුනක් අවශ්‍යයි.
pour	වත් කරන්න	කිරි සෙමින් වත් කරන්න.
poverty	දිළිඳුකම	බොහෝ පවුල් දිළිඳුකමේ ජීවත් වෙති.
powder	කුඩු	කුඩු ජලයට එක් කරන්න.
powerful	බලවත්	එන්ජිම බලවත්ය.
practical	ප්‍රායෝගික	මෙය ප්‍රායෝගික විසඳුමකි.
pray	යාච්ඤා කරන්න	ඔවුන් සෑම උදෑසනකම යාච්ඤා කරති.
prayer	යාච්ඤාව	ඇය නිහඬ යාච්ඤාවක් කළාය.
prediction	අනාවැකිය	ඔහුගේ අනාවැකිය නිවැරදි විය.
prepared	සූදානම්	මම විභාගයට සූදානම්ය.
presentation	ඉදිරිපත් කිරීම	ඇගේ ඉදිරිපත් කිරීම පැහැදිලි විය.
press	ඔබන්න	බොත්තම එක් වරක් ඔබන්න.
pressure	පීඩනය	පීඩනය ඔබේ සෞඛ්‍යයට බලපායි.
pretend	මවා පෙන්වන්න	නිදා සිටින බව මවා නොපෙන්වන්න.
previous	පෙර	පෙර පාඩම පහසු විය.
previously	පෙරදී	අපි පෙරදී රෝමයේ ජීවත් වුණෙමු.
priest	පූජකයා	පූජකයා මෘදු ලෙස කතා කළේය.
primary	ප්‍රාථමික	සෞඛ්‍යය අපගේ ප්‍රාථමික සැලකිල්ලයි.
prince	කුමාරයා	කුමාරයා පාසලට පැමිණියේය.
princess	කුමරිය	කුමරිය නිල් ඇඳුමක් ඇඳ සිටියාය.
printing	මුද්‍රණය	වාර්තාව මුද්‍රණය කිරීමට විනාඩි කිහිපයක් ගත විය.
prisoner	සිරකරුවා	සිරකරුවා රාත්‍රියේ පලා ගියේය.
private	පෞද්ගලික	මෙය පෞද්ගලික සංවාදයකි.
producer	නිෂ්පාදකයා	නිෂ්පාදකයා චිත්‍රපටයට කැමති විය.
production	නිෂ්පාදනය	නිෂ්පාදනය ලබන සතියේ ආරම්භ වේ.
profession	වෘත්තිය	ඉගැන්වීම ගෞරවනීය වෘත්තියකි.
profit	ලාභය	සාප්පුව ලාභයක් ලබා ගත්තේය.
promote	ප්‍රවර්ධනය කරන්න	ඔවුන් සෞඛ්‍ය සම්පන්න ආහාර ප්‍රවර්ධනය කරති.
proper	නිසි	ගමනට නිසි සපත්තු පළඳින්න.
properly	නිසි ලෙස	දොර නිසි ලෙස වසන්න.
property	දේපළ	ඔවුන් ගඟ අසල දේපළ මිලදී ගත්හ.
protest	විරෝධය	විරෝධය සාමකාමීව අවසන් විය.
proud	ආඩම්බර	ඇය තම පුතා ගැන ආඩම්බර විය.
prove	ඔප්පු කරන්න	ඔබේ පිළිතුර ඔප්පු කළ හැකිද?
punish	දඬුවම් කරන්න	ගුරුවරයා ඔහුට දඬුවම් කළේ නැත.
punishment	දඬුවම	දඬුවම සාධාරණ ලෙස පෙනුණි.
qualification	සුදුසුකම	මෙම රැකියාවට ඔබට සුදුසුකමක් අවශ්‍යයි.
qualified	සුදුසුකම් ලත්	ඇය සුදුසුකම් ලත් හෙදියකි.
qualify	සුදුසුකම් ලැබීම	අපගේ කණ්ඩායම සුදුසුකම් ලැබිය හැක.
queue	පෝලිම	අපි දිගු පෝලිමක බලා සිටියෙමු.
quit	අත්හරින්න	ඔහු දුම්පානය අත්හැරීමට තීරණය කළේය.
quotation	උපුටා දැක්වීම	රචනාව උපුටා දැක්වීමකින් ආරම්භ වේ.
quote	උපුටා දක්වන්න	මට ඔබේ වචන උපුටා දැක්විය හැකිද?
race (people)	ජාතිය	පෝරමය ජාතිය ගැන අසයි.
racing	තරඟ ධාවනය	අශ්ව තරඟ ධාවනය එහි ජනප්‍රියය.
range	පරාසය	සාප්පුව පුළුල් පරාසයක් විකුණයි.
rare	දුර්ලභ	මෙම කුරුල්ලා දුර්ලභය.
rarely	කලාතුරකින්	අපි කලාතුරකින් පිටත ආහාර ගනිමු.
reaction	ප්‍රතිචාරය	ඇගේ ප්‍රතිචාරය මාව පුදුමයට පත් කළේය.
reality	යථාර්ථය	යථාර්ථය ඔහුගේ සිහිනට වඩා වෙනස් විය.
receipt	රිසිට් පත	රිසිට් පත තබා ගන්න.
recommendation	නිර්දේශය	නිර්දේශයට ස්තුතියි.
reference	සඳහන	අවසානයේ සඳහනක් එක් කරන්න.
reflect	පරාවර්තනය කරන්න	දර්පණයට ආලෝකය පරාවර්තනය කළ හැක.
regularly	නිතිපතා	ඇය නිතිපතා ව්‍යායාම කරයි.
reject	ප්‍රතික්ෂේප කරන්න	ඔවුන් යෝජනාව ප්‍රතික්ෂේප කළ හැක.
relate	සම්බන්ධ වන්න	මට එම කතාවට සම්බන්ධ විය හැක.
related	සම්බන්ධිත	ගැටලු දෙක සම්බන්ධිතය.
relation	සම්බන්ධතාවය	ඒවා අතර සම්බන්ධතාවයක් ඇත.
relative	සාපේක්ෂ	වේගය සාපේක්ෂය.
relaxed	සැහැල්ලු	රාත්‍රී ආහාරයෙන් පසු ඔහු සැහැල්ලු විය.
relaxing	විවේකදායක	සංගීතය විවේකදායක විය.
release	නිකුත් කරන්න	ඔවුන් චිත්‍රපටය ඉක්මනින් නිකුත් කරනු ඇත.
reliable	විශ්වාසනීය	මෙම බස් රථය සාමාන්‍යයෙන් විශ්වාසනීයය.
religion	ආගම	ආගම ඇයට වැදගත්ය.
religious	ආගමික	ඔවුන් ආගමික ගොඩනැගිල්ලක් නැරඹූහ.
remain	ඉතිරිව සිටින්න	කරුණාකර සන්සුන්ව ඉතිරිව සිටින්න.
remind	මතක් කරන්න	හෙට මට මතක් කරන්න.
remote	දුරස්ථ	ඔවුන් දුරස්ථ ගමක ජීවත් වෙති.
rent	කුලිය	කුලිය අද ගෙවිය යුතුය.
repeated	නැවත නැවත වූ	නැවත නැවත වූ වැරදි වැඩ මන්දගාමී කළේය.
represent	නියෝජනය කරන්න	තරුව බලාපොරොත්තුව නියෝජනය කරයි.
require	අවශ්‍ය වීම	මෙම රැකියාවට පුහුණුව අවශ්‍ය වේ.
reservation	වෙන්කරවා ගැනීම	මම වෙන්කරවා ගැනීමක් කළෙමි.
resource	සම්පත	පුස්තකාලය ප්‍රයෝජනවත් සම්පතකි.
respect	ගෞරවය	ඔබේ පන්තියේ මිතුරන්ට ගෞරව කරන්න.
responsibility	වගකීම	ළමා රැකවරණය විශාල වගකීමකි.
responsible	වගකිව යුතු	ටිකට් සඳහා ඇය වගකිව යුතුය.
retire	විශ්‍රාම යන්න	මගේ පියා ඉක්මනින් විශ්‍රාම යනු ඇත.
retired	විශ්‍රාමික	ඔහු විශ්‍රාමික ගුරුවරයෙකි.
revise	සංශෝධනය කරන්න	අද රාත්‍රියේ ඔබේ රචනාව සංශෝධනය කරන්න.
risk	අවදානම	වැසි අවදානමක් ඇත.
robot	රොබෝව	රොබෝව බිම පිරිසිදු කළේය.
roll	පෙරළන්න	බෝලය මා වෙත පෙරළන්න.
romantic	ආදරමය	ඔවුන්ට ආදරමය රාත්‍රී ආහාරයක් තිබුණි.
rope	කඹය	කඹය දැඩිව බැඳන්න.
rough	රළු	මාර්ගය රළු විය.
row1	පේළිය	ඉදිරි පේළියේ වාඩි වන්න.
royal	රාජකීය	රාජකීය පවුල පැමිණියේය.
rugby	රග්බි	අපි රූපවාහිනියේ රග්බි නැරඹුවෙමු.
safety	ආරක්ෂාව	වැඩ කරන ස්ථානයේ ආරක්ෂාව වැදගත්ය.
sailor	නැවියා	නැවියා බෝට්ටුව අලුත්වැඩියා කළේය.
sample	නියැදිය	හෙදිය රුධිර නියැදියක් ගත්තාය.
sand	වැලි	වැලි මගේ සපත්තු වැසුවේය.
scan	ස්කෑන් කරන්න	මුලින් ලේඛනය ස්කෑන් කරන්න.
scientific	විද්‍යාත්මක	මෙය විද්‍යාත්මක ක්‍රමයකි.
script	තිර රචනය	නළුවා තිර රචනය කියවීය.
sculpture	මූර්තිය	මූර්තිය පිටත සිටියි.
secondary	ද්විතීයික	මෙය ද්විතීයික ගැටලුවකි.
security	ආරක්ෂාව	ආරක්ෂක අංශය අපගේ බෑග් පරීක්ෂා කළේය.
seed	බීජය	බීජය පසෙහි සිටුවන්න.
sensible	බුද්ධිමත්	එය බුද්ධිමත් අදහසකි.
seriously	බැරෑරුම් ලෙස	මෙම ගැටලුව බැරෑරුම් ලෙස ගන්න.
servant	සේවකයා	සේවකයා දොර විවෘත කළේය.
set (put)	තබන්න	වීදුරුව මේසය මත තබන්න.
set (group)	කට්ටලය	මෙම කට්ටලයට කෝප්ප හයක් ඇතුළත්ය.
setting	පසුබිම	කතාවට නගර පසුබිමක් ඇත.
sex	ලිංගය	පෝරමය වයස සහ ලිංගය අසයි.
sexual	ලිංගික	පන්තිය ලිංගික සෞඛ්‍යය සාකච්ඡා කළේය.
sharp	තියුණු	මෙම පිහිය තියුණුය.
shelf	රාක්කය	පොත රාක්කය මත තබන්න.
shell	කවචය	කවචය හිස් විය.
shift	වාරය	මගේ වාරය අටට ආරම්භ වේ.
shine	බැබළෙන්න	තරු රාත්‍රියේ බැබළෙයි.
shiny	දිලිසෙන	ඇගේ සපත්තු දිලිසෙනය.
shoot	රූගත කරන්න	ඡායාරූප ශිල්පියා දර්ශනය රූගත කරනු ඇත.
shy	ලැජ්ජාශීලී	ඔහු ආගන්තුකයන් සමඟ ලැජ්ජාශීලීය.
sight	දර්ශනය	කන්ද සුන්දර දර්ශනයක් විය.
signal	සංඥාව	සංඥාව දුර්වල විය.
silent	නිහඬ	කාමරය නිහඬ විය.
silly	මෝඩ	එය මෝඩ වැරැද්දක් විය.
similarity	සමානකම	පැහැදිලි සමානකමක් ඇත.
similarly	ඒ හා සමානව	දෙවන සැලැස්ම ඒ හා සමානව ක්‍රියා කරයි.
simply	සරලව	සරලව මෙම බොත්තම ඔබන්න.
sink	ගිලෙන්න	බර ගල් ඉක්මනින් ගිලෙයි.
slice	පෙත්ත	මම කේක් පෙත්තක් කෑවෙමි.
slightly	ස්වල්ප වශයෙන්	කාමරය ස්වල්ප වශයෙන් උණුසුම්ය.
smart	අලංකාර	ඇය අලංකාර ජැකට්ටුවක් ඇඳ සිටියාය.
smooth	සිනිඳු	මාර්ගය සිනිඳුය.
software	මෘදුකාංග	මෘදුකාංගයට යාවත්කාලීනයක් අවශ්‍යයි.
soil	පස	පස වියළිය.
solid	ඝන	බිත්තිය ඝනය.
southern	දකුණු	ඔවුන් දකුණු වෙරළේ ජීවත් වෙති.
specifically	විශේෂයෙන්ම	මම විශේෂයෙන්ම තේ ඉල්ලා සිටියෙමි.
spending	වියදම්	රජයේ වියදම් වැඩි විය.
spicy	කුළුබඩු සහිත	මෙම කරිය කුළුබඩු සහිතය.
spirit	උද්යෝගය	කණ්ඩායම මහත් උද්යෝගයක් පෙන්නුවේය.
spoken	කතා කරන	කතා කරන ඉංග්‍රීසි පුහුණුවෙන් දියුණු වේ.
spot	ස්ථානය	මෙම ස්ථානය පරිපූර්ණය.
spread	තවරන්න	පාන් මත බටර් තවරන්න.
stadium	ක්‍රීඩාංගණය	ක්‍රීඩාංගණය පිරී තිබුණි.
staff	කාර්ය මණ්ඩලය	කාර්ය මණ්ඩලය උපකාරී විය.
standard	ප්‍රමිතිය	ප්‍රමිතිය ඉහළ විය.
statistic	සංඛ්‍යා ලේඛනය	මෙම සංඛ්‍යා ලේඛනය පුදුම සහගතය.
statue	ප්‍රතිමාව	ප්‍රතිමාව චතුරස්‍රයේ සිටියි.
stick (push into/attach)	අලවන්න	ලේබලය පෙට්ටිය මත අලවන්න.
stick (piece of wood)	කෝටුව	ඔහු කෝටුවක් අතට ගත්තේය.
