source_headword	LT	example_LT
nominate	nominuoti	Jie pasiūlys naują pirmininką.
nomination	nominacija	Jos nominacija nustebino komitetą.
nominee	kandidatas	Kandidatas atsakė į sunkius klausimus.
nonetheless	vis dėlto	Vis dėlto, planas pasistūmėjo į priekį.
non-profit	ne pelno	Ji dirba ne pelno siekiančioje klinikoje.
nonsense	nesąmonė	Šis gandas yra visiška nesąmonė.
noon	vidurdienis	Susitikimas prasideda vidurdienį.
notable	reikšmingas	Ataskaita parodė reikšmingą pažangą.
notably	pastebimai	Pastebima, kad gegužę išlaidos sumažėjo.
notify	pranešti	Prašome pranešti personalui prieš išeinant.
notorious	liūdnai pagarsėjęs	Kelias yra liūdnai pagarsėjęs avarijomis.
novel	naujas	Jie pasiūlė naują sprendimą.
nursery	lopšelis	Lopšelis rūpinasi kūdikiais.
objection	prieštaravimas	Advokatas pareiškė prieštaravimą.
oblige	įpareigoti	Taisyklės įpareigoja vairuotojus sustoti.
obsess	būti apsėstam	Nebūkite apsėsti mažų klaidų.
obsession	apsėdimas	Jo apsėdimas pakenkė jo darbui.
occasional	atsitiktinis	Tikėtini pavieniai vėlavimai.
occurrence	įvykis	Toks įvykis yra retas.
odds	šansai	Sėkmės tikimybė padidėjo.
offering	pasiūla	Universitetas išplėtė savo pasiūlą.
offspring	palikuonis	Lapė saugojo savo palikuonius.
operational	veikiantis	Nauja sistema yra veikianti.
opt	pasirinkti	Daugelis studentų pasirenka internetines pamokas.
optical	optinis	Optinį lęšį reikia nuvalyti.
optimism	optimizmas	Po pranešimo sugrįžo optimizmas.
oral	žodinis	Žodinis egzaminas prasideda rytoj.
organizational	organizacinis	Organizaciniai pokyčiai prasidėjo nedelsiant.
orientation	orientacija	Seminaras apėmė darbuotojų orientaciją.
originate	kilti	Daugelis tradicijų kilusios kaimo vietovėse.
outbreak	protrūkis	Protrūkis išplito po miestą.
outing	išvyka	Klasė mėgavosi išvyka į muziejų.
outlet	išparduotuvė	Išparduotuvėje parduodami drabužiai su nuolaida.
outlook	perspektyva	Ekonominė perspektyva išlieka neaiški.
outrage	pasipiktinimas	Sprendimas sukėlė visuomenės pasipiktinimą.
outsider	pašalietis	Kaip pašalietė, ji pastebėjo problemų.
overlook	nepastebėti	Nepraleiskite smulkių detalių.
overly	pernelyg	Instrukcijos buvo pernelyg sudėtingos.
oversee	prižiūrėti	Ji prižiūrės projektą.
overturn	panaikinti	Teismas gali panaikinti nuosprendį.
overwhelm	priblokšti	Per didelis informacijos kiekis gali priblokšti besimokančiuosius.
overwhelming	triuškinantis	Įrodymai buvo triuškinantys.
pad	pagalvėlė	Naudokite pagalvėlę keliams apsaugoti.
parameter	parametras	Reguliuokite po vieną parametrą.
parental	tėvų	Tėvų parama pagerino lankomumą.
parish	parapija	Parapija surengė labdaros vakarienę.
parliamentary	parlamentinis	Parlamentiniai debatai truko valandas.
partial	dalinis	Ataskaitoje pateiktas dalinis atsakymas.
partially	iš dalies	Langas buvo iš dalies atidarytas.
passing	mirtis	Jos mirtis buvo staigi.
passive	pasyvus	Pasyvūs investuotojai priėmė stabilią grąžą.
pastor	pastorius	Pastorius aplankė šeimą.
patch	lopinys	Striukei reikia nedidelio lopinio.
patent	patentas	Įmonė užregistravo patentą.
pathway	kelias	Kelias veda į sertifikavimą.
patrol	patruliuoti	Naktį policija patruliuoja vietovėje.
patron	globėjas	Muziejus padėkojo savo globėjui.
peak	pikas	Paklausa pasiekė žiemos piką.
peasant	valstietis	Valstietis turėjo mažai žemės.
peculiar	savotiškas	Kambaryje buvo savotiškas kvapas.
persist	išlikti	Simptomai gali išlikti kelias dienas.
persistent	nuolatinis	Nuolatinis kosulys reikalauja dėmesio.
personnel	personalas	Personalo įrašai yra konfidencialūs.
petition	peticija	Peticija surinko tūkstančius parašų.
philosopher	filosofas	Filosofas kvestionavo įprastas prielaidas.
philosophical	filosofinis	Diskusija tapo filosofinė.
physician	gydytojas	Gydytojas paskyrė kraujo tyrimus.
pioneer	pradininkas	Ji tapo medicinos pradininke.
pipeline	vamzdynas	Vamzdynu po žeme teka dujos.
pirate	piratas	Piratų laivas pasirodė netoli kranto.
pit	duobė	Darbininkai iškasė gilią duobę.
plea	prašymas	Jo pagalbos prašymas buvo ignoruojamas.
plead	prisipažinti	Įtariamasis prisipažins kaltu.
pledge	pasižadėti	Jie pasižada remti reformas.
plug	įjungti	Įjunkite kabelį į lizdą.
plunge	smukti	Kainos po skandalo gali smukti.
pole	stulpas	Vėliava kabėjo ant stulpo.
poll	apklausa	Apklausa parodė besikeičiančias nuomones.
pond	tvenkinys	Antys perėjo užšalusį tvenkinį.
pop	sprogti	Balionai sprogsta šalia aštrių daiktų.
portfolio	portfelis	Jos portfelyje yra keli startuoliai.
portray	pavaizduoti	Filmas pavaizduos kaimo gyvenimą.
postpone	atidėti	Jie nusprendė atidėti posėdį.
post-war	pokario	Pokario būstų reikėjo skubiai.
practitioner	praktikas	Praktikas paaiškino gydymą.
preach	pamokslauti	Pastorius pamokslaus sekmadienį.
precedent	precedentas	Nuosprendis sukūrė svarbų precedentą.
precision	tikslumas	Mašina pjauna tiksliai.
predator	plėšrūnas	Plėšrūnas laukė prie upės.
predecessor	pirmtakas	Jos pirmtakas paliko išsamius užrašus.
predominantly	vyraujamai	Vietovė yra daugiausia gyvenamoji.
pregnancy	nėštumas	Nėštumo metu reikalinga reguliari medicininė priežiūra.
prejudice	išankstinis nusistatymas	Kampanija metė iššūkį rasiniam nusistatymui.
preliminary	preliminarus	Prelaminarūs rezultatai atrodo daug žadantys.
premier	premjeras	Premjeras šiandien kreipėsi į parlamentą.
premise	prielaida	Argumentas remiasi klaidinga prielaida.
premium	priemoka	Klientai mokėjo priemoką už greitį.
prescribe	išrašyti	Gydytojai atsargiai išrašo antibiotikus.
prescription	receptas	Recepto galiojimas baigiasi kitą mėnesį.
presently	šiuo metu	Šiuo metu ji nepasiekiama.
preservation	išsaugojimas	Išsaugojimas apsaugo istorinius pastatus.
preside	pirmininkauti	Teisėjas pirmininkaus teismui.
presidency	prezidentūra	Jo prezidentavimas truko aštuonerius metus.
presidential	prezidento	Prezidento rinkimai patraukė dėmesį.
prestigious	prestižinis	Ji laimėjo prestižinę stipendiją.
presumably	turbūt	Biuras šiandien turbūt uždarytas.
presume	daryti prielaidą	Manome, kad dokumentai yra tikri.
prevail	nugalėti	Sveikas protas turėtų nugalėti.
prevalence	paplitimas	Astmos paplitimas padidėjo.
prevention	prevencija	Prevencija yra pigesnė nei taisymas.
