source_headword	TA	example_TA
Thursday	வியாழக்கிழமை	நாம் வியாழக்கிழமை சந்திப்போம்.
ticket	சீட்டு; பயணச்சீட்டு	எனக்கு ஒரு சீட்டு வேண்டும்.
time	நேரம்; மணி	இப்போது என்ன நேரம்?
tired	சோர்வாக	நான் சோர்வாக இருக்கிறேன்.
title	தலைப்பு	தலைப்பைப் படி.
to	க்கு; நோக்கி; ஆக	நான் வகுப்புக்கு செல்கிறேன்.
today	இன்று	இன்று வெயில் உள்ளது.
together	ஒன்றாக	நாம் ஒன்றாக சாப்பிடுகிறோம்.
toilet	கழிப்பறை	கழிப்பறை சுத்தமாக உள்ளது.
tomato	தக்காளி	இந்த தக்காளி சிவப்பு.
tomorrow	நாளை	நாளை சந்திப்போம்.
tonight	இன்று இரவு	நாம் இன்று இரவு படிக்கிறோம்.
too	கூட; மிகவும்	எனக்கும் தேநீர் வேண்டும்.
tooth	பல்	என் பல் வலிக்கிறது.
topic	தலைப்பு	ஒரு தலைப்பை தேர்வு செய்.
tourist	சுற்றுலாப் பயணி	சுற்றுலாப் பயணி படம் எடுக்கிறார்.
town	நகரம்; சிறுநகரம்	இந்த நகரம் அமைதியானது.
traffic	போக்குவரத்து	போக்குவரத்து மெதுவாக உள்ளது.
train	ரயில்	ரயில் தாமதமாக உள்ளது.
travel	பயணம் செய்; பயணம்	நாம் ரயிலில் பயணம் செய்கிறோம்.
tree	மரம்	மரம் உயரமாக உள்ளது.
trip	பயணம்	பயணம் நாளை தொடங்குகிறது.
trousers	கால்சட்டை	என் கால்சட்டை கருப்பு.
true	உண்மை; சரியான	இந்த கதை உண்மை.
try	முயற்சி செய்; சுவைத்துப் பார்	இந்த தேநீரை சுவைத்துப் பார்.
T-shirt	டீஷர்ட்	நான் டீஷர்ட் அணிகிறேன்.
Tuesday	செவ்வாய்க்கிழமை	நாம் செவ்வாய்க்கிழமை சந்திப்போம்.
turn	திரும்பு; முறை	இங்கே இடப்புறம் திரும்பு.
TV	தொலைக்காட்சி	தொலைக்காட்சி சத்தமாக உள்ளது.
twelve	பன்னிரண்டு	என்னிடம் பன்னிரண்டு பென்சில்கள் உள்ளன.
twenty	இருபது	இங்கே இருபது மாணவர்கள் உள்ளனர்.
twice	இருமுறை	நான் வாரத்திற்கு இருமுறை நீந்துகிறேன்.
two	இரண்டு	இரண்டு பேர் காத்திருக்கிறார்கள்.
type	வகை; தட்டச்சு செய்	உனக்கு எந்த இசை வகை வேண்டும்?
umbrella	குடை	குடையை எடு.
uncle	மாமா; சித்தப்பா	என் மாமா அன்பானவர்.
under	கீழ்	பை மேசையின் கீழ் உள்ளது.
understand	புரிந்து கொள்	எனக்கு கேள்வி புரிகிறது.
university	பல்கலைக்கழகம்	பல்கலைக்கழகம் அருகில் உள்ளது.
until	வரை	ஐந்து மணி வரை காத்திரு.
up	மேலே; எழு	இப்போது எழு.
upstairs	மேல்தளத்தில்	என் அறை மேல்தளத்தில் உள்ளது.
us	எங்களை; எங்களுக்கு	தயவுசெய்து எங்களுக்கு உதவு.
use	பயன்படுத்து; பயன்பாடு	இந்த பேனாவைப் பயன்படுத்து.
useful	பயனுள்ள	இந்த அட்டை பயனுள்ளதாக உள்ளது.
usually	வழக்கமாக	நான் வழக்கமாக வீட்டுக்கு நடக்கிறேன்.
vacation	விடுமுறை	எங்கள் விடுமுறை நாளை தொடங்குகிறது.
vegetable	காய்கறி	காரட் ஒரு காய்கறி.
very	மிகவும்	அறை மிகவும் அமைதியாக உள்ளது.
video	காணொலி	இந்த காணொலியைப் பார்.
village	கிராமம்	கிராமம் சிறியது.
visit	சந்திக்கச் செல்; பார்வையிடு	நாம் அத்தை வீட்டுக்குச் செல்கிறோம்.
visitor	வருகையாளர்	வருகையாளர் வெளியே காத்திருக்கிறார்.
wait	காத்திரு	தயவுசெய்து இங்கே காத்திரு.
waiter	பரிமாறுபவர்	பரிமாறுபவர் தேநீர் கொண்டு வருகிறார்.
wake	விழி; எழுப்பு	நான் காலையில் சீக்கிரம் விழிக்கிறேன்.
walk	நட	நாம் பள்ளிக்கு நடக்கிறோம்.
wall	சுவர்	சுவர் வெள்ளையாக உள்ளது.
want	விரும்பு; தேவைப்படு	எனக்கு தண்ணீர் வேண்டும்.
warm	சூடான; வெதுவெதுப்பான	அறை சூடாக உள்ளது.
wash	கழுவு	உன் கைகளை கழுவு.
watch	பார்; கைக்கடிகாரம்	நான் தொலைக்காட்சி பார்க்கிறேன்.
water	தண்ணீர்; நீர் ஊற்று	கொஞ்சம் தண்ணீர் குடி.
way	வழி; முறை	இந்த வழி குறுகியது.
we	நாம்; நாங்கள்	நாம் ஆங்கிலம் கற்கிறோம்.
wear	அணிந்து கொள்	நான் மேலங்கி அணிகிறேன்.
weather	காலநிலை	காலநிலை குளிராக உள்ளது.
website	இணையதளம்	இந்த இணையதளம் பயனுள்ளது.
Wednesday	புதன்கிழமை	வகுப்பு புதன்கிழமை தொடங்குகிறது.
week	வாரம்	இந்த வாரம் பிஸியாக உள்ளது.
weekend	வார இறுதி	வார இறுதி நாளை தொடங்குகிறது.
welcome	வரவேற்பு; வரவேறு	எங்கள் வகுப்புக்கு வரவேற்கிறோம்.
well	நன்றாக	அவள் நன்றாக பாடுகிறாள்.
west	மேற்கு	சூரியன் மேற்கில் மறைகிறது.
what	என்ன	அங்கே என்ன உள்ளது?
when	எப்போது	நீ எப்போது படிக்கிறாய்?
where	எங்கே	ரயில் நிலையம் எங்கே?
which	எது; எந்த	எந்த பை உன்னுடையது?
white	வெள்ளை	சுவர் வெள்ளையாக உள்ளது.
who	யார்	அங்கே யார் இருக்கிறார்?
why	ஏன்	நீ ஏன் தாமதமாக இருக்கிறாய்?
wife	மனைவி	அவரின் மனைவி ஆசிரியர்.
will modal	செய்வேன்; செய்வார்	நான் உனக்கு உதவுவேன்.
win	வெல்	எங்கள் அணி வெல்ல முடியும்.
window	ஜன்னல்	ஜன்னலைத் திற.
wine	திராட்சை மது	இந்த திராட்சை மது சிவப்பு.
winter	குளிர்காலம்	இங்கே குளிர்காலம் குளிராக இருக்கும்.
with	உடன்	என்னுடன் வா.
without	இல்லாமல்	சர்க்கரை இல்லாமல் தேநீர் நல்லது.
woman	பெண்	பெண் ஒரு புத்தகம் படிக்கிறார்.
wonderful	அற்புதமான	காட்சி அற்புதமாக உள்ளது.
word	சொல்	ஒரு சொல்லை எழுது.
work	வேலை செய்; வேலை	நான் வீட்டில் வேலை செய்கிறேன்.
worker	தொழிலாளர்; பணியாளர்	பணியாளர் பிஸியாக உள்ளார்.
world	உலகம்	உலகம் பெரியது.
would modal	செய்வேன்; விரும்புவேன்	நான் தேநீர் விரும்புவேன்.
write	எழுது	உன் பெயரை எழுது.
writer	எழுத்தாளர்	எழுத்தாளர் இங்கே வசிக்கிறார்.
writing	எழுத்து; கைஎழுத்து	அவளின் கைஎழுத்து தெளிவாக உள்ளது.
wrong	தவறான	இந்த பதில் தவறானது.
yeah	ஆமாம்	ஆமாம், நான் வர முடியும்.
year	ஆண்டு; வருடம்	இந்த ஆண்டு நல்லது.
yellow	மஞ்சள்	வாழைப்பழம் மஞ்சள்.
yes	ஆம்	ஆம், எனக்கு புரிகிறது.
yesterday	நேற்று	நான் நேற்று தொலைபேசியில் பேசினேன்.
you	நீ; நீங்கள்	நீ என் நண்பன்.
young	இளம்; சிறிய	குழந்தை சிறியது.
your	உன்; உங்கள்	உன் பை இங்கே உள்ளது.
yourself	நீயே; நீங்களே	நீயே தேநீர் எடு.
