source_headword	DE	example_DE
opening	die freie Stelle	Die freie Stelle zog viele Bewerber an.
operate	funktionieren	Die Maschine kann automatisch arbeiten.
opponent	der Gegner	Ihr Gegner kritisierte die Politik.
oppose	ablehnen	Viele Anwohner lehnen den Plan ab.
opposed	entgegengesetzt	Die Gruppen vertraten entgegengesetzte Ansichten.
opposition	der Widerstand	Der Vorschlag stieß auf starken Widerstand.
organ	das Organ	Das Herz ist ein lebenswichtiges Organ.
origin	der Ursprung	Der Ursprung des Feuers ist unbekannt.
otherwise	sonst	Geh jetzt, sonst kommst du zu spät.
outcome	das Ergebnis	Das Ergebnis überraschte alle.
outer	äußerer	Die äußere Wand muss repariert werden.
outline	die Gliederung	Bitte skizzieren Sie Ihr Hauptargument.
overall	gesamt	Das Gesamtergebnis war positiv.
owe	schulden	Ich schulde dir eine Entschuldigung.
pace	das Tempo	Gehen Sie in einem gleichmäßigen Tempo.
panel	das Gremium	Das Gremium diskutierte die Klimapolitik.
parliament	das Parlament	Das Parlament hat das neue Gesetz verabschiedet.
participant	der Teilnehmer	Jeder Teilnehmer hat das Formular unterschrieben.
partly	teilweise	Die Verzögerung war teilweise unsere Schuld.
passage	der Abschnitt	Lesen Sie den Textabschnitt, bevor Sie antworten.
pension1	die Rente	Seine Rente unterstützt ihn nach der Pensionierung.
permanent	dauerhaft	Sie brauchen eine dauerhafte Lösung.
permit	erlauben	Die Regeln erlauben kurze Besuche.
perspective	die Perspektive	Versuchen Sie, ihre Perspektive zu sehen.
phase	die Phase	Das Projekt ging in seine letzte Phase.
phenomenon	das Phänomen	Das Phänomen tritt in vielen Kulturen auf.
philosophy	die Philosophie	Ihre Philosophie legt Wert auf praktisches Handeln.
pile	der Stapel	Ein Stapel Papiere bedeckte den Schreibtisch.
pitch	das Spielfeld	Das Team bereitete das Spielfeld sorgfältig vor.
plain	klar	Die Anweisungen waren klar und direkt.
pointed	spitz	Er machte eine spitze Bemerkung.
popularity	die Beliebtheit	Der Sänger erlangte online an Beliebtheit.
pose	darstellen	Die Frage könnte ein Problem darstellen.
possess	besitzen	Wenige Studenten besitzen diese Fähigkeit.
potential	das Potenzial	Die Idee hat echtes Potenzial.
praise	das Lob	Der Lehrer gab ehrliches Lob.
pregnant	schwanger	Sie ist im sechsten Monat schwanger.
preparation	die Vorbereitung	Gute Vorbereitung reduziert Stress.
presence	die Anwesenheit	Seine Anwesenheit veränderte die Stimmung.
preserve	erhalten	Wir müssen dieses historische Gebäude erhalten.
prime	hauptsächlich	Die Hauptursache war schlechte Planung.
principle	das Prinzip	Die Entscheidung folgte einem klaren Prinzip.
priority	die Priorität	Sicherheit ist unsere erste Priorität.
privacy	die Privatsphäre	Kunden erwarten online Privatsphäre.
procedure	das Verfahren	Das Verfahren dauert dreißig Minuten.
proof	der Beweis	Wir brauchen Beweise, bevor wir handeln.
proposal	der Vorschlag	Der Vorschlag benötigt mehr Details.
propose	vorschlagen	Ich schlage eine andere Lösung vor.
prospect	die Aussicht	Die Aussicht auf einen Misserfolg beunruhigte sie.
protection	der Schutz	Der Helm bietet grundlegenden Schutz.
psychologist	der Psychologe	Der Psychologe erklärte die Testergebnisse.
psychology	die Psychologie	Sie studiert Psychologie an der Universität.
publication	die Veröffentlichung	Die Veröffentlichung zog die öffentliche Aufmerksamkeit auf sich.
pupil	der Schüler	Jeder Schüler erhielt ein neues Lehrbuch.
purchase	der Kauf	Sie kaufen jeden Monat Vorräte.
pure	rein	Das Wasser war rein und kalt.
pursue	verfolgen	Er wird eine medizinische Karriere einschlagen.
rank	der Rang	Sie hat einen hohen Rang.
rapid	schnell	Das Land verzeichnete ein schnelles Wachstum.
rapidly	schnell	Die Preise sind dieses Jahr schnell gestiegen.
raw	roh	Der Koch bereitete rohes Gemüse zu.
realistic	realistisch	Setzen Sie eine realistische Frist.
reasonable	vernünftig	Das erscheint als eine vernünftige Bitte.
recall	sich erinnern	Ich erinnere mich an seine genauen Worte.
recover	sich erholen	Sie wird sich nach der Behandlung erholen.
reduction	die Verringerung	Die Reduzierung sparte Geld.
regard	betrachten	Viele Menschen betrachten sie als ehrlich.
regional	regional	Das regionale Büro hat heute geschlossen.
register	sich registrieren	Bitte registrieren Sie sich vor der Konferenz.
regret	bedauern	Ich bereue meine frühere Entscheidung.
regulation	die Vorschrift	Die neue Vorschrift betrifft alle Fahrer.
relatively	relativ	Die Prüfung war relativ einfach.
relevant	relevant	Wählen Sie nur relevante Details aus.
relief	die Erleichterung	Die Nachricht brachte große Erleichterung.
rely	sich verlassen	Kinder verlassen sich auf die Unterstützung von Erwachsenen.
remark	die Bemerkung	Seine Bemerkung beendete die Diskussion.
representative	der Vertreter	Der Vertreter traf sich mit den lokalen Arbeitern.
reputation	der Ruf	Das Hotel hat einen guten Ruf.
requirement	die Anforderung	Erfahrung ist eine Grundvoraussetzung.
rescue	retten	Sie retten Menschen vor Überschwemmungen.
reserve	die Reserve	Wir reservieren Plätze für Gäste.
resident	der Bewohner	Jeder Bewohner erhielt eine Mitteilung.
resist	widerstehen	Versuchen Sie, dem Druck zu widerstehen.
resolve	lösen	Sie haben den Streit friedlich gelöst.
resort	der Ferienort	Der Ferienort auf der Insel wurde im Mai eröffnet.
retain	halten	Das Unternehmen möchte Personal halten.
reveal	enthüllen	Der Bericht wird die Wahrheit enthüllen.
revolution	die Revolution	Die Revolution veränderte das Land.
reward	die Belohnung	Harte Arbeit verdient eine Belohnung.
rhythm	der Rhythmus	Das Lied hat einen gleichmäßigen Rhythmus.
rid	loswerden	Werden Sie diese alten Akten los.
root	die Wurzel	Die Wurzel des Problems ist Geld.
rub	reiben	Reiben Sie die Oberfläche mit einem Tuch ab.
rubber	das Gummi	Die Gummidichtung verhindert Lecks.
rural	ländlich	Viele ländliche Schulen brauchen Unterstützung.
rush	überstürzen	Überstürzen Sie diese Entscheidung nicht.
satellite	der Satellit	Der Satellit sendete neue Bilder.
satisfied	zufrieden	Der Kunde schien zufrieden.
satisfy	zufriedenstellen	Die Antwort stellte ihn nicht zufrieden.
saving	die Einsparung	Energieeinsparung senkt die monatlichen Kosten.
scale	das Ausmaß	Das Ausmaß des Schadens war riesig.
scheme	das Programm	Das Programm hilft jungen Arbeitern.
scream	schreien	Sie hörten draußen einen Schrei.
sector	der Sektor	Der Technologiesektor wächst.
secure	sichern	Schließen Sie die Tür ab, um sie zu sichern.
seek	suchen	Sie suchen Rat bei Experten.
select	auswählen	Wählen Sie die beste Option aus.
selection	die Auswahl	Das Geschäft bietet eine große Auswahl.
self	das Selbst	Sie zeigte ihr wahres Selbst.
senior	leitend	Ein leitender Arzt untersuchte den Patienten.
sensitive	sensibel	Dieses Thema ist sehr sensibel.
sequence	die Reihenfolge	Befolgen Sie die Reihenfolge der Schritte.
session	die Sitzung	Die Trainingseinheit beginnt am Mittag.
settle	beilegen	Sie legten den Streit schnell bei.
severe	schwer	Der Sturm verursachte schwere Überschwemmungen.
shade	der Schatten	Setzen Sie sich in den Schatten.
shadow	der Schatten	Ein Schatten huschte über das Fenster.
shallow	flach	Der See ist hier flach.
shame	die Scham	Er verspürte Scham nach dem Lügen.
shelter	die Unterkunft	Die Schule bot eine Notunterkunft.
shock	der Schock	Die Entscheidung war ein Schock.
shocked	schockiert	Sie wirkte schockiert über die Nachrichten.
shooting	die Schießerei	Die Schießerei fand in der Nähe des Bahnhofs statt.
shot	der Schuss	Der Siegerschuss überraschte alle.
significant	bedeutend	Die Entdeckung war bedeutend.
significantly	deutlich	Die Kosten sind letztes Jahr deutlich gestiegen.
silence	die Stille	Der Raum verfiel in Stille.
silk	die Seide	Das Kleid war aus Seide gemacht.
sincere	aufrichtig	Bitte nehmen Sie meinen aufrichtigen Dank an.
slave	der Sklave	Das Gesetz befreite jeden Sklaven.
slide	rutschen	Das Kind rutschte die Rutsche hinunter.
slight	leicht	Es gab eine leichte Verzögerung.
slip	ausrutschen	Rutschen Sie nicht auf dem nassen Boden aus.
slope	der Hang	Der Weg folgt einem steilen Hang.
solar	solar	Das Haus nutzt Solarenergie.
somewhat	etwas	Die Anweisungen waren etwas verwirrend.
soul	die Seele	Die Musik erhob ihre Seele.
specialist	der Spezialist	Der Spezialist untersuchte den Patienten.
species	die Art	Diese Art lebt in der Nähe von Flüssen.
spiritual	spirituell	Sie beschrieb eine spirituelle Erfahrung.
split	teilen	Sie teilten die Rechnung gleichmäßig auf.
sponsor	sponsern	Das Unternehmen wird die Veranstaltung sponsern.
stable	stabil	Der Patient ist stabil.
stare	anstarren	Starren Sie keine Fremden an.
status	der Status	Sein Status änderte sich über Nacht.
steady	gleichmäßig	Halten Sie eine gleichmäßige Geschwindigkeit.
steel	der Stahl	Die Brücke ist aus Stahl gebaut.
steep	steil	Der Hügel ist steil.
sticky	klebrig	Der Boden fühlt sich klebrig an.
stiff	steif	Seine Schulter fühlte sich steif an.
stock	der Bestand	Das Geschäft hat keinen Bestand mehr.
stream	der Bach	Ein kleiner Bach durchquert das Feld.
stretch	strecken	Strecken Sie Ihre Beine nach dem Flug.
strict	streng	Die Schule hat strenge Regeln.
strike	streiken	Die Arbeiter könnten morgen streiken.
struggle	kämpfen	Viele Familien haben Mühe mit der Miete.
submit	einreichen	Reichen Sie das Formular bis Freitag ein.
sum	die Summe	Die Summe war höher als erwartet.
surgery	die Operation	Die Operation dauerte zwei Stunden.
surround	umgeben	Hohe Bäume umgeben das Haus.
surrounding	umliegend	Die umliegende Gegend ist ruhig.
suspect	verdächtigen	Die Polizei verdächtigt einen Einheimischen.
swear	fluchen	Fluchen Sie nicht im Unterricht.
sweep	fegen	Fegen Sie den Boden, bevor die Gäste kommen.
sympathy	das Mitgefühl	Sie drückte ihr Mitgefühl für die Opfer aus.
tale	die Geschichte	Großmutter erzählte eine seltsame Geschichte.
tank	der Tank	Der Tank fasst sauberes Wasser.
tear1	zerreißen	Zerreißen Sie das Dokument nicht.
tear2	die Träne	Eine Träne rollte über ihre Wange.
temporary	vorübergehend	Das Büro ist eine vorübergehende Unterkunft.
therapy	die Therapie	Die Physiotherapie half bei seiner Genesung.
threat	die Bedrohung	Die Nachricht enthielt eine Drohung.
threaten	bedrohen	Der Sturm könnte die Ernte bedrohen.
thus	daher	Die Straße war gesperrt; daher warteten wir.
tone	der Ton	Sein Ton klang ruhig.
tough	schwer	Das Vorstellungsgespräch war schwer.
transfer	übertragen	Sie übertragen jede Nacht Daten.
transform	verändern	Die neue Richtlinie wird die Dienstleistungen verändern.
transition	der Übergang	Der Übergang dauerte mehrere Monate.
trial	der Prozess	Der Prozess beginnt nächste Woche.
tropical	tropisch	Tropische Stürme sind hier häufig.
truly	wirklich	Ich schätze deine Hilfe wirklich.
trust	das Vertrauen	Vertrauen braucht Zeit, um zu wachsen.
tune	die Melodie	Die Band spielte eine fröhliche Melodie.
tunnel	der Tunnel	Der Tunnel verläuft unter dem Fluss.
ultimately	letztendlich	Letztendlich war der Plan erfolgreich.
unconscious	bewusstlos	Der Patient blieb bewusstlos.
unexpected	unerwartet	Die Verzögerung war unerwartet.
unique	einzigartig	Jedes Design ist einzigartig.
universe	das Universum	Das Universum dehnt sich aus.
unknown	unbekannt	Der Name bleibt unbekannt.
upper	obere	Das obere Regal ist leer.
upwards	nach oben	Der Rauch stieg nach oben.
urban	städtisch	Städtische Gebiete brauchen bessere Verkehrsmittel.
urge	dringend raten	Ärzte raten den Menschen dringend, Sport zu treiben.
vary	variieren	Die Preise variieren je nach Region.
vast	riesig	Die Wüste bedeckt ein riesiges Gebiet.
venue	der Veranstaltungsort	Der Veranstaltungsort fasst fünfhundert Personen.
via	per	Senden Sie das Dokument per E-Mail.
victory	der Sieg	Das Team feierte seinen Sieg.
violence	die Gewalt	Die Stadt litt unter politischer Gewalt.
virtual	virtuell	Das Meeting ist virtuell.
vision	die Vision	Ihre Vision hat das Unternehmen geprägt.
visual	visuell	Der Bericht enthält visuelle Beispiele.
vital	lebenswichtig	Wasser ist lebenswichtig für das Leben.
vitamin	das Vitamin	Orangen enthalten Vitamin C.
volume	die Lautstärke	Mach die Lautstärke leiser.
wage	der Lohn	Die Arbeiter forderten einen höheren Lohn.
weakness	die Schwäche	Der Plan hat eine Schwäche.
wealth	der Reichtum	Sein Reichtum stammte aus dem Handel.
wealthy	wohlhabend	Die wohlhabende Familie finanzierte das Museum.
whereas	wohingegen	Sie mag Tee, wohingegen ich Kaffee bevorzuge.
wherever	wo auch immer	Setz dich, wo auch immer du dich wohlfühlst.
whisper	flüstern	Bitte flüstern Sie während der Zeremonie.
whom	wen	Wen hast du eingeladen?
widely	weitgehend	Das Buch wird weitgehend gelesen.
wildlife	die Tierwelt	Der Park schützt die lokale Tierwelt.
willing	bereit	Sie ist bereit zu helfen.
wind2	wickeln	Wickeln Sie das Kabel um die Spule.
wire	das Kabel	Das Kabel verbindet die beiden Geräte.
wise	weise	Das war eine weise Entscheidung.
witness	der Zeuge	Ein Zeuge beschrieb den Unfall.
wound	die Wunde	Reinigen Sie die Wunde vorsichtig.
wrap	einwickeln	Wickeln Sie das Geschenk in Papier ein.
zone	die Zone	Diese Zone ist für den Verkehr gesperrt.
