hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
1043:不必	不必	不必	nema potrebe	Ne moraš sada da odgovoriš.	ni treba	Ni ti treba odgovoriti zdaj.	nereikia	Tau nereikia atsakyti dabar.	nav nepieciešams	Tev nav jāatbild tagad.	pole vaja	Sa ei pea praegu vastama.	þarf ekki	Þú þarft ekki að svara núna.
1044:不便	不便	不便	neugodan; nezgodan	Ovde je nezgodno parkirati.	nepriročen; neprimeren	Tukaj je nepriročno parkirati.	nepatogus	Čia nepatogu parkuoti.	neērts	Šeit ir neērti novietot auto.	ebamugav	Siin on ebamugav parkida.	óhentugt	Það er óhentugt að leggja hér.
1046:不够	不够	不够	nedovoljno	Ovih stolica nema dovoljno za sve.	ni dovolj	Teh stolov ni dovolj za vse.	nepakanka	Šių kėdžių nepakanka visiems atsisėsti.	nepietiek	Šo krēslu nepietiek visiem.	ei piisa	Neid toole ei jätku kõigile istumiseks.	ekki nóg	Þessir stólar duga ekki fyrir alla.
1048:不论	不论	不论	bez obzira na	Bez obzira kakvo bude vreme, krenućemo.	ne glede na	Ne glede na vreme bomo odšli.	nesvarbu; nepaisant	Nesvarbu, koks bus oras, mes išvyksime.	neatkarīgi no	Neatkarīgi no laikapstākļiem mēs dosimies ceļā.	olenemata	Olenemata ilmast läheme teele.	sama hvað; án tillits til	Sama hvernig veðrið verður, leggjum við af stað.
1049:步	步	步	korak	Napravio je jedan korak napred.	korak	Naredil je en korak naprej.	žingsnis	Jis žengė vieną žingsnį į priekį.	solis	Viņš spēra vienu soli uz priekšu.	samm	Ta astus ühe sammu edasi.	skref	Hann tók eitt skref áfram.
1050:部	部	部	brojna reč za filmove i knjige; odeljenje	Ovaj film je veoma zanimljiv.	števnik za filme in knjige; oddelek	Ta film je zelo zanimiv.	skaitiklis filmams ir knygoms; skyrius	Šis filmas labai įdomus.	skaitītājvārds filmām un grāmatām; nodaļa	Šī filma ir ļoti interesanta.	loendussõna filmidele ja raamatutele; osakond	See film on väga huvitav.	teljiorð fyrir kvikmyndir og bækur; deild	Þessi mynd er mjög áhugaverð.
1054:不光	不光	不光	ne samo	Ne samo deca, nego i odrasli vole ovu igru.	ne samo	Ne samo otroci, tudi odrasli imajo radi to igro.	ne tik	Ne tik vaikai, bet ir suaugusieji mėgsta šį žaidimą.	ne tikai	Ne tikai bērniem, arī pieaugušajiem patīk šī spēle.	mitte ainult	Mitte ainult lastele, vaid ka täiskasvanutele meeldib see mäng.	ekki aðeins	Ekki aðeins börn heldur líka fullorðnir hafa gaman af þessum leik.
1056:不满	不满	不满	nezadovoljan	Veoma je nezadovoljan ovim rezultatom.	nezadovoljen	Zelo je nezadovoljen s tem rezultatom.	nepatenkintas	Jis labai nepatenkintas šiuo rezultatu.	neapmierināts	Viņš ir ļoti neapmierināts ar šo rezultātu.	rahulolematu	Ta on selle tulemusega väga rahulolematu.	óánægður	Hann er mjög óánægður með þessa niðurstöðu.
1063:参赛	参赛	参赛	učestvovati u takmičenju	Petoro ljudi iz našeg odeljenja učestvuje u takmičenju.	sodelovati na tekmovanju	Pet ljudi iz našega razreda sodeluje na tekmovanju.	dalyvauti varžybose	Penki žmonės iš mūsų klasės dalyvauja varžybose.	piedalīties sacensībās	Pieci cilvēki no mūsu klases piedalās sacensībās.	võistlusel osalema	Meie klassist osaleb võistlusel viis inimest.	taka þátt í keppni	Fimm úr bekknum okkar taka þátt í keppninni.
1067:查看	查看	查看	proveriti; pregledati	Nastavnik proverava spisak učenika.	preveriti; pregledati	Učitelj pregleduje seznam učencev.	patikrinti; peržiūrėti	Mokytojas tikrina mokinių sąrašą.	pārbaudīt; apskatīt	Skolotājs pārbauda skolēnu sarakstu.	kontrollima; vaatama	Õpetaja kontrollib õpilaste nimekirja.	athuga; skoða	Kennarinn er að skoða nemendalistann.
1068:茶叶	茶叶	茶叶	listići čaja	Listići čaja u ovoj prodavnici su veoma sveži.	čajni listi	Čajni listi v tej trgovini so zelo sveži.	arbatos lapeliai	Šios parduotuvės arbatos lapeliai labai švieži.	tējas lapas	Šajā veikalā tējas lapas ir ļoti svaigas.	teelehed	Selle poe teelehed on väga värsked.	telauf	Telaufin í þessari verslun eru mjög fersk.
1069:查找	查找	查找	tražiti; pretraživati	Tražim informacije na internetu.	iskati; poiskati	Na spletu iščem podatke.	ieškoti; surasti	Internete ieškau informacijos.	meklēt; atrast	Es meklēju informāciju internetā.	otsima	Ma otsin internetist teavet.	leita að	Ég leita að upplýsingum á netinu.
1070:差点儿	差点儿	差点儿	zamalo; skoro	Zamalo sam propustio autobus.	skoraj	Skoraj sem zamudil avtobus.	beveik	Aš beveik pavėlavau į autobusą.	gandrīz	Es gandrīz nokavēju autobusu.	peaaegu	Ma peaaegu jäin bussist maha.	næstum	Ég missti næstum af strætó.
1072:厂	厂	厂	fabrika	Ova fabrika proizvodi mobilne telefone.	tovarna	Ta tovarna proizvaja mobilne telefone.	gamykla	Ši gamykla gamina mobiliuosius telefonus.	rūpnīca	Šī rūpnīca ražo mobilos tālruņus.	tehas	See tehas toodab mobiiltelefone.	verksmiðja	Þessi verksmiðja framleiðir farsíma.
1075:车速	车速	车速	brzina vozila	Po kiši brzina vozila treba da bude malo manja.	hitrost vozila	V dežju naj bo hitrost vozila nekoliko nižja.	transporto priemonės greitis	Lietingu oru transporto priemonės greitis turėtų būti šiek tiek mažesnis.	transportlīdzekļa ātrums	Lietainā laikā braukšanas ātrumam jābūt mazākam.	sõidukiirus	Vihmase ilmaga peaks sõidukiirus olema veidi aeglasem.	ökutækishraði	Í rigningu ætti hraði ökutækis að vera aðeins minni.
1076:车位	车位	车位	parking mesto	Dole još ima jedno parking mesto.	parkirno mesto	Spodaj je še eno parkirno mesto.	automobilio stovėjimo vieta	Apačioje dar yra viena stovėjimo vieta.	stāvvieta	Lejā vēl ir viena stāvvieta.	parkimiskoht	All on veel üks parkimiskoht.	bílastæði	Það er enn eitt bílastæði niðri.
1077:城	城	城	grad; varoš	Ovaj grad ima mnogo starih ulica.	mesto; kraj	V tem mestu je veliko starih ulic.	miestas	Šiame mieste yra daug senų gatvių.	pilsēta	Šajā pilsētā ir daudz vecu ielu.	linn	Selles linnas on palju vanu tänavaid.	borg; bær	Í þessari borg eru margar gamlar götur.
1080:乘客	乘客	乘客	putnik	Putnici, molimo izađite na zadnja vrata.	potnik	Potniki, prosimo, izstopite pri zadnjih vratih.	keleivis	Keleiviai, prašome išlipti per galines duris.	pasažieris	Pasažieri, lūdzu, izkāpiet pa aizmugurējām durvīm.	reisija	Reisijad, palun väljuge tagumisest uksest.	farþegi	Farþegar, vinsamlegast farið út um afturdyrnar.
1085:迟	迟	迟	kasno	Danas je došao malo kasno.	pozen	Danes je prišel malo pozno.	vėlai	Šiandien jis atvyko šiek tiek vėlai.	vēlu	Viņš šodien ieradās mazliet vēlu.	hiline	Ta saabus täna veidi hilja.	seint	Hann kom aðeins seint í dag.
1086:重	重	重	ponovo; iznova	Ovaj sastav treba ponovo napisati.	znova; ponovno	Ta spis je treba še enkrat napisati.	vėl; pakartotinai	Šį rašinį reikia dar kartą perrašyti.	atkal; atkārtoti	Šis sacerējums vēlreiz jāpārraksta.	uuesti; korduvalt	See kirjand tuleb üks kord uuesti kirjutada.	aftur; endurtekið	Það þarf að skrifa þessa ritgerð aftur.
1091:出行	出行	出行	putovati; izlaziti	Tokom praznika mnogo ljudi putuje.	potovati; iti ven	Med prazniki veliko ljudi potuje.	keliauti; išeiti	Per šventes daug žmonių keliauja.	ceļot; doties ārā	Brīvdienās daudzi cilvēki ceļo.	reisima; välja minema	Pühade ajal reisib palju inimesi.	ferðast; fara út	Margir ferðast á frídögum.
1092:出租	出租	出租	izdavati; dati u zakup	Ovaj stan može da se izda.	oddati v najem	To stanovanje je mogoče oddati v najem.	nuomoti; išnuomoti	Šį butą galima išnuomoti.	izīrēt	Šo dzīvokli var izīrēt.	välja üürima	Seda korterit saab välja üürida.	leigja út	Það má leigja þessa íbúð út.
1094:厨师	厨师	厨师	kuvar	Ovaj kuvar veoma brzo sprema hranu.	kuhar	Ta kuhar zelo hitro kuha.	virėjas	Šis virėjas labai greitai gamina.	pavārs	Šis pavārs ļoti ātri gatavo.	kokk	See kokk valmistab toitu väga kiiresti.	kokkur	Þessi kokkur eldar mjög hratt.
1095:窗	窗	窗	prozor	Molimo otvorite prozor malo.	okno	Prosimo, malo odprite okno.	langas	Prašome šiek tiek atidaryti langą.	logs	Lūdzu, mazliet atveriet logu.	aken	Palun avage aken veidi.	gluggi	Vinsamlegast opnaðu gluggann aðeins.
1099:此	此	此	ovo; ovde	Ovde je parkiranje zabranjeno.	to; tukaj	Tukaj je parkiranje prepovedano.	šis; čia	Čia stovėti draudžiama.	šis; šeit	Šeit stāvēt aizliegts.	see; siin	Siin on parkimine keelatud.	þetta; hér	Hér er bannað að leggja.
1100:此次	此次	此次	ovaj put; ova prilika	Ovaj sastanak je veoma važan.	tokrat; ta priložnost	Ta sestanek je zelo pomemben.	šį kartą; ši proga	Šis susitikimas labai svarbus.	šoreiz; šī reize	Šī sanāksme ir ļoti svarīga.	seekord; see kord	See koosolek on väga tähtis.	í þetta skipti; þetta tilefni	Þessi fundur er mjög mikilvægur.
1104:从中	从中	从中	iz toga; među njima	Iz toga je mnogo naučio.	iz tega; med njimi	Iz tega se je veliko naučil.	iš to; iš jų	Jis iš to daug išmoko.	no tā; starp tiem	Viņš no tā daudz iemācījās.	sellest; nende seast	Ta õppis sellest palju.	úr þessu; úr hópnum	Hann lærði mikið af þessu.
1105:粗	粗	粗	debeo; grub	Ovaj konopac je prilično debeo.	debel; grob	Ta vrv je precej debela.	storas; šiurkštus	Ši virvė gana stora.	resns; raupjš	Šī virve ir diezgan resna.	paks; kare	See köis on üsna paks.	þykkur; grófur	Þetta reipi er frekar þykkt.
1107:村	村	村	selo	Baka živi u malom selu.	vas	Babica živi v majhni vasi.	kaimas	Močiutė gyvena mažame kaime.	ciems	Vecmāmiņa dzīvo mazā ciemā.	küla	Vanaema elab väikeses külas.	þorp	Amma býr í litlu þorpi.
1109:错过	错过	错过	propustiti	Nemoj propustiti sutrašnju utakmicu.	zamuditi; izpustiti	Ne zamudi jutrišnje tekme.	praleisti	Nepraleisk rytojaus rungtynių.	nokavēt; palaist garām	Nepalaid garām rītdienas spēli.	maha magama; vahele jätma	Ära jäta homset mängu vahele.	missa af	Ekki missa af leiknum á morgun.
1112:答	答	答	odgovoriti	Brzo je odgovorio na ovo pitanje.	odgovoriti	Hitro je odgovoril na to vprašanje.	atsakyti	Jis labai greitai atsakė į šį klausimą.	atbildēt	Viņš ātri atbildēja uz šo jautājumu.	vastama	Ta vastas sellele küsimusele väga kiiresti.	svara	Hann svaraði þessari spurningu mjög fljótt.
1116:打败	打败	打败	pobediti	Konačno su pobedili jak tim.	premagati	Končno so premagali močno ekipo.	nugalėti	Jie pagaliau nugalėjo stiprią komandą.	uzvarēt	Viņi beidzot uzvarēja spēcīgo komandu.	alistama	Nad alistasid lõpuks tugeva võistkonna.	sigra	Þeir sigruðu loksins sterka liðið.
1120:打印机	打印机	打印机	štampač	Štampač u kancelariji se pokvario.	tiskalnik	Tiskalnik v pisarni je pokvarjen.	spausdintuvas	Biuro spausdintuvas sugedo.	drukas ierīce	Drukas ierīce birojā ir salūzusi.	trükiseade	Kontori trükiseade on katki.	prentari	Prentarinn á skrifstofunni er bilaður.
1123:大巴	大巴	大巴	turistički autobus; veliki autobus	Idemo autobusom na aerodrom.	avtobus; turistični avtobus	Z avtobusom gremo na letališče.	tolimojo susisiekimo autobusas	Į oro uostą važiuojame autobusu.	tālsatiksmes autobuss	Mēs braucam uz lidostu ar autobusu.	kaugliinibuss	Me sõidame lennujaama bussiga.	rúta; langferðabíll	Við förum með rútu á flugvöllinn.
1124:大大	大大	大大	znatno; veoma mnogo	Ova aktivnost je znatno povećala interesovanje.	močno; zelo	Ta dejavnost je močno povečala zanimanje.	labai; žymiai	Ši veikla labai padidino susidomėjimą.	ievērojami; ļoti	Šī aktivitāte ievērojami palielināja interesi.	tunduvalt; väga palju	See tegevus suurendas huvi tunduvalt.	mjög; verulega	Þessi viðburður jók áhugann verulega.
1126:大量	大量	大量	velika količina	U supermarketu ima velika količina svežeg voća.	velika količina	V supermarketu je velika količina svežega sadja.	didelis kiekis	Prekybos centre yra daug šviežių vaisių.	liels daudzums	Lielveikalā ir liels daudzums svaigu augļu.	suur kogus	Supermarketis on suur kogus värskeid puuvilju.	mikið magn	Í matvörubúðinni er mikið magn af ferskum ávöxtum.
1127:大赛	大赛	大赛	veliko takmičenje	Škola će sledeće nedelje održati takmičenje iz kineskog.	veliko tekmovanje	Šola bo naslednji teden organizirala tekmovanje iz kitajščine.	didelės varžybos	Mokykla kitą savaitę rengs kinų kalbos konkursą.	lielas sacensības	Skola nākamnedēļ rīkos ķīniešu valodas sacensības.	suur võistlus	Kool korraldab järgmisel nädalal hiina keele võistluse.	stór keppni	Skólinn heldur kínverskukeppni í næstu viku.
1128:大厅	大厅	大厅	velika sala; predvorje	Gosti čekaju auto u predvorju.	velika dvorana; preddverje	Gostje čakajo avto v preddverju.	didelė salė; vestibiulis	Svečiai vestibiulyje laukia automobilio.	lielā zāle; vestibils	Viesi gaida mašīnu vestibilā.	suur saal; fuajee	Külalised ootavad autot fuajees.	stór salur; anddyri	Gestirnir bíða eftir bílnum í anddyrinu.
1130:大自然	大自然	大自然	priroda	Deca vole da se igraju u prirodi.	narava	Otroci se radi igrajo v naravi.	gamta	Vaikams patinka žaisti gamtoje.	daba	Bērniem patīk spēlēties dabā.	loodus	Lastele meeldib looduses mängida.	náttúra	Börnum finnst gaman að leika sér úti í náttúrunni.
1131:待	待	待	ostati; boraviti	Ostao je kod kuće ceo dan.	ostati; prebivati	Ves dan je ostal doma.	pasilikti; būti	Jis visą dieną buvo namuose.	palikt; uzturēties	Viņš visu dienu palika mājās.	jääma; viibima	Ta jäi terveks päevaks koju.	dvelja; vera	Hann var heima allan daginn.
1133:袋子	袋子	袋子	kesa; torba	Molimo stavite voće u kesu.	vrečka	Prosimo, dajte sadje v vrečko.	maišelis	Prašome įdėti vaisius į maišelį.	maisiņš	Lūdzu, ielieciet augļus maisiņā.	kott	Palun pange puuviljad kotti.	poki	Vinsamlegast settu ávextina í pokann.
1140:道	道	道	brojna reč za pitanja; put	Ovo pitanje nije teško.	števnik za vprašanja; cesta	To vprašanje ni težko.	skaitiklis klausimams; kelias	Šis klausimas nėra sunkus.	skaitītājvārds jautājumiem; ceļš	Šis jautājums nav grūts.	loendussõna küsimustele; tee	See küsimus ei ole raske.	teljiorð fyrir spurningar; vegur	Þessi spurning er ekki erfið.
1142:到来	到来	到来	dolazak	Dolazak proleća raduje ljude.	prihod	Prihod pomladi ljudi razveseli.	atvykimas; atėjimas	Pavasario atėjimas džiugina žmones.	ierašanās; atnākšana	Pavasara atnākšana iepriecina cilvēkus.	saabumine	Kevade saabumine rõõmustab inimesi.	koma	Koma vorsins gleður fólk.
1143:道路	道路	道路	put; cesta	Ovaj put vodi ka selu.	cesta	Ta cesta vodi do vasi.	kelias	Šis kelias veda į kaimą.	ceļš	Šis ceļš ved uz ciemu.	tee	See tee viib külla.	vegur	Þessi vegur liggur að þorpinu.
1146:登机	登机	登机	ukrcati se u avion	Molimo ukrcajte se pola sata ranije.	vkrcati se na letalo	Prosimo, vkrcajte se pol ure prej.	lipti į lėktuvą	Prašome lipti į lėktuvą pusvalandžiu anksčiau.	iekāpt lidmašīnā	Lūdzu, iekāpiet lidmašīnā pusstundu agrāk.	lennukile minema	Palun minge lennukile pool tundi varem.	fara um borð í flugvél	Vinsamlegast farið um borð hálftíma fyrr.
1148:等到	等到	等到	sačekati dok	Sačekaćemo da kiša stane, pa ćemo krenuti.	počakati, da	Počakali bomo, da dež neha, nato gremo.	palaukti, kol	Palauksime, kol liausis lietus, tada eisime.	pagaidīt līdz	Pagaidīsim, līdz lietus beigsies, tad iesim.	ootama kuni	Ootame, kuni vihm lakkab, ja siis läheme.	bíða þar til	Við förum þegar rigningunni linnir.
1150:低价	低价	低价	niska cena	Ova prodavnica često prodaje jeftine avionske karte.	nizka cena	Ta trgovina pogosto prodaja poceni letalske karte.	maža kaina	Ši parduotuvė dažnai parduoda pigius lėktuvo bilietus.	zema cena	Šis veikals bieži pārdod lētas lidmašīnas biļetes.	madal hind	See pood müüb sageli odavaid lennupileteid.	lágt verð	Þessi verslun selur oft ódýra flugmiða.
1151:低温	低温	低温	niska temperatura	Po hladnom vremenu treba obući više odeće.	nizka temperatura	V hladnem vremenu je treba obleči več oblačil.	žema temperatūra	Esant žemai temperatūrai reikia apsirengti šilčiau.	zema temperatūra	Zemā temperatūrā jāvelk vairāk drēbju.	madal temperatuur	Madala temperatuuriga tuleb rohkem riideid selga panna.	lágt hitastig	Í köldu veðri ætti maður að klæða sig betur.
1152:低于	低于	低于	biti niži od	Današnja temperatura je niža od jučerašnje.	biti nižji od	Današnja temperatura je nižja od včerajšnje.	būti žemesniam už	Šiandienos temperatūra žemesnė nei vakarykštė.	būt zemākam par	Šodienas temperatūra ir zemāka nekā vakar.	olema madalam kui	Tänane temperatuur on madalam kui eilne.	vera lægra en	Hitinn í dag er lægri en í gær.
1154:底下	底下	底下	ispod; dole	Ispod stola je torba.	spodaj; pod	Pod mizo je torba.	po; apačioje	Po stalu yra krepšys.	zem; apakšā	Zem galda ir soma.	all; allpool	Laua all on kott.	undir; fyrir neðan	Það er taska undir borðinu.
1157:点名	点名	点名	prozivati; proveriti prisustvo	Nastavnik proziva pre časa.	klicati imena; preveriti prisotnost	Učitelj pred poukom preveri prisotnost.	skaityti sąrašą; tikrinti lankomumą	Mokytojas prieš pamoką patikrina lankomumą.	nolasīt vārdus; pārbaudīt klātbūtni	Skolotājs pirms stundas pārbauda klātbūtni.	nimekirja ette lugema	Õpetaja loeb enne tundi nimed ette.	kalla upp nöfn	Kennarinn kallar upp nöfn fyrir tímann.
1158:点头	点头	点头	klimnuti	Klimnula je da pokaže saglasnost.	prikimati	Prikimala je, da pokaže strinjanje.	linktelėti	Ji linktelėjo, parodydama sutikimą.	pamāt ar galvu	Viņa pamāja ar galvu, lai parādītu piekrišanu.	noogutama	Ta noogutas nõustumise märgiks.	kinka kolli	Hún kinkaði kolli til að sýna samþykki.
1159:电动车	电动车	电动车	električno vozilo	Na posao ide električnim vozilom.	električno vozilo	V službo se vozi z električnim vozilom.	elektrinė transporto priemonė	Į darbą jis važiuoja elektrine transporto priemone.	elektriskais transportlīdzeklis	Viņš brauc uz darbu ar elektrisko transportlīdzekli.	elektrisõiduk	Ta sõidab tööle elektrisõidukiga.	rafknúið farartæki	Hann fer í vinnuna á rafknúnu farartæki.
1160:电视剧	电视剧	电视剧	televizijska serija	Moja majka voli da gleda televizijske serije.	televizijska serija	Moja mama rada gleda televizijske serije.	televizijos serialas	Mano mama mėgsta žiūrėti televizijos serialus.	televīzijas seriāls	Mana mamma labprāt skatās televīzijas seriālus.	telesari	Mu emale meeldib telesarju vaadata.	sjónvarpsþáttaröð	Móður minni finnst gaman að horfa á sjónvarpsþætti.
1163:订	订	订	rezervisati; naručiti	Već sam rezervisao avionsku kartu.	rezervirati; naročiti	Letalsko karto sem že rezerviral.	užsakyti; rezervuoti	Aš jau užsisakiau lėktuvo bilietą.	rezervēt; pasūtīt	Es jau rezervēju lidmašīnas biļeti.	broneerima; tellima	Ma olen juba lennupileti broneerinud.	bóka; panta	Ég er búinn að bóka flugmiða.
1164:定	定	定	odrediti; odlučiti	Vreme sastanka je već određeno.	določiti; odločiti	Čas sestanka je že določen.	nuspręsti; nustatyti	Susitikimo laikas jau nustatytas.	noteikt; izlemt	Sanāksmes laiks jau ir noteikts.	määrama; otsustama	Koosoleku aeg on juba määratud.	ákveða; setja	Tími fundarins hefur þegar verið ákveðinn.
1165:东部	东部	东部	istočni deo	U istočnom delu grada nalazi se novi park.	vzhodni del	V vzhodnem delu mesta je nov park.	rytinė dalis	Miesto rytinėje dalyje yra naujas parkas.	austrumu daļa	Pilsētas austrumu daļā ir jauns parks.	idaosa	Linna idaosas on uus park.	austurhluti	Í austurhluta borgarinnar er nýr garður.
1166:动车	动车	动车	brzi voz	Idemo brzim vozom u Šangaj.	hitri vlak	Z hitrim vlakom gremo v Šanghaj.	greitasis traukinys	Į Šanchajų važiuojame greituoju traukiniu.	ātrvilciens	Mēs braucam uz Šanhaju ar ātrvilcienu.	kiirrong	Me sõidame Shanghaisse kiirrongiga.	hraðlest	Við förum með hraðlest til Shanghai.
1168:读者	读者	读者	čitalac	Ova knjiga ima mnogo mladih čitalaca.	bralec	Ta knjiga ima veliko mladih bralcev.	skaitytojas	Ši knyga turi daug jaunų skaitytojų.	lasītājs	Šai grāmatai ir daudz jaunu lasītāju.	lugeja	Sellel raamatul on palju noori lugejaid.	lesandi	Þessi bók hefur marga unga lesendur.
1170:度假	度假	度假	ići na odmor	Otišli su na more na odmor.	iti na počitnice	Šli so na počitnice ob morje.	atostogauti	Jie išvyko atostogauti prie jūros.	doties atvaļinājumā	Viņi devās atpūtā pie jūras.	puhkusele minema	Nad läksid mere äärde puhkusele.	fara í frí	Þau fóru í frí að sjónum.
1173:队	队	队	tim; red	Ispred vrata stoji red ljudi.	ekipa; vrsta	Pred vrati stoji vrsta ljudi.	komanda; eilė	Prie durų stovi žmonių eilė.	komanda; rinda	Pie durvīm stāv cilvēku rinda.	meeskond; rida	Ukse juures on inimeste järjekord.	lið; röð	Það er röð af fólki við dyrnar.
1177:队员	队员	队员	član tima	Svaki član tima se mnogo trudi.	član ekipe	Vsak član ekipe se zelo trudi.	komandos narys	Kiekvienas komandos narys labai stengiasi.	komandas dalībnieks	Katrs komandas dalībnieks ļoti cenšas.	meeskonnaliige	Iga meeskonnaliige pingutab palju.	liðsmaður	Hver liðsmaður leggur mikið á sig.
1178:队长	队长	队长	vođa tima; kapiten	Kapiten organizuje trening.	vodja ekipe; kapetan	Vodja ekipe ureja trening.	komandos vadovas; kapitonas	Komandos kapitonas organizuoja treniruotę.	komandas vadītājs; kapteinis	Komandas kapteinis organizē treniņu.	meeskonnajuht; kapten	Kapten korraldab treeningut.	liðsstjóri; fyrirliði	Fyrirliðinn skipuleggur æfinguna.
1181:多数	多数	多数	većina	Većina učenika je izabrala čas kineskog.	večina	Večina učencev je izbrala pouk kitajščine.	dauguma	Dauguma mokinių pasirinko kinų kalbos pamoką.	vairākums	Vairākums skolēnu izvēlējās ķīniešu valodas stundu.	enamus	Enamik õpilasi valis hiina keele tunni.	meirihluti	Meirihluti nemenda valdi kínverskutíma.
