source_headword	KO	example_KO
usage	용법	안내서는 올바른 용법을 설명합니다.
useless	쓸모없는	고장난 충전기는 쓸모가 없습니다.
valid	유효한	당신의 여권은 여전히 유효합니다.
variation	변동	가격에 큰 변동이 있습니다.
vertical	수직의	차트에는 수직 축이 있습니다.
viewpoint	관점	토론 후에 그녀의 관점이 바뀌었습니다.
visa	비자	그는 학생 비자를 신청했습니다.
visible	보이는	표지판이 여기서 보입니다.
voluntary	자발적인	이 코스에는 자발적인 워크숍이 포함되어 있습니다.
voting	투표	조기 투표가 다음 주에 시작됩니다.
wander	돌아다니다	관광객들이 오래된 시장을 돌아다닙니다.
warming	온난화	지구 온난화는 해수면에 영향을 미칩니다.
weekly	매주	팀은 매주 회의를 개최합니다.
weird	이상한	그 소리는 이상하게 들렸습니다.
welfare	복지	그 프로그램은 아동 복지를 지원합니다.
wheat	밀	농부는 밀을 재배합니다.
whoever	누구든	먼저 도착하는 사람은 누구든 밖에서 기다려야 합니다.
widespread	광범위한	폭풍은 광범위한 피해를 입혔습니다.
wisdom	지혜	그녀의 할머니는 실용적인 지혜를 나누어 주었습니다.
withdraw	철회하다	그는 지원을 철회하기로 결정했습니다.
workforce	노동력	노동력에는 새로운 기술이 필요합니다.
workplace	직장	직장에는 명확한 안전 규칙이 있습니다.
workshop	워크숍	워크숍은 10시에 시작합니다.
worm	벌레	벌레 한 마리가 흙 위를 기어갔습니다.
wrist	손목	그녀는 손목을 다쳤습니다.
