hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
5024:险	险	险	opasan; rizičan	Planinski put je veoma opasan, pa treba voziti sporije.	nevaren; tvegan	Gorska cesta je zelo nevarna, zato je treba voziti počasneje.	pavojingas; rizikingas	Kalnų kelias labai pavojingas, todėl reikia važiuoti lėčiau.	bīstams; riskants	Kalnu ceļš ir ļoti bīstams, tāpēc jābrauc lēnāk.	ohtlik; riskantne	Mägitee on väga ohtlik, seega tuleb sõita aeglasemalt.	hættulegur; áhættusamur	Fjallvegurinn er mjög hættulegur og því þarf að aka hægar.
5026:限	限	限	ograničiti; limit	Svaka osoba može da kupi najviše dve karte.	omejiti	Vsaka oseba sme kupiti največ dve vstopnici.	riboti; apribojimas	Kiekvienas žmogus gali nusipirkti ne daugiau kaip du bilietus.	ierobežot; limits	Katrs cilvēks drīkst nopirkt ne vairāk kā divas biļetes.	piirama; piirang	Iga inimene võib osta kuni kaks piletit.	takmarka; mörk	Hver maður má kaupa í mesta lagi tvo miða.
5027:线	线	线	linija; nit	Molim te, iseci duž ove linije.	črta; nit	Prosim, odreži po tej črti.	linija; siūlas	Prašau kirpti palei šią liniją.	līnija; pavediens	Lūdzu, griez pa šo līniju.	joon; niit	Palun lõika mööda seda joont.	lína; þráður	Vinsamlegast klipptu eftir þessari línu.
5028:现存	现存	现存	postojeći; sačuvan	Postojeći podaci nisu dovoljni da dokažu ovaj zaključak.	obstoječ; ohranjen	Obstoječi podatki ne zadoščajo za dokaz tega sklepa.	esamas; išlikęs	Esamų duomenų nepakanka šiai išvadai įrodyti.	esošs; saglabājies	Ar esošajiem materiāliem nepietiek, lai pierādītu šo secinājumu.	olemasolev; säilinud	Olemasolevatest andmetest ei piisa selle järelduse tõestamiseks.	núverandi; varðveittur	Núverandi gögn nægja ekki til að sanna þessa niðurstöðu.
5029:限度	限度	限度	granica; mera	Njegovo strpljenje je već dostiglo granicu.	meja; omejitev	Njegovo potrpljenje je že doseglo mejo.	riba; saikas	Jo kantrybė jau pasiekė ribą.	robeža; mērs	Viņa pacietība jau ir sasniegusi robežu.	piir; määr	Tema kannatus on juba jõudnud piirini.	takmörk; mörk	Þolinmæði hans er þegar komin að mörkum.
5030:现货	现货	现货	roba na stanju; dostupno odmah	Ovaj telefon je na stanju i može se poslati već danas.	blago na zalogi	Ta telefon je na zalogi in ga lahko pošljejo že danes.	prekė sandėlyje; turima prekė	Šis telefonas yra sandėlyje ir gali būti išsiųstas šiandien.	prece noliktavā; pieejama prece	Šis tālrunis ir noliktavā un to var nosūtīt jau šodien.	laos olev kaup	See telefon on laos ja selle saab juba täna välja saata.	vara á lager	Þessi sími er til á lager og hægt er að senda hann í dag.
5033:限于	限于	限于	biti ograničen na	Broj prijava je ograničen na trideset ljudi.	biti omejen na	Število prijav je omejeno na trideset ljudi.	būti apribotam iki	Registracijos skaičius apribotas iki trisdešimties žmonių.	būt ierobežotam līdz	Pieteikumu skaits ir ierobežots līdz trīsdesmit cilvēkiem.	piirduma; olema piiratud	Registreerujate arv on piiratud kolmekümne inimesega.	takmarkast við	Skráningin er takmörkuð við þrjátíu manns.
5036:相传	相传	相传	prema predanju; kaže se	Prema predanju, ovaj most ima istoriju dugu trista godina.	po izročilu	Po izročilu ima ta most tristo let zgodovine.	pasak padavimo	Pasak padavimo, šiam tiltui trys šimtai metų.	pēc nostāstiem	Pēc nostāstiem šim tiltam ir trīssimt gadu sena vēsture.	pärimuse järgi	Pärimuse järgi on sellel sillal kolmesaja aasta pikkune ajalugu.	samkvæmt þjóðsögn; sagt er	Sagt er að þessi brú eigi sér þrjú hundruð ára sögu.
5038:相连	相连	相连	biti povezan	Dva grada su povezana brzom železnicom.	biti povezan	Mesti sta povezani s hitro železnico.	būti sujungtam	Du miestai sujungti greituoju geležinkeliu.	būt savienotam	Abas pilsētas ir savienotas ar ātrgaitas dzelzceļu.	ühendatud olema	Kaks linna on ühendatud kiirraudteega.	vera tengdur	Borgirnar tvær eru tengdar með háhraðalest.
5039:香水	香水	香水	parfem	Ona ne voli parfem koji ima previše jak miris.	parfum	Ne mara parfuma s premočnim vonjem.	kvepalai	Ji nemėgsta pernelyg stipraus kvapo kvepalų.	smaržas	Viņai nepatīk smaržas ar pārāk spēcīgu aromātu.	parfüüm	Talle ei meeldi liiga tugeva lõhnaga parfüüm.	ilmvatn	Henni líkar ekki ilmvatn með of sterkri lykt.
5052:小偷儿	小偷儿	小偷儿	lopov	Tog lopova je policija brzo uhvatila.	tat	Policija je tistega tatu hitro ujela.	vagis	Policija greitai sugavo tą vagį.	zaglis	Policija ātri noķēra to zagli.	varas	Politsei tabas selle varga kiiresti.	þjófur	Lögreglan náði þessum þjófi fljótt.
5053:笑容	笑容	笑容	osmeh	Osmeh na njenom licu umirio je sve.	nasmeh	Nasmeh na njenem obrazu je vse pomiril.	šypsena	Jos veido šypsena visus nuramino.	smaids	Smaids viņas sejā visus nomierināja.	naeratus	Naeratus tema näol rahustas kõiki.	bros	Brosið á andliti hennar róaði alla.
5054:效应	效应	效应	efekat; učinak	Efekat ove politike još treba posmatrati.	učinek	Učinek te politike je treba še opazovati.	poveikis; efektas	Šios politikos poveikį dar reikia stebėti.	ietekme; efekts	Šīs politikas ietekme vēl ir jānovēro.	mõju; efekt	Selle poliitika mõju tuleb veel jälgida.	áhrif	Enn þarf að fylgjast með áhrifum þessarar stefnu.
5060:心爱	心爱	心爱	voljen; drag	Na putovanje je poneo svoj dragi fotoaparat.	ljubljen; najljubši	Na potovanje je vzel svoj najljubši fotoaparat.	mylimas; brangus	Į kelionę jis pasiėmė mylimą fotoaparatą.	mīļš; iemīļots	Ceļojumā viņš paņēma līdzi savu iemīļoto fotoaparātu.	armas; kallis	Ta võttis reisile kaasa oma kalli kaamera.	ástkær; eftirlætis	Hann tók ástkæru myndavélina sína með í ferðina.
5061:心底	心底	心底	iz dubine srca	Ona je iz dubine srca zahvalila učitelju.	iz srca	Učitelju se je zahvalila iz srca.	širdies giluma	Ji iš širdies gilumos padėkojo mokytojui.	sirds dziļumi	Viņa no sirds dziļumiem pateicās skolotājam.	südamepõhi	Ta tänas õpetajat kogu südamest.	af öllu hjarta	Hún þakkaði kennaranum af öllu hjarta.
5062:新款	新款	新款	novi model	Ova prodavnica je upravo izložila novu seriju cipela novog modela.	nov model; nova kolekcija	Ta trgovina je pravkar dala na police novo kolekcijo čevljev.	naujas modelis	Ši parduotuvė ką tik išstatė naują batų modelių partiją.	jauns modelis	Šis veikals tikko izvietoja jaunu apavu modeļu partiju.	uus mudel	See pood pani äsja müügile uue mudeliga kingade partii.	ný gerð	Þessi verslun setti nýlega nýja gerð af skóm í sölu.
5064:新媒体	新媒体	新媒体	novi mediji	Novi mediji su promenili način na koji ljudi dobijaju informacije.	novi mediji	Novi mediji so spremenili način, kako ljudje dobivajo informacije.	naujoji žiniasklaida	Naujoji žiniasklaida pakeitė žmonių informacijos gavimo būdą.	jaunie mediji	Jaunie mediji ir mainījuši veidu, kā cilvēki iegūst informāciju.	uus meedia	Uus meedia on muutnud seda, kuidas inimesed infot saavad.	nýir miðlar	Nýir miðlar hafa breytt því hvernig fólk fær upplýsingar.
5065:心目	心目	心目	u mislima; u očima	U mojim očima ona je odlična spisateljica.	v očeh; v mislih	V mojih očeh je odlična pisateljica.	akyse; mintyse	Mano akyse ji yra puiki rašytoja.	acīs; priekšstatā	Manās acīs viņa ir izcila rakstniece.	silmis; mõtetes	Minu silmis on ta suurepärane kirjanik.	í augum; í huga	Í mínum augum er hún frábær rithöfundur.
5066:新能源	新能源	新能源	nova energija; obnovljivi izvori energije	Industrija nove energije se brzo razvija.	nova energija; obnovljivi viri energije	Industrija nove energije se hitro razvija.	naujoji energetika; atsinaujinanti energija	Naujosios energetikos pramonė sparčiai vystosi.	jaunā enerģija; atjaunojamā enerģija	Jaunās enerģijas nozare strauji attīstās.	uus energia; taastuvenergia	Uue energia tööstus areneb kiiresti.	ný orka; endurnýjanleg orka	Iðnaður nýrrar orku þróast hratt.
5069:新兴	新兴	新兴	u nastajanju; novi	Nove industrije privlače mnogo mladih ljudi.	nastajajoč; novonastajajoč	Nastajajoče panoge privabljajo veliko mladih.	kylantis; besiformuojantis	Naujos besiformuojančios sritys pritraukia daug jaunų žmonių.	jauns; topošs	Jaunās nozares piesaista daudz jauniešu.	esilekerkiv; uus	Esilekerkivad valdkonnad tõmbavad ligi palju noori.	vaxandi; nýtilkominn	Nýjar og vaxandi greinar laða að sér margt ungt fólk.
5071:心愿	心愿	心愿	želja; srčana želja	Konačno je ostvarila višegodišnju želju.	želja; srčna želja	Končno je uresničila dolgoletno željo.	troškimas; noras	Ji pagaliau įgyvendino daugelio metų troškimą.	vēlēšanās; sirds vēlme	Viņa beidzot piepildīja daudzu gadu vēlēšanos.	südamesoov; soov	Ta täitis lõpuks oma aastatepikkuse soovi.	hjartans ósk; ósk	Hún uppfyllti loksins margra ára ósk sína.
5075:兴起	兴起	兴起	nastati; postati popularan	Onlajn učenje se razvilo u mnogim regionima.	nastati; se razširiti	Spletno učenje se je razširilo v številnih regijah.	iškilti; išpopuliarėti	Internetinis mokymasis išpopuliarėjo daugelyje regionų.	rasties; kļūt populāram	Tiešsaistes mācības ir kļuvušas populāras daudzos reģionos.	esile kerkima; levima	Veebiõpe on paljudes piirkondades esile kerkinud.	rísa upp; verða vinsælt	Nám á netinu hefur orðið vinsælt á mörgum svæðum.
5076:型号	型号	型号	model; oznaka modela	Molim te, upiši model računara u obrazac.	model; oznaka modela	Prosimo, vpiši model računalnika v obrazec.	modelis; modelio numeris	Prašau įrašyti kompiuterio modelį į formą.	modelis; modeļa numurs	Lūdzu, ieraksti datora modeli veidlapā.	mudel; mudelinumber	Palun kirjuta arvuti mudel vormile.	gerð; tegundarnúmer	Vinsamlegast skrifaðu gerð tölvunnar á eyðublaðið.
5078:性价比	性价比	性价比	odnos cene i kvaliteta	Ovaj hotel ima vrlo dobar odnos cene i kvaliteta.	razmerje med ceno in kakovostjo	Ta hotel ima zelo dobro razmerje med ceno in kakovostjo.	kainos ir kokybės santykis	Šio viešbučio kainos ir kokybės santykis labai geras.	cenas un kvalitātes attiecība	Šai viesnīcai ir ļoti laba cenas un kvalitātes attiecība.	hinna ja kvaliteedi suhe	Selle hotelli hinna ja kvaliteedi suhe on väga hea.	verðgildi; hlutfall verðs og gæða	Þetta hótel býður upp á mjög gott verðgildi.
5081:修订	修订	修订	revidirati; izmeniti	Urednik trenutno revidira ovaj udžbenik.	revidirati; popraviti	Urednik trenutno popravlja ta učbenik.	peržiūrėti; pataisyti	Redaktorius šiuo metu taiso šį vadovėlį.	pārskatīt; labot	Redaktors pašlaik labo šo mācību grāmatu.	üle vaatama; parandama	Toimetaja parandab praegu seda õpikut.	endurskoða; laga	Ritstjórinn er að endurskoða þessa kennslubók.
5083:袖子	袖子	袖子	rukav	Rukavi ove jakne su malo dugi.	rokav	Rokavi tega plašča so malo dolgi.	rankovė	Šios striukės rankovės šiek tiek per ilgos.	piedurkne	Šīs jakas piedurknes ir mazliet garas.	varrukas	Selle jope varrukad on veidi pikad.	ermi	Ermarnar á þessum jakka eru aðeins of langar.
5088:选修	选修	选修	izabrati kao izborni predmet	Sledećeg semestra želim da izaberem psihologiju kao izborni predmet.	izbrati kot izbirni predmet	Naslednji semester želim izbrati psihologijo kot izbirni predmet.	pasirinkti kaip pasirenkamą dalyką	Kitą semestrą noriu pasirinkti psichologiją kaip pasirenkamą dalyką.	izvēlēties kā izvēles kursu	Nākamajā semestrī es gribu izvēlēties psiholoģiju kā izvēles kursu.	valikainena võtma	Järgmisel semestril tahan võtta psühholoogia valikainena.	taka sem valáfanga	Á næstu önn langar mig að taka sálfræði sem valáfanga.
5089:学会	学会	学会	udruženje; društvo	On se pridružio lokalnom jezičkom udruženju.	društvo; združenje	Pridružil se je lokalnemu jezikovnemu društvu.	draugija; asociacija	Jis prisijungė prie vietinės kalbų draugijos.	biedrība; asociācija	Viņš pievienojās vietējai valodu biedrībai.	selts; ühing	Ta liitus kohaliku keeleseltsiga.	félag; samtök	Hann gekk í málfélag á staðnum.
5092:学员	学员	学员	polaznik; učenik	U kursu obuke ima dvadeset polaznika.	tečajnik; udeleženec	Na tečaju usposabljanja je dvajset udeležencev.	mokinys; kursantas	Mokymo grupėje yra dvidešimt kursantų.	kursants; mācību dalībnieks	Apmācību grupā ir divdesmit kursantu.	õppur; kursuslane	Koolitusel on kakskümmend õppurit.	nemandi; þátttakandi	Á námskeiðinu eru tuttugu nemendur.
5093:血管	血管	血管	krvni sud	Lekar je rekao da ovaj krvni sud treba dodatno pregledati.	krvna žila	Zdravnik je rekel, da je treba to krvno žilo dodatno pregledati.	kraujagyslė	Gydytojas sakė, kad šią kraujagyslę reikia toliau tirti.	asinsvads	Ārsts teica, ka šis asinsvads ir jāpārbauda tālāk.	veresoon	Arst ütles, et seda veresoon tuleb veel uurida.	æð; blóðæð	Læknirinn sagði að skoða þyrfti þessa æð nánar.
5094:血型	血型	血型	krvna grupa	Pri prijavi treba upisati svoju krvnu grupu.	krvna skupina	Ob prijavi je treba vpisati svojo krvno skupino.	kraujo grupė	Registruojantis reikia įrašyti savo kraujo grupę.	asinsgrupa	Reģistrējoties jānorāda sava asinsgrupa.	veregrupp	Registreerimisel tuleb märkida oma veregrupp.	blóðflokkur	Við skráningu þarf að fylla inn sinn blóðflokk.
5096:血液	血液	血液	krv	Vežbanje može da podstakne cirkulaciju krvi.	kri	Gibanje lahko spodbuja krvni obtok.	kraujas	Sportas gali skatinti kraujo apytaką.	asinis	Sports var veicināt asinsriti.	veri	Liikumine soodustab vereringet.	blóð	Hreyfing getur örvað blóðrásina.
5098:寻求	寻求	寻求	tražiti; nastojati da se nađe	Oni traže bolje rešenje.	iskati; poiskati	Iščejo boljšo rešitev.	ieškoti	Jie ieško geresnio sprendimo.	meklēt	Viņi meklē labāku risinājumu.	otsima	Nad otsivad paremat lahendust.	leita að; sækjast eftir	Þau eru að leita að betri lausn.
5101:淹	淹	淹	poplaviti; potopiti	Jaka kiša je poplavila niže delove puta.	poplaviti	Močan dež je poplavil nižje ležečo cesto.	apsemti; užlieti	Stiprus lietus apsėmė žemiau esančią kelio dalį.	applūdināt; pārplūdināt	Spēcīgs lietus applūdināja zemāk esošo ceļu.	üle ujutama; uputama	Tugev vihm ujutas madalama tee üle.	flæða yfir	Mikil rigning flæddi yfir láglenda veginn.
5103:严	严	严	strog	Škola ima vrlo stroge zahteve za ispitnu disciplinu.	strog	Šola ima zelo stroge zahteve glede izpitne discipline.	griežtas	Mokykla kelia labai griežtus egzaminų tvarkos reikalavimus.	stingrs	Skolai ir ļoti stingras prasības eksāmenu disciplīnai.	range	Koolil on eksamidistsipliini suhtes väga ranged nõuded.	strangur	Skólinn gerir mjög strangar kröfur um prófaga.
5111:研讨	研讨	研讨	raspravljati; stručno razmatrati	Stručnjaci raspravljaju o novom planu lečenja.	razpravljati; preučevati	Strokovnjaki razpravljajo o novem načrtu zdravljenja.	aptarti; nagrinėti	Ekspertai svarsto naują gydymo planą.	apspriest; pētīt	Eksperti apspriež jaunu ārstēšanas plānu.	arutama; uurima	Eksperdid arutavad uut raviplaani.	ræða; greina	Sérfræðingarnir eru að ræða nýja meðferðaráætlun.
5113:言语	言语	言语	reči; govor	Njegove reči su bile veoma iskrene.	besede; govor	Njegove besede so bile zelo iskrene.	žodžiai; kalba	Jo žodžiai buvo labai nuoširdūs.	vārdi; runa	Viņa vārdi bija ļoti sirsnīgi.	sõnad; kõne	Tema sõnad olid väga siirad.	orð; tal	Orð hans voru mjög einlæg.
5114:炎症	炎症	炎症	upala	Ovaj lek može da ublaži upalu.	vnetje	To zdravilo lahko zmanjša vnetje.	uždegimas	Šis vaistas gali sumažinti uždegimą.	iekaisums	Šīs zāles var mazināt iekaisumu.	põletik	See ravim võib põletikku vähendada.	bólga	Þetta lyf getur dregið úr bólgu.
5116:眼看	眼看	眼看	već se vidi da; uskoro	Već se vidi da će se smračiti, trebalo bi da se vratimo.	že skoraj; ko je očitno	Že skoraj se bo stemnilo, morali bi se vrniti.	tuoj tuoj; jau matyti, kad	Jau tuoj tems, turėtume grįžti.	drīz; jau redzams, ka	Jau redzams, ka drīz satumsīs, mums jāatgriežas.	kohe-kohe; juba näha, et	Kohe läheb pimedaks, me peaksime tagasi minema.	sjá fram á; bráðum	Nú er að verða dimmt, við ættum að snúa aftur.
5120:仰	仰	仰	podići glavu; gledati gore	Dete je podiglo glavu i gledalo zvezde.	dvigniti glavo; gledati navzgor	Otrok je dvignil glavo in gledal zvezde.	užversti galvą; žiūrėti aukštyn	Vaikas užvertęs galvą žiūrėjo į žvaigždes.	pacelt galvu; skatīties augšup	Bērns pacēla galvu un skatījās uz zvaigznēm.	pead kuklasse ajama; üles vaatama	Laps ajas pea kuklasse ja vaatas tähti.	lyfta höfði; horfa upp	Barnið lyfti höfðinu og horfði á stjörnurnar.
5122:养老	养老	养老	staranje u starosti; život u penziji	Planiraju život i staranje posle penzionisanja.	skrb za starost; upokojensko življenje	Načrtujeta življenje po upokojitvi in skrb v starosti.	senatvės aprūpinimas; gyvenimas pensijoje	Jie planuoja gyvenimą ir aprūpinimą senatvėje po pensijos.	vecumdienu aprūpe; pensijas dzīve	Viņi plāno dzīvi un aprūpi pēc pensionēšanās.	vanaduspõlv; pensionipõlv	Nad plaanivad pensionijärgset elu ja vanaduspõlve.	eftirlaunalíf; umönnun aldraðra	Þau eru að skipuleggja lífið og umönnunina eftir starfslok.
5123:养老院	养老院	养老院	dom za stare	Ovaj dom za stare je veoma blizu bolnice.	dom za ostarele	Ta dom za ostarele je zelo blizu bolnišnice.	senelių namai	Šie senelių namai yra labai arti ligoninės.	veco ļaužu pansionāts	Šis veco ļaužu pansionāts ir ļoti tuvu slimnīcai.	hooldekodu	See hooldekodu on haiglale väga lähedal.	hjúkrunarheimili	Þetta hjúkrunarheimili er mjög nálægt sjúkrahúsinu.
5125:样	样	样	vrsta; komad	Kupio je tri vrste poslastica.	vrsta; kos	Kupil je tri vrste prigrizkov.	rūšis; vienetas	Jis nusipirko trijų rūšių užkandžių.	veids; gabals	Viņš nopirka trīs veidu našķus.	liik; tükk	Ta ostis kolme sorti suupisteid.	tegund; atriði	Hann keypti þrjár tegundir af sætabrauði.
5128:要么	要么	要么	ili...ili	Ili kreni sada ili čekaj do sutra.	ali...ali	Ali pojdi zdaj ali pa počakaj do jutri.	arba...arba	Arba eik dabar, arba lauk rytojaus.	vai nu...vai	Vai nu ej tagad, vai gaidi līdz rītdienai.	kas...või	Kas mine nüüd või oota homseni.	annaðhvort...eða	Annaðhvort farðu núna eða bíddu til morguns.
5130:野	野	野	divlji	U ovim planinama ima mnogo divljeg cveća.	divji	V teh gorah je veliko divjih rož.	laukinis	Šiuose kalnuose yra daug laukinių gėlių.	savvaļas	Šajos kalnos ir daudz savvaļas ziedu.	metsik; looduslik	Nendes mägedes on palju metsikuid lilli.	villtur	Í þessum fjöllum eru mörg villt blóm.
5131:也好	也好	也好	bilo da...ili	Išao ili ne išao, moraš mi reći.	pa naj...ali	Pa naj greš ali ne, moraš mi povedati.	ar...ar; kad ir	Ar eisi, ar neisi, vis tiek turi man pasakyti.	lai...vai	Lai tu ietu vai neietu, tev man jāpasaka.	olgu...või	Olgu sa lähed või ei lähe, sa pead mulle ütlema.	hvort sem...eða	Hvort sem þú ferð eða ekki, verður þú að segja mér það.
5132:野生	野生	野生	divlji; u prirodi	Ovde je zabranjeno hvatati divlje životinje.	divji; prostoživeč	Tukaj je prepovedano loviti divje živali.	laukinis	Čia draudžiama gaudyti laukinius gyvūnus.	savvaļas	Šeit ir aizliegts ķert savvaļas dzīvniekus.	metsik; looduses elav	Siin on keelatud püüda metsloomi.	villtur	Það er bannað að veiða villt dýr hér.
5133:野外	野外	野外	na otvorenom; u prirodi	Učenici posmatraju biljke u prirodi.	na prostem; v naravi	Učenci na prostem opazujejo rastline.	gamtoje; lauke	Mokiniai gamtoje stebi augalus.	brīvā dabā; laukā	Skolēni brīvā dabā vēro augus.	välitingimustes; looduses	Õpilased vaatlevad taimi looduses.	úti í náttúrunni	Nemendurnir fylgjast með plöntum úti í náttúrunni.
5134:业	业	业	delatnost; industrija	Uslužne delatnosti trebaju više stručnih ljudi.	panoga; dejavnost	Storitvena panoga potrebuje več strokovnih ljudi.	sritis; pramonė	Paslaugų sričiai reikia daugiau profesionalų.	nozare; darbības joma	Pakalpojumu nozarei vajag vairāk profesionāļu.	valdkond; majandusharu	Teenindusvaldkond vajab rohkem spetsialiste.	atvinnugrein; starfsgrein	Þjónustugreinin þarf fleira fagfólk.
5139:衣食住行	衣食住行	衣食住行	odeća, hrana, stanovanje i prevoz	Ovaj izveštaj analizira odeću, hranu, stanovanje i prevoz gradskih stanovnika.	oblačila, hrana, bivanje in prevoz	To poročilo analizira oblačila, hrano, bivanje in prevoz mestnih prebivalcev.	drabužiai, maistas, būstas ir transportas	Ši ataskaita analizuoja miesto gyventojų drabužius, maistą, būstą ir transportą.	apģērbs, pārtika, mājoklis un pārvietošanās	Šis ziņojums analizē pilsētas iedzīvotāju apģērbu, pārtiku, mājokli un pārvietošanos.	riietus, toit, eluase ja liikumine	See aruanne analüüsib linnaelanike riietust, toitu, eluaset ja liikumist.	fæði, klæði, húsnæði og samgöngur	Þessi skýrsla greinir fæði, klæði, húsnæði og samgöngur borgarbúa.
5140:医药	医药	医药	medicina i lekovi	Troškovi medicine i lekova poslednjih godina su porasli.	medicina in zdravila	Stroški medicine in zdravil so se v zadnjih letih zvišali.	medicina ir vaistai	Medicinos ir vaistų išlaidos pastaraisiais metais padidėjo.	medicīna un zāles	Medicīnas un zāļu izmaksas pēdējos gados ir pieaugušas.	meditsiin ja ravimid	Meditsiini- ja ravimikulud on viimastel aastatel kasvanud.	læknisfræði og lyf	Kostnaður við heilbrigðisþjónustu og lyf hefur hækkað undanfarin ár.
5141:一一	一一	一一	jedan po jedan; redom	Nastavnik je redom jasno objasnio pitanja.	enega za drugim; po vrsti	Učitelj je vprašanja po vrsti jasno razložil.	po vieną; iš eilės	Mokytojas po vieną aiškiai paaiškino klausimus.	pa vienam; pēc kārtas	Skolotājs pēc kārtas skaidri izskaidroja jautājumus.	ükshaaval; järjest	Õpetaja selgitas küsimused ükshaaval selgelt lahti.	eitt af öðru; í röð	Kennarinn útskýrði spurningarnar skýrt eina af annarri.
