source_headword	AZ	example_AZ
sock	corab	Bir corab itib.
soft	yumşaq	Bu yorğan yumşaqdır.
soldier	əsgər	Əsgər evə qayıtdı.
solution	həll	Biz həll tapdıq.
solve	həll etmək	Bu tapmacanı həll et.
somewhere	haradasa	Onu təhlükəsiz bir yerə qoy.
sort	növ	Hansı növ istəyirsən?
source	mənbə	Əvvəlcə mənbəni yoxla.
speaker	natiq	Natiqin səsi yüksək idi.
specific	konkret	Mənə konkret cavab lazımdır.
speech	nitq	Onun nitqi qısa idi.
speed	sürət	Burada sürətini azalt.
spider	hörümçək	Duvarda hörümçək var.
spoon	qaşıq	Şorba üçün qaşıq istifadə et.
square	kvadrat	Kvadrat qutu çək.
stage	səhnə	Qrup səhnədədir.
stair	pillə	Pillə sınıb.
stamp	marka	Məktubun üstünə marka yapışdır.
state	bildirmək	Adını aydın bildir.
steal	oğurlamaq	Pul oğurlama.
step	addım	Bir addım irəli at.
stomach	mədə	Mədəm ağrıyır.
stone	daş	Daş ağırdır.
store	mağaza	Mağaza erkən bağlanır.
storm	fırtına	Fırtına gəlir.
straight	düz	Birbaşa evə get.
strange	qəribə	Bu səs qəribədir.
strategy	strategiya	Bizə strategiya lazımdır.
stress	stress	İş stress yarada bilər.
structure	quruluş	Bu quruluş möhkəmdir.
stupid	axmaq	Bu axmaq səhv idi.
succeed	uğur qazanmaq	Sən burada uğur qazana bilərsən.
successful	uğurlu	O, uğurlu oldu.
such	belə	Belə kömək faydalıdır.
suddenly	birdən	Birdən it qaçdı.
suggest	təklif etmək	Mən qısa fasilə təklif edirəm.
suggestion	təklif	Sənin təklifin faydalıdır.
suit	kostyum	Bu kostyum bahadır.
support	dəstəkləmək	Biz komandamızı dəstəkləyirik.
suppose	güman etmək	Güman edirəm ki, sən haqlısan.
surprise	sürpriz	Sürpriz onu sevindirdi.
surprised	təəccüblənmiş	O, bu gün təəccüblənmişdi.
surprising	təəccüblü	Nəticə təəccüblü idi.
survey	sorğu	Zəhmət olmasa, sorğunu tamamla.
sweet	şirin	Bu çay şirindir.
symbol	simvol	Bu simvol təhlükə deməkdir.
system	sistem	Sistem yaxşı işləyir.
tablet	planşet	Mənim planşetim masanın üstündədir.
target	hədəf	Hədəfi diqqətlə vur.
task	tapşırıq	Bu tapşırıq asandır.
taste	dadmaq	Əvvəlcə şorbanın dadına bax.
teaching	müəllimlik	Müəllimlik çətin işdir.
technology	texnologiya	Texnologiya tez dəyişir.
teenage	yeniyetmə	Mənim yeniyetmə qardaşım çox oxuyur.
temperature	temperatur	Temperatur aşağıdır.
term	semestr	Bu semestr tezliklə bitir.
themselves	özləri	Onlar şam yeməyini özləri bişirdilər.
thick	qalın	Bu kitab qalındır.
thief	oğru	Oğru qaçdı.
thin	nazik	Kağız nazikdir.
thinking	düşünmək	Düşünmək vaxt aparır.
thought	fikir	Mənim qəribə fikrim oldu.
throw	atmaq	Topu yavaşca at.
tidy	səliqəli	Otağını səliqəli saxla.
tie	bağlamaq	Ayaqqabılarını indi bağla.
tip	bəxşiş	Xidmət üçün bəxşiş qoy.
tool	alət	Düzgün alətdən istifadə et.
top	üst	Üst rəf doludur.
touch	toxunmaq	Şüşəyə toxunma.
tour	tur	Biz şəhər turuna çıxdıq.
tourism	turizm	Turizm bu şəhərə kömək edir.
towards	tərəfə	Stansiyaya tərəf get.
towel	dəsmal	Təmiz dəsmal gətir.
tower	qüllə	Qüllə çox köhnədir.
toy	oyuncaq	Oyuncaq maşın qırmızıdır.
track	cığır	Cığır şimala gedir.
tradition	ənənə	Bu ənənə köhnədir.
traditional	ənənəvi	O, ənənəvi paltar geyindi.
trainer	məşqçi	Mənim məşqçim kömək edir.
training	məşq	Məşq sabah başlayır.
transport	nəqliyyat	İctimai nəqliyyat gecikir.
traveller	səyahətçi	Səyahətçi kömək istədi.
trouble	çətinlik	Dünən çətinliyimiz oldu.
truck	yük maşını	Yük maşını bayırdadır.
twin	əkiz	Mənim əkiz bacım daha ucadır.
typical	tipik	Bu tipik gündür.
underground	yeraltı	Qatar yeraltı gedir.
understanding	anlayış	Sənin anlayışın düzgündür.
unfortunately	təəssüf ki	Təəssüf ki, mağaza bağlıdır.
unhappy	narazı	O, narazı görünür.
uniform	uniforma	O, məktəb uniforması geyinir.
unit	vahid	Bu vahid kiçikdir.
united	birləşmiş	Komanda birləşmiş qaldı.
unusual	qeyri-adi	Bu səs qeyri-adidir.
used to modal	əvvəllər	Biz əvvəllər burada yaşayırdıq.
user	istifadəçi	Hər istifadəçinin nömrəsi var.
usual	adi	Mən adi oturacağımı götürdüm.
valley	dərə	Dərə yaşıldır.
van	furqon	Furqon doludur.
variety	müxtəliflik	Bizə daha çox müxtəliflik lazımdır.
vehicle	nəqliyyat vasitəsi	Bu nəqliyyat vasitəsi yavaşdır.
view	mənzərə	Mənzərə gözəldir.
virus	virus	Virus onu xəstə etdi.
voice	səs	Onun səsi sakitdir.
war	müharibə	Müharibə illər əvvəl bitdi.
washing	yuyulmuş paltar	Yuyulmuş paltar bayırdadır.
wave	dalğa	Dalğa qayığa dəydi.
weak	zəif	Ayaqlarım zəifdir.
web	veb	Veb səhifə açıqdır.
wedding	toy	Toy tezliklə başlayır.
weight	çəki	Əvvəlcə çəkini yoxla.
wet	yaş	Ayaqqabılarım yaşdır.
wheel	təkər	Təkər sınıb.
while	bir müddət	Burada bir müddət gözlə.
whole	bütün	Mən bütün almanı yedim.
whose	kimin	Bu kimin telefonudur?
wide	geniş	Yol genişdir.
wild	vəhşi	Vəhşi heyvanlar burada yaşayır.
wind1	külək	Külək güclüdür.
winner	qalib	Qalib gülümsədi.
wish	arzu	Arzu tut.
wood	taxta	Stul taxtadan hazırlanıb.
wooden	taxta	Taxta qutu ağırdır.
working	iş	İş günü bitdi.
worried	narahat	Mən bu gün narahatam.
worry	narahat olmaq	İndi narahat olma.
worse	daha pis	Bu ağrı daha pisdir.
worst	ən pis	Bu ən pis gün idi.
wow	vay	Vay, bu heyrətamizdir!
yet	hələ	Biz hələ çatmamışıq?
yours	səninki	Bu kitab səninkidir.
zero	sıfır	Sıfıra qədər say.
